specimen_id,mix_design,rubber_content_pct,target_temperature_C,actual_temperature_C,heating_rate_C_min,soak_time_min,cooling_method,specimen_number,test_date,initial_mass_kg,mass_loss_percent,residual_density_kg_m3,residual_compressive_strength_MPa,strength_retention_percent,residual_tensile_strength_MPa,tensile_retention_percent,residual_modulus_GPa,modulus_retention_percent,residual_upv_m_s,upv_retention_percent,color_change,crack_density,spalling_severity,spalling_depth_mm,failure_mode,explosive_spalling,notes
HT-2025,RC-0,0,800,799.7771489088022,6.6657826433867085,60,furnace,2,2024-10-05,0.016,12.0,2112.0,9.34,20.0,0.7,15.0,9.34,30.0,1167.0,25.0,white,severe,severe,30.0,brittle,no,
HT-2026,RC-0,0,800,804.7790066875427,7.612010077285169,60,furnace,3,2024-10-05,0.016,12.0,2112.0,7.38,20.0,0.55,15.0,7.38,30.0,923.0,25.0,white,severe,severe,40.1,brittle,no,
HT-2027,RC-0,0,800,795.4340078329817,8.349286660447191,60,water_quench,1,2024-10-05,0.016,12.5,2100.0,7.48,15.4,0.52,10.8,7.48,23.1,875.0,18.0,white,severe,severe,28.1,brittle,yes,
HT-2028,RC-0,0,800,795.7543454708976,6.832430863818506,60,water_quench,2,2024-10-05,0.016,12.5,2100.0,6.85,15.4,0.48,10.8,6.85,23.1,800.0,18.0,white,severe,severe,37.4,brittle,yes,
HT-2029,RC-0,0,800,797.9449394683943,8.491662750058742,60,water_quench,3,2024-10-05,0.016,12.5,2100.0,7.07,15.4,0.5,10.8,7.07,23.1,826.0,18.0,white,severe,severe,25.4,brittle,yes,
HT-2030,RC-10,10,23,25.371007058430195,8.330508683338213,60,furnace,1,2024-10-05,0.015,0.0,2208.0,34.58,100.0,3.46,100.0,20.88,100.0,4217.0,100.0,none,none,none,0.0,ductile,no,
HT-2031,RC-10,10,23,27.587024074078464,6.615727795515415,60,furnace,2,2024-10-05,0.015,0.0,2208.0,40.84,100.0,4.08,100.0,24.66,100.0,4981.0,100.0,none,none,none,0.0,ductile,no,
HT-2032,RC-10,10,23,21.356600647969632,6.839359807791131,60,furnace,3,2024-10-05,0.015,0.0,2208.0,34.64,100.0,3.46,100.0,20.91,100.0,4224.0,100.0,none,none,none,0.0,ductile,no,
HT-2033,RC-10,10,23,24.468483616687237,7.276536767979744,60,water_quench,1,2024-10-05,0.015,0.0,2208.0,36.29,100.0,3.63,100.0,21.91,100.0,4426.0,100.0,none,none,none,0.0,ductile,no,
HT-2034,RC-10,10,23,21.603450952052683,7.019899725708525,60,water_quench,2,2024-10-05,0.015,0.0,2208.0,34.94,100.0,3.49,100.0,21.1,100.0,4262.0,100.0,none,none,none,0.0,ductile,no,
HT-2035,RC-10,10,23,22.53240846828831,6.5646319022193005,60,water_quench,3,2024-10-05,0.015,0.0,2208.0,34.64,100.0,3.46,100.0,20.91,100.0,4224.0,100.0,none,none,none,0.0,ductile,no,
HT-2036,RC-10,10,200,201.027818820233,7.04191528503026,60,furnace,1,2024-10-05,0.015,3.5,2130.7,32.77,93.0,3.07,87.0,19.57,92.0,3996.0,93.0,none,none,none,0.0,ductile,no,
HT-2037,RC-10,10,200,196.3318512522375,6.6524007591983265,60,furnace,2,2024-10-05,0.015,3.5,2130.7,30.47,93.0,2.85,87.0,18.2,92.0,3716.0,93.0,none,none,none,0.0,ductile,no,
HT-2038,RC-10,10,200,200.81162621180826,8.33835310367112,60,furnace,3,2024-10-05,0.015,3.5,2130.7,34.02,93.0,3.18,87.0,20.32,92.0,4149.0,93.0,none,none,none,0.0,ductile,no,
HT-2039,RC-10,10,200,195.82748420035307,8.253322971851585,60,water_quench,1,2024-10-05,0.015,3.5,2130.7,35.88,93.0,3.36,87.0,21.43,92.0,4375.0,93.0,none,none,none,0.0,ductile,no,
HT-2040,RC-10,10,200,199.1125511658537,8.05520456747045,60,water_quench,2,2024-10-05,0.015,3.5,2130.7,31.36,93.0,2.93,87.0,18.73,92.0,3824.0,93.0,none,none,none,0.0,ductile,no,
HT-2041,RC-10,10,200,199.80370081866354,8.470572101331008,60,water_quench,3,2024-10-05,0.015,3.5,2130.7,34.77,93.0,3.25,87.0,20.77,92.0,4241.0,93.0,none,none,none,0.0,ductile,no,
HT-2042,RC-10,10,400,398.9298944897886,8.15832844141303,60,furnace,1,2024-10-05,0.015,8.0,2031.4,26.29,65.0,2.14,53.0,15.87,65.0,3453.0,70.0,pink,light,none,0.0,brittle,no,
HT-2043,RC-10,10,400,400.69081469165747,6.6270236591800025,60,furnace,2,2024-10-05,0.015,8.0,2031.4,22.85,65.0,1.86,53.0,13.79,65.0,3001.0,70.0,pink,light,none,0.0,brittle,no,
HT-2044,RC-10,10,400,402.49910749469973,8.326331504515286,60,furnace,3,2024-10-05,0.015,8.0,2031.4,24.56,65.0,2.0,53.0,14.83,65.0,3226.0,70.0,pink,light,none,0.0,brittle,no,
HT-2045,RC-10,10,400,402.26120844071846,8.014162404084912,60,water_quench,1,2024-10-05,0.015,8.5,2020.3,22.03,52.6,1.69,40.3,13.3,52.6,2714.0,53.2,pink,moderate,light,5.5,brittle,no,
HT-2046,RC-10,10,400,397.514424395118,7.049463594051818,60,water_quench,2,2024-10-05,0.015,8.5,2020.3,17.59,52.6,1.35,40.3,10.62,52.6,2168.0,53.2,pink,moderate,light,3.2,brittle,no,
HT-2047,RC-10,10,400,403.78220667479195,8.013998264344458,60,water_quench,3,2024-10-05,0.015,8.5,2020.3,18.56,52.6,1.42,40.3,11.21,52.6,2287.0,53.2,pink,moderate,light,3.2,brittle,no,
HT-2048,RC-10,10,600,603.313714900625,7.115554479542099,60,furnace,1,2024-10-05,0.015,13.5,1909.9,14.76,40.0,1.0,27.0,11.14,50.0,2025.0,45.0,gray,moderate,moderate,13.7,brittle,no,
HT-2049,RC-10,10,600,604.6797376543982,6.676816446731293,60,furnace,2,2024-10-05,0.015,13.5,1909.9,14.32,40.0,0.97,27.0,10.81,50.0,1965.0,45.0,gray,moderate,moderate,17.8,brittle,no,
HT-2050,RC-10,10,600,599.2053577866508,8.06933652788862,60,furnace,3,2024-10-05,0.015,13.5,1909.9,15.19,40.0,1.03,27.0,11.46,50.0,2084.0,45.0,gray,moderate,moderate,13.8,brittle,no,
HT-2051,RC-10,10,600,603.0504466751936,8.306302117353253,60,water_quench,1,2024-10-05,0.015,14.0,1898.9,12.76,31.6,0.81,20.0,9.63,39.5,1639.0,33.3,gray,severe,moderate,15.7,brittle,yes,
HT-2052,RC-10,10,600,601.3664432162228,7.609631217084451,60,water_quench,2,2024-10-05,0.015,14.0,1898.9,11.83,31.6,0.75,20.0,8.92,39.5,1520.0,33.3,gray,severe,moderate,15.3,brittle,yes,
HT-2053,RC-10,10,600,602.2639703265023,7.594892613798223,60,water_quench,3,2024-10-05,0.015,14.0,1898.9,11.7,31.6,0.74,20.0,8.83,39.5,1504.0,33.3,gray,severe,moderate,9.1,brittle,yes,
HT-2054,RC-10,10,800,800.2360227601501,7.895283742986926,60,furnace,1,2024-10-05,0.015,18.0,1810.6,7.83,20.0,0.59,15.0,7.09,30.0,1193.0,25.0,white,severe,severe,27.4,brittle,no,
HT-2055,RC-10,10,800,799.5934680794617,8.18418283003742,60,furnace,2,2024-10-05,0.015,18.0,1810.6,7.33,20.0,0.55,15.0,6.63,30.0,1117.0,25.0,white,severe,severe,39.9,brittle,no,
HT-2056,RC-10,10,800,797.0913079107852,7.659299868943477,60,furnace,3,2024-10-05,0.015,18.0,1810.6,7.45,20.0,0.56,15.0,6.74,30.0,1135.0,25.0,white,severe,severe,28.7,brittle,no,
HT-2057,RC-10,10,800,800.3726341671407,7.420238317967144,60,water_quench,1,2024-10-05,0.015,18.5,1799.5,5.49,15.4,0.39,10.8,4.97,23.1,783.0,18.0,white,severe,severe,28.5,brittle,yes,
HT-2058,RC-10,10,800,796.800672723493,7.8930029324541575,60,water_quench,2,2024-10-05,0.015,18.5,1799.5,4.98,15.4,0.35,10.8,4.51,23.1,710.0,18.0,white,severe,severe,37.4,brittle,yes,
HT-2059,RC-10,10,800,803.7431760485442,7.5304721097284215,60,water_quench,3,2024-10-05,0.015,18.5,1799.5,6.28,15.4,0.44,10.8,5.69,23.1,895.0,18.0,white,severe,severe,30.3,brittle,yes,
HT-2060,RC-15,15,23,20.238490659063206,8.143581273688898,60,furnace,1,2024-10-05,0.014,0.0,2112.0,33.02,100.0,3.3,100.0,18.81,100.0,4524.0,100.0,none,none,none,0.0,ductile,no,
HT-2061,RC-15,15,23,21.450826278223868,7.195238428965367,60,furnace,2,2024-10-05,0.014,0.0,2112.0,33.66,100.0,3.37,100.0,19.17,100.0,4611.0,100.0,none,none,none,0.0,ductile,no,
HT-2062,RC-15,15,23,23.34423503732523,7.211982968543972,60,furnace,3,2024-10-05,0.014,0.0,2112.0,32.97,100.0,3.3,100.0,18.78,100.0,4516.0,100.0,none,none,none,0.0,ductile,no,
HT-2063,RC-15,15,23,26.942172628959256,6.757496796599288,60,water_quench,1,2024-10-05,0.014,0.0,2112.0,31.73,100.0,3.17,100.0,18.07,100.0,4346.0,100.0,none,none,none,0.0,ductile,no,
HT-2064,RC-15,15,23,18.92290586228746,7.462290788112586,60,water_quench,2,2024-10-05,0.014,0.0,2112.0,30.05,100.0,3.0,100.0,17.12,100.0,4116.0,100.0,none,none,none,0.0,ductile,no,
HT-2065,RC-15,15,23,24.87784717096083,7.523314027094522,60,water_quench,3,2024-10-05,0.014,0.0,2112.0,30.18,100.0,3.02,100.0,17.19,100.0,4134.0,100.0,none,none,none,0.0,ductile,no,
HT-2066,RC-15,15,200,195.02595024383646,8.236602214071173,60,furnace,1,2024-10-05,0.014,4.0,2027.5,29.42,92.0,2.73,85.5,16.76,92.0,4074.0,93.0,none,none,none,0.0,ductile,no,
HT-2067,RC-15,15,200,195.84517007680682,7.694556164510861,60,furnace,2,2024-10-05,0.014,4.0,2027.5,27.98,92.0,2.6,85.5,15.94,92.0,3875.0,93.0,none,none,none,0.0,ductile,no,
HT-2068,RC-15,15,200,204.24041759107433,6.972233066234809,60,furnace,3,2024-10-05,0.014,4.0,2027.5,30.27,92.0,2.81,85.5,17.24,92.0,4192.0,93.0,none,none,none,0.0,ductile,no,
HT-2069,RC-15,15,200,202.59955408937586,7.562531507947068,60,water_quench,1,2024-10-05,0.014,4.0,2027.5,30.89,92.0,2.87,85.5,17.59,92.0,4277.0,93.0,none,none,none,0.0,ductile,no,
HT-2070,RC-15,15,200,196.47739091906226,6.7662338571749565,60,water_quench,2,2024-10-05,0.014,4.0,2027.5,29.69,92.0,2.76,85.5,16.91,92.0,4111.0,93.0,none,none,none,0.0,ductile,no,
HT-2071,RC-15,15,200,201.8716550540333,8.188881345267257,60,water_quench,3,2024-10-05,0.014,4.0,2027.5,30.49,92.0,2.83,85.5,17.37,92.0,4222.0,93.0,none,none,none,0.0,ductile,no,
HT-2072,RC-15,15,400,398.97163832504083,6.709738333064962,60,furnace,1,2024-10-05,0.014,9.5,1911.4,19.22,60.0,1.51,47.0,11.4,62.5,3071.0,70.0,pink,light,none,0.0,brittle,no,
HT-2073,RC-15,15,400,402.3740520609382,6.864567756951916,60,furnace,2,2024-10-05,0.014,9.5,1911.4,20.95,60.0,1.64,47.0,12.43,62.5,3349.0,70.0,pink,light,none,0.0,brittle,no,
HT-2074,RC-15,15,400,395.89204328712054,7.570671128031047,60,furnace,3,2024-10-05,0.014,9.5,1911.4,21.35,60.0,1.67,47.0,12.67,62.5,3412.0,70.0,pink,light,none,0.0,brittle,no,
HT-2075,RC-15,15,400,398.42926864278263,7.447939882861112,60,water_quench,1,2024-10-05,0.014,10.0,1900.8,16.21,48.6,1.19,35.7,9.62,50.6,2431.0,53.2,pink,moderate,light,3.4,brittle,no,
HT-2076,RC-15,15,400,400.8419948471417,7.973644950789826,60,water_quench,2,2024-10-05,0.014,10.0,1900.8,17.47,48.6,1.28,35.7,10.36,50.6,2619.0,53.2,pink,moderate,light,4.9,brittle,no,
HT-2077,RC-15,15,400,400.8653543466076,7.628917085045282,60,water_quench,3,2024-10-05,0.014,10.0,1900.8,14.5,48.6,1.07,35.7,8.61,50.6,2175.0,53.2,pink,moderate,light,5.3,brittle,no,
HT-2078,RC-15,15,600,601.0755522229357,6.9887063109293095,60,furnace,1,2024-10-05,0.014,16.0,1774.1,11.01,37.5,0.67,23.0,8.36,50.0,1809.0,45.0,gray,moderate,moderate,18.8,brittle,no,
HT-2079,RC-15,15,600,598.3034848128092,8.367383647519748,60,furnace,2,2024-10-05,0.014,16.0,1774.1,11.34,37.5,0.7,23.0,8.61,50.0,1864.0,45.0,gray,moderate,moderate,14.0,brittle,no,
HT-2080,RC-15,15,600,595.8788762454014,8.111729773482287,60,furnace,3,2024-10-05,0.014,16.0,1774.1,12.14,37.5,0.74,23.0,9.22,50.0,1996.0,45.0,gray,moderate,moderate,18.2,brittle,no,
HT-2081,RC-15,15,600,603.4231403529818,6.603270955749026,60,water_quench,1,2024-10-05,0.014,16.5,1763.5,8.18,29.6,0.47,17.0,6.21,39.5,1260.0,33.3,gray,severe,moderate,8.7,brittle,yes,
HT-2082,RC-15,15,600,604.7506716294514,7.481497558517569,60,water_quench,2,2024-10-05,0.014,16.5,1763.5,10.28,29.6,0.59,17.0,7.8,39.5,1582.0,33.3,gray,severe,moderate,8.1,brittle,yes,
HT-2083,RC-15,15,600,603.2086147315335,7.936914541673107,60,water_quench,3,2024-10-05,0.014,16.5,1763.5,9.83,29.6,0.56,17.0,7.47,39.5,1514.0,33.3,gray,severe,moderate,16.7,brittle,yes,
HT-2084,RC-15,15,800,797.0507756014946,8.435988133008468,60,furnace,1,2024-10-05,0.014,21.0,1668.5,5.77,20.0,0.43,15.0,4.93,30.0,987.0,25.0,white,severe,severe,41.0,brittle,no,
HT-2085,RC-15,15,800,796.9950692733833,7.972494367396976,60,furnace,2,2024-10-05,0.014,21.0,1668.5,7.77,20.0,0.58,15.0,6.64,30.0,1331.0,25.0,white,severe,severe,37.8,brittle,no,
HT-2086,RC-15,15,800,795.8729017958967,7.512207912718694,60,furnace,3,2024-10-05,0.014,21.0,1668.5,7.42,20.0,0.56,15.0,6.34,30.0,1270.0,25.0,white,severe,severe,39.2,brittle,no,
HT-2087,RC-15,15,800,798.2064219215952,7.687766195115797,60,water_quench,1,2024-10-05,0.014,21.5,1657.9,5.15,15.4,0.36,10.8,4.4,23.1,825.0,18.0,white,severe,severe,43.3,brittle,yes,
HT-2088,RC-15,15,800,800.4892197988897,6.903460924660472,60,water_quench,2,2024-10-05,0.014,21.5,1657.9,4.79,15.4,0.34,10.8,4.1,23.1,768.0,18.0,white,severe,severe,33.7,brittle,yes,
HT-2089,RC-15,15,800,795.8786811124265,6.7776495468840405,60,water_quench,3,2024-10-05,0.014,21.5,1657.9,4.3,15.4,0.3,10.8,3.68,23.1,689.0,18.0,white,severe,severe,37.1,brittle,yes,
HT-2090,RC-20,20,23,25.942894499664625,6.713398500226872,60,furnace,1,2024-10-05,0.014,0.0,2016.0,33.62,100.0,3.36,100.0,17.93,100.0,5253.0,100.0,none,none,none,0.0,ductile,no,
HT-2091,RC-20,20,23,26.507274600164546,7.9919490510974365,60,furnace,2,2024-10-05,0.014,0.0,2016.0,27.58,100.0,2.76,100.0,14.71,100.0,4310.0,100.0,none,none,none,0.0,ductile,no,
HT-2092,RC-20,20,23,27.909294764573907,6.910003620106474,60,furnace,3,2024-10-05,0.014,0.0,2016.0,30.18,100.0,3.02,100.0,16.1,100.0,4715.0,100.0,none,none,none,0.0,ductile,no,
HT-2093,RC-20,20,23,21.792285849638006,8.352898847179421,60,water_quench,1,2024-10-05,0.014,0.0,2016.0,28.51,100.0,2.85,100.0,15.2,100.0,4454.0,100.0,none,none,none,0.0,ductile,no,
HT-2094,RC-20,20,23,25.505019247653134,8.099074261839032,60,water_quench,2,2024-10-05,0.014,0.0,2016.0,29.97,100.0,3.0,100.0,15.98,100.0,4682.0,100.0,none,none,none,0.0,ductile,no,
HT-2095,RC-20,20,23,26.251326766927974,6.872809973576288,60,water_quench,3,2024-10-05,0.014,0.0,2016.0,29.8,100.0,2.98,100.0,15.89,100.0,4657.0,100.0,none,none,none,0.0,ductile,no,
HT-2096,RC-20,20,200,204.07866130462517,7.132393164592989,60,furnace,1,2024-10-05,0.014,4.5,1925.3,27.41,91.0,2.53,84.0,14.78,92.0,4376.0,93.0,none,none,none,0.0,ductile,no,
HT-2097,RC-20,20,200,200.88306675795056,7.865964126834265,60,furnace,2,2024-10-05,0.014,4.5,1925.3,23.84,91.0,2.2,84.0,12.85,92.0,3807.0,93.0,none,none,none,0.0,ductile,no,
HT-2098,RC-20,20,200,203.99667445292172,7.748203088363676,60,furnace,3,2024-10-05,0.014,4.5,1925.3,29.46,91.0,2.72,84.0,15.88,92.0,4704.0,93.0,none,none,none,0.0,ductile,no,
HT-2099,RC-20,20,200,200.39781061914633,7.377489350776678,60,water_quench,1,2024-10-05,0.014,4.5,1925.3,25.48,91.0,2.35,84.0,13.74,92.0,4068.0,93.0,none,none,none,0.0,ductile,no,
HT-2100,RC-20,20,200,198.91482110201503,7.563714959376348,60,water_quench,2,2024-10-05,0.014,4.5,1925.3,22.79,91.0,2.1,84.0,12.29,92.0,3640.0,93.0,none,none,none,0.0,ductile,no,
HT-2101,RC-20,20,200,195.66619112390816,6.958050781849593,60,water_quench,3,2024-10-05,0.014,4.5,1925.3,28.04,91.0,2.59,84.0,15.12,92.0,4477.0,93.0,none,none,none,0.0,ductile,no,
HT-2102,RC-20,20,400,398.3281578591248,7.961098273618603,60,furnace,1,2024-10-05,0.014,11.0,1794.2,13.3,55.0,0.99,41.0,7.74,60.0,2645.0,70.0,pink,light,none,0.0,brittle,no,
HT-2103,RC-20,20,400,401.9371760740334,6.833461519986766,60,furnace,2,2024-10-05,0.014,11.0,1794.2,17.43,55.0,1.3,41.0,10.14,60.0,3466.0,70.0,pink,light,none,0.0,brittle,no,
HT-2104,RC-20,20,400,402.41460911139046,7.646301698514778,60,furnace,3,2024-10-05,0.014,11.0,1794.2,15.83,55.0,1.18,41.0,9.21,60.0,3147.0,70.0,pink,light,none,0.0,brittle,no,
HT-2105,RC-20,20,400,402.5240312003882,7.913960922486918,60,water_quench,1,2024-10-05,0.014,11.5,1784.2,13.78,44.5,0.96,31.2,8.02,48.6,2571.0,53.2,pink,moderate,light,8.0,brittle,no,
HT-2106,RC-20,20,400,402.14064082223615,7.487962974261725,60,water_quench,2,2024-10-05,0.014,11.5,1784.2,12.38,44.5,0.87,31.2,7.21,48.6,2311.0,53.2,pink,moderate,light,3.2,brittle,no,
HT-2107,RC-20,20,400,396.02916030744143,7.572962702969189,60,water_quench,3,2024-10-05,0.014,11.5,1784.2,13.18,44.5,0.92,31.2,7.67,48.6,2459.0,53.2,pink,moderate,light,6.5,brittle,no,
HT-2108,RC-20,20,600,600.0228834746252,7.579721274225673,60,furnace,1,2024-10-05,0.014,18.5,1643.0,9.53,35.0,0.52,19.0,7.26,50.0,1915.0,45.0,gray,moderate,moderate,15.2,brittle,no,
HT-2109,RC-20,20,600,599.0895517708549,8.04376396119649,60,furnace,2,2024-10-05,0.014,18.5,1643.0,8.53,35.0,0.46,19.0,6.5,50.0,1714.0,45.0,gray,moderate,moderate,13.8,brittle,no,
HT-2110,RC-20,20,600,602.1617907473295,7.698058729554653,60,furnace,3,2024-10-05,0.014,18.5,1643.0,10.1,35.0,0.55,19.0,7.69,50.0,2029.0,45.0,gray,moderate,moderate,14.8,brittle,no,
HT-2111,RC-20,20,600,604.5907479456403,7.185048514357087,60,water_quench,1,2024-10-05,0.014,19.0,1633.0,7.89,27.6,0.4,14.1,6.01,39.5,1484.0,33.3,gray,severe,moderate,17.9,brittle,yes,
HT-2112,RC-20,20,600,601.1495026315265,8.323704817685929,60,water_quench,2,2024-10-05,0.014,19.0,1633.0,7.74,27.6,0.39,14.1,5.89,39.5,1456.0,33.3,gray,severe,moderate,11.5,brittle,yes,
HT-2113,RC-20,20,600,596.0079460301589,7.012031063707324,60,water_quench,3,2024-10-05,0.014,19.0,1633.0,7.15,27.6,0.36,14.1,5.45,39.5,1346.0,33.3,gray,severe,moderate,9.7,brittle,yes,
HT-2114,RC-20,20,800,804.1875052226075,8.080169274248174,60,furnace,1,2024-10-05,0.014,24.0,1532.2,6.02,20.0,0.45,15.0,4.82,30.0,1176.0,25.0,white,severe,severe,22.6,brittle,no,
HT-2115,RC-20,20,800,801.5136721098825,8.042493337039476,60,furnace,2,2024-10-05,0.014,24.0,1532.2,6.39,20.0,0.48,15.0,5.11,30.0,1248.0,25.0,white,severe,severe,20.6,brittle,no,
HT-2116,RC-20,20,800,796.0424696605181,8.180879263960845,60,furnace,3,2024-10-05,0.014,24.0,1532.2,5.51,20.0,0.41,15.0,4.4,30.0,1075.0,25.0,white,severe,severe,21.9,brittle,no,
HT-2117,RC-20,20,800,796.2281078184574,6.971812069190163,60,water_quench,1,2024-10-05,0.014,24.5,1522.1,4.38,15.4,0.31,10.8,3.5,23.1,800.0,18.0,white,severe,severe,42.8,brittle,yes,
HT-2118,RC-20,20,800,798.3214641265494,7.122888528091282,60,water_quench,2,2024-10-05,0.014,24.5,1522.1,4.31,15.4,0.3,10.8,3.45,23.1,787.0,18.0,white,severe,severe,40.9,brittle,yes,
HT-2119,RC-20,20,800,801.0789439379425,7.258611396771098,60,water_quench,3,2024-10-05,0.014,24.5,1522.1,4.3,15.4,0.3,10.8,3.44,23.1,786.0,18.0,white,severe,severe,25.7,brittle,yes,
HT-2120,RC-20-SF,20,23,25.877898887144923,7.707443063460278,60,furnace,1,2024-10-05,0.014,0.0,2016.0,31.27,100.0,3.13,100.0,16.68,100.0,4249.0,100.0,none,none,none,0.0,ductile,no,
