mix_design,rubber_content_pct,temperature_C,test_type,specimen_id,data_point,strain_percent,stress_MPa,secant_modulus_GPa
RC-0,0,23,ambient,RC-0-23C,94,0.00214,38.35,17.89
RC-0,0,23,ambient,RC-0-23C,95,0.00217,36.781,16.98
RC-0,0,23,ambient,RC-0-23C,96,0.00219,37.201,16.99
RC-0,0,23,ambient,RC-0-23C,97,0.00221,36.485,16.49
RC-0,0,23,ambient,RC-0-23C,98,0.00224,35.831,16.03
RC-0,0,23,ambient,RC-0-23C,99,0.00226,35.35,15.65
RC-0,0,23,ambient,RC-0-23C,100,0.00228,34.8,15.25
RC-0,0,23,ambient,RC-0-23C,101,0.0023,34.39,14.92
RC-0,0,23,ambient,RC-0-23C,102,0.00233,34.545,14.84
RC-0,0,23,ambient,RC-0-23C,103,0.00235,33.494,14.25
RC-0,0,23,ambient,RC-0-23C,104,0.00237,34.07,14.35
RC-0,0,23,ambient,RC-0-23C,105,0.0024,32.964,13.75
RC-0,0,23,ambient,RC-0-23C,106,0.00242,32.148,13.29
RC-0,0,23,ambient,RC-0-23C,107,0.00244,32.429,13.27
RC-0,0,23,ambient,RC-0-23C,108,0.00247,31.861,12.92
RC-0,0,23,ambient,RC-0-23C,109,0.00249,30.431,12.23
RC-0,0,23,ambient,RC-0-23C,110,0.00251,30.309,12.07
RC-0,0,23,ambient,RC-0-23C,111,0.00254,30.328,11.96
RC-0,0,23,ambient,RC-0-23C,112,0.00256,29.277,11.44
RC-0,0,23,ambient,RC-0-23C,113,0.00258,30.545,11.83
RC-0,0,23,ambient,RC-0-23C,114,0.0026,29.594,11.36
RC-0,0,23,ambient,RC-0-23C,115,0.00263,28.843,10.98
RC-0,0,23,ambient,RC-0-23C,116,0.00265,28.324,10.69
RC-0,0,23,ambient,RC-0-23C,117,0.00267,27.843,10.41
RC-0,0,23,ambient,RC-0-23C,118,0.0027,26.868,9.96
RC-0,0,23,ambient,RC-0-23C,119,0.00272,26.616,9.79
RC-0,0,23,ambient,RC-0-23C,120,0.00274,27.899,10.17
RC-0,0,23,ambient,RC-0-23C,121,0.00277,27.405,9.91
RC-0,0,23,ambient,RC-0-23C,122,0.00279,26.095,9.36
RC-0,0,23,ambient,RC-0-23C,123,0.00281,26.424,9.4
RC-0,0,23,ambient,RC-0-23C,124,0.00283,25.909,9.14
RC-0,0,23,ambient,RC-0-23C,125,0.00286,25.632,8.97
RC-0,0,23,ambient,RC-0-23C,126,0.00288,24.385,8.46
RC-0,0,23,ambient,RC-0-23C,127,0.0029,23.891,8.23
RC-0,0,23,ambient,RC-0-23C,128,0.00293,24.92,8.51
RC-0,0,23,ambient,RC-0-23C,129,0.00295,23.184,7.86
RC-0,0,23,ambient,RC-0-23C,130,0.00297,23.698,7.97
RC-0,0,23,ambient,RC-0-23C,131,0.003,23.294,7.78
RC-0,0,23,ambient,RC-0-23C,132,0.00302,22.952,7.6
RC-0,0,23,ambient,RC-0-23C,133,0.00304,23.003,7.56
RC-0,0,23,ambient,RC-0-23C,134,0.00307,22.263,7.26
RC-0,0,23,ambient,RC-0-23C,135,0.00309,22.456,7.27
RC-0,0,23,ambient,RC-0-23C,136,0.00311,22.055,7.09
RC-0,0,23,ambient,RC-0-23C,137,0.00313,22.654,7.23
RC-0,0,23,ambient,RC-0-23C,138,0.00316,20.807,6.59
RC-0,0,23,ambient,RC-0-23C,139,0.00318,21.169,6.66
RC-0,0,23,ambient,RC-0-23C,140,0.0032,21.078,6.58
RC-0,0,23,ambient,RC-0-23C,141,0.00323,20.5,6.35
RC-0,0,23,ambient,RC-0-23C,142,0.00325,19.749,6.08
RC-0,0,23,ambient,RC-0-23C,143,0.00327,20.655,6.31
RC-0,0,23,ambient,RC-0-23C,144,0.0033,19.983,6.06
RC-0,0,23,ambient,RC-0-23C,145,0.00332,19.007,5.73
RC-0,0,23,ambient,RC-0-23C,146,0.00334,19.523,5.84
RC-0,0,23,ambient,RC-0-23C,147,0.00336,19.843,5.9
RC-0,0,23,ambient,RC-0-23C,148,0.00339,18.816,5.55
RC-0,0,23,ambient,RC-0-23C,149,0.00341,18.59,5.45
RC-0,0,23,ambient,RC-0-23C,150,0.00343,19.058,5.55
RC-0,0,23,ambient,RC-0-23C,151,0.00346,17.68,5.11
RC-0,0,23,ambient,RC-0-23C,152,0.00348,18.661,5.36
RC-0,0,23,ambient,RC-0-23C,153,0.0035,18.092,5.16
RC-0,0,23,ambient,RC-0-23C,154,0.00353,17.011,4.82
RC-0,0,23,ambient,RC-0-23C,155,0.00355,16.903,4.76
RC-0,0,23,ambient,RC-0-23C,156,0.00357,16.747,4.69
RC-0,0,23,ambient,RC-0-23C,157,0.0036,15.939,4.43
RC-0,0,23,ambient,RC-0-23C,158,0.00362,16.667,4.61
RC-0,0,23,ambient,RC-0-23C,159,0.00364,15.941,4.38
RC-0,0,23,ambient,RC-0-23C,160,0.00366,16.26,4.44
RC-0,0,23,ambient,RC-0-23C,161,0.00369,15.339,4.16
RC-0,0,23,ambient,RC-0-23C,162,0.00371,16.131,4.35
RC-0,0,23,ambient,RC-0-23C,163,0.00373,15.846,4.24
RC-0,0,23,ambient,RC-0-23C,164,0.00376,14.997,3.99
RC-0,0,23,ambient,RC-0-23C,165,0.00378,15.28,4.04
RC-0,0,23,ambient,RC-0-23C,166,0.0038,14.961,3.93
RC-0,0,23,ambient,RC-0-23C,167,0.00383,15.399,4.03
RC-0,0,23,ambient,RC-0-23C,168,0.00385,14.078,3.66
RC-0,0,23,ambient,RC-0-23C,169,0.00387,14.288,3.69
RC-0,0,23,ambient,RC-0-23C,170,0.00389,13.884,3.56
RC-0,0,23,ambient,RC-0-23C,171,0.00392,14.01,3.58
RC-0,0,23,ambient,RC-0-23C,172,0.00394,14.05,3.57
RC-0,0,23,ambient,RC-0-23C,173,0.00396,13.34,3.37
RC-0,0,23,ambient,RC-0-23C,174,0.00399,13.294,3.33
RC-0,0,23,ambient,RC-0-23C,175,0.00401,13.72,3.42
RC-0,0,23,ambient,RC-0-23C,176,0.00403,13.725,3.4
RC-0,0,23,ambient,RC-0-23C,177,0.00406,13.168,3.25
RC-0,0,23,ambient,RC-0-23C,178,0.00408,12.718,3.12
RC-0,0,23,ambient,RC-0-23C,179,0.0041,12.511,3.05
RC-0,0,23,ambient,RC-0-23C,180,0.00413,12.7,3.08
RC-0,0,23,ambient,RC-0-23C,181,0.00415,12.396,2.99
RC-0,0,23,ambient,RC-0-23C,182,0.00417,11.394,2.73
RC-0,0,23,ambient,RC-0-23C,183,0.00419,12.238,2.92
RC-0,0,23,ambient,RC-0-23C,184,0.00422,11.439,2.71
RC-0,0,23,ambient,RC-0-23C,185,0.00424,11.037,2.6
RC-0,0,23,ambient,RC-0-23C,186,0.00426,10.774,2.53
RC-0,0,23,ambient,RC-0-23C,187,0.00429,11.279,2.63
RC-0,0,23,ambient,RC-0-23C,188,0.00431,10.773,2.5
RC-0,0,23,ambient,RC-0-23C,189,0.00433,10.039,2.32
RC-0,0,23,ambient,RC-0-23C,190,0.00436,10.783,2.48
RC-0,0,23,ambient,RC-0-23C,191,0.00438,10.583,2.42
RC-0,0,23,ambient,RC-0-23C,192,0.0044,10.597,2.41
RC-0,0,23,ambient,RC-0-23C,193,0.00442,10.245,2.32
RC-0,0,23,ambient,RC-0-23C,194,0.00445,11.216,2.52
RC-0,0,23,ambient,RC-0-23C,195,0.00447,10.492,2.35
RC-0,0,23,ambient,RC-0-23C,196,0.00449,9.902,2.2
RC-0,0,23,ambient,RC-0-23C,197,0.00452,9.969,2.21
RC-0,0,23,ambient,RC-0-23C,198,0.00454,10.505,2.31
RC-0,0,23,ambient,RC-0-23C,199,0.00456,10.173,2.23
RC-0,0,23,ambient,RC-0-23C,200,0.00459,8.989,1.96
RC-20,20,23,ambient,RC-20-23C,1,0.0,-0.281,15.36
RC-20,20,23,ambient,RC-20-23C,2,3e-05,0.494,17.14
RC-20,20,23,ambient,RC-20-23C,3,6e-05,1.302,22.61
RC-20,20,23,ambient,RC-20-23C,4,9e-05,1.958,22.66
RC-20,20,23,ambient,RC-20-23C,5,0.00012,2.832,24.57
RC-20,20,23,ambient,RC-20-23C,6,0.00014,3.716,25.8
RC-20,20,23,ambient,RC-20-23C,7,0.00017,4.438,25.68
RC-20,20,23,ambient,RC-20-23C,8,0.0002,4.748,23.55
RC-20,20,23,ambient,RC-20-23C,9,0.00023,5.027,21.81
RC-20,20,23,ambient,RC-20-23C,10,0.00026,5.845,22.54
RC-20,20,23,ambient,RC-20-23C,11,0.00029,6.632,23.02
RC-20,20,23,ambient,RC-20-23C,12,0.00032,7.051,22.25
RC-20,20,23,ambient,RC-20-23C,13,0.00035,8.357,24.18
RC-20,20,23,ambient,RC-20-23C,14,0.00037,8.299,22.16
RC-20,20,23,ambient,RC-20-23C,15,0.0004,9.417,23.35
RC-20,20,23,ambient,RC-20-23C,16,0.00043,9.347,21.63
RC-20,20,23,ambient,RC-20-23C,17,0.00046,10.604,23.0
RC-20,20,23,ambient,RC-20-23C,18,0.00049,10.948,22.35
RC-20,20,23,ambient,RC-20-23C,19,0.00052,11.988,23.12
RC-20,20,23,ambient,RC-20-23C,20,0.00055,11.782,21.53
RC-20,20,23,ambient,RC-20-23C,21,0.00058,12.492,21.68
RC-20,20,23,ambient,RC-20-23C,22,0.0006,13.085,21.63
RC-20,20,23,ambient,RC-20-23C,23,0.00063,13.676,21.58
RC-20,20,23,ambient,RC-20-23C,24,0.00066,14.139,21.34
RC-20,20,23,ambient,RC-20-23C,25,0.00069,14.655,21.2
RC-20,20,23,ambient,RC-20-23C,26,0.00072,15.151,21.04
RC-20,20,23,ambient,RC-20-23C,27,0.00075,15.145,20.22
RC-20,20,23,ambient,RC-20-23C,28,0.00078,16.51,21.23
RC-20,20,23,ambient,RC-20-23C,29,0.00081,17.522,21.72
RC-20,20,23,ambient,RC-20-23C,30,0.00084,17.248,20.65
RC-20,20,23,ambient,RC-20-23C,31,0.00086,17.291,20.01
RC-20,20,23,ambient,RC-20-23C,32,0.00089,17.766,19.89
RC-20,20,23,ambient,RC-20-23C,33,0.00092,18.678,20.26
RC-20,20,23,ambient,RC-20-23C,34,0.00095,19.041,20.03
RC-20,20,23,ambient,RC-20-23C,35,0.00098,19.267,19.67
RC-20,20,23,ambient,RC-20-23C,36,0.00101,19.976,19.81
RC-20,20,23,ambient,RC-20-23C,37,0.00104,19.565,18.87
RC-20,20,23,ambient,RC-20-23C,38,0.00107,20.768,19.48
RC-20,20,23,ambient,RC-20-23C,39,0.00109,21.002,19.19
RC-20,20,23,ambient,RC-20-23C,40,0.00112,21.021,18.71
RC-20,20,23,ambient,RC-20-23C,41,0.00115,21.259,18.45
RC-20,20,23,ambient,RC-20-23C,42,0.00118,22.063,18.68
RC-20,20,23,ambient,RC-20-23C,43,0.00121,22.779,18.83
RC-20,20,23,ambient,RC-20-23C,44,0.00124,22.646,18.28
RC-20,20,23,ambient,RC-20-23C,45,0.00127,22.794,17.98
RC-20,20,23,ambient,RC-20-23C,46,0.0013,23.414,18.06
RC-20,20,23,ambient,RC-20-23C,47,0.00133,24.193,18.26
RC-20,20,23,ambient,RC-20-23C,48,0.00135,24.094,17.79
RC-20,20,23,ambient,RC-20-23C,49,0.00138,24.417,17.66
RC-20,20,23,ambient,RC-20-23C,50,0.00141,24.896,17.64
RC-20,20,23,ambient,RC-20-23C,51,0.00144,24.954,17.32
RC-20,20,23,ambient,RC-20-23C,52,0.00147,24.857,16.92
RC-20,20,23,ambient,RC-20-23C,53,0.0015,24.835,16.58
RC-20,20,23,ambient,RC-20-23C,54,0.00153,25.318,16.58
RC-20,20,23,ambient,RC-20-23C,55,0.00156,25.503,16.39
RC-20,20,23,ambient,RC-20-23C,56,0.00158,26.239,16.56
RC-20,20,23,ambient,RC-20-23C,57,0.00161,26.498,16.43
RC-20,20,23,ambient,RC-20-23C,58,0.00164,26.529,16.16
RC-20,20,23,ambient,RC-20-23C,59,0.00167,26.314,15.75
RC-20,20,23,ambient,RC-20-23C,60,0.0017,27.386,16.11
RC-20,20,23,ambient,RC-20-23C,61,0.00173,26.934,15.58
RC-20,20,23,ambient,RC-20-23C,62,0.00176,27.401,15.59
RC-20,20,23,ambient,RC-20-23C,63,0.00179,27.406,15.34
RC-20,20,23,ambient,RC-20-23C,64,0.00181,27.608,15.21
RC-20,20,23,ambient,RC-20-23C,65,0.00184,27.857,15.11
RC-20,20,23,ambient,RC-20-23C,66,0.00187,27.631,14.76
RC-20,20,23,ambient,RC-20-23C,67,0.0019,28.335,14.9
RC-20,20,23,ambient,RC-20-23C,68,0.00193,27.623,14.31
RC-20,20,23,ambient,RC-20-23C,69,0.00196,27.889,14.24
RC-20,20,23,ambient,RC-20-23C,70,0.00199,28.662,14.42
RC-20,20,23,ambient,RC-20-23C,71,0.00202,28.551,14.16
RC-20,20,23,ambient,RC-20-23C,72,0.00205,29.195,14.27
RC-20,20,23,ambient,RC-20-23C,73,0.00207,28.557,13.77
RC-20,20,23,ambient,RC-20-23C,74,0.0021,29.092,13.83
RC-20,20,23,ambient,RC-20-23C,75,0.00213,28.123,13.19
RC-20,20,23,ambient,RC-20-23C,76,0.00216,28.297,13.1
RC-20,20,23,ambient,RC-20-23C,77,0.00219,28.999,13.25
RC-20,20,23,ambient,RC-20-23C,78,0.00222,28.268,12.74
RC-20,20,23,ambient,RC-20-23C,79,0.00225,28.732,12.79
RC-20,20,23,ambient,RC-20-23C,80,0.00228,29.135,12.8
RC-20,20,23,ambient,RC-20-23C,81,0.0023,28.796,12.49
RC-20,20,23,ambient,RC-20-23C,82,0.00233,28.287,12.12
RC-20,20,23,ambient,RC-20-23C,83,0.00236,27.791,11.76
RC-20,20,23,ambient,RC-20-23C,84,0.00239,27.62,11.55
RC-20,20,23,ambient,RC-20-23C,85,0.00242,27.374,11.31
RC-20,20,23,ambient,RC-20-23C,86,0.00245,26.668,10.89
RC-20,20,23,ambient,RC-20-23C,87,0.00248,26.621,10.75
RC-20,20,23,ambient,RC-20-23C,88,0.00251,26.484,10.57
RC-20,20,23,ambient,RC-20-23C,89,0.00254,25.773,10.17
RC-20,20,23,ambient,RC-20-23C,90,0.00256,25.525,9.96
RC-20,20,23,ambient,RC-20-23C,91,0.00259,25.317,9.76
RC-20,20,23,ambient,RC-20-23C,92,0.00262,25.013,9.54
RC-20,20,23,ambient,RC-20-23C,93,0.00265,24.788,9.35
RC-20,20,23,ambient,RC-20-23C,94,0.00268,23.928,8.93
RC-20,20,23,ambient,RC-20-23C,95,0.00271,23.757,8.77
RC-20,20,23,ambient,RC-20-23C,96,0.00274,23.461,8.57
RC-20,20,23,ambient,RC-20-23C,97,0.00277,23.039,8.33
RC-20,20,23,ambient,RC-20-23C,98,0.00279,22.482,8.05
RC-20,20,23,ambient,RC-20-23C,99,0.00282,21.767,7.71
RC-20,20,23,ambient,RC-20-23C,100,0.00285,22.757,7.98
RC-20,20,23,ambient,RC-20-23C,101,0.00288,21.678,7.52
RC-20,20,23,ambient,RC-20-23C,102,0.00291,22.292,7.66
RC-20,20,23,ambient,RC-20-23C,103,0.00294,21.774,7.41
RC-20,20,23,ambient,RC-20-23C,104,0.00297,21.167,7.13
RC-20,20,23,ambient,RC-20-23C,105,0.003,21.188,7.07
RC-20,20,23,ambient,RC-20-23C,106,0.00302,20.863,6.9
RC-20,20,23,ambient,RC-20-23C,107,0.00305,20.157,6.6
RC-20,20,23,ambient,RC-20-23C,108,0.00308,20.207,6.56
RC-20,20,23,ambient,RC-20-23C,109,0.00311,19.67,6.32
RC-20,20,23,ambient,RC-20-23C,110,0.00314,19.884,6.33
RC-20,20,23,ambient,RC-20-23C,111,0.00317,19.237,6.07
RC-20,20,23,ambient,RC-20-23C,112,0.0032,19.165,5.99
RC-20,20,23,ambient,RC-20-23C,113,0.00323,18.907,5.86
RC-20,20,23,ambient,RC-20-23C,114,0.00326,18.739,5.76
RC-20,20,23,ambient,RC-20-23C,115,0.00328,18.942,5.77
RC-20,20,23,ambient,RC-20-23C,116,0.00331,18.157,5.48
RC-20,20,23,ambient,RC-20-23C,117,0.00334,18.343,5.49
RC-20,20,23,ambient,RC-20-23C,118,0.00337,17.899,5.31
RC-20,20,23,ambient,RC-20-23C,119,0.0034,17.942,5.28
RC-20,20,23,ambient,RC-20-23C,120,0.00343,17.211,5.02
RC-20,20,23,ambient,RC-20-23C,121,0.00346,17.286,5.0
RC-20,20,23,ambient,RC-20-23C,122,0.00349,16.849,4.83
RC-20,20,23,ambient,RC-20-23C,123,0.00351,15.789,4.49
RC-20,20,23,ambient,RC-20-23C,124,0.00354,16.122,4.55
RC-20,20,23,ambient,RC-20-23C,125,0.00357,16.393,4.59
RC-20,20,23,ambient,RC-20-23C,126,0.0036,16.165,4.49
RC-20,20,23,ambient,RC-20-23C,127,0.00363,15.438,4.25
RC-20,20,23,ambient,RC-20-23C,128,0.00366,15.671,4.28
RC-20,20,23,ambient,RC-20-23C,129,0.00369,15.552,4.22
RC-20,20,23,ambient,RC-20-23C,130,0.00372,15.2,4.09
RC-20,20,23,ambient,RC-20-23C,131,0.00375,15.224,4.07
RC-20,20,23,ambient,RC-20-23C,132,0.00377,14.992,3.97
RC-20,20,23,ambient,RC-20-23C,133,0.0038,14.621,3.84
RC-20,20,23,ambient,RC-20-23C,134,0.00383,14.296,3.73
RC-20,20,23,ambient,RC-20-23C,135,0.00386,14.558,3.77
RC-20,20,23,ambient,RC-20-23C,136,0.00389,14.208,3.65
RC-20,20,23,ambient,RC-20-23C,137,0.00392,13.496,3.44
RC-20,20,23,ambient,RC-20-23C,138,0.00395,13.779,3.49
RC-20,20,23,ambient,RC-20-23C,139,0.00398,13.208,3.32
RC-20,20,23,ambient,RC-20-23C,140,0.004,13.088,3.27
RC-20,20,23,ambient,RC-20-23C,141,0.00403,13.006,3.22
RC-20,20,23,ambient,RC-20-23C,142,0.00406,13.038,3.21
RC-20,20,23,ambient,RC-20-23C,143,0.00409,12.965,3.17
RC-20,20,23,ambient,RC-20-23C,144,0.00412,12.575,3.05
RC-20,20,23,ambient,RC-20-23C,145,0.00415,12.424,2.99
RC-20,20,23,ambient,RC-20-23C,146,0.00418,12.223,2.93
RC-20,20,23,ambient,RC-20-23C,147,0.00421,12.511,2.97
RC-20,20,23,ambient,RC-20-23C,148,0.00423,11.231,2.65
RC-20,20,23,ambient,RC-20-23C,149,0.00426,11.809,2.77
RC-20,20,23,ambient,RC-20-23C,150,0.00429,12.19,2.84
RC-20,20,23,ambient,RC-20-23C,151,0.00432,11.743,2.72
RC-20,20,23,ambient,RC-20-23C,152,0.00435,11.81,2.72
RC-20,20,23,ambient,RC-20-23C,153,0.00438,10.713,2.45
RC-20,20,23,ambient,RC-20-23C,154,0.00441,10.796,2.45
RC-20,20,23,ambient,RC-20-23C,155,0.00444,11.158,2.52
RC-20,20,23,ambient,RC-20-23C,156,0.00447,11.315,2.53
RC-20,20,23,ambient,RC-20-23C,157,0.00449,10.401,2.31
RC-20,20,23,ambient,RC-20-23C,158,0.00452,10.48,2.32
RC-20,20,23,ambient,RC-20-23C,159,0.00455,10.571,2.32
RC-20,20,23,ambient,RC-20-23C,160,0.00458,9.903,2.16
RC-20,20,23,ambient,RC-20-23C,161,0.00461,10.339,2.24
RC-20,20,23,ambient,RC-20-23C,162,0.00464,9.287,2.0
RC-20,20,23,ambient,RC-20-23C,163,0.00467,10.071,2.16
RC-20,20,23,ambient,RC-20-23C,164,0.0047,9.515,2.03
RC-20,20,23,ambient,RC-20-23C,165,0.00472,9.547,2.02
RC-20,20,23,ambient,RC-20-23C,166,0.00475,9.739,2.05
RC-20,20,23,ambient,RC-20-23C,167,0.00478,9.557,2.0
RC-20,20,23,ambient,RC-20-23C,168,0.00481,9.305,1.93
RC-20,20,23,ambient,RC-20-23C,169,0.00484,9.467,1.96
RC-20,20,23,ambient,RC-20-23C,170,0.00487,8.58,1.76
RC-20,20,23,ambient,RC-20-23C,171,0.0049,9.012,1.84
RC-20,20,23,ambient,RC-20-23C,172,0.00493,8.611,1.75
RC-20,20,23,ambient,RC-20-23C,173,0.00495,8.989,1.81
RC-20,20,23,ambient,RC-20-23C,174,0.00498,8.811,1.77
RC-20,20,23,ambient,RC-20-23C,175,0.00501,8.711,1.74
RC-20,20,23,ambient,RC-20-23C,176,0.00504,8.867,1.76
RC-20,20,23,ambient,RC-20-23C,177,0.00507,8.61,1.7
RC-20,20,23,ambient,RC-20-23C,178,0.0051,8.134,1.6
RC-20,20,23,ambient,RC-20-23C,179,0.00513,8.074,1.57
RC-20,20,23,ambient,RC-20-23C,180,0.00516,8.143,1.58
RC-20,20,23,ambient,RC-20-23C,181,0.00519,7.907,1.52
RC-20,20,23,ambient,RC-20-23C,182,0.00521,7.97,1.53
RC-20,20,23,ambient,RC-20-23C,183,0.00524,7.025,1.34
RC-20,20,23,ambient,RC-20-23C,184,0.00527,8.11,1.54
RC-20,20,23,ambient,RC-20-23C,185,0.0053,7.489,1.41
