material_id,material_name,material_category,functional_unit,unit,density_kg_per_unit,A1_raw_material_supply_kg_co2e,A2_transport_to_factory_kg_co2e,A3_manufacturing_kg_co2e,A1_A3_total_kg_co2e,A4_transport_to_site_kg_co2e,A5_installation_kg_co2e,A1_A5_total_kg_co2e,B1_use_kg_co2e,B2_maintenance_kg_co2e,B3_repair_kg_co2e,B4_replacement_kg_co2e,B5_refurbishment_kg_co2e,B6_operational_energy_kg_co2e_per_year,B7_operational_water_kg_co2e_per_year,C1_deconstruction_kg_co2e,C2_transport_to_disposal_kg_co2e,C3_waste_processing_kg_co2e,C4_disposal_kg_co2e,C_total_kg_co2e,D_reuse_recovery_recycling_kg_co2e,total_lifecycle_gwp_kg_co2e,biogenic_carbon_kg_co2,data_source,data_quality_score,epd_reference,notes
MAT018,Smart Thermostat,Controls,1 unit,unit,0.3,5.2,0.5,18.5,24.2,0.2,8.5,33.0,0,0.8,2.5,24.2,0,0,0,1.2,0.5,6.8,1.2,9.7,-3.5,67.8,0,Manufacturer EPD,0.88,EPD-THERM-2023-045,Includes Wi-Fi module
MAT019,Solar PV Module (Monocrystalline),Renewable Energy,1 kWp,kWp,20,420.5,28.5,980.5,1429.5,18.5,85.3,1533.3,0,12.5,45.8,1429.5,0,0,0,45.2,15.8,285.5,42.5,388.9,-425.8,2904.1,0,IEA PVPS,0.95,EPD-PV-2023-234,Tier 1 module; 400W
MAT020,Solar PV Module (Polycrystalline),Renewable Energy,1 kWp,kWp,22,385.2,25.8,850.5,1261.5,16.8,78.5,1356.8,0,11.2,42.5,1261.5,0,0,0,42.5,14.5,265.3,38.5,360.8,-385.2,2636.6,0,IEA PVPS,0.93,EPD-PV-2022-189,340W module
MAT021,Solar PV Inverter,Renewable Energy,1 kW,kW,8,85.3,6.8,285.5,377.6,4.5,28.5,410.6,0,8.5,28.5,377.6,0,0,0,12.5,4.5,95.3,15.2,127.5,-85.3,905.4,0,Ecoinvent 3.8,0.91,EPD-INV-2023-123,String inverter
MAT022,Lithium-Ion Battery (LFP),Renewable Energy,1 kWh,kWh,12,185.3,12.5,520.5,718.3,8.5,45.2,772.0,0,15.8,58.5,718.3,0,0,0,28.5,12.5,285.5,45.2,371.7,-125.8,1832.8,0,Ecoinvent 3.8,0.89,EPD-BAT-2023-167,LiFePO4 chemistry
MAT023,Solar Thermal Collector,Renewable Energy,1 m²,m²,35,125.8,8.5,385.5,519.8,12.5,45.2,577.5,0,8.5,28.5,519.8,0,0,0,18.5,8.5,95.3,15.2,137.5,-95.3,1213.3,0,Ecoinvent 3.8,0.92,EPD-ST-2023-089,Flat plate collector
MAT024,BIPV Module (Building-Integrated),Renewable Energy,1 kWp,kWp,28,580.5,35.8,1285.5,1901.8,22.5,185.3,2109.6,0,15.8,58.5,1901.8,0,0,0,58.5,18.5,385.2,58.5,520.7,-485.3,4473.9,0,Manufacturer EPD,0.90,EPD-BIPV-2023-234,Frameless design; façade mount
MAT025,LED Fixture (High-Efficiency),Lighting,1 fixture,fixture,2.5,28.5,2.5,95.3,126.3,1.8,8.5,136.6,0,2.5,8.5,126.3,0,0,0,4.5,1.8,28.5,4.5,39.3,-18.5,300.2,0,Ecoinvent 3.8,0.91,EPD-LED-2023-156,140 lm/W efficacy
MAT026,Occupancy Sensor,Lighting,1 unit,unit,0.2,4.5,0.5,15.8,20.8,0.3,5.2,26.3,0,0.8,2.5,20.8,0,0,0,1.2,0.5,5.8,0.8,8.3,-3.5,55.9,0,Ecoinvent 3.8,0.88,EPD-OCC-2023-078,PIR sensor
MAT027,Circadian Tunable LED System,Lighting,1 fixture,fixture,3.2,38.5,3.2,125.8,167.5,2.2,12.5,182.2,0,3.5,11.2,167.5,0,0,0,6.5,2.5,38.5,6.2,53.7,-25.8,400.9,0,Manufacturer EPD,0.89,EPD-CIRC-2023-189,CCT range 2700-6500K
MAT028,Air Sealing Materials (Caulk/Foam),Air Sealing,1 kg,kg,1,2.8,0.3,8.5,11.6,0.5,0.8,12.9,0,0,0,0,0,0,0,0.3,0.2,2.5,0.5,3.5,-1.2,15.2,0,Ecoinvent 3.8,0.87,EPD-SEAL-2023-045,Polyurethane-based
MAT029,Blower Door Test Equipment,Testing,1 test,test,0,0,0,0,0,0,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,Industry Average,0.80,,Service-based; minimal material impact
MAT030,Cool Roof Coating,Roof Coating,1 m²,m²,1.5,5.8,0.8,18.5,25.1,1.2,2.5,28.8,0,0.5,1.8,25.1,0,0,0,0.8,0.5,5.2,0.8,7.3,-3.5,61.7,0,Ecoinvent 3.8,0.90,EPD-COOL-2023-123,Acrylic elastomeric coating
MAT031,Green Roof Growing Medium,Green Roof,1 m³,m³,800,28.5,12.5,45.8,86.8,18.5,85.5,190.8,0,5.2,15.8,86.8,0,0,0,12.5,8.5,18.5,3.5,43.0,-125.8,195.8,-850.0,Ecoinvent 3.8,0.85,EPD-GR-2023-167,Includes compost; high biogenic carbon
MAT032,Green Roof Drainage Layer,Green Roof,1 m²,m²,2.5,18.5,1.8,58.5,78.8,2.5,8.5,89.8,0,1.2,4.5,78.8,0,0,0,3.5,1.5,18.5,2.8,26.3,-12.5,194.4,0,Ecoinvent 3.8,0.88,EPD-DRAIN-2023-089,Recycled HDPE
MAT033,Green Roof Waterproofing Membrane,Green Roof,1 m²,m²,3.5,28.5,2.5,85.3,116.3,3.5,12.5,132.3,0,2.5,8.5,116.3,0,0,0,4.5,2.2,28.5,4.5,39.7,-18.5,288.3,0,Ecoinvent 3.8,0.91,EPD-MEM-2023-134,EPDM membrane
MAT034,Green Roof Vegetation (Sedum),Green Roof,1 m²,m²,5,2.5,1.2,5.8,9.5,2.8,15.8,28.1,0,2.5,8.5,9.5,0,0,0,1.8,0.8,1.2,0.3,4.1,-28.5,19.7,-150.0,Industry Average,0.82,EPD-VEG-2022-089,Living plants; CO2 sequestration during growth
MAT035,Heat Pump Water Heater,Domestic Hot Water,1 unit,unit,85,285.5,22.5,650.3,958.3,18.5,85.3,1062.1,0,45.2,125.8,958.3,0,0,0,45.2,15.8,185.3,28.5,274.8,-125.8,2224.8,0,Ecoinvent 3.8,0.91,EPD-HPWH-2023-178,Integrated tank
MAT036,Condensing Tank Water Heater,Domestic Hot Water,1 unit,unit,95,320.5,25.8,725.3,1071.6,22.5,95.3,1189.4,0,52.5,145.8,1071.6,0,0,0,52.5,18.5,215.8,32.5,319.3,-145.8,2533.0,0,Ecoinvent 3.8,0.90,EPD-CTWH-2023-145,Stainless steel heat exchanger
MAT037,Tankless Water Heater,Domestic Hot Water,1 unit,unit,28,185.3,15.8,520.5,721.6,12.5,58.5,792.6,0,28.5,85.3,721.6,0,0,0,32.5,12.5,145.8,22.5,213.3,-95.3,1727.2,0,Ecoinvent 3.8,0.91,EPD-TLWH-2023-156,Gas-fired on-demand
MAT038,Smart Power Strip,Plug Loads,1 unit,unit,0.5,6.8,0.8,22.5,30.1,0.5,3.5,34.1,0,0.8,2.5,30.1,0,0,0,1.5,0.5,8.5,1.2,11.7,-4.5,75.6,0,Ecoinvent 3.8,0.87,EPD-SPS-2023-089,Includes ZigBee radio
MAT039,ENERGY STAR Refrigerator,Plug Loads,1 unit,unit,75,285.5,25.8,850.5,1161.8,22.5,45.2,1229.5,0,35.8,125.8,1161.8,0,0,0,52.5,18.5,285.5,42.5,399.0,-185.3,2755.3,0,Ecoinvent 3.8,0.90,EPD-REF-2023-234,Top-freezer configuration
MAT040,Building Management System,Building Automation,1 system,system,150,850.5,65.8,2850.5,3766.8,55.2,850.5,4672.5,0,285.5,850.5,3766.8,0,0,0,185.3,65.8,920.5,125.8,1297.4,-650.3,9986.7,0,Ecoinvent 3.8,0.88,EPD-BMS-2023-189,Includes servers and network
MAT041,IoT Sensor Node,Building Automation,1 sensor,sensor,0.15,8.5,0.8,28.5,37.8,0.5,8.5,46.8,0,1.2,3.5,37.8,0,0,0,1.5,0.5,12.5,1.8,16.3,-5.8,99.1,0,Ecoinvent 3.8,0.87,EPD-IOT-2023-145,LoRaWAN connectivity
MAT042,AI Control Software,Building Automation,1 license,license,0,0,0,0,0,0,180.5,180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,180.5,0,Manufacturer Data,0.75,EPD-AI-2023-234,Cloud-based; data center emissions
MAT043,External Fixed Shading Device,Shading,1 m²,m²,15,58.5,4.5,185.3,248.3,8.5,28.5,285.3,0,3.5,12.5,248.3,0,0,0,8.5,3.5,58.5,8.5,79.0,-38.5,611.6,0,Ecoinvent 3.8,0.90,EPD-SHADE-2023-156,Aluminum louvers
MAT044,Automated Dynamic Shading,Shading,1 m²,m²,22,95.3,6.8,285.5,387.6,12.5,58.5,458.6,0,8.5,28.5,387.6,0,0,0,15.2,5.8,95.3,15.2,131.5,-58.5,977.2,0,Manufacturer EPD,0.89,EPD-DYN-2023-189,Includes motors and controls
MAT045,Phase Change Material Panel,Thermal Mass,1 m²,m²,8,45.8,3.5,125.8,175.1,5.2,18.5,198.8,0,2.5,8.5,175.1,0,0,0,6.5,2.5,38.5,5.8,53.3,-25.8,426.7,0,Manufacturer EPD,0.86,EPD-PCM-2023-123,Paraffin-based; 23°C transition
MAT046,District Heating Pipe Connection,District Systems,1 connection,connection,850,1250.8,95.3,2850.5,4196.6,125.8,850.5,5172.9,0,185.3,580.5,4196.6,0,0,0,185.3,65.8,920.5,125.8,1297.4,-580.5,10365.3,0,Ecoinvent 3.8,0.89,EPD-DH-2023-167,Includes heat exchanger and piping
MAT047,District Cooling Pipe Connection,District Systems,1 connection,connection,950,1450.5,105.8,3150.8,4707.1,135.8,920.5,5763.4,0,205.3,650.3,4707.1,0,0,0,205.3,75.3,1050.8,145.8,1477.2,-650.3,11596.6,0,Ecoinvent 3.8,0.88,EPD-DC-2023-178,Includes chilled water connections
MAT048,Elevator Regenerative Drive,Vertical Transport,1 unit,unit,125,385.5,32.5,850.5,1268.5,28.5,185.3,1482.3,0,65.2,185.3,1268.5,0,0,0,58.5,22.5,285.5,42.5,409.0,-185.3,3094.3,0,Ecoinvent 3.8,0.90,EPD-REGEN-2023-145,IGBT-based drive
MAT049,Elevator Modernization Package,Vertical Transport,1 system,system,850,1850.5,145.8,4850.5,6846.8,125.8,1850.5,8823.1,0,385.5,1250.8,6846.8,0,0,0,385.5,125.8,1850.5,285.5,2647.3,-1250.8,18066.4,0,Ecoinvent 3.8,0.89,EPD-ELEV-2023-234,Includes motors and controls
MAT050,Construction Labor (General),Labor,1 hour,hour,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,Industry Average,0.70,,Average embodied emissions from transportation and tools
