experiment_id,hydrophone_id,position_m,timestamp,source_frequency_hz,source_amplitude_pa,received_amplitude_pa,signal_to_noise_ratio_db,phase_shift_deg,sampling_rate_hz,measurement_duration_s
EXP002,H1,0.5,2024-01-15T09:15:00,250,1000,867.9,26.7,17.2,10000,30
EXP002,H2,1.5,2024-01-15T09:15:00,250,1000,752.8,24.1,34.9,10000,30
EXP002,H3,2.5,2024-01-15T09:15:00,250,1000,652.4,21.8,53.1,10000,30
EXP002,H4,3.5,2024-01-15T09:15:00,250,1000,566.1,18.9,72.8,10000,30
EXP003,H1,0.5,2024-01-15T09:30:00,100,1000,871.3,26.9,14.8,10000,30
EXP003,H2,1.5,2024-01-15T09:30:00,100,1000,759.2,24.3,30.1,10000,30
EXP003,H3,2.5,2024-01-15T09:30:00,100,1000,661.8,21.9,46.3,10000,30
EXP003,H4,3.5,2024-01-15T09:30:00,100,1000,577.4,19.2,63.7,10000,30
EXP003,H1,0.5,2024-01-15T09:30:00,500,1000,823.6,25.1,24.7,10000,30
EXP003,H2,1.5,2024-01-15T09:30:00,500,1000,678.4,21.6,50.2,10000,30
EXP003,H3,2.5,2024-01-15T09:30:00,500,1000,558.7,17.9,77.1,10000,30
EXP003,H4,3.5,2024-01-15T09:30:00,500,1000,460.2,14.7,105.8,10000,30
EXP004,H1,0.5,2024-01-15T09:45:00,100,1000,863.7,26.2,15.9,10000,30
EXP004,H2,1.5,2024-01-15T09:45:00,100,1000,746.1,23.5,32.4,10000,30
EXP004,H3,2.5,2024-01-15T09:45:00,100,1000,644.3,20.6,49.8,10000,30
EXP004,H4,3.5,2024-01-15T09:45:00,100,1000,556.2,17.9,68.1,10000,30
EXP005,H1,0.5,2024-01-15T10:00:00,100,1000,849.2,25.4,17.2,10000,30
EXP005,H2,1.5,2024-01-15T10:00:00,100,1000,720.8,22.1,35.8,10000,30
EXP005,H3,2.5,2024-01-15T10:00:00,100,1000,611.9,18.7,55.4,10000,30
EXP005,H4,3.5,2024-01-15T10:00:00,100,1000,519.1,15.8,76.2,10000,30
EXP005,H1,0.5,2024-01-15T10:00:00,1000,1000,756.3,22.8,32.1,10000,30
EXP005,H2,1.5,2024-01-15T10:00:00,1000,1000,571.7,17.1,65.9,10000,30
EXP005,H3,2.5,2024-01-15T10:00:00,1000,1000,432.8,12.7,101.3,10000,30
EXP005,H4,3.5,2024-01-15T10:00:00,1000,1000,327.4,9.8,138.7,10000,30
EXP006,H1,0.5,2024-01-15T10:15:00,250,1000,832.1,24.8,19.8,10000,30
EXP006,H2,1.5,2024-01-15T10:15:00,250,1000,692.4,20.8,40.7,10000,30
EXP006,H3,2.5,2024-01-15T10:15:00,250,1000,576.3,17.2,62.9,10000,30
EXP006,H4,3.5,2024-01-15T10:15:00,250,1000,479.7,14.1,86.4,10000,30
EXP007,H1,0.5,2024-01-15T10:30:00,100,1000,901.4,29.1,11.7,10000,30
EXP007,H2,1.5,2024-01-15T10:30:00,100,1000,812.6,27.2,23.9,10000,30
EXP007,H3,2.5,2024-01-15T10:30:00,100,1000,732.8,25.1,36.4,10000,30
EXP007,H4,3.5,2024-01-15T10:30:00,100,1000,661.0,22.8,49.7,10000,30
EXP008,H1,0.5,2024-01-15T10:45:00,500,1000,798.7,23.6,26.9,10000,30
EXP008,H2,1.5,2024-01-15T10:45:00,500,1000,638.1,18.1,55.3,10000,30
EXP008,H3,2.5,2024-01-15T10:45:00,500,1000,509.8,14.2,85.7,10000,30
EXP008,H4,3.5,2024-01-15T10:45:00,500,1000,407.8,11.2,118.4,10000,30
EXP009,H1,0.5,2024-01-15T11:00:00,100,1000,821.3,24.1,18.9,10000,30
EXP009,H2,1.5,2024-01-15T11:00:00,100,1000,674.5,19.6,39.2,10000,30
EXP009,H3,2.5,2024-01-15T11:00:00,100,1000,553.6,15.9,61.1,10000,30
EXP009,H4,3.5,2024-01-15T11:00:00,100,1000,454.7,12.8,84.6,10000,30
EXP010,H1,0.5,2024-01-15T11:15:00,250,1000,856.4,25.9,16.4,10000,30
EXP010,H2,1.5,2024-01-15T11:15:00,250,1000,733.2,22.3,33.7,10000,30
EXP010,H3,2.5,2024-01-15T11:15:00,250,1000,628.1,19.1,52.1,10000,30
EXP010,H4,3.5,2024-01-15T11:15:00,250,1000,538.4,16.2,71.8,10000,30
