building_id,date,post_retrofit_consumption_kwh,energy_savings_kwh,savings_percentage,cost_savings_eur,carbon_savings_kg_co2,retrofit_measures,measurement_verified,normalized_for_weather
BLD_00001,2024-03-01,1009220.3,1143340.42,60.0,190978.68,414784.63,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2024-04-01,1067598.48,1084962.24,60.0,186361.45,387836.41,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2024-05-01,885200.82,1267359.9,60.0,232535.52,440880.81,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2024-06-01,794608.81,1357951.91,60.0,244164.88,359959.94,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2024-07-01,824830.4,1327730.32,60.0,210855.13,519377.15,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2024-08-01,725880.46,1426680.25,60.0,262902.12,455512.02,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2024-09-01,665042.52,1487518.2,60.0,271099.38,315794.82,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2024-10-01,757029.15,1395531.57,60.0,271239.81,531210.77,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2024-11-01,814764.89,1337795.83,60.0,244875.59,388756.62,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2024-12-01,842078.77,1310481.95,60.0,234440.73,313379.9,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00004,2023-01-01,2754025.77,1954758.29,47.7,368002.21,635356.26,"window_upgrade, heat_pump",False,True
BLD_00004,2023-02-01,2656159.2,2052624.86,47.7,343316.19,557232.67,"window_upgrade, heat_pump",False,True
BLD_00004,2023-03-01,2692652.92,2016131.14,47.7,327039.54,497832.01,"window_upgrade, heat_pump",False,True
BLD_00004,2023-04-01,2942254.71,1766529.35,47.7,345390.85,376447.49,"window_upgrade, heat_pump",False,True
BLD_00004,2023-05-01,2499696.19,2209087.87,47.7,350116.04,679699.59,"window_upgrade, heat_pump",True,True
BLD_00004,2023-06-01,2443058.62,2265725.44,47.7,437666.62,710553.89,"window_upgrade, heat_pump",False,True
BLD_00004,2023-07-01,2112640.17,2596143.9,47.7,479762.0,824529.71,"window_upgrade, heat_pump",False,True
BLD_00004,2023-08-01,1986043.82,2722740.24,47.7,461545.42,856322.85,"window_upgrade, heat_pump",False,True
BLD_00004,2023-09-01,1812281.95,2896502.12,47.7,532248.38,773926.52,"window_upgrade, heat_pump",False,True
BLD_00004,2023-10-01,1900087.07,2808696.99,47.7,463367.72,1106305.16,"window_upgrade, heat_pump",True,True
BLD_00004,2023-11-01,2214727.28,2494056.78,47.7,479773.48,891450.52,"window_upgrade, heat_pump",True,True
BLD_00004,2023-12-01,2357589.98,2351194.08,47.7,358266.88,938703.75,"window_upgrade, heat_pump",False,True
BLD_00004,2024-01-01,2873546.09,1835237.97,47.7,332597.64,718657.56,"window_upgrade, heat_pump",True,True
BLD_00004,2024-02-01,2941869.34,1766914.72,47.7,289187.83,553549.04,"window_upgrade, heat_pump",False,True
BLD_00004,2024-03-01,2911694.03,1797090.03,47.7,300771.45,386971.56,"window_upgrade, heat_pump",False,True
BLD_00004,2024-04-01,2891474.27,1817309.8,47.7,299847.85,604603.23,"window_upgrade, heat_pump",False,True
BLD_00004,2024-05-01,2546069.48,2162714.58,47.7,367910.29,702866.61,"window_upgrade, heat_pump",False,True
BLD_00004,2024-06-01,2546796.14,2161987.93,47.7,383489.36,813295.13,"window_upgrade, heat_pump",True,True
BLD_00004,2024-07-01,2250136.49,2458647.58,47.7,394975.93,964830.88,"window_upgrade, heat_pump",False,True
BLD_00004,2024-08-01,1941336.44,2767447.62,47.7,503388.53,1001225.73,"window_upgrade, heat_pump",False,True
BLD_00004,2024-09-01,2141080.7,2567703.36,47.7,478442.1,544292.34,"window_upgrade, heat_pump",True,True
BLD_00004,2024-10-01,1980562.19,2728221.88,47.7,429387.16,627748.93,"window_upgrade, heat_pump",False,True
BLD_00004,2024-11-01,2368598.59,2340185.47,47.7,399032.08,870636.03,"window_upgrade, heat_pump",True,True
BLD_00004,2024-12-01,2528263.44,2180520.62,47.7,419310.52,552515.47,"window_upgrade, heat_pump",False,True
BLD_00005,2023-01-01,1011759.69,1298580.62,60.0,231345.84,369594.38,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2023-02-01,1151637.29,1158703.03,60.0,209369.98,332340.57,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2023-03-01,1018682.08,1291658.23,60.0,226901.82,509758.55,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2023-04-01,1116209.12,1194131.2,60.0,221728.4,461094.09,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2023-05-01,973997.58,1336342.73,60.0,229674.25,509736.63,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2023-06-01,887243.37,1423096.95,60.0,283494.16,479388.41,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2023-07-01,888535.48,1421804.84,60.0,250457.47,368384.41,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2023-08-01,771863.71,1538476.6,60.0,301333.87,465670.57,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2023-09-01,726447.8,1583892.52,60.0,274382.18,544957.23,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2023-10-01,741982.93,1568357.39,60.0,281172.59,554774.05,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2023-11-01,767502.81,1542837.51,60.0,282461.02,363971.47,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2023-12-01,987515.2,1322825.12,60.0,201417.24,374690.63,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-01-01,978723.18,1331617.13,60.0,247953.41,468024.61,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-02-01,1111048.27,1199292.04,60.0,195788.89,471734.24,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2024-03-01,1044880.43,1265459.88,60.0,194768.23,501675.42,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-04-01,1164782.46,1145557.86,60.0,177924.08,351543.3,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2024-05-01,995188.74,1315151.57,60.0,198147.61,435525.85,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-06-01,959587.14,1350753.18,60.0,261288.38,531063.15,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-07-01,798919.38,1511420.94,60.0,288162.41,488716.4,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-08-01,810624.49,1499715.83,60.0,231528.76,340469.67,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2024-09-01,681925.59,1628414.72,60.0,245555.6,641764.87,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2024-10-01,719637.19,1590703.13,60.0,290193.82,524849.26,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",False,True
BLD_00005,2024-11-01,888627.26,1421713.06,60.0,274261.91,437484.58,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00005,2024-12-01,887340.33,1422999.99,60.0,246422.73,419497.29,"lighting_led, solar_panels, building_controls, roof_insulation, window_upgrade",True,True
BLD_00010,2023-01-01,597528.82,249524.22,35.8,48337.24,97921.6,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2023-02-01,660803.72,186249.32,35.8,36620.73,42331.8,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2023-03-01,654742.88,192310.16,35.8,38442.36,72619.41,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-04-01,626141.21,220911.82,35.8,39944.02,84427.48,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-05-01,624014.45,223038.58,35.8,41291.04,78048.69,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-06-01,597755.81,249297.23,35.8,45636.03,95753.02,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-07-01,500101.01,346952.02,35.8,68777.12,116195.77,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-08-01,420513.32,426539.71,35.8,71809.05,96681.1,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2023-09-01,474571.83,372481.2,35.8,63744.99,102737.37,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2023-10-01,492018.2,355034.84,35.8,59254.58,119225.18,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-11-01,469030.94,378022.09,35.8,65834.9,95620.75,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2023-12-01,569882.38,277170.65,35.8,49458.91,67489.01,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-01-01,649738.87,197314.16,35.8,39059.67,59807.07,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2024-02-01,693783.87,153269.17,35.8,29829.96,56659.07,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2024-03-01,633949.46,213103.57,35.8,38524.12,56623.83,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-04-01,588064.84,258988.19,35.8,43376.92,89217.99,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-05-01,580975.32,266077.71,35.8,41259.84,79400.04,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2024-06-01,547151.48,299901.55,35.8,58458.46,84615.37,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-07-01,441305.2,405747.84,35.8,76472.26,101447.89,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-08-01,440351.96,406701.07,35.8,67091.14,116181.6,"roof_insulation, building_controls, lighting_led",True,True
BLD_00010,2024-09-01,438359.24,408693.79,35.8,66810.84,162608.57,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-10-01,419345.74,427707.29,35.8,71720.91,122663.04,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-11-01,527146.08,319906.95,35.8,59330.25,71061.93,"roof_insulation, building_controls, lighting_led",False,True
BLD_00010,2024-12-01,493967.04,353085.99,35.8,59928.33,123151.03,"roof_insulation, building_controls, lighting_led",True,True
BLD_00013,2023-01-01,569698.68,717951.72,60.0,138509.36,252789.07,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2023-02-01,629470.8,658179.6,60.0,120291.84,243237.77,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-03-01,669264.05,618386.35,60.0,99522.63,168651.74,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2023-04-01,648728.49,638921.91,60.0,112241.46,227458.89,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-05-01,517687.3,769963.1,60.0,131782.8,259672.52,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-06-01,478726.76,808923.64,60.0,156777.34,282318.56,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-07-01,418736.61,868913.79,60.0,150358.88,220140.47,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2023-08-01,439636.88,848013.52,60.0,146394.31,214645.57,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-09-01,400051.5,887598.9,60.0,142551.31,247982.35,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2023-10-01,426524.25,861126.15,60.0,131457.67,219171.91,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-11-01,421754.02,865896.38,60.0,146445.7,333893.1,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2023-12-01,493840.29,793810.11,60.0,135054.57,253074.47,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-01-01,568675.89,718974.51,60.0,111771.22,150966.16,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2024-02-01,659739.87,627910.53,60.0,101080.4,132255.26,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2024-03-01,627371.77,660278.63,60.0,106924.44,202326.77,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-04-01,571213.33,716437.07,60.0,129683.02,245855.88,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-05-01,554428.68,733221.72,60.0,118044.6,267489.35,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-06-01,514562.78,773087.62,60.0,122574.17,186093.86,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-07-01,482638.98,805011.42,60.0,132343.02,161502.5,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2024-08-01,426125.09,861525.31,60.0,159402.48,254452.94,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-09-01,441102.79,846547.61,60.0,156100.67,198131.52,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2024-10-01,397457.38,890193.02,60.0,148313.07,259084.68,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00013,2024-11-01,478947.05,808703.35,60.0,138608.62,165109.22,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",False,True
BLD_00013,2024-12-01,554334.27,733316.13,60.0,116257.19,258165.52,"wall_insulation, roof_insulation, building_controls, heat_pump, hvac_upgrade",True,True
BLD_00020,2023-01-01,2180886.18,2438316.98,60.0,399908.8,840757.23,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-02-01,2343177.01,2276026.15,60.0,414266.96,604890.22,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-03-01,2431439.14,2187764.02,60.0,337254.04,481802.95,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-04-01,2056177.91,2563025.25,60.0,447885.6,815597.92,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-05-01,1871465.36,2747737.8,60.0,519449.11,938917.99,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-06-01,1887084.11,2732119.05,60.0,528718.78,911192.87,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2023-07-01,1696724.26,2922478.9,60.0,524635.09,1048351.61,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2023-08-01,1550759.4,3068443.76,60.0,478289.58,1082565.78,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-09-01,1501831.42,3117371.74,60.0,578164.18,999931.76,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-10-01,1594347.47,3024855.69,60.0,459757.64,996440.99,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-11-01,1780059.73,2839143.43,60.0,507261.94,864669.87,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2023-12-01,1963405.48,2655797.67,60.0,481777.41,944205.53,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-01-01,1917022.34,2702180.82,60.0,429746.42,881192.66,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2024-02-01,1993773.89,2625429.27,60.0,514672.05,946149.7,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2024-03-01,2372170.02,2247033.14,60.0,365537.71,817186.83,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2024-04-01,2103708.93,2515494.23,60.0,498770.76,642272.32,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-05-01,1961115.46,2658087.7,60.0,491627.2,869092.25,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-06-01,1740287.01,2878916.15,60.0,542792.13,890896.56,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2024-07-01,1742967.36,2876235.8,60.0,539771.55,1024496.91,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-08-01,1632975.98,2986227.18,60.0,575841.11,796584.02,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-09-01,1423907.18,3195295.98,60.0,528156.09,1223268.78,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-10-01,1570260.27,3048942.89,60.0,505045.86,912971.0,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00020,2024-11-01,1748242.03,2870961.13,60.0,459662.28,1065686.99,"hvac_upgrade, heat_pump, solar_panels, building_controls",False,True
BLD_00020,2024-12-01,1792470.3,2826732.86,60.0,537912.78,1071772.86,"hvac_upgrade, heat_pump, solar_panels, building_controls",True,True
BLD_00026,2023-01-01,872947.28,798692.34,48.1,151882.68,245239.7,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00026,2023-02-01,918882.9,752756.72,48.1,145603.7,260867.85,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00026,2023-03-01,1096479.59,575160.03,48.1,105349.59,172160.99,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-04-01,1024222.22,647417.4,48.1,114992.96,230438.49,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-05-01,1035004.1,636635.52,48.1,107878.73,219731.09,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-06-01,874915.07,796724.55,48.1,127486.17,268509.57,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-07-01,753665.69,917973.93,48.1,148968.64,271695.41,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-08-01,663844.83,1007794.79,48.1,188931.81,253600.11,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00026,2023-09-01,717516.51,954123.1,48.1,162943.98,363703.05,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-10-01,749771.9,921867.72,48.1,154939.67,325436.4,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00026,2023-11-01,750656.13,920983.49,48.1,163120.89,285261.87,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2023-12-01,793609.25,878030.37,48.1,138534.25,196931.83,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-01-01,1040337.12,631302.5,48.1,96778.11,223523.94,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00026,2024-02-01,1111923.22,559716.4,48.1,87130.23,162462.34,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-03-01,1040616.6,631023.02,48.1,121004.7,193672.56,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-04-01,1013469.88,658169.74,48.1,118943.32,235032.02,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00026,2024-05-01,1008940.45,662699.17,48.1,111109.47,183949.47,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-06-01,874956.9,796682.72,48.1,129471.93,162240.86,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-07-01,857199.76,814439.86,48.1,128774.84,218612.14,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-08-01,713858.6,957781.02,48.1,187950.82,312537.41,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-09-01,671507.47,1000132.15,48.1,169486.3,351397.69,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-10-01,760971.99,910667.63,48.1,171927.77,255434.87,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-11-01,732028.41,939611.21,48.1,170891.28,333273.21,"wall_insulation, roof_insulation, hvac_upgrade",True,True
BLD_00026,2024-12-01,949671.94,721967.68,48.1,135175.86,264891.55,"wall_insulation, roof_insulation, hvac_upgrade",False,True
BLD_00030,2023-01-01,626137.2,750291.94,60.0,132852.3,201008.64,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2023-02-01,705945.25,670483.88,60.0,127278.04,176649.34,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2023-03-01,618108.09,758321.04,60.0,118635.42,296959.3,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2023-04-01,706345.6,670083.53,60.0,127731.92,191390.23,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2023-05-01,548142.02,828287.12,60.0,162865.04,166694.03,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2023-06-01,500235.63,876193.5,60.0,166547.8,240515.75,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2023-07-01,504070.17,872358.96,60.0,169168.19,187164.3,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2023-08-01,421627.0,954802.13,60.0,185106.14,359594.54,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2023-09-01,466824.17,909604.97,60.0,175939.66,194517.67,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2023-10-01,439184.33,937244.81,60.0,163105.4,285257.38,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2023-11-01,501019.26,875409.87,60.0,139284.23,192654.84,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2023-12-01,526826.93,849602.21,60.0,149521.88,274745.82,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-01-01,616098.14,760330.99,60.0,151879.93,226674.35,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-02-01,705759.21,670669.93,60.0,123750.7,259771.0,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-03-01,653947.56,722481.57,60.0,131394.9,208228.41,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-04-01,664425.97,712003.17,60.0,112129.99,143307.07,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-05-01,647533.88,728895.25,60.0,145224.72,248361.48,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-06-01,527217.87,849211.27,60.0,167706.62,181662.12,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2024-07-01,525779.0,850650.13,60.0,134950.28,262572.68,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2024-08-01,476791.0,899638.14,60.0,143511.34,191247.88,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2024-09-01,449846.04,926583.09,60.0,179695.23,304873.24,"window_upgrade, hvac_upgrade, solar_panels",False,True
BLD_00030,2024-10-01,466505.23,909923.91,60.0,139172.16,316343.5,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2024-11-01,497455.97,878973.16,60.0,150100.84,261852.76,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00030,2024-12-01,574526.43,801902.71,60.0,138856.91,164265.82,"window_upgrade, hvac_upgrade, solar_panels",True,True
BLD_00033,2023-01-01,622805.74,871733.17,60.0,155517.77,192339.79,"hvac_upgrade, heat_pump, lighting_led",True,True
BLD_00033,2023-02-01,769438.56,725100.35,60.0,132676.36,217525.63,"hvac_upgrade, heat_pump, lighting_led",False,True
BLD_00033,2023-03-01,777631.4,716907.51,60.0,113168.02,269781.4,"hvac_upgrade, heat_pump, lighting_led",True,True
BLD_00033,2023-04-01,769168.53,725370.38,60.0,127559.32,219741.37,"hvac_upgrade, heat_pump, lighting_led",True,True
BLD_00033,2023-05-01,685438.56,809100.35,60.0,143900.35,196140.67,"hvac_upgrade, heat_pump, lighting_led",True,True
BLD_00033,2023-06-01,552516.28,942022.63,60.0,179748.01,191212.29,"hvac_upgrade, heat_pump, lighting_led",True,True
BLD_00033,2023-07-01,503140.26,991398.65,60.0,148814.52,210777.45,"hvac_upgrade, heat_pump, lighting_led",False,True
BLD_00033,2023-08-01,490446.12,1004092.79,60.0,169661.68,209917.57,"hvac_upgrade, heat_pump, lighting_led",True,True
BLD_00033,2023-09-01,479010.31,1015528.6,60.0,184388.47,339485.73,"hvac_upgrade, heat_pump, lighting_led",False,True
BLD_00033,2023-10-01,515511.27,979027.64,60.0,152811.66,303056.25,"hvac_upgrade, heat_pump, lighting_led",False,True
