test_type,mix_design,curing_age_days,specimen_id,temperature_c,cooling_regime,compressive_strength_mpa,tensile_strength_mpa,flexural_strength_mpa,modulus_elasticity_mpa,density_kg_m3,upv_m_s,poisson_ratio,mass_loss_percent,spalling_depth_mm,thermal_expansion_coeff,w_c_ratio,cement_content_kg_m3,rubber_content_percent,rubber_size_mm,admixtures,thermal_strain_microstrain,pore_pressure_mpa,generation_timestamp,dataset_version,research_topic
thermal_exposure,control,28,2,200,water_quenching,28.74164324451655,1.9953726185792038,3.0115193401463087,20026.26450635316,2652.575870821258,3311.871284009413,0.18318600000000002,3.56,0.0,1.0177000000000001e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,200,water_quenching,28.40068088453922,2.0756993891383297,2.527548090115589,19977.975467122706,2664.4988936209793,3325.788072095572,0.18318600000000002,3.56,0.0,1.0177000000000001e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,400,furnace_cooling,25.241265201927348,2.2377445184322107,2.8272416042577517,16114.034680776116,2468.7761599889354,3000.956743855104,0.186786,7.54,0.0,1.0377e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,400,furnace_cooling,29.26227025734055,1.9358525171596557,2.7312812751569364,15560.564939112748,2495.644329622672,3228.351239289502,0.186786,7.54,0.0,1.0377e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,400,furnace_cooling,29.531491778205844,2.0438353706675714,3.063521855133423,13987.822117345917,2471.8522624755587,3452.15987698733,0.186786,7.54,0.0,1.0377e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,400,water_quenching,24.022091830425797,1.2264697270388054,2.3125406254996093,12083.285736690857,2610.241397051905,2812.756065895079,0.186786,7.56,2.0,1.0377e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,400,water_quenching,27.257720115379083,1.6313386142230664,1.9521573774744896,12699.531084687136,2583.010399643147,3094.5781985487956,0.186786,7.56,2.0,1.0377e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,400,water_quenching,21.593663281794047,1.4584345210817478,2.213896582267288,10733.707569775357,2489.7465676628717,2381.305869338073,0.186786,7.56,2.0,1.0377e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,600,furnace_cooling,15.410547388599856,0.950341936858576,1.4953064167724837,6026.674120951119,2578.431154715367,1862.7203753829765,0.190386,11.540000000000001,20.0,1.0577000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,600,furnace_cooling,13.603738126412503,0.869167491615855,1.34992850836211,5988.229890686126,2393.843013384019,1848.770196731868,0.190386,11.540000000000001,20.0,1.0577000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,600,furnace_cooling,14.106368429363883,0.945315617627154,1.3476577719925904,5661.643276922152,2471.4315098010625,1806.5252246692883,0.190386,11.540000000000001,20.0,1.0577000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,600,water_quenching,12.536819469948641,0.682702960556841,0.8202989297834654,4945.16539646914,2470.612927049005,1581.2958710279956,0.190386,11.56,22.0,1.0577000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,600,water_quenching,12.492113397165804,0.5364096893021759,0.8596179132134063,4455.011166934412,2595.2171061155973,1688.747975636789,0.190386,11.56,22.0,1.0577000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,600,water_quenching,11.894676687943472,0.6282275234389653,0.8997781474781344,4736.360755334433,2527.7676519168986,1701.538323846093,0.190386,11.56,22.0,1.0577000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,800,furnace_cooling,6.463529380290315,0.32581563389292345,0.5056973117481145,1292.8270951737973,2370.0295820167166,1033.7548703061232,0.19398600000000002,15.0,40.0,1.0777000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,800,furnace_cooling,7.638282565290694,0.33954048633863215,0.5499809620788999,1528.0125139089182,2594.596543790828,1124.0291624578037,0.19398600000000002,15.0,40.0,1.0777000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,800,furnace_cooling,6.680924500600386,0.30986730149478214,0.4364647913466062,1518.3117272280501,2407.1231385040874,914.8542778815543,0.19398600000000002,15.0,40.0,1.0777000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,800,water_quenching,5.120680514007228,0.21320248869373676,0.42541195551664135,1263.4780625003607,2443.7052821444254,880.1559549595945,0.19398600000000002,15.0,42.0,1.0777000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,800,water_quenching,5.433423108903771,0.21967824448094903,0.4194417164126155,1238.8015231452957,2393.3924372088295,817.729812952572,0.19398600000000002,15.0,42.0,1.0777000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,800,water_quenching,5.021732914537784,0.2043456879096485,0.3977128627301517,1337.4779981138497,2375.73035971333,825.931916599043,0.19398600000000002,15.0,42.0,1.0777000000000002e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,23,furnace_cooling,42.33775410052771,3.2822257094635523,4.872387338758204,28160.368448430567,2580.001289920556,4390.783637122989,0.18,0.0,0.0,1.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,23,furnace_cooling,45.62884223851137,3.4649843940552367,5.055444027566949,28082.72155424187,2547.7674379092023,4831.653631141667,0.18,0.0,0.0,1.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,23,furnace_cooling,46.45227711138192,3.07706908999587,5.2306461876279045,31038.97185384853,2491.4421577581934,4754.579689643695,0.18,0.0,0.0,1.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,23,water_quenching,42.29494530928649,3.7246928350458903,4.783892817643499,26483.700096615827,2493.600187327123,4513.214639675891,0.18,0.0,0.0,1.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,23,water_quenching,45.590488498650856,3.1077062693863238,5.509939806249977,26739.171249036714,2574.093586379731,4395.3238033795315,0.18,0.0,0.0,1.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,23,water_quenching,42.333489586822886,3.505827812185082,4.733574709852135,29014.722020182453,2629.3743943150043,4491.20942302786,0.18,0.0,0.0,1.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,200,furnace_cooling,40.501163728947446,2.4107368228477,4.362876943860707,24201.656461509283,2406.7201909679115,3864.9787292521205,0.18318600000000002,4.425,0.0,1.0329655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,200,furnace_cooling,39.71572190385366,2.720849643288396,4.297139096589175,21467.773797954305,2536.262945991495,4076.0993874689266,0.18318600000000002,4.425,0.0,1.0329655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,200,furnace_cooling,41.50973751036393,2.873943461735811,4.283240936593591,21724.526434777323,2507.1870581341245,4049.440497375494,0.18318600000000002,4.425,0.0,1.0329655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,200,water_quenching,31.32887670320801,1.8535405123106297,2.9843969085749222,20039.01853391171,2575.989883793128,3392.464179517389,0.18318600000000002,4.444999999999999,0.0,1.0329655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,200,water_quenching,33.28901739384641,1.8565645895762695,2.309224142814784,16742.154116367114,2437.145902497578,3356.04488185186,0.18318600000000002,4.444999999999999,0.0,1.0329655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,200,water_quenching,30.415250030814107,2.3448808636237573,2.9951724462351637,17585.737714597566,2573.8773290285417,3039.045279403733,0.18318600000000002,4.444999999999999,0.0,1.0329655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,400,furnace_cooling,29.57782803047924,2.094657580348738,2.427375836372138,15869.084852497374,2497.1198940406384,3195.1893061319693,0.186786,9.425,0.0,1.0532655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,400,furnace_cooling,30.50022924493854,2.4397319299522042,2.9003656939509432,15071.164542393599,2457.5409336784983,3128.120255489444,0.186786,9.425,0.0,1.0532655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,400,furnace_cooling,30.959038417133183,1.7203356576701916,2.8689460720693676,14424.407214932282,2504.0887938595774,3367.8018030433095,0.186786,9.425,0.0,1.0532655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,400,water_quenching,25.15220771483341,1.2599702269119668,1.9401791538024502,11182.337223390372,2458.288387514973,2810.287248677487,0.186786,9.445,1.75,1.0532655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,400,water_quenching,24.6309545701824,1.1935923236121562,2.1673907247843327,12846.298665756169,2500.837335400035,3024.0267143435035,0.186786,9.445,1.75,1.0532655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,400,water_quenching,21.786830619633527,1.1416543771366459,1.6393166053446862,12946.38038522949,2512.7890824656956,2663.6205679401573,0.186786,9.445,1.75,1.0532655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,600,furnace_cooling,15.98198976564425,0.7537963554335357,1.6114759663207867,5986.054429255971,2434.0921639559915,2036.6459245343842,0.190386,14.425,19.75,1.0735655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,600,furnace_cooling,16.233401094748345,0.8949137912591115,1.192449367508941,6108.031322483269,2520.1986532601154,2144.332432172048,0.190386,14.425,19.75,1.0735655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,600,furnace_cooling,17.6242345359439,0.8180370645588266,1.1666659678729188,5895.169541676485,2431.485119098999,2133.4326493835183,0.190386,14.425,19.75,1.0735655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,600,water_quenching,10.812290685848104,0.7220222606864337,0.8920387961043946,4630.287669336592,2379.6147081327654,1417.8879256828225,0.190386,14.445,21.75,1.0735655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,600,water_quenching,13.329032779018856,0.6154173151059943,0.7894431038910698,4382.747140509223,2412.4673185136267,1795.5676402475399,0.190386,14.445,21.75,1.0735655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,600,water_quenching,12.245794428441792,0.5000109169740359,0.8840868316435063,4674.2410557935455,2297.77545757816,1572.5028302546377,0.190386,14.445,21.75,1.0735655e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,800,furnace_cooling,6.57560563853466,0.3777237046528749,0.6136811340694094,1585.3769441327051,2364.444054174151,917.7319341991752,0.19398600000000002,15.0,39.75,1.0938655000000001e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,800,furnace_cooling,8.078567186551764,0.35107722553169407,0.5186414258867553,1482.8504547384987,2386.6461037838367,1030.711137715036,0.19398600000000002,15.0,39.75,1.0938655000000001e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,800,furnace_cooling,6.391920847412538,0.32572379677003194,0.516223642628973,1436.5808528919815,2343.3363073505298,964.0520246414133,0.19398600000000002,15.0,39.75,1.0938655000000001e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,1,800,water_quenching,5.250175968258634,0.2880605242888737,0.2664346801785964,1265.8026084050334,2436.472828430241,738.9837270616272,0.19398600000000002,15.0,41.75,1.0938655000000001e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,2,800,water_quenching,5.2125692671621096,0.2331433199855648,0.3115155080150222,1132.5572265085227,2324.42640452782,873.9403919789038,0.19398600000000002,15.0,41.75,1.0938655000000001e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_5_fine,28,3,800,water_quenching,5.760681467845905,0.2812541849136569,0.38870778767864905,1107.521189747636,2352.2901621060437,853.33600951221,0.19398600000000002,15.0,41.75,1.0938655000000001e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,1,23,furnace_cooling,39.99133478966917,3.769063665947024,5.034430546614108,28738.81609548251,2540.619094406995,4568.189989306891,0.18,0.0,0.0,1.0300000000000001e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,2,23,furnace_cooling,43.04501397600554,3.95502316927368,4.6007442930908695,30486.51041064968,2534.714373024216,4492.729103153794,0.18,0.0,0.0,1.0300000000000001e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,3,23,furnace_cooling,45.48146769687055,2.9507360395348274,5.635050097587688,29073.832631314566,2478.811576671996,4828.551866209775,0.18,0.0,0.0,1.0300000000000001e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,1,23,water_quenching,41.82739727333538,2.8851786854830865,4.35542840712943,30469.00155417371,2440.850489439936,4829.21969858105,0.18,0.0,0.0,1.0300000000000001e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,2,23,water_quenching,36.94247831964432,4.178811581284362,5.267251250281799,29229.398070660627,2477.6995537508715,4395.487490422774,0.18,0.0,0.0,1.0300000000000001e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,3,23,water_quenching,44.19154734520149,3.9316796961233633,5.217323190285827,29665.13230721875,2486.783028168086,4542.81997164906,0.18,0.0,0.0,1.0300000000000001e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,1,200,furnace_cooling,38.60399531161755,2.207580352706835,3.570361625488791,23033.338396392053,2469.070340105641,3981.946055977917,0.18318600000000002,5.3100000000000005,0.0,1.0482310000000002e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,rubber_10_fine,28,2,200,furnace_cooling,37.7318117176524,2.8934531533775094,3.903976293207375,21020.30284829274,2470.299677583531,3797.146827720583,0.18318600000000002,5.3100000000000005,0.0,1.0482310000000002e-05,0.45,400,10,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
