test_type,mix_design,curing_age_days,specimen_id,temperature_c,cooling_regime,compressive_strength_mpa,tensile_strength_mpa,flexural_strength_mpa,modulus_elasticity_mpa,density_kg_m3,upv_m_s,poisson_ratio,mass_loss_percent,spalling_depth_mm,thermal_expansion_coeff,w_c_ratio,cement_content_kg_m3,rubber_content_percent,rubber_size_mm,admixtures,thermal_strain_microstrain,pore_pressure_mpa,generation_timestamp,dataset_version,research_topic
insitu_thermal,rubber_5_fine,28,2,200,N/A,30.35793251084493,,,25661.851428153583,,,0.186372,,,,0.45,400,5,0.5-2mm,SP + AEA,1795.7810903104087,0.985,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,3,200,N/A,32.439613968888395,,,25942.547194983526,,,0.186372,,,,0.45,400,5,0.5-2mm,SP + AEA,1890.263088571682,0.985,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,1,400,N/A,26.771520400856886,,,21895.19640211309,,,0.19357199999999997,,,,0.45,400,5,0.5-2mm,SP + AEA,4055.9216822317617,2.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,2,400,N/A,27.240790328411094,,,24852.541060194,,,0.19357199999999997,,,,0.45,400,5,0.5-2mm,SP + AEA,3999.0864172815773,2.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,3,400,N/A,22.961382725463302,,,22468.52876166343,,,0.19357199999999997,,,,0.45,400,5,0.5-2mm,SP + AEA,3989.8688542441387,2.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,1,600,N/A,21.60031284120403,,,18657.1840156161,,,0.20077199999999998,,,,0.45,400,5,0.5-2mm,SP + AEA,6187.550135800811,4.925,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,2,600,N/A,17.662295324921985,,,17707.956911420744,,,0.20077199999999998,,,,0.45,400,5,0.5-2mm,SP + AEA,6151.946912289534,4.925,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,3,600,N/A,18.670706210550847,,,18566.153647529893,,,0.20077199999999998,,,,0.45,400,5,0.5-2mm,SP + AEA,6277.96816021757,4.925,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,1,800,N/A,12.826628927094411,,,13337.851422314709,,,0.207972,,,,0.45,400,5,0.5-2mm,SP + AEA,8521.565068411008,6.895,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,2,800,N/A,13.62435710161692,,,13843.146889046484,,,0.207972,,,,0.45,400,5,0.5-2mm,SP + AEA,8492.634076666354,6.895,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,3,800,N/A,12.44865068806325,,,13692.174361505107,,,0.207972,,,,0.45,400,5,0.5-2mm,SP + AEA,8531.748956692194,6.895,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,1,200,N/A,33.29081578884391,,,25432.178603961675,,,0.186372,,,,0.45,400,10,0.5-2mm,SP + AEA,1810.9942611098952,0.97,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,2,200,N/A,32.43962934237313,,,25882.95806749267,,,0.186372,,,,0.45,400,10,0.5-2mm,SP + AEA,1836.727212395412,0.97,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,3,200,N/A,38.260380398413616,,,24212.876244324296,,,0.186372,,,,0.45,400,10,0.5-2mm,SP + AEA,1866.6031062875945,0.97,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,1,400,N/A,28.50296910654947,,,19468.774460735418,,,0.19357199999999997,,,,0.45,400,10,0.5-2mm,SP + AEA,3941.452429400962,2.91,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,2,400,N/A,23.286749588787014,,,22891.76617184289,,,0.19357199999999997,,,,0.45,400,10,0.5-2mm,SP + AEA,4001.8999627053786,2.91,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,3,400,N/A,31.95239060072061,,,20559.298145393906,,,0.19357199999999997,,,,0.45,400,10,0.5-2mm,SP + AEA,4038.720435159853,2.91,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,1,600,N/A,21.829392317367617,,,19888.415954675525,,,0.20077199999999998,,,,0.45,400,10,0.5-2mm,SP + AEA,6389.092048831822,4.85,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,2,600,N/A,21.310565540974753,,,18842.452273241874,,,0.20077199999999998,,,,0.45,400,10,0.5-2mm,SP + AEA,6315.64321746006,4.85,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,3,600,N/A,20.6420939760765,,,17164.65032974419,,,0.20077199999999998,,,,0.45,400,10,0.5-2mm,SP + AEA,6245.106925828886,4.85,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,1,800,N/A,12.33674871404738,,,14078.480494853982,,,0.207972,,,,0.45,400,10,0.5-2mm,SP + AEA,8602.279467533639,6.79,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,2,800,N/A,13.027558145008932,,,15038.999628074911,,,0.207972,,,,0.45,400,10,0.5-2mm,SP + AEA,8629.361214314595,6.79,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_fine,28,3,800,N/A,13.798707152210271,,,13249.376022811019,,,0.207972,,,,0.45,400,10,0.5-2mm,SP + AEA,8615.257897036015,6.79,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,1,200,N/A,31.44705770928096,,,21804.65863878901,,,0.186372,,,,0.45,400,15,0.5-2mm,SP + AEA,1878.2547707078652,0.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,2,200,N/A,33.03519908085062,,,26784.3073677851,,,0.186372,,,,0.45,400,15,0.5-2mm,SP + AEA,1913.929389227739,0.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,3,200,N/A,30.626760371036706,,,27286.167854847485,,,0.186372,,,,0.45,400,15,0.5-2mm,SP + AEA,1943.4404897762677,0.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,1,400,N/A,27.547883648194027,,,20776.35963295485,,,0.19357199999999997,,,,0.45,400,15,0.5-2mm,SP + AEA,4040.2028431638264,2.8649999999999998,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,2,400,N/A,25.53833828603557,,,22438.491294144536,,,0.19357199999999997,,,,0.45,400,15,0.5-2mm,SP + AEA,4182.404120296731,2.8649999999999998,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,3,400,N/A,29.57183530723232,,,20444.79419674037,,,0.19357199999999997,,,,0.45,400,15,0.5-2mm,SP + AEA,4032.19393333555,2.8649999999999998,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,1,600,N/A,19.501469383342826,,,15706.229679133718,,,0.20077199999999998,,,,0.45,400,15,0.5-2mm,SP + AEA,6393.719190709239,4.7749999999999995,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,2,600,N/A,19.056409121080492,,,17079.268101660233,,,0.20077199999999998,,,,0.45,400,15,0.5-2mm,SP + AEA,6297.82565163666,4.7749999999999995,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,3,600,N/A,20.076466086968257,,,17008.98823683919,,,0.20077199999999998,,,,0.45,400,15,0.5-2mm,SP + AEA,6319.064963214486,4.7749999999999995,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,1,800,N/A,9.432194581174986,,,14055.337752483132,,,0.207972,,,,0.45,400,15,0.5-2mm,SP + AEA,8839.159384833487,6.685,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,2,800,N/A,13.873638375396716,,,13692.464027036978,,,0.207972,,,,0.45,400,15,0.5-2mm,SP + AEA,8720.436201981911,6.685,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_fine,28,3,800,N/A,12.705373263424438,,,13235.22904341315,,,0.207972,,,,0.45,400,15,0.5-2mm,SP + AEA,8765.636399990974,6.685,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,1,200,N/A,35.67628927396816,,,26633.964952609153,,,0.186372,,,,0.45,400,10,2-5mm,SP + AEA,1850.3611661760026,0.97,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,2,200,N/A,33.06834295361209,,,23500.875229372054,,,0.186372,,,,0.45,400,10,2-5mm,SP + AEA,1814.0248522980073,0.97,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,3,200,N/A,33.00701339612215,,,25354.53003784523,,,0.186372,,,,0.45,400,10,2-5mm,SP + AEA,1901.0481013116628,0.97,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,1,400,N/A,24.81979338062708,,,23185.55968767956,,,0.19357199999999997,,,,0.45,400,10,2-5mm,SP + AEA,4015.9366899478723,2.91,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,2,400,N/A,26.478740174025482,,,20325.69268122027,,,0.19357199999999997,,,,0.45,400,10,2-5mm,SP + AEA,3908.2808569863537,2.91,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,3,400,N/A,28.399959265336978,,,22220.50990883015,,,0.19357199999999997,,,,0.45,400,10,2-5mm,SP + AEA,4015.4264921440904,2.91,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,1,600,N/A,19.53622151810969,,,18301.248511782134,,,0.20077199999999998,,,,0.45,400,10,2-5mm,SP + AEA,6207.8895771556745,4.85,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,2,600,N/A,18.60963248396741,,,18597.693851912183,,,0.20077199999999998,,,,0.45,400,10,2-5mm,SP + AEA,6223.302398841539,4.85,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,3,600,N/A,19.888435297799724,,,16306.820378833838,,,0.20077199999999998,,,,0.45,400,10,2-5mm,SP + AEA,6309.338369121678,4.85,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,1,800,N/A,12.304894500570436,,,12845.329037248108,,,0.207972,,,,0.45,400,10,2-5mm,SP + AEA,8683.17783772286,6.79,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,2,800,N/A,11.614886493998872,,,13532.231772395387,,,0.207972,,,,0.45,400,10,2-5mm,SP + AEA,8634.96932986155,6.79,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_10_coarse,28,3,800,N/A,13.474022142635063,,,13356.794092617634,,,0.207972,,,,0.45,400,10,2-5mm,SP + AEA,8628.0248624924,6.79,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,1,200,N/A,34.504549592720636,,,25575.715024919486,,,0.186372,,,,0.45,400,15,2-5mm,SP + AEA,1891.2108827638613,0.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,2,200,N/A,32.38059257958717,,,23335.3121831918,,,0.186372,,,,0.45,400,15,2-5mm,SP + AEA,1886.6959991523188,0.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,3,200,N/A,30.4987851122783,,,20250.627950699578,,,0.186372,,,,0.45,400,15,2-5mm,SP + AEA,1904.2167952078835,0.955,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,1,400,N/A,28.22559850874014,,,18076.41279250831,,,0.19357199999999997,,,,0.45,400,15,2-5mm,SP + AEA,4037.6882697645037,2.8649999999999998,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,2,400,N/A,27.625916220535213,,,23662.74977582641,,,0.19357199999999997,,,,0.45,400,15,2-5mm,SP + AEA,4089.214490383771,2.8649999999999998,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,3,400,N/A,24.789113537649104,,,20831.44374465084,,,0.19357199999999997,,,,0.45,400,15,2-5mm,SP + AEA,4156.91862595741,2.8649999999999998,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,1,600,N/A,18.287571940324877,,,16728.04397470747,,,0.20077199999999998,,,,0.45,400,15,2-5mm,SP + AEA,6353.423628890899,4.7749999999999995,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,2,600,N/A,17.813391737512482,,,17699.90331604871,,,0.20077199999999998,,,,0.45,400,15,2-5mm,SP + AEA,6458.794727923478,4.7749999999999995,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,3,600,N/A,19.782543957782583,,,17304.540156156592,,,0.20077199999999998,,,,0.45,400,15,2-5mm,SP + AEA,6362.970241554223,4.7749999999999995,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,1,800,N/A,10.714678221904295,,,14824.555898780907,,,0.207972,,,,0.45,400,15,2-5mm,SP + AEA,8746.65494514936,6.685,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,2,800,N/A,12.069305705646364,,,16775.845220550556,,,0.207972,,,,0.45,400,15,2-5mm,SP + AEA,8765.484450418284,6.685,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_15_coarse,28,3,800,N/A,11.509598126848669,,,13718.429428392754,,,0.207972,,,,0.45,400,15,2-5mm,SP + AEA,8807.969090459837,6.685,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
