Sample_ID,Rho,Gc_YSZ_GDC,Gc_GDC_LSCF,R_system
136,0.0,3.3136,2.61,5.9237
137,0.0,3.6842,3.7107,7.3949
138,0.0,4.8928,2.6461,7.5389
139,0.0,3.2904,1.9667,5.2571
140,0.0,4.5853,2.5824,7.1677
141,0.0,4.0638,1.7353,5.7991
142,0.0,4.3845,2.6823,7.0668
143,0.0,3.1019,2.2329,5.3348
144,0.0,3.9172,2.4771,6.3942
145,0.0,3.5643,2.4017,5.966
146,0.0,3.5887,2.5266,6.1154
147,0.0,4.8089,1.4746,6.2835
148,0.0,3.5979,2.5387,6.1366
149,0.0,3.9387,2.2774,6.2161
150,0.0,2.7795,2.616,5.3954
151,0.0,5.0225,1.8092,6.8317
152,0.0,4.3374,2.297,6.6344
153,0.0,3.7068,1.9901,5.6968
154,0.0,3.5388,3.1713,6.7101
155,0.0,4.1352,3.4548,7.5899
156,0.0,4.5747,2.6742,7.2488
157,0.0,5.0366,2.6741,7.7108
158,0.0,4.3111,2.3116,6.6227
159,0.0,3.7882,2.1352,5.9234
160,0.0,4.431,1.9412,6.3723
161,0.0,4.2778,2.3606,6.6384
162,0.0,4.5699,2.8445,7.4144
163,0.0,5.1027,2.8332,7.9359
164,0.0,2.868,2.4192,5.2872
165,0.0,3.0696,2.2123,5.2819
166,0.0,4.8415,2.7814,7.6228
167,0.0,3.3264,2.0056,5.3319
168,0.0,3.7665,1.9266,5.6931
169,0.0,3.3421,2.6077,5.9498
170,0.0,4.5575,2.7656,7.3231
171,0.0,2.5382,2.6038,5.142
172,0.0,3.7917,2.6609,6.4526
173,0.0,4.9286,1.6292,6.5577
174,0.0,3.3879,2.7558,6.1437
175,0.0,2.8634,3.2837,6.1471
176,0.0,3.9874,2.8989,6.8863
177,0.0,3.3995,2.8801,6.2796
178,0.0,4.4908,2.5672,7.058
179,0.0,3.8977,2.5863,6.484
180,0.0,3.2348,2.3809,5.6157
181,0.0,3.6498,2.6448,6.2947
182,0.0,4.4387,1.9878,6.4266
183,0.0,3.6669,3.2873,6.9542
184,0.0,3.3013,2.0831,5.3843
185,0.0,3.8765,2.8977,6.7742
186,0.0,3.7529,3.1895,6.9424
187,0.0,4.3322,2.8962,7.2284
188,0.0,4.1152,3.8871,8.0022
189,0.0,3.6173,1.6486,5.2659
190,0.0,4.9186,2.239,7.1576
191,0.0,3.8149,3.1773,6.9921
192,0.0,2.8533,1.9132,4.7666
193,0.0,2.8538,2.0947,4.9485
194,0.0,4.0359,2.7196,6.7556
195,0.0,3.9255,1.8532,5.7787
196,0.0,2.5301,2.478,5.0081
197,0.0,3.4572,2.6849,6.1422
198,0.0,4.2198,2.5195,6.7393
199,0.0,4.2617,2.5653,6.827
200,0.0,4.0984,2.1321,6.2305
201,0.0,3.6331,2.5489,6.1819
202,0.0,4.3056,2.2676,6.5732
203,0.0,4.0922,2.3257,6.4179
204,0.0,3.6716,2.8891,6.5607
205,0.0,2.6701,1.8963,4.5664
206,0.0,2.9121,1.5442,4.4563
207,0.0,3.3381,2.8437,6.1818
208,0.0,3.5687,2.5494,6.1181
209,0.0,4.5066,3.1887,7.6954
210,0.0,3.7019,3.2051,6.907
211,0.0,3.8047,2.0768,5.8815
212,0.0,3.386,1.8285,5.2144
213,0.0,3.2212,2.2837,5.5049
214,0.0,4.2933,3.4469,7.7401
215,0.0,2.962,2.6498,5.6118
216,0.0,3.1389,2.6931,5.832
217,0.0,3.6631,1.7059,5.369
218,0.0,4.3852,2.1746,6.5598
219,0.0,3.4209,1.9834,5.4044
220,0.0,3.3517,2.6682,6.02
221,0.0,3.6271,2.6163,6.2435
222,0.0,3.983,3.1843,7.1673
223,0.0,3.5338,1.8298,5.3636
224,0.0,4.4898,2.2957,6.7855
225,0.0,4.5261,2.6448,7.1709
226,0.0,3.6631,2.6268,6.2899
227,0.0,5.2169,3.6988,8.9157
228,0.0,3.79,2.5305,6.3205
229,0.0,4.4967,2.0734,6.5702
230,0.0,3.9636,2.4389,6.4025
231,0.0,3.9507,2.0785,6.0292
232,0.0,2.8595,1.626,4.4855
233,0.0,3.0982,2.2386,5.3368
234,0.0,3.5637,3.5978,7.1615
235,0.0,4.5195,2.0262,6.5457
236,0.0,3.9734,2.2616,6.235
237,0.0,3.569,2.5431,6.1121
238,0.0,4.1609,2.2922,6.453
239,0.0,4.4873,1.9553,6.4425
240,0.0,3.7496,4.1006,7.8502
241,0.0,3.8902,3.2561,7.1463
242,0.0,3.8043,2.7503,6.5545
243,0.0,3.7097,2.3701,6.0798
244,0.0,3.2812,2.6695,5.9507
245,0.0,3.2413,2.7969,6.0381
246,0.0,4.5036,2.636,7.1397
247,0.0,3.5679,2.6821,6.2499
248,0.0,3.5543,2.9505,6.5048
249,0.0,2.7444,2.2938,5.0382
250,0.0,2.6711,1.8232,4.4943
251,0.0,4.7218,2.927,7.6488
252,0.0,3.3148,1.8205,5.1353
253,0.0,2.264,2.2013,4.4653
254,0.0,5.6498,2.6719,8.3217
255,0.0,3.4061,2.688,6.094
256,0.0,2.8734,2.3113,5.1847
257,0.0,3.8094,2.41,6.2194
258,0.0,4.284,2.6246,6.9086
259,0.0,4.1958,2.139,6.3348
260,0.0,4.3625,3.3847,7.7473
261,0.0,3.1767,2.0562,5.2329
262,0.0,4.6994,2.3603,7.0597
263,0.0,4.754,2.2458,6.9997
264,0.0,4.7955,2.5161,7.3116
265,0.0,3.9135,3.342,7.2555
266,0.0,3.5224,2.0346,5.557
267,0.0,3.4709,2.6812,6.1521
268,0.0,2.8711,2.7813,5.6524
269,0.0,3.4181,3.0771,6.4952
270,0.0,2.4942,2.0978,4.5921
271,0.0,2.8128,2.0814,4.8942
272,0.0,3.9065,2.366,6.2725
273,0.0,3.5878,2.3754,5.9632
274,0.0,3.8772,2.0076,5.8848
275,0.0,4.2233,2.7952,7.0185
276,0.0,3.9987,2.7371,6.7358
277,0.0,3.939,3.6682,7.6072
278,0.0,3.6906,2.3068,5.9974
279,0.0,3.2957,1.9982,5.2939
280,0.0,3.0321,2.0558,5.0879
281,0.0,3.7009,2.6192,6.3202
282,0.0,3.7783,2.1066,5.8849
283,0.0,4.3643,2.838,7.2023
284,0.0,3.6454,2.1541,5.7995
285,0.0,4.1112,2.5444,6.6556
286,0.0,2.929,2.4187,5.3477
287,0.0,3.916,2.0514,5.9674
288,0.0,3.8683,1.8378,5.7061
289,0.0,4.6997,3.1388,7.8384
290,0.0,3.5884,2.6344,6.2228
291,0.0,2.4876,1.9497,4.4373
292,0.0,3.5633,1.9825,5.5458
293,0.0,4.2287,3.6409,7.8696
294,0.0,3.0672,2.0768,5.144
295,0.0,3.8984,3.3728,7.2712
296,0.0,3.0435,2.5754,5.6189
297,0.0,5.1032,1.7675,6.8707
298,0.0,3.0133,2.2542,5.2675
299,0.0,3.4287,2.8795,6.3082
300,0.0,3.9025,1.7249,5.6274
301,0.0,4.0882,2.1865,6.2747
302,0.0,4.6507,2.1649,6.8156
303,0.0,3.3618,2.7288,6.0905
304,0.0,4.2637,2.6789,6.9427
305,0.0,2.8132,2.7271,5.5403
306,0.0,3.1422,2.5684,5.7106
307,0.0,2.9412,2.678,5.6192
308,0.0,3.2661,1.9015,5.1677
309,0.0,4.2283,2.5716,6.7999
310,0.0,3.3747,3.2677,6.6424
311,0.0,3.4755,2.4671,5.9426
312,0.0,3.9206,2.1683,6.089
313,0.0,4.0576,2.2057,6.2633
314,0.0,3.4927,3.2109,6.7036
315,0.0,3.1389,1.5202,4.6591
316,0.0,4.9242,4.0615,8.9857
317,0.0,3.4965,1.6705,5.167
318,0.0,3.5532,2.3164,5.8696
319,0.0,3.6267,1.9664,5.5931
320,0.0,4.133,2.7198,6.8528
321,0.0,2.9061,2.8155,5.7216
322,0.0,5.3078,2.5364,7.8441
323,0.0,3.5371,2.3835,5.9205
324,0.0,4.1581,1.7401,5.8982
325,0.0,3.8516,2.269,6.1207
326,0.0,5.1263,2.3683,7.4946
327,0.0,4.972,1.9701,6.9421
328,0.0,4.1384,2.6115,6.7499
329,0.0,3.2317,2.5391,5.7708
330,0.0,4.602,2.2992,6.9012
331,0.0,2.8102,2.4429,5.2531
332,0.0,3.2134,2.2908,5.5042
333,0.0,3.6941,1.7487,5.4428
334,0.0,2.8468,2.697,5.5439
335,0.0,3.4274,1.4751,4.9026
336,0.0,4.2796,2.5873,6.8669
337,0.0,3.318,1.8887,5.2067
338,0.0,4.3168,2.6271,6.9439
339,0.0,5.6136,2.6642,8.2778
340,0.0,4.0005,2.3717,6.3722
341,0.0,4.3029,2.7745,7.0774
342,0.0,4.6327,2.211,6.8437
343,0.0,3.4786,2.2295,5.7082
344,0.0,4.284,3.2983,7.5823
345,0.0,3.4648,2.2537,5.7185
346,0.0,3.9508,2.335,6.2858
347,0.0,4.4029,1.5695,5.9723
348,0.0,3.255,2.0996,5.3546
349,0.0,2.5257,2.0255,4.5513
350,0.0,3.2065,2.3557,5.5622
351,0.0,4.5249,2.3353,6.8602
352,0.0,3.1441,2.424,5.5681
353,0.0,4.4761,2.0206,6.4967
354,0.0,3.209,2.7382,5.9471
355,0.0,3.6073,2.7868,6.3941
356,0.0,3.7369,2.8169,6.5538
357,0.0,3.1418,2.4456,5.5874
358,0.0,3.614,1.9268,5.5408
359,0.0,2.8722,2.808,5.6802
360,0.0,3.5289,2.0022,5.531
361,0.0,3.6849,3.0651,6.75
362,0.0,2.5428,1.8226,4.3654
363,0.0,3.2023,3.2741,6.4764
364,0.0,3.9297,2.8538,6.7835
365,0.0,3.0863,1.964,5.0502
366,0.0,4.0416,2.4799,6.5215
367,0.0,4.1114,2.362,6.4734
368,0.0,3.9268,2.5294,6.4562
369,0.0,4.2745,2.8763,7.1508
370,0.0,2.8448,1.5709,4.4157
371,0.0,4.4402,3.1015,7.5417
372,0.0,3.1495,1.6961,4.8457
373,0.0,3.8091,2.9477,6.7568
374,0.0,5.0827,2.7154,7.7981
375,0.0,3.5165,2.054,5.5705
376,0.0,3.7529,2.3104,6.0633
377,0.0,3.1525,3.6782,6.8307
378,0.0,5.072,3.07,8.142
379,0.0,3.2034,2.9038,6.1071
380,0.0,4.1754,2.676,6.8514
381,0.0,4.6311,2.7802,7.4113
382,0.0,4.2472,2.781,7.0282
383,0.0,3.9688,1.7219,5.6907
384,0.0,3.7992,2.1958,5.9949
385,0.0,3.0139,3.4204,6.4343
386,0.0,5.0239,3.2087,8.2326
387,0.0,3.9115,3.2032,7.1147
388,0.0,3.7533,2.5519,6.3052
389,0.0,3.1108,2.652,5.7628
390,0.0,3.7842,1.894,5.6782
391,0.0,3.7132,2.413,6.1262
392,0.0,5.0827,2.9264,8.0091
393,0.0,3.7529,2.5753,6.3281
394,0.0,3.7738,2.3549,6.1287
395,0.0,3.1167,2.3792,5.4959
396,0.0,3.2999,1.9138,5.2136
397,0.0,4.0853,2.649,6.7343
398,0.0,2.7653,2.3926,5.1579
399,0.0,4.4356,3.0236,7.4593
400,0.0,4.4584,2.4704,6.9288
401,0.0,3.2449,1.978,5.2228
402,0.0,3.9713,2.6427,6.614
403,0.0,4.6608,3.0481,7.709
404,0.0,3.6624,1.9161,5.5785
405,0.0,3.548,2.5592,6.1072
406,0.0,3.6192,2.1863,5.8056
407,0.0,3.91,2.2186,6.1286
408,0.0,3.3667,2.6074,5.9741
409,0.0,3.4984,2.5729,6.0713
410,0.0,3.9235,1.9562,5.8797
411,0.0,3.4517,3.259,6.7107
412,0.0,3.0748,1.612,4.6868
413,0.0,2.7303,2.4656,5.1959
414,0.0,3.7653,2.395,6.1603
415,0.0,4.6033,1.4439,6.0472
416,0.0,4.0061,3.3398,7.3459
417,0.0,3.0928,2.2738,5.3666
418,0.0,3.296,2.0535,5.3496
419,0.0,3.5437,3.2524,6.7961
420,0.0,5.1172,2.2937,7.4109
421,0.0,5.1764,2.4688,7.6451
422,0.0,5.045,2.4066,7.4516
423,0.0,3.8299,2.6355,6.4654
424,0.0,6.4264,2.9016,9.328
425,0.0,3.3217,2.9701,6.2918
426,0.0,3.5224,2.2248,5.7472
427,0.0,4.3705,2.4666,6.8371
428,0.0,3.9271,2.4583,6.3853
429,0.0,3.9659,2.6667,6.6326
430,0.0,2.6957,2.7974,5.4931
431,0.0,3.1703,1.8424,5.0126
432,0.0,3.7086,2.4926,6.2012
433,0.0,3.3295,2.89,6.2195
434,0.0,2.9822,2.2616,5.2438
435,0.0,3.3915,2.4289,5.8204
436,0.0,3.9272,2.0079,5.9351
437,0.0,4.2358,2.4822,6.7181
438,0.0,2.7164,1.6633,4.3796
439,0.0,3.7378,2.3465,6.0843
440,0.0,3.6804,2.4379,6.1183
441,0.0,3.8919,2.9575,6.8494
442,0.0,3.1015,1.9437,5.0452
443,0.0,3.1109,2.5958,5.7067
444,0.0,4.6274,2.2507,6.8782
445,0.0,2.4491,1.7493,4.1985
446,0.0,3.2515,2.1951,5.4466
447,0.0,3.4946,2.4703,5.9649
448,0.0,3.5525,3.0177,6.5702
449,0.0,3.3394,2.0666,5.406
450,0.0,4.0629,1.8086,5.8715
451,0.0,4.0019,2.5017,6.5036
452,0.0,3.653,3.3576,7.0106
453,0.0,3.37,3.6866,7.0566
454,0.0,3.6049,1.9037,5.5086
455,0.0,3.7903,1.9809,5.7712
456,0.0,3.2967,2.652,5.9487
457,0.0,4.1162,2.1673,6.2835
458,0.0,4.4294,3.083,7.5124
459,0.0,4.7803,2.7224,7.5027
460,0.0,4.7215,1.6891,6.4106
461,0.0,3.5487,2.0647,5.6134
462,0.0,3.8222,2.1891,6.0114
463,0.0,3.6414,3.5588,7.2002
464,0.0,3.6392,2.6608,6.3
465,0.0,3.6007,2.4885,6.0892
466,0.0,3.7494,2.6791,6.4285
467,0.0,4.5653,3.3971,7.9624
468,0.0,3.9478,2.755,6.7029
469,0.0,3.0807,2.4092,5.4898
470,0.0,4.3941,2.9101,7.3042
471,0.0,3.8826,2.9219,6.8045
472,0.0,4.0711,3.1093,7.1804
473,0.0,3.9343,2.2847,6.219
474,0.0,3.9654,1.372,5.3375
475,0.0,3.9972,1.1902,5.1875
476,0.0,2.7952,2.6809,5.4761
477,0.0,4.062,1.9474,6.0094
478,0.0,3.319,3.2159,6.5349
479,0.0,3.45,3.8224,7.2724
480,0.0,3.7444,2.6578,6.4022
481,0.0,4.9291,2.5159,7.445
482,0.0,3.1593,2.3988,5.5581
483,0.0,3.723,1.8709,5.5939
484,0.0,3.5864,2.1164,5.7027
485,0.0,4.3822,2.4683,6.8505
486,0.0,3.57,2.4004,5.9704
487,0.0,3.8902,2.77,6.6602
488,0.0,3.1608,1.9945,5.1553
489,0.0,4.5185,2.2592,6.7777
490,0.0,2.9446,2.6767,5.6213
491,0.0,4.0522,1.8104,5.8626
492,0.0,3.8944,2.8359,6.7303
493,0.0,3.9915,2.7783,6.7698
494,0.0,2.9509,2.6176,5.5684
495,0.0,3.558,2.2279,5.7859
496,0.0,4.3424,3.2859,7.6283
497,0.0,5.08,3.1806,8.2606
498,0.0,3.6764,2.6288,6.3053
499,0.0,4.2665,2.511,6.7775
500,0.0,3.8297,2.8858,6.7156
501,0.0,3.7081,2.1218,5.8298
502,0.0,3.491,2.7794,6.2704
503,0.0,3.7475,2.6223,6.3698
504,0.0,4.197,2.2761,6.4731
505,0.0,4.2589,2.6425,6.9013
506,0.0,3.037,3.2619,6.299
507,0.0,3.4403,1.7663,5.2066
508,0.0,3.1365,2.0026,5.1392
509,0.0,3.7789,2.322,6.101
510,0.0,3.5374,2.7716,6.3089
511,0.0,3.9681,2.6098,6.5779
512,0.0,4.0156,2.7696,6.7852
513,0.0,2.6185,2.2808,4.8993
514,0.0,2.5866,2.469,5.0556
515,0.0,3.7427,3.0154,6.7581
516,0.0,4.5826,2.5519,7.1345
517,0.0,3.4405,2.6987,6.1392
518,0.0,3.4244,2.4508,5.8752
519,0.0,4.4284,2.1951,6.6235
520,0.0,4.2948,2.8034,7.0982
521,0.0,3.185,2.9729,6.1579
522,0.0,4.2174,2.5014,6.7188
523,0.0,3.2908,2.0679,5.3586
524,0.0,3.4188,2.7296,6.1483
525,0.0,3.1845,2.6733,5.8578
526,0.0,3.0335,2.3544,5.3878
527,0.0,3.816,3.9786,7.7946
528,0.0,2.9644,3.2812,6.2456
529,0.0,3.8421,2.6594,6.5016
530,0.0,3.8216,2.6772,6.4988
531,0.0,3.6491,3.2695,6.9186
532,0.0,3.4662,3.0676,6.5339
533,0.0,3.3574,2.4224,5.7797
534,0.0,3.1222,2.6826,5.8048
535,0.0,4.7874,2.4142,7.2016
536,0.0,3.6224,1.9659,5.5883
537,0.0,3.6026,1.7883,5.3908
538,0.0,3.2077,2.5641,5.7718
539,0.0,4.686,4.276,8.962
540,0.0,3.3905,3.2574,6.6479
541,0.0,3.9039,2.3791,6.283
542,0.0,4.0311,2.4817,6.5128
543,0.0,3.8165,2.261,6.0775
544,0.0,2.954,1.8058,4.7597
545,0.0,4.185,2.3207,6.5058
546,0.0,3.385,2.4556,5.8406
547,0.0,4.287,2.5406,6.8276
548,0.0,3.3507,3.1253,6.476
549,0.0,4.8977,2.7037,7.6014
550,0.0,4.4191,3.135,7.5541
551,0.0,4.538,2.7685,7.3065
552,0.0,4.1462,2.7172,6.8634
553,0.0,3.1088,2.8164,5.9252
554,0.0,2.9753,2.0945,5.0698
555,0.0,4.6737,2.8953,7.569
556,0.0,4.8219,2.323,7.145
557,0.0,3.0799,2.3375,5.4174
558,0.0,3.8111,2.4901,6.3012
559,0.0,4.5408,2.2822,6.823
560,0.0,3.9763,2.0155,5.9919
561,0.0,4.0433,2.453,6.4962
562,0.0,3.2978,2.3396,5.6374
563,0.0,3.6303,2.3237,5.954
564,0.0,5.0601,2.4041,7.4643
565,0.0,3.5936,1.6182,5.2118
566,0.0,3.2179,2.327,5.5449
567,0.0,3.3338,3.223,6.5568
568,0.0,3.6421,3.164,6.8062
569,0.0,3.7851,2.4696,6.2546
570,0.0,3.6895,2.4533,6.1428
571,0.0,5.0152,1.5485,6.5637
572,0.0,2.6663,2.2014,4.8677
573,0.0,3.7549,2.8105,6.5653
574,0.0,4.0589,2.2718,6.3308
575,0.0,4.4533,3.0063,7.4595
576,0.0,3.8645,2.9663,6.8309
577,0.0,3.9231,2.1935,6.1166
578,0.0,4.2168,2.5057,6.7226
579,0.0,3.7465,3.2818,7.0282
580,0.0,2.4704,1.8514,4.3217
581,0.0,3.0618,2.2813,5.3431
582,0.0,3.5871,1.8188,5.4059
583,0.0,3.1686,2.0672,5.2358
584,0.0,5.6854,3.5026,9.188
585,0.0,3.4926,2.2811,5.7738
586,0.0,3.0815,1.68,4.7615
587,0.0,3.672,2.0119,5.6839
588,0.0,3.692,1.7856,5.4776
589,0.0,3.291,2.5247,5.8157
590,0.0,3.9859,2.6627,6.6487
591,0.0,2.9932,2.9036,5.8968
592,0.0,3.2697,2.7788,6.0485
593,0.0,3.7388,1.8666,5.6054
594,0.0,3.5498,2.6354,6.1852
595,0.0,4.1565,2.384,6.5405
596,0.0,4.8584,2.9928,7.8512
597,0.0,3.5859,2.8441,6.4299
598,0.0,5.2017,3.6144,8.8161
599,0.0,3.0406,2.0405,5.081
600,0.0,4.8199,1.9879,6.8078
601,0.0,2.9921,2.2264,5.2185
602,0.0,4.0227,2.4022,6.4249
603,0.0,3.3538,2.145,5.4989
604,0.0,3.3188,2.0596,5.3784
605,0.0,5.5182,2.6002,8.1184
606,0.0,4.3543,2.2251,6.5795
607,0.0,3.6292,2.1284,5.7576
608,0.0,2.3875,1.866,4.2535
609,0.0,2.7541,1.5701,4.3242
610,0.0,3.0575,3.187,6.2445
611,0.0,3.7174,3.1654,6.8828
612,0.0,4.0164,2.8624,6.8788
613,0.0,3.2142,2.7195,5.9337
614,0.0,4.239,2.1869,6.4259
615,0.0,4.119,2.7423,6.8613
616,0.0,3.4119,1.9627,5.3746
617,0.0,3.0633,2.4938,5.5571
618,0.0,3.9595,2.0954,6.0549
619,0.0,3.7625,2.7447,6.5072
620,0.0,4.1602,3.3335,7.4937
621,0.0,4.6527,2.0105,6.6632
622,0.0,4.9853,2.2068,7.192
623,0.0,4.4728,2.4847,6.9575
624,0.0,3.4924,1.7137,5.2061
625,0.0,3.638,1.8001,5.4382
626,0.0,4.4143,3.3104,7.7247
627,0.0,3.2715,2.6025,5.874
628,0.0,3.3115,2.1646,5.476
629,0.0,4.2721,2.4328,6.7049
630,0.0,5.033,2.2282,7.2611
631,0.0,4.4384,2.4992,6.9376
632,0.0,4.2876,2.2437,6.5313
633,0.0,3.7142,2.396,6.1102
634,0.0,3.2498,2.7949,6.0447
635,0.0,4.1829,2.7572,6.9401
636,0.0,4.8627,3.2665,8.1292
637,0.0,3.5145,2.6394,6.154
638,0.0,3.3692,2.4628,5.832
639,0.0,3.3829,3.3788,6.7617
640,0.0,3.9842,2.3479,6.3321
641,0.0,4.5873,1.5949,6.1822
642,0.0,2.6606,2.8699,5.5305
643,0.0,3.7843,2.5761,6.3604
644,0.0,2.9902,2.4402,5.4304
645,0.0,5.2636,2.8861,8.1497
646,0.0,3.8551,2.2473,6.1024
647,0.0,3.5028,1.608,5.1109
648,0.0,3.9131,2.8983,6.8114
649,0.0,2.8663,2.1505,5.0167
650,0.0,3.0772,2.0249,5.1021
651,0.0,3.7798,1.6224,5.4021
652,0.0,4.1574,2.8462,7.0036
653,0.0,3.5892,1.4999,5.0891
654,0.0,3.1625,3.1294,6.2919
655,0.0,2.3369,2.2884,4.6253
656,0.0,3.0654,2.8749,5.9403
657,0.0,3.3399,2.6556,5.9955
658,0.0,4.1231,3.5266,7.6497
659,0.0,3.6187,2.641,6.2597
660,0.0,2.9107,3.1032,6.0139
661,0.0,3.2918,2.1938,5.4856
662,0.0,3.7315,1.7989,5.5304
663,0.0,3.894,2.9692,6.8631
664,0.0,3.9366,1.7896,5.7263
665,0.0,3.6677,2.8395,6.5072
666,0.0,2.7228,1.9815,4.7043
667,0.0,4.3468,2.5862,6.9329
668,0.0,4.017,3.5429,7.5599
669,0.0,4.0558,2.7926,6.8484
670,0.0,5.9353,2.3498,8.2851
671,0.0,3.271,2.6682,5.9392
672,0.0,4.0355,2.2086,6.2441
