Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,Gc_YSZ_GDC_800C,Gc_GDC_LSCF_800C,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime,HT_scaling_factor,sigma_HT_assumed_equal_RT
25,2.8644,1.4286,2.8644,1.4286,196.0,171.28,93.63,11.121,13.148,16.758,550.0,218.56,340.08,0.0,0.0,0.0,800C,0.72,True
26,2.1672,2.1484,2.1672,2.1484,185.69,163.81,89.12,10.902,13.955,17.007,546.1,309.65,273.08,0.0,0.0,0.0,800C,0.72,True
27,2.1142,1.6702,2.1142,1.6702,180.24,175.51,109.61,10.956,13.362,16.71,552.3,239.52,324.52,0.0,0.0,0.0,800C,0.72,True
28,2.2582,1.932,2.2582,1.932,194.11,179.84,90.6,10.849,13.365,17.315,548.7,267.99,389.79,0.0,0.0,0.0,800C,0.72,True
29,2.8408,0.9612,2.8408,0.9612,197.83,167.19,108.47,11.481,12.954,15.507,536.1,156.21,228.87,0.0,0.0,0.0,800C,0.72,True
30,3.1373,1.4689,3.1373,1.4689,191.02,177.41,107.24,11.081,13.319,16.113,565.7,241.88,280.35,0.0,0.0,0.0,800C,0.72,True
31,4.261,2.2071,4.261,2.2071,189.75,172.72,96.4,11.276,12.706,16.39,567.4,153.99,361.05,0.0,0.0,0.0,800C,0.72,True
32,3.3308,0.9132,3.3308,0.9132,201.46,177.68,105.2,10.916,13.129,17.07,552.1,246.22,386.51,0.0,0.0,0.0,800C,0.72,True
33,4.0147,1.7663,4.0147,1.7663,188.74,159.03,85.54,11.362,13.316,16.327,550.7,203.0,263.71,0.0,0.0,0.0,800C,0.72,True
34,1.9628,1.8988,1.9628,1.8988,191.39,161.35,90.3,10.841,13.71,16.673,551.4,302.8,263.59,0.0,0.0,0.0,800C,0.72,True
35,3.6087,1.139,3.6087,1.139,199.16,156.4,89.32,10.825,13.145,16.71,539.6,249.29,300.92,0.0,0.0,0.0,800C,0.72,True
36,3.4197,1.6007,3.4197,1.6007,185.87,160.2,102.26,11.384,13.041,16.864,539.1,166.06,330.16,0.0,0.0,0.0,800C,0.72,True
37,2.3505,1.5594,2.3505,1.5594,194.23,166.35,92.23,11.024,13.038,16.028,547.6,214.18,272.32,0.0,0.0,0.0,800C,0.72,True
38,2.2141,1.8412,2.2141,1.8412,175.39,158.09,97.54,10.823,12.892,16.244,555.0,201.39,294.12,0.0,0.0,0.0,800C,0.72,True
39,2.8339,2.3034,2.8339,2.3034,200.3,189.95,100.87,10.75,13.405,16.235,551.4,293.28,296.33,0.0,0.0,0.0,800C,0.72,True
40,3.6877,1.6014,3.6877,1.6014,184.71,175.27,84.56,11.12,12.73,15.89,549.3,163.32,304.18,0.0,0.0,0.0,800C,0.72,True
41,3.4235,1.2798,3.4235,1.2798,160.67,164.05,97.61,11.406,13.271,16.976,542.7,162.66,329.81,0.0,0.0,0.0,800C,0.72,True
42,3.0946,1.3019,3.0946,1.3019,213.34,164.68,108.13,11.267,12.744,16.076,545.3,171.82,299.19,0.0,0.0,0.0,800C,0.72,True
43,2.3511,2.0477,2.3511,2.0477,198.01,142.43,105.68,10.781,12.265,16.984,538.1,158.12,361.72,0.0,0.0,0.0,800C,0.72,True
44,2.2583,1.9855,2.2583,1.9855,182.11,163.62,97.64,10.865,13.094,17.453,550.0,223.27,392.19,0.0,0.0,0.0,800C,0.72,True
45,1.9163,1.4424,1.9163,1.4424,181.05,177.03,86.19,11.109,13.216,17.313,536.7,204.71,389.26,0.0,0.0,0.0,800C,0.72,True
46,3.0174,2.5935,3.0174,2.5935,194.21,163.51,92.73,11.419,13.297,16.749,551.2,201.03,311.05,0.0,0.0,0.0,800C,0.72,True
47,2.0513,2.6436,2.0513,2.6436,182.37,163.15,107.0,10.148,13.475,16.138,545.2,330.78,236.88,0.0,0.0,0.0,800C,0.72,True
48,2.8346,3.1693,2.8346,3.1693,189.74,156.77,97.02,10.879,12.917,16.446,538.7,208.32,297.93,0.0,0.0,0.0,800C,0.72,True
49,2.4908,1.5212,2.4908,1.5212,178.88,167.19,101.89,11.052,13.319,15.943,562.4,227.98,246.72,0.0,0.0,0.0,800C,0.72,True
50,2.8731,1.3062,2.8731,1.3062,193.81,175.55,91.53,10.586,13.464,17.538,561.5,313.17,401.61,0.0,0.0,0.0,800C,0.72,True
51,2.7455,1.7096,2.7455,1.7096,196.45,179.51,99.2,10.796,13.179,16.689,547.8,256.4,345.16,0.0,0.0,0.0,800C,0.72,True
52,3.6063,1.9032,3.6063,1.9032,175.43,173.65,92.24,11.283,13.229,17.102,548.9,187.37,369.08,0.0,0.0,0.0,800C,0.72,True
53,2.0051,1.2285,2.0051,1.2285,184.3,164.56,109.29,11.075,13.324,16.645,560.3,232.23,306.25,0.0,0.0,0.0,800C,0.72,True
54,2.1443,1.0067,2.1443,1.0067,195.71,152.93,116.32,11.196,13.845,16.57,562.0,291.26,234.23,0.0,0.0,0.0,800C,0.72,True
55,1.6351,3.0452,1.6351,3.0452,164.44,179.0,81.87,10.961,13.17,16.91,563.5,204.62,377.29,0.0,0.0,0.0,800C,0.72,True
56,2.2057,2.4465,2.2057,2.4465,200.46,186.25,99.32,10.755,12.715,16.602,548.2,215.44,396.81,0.0,0.0,0.0,800C,0.72,True
57,2.2514,1.5605,2.2514,1.5605,182.59,186.25,95.45,11.254,13.028,17.391,544.2,176.31,442.15,0.0,0.0,0.0,800C,0.72,True
58,1.805,2.4336,1.805,2.4336,184.87,154.76,93.57,11.51,13.244,16.907,547.6,175.57,310.44,0.0,0.0,0.0,800C,0.72,True
59,2.4382,2.7114,2.4382,2.7114,179.65,162.85,90.23,11.138,13.318,17.035,579.5,226.99,350.7,0.0,0.0,0.0,800C,0.72,True
60,2.2716,2.4501,2.2716,2.4501,175.85,158.62,110.45,11.145,13.243,16.439,559.4,206.38,283.66,0.0,0.0,0.0,800C,0.72,True
61,3.7527,1.1645,3.7527,1.1645,166.8,162.96,107.32,10.876,13.095,16.51,561.3,207.77,312.32,0.0,0.0,0.0,800C,0.72,True
62,2.9615,1.3201,2.9615,1.3201,186.74,167.99,92.74,10.447,12.832,16.158,547.9,244.08,306.06,0.0,0.0,0.0,800C,0.72,True
63,2.0455,1.7942,2.0455,1.7942,165.94,180.1,115.56,11.092,12.969,17.021,570.1,177.63,416.03,0.0,0.0,0.0,800C,0.72,True
64,3.2128,2.4931,3.2128,2.4931,187.65,186.18,88.42,10.839,13.274,15.075,548.3,250.54,183.79,0.0,0.0,0.0,800C,0.72,True
65,2.4638,2.2646,2.4638,2.2646,186.83,159.4,102.43,10.883,13.754,16.677,548.2,294.09,255.38,0.0,0.0,0.0,800C,0.72,True
66,3.0327,1.7307,3.0327,1.7307,182.38,183.49,101.64,11.138,13.653,16.732,538.6,247.1,304.33,0.0,0.0,0.0,800C,0.72,True
67,2.1418,1.754,2.1418,1.754,181.05,171.05,110.42,11.015,13.342,16.955,564.5,237.77,348.83,0.0,0.0,0.0,800C,0.72,True
68,5.9929,1.3499,5.9929,1.3499,180.36,184.74,89.21,10.958,12.493,16.592,555.3,153.72,420.46,0.0,0.0,0.0,800C,0.72,True
69,2.5589,1.3639,2.5589,1.3639,195.59,182.02,78.72,11.491,12.779,17.081,561.4,141.44,439.66,0.0,0.0,0.0,800C,0.72,True
70,3.6558,2.8162,3.6558,2.8162,193.59,161.65,100.19,10.766,12.742,16.952,541.6,207.14,368.61,0.0,0.0,0.0,800C,0.72,True
71,3.6261,2.9532,3.6261,2.9532,197.41,174.41,99.88,10.847,13.887,17.203,542.1,325.28,313.57,0.0,0.0,0.0,800C,0.72,True
72,2.6128,2.7197,2.6128,2.7197,166.9,166.71,104.66,11.176,12.408,17.25,553.7,113.88,446.96,0.0,0.0,0.0,800C,0.72,True
73,2.1968,2.6319,2.1968,2.6319,194.11,163.5,84.86,10.669,13.59,16.984,556.0,315.3,308.48,0.0,0.0,0.0,800C,0.72,True
74,3.7526,1.4631,3.7526,1.4631,167.52,164.66,110.6,11.275,12.75,16.911,542.9,134.11,371.92,0.0,0.0,0.0,800C,0.72,True
75,3.3072,1.2936,3.3072,1.2936,198.55,168.74,114.23,11.447,13.442,15.874,550.1,217.95,225.71,0.0,0.0,0.0,800C,0.72,True
76,1.9191,1.188,1.9191,1.188,176.89,172.03,106.01,11.011,13.397,16.24,551.5,232.7,269.74,0.0,0.0,0.0,800C,0.72,True
77,2.0551,1.2703,2.0551,1.2703,197.67,182.51,104.92,11.379,13.342,17.295,562.9,218.48,406.08,0.0,0.0,0.0,800C,0.72,True
78,2.5862,2.7675,2.5862,2.7675,178.8,148.12,87.94,10.566,13.825,17.021,531.6,309.79,251.64,0.0,0.0,0.0,800C,0.72,True
79,2.5001,1.3724,2.5001,1.3724,192.11,164.35,99.04,10.795,13.14,17.423,553.2,249.13,389.36,0.0,0.0,0.0,800C,0.72,True
80,3.1067,1.6143,3.1067,1.6143,166.2,173.8,99.72,11.166,13.093,16.187,557.9,178.67,300.03,0.0,0.0,0.0,800C,0.72,True
81,2.7078,1.921,2.7078,1.921,199.92,180.64,96.01,10.818,12.959,16.649,548.8,234.94,365.89,0.0,0.0,0.0,800C,0.72,True
82,2.9339,1.4325,2.9339,1.4325,205.16,161.51,94.31,10.94,13.3,17.348,548.2,265.36,358.42,0.0,0.0,0.0,800C,0.72,True
83,2.5018,2.2216,2.5018,2.2216,206.32,148.99,91.18,11.018,12.715,17.006,555.0,194.26,354.8,0.0,0.0,0.0,800C,0.72,True
84,2.4272,1.6157,2.4272,1.6157,214.77,172.77,93.75,10.827,13.778,17.224,571.7,362.26,340.36,0.0,0.0,0.0,800C,0.72,True
85,2.8455,1.9338,2.8455,1.9338,186.38,157.64,92.38,11.146,13.283,16.88,546.8,217.76,310.01,0.0,0.0,0.0,800C,0.72,True
86,2.4604,2.0093,2.4604,2.0093,202.88,161.03,95.35,11.578,14.314,17.168,560.5,311.05,257.6,0.0,0.0,0.0,800C,0.72,True
87,2.6452,1.2079,2.6452,1.2079,176.27,152.27,79.87,10.654,13.599,16.502,554.8,287.97,245.23,0.0,0.0,0.0,800C,0.72,True
88,3.0829,1.3616,3.0829,1.3616,180.43,175.08,108.64,11.706,12.401,16.327,537.1,67.31,369.23,0.0,0.0,0.0,800C,0.72,True
89,5.4254,1.8672,5.4254,1.8672,205.7,182.65,94.34,11.415,12.88,16.798,544.1,163.94,389.35,0.0,0.0,0.0,800C,0.72,True
90,2.4822,2.1762,2.4822,2.1762,207.67,158.98,99.23,10.834,12.495,17.459,545.7,188.15,430.66,0.0,0.0,0.0,800C,0.72,True
91,3.7357,2.6086,3.7357,2.6086,201.92,156.34,94.85,11.448,12.57,17.551,560.3,126.89,436.3,0.0,0.0,0.0,800C,0.72,True
92,2.8486,2.313,2.8486,2.313,194.01,181.38,105.55,10.907,12.762,16.716,571.4,205.7,409.73,0.0,0.0,0.0,800C,0.72,True
93,3.13,1.772,3.13,1.772,160.85,167.49,101.94,10.881,12.819,16.254,575.5,179.4,331.13,0.0,0.0,0.0,800C,0.72,True
94,1.8635,1.7403,1.8635,1.7403,190.06,159.7,93.37,10.774,13.191,15.849,549.8,252.48,233.44,0.0,0.0,0.0,800C,0.72,True
95,1.4551,1.3586,1.4551,1.3586,188.23,170.69,102.62,10.479,12.888,16.774,542.2,245.86,359.66,0.0,0.0,0.0,800C,0.72,True
96,3.6535,1.8161,3.6535,1.8161,173.59,164.63,93.81,10.461,12.787,17.89,554.8,224.05,466.04,0.0,0.0,0.0,800C,0.72,True
97,2.6292,1.3636,2.6292,1.3636,180.01,186.67,98.77,10.956,13.258,16.54,569.3,235.92,348.86,0.0,0.0,0.0,800C,0.72,True
98,2.174,1.4351,2.174,1.4351,178.16,182.67,89.81,10.983,13.518,16.725,541.9,244.72,317.52,0.0,0.0,0.0,800C,0.72,True
99,1.917,0.9312,1.917,0.9312,181.6,167.14,82.44,10.826,13.262,17.216,556.6,246.22,367.83,0.0,0.0,0.0,800C,0.72,True
100,3.3803,2.7135,3.3803,2.7135,186.3,172.93,95.44,11.312,13.297,16.369,555.2,205.36,294.92,0.0,0.0,0.0,800C,0.72,True
101,2.2861,2.1307,2.2861,2.1307,196.95,158.8,102.7,10.596,13.703,16.551,552.4,338.03,249.81,0.0,0.0,0.0,800C,0.72,True
102,1.9885,1.9014,1.9885,1.9014,175.69,172.11,95.36,11.336,13.242,16.334,554.1,185.58,294.91,0.0,0.0,0.0,800C,0.72,True
103,1.9181,2.2145,1.9181,2.2145,187.4,165.65,108.01,10.885,12.674,15.587,567.6,190.31,273.96,0.0,0.0,0.0,800C,0.72,True
104,2.6866,1.2203,2.6866,1.2203,183.63,168.18,97.61,11.247,13.368,16.294,540.1,210.37,265.7,0.0,0.0,0.0,800C,0.72,True
105,3.017,2.7096,3.017,2.7096,203.66,153.47,89.77,11.039,13.912,16.141,555.9,325.32,190.12,0.0,0.0,0.0,800C,0.72,True
106,2.6564,1.7082,2.6564,1.7082,182.25,169.45,104.95,11.681,13.159,18.009,552.1,148.77,453.68,0.0,0.0,0.0,800C,0.72,True
107,2.6594,1.7873,2.6594,1.7873,191.9,156.34,81.98,11.096,13.566,16.446,543.4,257.53,244.66,0.0,0.0,0.0,800C,0.72,True
108,3.5553,2.4561,3.5553,2.4561,192.9,173.6,97.18,11.332,13.594,16.329,529.8,231.13,251.55,0.0,0.0,0.0,800C,0.72,True
109,1.618,2.4011,1.618,2.4011,209.93,169.23,106.49,11.055,13.279,17.109,541.3,252.7,350.82,0.0,0.0,0.0,800C,0.72,True
110,2.5288,2.7209,2.5288,2.7209,211.45,196.84,95.69,10.857,14.086,16.133,565.5,386.14,227.84,0.0,0.0,0.0,800C,0.72,True
111,2.9547,2.2456,2.9547,2.2456,184.62,170.16,108.79,10.961,13.415,16.087,536.8,243.23,244.02,0.0,0.0,0.0,800C,0.72,True
112,2.351,1.1985,2.351,1.1985,169.97,159.25,91.62,10.659,12.466,17.591,556.8,171.03,454.46,0.0,0.0,0.0,800C,0.72,True
113,2.8057,2.2466,2.8057,2.2466,213.48,156.02,96.71,11.018,13.116,17.096,557.3,249.59,346.1,0.0,0.0,0.0,800C,0.72,True
114,3.1517,2.138,3.1517,2.138,201.16,161.99,106.15,11.26,13.109,16.306,550.1,204.54,284.86,0.0,0.0,0.0,800C,0.72,True
115,2.7962,2.1008,2.7962,2.1008,192.19,168.29,100.76,10.722,13.262,17.082,552.0,269.4,354.86,0.0,0.0,0.0,800C,0.72,True
116,2.1849,1.6601,2.1849,1.6601,189.5,174.57,103.27,11.118,13.779,16.249,560.1,282.42,241.53,0.0,0.0,0.0,800C,0.72,True
117,1.8401,1.7008,1.8401,1.7008,188.72,188.51,89.43,11.262,13.168,17.871,559.1,201.12,495.69,0.0,0.0,0.0,800C,0.72,True
118,2.4648,1.7513,2.4648,1.7513,173.41,162.73,90.25,10.832,12.81,15.36,552.5,189.44,229.24,0.0,0.0,0.0,800C,0.72,True
119,3.3857,1.756,3.3857,1.756,196.21,182.21,96.76,10.749,12.762,17.532,553.8,218.79,481.24,0.0,0.0,0.0,800C,0.72,True
120,1.341,2.5092,1.341,2.5092,182.61,160.63,87.6,11.05,13.109,15.949,541.1,203.43,246.89,0.0,0.0,0.0,800C,0.72,True
121,2.7477,2.1336,2.7477,2.1336,185.5,170.2,102.78,11.425,12.383,17.946,541.7,96.31,512.88,0.0,0.0,0.0,800C,0.72,True
122,2.2012,2.1633,2.2012,2.1633,190.18,163.62,96.13,10.816,13.562,16.166,544.2,284.17,231.88,0.0,0.0,0.0,800C,0.72,True
123,3.7989,1.1097,3.7989,1.1097,180.14,162.16,93.39,10.989,12.61,16.663,556.4,162.54,365.62,0.0,0.0,0.0,800C,0.72,True
124,3.5372,1.3368,3.5372,1.3368,192.73,170.86,91.36,11.275,13.179,17.416,558.1,204.76,404.01,0.0,0.0,0.0,800C,0.72,True
125,2.2124,1.7265,2.2124,1.7265,185.47,172.85,95.17,11.402,12.785,17.417,548.5,140.7,439.23,0.0,0.0,0.0,800C,0.72,True
126,4.3259,1.0532,4.3259,1.0532,173.78,180.59,81.51,11.09,13.169,17.222,540.0,195.13,395.18,0.0,0.0,0.0,800C,0.72,True
127,2.2814,1.7455,2.2814,1.7455,185.14,147.26,99.01,10.464,13.366,16.761,564.2,303.14,282.1,0.0,0.0,0.0,800C,0.72,True
128,3.0888,1.673,3.0888,1.673,200.88,166.12,109.33,10.675,13.735,15.752,544.5,334.69,182.4,0.0,0.0,0.0,800C,0.72,True
129,2.9319,1.3005,2.9319,1.3005,186.04,167.04,94.66,10.985,13.142,15.735,544.5,218.49,235.86,0.0,0.0,0.0,800C,0.72,True
130,3.1783,2.3024,3.1783,2.3024,199.18,173.03,80.96,11.108,13.396,16.333,557.2,253.92,283.2,0.0,0.0,0.0,800C,0.72,True
131,2.0459,1.3914,2.0459,1.3914,184.13,174.85,85.89,11.032,12.99,18.012,541.9,195.34,475.84,0.0,0.0,0.0,800C,0.72,True
132,2.9102,1.8908,2.9102,1.8908,182.13,169.27,94.22,11.053,13.354,18.341,516.4,216.31,435.91,0.0,0.0,0.0,800C,0.72,True
133,3.0027,1.2359,3.0027,1.2359,185.33,158.96,110.7,11.533,13.457,17.208,552.2,196.95,329.23,0.0,0.0,0.0,800C,0.72,True
134,2.4176,1.5097,2.4176,1.5097,191.98,174.83,102.19,10.916,13.333,17.477,563.9,261.65,408.5,0.0,0.0,0.0,800C,0.72,True
135,3.6509,1.6831,3.6509,1.6831,179.97,162.06,105.75,10.773,12.993,17.485,549.9,219.72,400.33,0.0,0.0,0.0,800C,0.72,True
136,2.3553,1.3472,2.3553,1.3472,191.36,154.88,99.12,11.598,12.919,16.661,554.1,140.0,321.16,0.0,0.0,0.0,800C,0.72,True
137,2.6532,2.3962,2.6532,2.3962,176.33,160.06,99.85,10.587,13.25,17.011,544.4,255.6,327.66,0.0,0.0,0.0,800C,0.72,True
138,1.8395,1.7831,1.8395,1.7831,197.1,163.18,86.37,10.824,13.638,15.969,531.7,294.9,202.24,0.0,0.0,0.0,800C,0.72,True
139,2.9918,2.9839,2.9918,2.9839,191.6,163.36,84.56,10.93,12.949,17.842,549.0,212.42,438.79,0.0,0.0,0.0,800C,0.72,True
140,3.1156,2.506,3.1156,2.506,183.76,175.23,99.18,11.009,13.328,16.589,556.1,236.99,317.78,0.0,0.0,0.0,800C,0.72,True
141,2.6813,1.1793,2.6813,1.1793,187.85,182.76,90.84,11.106,12.799,17.077,549.7,174.81,429.82,0.0,0.0,0.0,800C,0.72,True
142,1.8961,1.4178,1.8961,1.4178,196.48,157.75,94.31,11.009,13.137,16.772,555.0,232.13,318.18,0.0,0.0,0.0,800C,0.72,True
143,2.7391,1.5961,2.7391,1.5961,188.39,165.6,105.2,10.96,13.126,17.606,555.3,226.62,411.87,0.0,0.0,0.0,800C,0.72,True
144,2.3754,2.8403,2.3754,2.8403,207.1,160.7,109.59,10.987,13.335,17.751,561.5,272.99,398.49,0.0,0.0,0.0,800C,0.72,True
145,1.5063,1.2943,1.5063,1.2943,172.77,170.24,93.83,11.0,13.575,16.291,525.6,233.79,243.01,0.0,0.0,0.0,800C,0.72,True
146,4.6688,1.8798,4.6688,1.8798,193.21,158.85,92.02,10.833,12.876,16.284,559.0,220.65,302.68,0.0,0.0,0.0,800C,0.72,True
147,2.2632,1.268,2.2632,1.268,181.92,160.89,96.71,11.235,13.442,17.209,556.0,223.26,336.94,0.0,0.0,0.0,800C,0.72,True
148,3.2081,2.0929,3.2081,2.0929,183.8,158.37,87.63,10.719,12.274,16.778,545.2,155.8,388.85,0.0,0.0,0.0,800C,0.72,True
149,3.2121,1.209,3.2121,1.209,189.69,168.51,91.14,10.358,13.64,16.901,552.0,343.57,303.3,0.0,0.0,0.0,800C,0.72,True
150,2.7378,1.6251,2.7378,1.6251,204.09,182.39,95.49,10.513,12.426,16.872,547.3,213.63,443.84,0.0,0.0,0.0,800C,0.72,True
151,2.9445,1.1069,2.9445,1.1069,179.39,168.94,105.92,10.632,13.228,16.377,545.7,254.11,290.31,0.0,0.0,0.0,800C,0.72,True
152,3.052,2.6341,3.052,2.6341,197.81,167.97,91.64,11.518,13.343,17.825,553.7,199.88,416.81,0.0,0.0,0.0,800C,0.72,True
153,1.9181,2.1972,1.9181,2.1972,189.01,154.78,112.79,11.071,12.793,17.454,557.5,181.39,402.21,0.0,0.0,0.0,800C,0.72,True
154,3.9415,2.2053,3.9415,2.2053,203.57,183.52,109.89,10.91,13.527,17.164,531.6,283.19,354.85,0.0,0.0,0.0,800C,0.72,True
155,2.6241,1.7921,2.6241,1.7921,179.72,165.47,97.77,11.531,12.937,17.102,577.5,145.95,398.0,0.0,0.0,0.0,800C,0.72,True
156,2.3419,1.8381,2.3419,1.8381,200.38,165.36,100.93,11.314,12.877,16.165,541.0,169.53,294.17,0.0,0.0,0.0,800C,0.72,True
157,2.0761,1.7565,2.0761,1.7565,178.61,182.36,94.16,10.815,13.445,17.029,562.1,264.05,367.37,0.0,0.0,0.0,800C,0.72,True
158,2.177,1.1602,2.177,1.1602,188.5,174.48,93.96,10.792,12.718,16.757,559.1,202.88,394.07,0.0,0.0,0.0,800C,0.72,True
159,3.7918,1.0383,3.7918,1.0383,189.98,160.09,91.84,10.596,13.067,16.606,536.9,252.02,304.23,0.0,0.0,0.0,800C,0.72,True
160,4.0594,0.9494,4.0594,0.9494,194.39,172.44,96.23,11.314,12.792,17.445,551.0,158.3,442.06,0.0,0.0,0.0,800C,0.72,True
161,3.3198,1.8245,3.3198,1.8245,174.4,162.57,86.78,10.822,12.896,16.361,553.1,200.05,311.66,0.0,0.0,0.0,800C,0.72,True
162,1.8119,1.5059,1.8119,1.5059,172.2,157.47,98.93,11.113,12.748,17.524,560.6,157.77,421.69,0.0,0.0,0.0,800C,0.72,True
163,2.0879,1.3318,2.0879,1.3318,210.45,162.5,88.66,10.837,13.795,17.214,548.8,341.6,304.86,0.0,0.0,0.0,800C,0.72,True
164,3.2783,1.252,3.2783,1.252,180.26,160.79,89.56,11.224,12.691,17.447,550.9,145.7,421.25,0.0,0.0,0.0,800C,0.72,True
165,1.6845,2.3576,1.6845,2.3576,188.96,167.52,92.03,11.199,12.924,16.312,550.4,179.35,312.46,0.0,0.0,0.0,800C,0.72,True
166,2.9176,1.7338,2.9176,1.7338,188.29,170.15,100.11,11.327,13.339,17.683,555.6,210.44,410.72,0.0,0.0,0.0,800C,0.72,True
167,2.4867,2.1003,2.4867,2.1003,207.65,187.04,92.93,11.089,13.634,17.259,543.6,287.27,368.54,0.0,0.0,0.0,800C,0.72,True
168,2.9055,1.679,2.9055,1.679,200.5,174.86,95.06,10.478,12.257,17.205,541.4,193.14,468.46,0.0,0.0,0.0,800C,0.72,True
169,2.3119,2.3345,2.3119,2.3345,186.3,168.18,95.3,11.542,13.091,16.985,552.6,159.51,361.82,0.0,0.0,0.0,800C,0.72,True
170,3.7589,1.9741,3.7589,1.9741,205.22,149.76,87.55,10.731,12.393,17.317,543.3,185.31,400.68,0.0,0.0,0.0,800C,0.72,True
