Scenario,Rho,Temperature,J_applied_Jm2,P_failure,P_failure_95CI_lower,P_failure_95CI_upper,N_samples
rho0.50_RT,0.5,RT,1.75,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,2.0,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,2.25,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,2.5,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,2.75,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,3.0,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,3.25,0.0001,0.0,0.000296,10000
rho0.50_RT,0.5,RT,3.5,0.0001,0.0,0.000296,10000
rho0.50_RT,0.5,RT,3.75,0.0007,0.000182,0.001218,10000
rho0.50_RT,0.5,RT,4.0,0.0026,0.001602,0.003598,10000
rho0.50_RT,0.5,RT,4.25,0.0087,0.00688,0.01052,10000
rho0.50_RT,0.5,RT,4.5,0.0217,0.018844,0.024556,10000
rho0.50_RT,0.5,RT,4.75,0.0461,0.04199,0.05021,10000
rho0.50_RT,0.5,RT,5.0,0.0842,0.078757,0.089643,10000
rho0.50_RT,0.5,RT,5.25,0.1418,0.134963,0.148637,10000
rho0.50_RT,0.5,RT,5.5,0.2184,0.210302,0.226498,10000
rho0.50_RT,0.5,RT,5.75,0.307,0.29796,0.31604,10000
rho0.50_RT,0.5,RT,6.0,0.4122,0.402552,0.421848,10000
rho0.50_RT,0.5,RT,6.25,0.5114,0.501603,0.521197,10000
rho0.50_RT,0.5,RT,6.5,0.6031,0.593511,0.612689,10000
rho0.50_RT,0.5,RT,6.75,0.6916,0.682548,0.700652,10000
rho0.50_RT,0.5,RT,7.0,0.7684,0.760132,0.776668,10000
rho0.50_RT,0.5,RT,7.25,0.8281,0.820705,0.835495,10000
rho0.50_RT,0.5,RT,7.5,0.8793,0.872915,0.885685,10000
rho0.50_RT,0.5,RT,7.75,0.9142,0.908711,0.919689,10000
rho0.50_RT,0.5,RT,8.0,0.9402,0.935553,0.944847,10000
rho0.50_RT,0.5,RT,8.25,0.9604,0.956578,0.964222,10000
rho0.00_HT,0.0,800C,1.0,0.0,0.0,0.0,10000
rho0.00_HT,0.0,800C,1.25,0.0,0.0,0.0,10000
rho0.00_HT,0.0,800C,1.5,0.0,0.0,0.0,10000
rho0.00_HT,0.0,800C,1.75,0.0,0.0,0.0,10000
rho0.00_HT,0.0,800C,2.0,0.0,0.0,0.0,10000
rho0.00_HT,0.0,800C,2.25,0.0,0.0,0.0,10000
rho0.00_HT,0.0,800C,2.5,0.0005,6.2e-05,0.000938,10000
rho0.00_HT,0.0,800C,2.75,0.0027,0.001683,0.003717,10000
rho0.00_HT,0.0,800C,3.0,0.0131,0.010871,0.015329,10000
rho0.00_HT,0.0,800C,3.25,0.0389,0.03511,0.04269,10000
rho0.00_HT,0.0,800C,3.5,0.091,0.085363,0.096637,10000
rho0.00_HT,0.0,800C,3.75,0.1705,0.163129,0.177871,10000
rho0.00_HT,0.0,800C,4.0,0.2744,0.265654,0.283146,10000
rho0.00_HT,0.0,800C,4.25,0.3889,0.379345,0.398455,10000
rho0.00_HT,0.0,800C,4.5,0.513,0.503203,0.522797,10000
rho0.00_HT,0.0,800C,4.75,0.6334,0.623955,0.642845,10000
rho0.00_HT,0.0,800C,5.0,0.7327,0.724026,0.741374,10000
rho0.00_HT,0.0,800C,5.25,0.8148,0.807186,0.822414,10000
rho0.00_HT,0.0,800C,5.5,0.8758,0.869336,0.882264,10000
rho0.00_HT,0.0,800C,5.75,0.9193,0.913961,0.924639,10000
rho0.00_HT,0.0,800C,6.0,0.9489,0.944584,0.953216,10000
rho0.00_HT,0.0,800C,6.25,0.9688,0.965392,0.972208,10000
rho0.00_HT,0.0,800C,6.5,0.9799,0.977149,0.982651,10000
rho0.00_HT,0.0,800C,6.75,0.9875,0.985322,0.989678,10000
rho0.00_HT,0.0,800C,7.0,0.9929,0.991254,0.994546,10000
rho0.00_HT,0.0,800C,7.25,0.9959,0.994648,0.997152,10000
rho0.00_HT,0.0,800C,7.5,0.9976,0.996641,0.998559,10000
rho0.00_HT,0.0,800C,7.75,0.9988,0.998121,0.999479,10000
rho0.00_HT,0.0,800C,8.0,0.9997,0.999361,1.0,10000
rho0.00_HT,0.0,800C,8.25,0.9999,0.999704,1.0,10000
