Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime
27,3.9861,2.8174,206.43,188.79,111.12,10.589,12.308,15.904,540.8,191.92,367.14,0.0,0.0,0.5,RT
28,4.2003,2.2117,225.03,197.11,110.82,10.176,12.744,16.73,541.7,313.03,425.63,0.0,0.0,0.5,RT
29,3.6253,1.8281,224.4,201.51,112.22,10.818,13.26,15.32,540.3,296.02,224.34,0.0,0.0,0.5,RT
30,3.5989,2.3711,215.47,178.38,128.49,10.036,13.311,15.237,542.6,382.91,186.44,0.0,0.0,0.5,RT
31,3.4191,1.7658,208.29,197.25,127.0,10.963,12.198,16.119,542.1,139.38,419.32,0.0,0.0,0.5,RT
32,4.0918,2.6642,200.93,195.01,117.76,10.775,12.183,15.262,535.6,151.59,321.53,0.0,0.0,0.5,RT
33,3.388,2.59,196.07,201.53,125.98,10.346,12.491,15.276,558.0,234.64,313.2,0.0,0.0,0.5,RT
34,3.5705,2.3298,203.92,191.87,122.45,10.793,12.743,15.263,556.7,221.3,269.23,0.0,0.0,0.5,RT
35,2.6949,2.5291,223.14,207.77,126.95,10.182,11.881,16.015,542.6,205.72,466.07,0.0,0.0,0.5,RT
36,4.5742,3.0913,231.19,196.58,109.79,10.666,12.844,15.173,554.4,279.09,253.83,0.0,0.0,0.5,RT
37,3.3254,2.1703,208.09,179.43,124.56,11.125,13.269,14.938,544.9,243.19,163.14,0.0,0.0,0.5,RT
38,3.1204,1.8544,216.43,189.04,122.21,11.048,11.976,15.902,558.8,112.23,414.78,0.0,0.0,0.5,RT
39,4.0382,3.1797,210.23,194.99,119.86,10.91,12.686,14.531,551.4,205.86,198.45,0.0,0.0,0.5,RT
40,5.8637,3.7627,217.8,180.85,115.33,10.096,12.431,15.572,557.2,283.27,316.63,0.0,0.0,0.5,RT
41,2.6389,1.638,217.39,197.63,149.56,10.798,12.36,15.975,551.1,187.12,393.8,0.0,0.0,0.5,RT
42,3.8527,2.0982,221.81,197.94,125.28,10.223,12.381,15.559,548.9,262.79,345.26,0.0,0.0,0.5,RT
43,3.804,2.4268,226.74,184.61,124.43,10.249,13.35,16.068,532.3,374.32,267.15,0.0,0.0,0.5,RT
44,3.1051,1.6127,212.98,186.02,119.32,11.031,12.48,16.667,546.8,168.77,425.86,0.0,0.0,0.5,RT
45,5.4315,4.0985,199.49,178.28,113.92,10.471,12.406,15.299,554.2,213.92,285.83,0.0,0.0,0.5,RT
46,3.1617,1.7553,195.33,191.62,112.29,10.923,13.356,15.927,542.8,257.96,267.39,0.0,0.0,0.5,RT
47,5.3648,3.0138,221.78,203.95,117.98,10.463,13.476,15.146,551.5,368.5,187.83,0.0,0.0,0.5,RT
48,3.6861,2.1525,198.35,192.34,108.37,10.685,12.122,15.06,546.5,155.79,308.86,0.0,0.0,0.5,RT
49,4.5473,1.927,199.53,203.45,123.29,10.63,12.683,15.371,553.2,226.57,302.55,0.0,0.0,0.5,RT
50,3.7817,2.8979,203.32,178.26,114.67,10.011,12.669,15.512,556.8,300.88,282.23,0.0,0.0,0.5,RT
51,4.248,2.3179,209.18,204.44,119.18,10.592,12.195,15.211,558.7,187.25,344.5,0.0,0.0,0.5,RT
52,2.9508,2.2569,219.55,180.36,127.9,10.601,12.97,15.429,566.5,294.61,251.21,0.0,0.0,0.5,RT
53,4.2717,2.4671,209.48,176.37,128.65,10.472,12.872,14.971,534.3,268.71,197.82,0.0,0.0,0.5,RT
54,3.2521,1.8646,216.92,199.41,125.02,10.931,13.127,16.066,554.6,264.2,325.06,0.0,0.0,0.5,RT
55,3.2926,3.0133,212.22,199.68,131.22,10.841,12.396,15.387,552.6,182.41,330.09,0.0,0.0,0.5,RT
56,3.8006,2.2605,201.76,196.13,127.62,10.462,12.529,15.975,558.0,232.77,377.05,0.0,0.0,0.5,RT
57,4.994,3.4527,217.68,193.87,118.2,10.889,12.813,14.726,546.4,228.75,202.66,0.0,0.0,0.5,RT
58,4.0,2.3391,230.77,187.87,117.12,10.468,12.2,16.335,545.5,218.0,423.88,0.0,0.0,0.5,RT
59,3.6478,1.8405,197.86,204.82,126.8,10.73,12.13,14.659,529.1,146.48,274.14,0.0,0.0,0.5,RT
60,5.0546,2.9746,220.09,176.34,129.88,10.456,12.215,15.096,566.2,219.23,287.57,0.0,0.0,0.5,RT
61,4.2995,2.1266,197.87,194.01,114.11,10.182,12.285,15.532,546.5,227.42,344.21,0.0,0.0,0.5,RT
62,4.8206,2.765,195.62,178.4,113.82,10.673,11.61,15.267,536.8,98.32,350.25,0.0,0.0,0.5,RT
63,4.0527,2.3073,205.86,200.38,122.05,10.191,12.089,14.487,550.2,215.02,264.36,0.0,0.0,0.5,RT
64,3.9811,1.673,195.47,200.78,125.94,10.113,12.623,16.257,544.3,267.02,397.24,0.0,0.0,0.5,RT
65,3.7863,2.1686,213.58,196.0,114.53,10.116,12.384,15.406,564.1,273.26,334.17,0.0,0.0,0.5,RT
66,3.0216,2.7709,221.47,192.94,126.86,10.645,12.608,15.836,557.1,242.18,347.09,0.0,0.0,0.5,RT
67,3.8032,2.5469,201.49,193.85,123.79,10.22,12.096,14.908,557.3,210.7,303.75,0.0,0.0,0.5,RT
68,3.789,1.8752,203.31,199.2,119.01,10.535,12.587,15.257,550.2,229.57,292.63,0.0,0.0,0.5,RT
69,3.2403,2.3887,215.06,197.04,115.53,10.648,12.787,15.269,554.3,255.0,271.07,0.0,0.0,0.5,RT
70,3.6934,2.6952,222.26,189.18,115.85,10.574,11.904,15.837,550.2,162.75,409.35,0.0,0.0,0.5,RT
71,4.0057,2.2383,225.75,201.25,130.09,10.853,13.049,15.391,543.8,269.47,256.31,0.0,0.0,0.5,RT
72,4.2707,3.4073,202.95,198.28,121.13,10.039,12.694,15.646,556.8,299.97,325.95,0.0,0.0,0.5,RT
73,3.1473,1.6821,181.75,194.69,118.83,10.342,12.953,15.86,549.5,260.83,310.94,0.0,0.0,0.5,RT
74,4.0161,2.0542,207.03,194.5,109.57,10.214,12.576,15.327,568.0,277.78,303.89,0.0,0.0,0.5,RT
75,4.2731,2.5466,193.21,187.25,122.52,10.21,12.179,16.039,555.7,211.5,401.61,0.0,0.0,0.5,RT
76,4.5477,2.9776,213.45,196.47,119.96,10.307,12.642,14.992,563.1,280.69,259.97,0.0,0.0,0.5,RT
77,3.1485,2.1998,221.66,184.37,115.4,10.545,12.219,15.428,543.4,201.64,321.49,0.0,0.0,0.5,RT
78,3.6515,3.1029,216.48,188.83,123.9,10.161,12.641,16.12,544.7,292.46,357.77,0.0,0.0,0.5,RT
79,3.1716,2.8395,198.77,195.08,128.39,10.273,13.274,15.621,560.9,334.65,256.82,0.0,0.0,0.5,RT
80,3.5778,4.1595,187.9,195.0,107.02,10.625,12.087,16.485,561.8,154.28,481.8,0.0,0.0,0.5,RT
81,4.3266,2.2603,192.97,167.34,111.34,10.359,12.343,15.256,566.1,216.75,275.96,0.0,0.0,0.5,RT
82,4.1196,3.2464,212.82,197.36,129.45,10.273,11.988,14.595,566.7,206.92,291.52,0.0,0.0,0.5,RT
83,3.1134,2.2872,230.88,205.97,118.39,10.147,11.804,15.488,553.8,211.87,420.17,0.0,0.0,0.5,RT
84,3.8336,1.9858,199.84,186.85,131.16,10.794,12.353,15.2,546.2,170.18,290.6,0.0,0.0,0.5,RT
85,4.7345,2.009,211.19,172.84,118.41,10.394,12.631,14.866,543.7,256.84,210.08,0.0,0.0,0.5,RT
86,4.0906,3.0596,189.96,192.05,116.8,10.569,11.797,14.518,534.8,124.71,279.52,0.0,0.0,0.5,RT
87,4.1,4.3027,225.73,181.33,121.57,10.601,12.736,16.307,546.6,263.48,353.94,0.0,0.0,0.5,RT
88,3.4783,1.7698,222.73,192.1,119.22,10.535,13.475,15.523,533.4,349.33,209.74,0.0,0.0,0.5,RT
89,3.2576,2.298,222.8,173.62,116.01,10.747,12.627,15.808,559.0,234.15,308.75,0.0,0.0,0.5,RT
90,3.6862,2.6732,201.98,199.42,111.54,10.709,12.603,14.673,544.5,208.3,224.74,0.0,0.0,0.5,RT
91,3.9538,2.5724,201.98,194.61,126.18,10.467,12.245,15.054,540.7,194.15,295.6,0.0,0.0,0.5,RT
92,3.3578,2.3498,215.66,193.54,103.85,10.335,12.608,15.876,534.7,262.12,338.09,0.0,0.0,0.5,RT
93,3.4944,2.4052,219.43,180.52,107.47,10.551,12.482,14.467,547.7,232.06,196.21,0.0,0.0,0.5,RT
94,3.0582,2.251,225.81,188.48,133.07,10.909,12.462,15.906,553.1,194.04,358.96,0.0,0.0,0.5,RT
95,4.7766,2.7924,213.16,178.46,114.89,10.961,11.758,16.087,545.1,92.62,421.16,0.0,0.0,0.5,RT
96,2.6536,2.2298,200.35,194.92,113.67,10.811,12.564,15.365,554.5,194.67,302.72,0.0,0.0,0.5,RT
97,3.5396,2.1702,211.37,185.49,108.81,10.141,13.012,14.976,553.3,335.79,201.56,0.0,0.0,0.5,RT
98,3.1367,2.2795,215.14,182.3,113.44,10.274,12.626,15.739,533.1,269.82,302.5,0.0,0.0,0.5,RT
99,4.6784,3.219,202.54,191.8,112.05,10.746,12.968,14.774,540.0,242.95,187.09,0.0,0.0,0.5,RT
100,4.7866,2.9787,221.61,186.48,126.69,10.229,12.446,15.538,538.7,264.63,310.64,0.0,0.0,0.5,RT
101,3.2215,2.891,214.63,175.97,109.73,10.877,13.334,15.652,552.2,291.22,225.25,0.0,0.0,0.5,RT
102,5.2704,3.4021,203.56,180.49,116.1,10.046,12.833,15.089,559.4,317.35,227.84,0.0,0.0,0.5,RT
103,3.2013,2.3296,225.75,211.27,123.4,10.579,12.387,15.597,555.5,226.79,376.63,0.0,0.0,0.5,RT
104,3.5959,1.92,217.35,201.39,125.7,10.33,12.288,15.633,538.5,229.13,362.87,0.0,0.0,0.5,RT
105,3.9704,2.3942,200.94,203.5,135.0,10.587,12.882,15.859,560.9,258.66,339.77,0.0,0.0,0.5,RT
106,3.1255,1.9315,204.45,176.16,132.35,10.722,12.444,16.849,553.6,194.84,429.64,0.0,0.0,0.5,RT
107,3.6756,2.4905,216.04,186.5,105.44,10.443,12.523,15.169,561.9,252.42,277.28,0.0,0.0,0.5,RT
108,4.3458,3.2301,223.36,196.03,119.42,10.143,12.549,15.489,552.9,297.19,318.56,0.0,0.0,0.5,RT
109,4.3388,3.0174,208.78,187.01,124.75,10.408,12.597,15.092,567.7,259.46,264.89,0.0,0.0,0.5,RT
110,3.7642,3.126,214.26,174.7,139.0,10.775,12.678,15.698,553.9,225.83,292.24,0.0,0.0,0.5,RT
111,3.1615,2.9488,208.79,184.95,121.95,10.495,12.434,14.614,556.4,225.34,224.34,0.0,0.0,0.5,RT
112,4.6302,4.1195,216.98,177.27,108.95,9.838,12.184,15.46,539.5,274.65,313.37,0.0,0.0,0.5,RT
113,3.2196,2.1774,208.97,188.84,116.0,10.352,12.873,15.173,546.2,287.79,237.18,0.0,0.0,0.5,RT
114,3.0564,1.4575,210.84,187.51,114.43,10.446,12.773,15.452,563.9,276.71,283.24,0.0,0.0,0.5,RT
115,3.2655,2.6744,218.04,169.28,114.46,10.203,12.087,15.803,524.6,215.5,329.96,0.0,0.0,0.5,RT
116,3.5375,2.1277,216.07,191.9,127.34,10.089,12.727,15.969,541.9,308.81,337.19,0.0,0.0,0.5,RT
117,3.5273,2.1053,207.25,189.91,131.53,10.282,12.765,15.5,559.9,288.12,290.92,0.0,0.0,0.5,RT
118,4.1658,2.4341,198.82,195.9,123.91,10.294,12.855,15.729,552.9,281.6,311.26,0.0,0.0,0.5,RT
119,3.1237,2.1102,221.48,191.99,125.16,10.388,12.457,15.147,551.8,252.86,285.02,0.0,0.0,0.5,RT
120,2.4075,1.7314,193.58,190.1,116.92,10.666,12.936,16.644,573.2,251.94,404.05,0.0,0.0,0.5,RT
121,4.3518,3.4232,202.43,193.53,126.17,10.55,12.421,15.357,540.6,204.77,307.17,0.0,0.0,0.5,RT
122,4.5004,2.8751,186.72,183.44,128.52,10.449,11.785,15.269,548.1,136.68,350.24,0.0,0.0,0.5,RT
123,4.0245,2.1479,189.2,199.88,116.41,10.415,12.095,15.736,558.4,177.45,406.42,0.0,0.0,0.5,RT
124,4.2722,2.5009,219.09,203.11,127.37,10.154,12.199,15.814,547.1,245.05,401.78,0.0,0.0,0.5,RT
125,3.6917,2.3756,216.52,193.66,131.2,10.648,12.42,16.027,548.7,210.53,383.2,0.0,0.0,0.5,RT
126,3.2904,2.955,220.67,171.87,122.91,10.205,11.792,15.615,535.3,187.39,351.75,0.0,0.0,0.5,RT
127,3.3336,2.3315,210.4,196.6,134.7,10.57,12.139,17.439,548.3,180.96,571.3,0.0,0.0,0.5,RT
128,2.7212,2.4422,208.96,179.67,126.52,10.476,12.15,15.524,550.5,192.46,333.72,0.0,0.0,0.5,RT
129,3.3352,1.7374,194.51,178.95,115.64,10.364,12.471,16.414,551.9,226.13,389.42,0.0,0.0,0.5,RT
130,3.2453,2.4175,208.12,198.97,128.36,10.354,12.545,15.712,549.5,250.63,346.27,0.0,0.0,0.5,RT
131,3.2898,2.0492,204.39,182.7,133.51,10.312,12.245,15.421,556.0,219.71,322.61,0.0,0.0,0.5,RT
132,3.9958,2.218,213.78,196.05,107.05,10.744,11.927,16.56,561.4,141.98,509.93,0.0,0.0,0.5,RT
133,4.3659,2.3266,206.39,201.83,116.6,10.35,12.895,14.82,555.4,291.73,215.85,0.0,0.0,0.5,RT
134,3.2457,1.8715,207.77,174.47,110.46,10.572,12.552,14.537,550.7,226.59,190.66,0.0,0.0,0.5,RT
135,4.1899,2.9621,221.08,180.54,128.09,10.706,12.069,15.062,555.4,167.31,300.16,0.0,0.0,0.5,RT
136,3.9085,2.2488,217.86,186.24,122.83,10.091,12.573,15.824,558.5,301.95,338.2,0.0,0.0,0.5,RT
137,3.7373,2.1599,217.45,183.9,117.11,10.116,11.947,16.024,550.4,219.11,412.75,0.0,0.0,0.5,RT
138,3.4829,2.2401,207.6,200.44,104.31,10.113,13.328,14.788,561.7,374.98,164.37,0.0,0.0,0.5,RT
139,3.747,2.2743,216.43,179.08,124.8,10.668,12.833,16.125,566.5,265.4,334.01,0.0,0.0,0.5,RT
140,4.0446,2.82,213.82,179.13,107.31,10.854,12.793,14.564,552.1,228.88,175.11,0.0,0.0,0.5,RT
141,4.1958,3.6813,226.3,191.49,116.53,10.107,12.612,14.728,561.6,318.44,227.58,0.0,0.0,0.5,RT
142,3.3577,3.2559,197.43,198.92,109.63,10.892,12.258,14.487,550.8,148.57,244.26,0.0,0.0,0.5,RT
143,3.4201,2.1646,193.17,187.31,117.17,10.365,12.771,16.515,566.6,263.38,397.33,0.0,0.0,0.5,RT
144,3.9164,2.8619,232.17,185.91,127.83,10.329,12.381,16.081,551.7,262.81,379.53,0.0,0.0,0.5,RT
145,3.3734,2.3632,194.93,172.45,110.65,9.9,12.884,15.076,557.6,324.34,210.79,0.0,0.0,0.5,RT
146,3.2767,2.1482,196.23,195.12,121.18,10.347,13.101,15.325,545.1,294.63,236.54,0.0,0.0,0.5,RT
147,3.3781,1.867,223.23,208.43,132.55,10.426,12.179,14.269,555.5,217.31,241.98,0.0,0.0,0.5,RT
148,3.6616,2.6991,199.58,196.1,114.39,10.872,12.383,14.644,550.6,166.01,244.12,0.0,0.0,0.5,RT
149,4.1855,2.8144,194.13,175.27,140.74,10.255,12.564,15.065,559.2,250.69,245.17,0.0,0.0,0.5,RT
150,2.962,1.9039,233.2,180.0,113.86,10.147,12.878,15.361,536.0,341.4,239.53,0.0,0.0,0.5,RT
151,3.6464,2.9714,198.79,183.96,105.47,10.411,12.39,15.65,561.5,220.98,336.71,0.0,0.0,0.5,RT
152,4.5531,2.8826,219.05,197.72,116.67,10.285,12.591,16.182,546.3,276.0,387.95,0.0,0.0,0.5,RT
153,3.4185,1.892,213.68,191.22,132.31,10.34,10.974,15.301,558.3,75.66,461.96,0.0,0.0,0.5,RT
154,3.6277,2.3293,213.97,200.27,124.67,10.638,12.039,15.914,557.8,167.15,432.85,0.0,0.0,0.5,RT
155,3.3562,1.6275,213.01,182.54,115.08,10.888,13.077,15.912,551.0,256.9,285.12,0.0,0.0,0.5,RT
156,4.1695,2.6048,224.09,190.68,126.89,10.426,12.661,14.717,557.6,279.31,218.6,0.0,0.0,0.5,RT
157,3.3829,2.4284,210.21,176.79,132.43,10.95,12.169,14.942,549.2,140.7,269.2,0.0,0.0,0.5,RT
158,3.1199,2.6237,204.7,183.72,116.82,10.288,12.499,15.632,551.3,249.52,317.3,0.0,0.0,0.5,RT
159,3.783,1.9244,214.88,183.47,115.04,10.464,12.255,16.008,540.0,207.77,371.84,0.0,0.0,0.5,RT
160,4.8489,2.9782,196.4,176.02,122.28,10.678,12.855,15.606,547.1,233.92,264.94,0.0,0.0,0.5,RT
161,4.1995,2.5692,212.84,201.45,126.77,11.199,12.141,15.172,547.6,109.82,334.32,0.0,0.0,0.5,RT
162,3.387,1.9238,213.27,191.45,126.16,10.044,12.536,16.108,541.5,287.79,370.24,0.0,0.0,0.5,RT
163,2.8862,2.271,203.44,183.19,114.57,10.665,12.884,16.101,539.6,243.58,318.05,0.0,0.0,0.5,RT
164,3.8972,2.3157,204.31,190.25,127.05,10.619,12.639,14.995,549.8,226.94,246.42,0.0,0.0,0.5,RT
165,3.3299,1.8076,214.91,191.38,121.7,10.203,12.885,15.561,541.1,311.94,277.11,0.0,0.0,0.5,RT
166,3.411,2.3199,202.96,184.45,131.45,10.856,12.212,15.616,555.1,152.69,348.6,0.0,0.0,0.5,RT
167,3.002,2.0333,185.08,193.33,121.23,10.752,12.329,15.101,563.9,164.57,302.16,0.0,0.0,0.5,RT
168,3.414,2.7116,209.63,202.25,122.72,10.787,12.874,14.772,539.0,235.85,206.83,0.0,0.0,0.5,RT
169,3.7762,2.7664,211.75,198.03,116.52,10.487,12.66,14.887,542.6,249.68,239.29,0.0,0.0,0.5,RT
170,3.6623,2.4046,202.52,205.0,133.02,11.173,12.15,16.883,557.2,110.28,540.62,0.0,0.0,0.5,RT
171,4.6597,3.1598,232.79,179.4,130.57,9.857,12.272,16.184,543.0,305.28,381.07,0.0,0.0,0.5,RT
172,4.1547,3.0726,203.22,207.59,114.03,10.673,12.136,16.205,547.9,162.95,462.86,0.0,0.0,0.5,RT
173,2.6946,1.5966,219.69,189.4,125.52,10.579,12.804,15.101,558.1,272.91,242.82,0.0,0.0,0.5,RT
174,3.0046,2.315,192.97,195.87,137.97,10.191,12.048,15.463,548.7,196.6,367.14,0.0,0.0,0.5,RT
175,4.1782,3.2039,227.3,201.81,103.51,10.387,11.817,15.293,544.2,176.84,381.79,0.0,0.0,0.5,RT
176,4.0726,2.4773,188.06,188.58,125.6,9.977,11.875,13.665,560.8,200.17,189.26,0.0,0.0,0.5,RT
177,3.4803,2.0156,184.98,201.42,138.23,10.742,12.59,15.38,552.5,188.87,310.53,0.0,0.0,0.5,RT
178,3.7849,2.8834,210.31,185.63,120.7,11.122,11.921,15.999,541.3,90.95,409.69,0.0,0.0,0.5,RT
179,3.0809,1.9779,211.75,185.7,120.38,10.258,11.885,15.643,558.3,192.43,389.64,0.0,0.0,0.5,RT
180,3.8301,1.8999,210.36,182.32,114.25,10.853,12.712,15.197,546.9,213.83,247.8,0.0,0.0,0.5,RT
181,3.6604,2.6074,212.42,189.39,113.54,10.289,12.106,15.146,554.7,214.11,319.27,0.0,0.0,0.5,RT
182,4.0142,3.0195,217.69,189.49,133.05,10.39,13.294,14.798,532.4,336.57,151.69,0.0,0.0,0.5,RT
183,3.5072,2.4027,199.91,206.19,123.34,10.446,12.609,15.287,552.2,238.77,304.91,0.0,0.0,0.5,RT
184,2.826,2.2677,223.24,198.02,142.61,9.852,12.875,15.038,559.6,377.55,239.77,0.0,0.0,0.5,RT
185,4.7349,2.8299,203.07,199.84,101.65,10.43,12.088,16.467,546.5,184.08,478.2,0.0,0.0,0.5,RT
186,3.5501,2.1696,192.34,190.52,135.27,10.574,12.398,15.007,534.4,187.48,265.64,0.0,0.0,0.5,RT
187,2.5447,1.9442,210.42,181.56,121.16,9.82,12.218,15.582,546.2,275.56,333.68,0.0,0.0,0.5,RT
188,4.5063,2.6184,202.22,198.38,125.59,10.785,12.188,14.57,549.6,155.96,259.67,0.0,0.0,0.5,RT
189,4.3717,3.1598,210.51,188.41,110.06,10.394,12.832,15.57,540.0,277.13,278.59,0.0,0.0,0.5,RT
190,4.3361,2.5436,232.03,191.41,112.34,10.135,12.268,15.678,552.5,273.34,360.66,0.0,0.0,0.5,RT
191,4.1834,3.3261,211.95,188.35,117.04,10.425,11.711,16.45,558.8,152.29,498.77,0.0,0.0,0.5,RT
192,4.5148,2.5475,207.54,194.07,124.01,10.238,12.298,16.25,540.4,231.05,414.41,0.0,0.0,0.5,RT
193,4.7763,3.5265,212.66,184.23,114.95,10.95,12.186,15.04,550.9,144.76,289.67,0.0,0.0,0.5,RT
194,3.4028,2.5334,214.8,201.18,124.52,10.723,13.057,15.746,559.3,280.36,302.58,0.0,0.0,0.5,RT
195,2.9799,1.9562,201.26,194.84,108.42,10.349,12.078,15.148,539.4,187.68,322.68,0.0,0.0,0.5,RT
196,4.515,2.2187,202.14,187.43,127.98,10.9,12.653,14.751,566.3,200.61,222.71,0.0,0.0,0.5,RT
197,3.578,2.4921,223.41,183.96,143.32,10.797,12.06,16.145,554.3,156.39,416.53,0.0,0.0,0.5,RT
198,4.2552,1.9343,232.6,204.64,113.24,10.503,11.848,16.942,558.5,174.76,582.08,0.0,0.0,0.5,RT
199,2.9628,2.1092,204.48,183.06,115.69,10.295,12.775,15.404,539.3,273.44,259.52,0.0,0.0,0.5,RT
200,4.0635,2.5483,176.99,180.46,123.35,10.415,12.781,15.477,537.2,224.97,261.35,0.0,0.0,0.5,RT
201,4.8334,3.5184,211.43,189.24,115.16,11.065,11.966,15.916,545.0,103.87,407.3,0.0,0.0,0.5,RT
202,4.3366,2.3249,206.93,178.63,135.23,10.369,12.289,15.238,559.4,222.28,294.69,0.0,0.0,0.5,RT
203,2.4573,2.0361,223.14,196.28,116.97,10.456,12.723,15.386,557.5,282.07,291.36,0.0,0.0,0.5,RT
204,3.3734,2.1607,218.95,182.95,113.42,10.197,13.088,15.826,551.5,349.04,276.25,0.0,0.0,0.5,RT
205,4.5031,3.0273,224.39,191.48,107.8,10.259,12.278,15.48,551.6,249.9,338.22,0.0,0.0,0.5,RT
206,3.5278,2.2375,208.17,200.85,124.59,10.714,12.407,15.173,562.9,198.32,312.79,0.0,0.0,0.5,RT
207,3.7059,2.5123,194.76,187.62,104.8,10.607,13.483,15.989,539.9,302.43,253.87,0.0,0.0,0.5,RT
208,4.1334,3.2352,198.64,185.55,116.06,10.321,11.846,15.937,551.7,167.15,418.76,0.0,0.0,0.5,RT
209,3.3501,1.9766,205.69,204.2,123.19,10.755,12.349,14.74,547.6,179.47,267.41,0.0,0.0,0.5,RT
210,3.4647,3.4068,222.37,202.8,133.34,10.589,12.049,14.858,569.2,184.72,324.27,0.0,0.0,0.5,RT
211,3.8564,1.6019,199.21,192.06,113.65,10.647,12.229,16.275,546.9,172.3,424.98,0.0,0.0,0.5,RT
212,4.1463,2.2551,235.37,198.62,127.39,10.844,12.749,15.876,537.8,241.12,333.99,0.0,0.0,0.5,RT
213,4.5415,2.6771,216.37,196.5,112.93,10.493,12.07,15.223,546.7,186.63,338.71,0.0,0.0,0.5,RT
214,3.764,2.4019,183.28,192.17,117.06,10.839,12.117,15.949,550.8,128.98,405.64,0.0,0.0,0.5,RT
215,4.9691,2.7489,235.52,199.27,115.05,10.828,12.75,15.363,545.1,246.76,283.84,0.0,0.0,0.5,RT
216,5.1102,3.4593,213.78,201.52,118.65,10.653,12.756,15.353,559.0,251.28,292.56,0.0,0.0,0.5,RT
