Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime
15,2.868,2.4192,218.86,179.14,121.98,9.853,11.87,16.276,535.3,236.23,422.45,0.0,0.0,0.0,RT
16,3.0696,2.2123,198.23,175.3,122.95,10.859,12.017,16.071,550.9,126.46,391.56,0.0,0.0,0.0,RT
17,4.8415,2.7814,203.41,172.79,123.28,10.575,12.079,15.607,561.6,171.85,342.34,0.0,0.0,0.0,RT
18,3.3264,2.0056,202.45,197.36,140.09,10.329,11.441,15.004,546.5,122.98,384.31,0.0,0.0,0.0,RT
19,3.7665,1.9266,203.99,175.52,116.25,10.359,12.673,14.297,561.4,264.96,160.1,0.0,0.0,0.0,RT
20,3.3421,2.6077,205.74,195.49,133.31,9.875,12.702,15.208,533.4,310.31,261.27,0.0,0.0,0.0,RT
21,4.5575,2.7656,194.24,186.72,116.61,10.565,12.071,15.328,553.4,161.89,336.55,0.0,0.0,0.0,RT
22,2.5382,2.6038,201.58,182.29,114.02,10.695,13.022,15.56,553.6,259.61,256.15,0.0,0.0,0.0,RT
23,3.7917,2.6609,222.24,180.01,119.32,10.296,12.457,16.037,523.7,251.56,337.45,0.0,0.0,0.0,RT
24,4.9286,1.6292,209.6,192.06,119.28,10.229,12.839,15.903,555.8,304.1,327.05,0.0,0.0,0.0,RT
25,3.3879,2.7558,211.5,182.46,124.78,10.542,12.81,15.556,520.8,249.84,260.91,0.0,0.0,0.0,RT
26,2.8634,3.2837,183.21,189.95,100.25,10.858,12.446,15.261,552.4,160.7,295.3,0.0,0.0,0.0,RT
27,3.9874,2.8989,221.37,194.01,121.26,10.827,11.688,14.586,555.1,105.81,312.1,0.0,0.0,0.0,RT
28,3.3995,2.8801,201.77,196.13,114.91,10.749,12.58,15.02,546.4,201.84,261.47,0.0,0.0,0.0,RT
29,4.4908,2.5672,223.49,199.34,113.85,11.106,12.711,14.921,552.3,198.05,243.37,0.0,0.0,0.0,RT
30,3.8977,2.5863,211.85,191.65,108.99,10.777,12.239,17.056,573.3,177.52,529.18,0.0,0.0,0.0,RT
31,3.2348,2.3809,203.26,179.5,116.9,10.847,12.564,16.697,545.1,190.28,404.38,0.0,0.0,0.0,RT
32,3.6498,2.6448,189.87,194.66,115.61,10.526,12.489,14.745,538.9,200.79,236.68,0.0,0.0,0.0,RT
33,4.4387,1.9878,236.1,196.56,116.37,10.396,12.119,15.736,571.0,232.25,405.98,0.0,0.0,0.0,RT
34,3.6669,3.2873,219.64,188.18,106.07,10.84,12.46,14.689,552.5,196.55,231.8,0.0,0.0,0.0,RT
35,3.3013,2.0831,220.36,187.12,120.83,10.206,12.296,15.634,562.1,258.97,351.11,0.0,0.0,0.0,RT
36,3.8765,2.8977,231.83,214.75,113.27,10.627,12.65,15.206,534.1,250.49,293.15,0.0,0.0,0.0,RT
37,3.7529,3.1895,212.69,177.07,106.1,10.318,12.264,15.415,525.7,217.64,293.33,0.0,0.0,0.0,RT
38,4.3322,2.8962,226.23,194.94,115.34,10.602,12.215,16.131,541.7,197.73,413.44,0.0,0.0,0.0,RT
39,4.1152,3.8871,204.26,200.46,113.42,10.58,11.845,15.723,548.6,141.69,426.5,0.0,0.0,0.0,RT
40,3.6173,1.6486,218.85,186.59,120.35,10.549,13.383,16.022,545.1,338.04,268.44,0.0,0.0,0.0,RT
41,4.9186,2.239,202.44,188.31,115.23,10.495,12.319,15.802,545.1,201.3,357.47,0.0,0.0,0.0,RT
42,3.8149,3.1773,203.95,185.99,107.68,10.66,12.048,15.061,531.6,150.49,297.86,0.0,0.0,0.0,RT
43,2.8533,1.9132,211.16,190.0,112.45,10.708,12.741,14.713,552.5,237.25,207.0,0.0,0.0,0.0,RT
44,2.8538,2.0947,194.79,198.99,105.32,10.08,12.575,15.32,547.7,266.1,299.21,0.0,0.0,0.0,RT
45,4.0359,2.7196,213.95,188.02,129.67,10.486,12.719,15.319,528.3,252.36,258.22,0.0,0.0,0.0,RT
46,3.9255,1.8532,206.26,221.11,131.03,10.375,12.762,15.186,547.2,269.39,293.34,0.0,0.0,0.0,RT
47,2.5301,2.478,186.15,185.47,132.06,10.558,12.939,15.077,548.9,243.25,217.71,0.0,0.0,0.0,RT
48,3.4572,2.6849,204.51,203.78,114.99,10.375,12.074,15.54,560.8,194.86,396.1,0.0,0.0,0.0,RT
49,4.2198,2.5195,205.86,195.44,131.03,10.883,12.559,16.293,544.9,188.0,397.64,0.0,0.0,0.0,RT
50,4.2617,2.5653,220.23,191.08,123.46,10.48,11.868,14.24,560.0,171.28,253.76,0.0,0.0,0.0,RT
51,4.0984,2.1321,213.42,204.71,113.01,10.796,12.377,14.754,558.8,188.6,271.92,0.0,0.0,0.0,RT
52,3.6331,2.5489,227.37,174.0,114.66,10.214,12.768,15.657,542.0,314.73,272.41,0.0,0.0,0.0,RT
53,4.3056,2.2676,216.24,194.25,118.54,10.416,12.142,14.386,557.0,207.89,242.74,0.0,0.0,0.0,RT
54,4.0922,2.3257,203.35,182.84,120.87,10.316,13.392,14.634,561.6,351.4,127.5,0.0,0.0,0.0,RT
55,3.6716,2.8891,209.3,185.64,123.08,10.618,12.507,16.769,561.1,221.87,443.99,0.0,0.0,0.0,RT
56,2.6701,1.8963,205.82,185.17,119.98,10.145,11.776,15.837,553.7,185.92,416.43,0.0,0.0,0.0,RT
57,2.9121,1.5442,215.86,180.36,117.04,9.987,12.782,17.102,549.1,331.25,427.79,0.0,0.0,0.0,RT
58,3.3381,2.8437,210.72,173.47,131.49,10.312,13.388,14.475,536.5,347.7,101.17,0.0,0.0,0.0,RT
59,3.5687,2.5494,202.46,193.89,119.03,10.668,11.605,16.751,562.0,106.63,560.69,0.0,0.0,0.0,RT
60,4.5066,3.1887,210.1,189.34,118.55,10.257,12.786,14.713,535.5,284.5,195.41,0.0,0.0,0.0,RT
61,3.7019,3.2051,215.53,186.99,118.15,10.58,12.104,16.037,548.5,180.22,403.36,0.0,0.0,0.0,RT
62,3.8047,2.0768,197.92,197.59,119.04,10.306,12.478,14.194,561.0,241.22,190.16,0.0,0.0,0.0,RT
63,3.386,1.8285,213.8,194.52,108.42,9.974,11.976,15.674,540.1,231.2,388.51,0.0,0.0,0.0,RT
64,3.2212,2.2837,191.06,187.33,111.47,10.756,12.841,15.717,550.0,219.18,296.24,0.0,0.0,0.0,RT
65,4.2933,3.4469,223.27,220.51,140.79,10.695,12.373,15.231,534.3,200.15,336.76,0.0,0.0,0.0,RT
66,2.962,2.6498,216.33,200.18,105.97,10.488,12.964,14.665,546.4,292.69,186.0,0.0,0.0,0.0,RT
67,3.1389,2.6931,229.55,214.45,122.31,10.513,12.088,15.332,540.1,195.29,375.65,0.0,0.0,0.0,RT
68,3.6631,1.7059,196.6,185.85,122.91,10.438,12.417,15.644,542.2,211.02,325.13,0.0,0.0,0.0,RT
69,4.3852,2.1746,223.6,192.5,128.61,10.19,11.574,14.809,555.8,172.02,346.07,0.0,0.0,0.0,RT
70,3.4209,1.9834,221.23,177.62,123.12,10.892,13.539,15.376,556.7,326.01,181.62,0.0,0.0,0.0,RT
71,3.3517,2.6682,207.81,186.7,136.07,10.47,13.268,15.462,544.3,316.5,222.96,0.0,0.0,0.0,RT
72,3.6271,2.6163,205.48,184.16,122.04,10.608,13.372,15.771,552.8,313.87,244.27,0.0,0.0,0.0,RT
73,3.983,3.1843,196.98,219.96,131.46,10.35,13.113,14.545,545.5,296.86,171.72,0.0,0.0,0.0,RT
74,3.5338,1.8298,193.85,183.08,128.84,10.633,12.264,15.143,546.5,172.77,288.1,0.0,0.0,0.0,RT
75,4.4898,2.2957,200.99,187.66,133.11,10.844,12.482,15.606,538.5,177.37,315.63,0.0,0.0,0.0,RT
76,4.5261,2.6448,194.93,175.46,120.21,10.55,12.617,15.261,544.9,219.49,252.86,0.0,0.0,0.0,RT
77,3.6631,2.6268,229.15,195.34,123.38,10.608,12.65,14.841,530.4,248.12,227.01,0.0,0.0,0.0,RT
78,5.2169,3.6988,191.98,181.0,116.86,10.763,12.062,16.061,571.1,142.36,413.47,0.0,0.0,0.0,RT
79,3.79,2.5305,211.79,199.19,121.36,10.712,12.042,16.081,562.1,158.27,452.28,0.0,0.0,0.0,RT
80,4.4967,2.0734,215.23,172.12,121.83,10.813,11.965,15.952,574.6,142.45,394.27,0.0,0.0,0.0,RT
81,3.9636,2.4389,214.29,188.78,102.34,10.596,12.329,15.28,561.4,208.5,312.75,0.0,0.0,0.0,RT
82,3.9507,2.0785,215.34,171.54,118.78,10.596,12.372,15.376,553.2,211.55,285.1,0.0,0.0,0.0,RT
83,2.8595,1.626,221.36,185.09,127.56,10.572,12.319,16.249,528.2,204.28,384.26,0.0,0.0,0.0,RT
84,3.0982,2.2386,204.65,187.13,108.52,10.759,12.6,15.981,560.5,211.18,354.56,0.0,0.0,0.0,RT
85,3.5637,3.5978,211.05,184.01,111.62,10.37,11.947,16.258,563.6,187.51,447.15,0.0,0.0,0.0,RT
86,4.5195,2.0262,206.48,185.0,129.82,10.659,12.158,15.55,538.7,166.76,338.07,0.0,0.0,0.0,RT
87,3.9734,2.2616,225.63,199.71,131.42,11.189,12.196,15.866,555.7,126.22,407.29,0.0,0.0,0.0,RT
88,3.569,2.5431,235.2,211.74,114.72,10.608,12.828,15.898,551.7,288.03,358.72,0.0,0.0,0.0,RT
89,4.1609,2.2922,195.67,193.39,121.48,10.141,12.579,16.366,549.4,262.12,402.36,0.0,0.0,0.0,RT
90,4.4873,1.9553,185.63,181.4,119.34,10.413,12.635,14.132,555.6,229.21,150.89,0.0,0.0,0.0,RT
91,3.7496,4.1006,216.83,190.64,130.0,10.686,12.126,15.574,554.8,173.25,364.62,0.0,0.0,0.0,RT
92,3.8902,3.2561,222.84,186.46,115.47,10.299,12.516,16.072,540.2,266.92,358.15,0.0,0.0,0.0,RT
93,3.8043,2.7503,233.48,198.89,116.78,10.207,12.19,16.206,559.8,259.28,447.15,0.0,0.0,0.0,RT
94,3.7097,2.3701,218.85,192.88,131.4,10.086,12.204,15.228,535.5,248.21,312.41,0.0,0.0,0.0,RT
95,3.2812,2.6695,226.75,174.22,111.47,10.438,12.648,15.734,555.0,278.16,298.41,0.0,0.0,0.0,RT
96,3.2413,2.7969,229.92,200.98,115.77,10.984,12.241,15.941,553.1,159.94,411.29,0.0,0.0,0.0,RT
97,4.5036,2.636,227.58,199.67,121.13,10.341,12.458,16.253,542.6,261.44,411.15,0.0,0.0,0.0,RT
98,3.5679,2.6821,220.57,204.95,132.95,10.763,12.392,15.713,562.6,202.19,382.98,0.0,0.0,0.0,RT
99,3.5543,2.9505,194.61,184.84,109.86,10.416,12.03,15.654,531.2,166.86,355.83,0.0,0.0,0.0,RT
100,2.7444,2.2938,209.9,193.01,113.96,10.384,12.269,15.338,552.8,218.75,327.41,0.0,0.0,0.0,RT
101,2.6711,1.8232,213.6,178.15,125.04,10.655,12.275,16.173,552.1,191.07,383.32,0.0,0.0,0.0,RT
102,4.7218,2.927,208.8,189.49,126.35,10.04,12.347,16.246,565.9,272.67,418.1,0.0,0.0,0.0,RT
103,3.3148,1.8205,209.54,193.97,121.8,11.001,11.779,16.126,556.7,90.76,469.43,0.0,0.0,0.0,RT
104,2.264,2.2013,228.81,183.64,119.01,10.661,12.208,15.945,527.9,186.86,362.24,0.0,0.0,0.0,RT
105,5.6498,2.6719,200.92,193.42,121.1,10.815,12.865,15.647,545.4,224.59,293.54,0.0,0.0,0.0,RT
106,3.4061,2.688,219.59,191.68,107.19,10.423,12.675,15.148,566.3,280.06,268.37,0.0,0.0,0.0,RT
107,2.8734,2.3113,213.8,185.5,120.86,10.649,12.34,15.056,548.5,198.32,276.29,0.0,0.0,0.0,RT
108,3.8094,2.41,199.71,203.97,132.6,10.78,12.028,16.118,538.9,134.34,449.57,0.0,0.0,0.0,RT
109,4.284,2.6246,197.08,187.66,108.78,10.473,12.54,16.18,549.5,223.89,375.28,0.0,0.0,0.0,RT
110,4.1958,2.139,189.58,191.33,113.34,10.238,12.887,15.647,566.8,284.65,299.32,0.0,0.0,0.0,RT
111,4.3625,3.3847,215.83,175.33,116.63,10.217,13.107,15.647,541.5,337.74,241.16,0.0,0.0,0.0,RT
112,3.1767,2.0562,209.24,195.19,117.16,10.373,12.29,15.628,539.5,216.44,351.48,0.0,0.0,0.0,RT
113,4.6994,2.3603,200.09,185.23,135.65,10.568,12.076,16.219,547.7,165.25,420.35,0.0,0.0,0.0,RT
114,4.754,2.2458,187.49,199.57,112.08,10.451,12.693,15.954,543.5,228.42,353.74,0.0,0.0,0.0,RT
115,4.7955,2.5161,215.19,176.89,110.38,10.353,12.644,15.242,557.4,274.72,256.14,0.0,0.0,0.0,RT
116,3.9135,3.342,207.92,194.31,126.55,10.703,12.504,15.805,546.5,204.6,350.54,0.0,0.0,0.0,RT
117,3.5224,2.0346,201.44,168.18,114.5,10.362,12.246,14.55,553.5,210.09,214.51,0.0,0.0,0.0,RT
118,3.4709,2.6812,198.43,196.16,126.7,10.321,11.976,15.13,566.3,186.06,350.25,0.0,0.0,0.0,RT
119,2.8711,2.7813,207.14,188.25,118.32,10.782,12.77,14.451,540.5,222.58,171.02,0.0,0.0,0.0,RT
120,3.4181,3.0771,215.64,193.99,123.9,10.665,12.859,14.986,560.4,265.05,231.26,0.0,0.0,0.0,RT
121,2.4942,2.0978,206.04,184.0,106.67,10.132,12.356,15.042,559.1,256.12,276.26,0.0,0.0,0.0,RT
122,2.8128,2.0814,195.74,180.51,123.87,10.101,13.184,14.25,537.6,324.46,103.44,0.0,0.0,0.0,RT
123,3.9065,2.366,209.3,185.65,121.85,10.168,12.594,16.203,563.8,286.36,377.73,0.0,0.0,0.0,RT
124,3.5878,2.3754,222.55,191.92,117.83,10.491,12.43,15.195,537.7,232.05,285.31,0.0,0.0,0.0,RT
125,3.8772,2.0076,210.48,195.77,109.52,10.854,12.027,15.306,535.4,132.23,343.74,0.0,0.0,0.0,RT
126,4.2233,2.7952,210.82,193.04,121.84,10.934,11.82,14.983,541.6,101.12,330.75,0.0,0.0,0.0,RT
127,3.9987,2.7371,206.09,180.63,126.15,10.725,12.295,15.839,542.0,175.37,346.95,0.0,0.0,0.0,RT
128,3.939,3.6682,199.32,208.38,115.49,11.074,12.648,16.328,546.5,171.43,419.21,0.0,0.0,0.0,RT
129,3.6906,2.3068,198.93,193.33,115.65,10.56,13.433,15.814,538.9,307.99,247.99,0.0,0.0,0.0,RT
130,3.2957,1.9982,190.06,183.78,126.75,10.833,12.527,15.709,555.7,178.94,324.93,0.0,0.0,0.0,RT
131,3.0321,2.0558,224.17,194.24,134.54,10.329,12.737,14.315,548.7,296.23,168.23,0.0,0.0,0.0,RT
132,3.7009,2.6192,215.55,192.56,127.99,10.033,12.169,15.439,551.8,254.07,347.49,0.0,0.0,0.0,RT
133,3.7783,2.1066,210.99,188.25,121.95,10.407,12.583,15.888,556.8,255.63,346.39,0.0,0.0,0.0,RT
134,4.3643,2.838,213.55,187.07,117.93,10.462,12.531,16.22,565.2,249.71,390.0,0.0,0.0,0.0,RT
135,3.6454,2.1541,214.07,199.85,119.77,11.275,12.122,15.864,545.7,98.86,408.08,0.0,0.0,0.0,RT
136,4.1112,2.5444,201.19,207.28,108.73,10.5,13.035,16.753,543.9,277.41,419.06,0.0,0.0,0.0,RT
137,2.929,2.4187,206.1,169.64,118.69,10.195,12.446,15.063,558.0,258.95,247.68,0.0,0.0,0.0,RT
138,3.916,2.0514,204.31,202.31,129.52,10.789,12.942,15.063,562.5,247.42,241.36,0.0,0.0,0.0,RT
139,3.8683,1.8378,240.14,190.2,120.34,10.272,12.504,15.73,550.8,295.18,337.98,0.0,0.0,0.0,RT
140,4.6997,3.1388,222.24,192.37,114.68,10.543,12.367,16.267,550.7,223.29,413.07,0.0,0.0,0.0,RT
141,3.5884,2.6344,212.01,203.52,113.9,10.763,12.187,16.363,547.9,165.45,465.63,0.0,0.0,0.0,RT
142,2.4876,1.9497,226.39,163.45,119.73,10.221,12.36,14.279,543.8,263.4,170.57,0.0,0.0,0.0,RT
143,3.5633,1.9825,224.88,198.15,109.51,10.955,13.086,15.566,546.1,261.63,268.38,0.0,0.0,0.0,RT
144,4.2287,3.6409,193.43,202.82,112.28,10.838,12.141,16.071,549.2,138.37,437.87,0.0,0.0,0.0,RT
145,3.0672,2.0768,207.33,183.11,133.03,10.606,12.767,16.055,556.6,249.33,335.15,0.0,0.0,0.0,RT
146,3.8984,3.3728,209.8,176.06,111.19,11.026,12.376,15.839,558.4,158.16,340.48,0.0,0.0,0.0,RT
147,3.0435,2.5754,217.34,206.4,113.19,10.385,12.736,15.449,540.8,276.29,302.86,0.0,0.0,0.0,RT
148,5.1032,1.7675,207.31,172.44,122.48,10.738,12.583,13.679,550.6,210.56,104.07,0.0,0.0,0.0,RT
149,3.0133,2.2542,208.82,194.19,116.25,10.584,11.967,16.734,542.8,156.77,502.49,0.0,0.0,0.0,RT
150,3.4287,2.8795,204.46,200.23,120.75,10.309,12.566,15.867,547.4,252.7,361.83,0.0,0.0,0.0,RT
151,3.9025,1.7249,222.59,193.97,127.33,10.318,13.366,14.971,551.3,374.1,171.59,0.0,0.0,0.0,RT
152,4.0882,2.1865,192.68,195.65,106.85,11.109,12.623,15.306,559.6,163.21,293.71,0.0,0.0,0.0,RT
153,4.6507,2.1649,204.87,187.35,126.41,10.818,12.871,15.656,548.6,230.75,286.3,0.0,0.0,0.0,RT
154,3.3618,2.7288,187.88,194.63,115.05,10.767,12.619,15.785,554.4,192.92,341.67,0.0,0.0,0.0,RT
155,4.2637,2.6789,197.64,182.92,117.57,10.312,12.815,14.666,539.3,266.79,182.58,0.0,0.0,0.0,RT
156,2.8132,2.7271,213.81,184.21,136.34,10.712,12.213,14.905,538.6,172.8,267.18,0.0,0.0,0.0,RT
157,3.1422,2.5684,214.03,190.36,108.08,10.39,12.451,15.8,547.4,241.57,348.95,0.0,0.0,0.0,RT
158,2.9412,2.678,206.24,174.6,125.02,11.009,12.852,15.154,583.4,221.69,234.45,0.0,0.0,0.0,RT
159,3.2661,1.9015,223.49,195.77,129.59,10.864,12.36,14.433,542.1,181.26,220.01,0.0,0.0,0.0,RT
160,4.2283,2.5716,226.25,165.19,114.19,10.776,12.929,15.025,551.5,268.67,190.99,0.0,0.0,0.0,RT
161,3.3747,3.2677,209.17,193.63,114.32,10.745,12.099,15.493,554.1,156.84,364.13,0.0,0.0,0.0,RT
162,3.4755,2.4671,213.01,194.57,116.87,10.474,12.524,14.517,550.3,240.29,213.41,0.0,0.0,0.0,RT
163,3.9206,2.1683,204.57,182.05,114.14,10.646,12.396,16.481,544.0,194.79,404.54,0.0,0.0,0.0,RT
164,4.0576,2.2057,217.52,177.66,120.57,10.962,13.555,16.213,555.6,313.34,262.3,0.0,0.0,0.0,RT
165,3.4927,3.2109,195.67,185.92,127.59,10.64,12.344,16.05,540.9,180.36,372.66,0.0,0.0,0.0,RT
166,3.1389,1.5202,231.55,196.4,116.91,10.248,12.668,15.555,553.8,310.36,313.94,0.0,0.0,0.0,RT
167,4.9242,4.0615,223.68,193.46,127.89,10.876,11.703,14.759,544.2,100.66,321.62,0.0,0.0,0.0,RT
168,3.4965,1.6705,195.61,178.88,131.91,10.296,12.033,14.996,560.0,190.23,296.86,0.0,0.0,0.0,RT
169,3.5532,2.3164,200.53,191.06,123.66,10.491,12.622,16.294,532.1,227.41,373.27,0.0,0.0,0.0,RT
170,3.6267,1.9664,215.05,192.62,124.47,10.358,12.394,15.024,548.9,240.4,278.0,0.0,0.0,0.0,RT
171,4.133,2.7198,205.94,192.2,114.95,9.717,12.402,15.48,538.8,297.92,318.78,0.0,0.0,0.0,RT
172,2.9061,2.8155,216.54,180.13,97.7,10.553,12.37,15.326,558.3,219.7,297.29,0.0,0.0,0.0,RT
173,5.3078,2.5364,205.69,191.56,124.98,11.152,12.426,15.406,558.4,146.34,318.76,0.0,0.0,0.0,RT
174,3.5371,2.3835,228.3,199.18,126.77,10.596,11.815,15.424,523.7,145.8,376.49,0.0,0.0,0.0,RT
175,4.1581,1.7401,210.1,195.37,122.06,11.389,12.465,15.357,537.6,121.56,303.68,0.0,0.0,0.0,RT
176,3.8516,2.269,239.05,194.11,127.73,10.454,12.412,15.229,559.3,261.82,305.83,0.0,0.0,0.0,RT
177,5.1263,2.3683,217.23,206.43,115.34,10.566,12.927,15.308,548.7,281.3,269.77,0.0,0.0,0.0,RT
178,4.972,1.9701,193.81,191.68,124.41,10.469,12.834,15.375,556.1,254.93,270.82,0.0,0.0,0.0,RT
179,4.1384,2.6115,235.04,181.58,132.51,10.518,11.369,14.933,549.8,109.9,355.91,0.0,0.0,0.0,RT
180,3.2317,2.5391,223.18,181.61,125.66,10.611,12.206,14.66,551.6,196.38,245.78,0.0,0.0,0.0,RT
181,4.602,2.2992,214.56,191.76,131.41,10.953,13.221,15.278,559.9,272.43,220.85,0.0,0.0,0.0,RT
182,2.8102,2.4429,217.76,175.62,131.47,10.248,12.862,14.975,538.1,306.29,199.63,0.0,0.0,0.0,RT
183,3.2134,2.2908,195.73,186.89,109.62,10.503,12.696,15.46,545.6,234.26,281.83,0.0,0.0,0.0,RT
184,3.6941,1.7487,188.35,194.64,126.11,10.685,12.299,14.86,539.6,164.07,268.99,0.0,0.0,0.0,RT
185,2.8468,2.697,209.5,201.71,114.63,10.884,12.796,14.365,552.7,221.4,174.87,0.0,0.0,0.0,RT
186,3.4274,1.4751,226.55,174.56,110.59,9.853,11.894,16.373,536.9,248.29,419.79,0.0,0.0,0.0,RT
187,4.2796,2.5873,214.75,190.99,117.57,10.08,12.274,15.12,559.2,263.38,304.06,0.0,0.0,0.0,RT
188,3.318,1.8887,230.51,189.32,134.91,10.512,12.638,14.166,544.7,266.88,157.54,0.0,0.0,0.0,RT
189,4.3168,2.6271,225.85,190.38,115.38,10.836,12.743,15.946,555.1,239.12,338.49,0.0,0.0,0.0,RT
190,5.6136,2.6642,210.25,191.42,105.06,10.356,12.587,15.205,542.6,254.48,271.93,0.0,0.0,0.0,RT
191,4.0005,2.3717,224.21,189.68,107.72,10.701,12.657,15.459,558.1,244.84,296.59,0.0,0.0,0.0,RT
192,4.3029,2.7745,228.27,203.92,124.07,11.093,12.566,15.57,561.9,188.84,344.27,0.0,0.0,0.0,RT
193,4.6327,2.211,209.04,202.44,113.55,10.503,12.374,16.052,557.6,218.07,415.21,0.0,0.0,0.0,RT
194,3.4786,2.2295,207.43,211.43,102.63,10.432,13.036,15.629,541.2,292.4,296.61,0.0,0.0,0.0,RT
195,4.284,3.2983,211.69,189.89,108.06,10.642,13.241,14.605,564.6,310.62,146.27,0.0,0.0,0.0,RT
196,3.4648,2.2537,181.06,185.89,121.42,10.554,12.48,14.727,556.9,194.17,232.7,0.0,0.0,0.0,RT
197,3.9508,2.335,213.37,180.32,126.63,10.577,12.03,14.583,543.6,168.58,250.31,0.0,0.0,0.0,RT
198,4.4029,1.5695,218.65,184.81,116.21,10.446,12.406,15.147,552.8,236.93,279.99,0.0,0.0,0.0,RT
199,3.255,2.0996,211.73,197.15,125.52,10.423,12.535,15.679,565.4,252.81,350.45,0.0,0.0,0.0,RT
200,2.5257,2.0255,214.14,198.69,127.78,10.199,11.616,14.958,541.0,164.21,359.25,0.0,0.0,0.0,RT
201,3.2065,2.3557,209.48,196.76,113.34,10.684,13.035,15.038,540.8,266.36,213.12,0.0,0.0,0.0,RT
202,4.5249,2.3353,186.04,183.36,118.97,10.188,12.245,15.014,548.7,209.94,278.57,0.0,0.0,0.0,RT
203,3.1441,2.424,229.95,183.41,114.9,10.255,12.169,15.095,536.0,235.96,287.61,0.0,0.0,0.0,RT
204,4.4761,2.0206,205.59,209.56,124.58,10.141,12.364,15.854,551.1,251.92,403.05,0.0,0.0,0.0,RT
205,3.209,2.7382,202.59,181.68,114.8,10.402,12.311,15.275,557.3,215.5,300.13,0.0,0.0,0.0,RT
206,3.6073,2.7868,226.3,204.17,109.69,10.508,12.523,16.114,551.7,251.56,404.56,0.0,0.0,0.0,RT
207,3.7369,2.8169,221.74,194.05,120.45,10.17,12.816,15.132,542.7,318.42,243.93,0.0,0.0,0.0,RT
208,3.1418,2.4456,213.28,182.67,129.44,10.42,13.01,15.47,559.1,308.84,251.22,0.0,0.0,0.0,RT
209,3.614,1.9268,219.23,178.16,124.34,10.549,12.816,15.337,548.3,272.58,246.24,0.0,0.0,0.0,RT
210,2.8722,2.808,196.14,183.11,128.56,10.029,12.123,15.627,542.1,222.62,347.84,0.0,0.0,0.0,RT
211,3.5289,2.0022,209.03,194.18,127.81,10.272,12.456,15.776,552.6,252.29,356.22,0.0,0.0,0.0,RT
212,3.6849,3.0651,225.54,180.9,120.36,11.041,12.542,15.473,562.0,190.2,298.03,0.0,0.0,0.0,RT
213,2.5428,1.8226,201.87,205.54,114.92,10.287,12.623,17.075,544.2,256.58,497.98,0.0,0.0,0.0,RT
214,3.2023,3.2741,198.02,187.92,112.61,10.713,12.696,16.376,566.0,222.27,391.43,0.0,0.0,0.0,RT
215,3.9297,2.8538,210.94,197.0,106.51,10.348,12.531,15.137,550.8,253.67,282.79,0.0,0.0,0.0,RT
216,3.0863,1.964,211.22,196.2,130.11,10.56,12.465,16.273,551.3,221.87,411.81,0.0,0.0,0.0,RT
