firm_code,survey_date,years_operation,employees_cat,employees_est,annual_revenue_cat,ownership_type,fdi_partnership,FDI,fdi_equity,fdi_joint_venture,fdi_tech_transfer,fdi_mgmt_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,r_and_d_pct,new_products_3yr,proc_innov_iot,proc_innov_automation,proc_innov_quality,proc_innov_other,inn1,inn2,inn3,skilled_workforce_pct,training_hours_per_employee,modern_equipment,machinery_age_years,access_credit,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_ease_of_permits,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,KA_score,TP_score,INN_score,FR_score,GP_score,PERFORM_index
FIRM013,23/04/2025,11,1-50,35,500M-5B,Local,Yes,1,0,0,0,1,11,5,4,4,4,3,3,3,4,3.01,3,0,1,0,0,3.01,3,1,63.0,0,1,12,Moderate,26.2,2,2,3,2,10.83,8.05,12.99,64.38,7.81,4.25,3.25,1.224,0.55,2.333,32.03
FIRM014,14/03/2025,23,500+,700,500M-5B,Foreign-owned,No,0,0,0,0,0,0,3,4,3,2,2,2,3,3,3.13,3,0,0,0,0,3.13,3,0,66.0,13.7,1,13,Moderate,16.6,2,2,4,3,0.96,3.16,17.1,76.37,7.85,3.0,2.5,0.684,0.554,2.667,25.18
FIRM015,06/01/2025,13,500+,700,500M-5B,Local,Yes,1,0,0,1,0,8,4,5,4,4,4,3,2,3,3.93,3,0,1,0,0,3.93,3,1,48.5,20.8,1,4,Moderate,14.0,5,4,3,3,9.9,3.14,25.25,60.92,6.3,4.25,3.0,1.352,0.591,4.0,28.64
FIRM016,22/02/2025,18,251-500,350,50M-500M,Foreign-owned,Yes,1,0,0,0,0,16,5,4,4,5,5,4,4,3,3.82,4,1,1,0,0,3.82,4,2,74.2,31.1,1,10,Difficult,16.7,3,3,5,3,16.95,8.81,28.74,80.84,12.08,4.5,4.0,1.974,0.626,3.667,44.74
FIRM017,18/06/2025,13,251-500,350,50M-500M,Foreign-owned,Yes,1,1,0,1,0,3,3,5,4,5,2,3,2,3,4.25,0,0,1,0,0,4.25,0,1,57.2,22.1,0,7,Easy,19.6,2,4,2,2,3.01,-3,18.62,58.5,10.31,4.25,2.5,1.146,0.498,2.667,19.32
FIRM018,16/06/2025,8,1-50,35,<50M,Joint venture,No,0,0,0,0,0,0,5,3,2,4,3,3,4,3,2.87,2,0,1,0,0,2.87,2,1,38.8,32.6,1,8,Moderate,17.2,5,3,4,6,6.6,7.26,14.2,63.97,7.04,3.5,3.25,1.121,0.589,4.0,28.59
FIRM019,08/05/2025,6,51-250,150,<50M,Local,Yes,1,0,0,0,1,6,4,5,2,3,3,2,2,2,2.6,8,0,1,0,0,2.6,8,1,41.7,26.0,0,8,Moderate,9.6,4,3,2,4,5.91,1.25,19.73,51.54,2.49,3.5,2.25,1.583,0.392,3.0,20.01
FIRM020,08/06/2025,19,1-50,35,50M-500M,Foreign-owned,No,0,0,0,0,0,0,2,3,3,1,3,2,3,1,1.79,4,0,1,0,0,1.79,4,1,55.5,26.1,0,20,Easy,19.5,3,4,4,2,0.49,1.44,6.69,56.33,1.66,2.25,2.25,1.138,0.409,3.667,14.77
FIRM021,12/04/2025,11,500+,700,>5B,Local,No,0,0,0,0,0,0,5,3,1,2,4,5,2,4,3.26,3,0,0,1,0,3.26,3,1,76.8,31.3,1,5,Moderate,9.4,5,1,4,4,16.71,10.81,10.95,84.97,7.42,2.75,3.75,1.259,0.669,3.333,41.45
FIRM022,19/05/2025,1,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,2,4,3,2,2,4,3,2.05,3,1,0,0,0,2.05,3,1,63.3,30.1,1,13,Moderate,15.4,1,4,3,2,4.66,4.44,3.36,66.79,4.13,3.0,2.75,1.09,0.597,2.667,22.27
FIRM023,25/02/2025,16,500+,700,500M-5B,Joint venture,Yes,1,0,1,0,0,5,5,4,4,5,4,4,2,3,4.54,2,0,1,0,0,4.54,2,1,56.5,31.7,0,6,Easy,11.1,6,4,3,3,14.38,15.7,22.12,77.34,7.47,4.5,3.25,1.353,0.5,4.333,44.64
FIRM024,28/01/2025,24,251-500,350,>5B,Foreign-owned,Yes,1,1,0,1,0,8,5,5,5,5,5,5,5,4,3.6,4,1,1,0,0,3.6,4,2,76.7,29.5,1,7,Moderate,17.8,5,2,4,1,22.12,14.42,18.23,73.83,9.71,5.0,4.75,1.944,0.684,3.667,47.94
FIRM025,24/05/2025,8,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,2,3,3,2,1,1,1,2.41,3,0,0,0,0,2.41,3,0,63.7,17.5,0,15,Moderate,18.1,5,4,4,4,-5,-3,4.1,65.43,2.64,2.75,1.25,0.584,0.403,4.333,9.51
FIRM026,16/02/2025,8,51-250,150,50M-500M,Local,Yes,1,0,0,1,0,5,4,4,3,4,2,3,2,2,3.5,3,0,1,0,0,3.5,3,1,49.8,8.9,0,17,Moderate,18.3,4,4,5,2,6.1,4.48,17.95,62.67,5.25,3.75,2.25,1.291,0.325,4.333,25.78
FIRM027,07/03/2025,13,251-500,350,50M-500M,Local,Yes,1,1,0,0,0,8,3,5,5,5,4,4,5,3,3.13,4,1,1,1,0,3.13,4,3,46.2,41.9,1,7,Moderate,20.8,3,4,3,3,18.42,15.63,27.68,86.04,9.41,4.5,4.0,2.435,0.662,3.333,50.79
FIRM028,31/03/2025,20,251-500,350,>5B,Foreign-owned,Yes,1,1,0,0,1,10,5,5,5,4,3,5,4,3,4.51,1,0,1,1,0,4.51,1,2,67.6,46.1,1,6,Moderate,9.4,3,5,2,5,18.73,10.57,17.92,71.89,9.1,4.75,3.75,1.821,0.688,3.333,42.02
FIRM029,29/05/2025,18,1-50,35,50M-500M,Joint venture,No,0,0,0,0,0,0,3,3,4,2,3,3,1,3,2.84,3,0,0,1,0,2.84,3,1,44.0,16.1,1,17,Easy,29.6,5,2,5,2,4.48,1.89,2.68,63.39,0.62,3.0,2.5,1.199,0.563,4.0,17.79
FIRM030,04/06/2025,8,51-250,150,<50M,Local,No,0,0,0,0,0,0,1,3,2,2,3,2,2,2,2.1,1,0,1,1,0,2.1,1,2,48.7,18.2,0,7,Difficult,13.2,5,4,1,2,3.18,2.21,4.99,63.87,0,2.0,2.25,1.486,0.376,3.333,17.53
FIRM031,15/05/2025,22,251-500,350,500M-5B,Local,Yes,1,0,0,0,1,5,5,3,5,4,5,3,4,3,6.0,2,0,1,1,0,6.0,2,2,50.6,34.7,1,9,Moderate,28.6,4,2,3,3,15.03,13.33,24.2,71.1,13.29,4.25,3.75,2.111,0.667,3.0,44.82
FIRM032,01/02/2025,20,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,4,3,5,3,3,3,3,2,3.13,0,0,1,1,0,3.13,0,2,59.7,32.3,0,12,Moderate,24.6,4,3,2,3,6.81,3.79,6.71,82.64,0.93,3.75,2.75,1.546,0.493,3.0,25.55
FIRM033,16/05/2025,8,1-50,35,50M-500M,Local,Yes,1,0,1,0,0,6,5,3,4,5,2,2,4,3,3.06,4,1,0,1,0,3.06,4,2,69.1,5.5,0,10,Difficult,15.9,4,2,4,4,8.59,5.14,27.21,75.27,6.8,4.25,2.75,1.87,0.374,3.333,32.89
FIRM034,27/03/2025,6,1-50,35,<50M,Joint venture,No,0,0,0,0,0,0,1,3,4,2,3,2,2,3,3.08,2,0,1,0,1,3.08,2,1,66.6,35.6,1,11,Moderate,11.9,1,4,3,4,0.27,0.11,9.41,72.63,3.01,2.5,2.5,1.15,0.624,2.667,17.96
FIRM035,17/02/2025,30,251-500,350,500M-5B,Joint venture,Yes,1,1,1,0,0,5,5,4,5,4,3,2,5,5,5.85,3,1,1,1,0,5.85,3,3,51.9,27.0,1,6,Moderate,14.2,2,5,3,4,16.71,10.04,30.52,83.72,8.89,4.5,3.75,2.73,0.606,3.333,45.13
FIRM036,26/05/2025,17,1-50,35,<50M,Local,No,0,0,0,0,0,0,4,3,4,2,3,3,2,1,2.76,5,0,0,1,0,2.76,5,1,47.5,23.7,1,9,Moderate,21.2,4,3,4,4,5.66,-3,16.11,61.95,2.36,3.25,2.25,1.355,0.591,3.667,17.76
FIRM037,16/03/2025,12,500+,700,>5B,Joint venture,No,0,0,0,0,0,0,3,2,3,3,5,4,2,2,2.21,9,0,0,0,0,2.21,9,0,48.2,13.8,1,11,Easy,23.7,4,4,2,3,6.64,3.26,13.53,63.26,7.19,2.75,3.25,1.057,0.585,3.333,25.2
FIRM038,03/02/2025,8,1-50,35,500M-5B,Local,Yes,1,1,0,1,0,7,5,5,5,4,2,3,2,2,2.5,0,0,0,1,1,2.5,0,1,57.9,40.3,1,6,Moderate,12.1,3,3,5,2,-0.85,-0.91,20.16,52.04,4.23,4.75,2.25,0.903,0.656,3.667,15.0
FIRM039,16/03/2025,12,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,2,4,3,3,4,2,5,2.44,2,0,1,1,0,2.44,2,2,73.8,19.4,1,9,Moderate,13.6,4,4,2,4,9.28,9.49,0,74.61,4.22,3.0,3.5,1.616,0.61,3.333,30.13
FIRM040,10/02/2025,5,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,4,2,4,2,4,3,3,1.78,2,0,0,1,0,1.78,2,1,52.1,0,1,11,Moderate,24.9,4,5,2,1,3.66,7.99,5.46,86.08,8.19,3.25,3.0,0.97,0.524,3.667,30.5
FIRM041,11/04/2025,14,251-500,350,>5B,Local,Yes,1,1,1,1,0,6,4,4,4,4,3,5,4,2,3.33,2,1,1,1,0,3.33,2,3,66.8,16.3,1,11,Difficult,17.3,3,5,2,2,11.88,7.81,10.75,57.52,8.43,4.0,3.5,2.296,0.553,3.333,30.94
FIRM042,14/01/2025,19,251-500,350,50M-500M,Foreign-owned,Yes,1,0,1,0,1,9,4,5,5,4,3,4,2,3,5.17,2,1,0,1,0,5.17,2,2,56.3,40.3,1,9,Moderate,8.3,5,6,2,3,7.13,5.74,17.32,70.79,11.26,4.5,3.0,1.995,0.613,4.333,31.5
FIRM043,27/02/2025,23,500+,700,>5B,Foreign-owned,Yes,1,1,0,0,0,1,5,5,4,3,4,3,5,4,4.52,7,1,1,1,0,4.52,7,3,58.3,45.2,1,12,Moderate,15.1,4,3,7,4,19.53,14.31,27.14,84.92,7.72,4.25,4.0,2.877,0.641,4.667,49.38
FIRM044,05/02/2025,13,1-50,35,50M-500M,Joint venture,Yes,1,0,1,1,0,13,4,5,4,5,3,4,3,5,2.13,1,0,0,0,0,2.13,1,0,42.2,14.5,0,18,Easy,7.2,3,3,1,4,14.61,4.53,30.58,67.5,6.57,4.5,3.75,0.379,0.3,2.333,35.19
FIRM045,04/02/2025,23,500+,700,500M-5B,Local,Yes,1,1,0,0,0,9,5,5,5,5,3,2,4,3,4.37,6,0,1,0,1,4.37,6,1,43.6,21.7,1,15,Difficult,6.6,3,4,3,3,7.82,8.14,5.08,69.42,8.2,5.0,3.0,1.663,0.437,3.333,29.81
FIRM046,31/01/2025,6,51-250,150,500M-5B,Local,Yes,1,0,0,1,0,6,4,3,5,5,3,2,2,1,4.06,4,0,1,0,0,4.06,4,1,48.4,39.2,0,7,Difficult,16.9,2,2,2,1,2.22,0.16,16.54,65.41,5.23,4.25,2.0,1.453,0.462,2.0,20.14
FIRM047,25/05/2025,26,251-500,350,500M-5B,Local,No,0,0,0,0,0,0,3,2,4,3,2,2,4,2,1.39,1,0,1,0,0,1.39,1,1,44.0,29.6,1,2,Moderate,43.6,5,4,3,4,0.3,1.21,1.44,70.38,8.74,3.0,2.5,0.832,0.714,4.0,19.26
FIRM048,16/05/2025,17,1-50,35,500M-5B,Joint venture,No,0,0,0,0,0,0,3,3,2,5,3,3,3,1,2.05,2,0,0,0,0,2.05,2,0,34.6,19.6,1,6,Moderate,11.5,4,4,6,3,3.69,1.97,0,81.29,8.39,3.25,2.5,0.452,0.526,4.667,23.73
FIRM049,01/03/2025,17,500+,700,>5B,Foreign-owned,Yes,1,1,1,0,1,12,4,3,4,5,3,1,4,2,4.58,5,0,1,0,0,4.58,5,1,60.7,34.0,0,17,Moderate,7.9,3,4,7,3,10.03,3.47,21.97,68.91,8.53,4.0,2.5,1.608,0.392,4.667,30.88
FIRM050,26/04/2025,21,51-250,150,<50M,Local,Yes,1,0,0,1,0,5,5,5,5,4,5,3,4,2,4.5,5,0,0,1,0,4.5,5,1,69.8,19.5,1,5,Difficult,6.0,6,6,3,4,12.66,14.32,29.12,60.31,7.43,4.75,3.5,1.598,0.568,5.0,40.45
FIRM051,22/02/2025,7,1-50,35,<50M,Local,No,0,0,0,0,0,0,2,3,5,4,3,4,2,3,2.38,1,0,1,0,0,2.38,1,1,48.8,36.5,1,9,Moderate,12.2,5,4,2,2,5.49,9.1,8.53,81.68,3.5,3.5,3.0,0.97,0.598,3.667,30.25
FIRM052,02/01/2025,23,251-500,350,>5B,Local,Yes,1,1,0,0,0,14,4,4,5,5,3,4,3,4,4.65,4,1,1,0,0,4.65,4,2,48.2,31.5,1,8,Moderate,19.6,3,7,6,4,16.64,9.45,16.42,61.39,7.45,4.5,3.5,2.091,0.619,5.333,36.72
FIRM053,09/01/2025,1,1-50,35,<50M,Local,Yes,1,0,0,0,0,1,4,5,3,4,3,3,3,3,3.25,5,0,0,0,0,3.25,5,0,52.4,25.4,1,10,Easy,19.9,6,4,2,3,9.69,6.46,10.97,76.35,4.61,4.0,3.0,0.868,0.626,4.0,30.67
FIRM054,05/02/2025,33,500+,700,500M-5B,Local,Yes,1,1,1,0,0,11,4,4,5,4,3,4,5,4,4.18,4,1,1,0,0,4.18,4,2,35.9,12.1,1,3,Moderate,9.6,4,5,3,4,11.59,12.16,21.63,82.14,8.38,4.25,4.0,2.024,0.519,4.0,41.32
FIRM055,12/05/2025,15,1-50,35,<50M,Local,Yes,1,0,0,1,1,3,4,3,5,4,4,2,5,2,3.37,3,0,0,1,0,3.37,3,1,45.9,43.2,0,5,Moderate,19.8,5,4,4,2,13.81,7.49,12.6,65.16,9.37,4.0,3.25,1.274,0.526,4.333,34.19
FIRM056,16/06/2025,4,51-250,150,<50M,Local,No,0,0,0,0,0,0,2,4,4,2,2,2,4,3,2.01,1,0,0,0,0,2.01,1,0,78.3,52.8,1,9,Difficult,5.5,4,3,4,3,-1.36,0.12,8.07,64.35,2.89,3.0,2.75,0.363,0.668,3.667,14.97
FIRM057,18/06/2025,6,1-50,35,<50M,Local,No,0,0,0,0,0,0,2,3,3,3,1,2,2,3,2.0,0,0,0,0,0,2.0,0,0,61.1,0,0,9,Moderate,36.5,4,3,1,1,-1.12,-1.42,0,57.62,1.19,2.75,2.0,0.278,0.455,2.667,10.2
FIRM058,06/04/2025,4,1-50,35,50M-500M,Local,Yes,1,1,0,0,1,3,4,5,5,5,4,5,4,3,2.76,1,1,0,1,0,2.76,1,2,58.2,19.6,1,8,Moderate,17.5,2,4,3,2,13.4,10.71,13.18,73.9,10.41,4.75,4.0,1.578,0.596,3.0,38.82
FIRM059,20/02/2025,24,251-500,350,500M-5B,Local,Yes,1,0,0,0,0,6,5,4,5,5,2,4,4,4,5.2,5,0,1,1,0,5.2,5,2,80.4,24.7,1,11,Moderate,0,4,3,5,3,16.39,6.48,15.78,67.18,10.77,4.75,3.5,2.249,0.571,4.0,36.64
FIRM060,18/05/2025,20,51-250,150,50M-500M,Local,Yes,1,1,0,1,0,5,5,4,4,4,2,3,4,4,3.15,5,1,0,0,0,3.15,5,1,58.5,22.4,0,17,Moderate,13.9,3,2,4,2,10.67,3.97,17.5,69.77,5.71,4.25,3.25,1.41,0.373,3.0,29.75
FIRM061,19/04/2025,12,251-500,350,>5B,Joint venture,Yes,1,1,1,0,0,12,5,5,5,5,5,5,2,4,4.45,3,1,0,1,0,4.45,3,2,61.9,50.7,1,8,Difficult,13.7,3,3,2,4,14.81,14.68,15.66,98,7.64,5.0,4.0,1.979,0.663,2.667,47.01
FIRM062,17/06/2025,22,251-500,350,>5B,Joint venture,Yes,1,0,1,1,0,14,5,5,5,5,3,4,3,4,4.2,0,0,1,1,1,4.2,0,2,60.5,42.3,1,2,Easy,7.7,3,4,5,3,12.46,13.27,14.45,85.0,7.59,5.0,3.5,1.694,0.711,4.0,41.55
FIRM063,29/03/2025,8,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,2,5,3,3,2,1,2,3,2.36,3,0,0,1,0,2.36,3,1,53.1,20.1,0,15,Difficult,23.4,1,5,5,1,1.77,1.15,13.67,64.44,0.35,3.25,2.0,1.133,0.378,3.667,17.79
FIRM064,03/01/2025,20,500+,700,>5B,Joint venture,Yes,1,1,1,0,1,9,5,4,4,5,4,3,2,1,3.22,4,0,0,1,0,3.22,4,1,65.4,20.4,1,18,Moderate,20.1,3,4,4,3,10.72,3.09,20.2,64.7,8.53,4.5,2.5,1.337,0.553,3.667,29.8
FIRM065,22/05/2025,17,500+,700,>5B,Local,No,0,0,0,0,0,0,4,3,5,5,4,3,3,1,4.15,4,0,1,0,0,4.15,4,1,89.9,35.8,1,6,Easy,11.0,5,4,1,3,7.93,7.26,10.76,74.29,7.12,4.25,2.75,1.465,0.746,3.333,30.82
FIRM066,16/01/2025,19,500+,700,500M-5B,Joint venture,Yes,1,1,1,0,0,14,4,4,3,5,3,2,3,3,4.16,5,0,1,0,1,4.16,5,1,64.9,34.1,1,20,Easy,9.7,3,5,4,2,8.12,5.4,12.61,68.0,4.5,4.0,2.75,1.55,0.567,4.0,27.45
FIRM067,08/03/2025,20,251-500,350,50M-500M,Joint venture,Yes,1,1,1,0,0,13,5,5,5,5,4,5,5,4,3.77,3,0,1,0,0,3.77,3,1,48.5,47.4,1,12,Easy,12.7,4,2,4,3,14.7,15.19,11.75,79.56,12.56,5.0,4.5,1.329,0.644,3.333,44.98
FIRM068,17/04/2025,16,51-250,150,<50M,Local,No,0,0,0,0,0,0,4,2,4,3,2,2,1,3,3.73,2,0,0,0,0,3.73,2,0,38.1,30.1,1,13,Easy,2.7,5,5,1,3,-2.32,0.26,4.68,49.06,1.77,3.25,2.0,0.684,0.51,3.667,10.27
FIRM069,27/06/2025,22,51-250,150,500M-5B,Joint venture,No,0,0,0,0,0,0,2,2,3,1,3,1,4,3,3.66,3,1,0,1,0,3.66,3,2,52.2,33.7,1,15,Moderate,41.3,5,3,3,5,9.53,3.04,18.66,64.28,0.89,2.0,2.75,1.869,0.65,3.667,25.36
FIRM070,23/03/2025,26,251-500,350,500M-5B,Joint venture,Yes,1,1,1,1,0,7,4,4,5,4,5,5,4,3,3.78,0,1,1,1,0,3.78,0,3,70.2,37.8,0,3,Difficult,22.7,6,5,3,5,17.49,11.99,29.29,91.32,11.72,4.25,4.25,2.191,0.566,4.667,49.67
FIRM071,26/02/2025,13,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,4,2,4,3,3,3,3,3,3.05,4,0,0,1,0,3.05,4,1,42.3,9.5,1,12,Easy,14.4,5,3,5,5,7.82,4.53,4.47,65.96,3.92,3.25,3.0,1.312,0.509,4.333,24.27
FIRM072,21/05/2025,18,1-50,35,<50M,Local,No,0,0,0,0,0,0,2,4,3,4,2,3,2,2,3.39,3,1,0,1,0,3.39,3,2,38.6,5.3,1,18,Easy,15.6,2,5,1,3,4.22,3.55,8.08,72.1,3.84,3.25,2.25,1.833,0.446,2.667,23.16
FIRM073,26/02/2025,9,251-500,350,>5B,Local,No,0,0,0,0,0,0,4,5,4,2,5,4,3,5,4.22,2,1,1,1,0,4.22,2,3,69.4,29.6,1,5,Moderate,31.9,2,3,3,5,18.31,9.29,14.18,96.64,10.47,3.75,4.25,2.42,0.741,2.667,45.53
FIRM074,07/02/2025,19,251-500,350,>5B,Joint venture,Yes,1,1,1,0,0,14,5,4,3,5,3,5,3,1,3.66,2,1,1,1,0,3.66,2,3,38.6,38.2,1,11,Easy,33.4,3,5,3,5,17.56,8.02,19.86,56.5,6.0,4.25,3.0,2.342,0.685,3.667,35.24
FIRM075,06/06/2025,26,251-500,350,500M-5B,Joint venture,Yes,1,0,1,1,0,7,5,5,4,2,5,3,3,3,4.73,2,1,1,1,0,4.73,2,3,78.0,40.0,1,13,Moderate,14.3,4,4,4,4,20.15,11.87,19.51,82.54,10.45,4.0,3.5,2.49,0.662,4.0,46.98
FIRM076,13/02/2025,11,51-250,150,<50M,Local,No,0,0,0,0,0,0,2,5,2,4,1,2,2,2,3.24,1,0,0,1,0,3.24,1,1,62.8,20.5,0,18,Moderate,8.2,3,2,3,3,2.61,1.08,0.58,50.25,3.12,3.25,1.75,1.089,0.346,2.667,14.0
FIRM077,13/06/2025,14,1-50,35,<50M,Joint venture,Yes,1,0,1,1,0,2,5,4,4,4,3,1,3,1,4.12,6,0,0,0,0,4.12,6,0,60.4,31.9,1,21,Moderate,15.3,5,4,4,5,3.2,0.48,17.41,70.59,1.88,4.25,2.0,1.073,0.543,4.333,20.79
FIRM078,09/05/2025,1,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,5,4,4,2,2,3,3,2,3.72,3,0,0,0,0,3.72,3,0,37.2,0,1,15,Moderate,16.8,4,5,4,4,-1.2,2.22,3.26,70.71,5.59,3.75,2.5,0.766,0.423,4.333,18.21
FIRM079,30/05/2025,31,500+,700,>5B,Local,Yes,1,1,0,1,0,5,5,5,5,4,5,5,5,5,5.52,4,1,1,0,0,5.52,4,2,45.6,31.5,1,8,Moderate,24.4,4,3,4,3,17.76,16.74,19.04,98,11.91,4.75,5.0,2.212,0.634,3.667,53.0
FIRM080,24/02/2025,8,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,3,3,3,3,2,2,3,3.04,3,0,0,0,0,3.04,3,0,49.1,24.9,0,19,Moderate,21.0,4,2,2,3,-5,3.18,0,65.98,1.37,3.0,2.5,0.672,0.374,2.667,13.21
FIRM081,08/03/2025,34,500+,700,500M-5B,Local,Yes,1,0,0,0,0,10,5,5,5,4,3,3,2,4,5.99,3,1,1,1,0,5.99,3,3,75.4,28.5,1,14,Moderate,20.1,4,5,3,3,13.36,4.37,21.11,74.96,7.09,4.75,3.0,2.748,0.635,4.0,34.1
FIRM082,15/06/2025,8,1-50,35,<50M,Local,No,0,0,0,0,0,0,4,3,2,3,2,1,1,2,2.79,4,0,0,0,0,2.79,4,0,39.4,17.6,0,15,Difficult,13.0,3,3,3,5,-5,-3,0,48.08,0,3.0,1.5,0.721,0.29,3.0,4.09
FIRM083,21/06/2025,16,1-50,35,<50M,Local,No,0,0,0,0,0,0,3,4,2,4,2,2,2,3,2.05,0,1,1,0,0,2.05,0,2,67.4,2.6,0,13,Moderate,32.5,2,5,2,3,3.48,0.13,0.0,48.36,5.1,3.25,2.25,1.396,0.439,3.0,14.14
FIRM084,08/02/2025,13,251-500,350,500M-5B,Joint venture,Yes,1,1,1,0,0,10,5,4,4,4,5,4,4,3,2.65,6,1,1,1,0,2.65,6,3,45.1,31.3,1,8,Moderate,19.4,4,3,4,2,15.88,8.4,20.84,92.86,10.11,4.25,4.0,2.535,0.61,3.667,43.72
