Country_Code,Country_Name,Year,Quarter,Date,Bank_NPL_to_Total_Loans_%,Bank_Z_Score,Bank_ROA_%,Domestic_Credit_to_Private_Sector_%_GDP,WGI_Regulatory_Quality,Financial_Regulation_Index,Digital_Lending_Regulation,Mobile_Money_Regulation,Data_Protection_Law,Regulatory_Sandbox,Total_FinTech_Regulations,Account_Ownership_%_Adults,Mobile_Money_Account_%_Adults,Bank_Branches_per_100k_Adults,ATMs_per_100k_Adults,Banking_Market_HHI,Interest_Rate_Spread_%,Capital_Adequacy_Ratio_%,Liquid_Assets_to_Deposits_%,Forex_Reserves_Months_Imports,Financial_Stress_Index,Systemic_Risk_Score,Data_Source,Last_Updated,Region,Banking_Health_Index,Regulatory_Strength_Index,Financial_Development_Index
AGO,Angola,2017,Q1,2017-Q1,7.76,9.54,0.192,25.87,-1.016,30.3,0,0,0,0,0,21.16,29.0,2.01,4.62,4173.0,12.09,9.99,21.31,1.98,42.19,105.45,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.01,19.993333333333336,19.064
AGO,Angola,2017,Q2,2017-Q2,7.65,9.46,0.19,25.75,-1.013,30.17,0,0,0,0,0,21.19,29.13,2.0,4.61,4139.0,11.96,9.95,21.13,1.95,41.5,105.21,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.951875,19.970000000000002,19.058
AGO,Angola,2017,Q3,2017-Q3,8.03,9.75,0.197,26.31,-1.023,30.82,0,0,0,0,0,21.78,30.43,2.03,4.72,4212.0,12.3,10.16,21.77,2.05,43.48,105.78,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.195625,20.12,19.622000000000003
AGO,Angola,2017,Q4,2017-Q4,7.96,9.71,0.195,26.26,-1.022,30.76,0,0,0,0,0,21.86,30.7,2.03,4.73,4188.0,12.22,10.14,21.67,2.03,43.04,105.61,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.165000000000003,20.106666666666666,19.686
AGO,Angola,2018,Q1,2018-Q1,7.49,9.37,0.186,25.68,-1.01,30.08,0,0,0,0,0,21.49,30.0,2.01,4.64,4080.0,11.77,9.92,20.91,1.91,40.43,104.8,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.891874999999999,19.959999999999997,19.3
AGO,Angola,2018,Q2,2018-Q2,8.01,9.76,0.196,26.43,-1.024,30.96,0,0,0,0,0,22.26,31.71,2.05,4.79,4182.0,12.24,10.21,21.78,2.04,43.12,105.57,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.224375000000002,20.16,20.046
AGO,Angola,2018,Q3,2018-Q3,8.42,10.06,0.203,27.01,-1.035,31.64,0,0,0,0,0,22.89,33.14,2.07,4.91,4258.0,12.59,10.44,22.46,2.15,45.24,106.17,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.48125,20.313333333333333,20.642000000000003
AGO,Angola,2018,Q4,2018-Q4,8.16,9.88,0.198,26.72,-1.029,31.3,0,0,0,0,0,22.78,33.01,2.07,4.87,4194.0,12.34,10.32,22.05,2.08,43.74,105.68,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.335,20.24,20.519999999999996
AGO,Angola,2019,Q1,2019-Q1,8.79,10.34,0.21,27.6,-1.045,32.33,0,0,0,0,0,23.67,35.05,2.11,5.04,4314.0,12.89,10.66,23.09,2.24,47.06,106.65,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.725625,20.476666666666667,21.389999999999997
AGO,Angola,2019,Q2,2019-Q2,9.49,10.84,0.223,28.52,-1.062,33.4,0,0,0,0,0,24.6,37.22,2.14,5.23,4441.0,13.49,11.02,24.19,2.42,50.69,107.74,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.144375,20.72,22.3
AGO,Angola,2019,Q3,2019-Q3,9.89,11.11,0.23,29.03,-1.071,34.0,0,0,0,0,0,25.15,38.55,2.17,5.33,4507.0,13.81,11.21,24.81,2.52,52.74,108.36,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.366875,20.86,22.847999999999995
AGO,Angola,2019,Q4,2019-Q4,9.75,11.02,0.227,28.91,-1.069,33.87,0,0,0,0,0,25.2,38.78,2.17,5.33,4471.0,13.67,11.17,24.61,2.49,51.89,108.06,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.303125,20.83,22.88
AGO,Angola,2020,Q1,2020-Q1,13.15,7.77,0.153,27.82,-1.048,32.59,0,0,0,0,0,24.4,37.06,2.13,5.14,4284.0,12.84,9.4,23.17,2.24,93.03,130.23,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,14.395624999999999,20.543333333333333,22.042
AGO,Angola,2020,Q2,2020-Q2,13.4,7.86,0.155,28.08,-1.052,32.89,0,0,0,0,0,24.77,38.0,2.14,5.2,4307.0,12.97,9.48,23.44,2.28,94.6,130.84,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,14.469999999999999,20.616666666666667,22.39
AGO,Angola,2020,Q3,2020-Q3,13.06,7.74,0.152,27.85,-1.048,32.62,0,0,0,0,0,24.74,38.06,2.14,5.18,4252.0,12.75,9.4,23.1,2.23,92.04,129.77,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,14.383750000000003,20.55333333333333,22.342000000000002
AGO,Angola,2020,Q4,2020-Q4,12.75,7.64,0.149,27.62,-1.043,32.35,0,0,0,0,0,24.67,38.01,2.14,5.15,4202.0,12.55,9.33,22.78,2.17,89.65,128.77,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,14.310625000000002,20.496666666666666,22.26
AGO,Angola,2021,Q1,2021-Q1,12.97,7.72,0.15,27.86,-1.047,32.64,0,0,0,0,0,25.05,39.01,2.15,5.21,4220.0,12.66,9.41,23.03,2.21,91.03,129.3,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,14.379375,20.566666666666666,22.618
AGO,Angola,2021,Q2,2021-Q2,13.32,7.85,0.153,28.2,-1.053,33.03,0,0,0,0,0,25.5,40.17,2.17,5.29,4255.0,12.84,9.52,23.4,2.27,93.28,130.18,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,14.485000000000001,20.656666666666666,23.06
AGO,Angola,2021,Q3,2021-Q3,13.97,8.08,0.159,28.81,-1.063,33.74,0,0,0,0,0,26.2,41.94,2.19,5.42,4329.0,13.2,11.13,24.11,2.38,49.03,106.9,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.379375000000003,20.826666666666668,23.747999999999998
AGO,Angola,2021,Q4,2021-Q4,13.76,8.01,0.157,28.67,-1.06,33.58,0,0,0,0,0,26.22,42.11,2.19,5.41,4293.0,13.06,11.07,23.89,2.35,48.18,106.61,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.3225,20.793333333333333,23.754
AGO,Angola,2022,Q1,2022-Q1,8.53,10.24,0.201,27.89,-1.045,32.66,0,0,0,0,0,25.66,40.87,2.17,5.28,4159.0,12.47,10.77,22.86,2.18,44.61,105.48,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.724375,20.586666666666666,23.165999999999997
AGO,Angola,2022,Q2,2022-Q2,8.65,10.33,0.203,28.09,-1.049,32.9,0,0,0,0,0,26.0,41.82,2.18,5.33,4172.0,12.56,10.85,23.07,2.21,45.14,105.61,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.806875,20.64,23.494
AGO,Angola,2022,Q3,2022-Q3,8.56,10.27,0.201,28.01,-1.047,32.81,0,0,0,0,0,26.09,42.16,2.18,5.34,4144.0,12.46,10.82,22.93,2.18,44.57,105.41,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.7625,20.623333333333335,23.568
AGO,Angola,2022,Q4,2022-Q4,8.39,10.15,0.197,27.83,-1.043,32.59,0,0,0,0,0,26.05,42.17,2.18,5.31,4102.0,12.29,10.75,22.66,2.14,43.59,105.09,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.668125,20.576666666666668,23.514000000000003
AGO,Angola,2023,Q1,2023-Q1,8.06,9.92,0.191,27.43,-1.035,32.13,0,0,0,0,0,25.83,41.76,2.17,5.25,4029.0,11.98,10.6,22.13,2.06,41.8,104.53,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.48375,20.47666666666667,23.273999999999997
AGO,Angola,2023,Q2,2023-Q2,8.23,10.05,0.194,27.71,-1.04,32.46,0,0,0,0,0,26.24,42.89,2.18,5.32,4053.0,12.11,10.7,22.42,2.1,42.6,104.74,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.595625,20.55333333333333,23.676000000000002
AGO,Angola,2023,Q3,2023-Q3,8.31,10.11,0.195,27.87,-1.042,32.65,0,0,0,0,0,26.58,43.88,2.19,5.37,4058.0,12.16,10.77,22.57,2.12,42.92,104.79,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.658125,20.603333333333335,24.004
AGO,Angola,2023,Q4,2023-Q4,8.29,10.1,0.194,27.89,-1.042,32.67,0,0,0,0,0,26.76,44.45,2.2,5.39,4043.0,12.12,10.77,22.54,2.12,42.72,104.7,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.651874999999997,20.61,24.176000000000002
AGO,Angola,2024,Q1,2024-Q1,8.29,10.1,0.194,27.92,-1.042,32.7,0,0,0,0,0,26.92,44.96,2.2,5.41,4035.0,12.1,10.78,22.54,2.11,42.63,104.65,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.656875,20.62,24.324
AGO,Angola,2024,Q2,2024-Q2,9.32,10.85,0.212,29.35,-1.068,34.38,0,0,0,0,0,28.46,48.96,2.26,5.7,4225.0,12.99,11.34,24.23,2.38,47.84,106.14,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.2925,21.006666666666668,25.894
AGO,Angola,2024,Q3,2024-Q3,9.46,10.96,0.215,29.58,-1.072,34.65,0,0,0,0,0,28.86,50.12,2.28,5.77,4242.0,13.09,11.43,24.47,2.41,48.51,106.31,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.39125,21.069999999999997,26.3
AGO,Angola,2024,Q4,2024-Q4,8.92,10.59,0.205,28.95,-1.06,33.91,0,0,0,0,0,28.41,49.11,2.26,5.66,4135.0,12.62,11.18,23.64,2.28,45.63,105.4,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.09,20.903333333333332,25.818
BDI,Burundi,2010,Q1,2010-Q1,14.19,7.14,1.122,25.75,-0.35,24.28,0,0,0,0,0,38.64,11.32,2.04,2.15,4964.0,14.9,11.88,18.94,1.83,59.57,114.38,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.678125,22.426666666666666,18.042
BDI,Burundi,2010,Q2,2010-Q2,14.11,7.12,1.114,25.73,-0.35,24.27,0,0,0,0,0,38.86,11.45,2.04,2.16,4940.0,14.82,11.87,18.88,1.82,59.1,114.17,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.648125,22.423333333333332,18.112000000000002
BDI,Burundi,2010,Q3,2010-Q3,15.2,7.45,1.181,26.57,-0.355,25.06,0,0,0,0,0,40.37,12.16,2.08,2.23,5080.0,15.48,12.26,19.76,1.96,63.53,115.76,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,18.1075,22.653333333333332,18.791999999999998
BDI,Burundi,2010,Q4,2010-Q4,15.04,7.41,1.169,26.49,-0.354,24.99,0,0,0,0,0,40.5,12.25,2.08,2.23,5046.0,15.36,12.22,19.64,1.94,62.73,115.43,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,18.0475,22.636666666666667,18.82
BDI,Burundi,2011,Q1,2011-Q1,15.63,7.59,1.203,26.96,-0.357,25.43,0,0,0,0,0,41.49,12.75,2.1,2.28,5112.0,15.7,12.44,20.12,2.02,65.06,116.25,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,18.295625,22.763333333333332,19.252000000000002
BDI,Burundi,2011,Q2,2011-Q2,16.07,7.72,1.228,27.31,-0.359,25.75,0,0,0,0,0,42.26,13.13,2.12,2.32,5158.0,15.94,12.6,20.46,2.08,66.76,116.85,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,18.475625,22.856666666666666,19.587999999999997
BDI,Burundi,2011,Q3,2011-Q3,15.71,7.62,1.204,27.1,-0.358,25.56,0,0,0,0,0,42.19,13.14,2.12,2.31,5100.0,15.7,12.5,20.2,2.03,65.15,116.22,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,18.338124999999998,22.799999999999997,19.53
BDI,Burundi,2011,Q4,2011-Q4,14.22,7.19,1.111,26.12,-0.351,24.64,0,0,0,0,0,40.92,12.59,2.08,2.23,4894.0,14.78,12.05,19.06,1.84,58.85,113.87,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.75875,22.540000000000003,18.898000000000003
BDI,Burundi,2012,Q1,2012-Q1,13.84,7.07,1.085,25.87,-0.349,24.4,0,0,0,0,0,40.73,12.53,2.08,2.21,4831.0,14.52,11.93,18.75,1.79,57.14,113.23,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.5975,22.47333333333333,18.79
BDI,Burundi,2012,Q2,2012-Q2,14.07,7.14,1.098,26.08,-0.351,24.6,0,0,0,0,0,41.28,12.82,2.09,2.24,4853.0,14.64,12.03,18.95,1.82,57.99,113.51,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.700625000000002,22.52666666666667,19.022000000000002
BDI,Burundi,2012,Q3,2012-Q3,13.09,6.85,1.035,25.39,-0.346,23.95,0,0,0,0,0,40.41,12.45,2.06,2.18,4707.0,14.01,11.71,18.16,1.69,53.84,111.98,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.299374999999998,22.343333333333334,18.582
BDI,Burundi,2012,Q4,2012-Q4,12.95,6.81,1.024,25.34,-0.345,23.89,0,0,0,0,0,40.6,12.58,2.07,2.19,4675.0,13.9,11.69,18.06,1.67,53.17,111.71,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.250625,22.330000000000002,18.65
BDI,Burundi,2013,Q1,2013-Q1,12.04,6.53,0.965,24.66,-0.341,23.26,0,0,0,0,0,39.77,12.23,2.04,2.14,4532.0,13.29,11.38,17.3,1.56,49.33,110.32,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.865000000000002,22.146666666666665,18.228
BDI,Burundi,2013,Q2,2013-Q2,12.12,6.55,0.968,24.77,-0.341,23.36,0,0,0,0,0,40.16,12.45,2.05,2.15,4534.0,13.32,11.42,17.38,1.57,49.56,110.38,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.8975,22.179999999999996,18.386
BDI,Burundi,2013,Q3,2013-Q3,12.36,6.63,0.982,25.0,-0.343,23.57,0,0,0,0,0,40.75,12.75,2.06,2.18,4560.0,13.46,11.53,17.59,1.6,50.45,110.66,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.0125,22.236666666666668,18.631999999999998
BDI,Burundi,2013,Q4,2013-Q4,12.19,6.58,0.969,24.9,-0.342,23.48,0,0,0,0,0,40.82,12.82,2.06,2.17,4525.0,13.33,11.49,17.45,1.57,49.66,110.36,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.945625,22.213333333333335,18.636
BDI,Burundi,2014,Q1,2014-Q1,13.33,6.95,1.04,25.87,-0.348,24.39,0,0,0,0,0,42.64,13.71,2.11,2.27,4684.0,14.06,11.93,18.44,1.72,54.22,111.92,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.456875,22.47666666666667,19.462
BDI,Burundi,2014,Q2,2014-Q2,12.64,6.74,0.995,25.37,-0.345,23.93,0,0,0,0,0,42.07,13.48,2.09,2.23,4575.0,13.6,11.7,17.87,1.63,51.29,110.86,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.167499999999997,22.343333333333334,19.166
BDI,Burundi,2014,Q3,2014-Q3,11.88,6.5,0.946,24.81,-0.341,23.4,0,0,0,0,0,41.41,13.21,2.07,2.19,4454.0,13.09,11.44,17.24,1.53,48.11,109.71,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.8425,22.193333333333328,18.832
BDI,Burundi,2014,Q4,2014-Q4,10.73,6.12,0.87,23.88,-0.334,22.53,0,0,0,0,0,40.13,12.63,2.04,2.11,4270.0,12.3,11.02,16.24,1.39,43.34,108.04,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.324374999999996,21.95,18.212
BDI,Burundi,2015,Q1,2015-Q1,10.84,6.17,0.877,24.02,-0.335,22.65,0,0,0,0,0,40.56,12.87,2.05,2.13,4279.0,12.36,11.08,16.35,1.4,43.73,108.15,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.389999999999997,21.98333333333333,18.392000000000003
BDI,Burundi,2015,Q2,2015-Q2,10.95,6.2,0.882,24.15,-0.336,22.78,0,0,0,0,0,41.05,13.15,2.06,2.15,4285.0,12.42,11.14,16.45,1.41,44.06,108.23,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.440625,22.02,18.589999999999996
BDI,Burundi,2015,Q3,2015-Q3,10.8,6.15,0.87,24.06,-0.335,22.69,0,0,0,0,0,41.13,13.22,2.06,2.15,4251.0,12.29,11.1,16.32,1.39,43.35,107.97,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.375,21.996666666666666,18.601999999999997
BDI,Burundi,2015,Q4,2015-Q4,10.42,6.03,0.844,23.75,-0.333,22.4,0,0,0,0,0,40.82,13.11,2.05,2.12,4182.0,12.01,10.96,15.98,1.35,41.76,107.41,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.20375,21.91333333333333,18.433999999999997
BDI,Burundi,2016,Q1,2016-Q1,10.98,6.22,0.879,24.3,-0.336,22.92,0,0,0,0,0,41.99,13.71,2.08,2.18,4263.0,12.38,11.21,16.5,1.42,43.92,108.11,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.47625,22.066666666666666,18.952
BDI,Burundi,2016,Q2,2016-Q2,10.02,5.9,0.816,23.49,-0.33,22.16,0,0,0,0,0,40.86,13.2,2.05,2.11,4103.0,11.72,10.84,15.65,1.29,40.01,106.76,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.033749999999998,21.853333333333335,18.404
BDI,Burundi,2016,Q3,2016-Q3,9.84,5.84,0.803,23.36,-0.329,22.03,0,0,0,0,0,40.88,13.25,2.04,2.11,4063.0,11.57,10.78,15.48,1.27,39.2,106.47,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.9525,21.816666666666663,18.382
