date,precipitation_mm,temperature_c,evapotranspiration_mm,antecedent_rain_7d_mm,soil_moisture_index,water_balance_mm,failure_warning_index,warning_level,context_soil_type,source_reference
2022-03-05,0.623,8.828,4.12,11.383,72.163,-3.498,19.434,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-06,3.169,9.516,5.432,11.502,71.396,-2.263,16.611,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-07,8.301,10.154,4.122,18.509,73.534,4.178,25.584,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-08,9.516,8.738,4.999,25.742,75.7,4.517,32.221,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-09,0.279,10.778,5.288,21.887,75.44,-5.009,26.346,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-10,5.938,11.054,5.681,27.826,75.996,0.258,31.682,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-11,9.15,8.9,5.568,36.975,78.979,3.581,34.533,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-12,16.759,8.732,3.867,53.111,83.962,12.891,52.742,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-13,6.416,12.61,4.873,56.358,86.066,1.543,55.19,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-14,3.401,8.85,4.247,51.458,85.333,-0.846,42.672,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-15,13.489,9.232,4.65,55.432,88.682,8.84,51.784,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-16,7.788,13.258,5.86,62.94,89.903,1.927,65.275,high,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-17,0.723,10.141,5.31,57.725,88.075,-4.586,55.056,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-18,9.007,10.36,4.995,57.582,90.043,4.012,51.075,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-19,3.391,12.193,4.753,44.215,89.308,-1.362,52.451,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-20,6.851,9.968,5.786,44.65,89.075,1.065,51.699,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-21,3.16,10.601,4.137,44.409,86.079,-0.977,36.436,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-22,0.0,10.682,4.559,30.92,82.805,-4.559,29.817,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-23,2.541,9.962,4.52,25.673,81.785,-1.979,37.035,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-24,4.883,10.844,5.327,29.833,81.555,-0.443,37.866,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-25,4.431,11.27,5.947,25.258,81.93,-1.516,27.323,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-26,9.352,11.155,5.72,31.219,85.377,3.632,38.023,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-27,0.31,8.586,4.516,24.678,84.295,-4.206,35.039,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-28,2.465,11.577,5.866,23.983,83.61,-3.401,25.978,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-29,7.831,16.614,7.54,31.814,83.505,0.291,34.146,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-30,0.0,9.769,6.232,29.273,82.334,-6.232,29.996,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-31,3.525,9.096,4.364,27.914,82.12,-0.839,39.631,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-01,0.0,10.024,4.823,23.483,79.093,-4.823,23.478,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-02,5.713,13.458,6.104,19.843,82.05,-0.391,28.599,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-03,7.743,13.163,5.55,27.276,83.401,2.193,42.554,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-04,0.0,11.556,6.287,24.811,82.032,-6.287,28.381,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-05,1.416,15.075,7.38,18.396,81.142,-5.965,31.984,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-06,5.241,14.024,6.801,23.637,80.464,-1.56,33.341,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-07,0.128,14.13,5.741,20.24,77.743,-5.612,24.12,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-08,2.157,17.901,8.274,22.398,74.903,-6.117,25.704,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-09,6.925,15.116,7.259,23.61,75.225,-0.334,28.146,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-10,7.043,15.243,6.857,22.91,74.918,0.186,27.872,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-11,3.417,14.68,7.991,26.327,74.413,-4.574,21.031,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-12,5.572,10.972,4.491,30.483,75.425,1.08,32.682,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-13,2.026,12.974,5.351,27.268,76.455,-3.324,26.993,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-14,3.778,16.064,8.163,30.918,75.98,-4.384,28.404,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-15,4.976,17.085,7.443,33.737,77.201,-2.468,38.907,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-16,1.979,14.027,7.305,28.791,73.459,-5.326,31.585,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-17,4.642,14.017,6.72,26.389,73.38,-2.079,28.262,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-18,0.0,18.405,8.13,22.973,70.979,-8.13,25.834,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-19,0.966,16.465,8.404,18.367,68.261,-7.438,16.174,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-20,12.289,12.721,6.61,28.63,69.879,5.679,27.962,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-21,30.201,13.825,5.991,55.052,82.738,24.209,48.491,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-22,0.228,16.008,7.16,50.305,80.308,-6.932,38.689,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-23,5.163,16.411,7.377,53.489,80.848,-2.214,50.948,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-24,0.25,15.213,6.426,49.097,77.9,-6.176,47.87,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-25,4.199,14.31,8.363,53.295,78.126,-4.164,46.371,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-26,0.099,14.197,5.22,52.429,76.725,-5.121,47.559,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-27,4.676,13.698,5.658,44.816,78.266,-0.982,43.491,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-28,1.606,16.326,9.357,16.221,74.541,-7.751,22.799,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-29,2.203,13.871,6.332,18.196,71.83,-4.129,16.911,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-04-30,5.917,14.501,6.737,18.95,72.592,-0.82,16.861,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-01,7.551,16.238,8.394,26.251,72.514,-0.844,24.203,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-02,12.523,15.513,6.446,34.575,76.421,6.077,30.448,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-03,0.483,19.304,8.496,34.958,73.94,-8.013,30.711,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-04,0.111,14.41,6.6,30.393,72.842,-6.489,31.514,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-05,8.314,18.69,9.632,37.101,73.76,-1.318,32.849,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-06,0.159,17.521,8.137,35.058,71.805,-7.978,29.534,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-07,5.755,19.487,8.796,34.895,72.414,-3.041,25.64,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-08,0.421,18.964,9.03,27.766,68.431,-8.608,24.798,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-09,0.889,14.969,7.313,16.132,64.39,-6.424,15.329,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-10,1.882,16.378,6.852,17.531,60.388,-4.971,17.245,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-11,3.441,16.57,7.901,20.861,59.387,-4.461,12.452,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-12,1.818,16.687,8.465,14.364,57.803,-6.648,10.505,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-13,3.527,19.718,9.059,17.732,56.169,-5.532,4.637,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-14,2.302,17.72,6.242,14.279,54.65,-3.94,18.883,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-15,0.0,18.444,10.232,13.858,51.389,-10.232,4.346,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-16,4.732,16.989,7.523,17.702,50.079,-2.79,6.813,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-17,0.778,18.219,8.107,16.598,48.829,-7.329,7.914,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-18,33.392,18.09,6.542,46.549,61.796,26.85,27.808,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-19,0.855,19.197,9.006,45.586,59.608,-8.151,34.646,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-20,5.188,16.255,8.271,47.247,60.493,-3.083,34.043,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-21,1.403,18.14,7.658,46.348,59.753,-6.255,39.539,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-22,5.717,16.324,8.47,52.065,59.209,-2.753,30.947,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-23,0.0,14.777,6.226,47.333,57.126,-6.226,23.647,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-24,8.699,15.789,8.081,55.254,58.572,0.619,36.722,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-25,0.0,18.075,8.336,21.863,56.169,-8.336,7.745,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-26,2.608,18.187,8.418,23.616,51.02,-5.81,4.619,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-27,2.905,17.26,8.374,21.333,50.228,-5.469,13.981,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-28,1.09,19.31,6.418,21.02,47.613,-5.328,8.77,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-29,0.0,16.115,5.077,15.303,45.416,-5.077,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-30,16.616,19.404,6.826,31.919,50.366,9.79,9.333,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-05-31,3.955,19.63,9.699,27.174,48.507,-5.744,21.025,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-01,4.317,18.261,9.685,31.491,46.933,-5.368,17.243,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-02,5.146,17.917,7.306,34.029,46.584,-2.16,10.768,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-03,6.179,23.697,11.647,37.303,44.994,-5.468,11.649,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-04,14.842,21.365,11.236,51.054,48.085,3.606,30.647,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-05,26.539,18.431,8.1,77.593,58.233,18.439,45.432,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-06,1.905,16.492,7.36,62.883,56.724,-5.455,44.685,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-07,1.236,19.095,7.662,60.164,53.947,-6.426,32.183,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-08,0.0,20.083,8.715,55.847,49.128,-8.715,21.927,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-09,13.421,16.816,7.506,64.121,51.748,5.915,41.545,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-10,0.0,18.734,8.272,57.942,50.153,-8.272,28.412,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-11,8.836,16.251,6.652,51.937,52.592,2.184,24.393,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-12,5.208,18.792,9.372,30.606,52.913,-4.164,13.106,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-13,0.214,17.293,7.626,28.915,51.313,-7.412,13.764,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-14,4.289,16.559,8.163,31.968,51.663,-3.875,15.446,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-15,4.563,19.365,8.787,36.531,52.71,-4.224,27.241,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-16,4.624,23.875,12.197,27.734,50.62,-7.574,13.927,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-17,2.263,16.328,7.231,29.997,49.304,-4.968,21.113,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-18,0.427,17.738,8.288,21.588,46.881,-7.861,11.128,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-19,3.488,20.153,8.483,19.867,45.527,-4.995,0.437,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-20,5.668,19.449,8.677,25.321,46.424,-3.01,3.491,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-21,3.781,19.34,9.596,24.813,44.275,-5.815,2.895,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-22,20.516,18.506,7.429,40.765,51.834,13.086,23.652,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-23,7.278,17.964,9.33,43.419,52.024,-2.052,17.509,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-24,2.358,19.229,7.785,43.515,48.987,-5.427,18.479,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-25,3.646,19.056,8.536,46.734,44.739,-4.89,20.793,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-26,1.107,14.661,6.656,44.353,44.274,-5.549,22.551,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-27,2.654,18.138,8.624,41.339,43.211,-5.97,16.442,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-28,3.087,18.517,8.19,40.645,41.749,-5.104,16.101,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-29,1.082,19.185,7.41,21.211,40.352,-6.328,0.059,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-06-30,0.0,17.693,7.414,13.934,36.938,-7.414,0.619,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-01,0.789,20.83,9.714,12.365,35.176,-8.925,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-02,8.206,21.304,8.696,16.925,35.601,-0.49,0.801,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-03,5.553,22.065,10.37,21.371,34.768,-4.817,3.18,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-04,0.238,18.762,8.227,18.955,30.512,-7.989,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-05,4.142,14.881,7.404,20.01,29.674,-3.262,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-06,2.915,16.691,8.465,21.843,28.427,-5.55,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-07,0.005,17.426,7.325,21.849,25.48,-7.32,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-08,0.033,14.624,6.697,21.093,23.627,-6.663,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-09,4.33,20.511,9.639,17.217,22.673,-5.309,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-10,3.162,15.996,7.778,14.826,19.367,-4.616,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-11,1.336,18.902,7.991,15.923,18.146,-6.656,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-12,0.514,16.966,7.251,12.295,15.358,-6.737,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-13,1.33,18.604,9.566,10.71,14.476,-8.236,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-14,1.668,18.466,7.56,12.373,12.597,-5.892,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-15,5.696,16.103,7.537,18.036,11.788,-1.841,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-16,3.871,20.238,8.354,17.577,9.709,-4.482,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-17,0.459,18.476,7.933,14.874,8.919,-7.474,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-18,1.484,16.744,7.796,15.022,5.323,-6.312,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-19,5.971,18.108,7.349,20.48,5.572,-1.379,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-20,1.169,16.298,7.219,20.318,5.0,-6.05,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-21,2.909,19.139,9.116,21.559,5.0,-6.208,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-22,1.374,16.994,7.965,17.237,5.0,-6.591,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-23,0.0,16.761,7.073,13.366,5.0,-7.073,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-24,0.417,19.428,9.824,13.324,5.0,-9.407,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-25,21.809,21.051,8.998,33.649,12.033,12.811,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-26,0.0,17.965,7.302,27.678,9.08,-7.302,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-27,3.237,16.73,8.978,29.745,8.106,-5.742,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-28,9.234,17.485,8.653,36.071,10.401,0.582,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-29,25.013,18.497,8.414,59.71,20.894,16.599,11.171,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-30,4.898,14.439,7.264,64.608,19.89,-2.366,15.44,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-07-31,1.521,18.564,8.841,65.712,16.888,-7.32,14.133,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-08-01,3.004,14.626,7.562,46.907,15.702,-4.558,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-08-02,2.651,18.477,7.862,49.558,14.832,-5.211,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-08-03,0.533,18.461,7.87,46.855,12.776,-7.336,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-08-04,6.741,15.624,7.053,44.361,13.974,-0.312,1.901,low,Clay,Newcastle University style weather context (synthetic reconstruction)
