record_id,structure_type,soil_type,cover_depth_m,diameter_or_width_m,wall_thickness_m,groundwater_state,surface_settlement_mm,lateral_deflection_mm,earth_pressure_kpa,pore_pressure_kpa,failure_mode,failure_label,source_reference
STR-00028,Basement wall,Sand,32.424,4.262,0.524,Saturated,16.573,12.59,763.157,210.149,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00029,Basement wall,Clay,29.581,8.132,0.305,Perched,40.996,27.876,629.307,168.811,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00030,Shaft lining,Sand,6.953,7.028,0.762,Perched,4.069,5.19,159.169,108.103,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00031,Tunnel,Sand,17.687,10.94,1.1,Saturated,6.722,9.016,433.567,179.347,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00032,Shaft lining,Clay,19.56,5.225,0.644,Saturated,15.015,11.459,507.072,177.16,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00033,Shaft lining,Sand,10.415,9.794,1.143,Dry,3.468,4.652,227.136,48.744,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00034,Basement wall,Sand,6.051,4.657,0.409,Dry,6.442,3.573,116.991,53.649,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00035,Tunnel,Sand,5.88,5.569,0.515,Dry,6.032,7.406,160.382,62.253,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00036,Shaft lining,Clay,10.081,10.433,1.107,Dry,6.653,5.735,227.168,46.683,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00037,Basement wall,Sand,27.472,11.036,0.951,Saturated,15.033,13.474,628.189,166.83,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00038,Shaft lining,Sand,34.798,8.201,1.022,Perched,8.103,5.6,744.878,160.616,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00039,Tunnel,Clay,18.263,13.305,0.779,Saturated,17.653,12.485,529.642,200.949,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00040,Shaft lining,Clay,22.052,11.162,0.684,Saturated,20.213,14.983,606.055,179.54,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00041,Tunnel,Clay,11.608,10.755,1.076,Saturated,9.93,10.49,307.919,164.344,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00042,Tunnel,Clay,19.323,5.373,0.612,Dry,11.643,11.004,363.218,89.853,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00043,Basement wall,Clay,7.093,8.285,0.304,Saturated,23.235,15.581,154.703,140.984,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00044,Basement wall,Sand,29.219,14.111,0.629,Dry,17.396,15.17,514.808,114.026,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00045,Tunnel,Clay,27.879,12.515,0.518,Saturated,28.576,22.007,713.305,201.084,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00046,Tunnel,Sand,18.574,8.189,0.619,Saturated,13.705,12.54,465.094,175.038,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00047,Shaft lining,Sand,33.319,12.434,0.546,Saturated,23.301,18.921,826.114,213.107,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00048,Tunnel,Clay,29.02,12.07,1.128,Saturated,8.94,7.302,769.001,202.621,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00049,Tunnel,Sand,33.508,14.071,0.339,Dry,28.929,23.599,621.694,103.021,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00050,Tunnel,Clay,13.806,14.344,0.812,Saturated,15.753,15.686,364.858,148.66,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00051,Tunnel,Sand,11.057,8.696,1.029,Perched,4.511,4.205,275.59,103.734,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00052,Shaft lining,Sand,31.817,7.552,0.381,Perched,24.861,18.836,650.442,156.772,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00053,Shaft lining,Clay-Sand Mix,24.242,9.51,1.157,Saturated,10.082,5.455,659.672,200.159,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00054,Basement wall,Sand,14.274,10.507,1.154,Perched,9.015,11.526,287.889,128.872,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00055,Tunnel,Sand,33.797,4.489,0.559,Dry,9.716,3.758,586.433,115.455,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00056,Basement wall,Clay-Sand Mix,33.218,4.704,1.012,Dry,11.332,8.109,630.258,133.46,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00057,Shaft lining,Clay,12.236,8.988,1.095,Perched,5.424,4.186,336.669,130.133,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00058,Basement wall,Clay,15.128,8.441,0.824,Perched,9.246,9.787,307.557,130.188,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00059,Tunnel,Clay,5.324,4.08,0.433,Dry,6.645,7.597,102.326,38.701,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00060,Shaft lining,Sand,5.865,14.929,0.503,Dry,16.352,15.229,89.608,52.498,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00061,Shaft lining,Sand,12.022,12.168,0.654,Saturated,11.682,10.46,262.895,163.667,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00062,Tunnel,Clay,6.205,7.32,1.179,Perched,7.337,7.074,121.822,101.214,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00063,Basement wall,Clay,9.198,7.542,0.953,Perched,5.638,4.56,230.899,118.907,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00064,Basement wall,Clay-Sand Mix,28.985,9.36,0.735,Dry,16.112,14.27,553.926,100.016,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00065,Tunnel,Clay,14.058,4.516,0.693,Perched,8.216,6.592,318.334,121.82,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00066,Shaft lining,Sand,13.902,8.165,0.662,Saturated,6.649,7.498,337.046,183.51,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00067,Shaft lining,Clay,16.981,13.722,0.776,Perched,7.078,8.08,343.297,143.609,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00068,Basement wall,Clay-Sand Mix,28.335,13.059,0.398,Perched,33.834,25.185,626.601,155.358,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00069,Basement wall,Clay,32.585,8.742,0.791,Saturated,17.509,17.3,852.62,185.377,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00070,Basement wall,Clay,17.853,10.972,0.631,Dry,10.505,9.453,406.966,80.779,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00071,Basement wall,Clay,5.84,5.674,0.724,Perched,5.985,6.699,136.816,94.207,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00072,Basement wall,Sand,8.058,10.347,0.353,Perched,20.744,19.919,150.795,103.986,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00073,Basement wall,Sand,32.693,13.371,0.445,Dry,24.983,20.882,598.753,105.523,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00074,Basement wall,Sand,14.038,10.875,0.815,Saturated,9.741,10.445,333.368,163.012,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00075,Tunnel,Sand,5.927,4.206,0.904,Saturated,6.234,5.613,148.3,132.742,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00076,Basement wall,Clay,26.218,12.703,1.094,Perched,11.381,12.83,584.602,157.006,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00077,Basement wall,Clay,14.641,4.969,0.477,Saturated,13.655,10.598,378.788,179.4,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00078,Tunnel,Clay,18.079,13.188,1.122,Saturated,12.204,11.93,483.701,158.475,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00079,Basement wall,Clay,7.783,12.493,0.694,Perched,9.797,10.905,199.887,103.033,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00080,Shaft lining,Clay-Sand Mix,24.216,6.962,1.02,Perched,2.773,6.408,552.516,149.096,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00081,Tunnel,Sand,15.263,7.507,0.411,Perched,15.242,12.984,345.492,129.295,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00082,Tunnel,Clay,6.563,11.841,0.679,Saturated,10.32,7.953,161.357,157.247,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00083,Tunnel,Sand,15.277,6.636,0.778,Dry,3.612,3.951,292.602,67.453,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00084,Tunnel,Clay,25.214,7.275,1.027,Perched,12.304,10.455,549.66,145.871,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00085,Basement wall,Clay,33.38,14.602,0.642,Perched,20.495,18.687,765.046,175.306,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00086,Shaft lining,Sand,22.107,14.501,0.486,Dry,14.754,12.392,426.43,79.916,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00087,Basement wall,Clay,25.248,14.267,0.381,Saturated,36.955,28.516,713.236,176.545,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00088,Shaft lining,Clay-Sand Mix,6.079,14.186,0.439,Saturated,19.359,16.978,155.982,143.443,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00089,Tunnel,Clay,4.871,5.638,1.187,Perched,7.084,7.589,78.534,118.679,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00090,Tunnel,Clay,12.09,11.567,0.994,Perched,9.024,12.265,212.639,118.969,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00091,Basement wall,Sand,22.283,13.792,0.894,Dry,8.404,8.778,423.857,87.358,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00092,Tunnel,Sand,13.656,10.91,1.198,Saturated,9.425,8.026,369.966,152.041,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00093,Shaft lining,Clay-Sand Mix,26.88,13.265,0.525,Dry,20.338,19.681,500.381,102.886,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00094,Tunnel,Clay,25.51,5.798,0.386,Perched,23.857,18.096,547.243,137.497,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00095,Shaft lining,Clay,25.508,5.383,0.915,Saturated,15.837,12.48,684.069,185.613,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00096,Shaft lining,Clay-Sand Mix,16.822,7.294,1.177,Saturated,6.886,6.317,467.556,181.274,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00097,Basement wall,Clay,18.4,13.563,0.523,Saturated,26.091,20.515,469.136,158.484,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00098,Shaft lining,Clay,29.084,9.593,0.953,Saturated,16.129,14.541,798.107,190.213,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00099,Basement wall,Sand,32.288,6.997,1.166,Dry,6.376,10.968,584.247,106.311,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00100,Tunnel,Clay-Sand Mix,29.087,14.3,0.987,Saturated,17.436,16.195,765.918,212.934,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00101,Shaft lining,Clay,15.265,7.472,0.916,Saturated,7.372,5.873,390.001,156.157,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00102,Tunnel,Sand,23.095,8.068,0.477,Perched,14.943,12.33,488.283,140.395,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00103,Tunnel,Sand,8.007,14.323,1.198,Dry,3.515,6.544,127.991,52.632,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00104,Basement wall,Sand,32.813,5.943,0.364,Saturated,27.618,18.392,791.915,218.606,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00105,Tunnel,Clay,9.556,6.606,0.443,Saturated,15.594,11.689,259.369,129.783,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00106,Tunnel,Clay,12.365,5.817,0.971,Saturated,10.619,9.172,332.347,148.173,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00107,Tunnel,Sand,33.182,4.561,0.667,Dry,13.569,13.502,614.735,120.511,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00108,Shaft lining,Sand,25.726,8.487,1.126,Perched,4.421,6.418,502.103,156.045,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00109,Basement wall,Clay,7.372,9.229,0.698,Dry,11.066,10.301,154.181,40.934,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00110,Basement wall,Sand,30.088,12.191,1.116,Dry,10.15,7.666,546.884,111.389,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00111,Shaft lining,Sand,34.335,6.67,0.904,Dry,7.318,6.776,584.683,127.813,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00112,Tunnel,Clay,18.309,14.057,0.775,Dry,18.617,17.11,369.325,77.658,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00113,Tunnel,Clay,26.229,12.522,0.81,Perched,17.527,15.061,593.985,152.791,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00114,Shaft lining,Clay,23.991,11.502,0.401,Dry,21.27,14.537,463.0,111.758,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00115,Basement wall,Clay,5.967,9.668,1.165,Dry,2.031,2.648,83.25,48.235,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00116,Basement wall,Clay,27.339,6.68,0.421,Perched,21.571,13.896,571.812,155.266,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00117,Basement wall,Sand,13.974,11.461,0.72,Saturated,16.103,14.703,372.893,159.007,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00118,Tunnel,Clay,34.383,10.675,0.391,Perched,38.88,27.434,738.03,165.38,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00119,Shaft lining,Sand,26.68,6.002,1.108,Dry,7.046,8.089,494.877,103.934,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00120,Basement wall,Clay,26.622,5.07,0.527,Saturated,23.99,17.596,669.015,195.877,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00121,Shaft lining,Sand,29.362,13.689,0.435,Saturated,30.708,25.791,727.932,197.507,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00122,Basement wall,Sand,21.505,5.27,1.187,Saturated,1.475,2.23,534.531,191.961,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00123,Basement wall,Clay,21.862,13.215,0.967,Saturated,17.884,15.036,597.302,164.803,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00124,Basement wall,Clay,18.037,8.204,1.084,Saturated,13.864,11.354,477.773,184.444,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00125,Tunnel,Sand,22.876,9.899,0.287,Perched,24.466,18.582,493.417,131.444,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00126,Tunnel,Sand,22.187,4.968,0.316,Saturated,27.141,19.358,546.235,179.856,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00127,Basement wall,Clay,32.501,5.584,0.634,Saturated,24.711,13.174,856.869,210.685,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00128,Shaft lining,Clay,11.617,11.273,1.091,Saturated,5.526,10.612,327.392,147.977,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00129,Shaft lining,Sand,25.696,8.901,0.673,Perched,11.634,11.894,522.844,154.874,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00130,Tunnel,Sand,19.603,6.723,1.006,Dry,7.608,3.421,369.972,75.65,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00131,Basement wall,Sand,33.345,14.157,1.047,Saturated,16.452,15.337,778.188,219.624,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00132,Shaft lining,Clay,17.39,12.459,0.31,Saturated,39.631,28.062,444.019,167.76,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00133,Basement wall,Clay,10.489,7.487,1.121,Dry,8.459,8.931,241.432,74.533,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00134,Shaft lining,Clay,11.454,5.11,0.295,Saturated,17.994,16.189,315.524,158.349,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00135,Shaft lining,Sand,31.954,6.176,0.78,Saturated,13.327,7.812,773.126,202.229,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00136,Shaft lining,Clay,29.532,9.565,0.853,Dry,13.045,11.713,606.953,104.774,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00137,Tunnel,Clay-Sand Mix,32.531,6.452,1.094,Perched,7.765,6.828,732.854,160.305,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00138,Tunnel,Clay,34.927,7.949,0.699,Perched,17.517,17.419,798.136,182.179,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00139,Shaft lining,Clay-Sand Mix,21.326,7.419,0.696,Saturated,14.328,14.108,572.562,194.377,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00140,Basement wall,Clay,25.042,11.129,0.31,Dry,35.343,26.995,479.542,87.989,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00141,Tunnel,Sand,25.769,11.704,0.352,Dry,22.913,17.215,475.409,94.308,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00142,Basement wall,Sand,25.515,12.05,0.507,Saturated,30.811,22.555,603.037,199.439,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00143,Shaft lining,Clay,32.109,7.974,0.597,Perched,18.722,13.253,742.967,168.935,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00144,Shaft lining,Sand,22.002,11.592,0.278,Dry,24.707,19.965,378.671,98.507,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00145,Shaft lining,Sand,16.462,12.972,0.26,Saturated,34.899,27.354,383.763,162.159,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00146,Shaft lining,Sand,33.285,4.608,0.606,Saturated,19.867,13.7,858.436,211.483,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00147,Shaft lining,Sand,33.691,13.811,0.422,Perched,29.865,22.803,648.138,153.323,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00148,Shaft lining,Sand,25.081,13.59,1.069,Perched,11.204,15.833,551.229,171.687,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00149,Tunnel,Sand,25.973,6.002,0.379,Perched,21.163,14.76,560.319,155.666,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00150,Shaft lining,Clay-Sand Mix,28.671,9.163,0.716,Saturated,15.471,12.486,756.789,206.413,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00151,Basement wall,Clay,15.052,11.415,0.992,Perched,10.999,11.049,344.004,153.064,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00152,Shaft lining,Clay,22.159,6.046,1.171,Perched,6.346,6.7,462.979,149.435,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00153,Basement wall,Sand,8.247,8.104,0.878,Perched,5.191,8.149,177.625,115.946,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00154,Basement wall,Sand,33.372,11.927,0.518,Dry,19.876,13.809,612.72,112.449,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00155,Shaft lining,Clay,7.963,9.161,0.993,Perched,4.647,8.135,159.681,98.796,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00156,Basement wall,Clay,33.477,11.56,0.625,Saturated,27.597,23.72,874.235,212.178,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00157,Basement wall,Clay,8.048,7.379,0.716,Dry,11.173,8.153,136.001,53.939,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00158,Basement wall,Clay,32.495,4.398,1.032,Saturated,12.646,9.07,849.151,194.824,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00159,Shaft lining,Clay,32.798,8.519,0.888,Saturated,18.159,13.374,844.87,213.708,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00160,Shaft lining,Clay,11.542,4.35,1.054,Saturated,4.262,5.675,328.158,145.713,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00161,Shaft lining,Clay,6.874,13.955,0.877,Saturated,8.099,7.185,230.489,154.726,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00162,Basement wall,Clay,33.16,4.066,0.978,Dry,6.437,7.121,683.761,108.312,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00163,Basement wall,Sand,13.138,4.942,0.592,Dry,2.825,4.786,245.908,71.733,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00164,Shaft lining,Clay,29.084,14.804,0.967,Saturated,19.38,20.417,764.032,206.167,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00165,Tunnel,Clay,26.952,9.93,0.253,Dry,37.768,28.36,563.476,115.186,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00166,Shaft lining,Clay,31.334,8.061,1.081,Perched,10.884,8.984,684.978,166.535,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00167,Tunnel,Clay,5.746,4.968,0.263,Perched,16.972,15.436,137.155,107.23,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00168,Tunnel,Clay,28.334,5.06,0.892,Dry,9.522,7.897,542.359,88.003,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00169,Basement wall,Sand,31.188,8.78,0.326,Saturated,33.555,20.524,750.022,207.847,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
