sim_id,soil_type,embedment_ratio_H_D,groundwater_condition,cohesion_kpa,friction_angle_deg,elastic_modulus_mpa,loading_rate_kpa_per_day,max_settlement_mm,max_lateral_displacement_mm,peak_pore_pressure_kpa,failure_mode,failed,source_reference
FEM-00013,Sand,0.8,Dry,3.933,37.451,30.957,74.147,95.232,67.212,117.582,Structural buckling,1,FEM parametric study (synthetic)
FEM-00014,Sand,0.8,Dry,5.994,32.519,65.581,8.615,33.918,28.441,107.461,Stable,0,FEM parametric study (synthetic)
FEM-00015,Sand,0.8,Dry,7.44,32.173,40.366,11.48,50.621,34.745,88.483,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00016,Sand,0.8,Dry,9.565,35.1,59.358,39.873,48.135,38.692,127.933,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00017,Sand,0.8,Dry,2.182,32.844,116.8,16.672,24.68,22.933,88.003,Stable,0,FEM parametric study (synthetic)
FEM-00018,Sand,0.8,Dry,6.316,34.458,21.201,32.834,100.615,71.434,122.607,Structural buckling,1,FEM parametric study (synthetic)
FEM-00019,Sand,0.8,Dry,2.862,41.906,107.072,70.24,29.416,21.698,143.553,Stable,0,FEM parametric study (synthetic)
FEM-00020,Sand,0.8,Dry,2.068,33.083,54.62,83.911,65.092,44.869,148.013,Structural buckling,1,FEM parametric study (synthetic)
FEM-00021,Sand,0.8,Dry,6.449,33.729,119.317,45.392,25.561,20.454,119.406,Stable,0,FEM parametric study (synthetic)
FEM-00022,Sand,0.8,Dry,7.777,38.791,78.001,50.979,39.361,31.529,142.272,Stable,0,FEM parametric study (synthetic)
FEM-00023,Sand,0.8,Dry,3.909,31.217,119.155,32.864,28.008,19.866,121.297,Stable,0,FEM parametric study (synthetic)
FEM-00024,Sand,0.8,Dry,2.663,39.095,40.116,59.406,69.187,48.744,138.742,Structural buckling,1,FEM parametric study (synthetic)
FEM-00025,Sand,0.8,Dry,5.301,32.937,77.534,73.878,43.907,26.604,143.596,Stable,0,FEM parametric study (synthetic)
FEM-00026,Sand,0.8,Dry,2.957,39.257,46.752,87.143,71.753,49.497,151.641,Structural buckling,1,FEM parametric study (synthetic)
FEM-00027,Sand,0.8,Dry,3.608,38.597,87.862,56.369,33.708,29.909,132.183,Stable,0,FEM parametric study (synthetic)
FEM-00028,Sand,0.8,Dry,4.563,41.546,33.628,32.489,70.474,51.448,127.866,Structural buckling,1,FEM parametric study (synthetic)
FEM-00029,Sand,0.8,Dry,4.193,32.151,98.288,18.97,25.477,18.928,100.545,Stable,0,FEM parametric study (synthetic)
FEM-00030,Sand,0.8,Dry,8.416,39.323,47.502,19.089,48.53,34.416,108.731,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00031,Sand,0.8,Dry,7.715,35.459,48.5,11.971,43.63,33.929,96.905,Stable,0,FEM parametric study (synthetic)
FEM-00032,Sand,0.8,Dry,5.488,40.49,118.731,80.5,30.137,27.761,133.399,Stable,0,FEM parametric study (synthetic)
FEM-00033,Sand,0.8,Dry,8.033,34.091,26.017,79.602,109.455,77.112,150.877,Structural buckling,1,FEM parametric study (synthetic)
FEM-00034,Sand,0.8,Dry,8.721,36.351,67.566,42.571,42.279,32.019,120.406,Stable,0,FEM parametric study (synthetic)
FEM-00035,Sand,0.8,Dry,5.278,34.354,91.166,48.32,33.793,24.238,111.655,Stable,0,FEM parametric study (synthetic)
FEM-00036,Sand,0.8,Saturated,9.519,38.457,81.201,23.067,43.313,33.43,189.136,Piping,1,FEM parametric study (synthetic)
FEM-00037,Sand,0.8,Saturated,7.606,37.804,51.563,30.782,71.86,53.029,207.614,Piping,1,FEM parametric study (synthetic)
FEM-00038,Sand,0.8,Saturated,2.644,31.443,108.444,73.48,43.433,27.338,252.964,Piping,1,FEM parametric study (synthetic)
FEM-00039,Sand,0.8,Saturated,3.057,31.714,43.231,65.126,90.384,64.46,225.524,Piping,1,FEM parametric study (synthetic)
FEM-00040,Sand,0.8,Saturated,4.229,36.372,76.803,30.181,45.444,30.016,220.988,Piping,1,FEM parametric study (synthetic)
FEM-00041,Sand,0.8,Saturated,3.948,36.688,38.275,87.663,114.383,86.149,237.955,Piping,1,FEM parametric study (synthetic)
FEM-00042,Sand,0.8,Saturated,2.337,32.653,85.212,52.497,47.775,34.656,215.445,Piping,1,FEM parametric study (synthetic)
FEM-00043,Sand,0.8,Saturated,1.361,40.627,63.996,23.894,53.325,39.509,207.766,Piping,1,FEM parametric study (synthetic)
FEM-00044,Sand,0.8,Saturated,6.034,39.439,49.376,69.561,87.626,67.99,236.876,Piping,1,FEM parametric study (synthetic)
FEM-00045,Sand,0.8,Saturated,2.336,35.146,83.873,40.921,46.806,37.776,225.461,Piping,1,FEM parametric study (synthetic)
FEM-00046,Sand,0.8,Saturated,3.004,32.657,110.139,42.53,35.973,23.946,215.765,Piping,1,FEM parametric study (synthetic)
FEM-00047,Sand,0.8,Saturated,9.58,33.07,111.343,29.599,29.712,18.188,207.482,Piping,1,FEM parametric study (synthetic)
FEM-00048,Sand,0.8,Saturated,2.28,31.115,73.248,32.898,54.106,38.84,213.85,Piping,1,FEM parametric study (synthetic)
FEM-00049,Sand,0.8,Saturated,5.927,33.321,103.115,57.641,42.941,28.942,236.982,Piping,1,FEM parametric study (synthetic)
FEM-00050,Sand,0.8,Saturated,2.894,36.004,119.216,51.562,37.667,24.505,230.404,Piping,1,FEM parametric study (synthetic)
FEM-00051,Sand,0.8,Saturated,2.69,37.843,84.719,47.858,47.972,33.663,233.833,Piping,1,FEM parametric study (synthetic)
FEM-00052,Sand,0.8,Saturated,9.211,39.145,25.744,84.447,152.413,110.947,238.214,Piping,1,FEM parametric study (synthetic)
FEM-00053,Sand,0.8,Saturated,6.472,36.485,26.559,8.545,99.974,70.598,193.983,Piping,1,FEM parametric study (synthetic)
FEM-00054,Sand,0.8,Saturated,3.737,37.293,43.417,63.032,91.402,67.145,230.453,Piping,1,FEM parametric study (synthetic)
FEM-00055,Sand,0.8,Saturated,9.213,37.221,26.055,18.578,110.561,78.966,197.55,Piping,1,FEM parametric study (synthetic)
FEM-00056,Sand,0.8,Saturated,7.688,38.551,42.649,16.113,70.663,49.709,192.61,Piping,1,FEM parametric study (synthetic)
FEM-00057,Sand,0.8,Saturated,7.192,33.821,117.087,52.332,38.865,30.196,226.931,Piping,1,FEM parametric study (synthetic)
FEM-00058,Sand,0.8,Saturated,6.432,31.601,80.441,44.369,52.294,37.559,219.809,Piping,1,FEM parametric study (synthetic)
FEM-00059,Sand,0.8,Saturated,7.506,41.851,74.706,87.78,67.284,52.252,246.22,Piping,1,FEM parametric study (synthetic)
FEM-00060,Sand,0.8,Saturated,5.623,41.9,72.352,83.117,67.607,52.08,237.95,Piping,1,FEM parametric study (synthetic)
FEM-00061,Sand,0.8,Saturated,5.991,39.488,42.607,13.779,74.615,54.013,201.265,Piping,1,FEM parametric study (synthetic)
FEM-00062,Sand,0.8,Saturated,3.612,36.504,72.603,84.693,66.09,48.443,249.876,Piping,1,FEM parametric study (synthetic)
FEM-00063,Sand,0.8,Saturated,9.032,41.968,65.864,62.285,66.25,48.596,245.883,Piping,1,FEM parametric study (synthetic)
FEM-00064,Sand,0.8,Saturated,2.514,35.059,116.779,53.136,36.676,30.511,246.811,Piping,1,FEM parametric study (synthetic)
FEM-00065,Sand,0.8,Saturated,9.025,39.327,110.438,57.886,37.035,25.743,224.049,Piping,1,FEM parametric study (synthetic)
FEM-00066,Sand,0.8,Saturated,6.292,40.86,65.61,85.063,73.699,46.858,241.996,Piping,1,FEM parametric study (synthetic)
FEM-00067,Sand,0.8,Saturated,6.655,35.48,31.767,11.432,90.772,71.229,195.236,Piping,1,FEM parametric study (synthetic)
FEM-00068,Sand,0.8,Saturated,4.818,40.881,66.461,9.898,49.394,34.054,189.852,Piping,1,FEM parametric study (synthetic)
FEM-00069,Sand,0.8,Saturated,5.134,36.545,69.944,82.757,69.748,49.726,254.509,Piping,1,FEM parametric study (synthetic)
FEM-00070,Sand,0.8,Saturated,5.661,34.427,35.942,40.931,97.523,67.416,202.841,Piping,1,FEM parametric study (synthetic)
FEM-00071,Sand,1.0,Dry,8.828,39.781,24.819,51.538,79.416,52.863,127.11,Structural buckling,1,FEM parametric study (synthetic)
FEM-00072,Sand,1.0,Dry,1.188,36.536,116.97,86.165,28.82,21.164,141.523,Stable,0,FEM parametric study (synthetic)
FEM-00073,Sand,1.0,Dry,5.438,37.927,86.332,28.485,23.764,17.94,116.112,Stable,0,FEM parametric study (synthetic)
FEM-00074,Sand,1.0,Dry,7.711,37.903,111.361,14.531,19.663,20.311,100.732,Stable,0,FEM parametric study (synthetic)
FEM-00075,Sand,1.0,Dry,5.854,40.899,77.594,16.943,25.286,18.32,96.898,Stable,0,FEM parametric study (synthetic)
FEM-00076,Sand,1.0,Dry,2.868,32.996,114.468,69.905,22.732,13.728,119.688,Stable,0,FEM parametric study (synthetic)
FEM-00077,Sand,1.0,Dry,7.511,34.383,30.41,25.677,62.411,46.861,109.676,Structural buckling,1,FEM parametric study (synthetic)
FEM-00078,Sand,1.0,Dry,8.719,34.098,60.204,68.112,41.923,33.133,133.035,Stable,0,FEM parametric study (synthetic)
FEM-00079,Sand,1.0,Dry,9.879,38.681,92.897,55.55,30.759,19.814,132.858,Stable,0,FEM parametric study (synthetic)
FEM-00080,Sand,1.0,Dry,4.435,32.991,79.983,30.193,24.66,19.716,112.221,Stable,0,FEM parametric study (synthetic)
FEM-00081,Sand,1.0,Dry,7.46,36.998,91.365,34.061,25.181,19.764,125.455,Stable,0,FEM parametric study (synthetic)
FEM-00082,Sand,1.0,Dry,7.077,34.992,86.939,49.822,26.259,20.54,119.014,Stable,0,FEM parametric study (synthetic)
FEM-00083,Sand,1.0,Dry,4.536,31.958,85.881,80.865,32.314,18.881,142.014,Stable,0,FEM parametric study (synthetic)
FEM-00084,Sand,1.0,Dry,3.84,32.203,105.039,19.516,19.894,16.085,96.602,Stable,0,FEM parametric study (synthetic)
FEM-00085,Sand,1.0,Dry,4.44,33.507,38.272,79.81,68.142,49.159,139.849,Structural buckling,1,FEM parametric study (synthetic)
FEM-00086,Sand,1.0,Dry,3.755,35.616,22.501,46.667,86.086,62.702,121.171,Structural buckling,1,FEM parametric study (synthetic)
FEM-00087,Sand,1.0,Dry,5.336,32.608,63.26,60.631,40.023,24.078,124.351,Stable,0,FEM parametric study (synthetic)
FEM-00088,Sand,1.0,Dry,4.669,40.877,75.094,5.918,24.825,21.479,83.63,Stable,0,FEM parametric study (synthetic)
FEM-00089,Sand,1.0,Dry,3.846,32.613,61.048,68.232,41.498,30.316,132.435,Stable,0,FEM parametric study (synthetic)
FEM-00090,Sand,1.0,Dry,3.607,35.896,29.451,84.998,79.13,59.235,144.925,Structural buckling,1,FEM parametric study (synthetic)
FEM-00091,Sand,1.0,Dry,3.998,37.423,29.894,87.139,79.167,57.476,144.975,Structural buckling,1,FEM parametric study (synthetic)
FEM-00092,Sand,1.0,Dry,5.735,39.983,84.592,50.558,28.183,19.246,123.773,Stable,0,FEM parametric study (synthetic)
FEM-00093,Sand,1.0,Dry,6.443,33.489,119.988,77.05,25.186,15.282,149.318,Stable,0,FEM parametric study (synthetic)
FEM-00094,Sand,1.0,Dry,6.85,35.668,78.587,64.807,30.126,24.081,137.405,Stable,0,FEM parametric study (synthetic)
FEM-00095,Sand,1.0,Dry,4.588,40.638,94.677,84.981,31.93,25.348,141.571,Stable,0,FEM parametric study (synthetic)
FEM-00096,Sand,1.0,Dry,6.545,36.588,70.591,67.212,35.72,30.947,138.28,Stable,0,FEM parametric study (synthetic)
FEM-00097,Sand,1.0,Dry,5.061,33.245,74.76,38.759,30.119,25.393,106.297,Stable,0,FEM parametric study (synthetic)
FEM-00098,Sand,1.0,Dry,2.444,35.318,106.889,51.669,23.104,10.931,127.86,Stable,0,FEM parametric study (synthetic)
FEM-00099,Sand,1.0,Dry,9.946,31.549,93.903,43.257,22.384,15.224,126.072,Stable,0,FEM parametric study (synthetic)
FEM-00100,Sand,1.0,Dry,5.332,40.784,67.723,37.355,34.089,25.499,110.882,Stable,0,FEM parametric study (synthetic)
FEM-00101,Sand,1.0,Dry,1.885,35.427,84.171,63.28,28.896,19.837,137.339,Stable,0,FEM parametric study (synthetic)
FEM-00102,Sand,1.0,Dry,9.537,41.071,45.363,17.607,41.066,25.85,88.377,Stable,0,FEM parametric study (synthetic)
FEM-00103,Sand,1.0,Dry,5.267,34.067,60.409,9.894,26.23,18.053,91.126,Stable,0,FEM parametric study (synthetic)
FEM-00104,Sand,1.0,Dry,8.588,40.086,80.37,52.373,30.445,23.433,121.29,Stable,0,FEM parametric study (synthetic)
FEM-00105,Sand,1.0,Dry,3.385,41.04,33.323,56.541,67.616,46.603,119.579,Structural buckling,1,FEM parametric study (synthetic)
FEM-00106,Sand,1.0,Saturated,2.325,33.851,110.164,33.681,25.029,20.212,212.025,Piping,1,FEM parametric study (synthetic)
FEM-00107,Sand,1.0,Saturated,6.784,40.235,26.064,20.42,86.031,58.788,189.15,Piping,1,FEM parametric study (synthetic)
FEM-00108,Sand,1.0,Saturated,5.616,41.906,103.771,28.81,30.425,26.432,198.455,Piping,1,FEM parametric study (synthetic)
FEM-00109,Sand,1.0,Saturated,5.358,33.251,68.719,6.493,35.718,17.687,173.072,Piping,1,FEM parametric study (synthetic)
FEM-00110,Sand,1.0,Saturated,1.208,38.361,97.749,13.814,27.412,19.27,186.671,Piping,1,FEM parametric study (synthetic)
FEM-00111,Sand,1.0,Saturated,1.765,33.556,82.528,47.204,38.85,25.122,219.997,Piping,1,FEM parametric study (synthetic)
FEM-00112,Sand,1.0,Saturated,6.695,39.269,92.732,23.498,28.909,20.947,203.672,Piping,1,FEM parametric study (synthetic)
FEM-00113,Sand,1.0,Saturated,4.574,40.043,66.868,54.436,46.852,38.272,217.794,Piping,1,FEM parametric study (synthetic)
FEM-00114,Sand,1.0,Saturated,3.775,41.292,83.78,28.413,32.588,23.605,206.88,Piping,1,FEM parametric study (synthetic)
FEM-00115,Sand,1.0,Saturated,5.191,39.136,61.469,63.854,57.647,42.705,216.596,Piping,1,FEM parametric study (synthetic)
FEM-00116,Sand,1.0,Saturated,8.826,33.64,82.452,68.939,45.551,35.273,219.785,Piping,1,FEM parametric study (synthetic)
FEM-00117,Sand,1.0,Saturated,8.356,36.616,31.753,79.657,102.322,71.21,234.604,Piping,1,FEM parametric study (synthetic)
FEM-00118,Sand,1.0,Saturated,4.288,38.939,25.067,35.272,96.96,69.692,197.737,Piping,1,FEM parametric study (synthetic)
FEM-00119,Sand,1.0,Saturated,5.912,32.116,72.614,74.045,51.744,41.435,218.255,Piping,1,FEM parametric study (synthetic)
FEM-00120,Sand,1.0,Saturated,5.024,33.314,100.891,65.81,34.445,20.933,222.009,Piping,1,FEM parametric study (synthetic)
FEM-00121,Sand,1.0,Saturated,4.068,41.429,32.672,76.83,102.765,75.384,233.099,Piping,1,FEM parametric study (synthetic)
FEM-00122,Sand,1.0,Saturated,4.698,37.297,86.994,55.324,35.19,27.293,214.075,Piping,1,FEM parametric study (synthetic)
FEM-00123,Sand,1.0,Saturated,4.124,39.763,59.489,83.794,63.439,45.113,244.253,Piping,1,FEM parametric study (synthetic)
FEM-00124,Sand,1.0,Saturated,1.473,34.948,106.994,52.615,31.021,22.158,229.706,Piping,1,FEM parametric study (synthetic)
FEM-00125,Sand,1.0,Saturated,3.71,33.375,100.161,89.871,39.26,29.874,237.383,Piping,1,FEM parametric study (synthetic)
FEM-00126,Sand,1.0,Saturated,9.155,31.079,34.953,12.834,67.115,50.953,182.975,Piping,1,FEM parametric study (synthetic)
FEM-00127,Sand,1.0,Saturated,5.641,33.455,20.029,23.807,105.767,71.707,186.187,Piping,1,FEM parametric study (synthetic)
FEM-00128,Sand,1.0,Saturated,2.454,39.783,114.644,84.636,37.42,27.511,261.116,Piping,1,FEM parametric study (synthetic)
FEM-00129,Sand,1.0,Saturated,3.403,40.917,96.812,52.845,34.689,25.819,211.133,Piping,1,FEM parametric study (synthetic)
FEM-00130,Sand,1.0,Saturated,2.521,32.938,30.266,64.116,99.444,68.347,220.464,Piping,1,FEM parametric study (synthetic)
FEM-00131,Sand,1.0,Saturated,7.153,31.494,112.122,24.72,26.36,23.556,209.163,Piping,1,FEM parametric study (synthetic)
FEM-00132,Sand,1.0,Saturated,9.433,35.727,51.01,16.083,52.481,36.133,193.478,Piping,1,FEM parametric study (synthetic)
FEM-00133,Sand,1.0,Saturated,2.406,31.313,41.301,29.172,62.303,43.324,204.684,Piping,1,FEM parametric study (synthetic)
FEM-00134,Sand,1.0,Saturated,1.368,31.877,44.288,62.434,71.815,51.869,239.043,Piping,1,FEM parametric study (synthetic)
FEM-00135,Sand,1.0,Saturated,6.275,33.321,85.269,28.121,33.998,34.104,194.892,Piping,1,FEM parametric study (synthetic)
FEM-00136,Sand,1.0,Saturated,9.379,32.303,79.462,80.741,47.764,35.221,221.019,Piping,1,FEM parametric study (synthetic)
FEM-00137,Sand,1.0,Saturated,7.362,32.852,58.168,37.646,49.469,38.83,199.909,Piping,1,FEM parametric study (synthetic)
FEM-00138,Sand,1.0,Saturated,5.773,31.564,82.968,43.556,35.834,24.077,205.021,Piping,1,FEM parametric study (synthetic)
FEM-00139,Sand,1.0,Saturated,5.62,40.207,48.379,26.311,54.127,39.136,198.513,Piping,1,FEM parametric study (synthetic)
FEM-00140,Sand,1.0,Saturated,6.164,32.739,60.391,72.299,61.352,41.13,223.783,Piping,1,FEM parametric study (synthetic)
FEM-00141,Sand,1.2,Dry,7.298,39.98,87.886,15.444,18.754,14.821,87.876,Stable,0,FEM parametric study (synthetic)
FEM-00142,Sand,1.2,Dry,7.403,33.622,24.874,32.524,61.421,44.422,111.699,Structural buckling,1,FEM parametric study (synthetic)
FEM-00143,Sand,1.2,Dry,1.259,41.722,90.196,28.174,19.785,18.349,101.055,Stable,0,FEM parametric study (synthetic)
FEM-00144,Sand,1.2,Dry,4.719,37.421,86.226,15.007,16.596,13.061,78.098,Stable,0,FEM parametric study (synthetic)
FEM-00145,Sand,1.2,Dry,6.484,39.035,65.485,87.001,38.352,28.355,139.069,Stable,0,FEM parametric study (synthetic)
FEM-00146,Sand,1.2,Dry,1.671,39.807,22.859,51.773,70.553,46.008,117.418,Structural buckling,1,FEM parametric study (synthetic)
FEM-00147,Sand,1.2,Dry,6.538,41.549,99.634,62.074,22.904,13.444,130.704,Stable,0,FEM parametric study (synthetic)
FEM-00148,Sand,1.2,Dry,2.44,33.266,76.36,80.421,35.028,21.819,136.851,Stable,0,FEM parametric study (synthetic)
FEM-00149,Sand,1.2,Dry,8.32,40.773,55.347,30.581,30.274,20.894,99.981,Stable,0,FEM parametric study (synthetic)
FEM-00150,Sand,1.2,Dry,6.411,33.972,98.007,48.418,24.535,14.292,118.88,Stable,0,FEM parametric study (synthetic)
FEM-00151,Sand,1.2,Dry,8.648,34.396,108.515,7.401,11.696,9.043,98.724,Stable,0,FEM parametric study (synthetic)
FEM-00152,Sand,1.2,Dry,8.949,38.332,101.397,40.584,16.567,9.731,105.96,Stable,0,FEM parametric study (synthetic)
FEM-00153,Sand,1.2,Dry,5.552,39.062,45.812,63.54,40.581,28.767,140.457,Stable,0,FEM parametric study (synthetic)
FEM-00154,Sand,1.2,Dry,2.032,40.497,34.602,35.614,46.679,33.072,86.204,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00155,Sand,1.2,Dry,6.105,39.356,109.679,25.12,17.738,13.556,97.841,Stable,0,FEM parametric study (synthetic)
FEM-00156,Sand,1.2,Dry,8.587,41.078,55.594,69.914,37.015,31.978,130.615,Stable,0,FEM parametric study (synthetic)
FEM-00157,Sand,1.2,Dry,8.164,32.122,71.336,77.393,33.243,20.556,134.835,Stable,0,FEM parametric study (synthetic)
FEM-00158,Sand,1.2,Dry,7.311,33.362,36.46,62.001,52.84,36.691,121.7,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00159,Sand,1.2,Dry,4.943,40.95,52.463,82.422,45.185,36.622,145.59,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00160,Sand,1.2,Dry,8.985,33.761,34.195,31.469,47.72,34.998,103.338,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00161,Sand,1.2,Dry,3.738,37.721,108.92,74.216,19.469,11.623,133.24,Stable,0,FEM parametric study (synthetic)
FEM-00162,Sand,1.2,Dry,4.869,38.69,37.913,57.804,49.734,33.067,123.143,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00163,Sand,1.2,Dry,8.389,38.531,110.757,49.859,15.127,8.183,110.261,Stable,0,FEM parametric study (synthetic)
FEM-00164,Sand,1.2,Dry,6.241,37.726,106.631,67.079,21.951,10.384,131.367,Stable,0,FEM parametric study (synthetic)
FEM-00165,Sand,1.2,Dry,4.37,41.691,28.425,18.957,49.485,32.964,93.349,Excessive settlement,1,FEM parametric study (synthetic)
FEM-00166,Sand,1.2,Dry,8.651,40.694,29.57,62.854,62.612,45.648,116.569,Structural buckling,1,FEM parametric study (synthetic)
FEM-00167,Sand,1.2,Dry,1.135,36.25,34.143,87.152,67.806,47.602,128.464,Structural buckling,1,FEM parametric study (synthetic)
FEM-00168,Sand,1.2,Dry,7.674,38.257,69.507,64.976,32.775,23.114,126.826,Stable,0,FEM parametric study (synthetic)
FEM-00169,Sand,1.2,Dry,2.172,31.483,88.687,15.225,19.047,14.943,88.221,Stable,0,FEM parametric study (synthetic)
FEM-00170,Sand,1.2,Dry,5.228,41.748,117.13,27.812,18.119,13.214,99.313,Stable,0,FEM parametric study (synthetic)
FEM-00171,Sand,1.2,Dry,6.882,31.028,52.676,10.11,31.085,25.627,89.605,Stable,0,FEM parametric study (synthetic)
FEM-00172,Sand,1.2,Dry,4.304,31.974,25.004,70.305,71.881,47.884,132.13,Structural buckling,1,FEM parametric study (synthetic)
FEM-00173,Sand,1.2,Dry,7.771,34.621,80.28,30.081,21.971,13.456,107.962,Stable,0,FEM parametric study (synthetic)
FEM-00174,Sand,1.2,Dry,2.846,31.242,83.508,85.012,30.505,19.382,139.737,Stable,0,FEM parametric study (synthetic)
FEM-00175,Sand,1.2,Dry,3.592,40.734,28.076,66.701,65.909,45.813,136.751,Structural buckling,1,FEM parametric study (synthetic)
FEM-00176,Sand,1.2,Saturated,9.651,40.476,100.564,44.778,25.784,14.971,201.396,Piping,1,FEM parametric study (synthetic)
FEM-00177,Sand,1.2,Saturated,5.679,37.09,76.846,51.921,36.858,29.226,209.095,Piping,1,FEM parametric study (synthetic)
FEM-00178,Sand,1.2,Saturated,7.605,34.723,85.541,43.504,30.169,23.3,193.396,Piping,1,FEM parametric study (synthetic)
FEM-00179,Sand,1.2,Saturated,9.419,36.292,107.942,22.344,20.075,12.886,198.085,Piping,1,FEM parametric study (synthetic)
FEM-00180,Sand,1.2,Saturated,7.736,32.354,43.887,68.98,65.786,45.199,231.817,Piping,1,FEM parametric study (synthetic)
FEM-00181,Sand,1.2,Saturated,5.095,37.74,30.844,21.403,63.677,47.973,198.113,Piping,1,FEM parametric study (synthetic)
FEM-00182,Sand,1.2,Saturated,9.59,36.557,114.954,61.917,23.681,15.531,220.637,Piping,1,FEM parametric study (synthetic)
FEM-00183,Sand,1.2,Saturated,5.973,35.74,66.386,50.817,39.714,31.607,222.437,Piping,1,FEM parametric study (synthetic)
FEM-00184,Sand,1.2,Saturated,4.494,41.684,83.321,68.733,36.326,27.693,210.969,Piping,1,FEM parametric study (synthetic)
FEM-00185,Sand,1.2,Saturated,5.672,41.288,105.097,75.004,28.042,12.292,231.662,Piping,1,FEM parametric study (synthetic)
FEM-00186,Sand,1.2,Saturated,6.523,38.132,111.669,14.486,16.16,10.953,192.504,Piping,1,FEM parametric study (synthetic)
FEM-00187,Sand,1.2,Saturated,2.84,32.318,50.372,74.178,59.197,41.241,221.252,Piping,1,FEM parametric study (synthetic)
FEM-00188,Sand,1.2,Saturated,5.642,35.21,52.315,12.029,39.375,30.188,194.556,Piping,1,FEM parametric study (synthetic)
FEM-00189,Sand,1.2,Saturated,1.515,31.867,41.761,89.764,73.272,53.577,237.672,Piping,1,FEM parametric study (synthetic)
FEM-00190,Sand,1.2,Saturated,8.186,32.298,25.556,80.607,106.845,73.339,234.451,Piping,1,FEM parametric study (synthetic)
FEM-00191,Sand,1.2,Saturated,4.378,40.768,66.994,20.24,33.437,18.858,200.434,Piping,1,FEM parametric study (synthetic)
FEM-00192,Sand,1.2,Saturated,6.217,41.551,29.412,22.233,67.806,53.203,189.225,Piping,1,FEM parametric study (synthetic)
FEM-00193,Sand,1.2,Saturated,4.587,34.853,70.982,23.839,29.219,23.203,186.652,Piping,1,FEM parametric study (synthetic)
FEM-00194,Sand,1.2,Saturated,4.309,32.275,24.795,72.225,98.192,66.593,233.621,Piping,1,FEM parametric study (synthetic)
FEM-00195,Sand,1.2,Saturated,6.803,31.757,67.136,50.56,37.493,28.251,198.569,Piping,1,FEM parametric study (synthetic)
FEM-00196,Sand,1.2,Saturated,8.994,32.808,79.048,9.634,28.176,17.891,168.201,Stable,0,FEM parametric study (synthetic)
FEM-00197,Sand,1.2,Saturated,4.08,37.012,83.677,69.003,37.978,28.929,218.966,Piping,1,FEM parametric study (synthetic)
FEM-00198,Sand,1.2,Saturated,4.955,36.88,112.959,9.422,16.045,10.206,169.509,Stable,0,FEM parametric study (synthetic)
FEM-00199,Sand,1.2,Saturated,1.381,36.395,23.435,20.925,76.503,51.559,186.607,Piping,1,FEM parametric study (synthetic)
FEM-00200,Sand,1.2,Saturated,7.067,35.983,117.616,34.669,23.553,19.389,199.652,Piping,1,FEM parametric study (synthetic)
FEM-00201,Sand,1.2,Saturated,7.821,41.549,111.067,37.615,24.988,24.081,212.624,Piping,1,FEM parametric study (synthetic)
FEM-00202,Sand,1.2,Saturated,1.932,39.359,37.678,40.979,68.558,46.417,210.586,Piping,1,FEM parametric study (synthetic)
