sample_id,soil_type,relative_density_pct,D10_mm,D50_mm,D90_mm,friction_angle_deg,dilation_angle_deg,undrained_shear_strength_cu_kpa,plasticity_index_PI,liquid_limit_pct,plastic_limit_pct,compression_index_Cc,swelling_index_Cs,youngs_modulus_mpa,poisson_ratio,source_reference
SAND-0019,Sandy soil (cohesionless),79.517,0.1347,0.4903,0.9155,38.678,5.85,,,,,,,81.479,0.2501,SoilModels / Mendeley style calibration set (synthetic)
SAND-0020,Sandy soil (cohesionless),71.578,0.2624,1.0368,1.9722,37.663,5.45,,,,,,,71.519,0.2728,SoilModels / Mendeley style calibration set (synthetic)
SAND-0021,Sandy soil (cohesionless),69.608,0.2331,0.8731,1.8142,36.217,8.215,,,,,,,69.655,0.2941,SoilModels / Mendeley style calibration set (synthetic)
SAND-0022,Sandy soil (cohesionless),61.74,0.0943,0.3809,0.8391,34.626,4.377,,,,,,,68.436,0.2756,SoilModels / Mendeley style calibration set (synthetic)
SAND-0023,Sandy soil (cohesionless),76.791,0.1435,0.629,1.4065,37.552,3.994,,,,,,,78.849,0.38,SoilModels / Mendeley style calibration set (synthetic)
SAND-0024,Sandy soil (cohesionless),79.052,0.1987,0.5771,1.6442,39.334,6.26,,,,,,,82.77,0.3184,SoilModels / Mendeley style calibration set (synthetic)
SAND-0025,Sandy soil (cohesionless),62.67,0.2902,1.268,2.7924,34.275,2.702,,,,,,,68.194,0.2827,SoilModels / Mendeley style calibration set (synthetic)
SAND-0026,Sandy soil (cohesionless),81.324,0.3118,0.7949,2.2757,37.968,6.526,,,,,,,78.235,0.3014,SoilModels / Mendeley style calibration set (synthetic)
SAND-0027,Sandy soil (cohesionless),80.189,0.1718,0.721,1.4499,39.797,5.713,,,,,,,89.477,0.2581,SoilModels / Mendeley style calibration set (synthetic)
SAND-0028,Sandy soil (cohesionless),60.932,0.2399,0.8226,2.0182,36.647,1.981,,,,,,,63.057,0.2593,SoilModels / Mendeley style calibration set (synthetic)
SAND-0029,Sandy soil (cohesionless),59.254,0.2238,0.7882,1.8923,34.494,3.898,,,,,,,62.816,0.3539,SoilModels / Mendeley style calibration set (synthetic)
SAND-0030,Sandy soil (cohesionless),39.505,0.2907,0.7044,1.821,32.017,0.538,,,,,,,47.972,0.307,SoilModels / Mendeley style calibration set (synthetic)
SAND-0031,Sandy soil (cohesionless),83.128,0.2124,0.474,1.3667,39.523,7.359,,,,,,,87.913,0.2664,SoilModels / Mendeley style calibration set (synthetic)
SAND-0032,Sandy soil (cohesionless),47.777,0.097,0.272,0.5226,35.878,3.516,,,,,,,54.133,0.3411,SoilModels / Mendeley style calibration set (synthetic)
SAND-0033,Sandy soil (cohesionless),83.507,0.1559,0.3472,0.8298,38.563,6.98,,,,,,,84.79,0.3183,SoilModels / Mendeley style calibration set (synthetic)
SAND-0034,Sandy soil (cohesionless),76.921,0.2845,0.7154,1.7099,38.734,7.179,,,,,,,71.579,0.2648,SoilModels / Mendeley style calibration set (synthetic)
SAND-0035,Sandy soil (cohesionless),46.698,0.1567,0.5429,1.6242,35.747,3.787,,,,,,,52.264,0.2914,SoilModels / Mendeley style calibration set (synthetic)
SAND-0036,Sandy soil (cohesionless),81.913,0.1825,0.5638,1.1638,37.6,7.477,,,,,,,88.836,0.3273,SoilModels / Mendeley style calibration set (synthetic)
SAND-0037,Sandy soil (cohesionless),36.895,0.2742,1.0153,2.5685,32.796,1.561,,,,,,,45.816,0.2762,SoilModels / Mendeley style calibration set (synthetic)
SAND-0038,Sandy soil (cohesionless),83.024,0.3127,1.3549,2.6949,39.954,5.931,,,,,,,87.493,0.3071,SoilModels / Mendeley style calibration set (synthetic)
SAND-0039,Sandy soil (cohesionless),37.18,0.1831,0.4323,0.8424,35.875,2.439,,,,,,,42.493,0.2771,SoilModels / Mendeley style calibration set (synthetic)
SAND-0040,Sandy soil (cohesionless),90.83,0.2833,0.9317,1.6614,40.322,8.199,,,,,,,86.994,0.2616,SoilModels / Mendeley style calibration set (synthetic)
SAND-0041,Sandy soil (cohesionless),72.754,0.2553,0.6803,1.8247,39.199,5.104,,,,,,,80.852,0.2992,SoilModels / Mendeley style calibration set (synthetic)
SAND-0042,Sandy soil (cohesionless),46.875,0.2812,1.0206,2.706,34.184,0.44,,,,,,,51.198,0.2493,SoilModels / Mendeley style calibration set (synthetic)
SAND-0043,Sandy soil (cohesionless),94.172,0.1869,0.6203,1.085,40.858,7.227,,,,,,,93.617,0.2981,SoilModels / Mendeley style calibration set (synthetic)
SAND-0044,Sandy soil (cohesionless),85.843,0.2636,0.8104,1.4055,40.134,6.619,,,,,,,83.497,0.2622,SoilModels / Mendeley style calibration set (synthetic)
SAND-0045,Sandy soil (cohesionless),60.701,0.2566,1.1217,2.3413,36.722,4.191,,,,,,,66.142,0.2808,SoilModels / Mendeley style calibration set (synthetic)
SAND-0046,Sandy soil (cohesionless),56.23,0.1878,0.5788,1.0186,35.652,4.498,,,,,,,51.414,0.3366,SoilModels / Mendeley style calibration set (synthetic)
SAND-0047,Sandy soil (cohesionless),40.106,0.2819,0.9764,2.1272,33.978,1.367,,,,,,,47.303,0.293,SoilModels / Mendeley style calibration set (synthetic)
SAND-0048,Sandy soil (cohesionless),80.729,0.1964,0.4446,0.7642,39.019,6.106,,,,,,,80.155,0.2892,SoilModels / Mendeley style calibration set (synthetic)
SAND-0049,Sandy soil (cohesionless),73.53,0.1664,0.675,1.297,36.722,5.685,,,,,,,71.153,0.3112,SoilModels / Mendeley style calibration set (synthetic)
SAND-0050,Sandy soil (cohesionless),80.858,0.1365,0.3279,0.965,38.393,5.634,,,,,,,82.734,0.2648,SoilModels / Mendeley style calibration set (synthetic)
SAND-0051,Sandy soil (cohesionless),85.564,0.1398,0.4779,0.8127,39.012,7.059,,,,,,,81.512,0.2858,SoilModels / Mendeley style calibration set (synthetic)
SAND-0052,Sandy soil (cohesionless),73.485,0.0833,0.2702,0.7488,36.187,5.504,,,,,,,79.846,0.2764,SoilModels / Mendeley style calibration set (synthetic)
SAND-0053,Sandy soil (cohesionless),64.124,0.1072,0.4162,0.8946,38.173,5.373,,,,,,,68.152,0.2776,SoilModels / Mendeley style calibration set (synthetic)
SAND-0054,Sandy soil (cohesionless),62.582,0.1564,0.447,0.9169,36.31,5.898,,,,,,,68.439,0.2443,SoilModels / Mendeley style calibration set (synthetic)
SAND-0055,Sandy soil (cohesionless),55.019,0.0973,0.41,0.7171,35.622,4.126,,,,,,,62.563,0.2918,SoilModels / Mendeley style calibration set (synthetic)
SAND-0056,Sandy soil (cohesionless),65.668,0.2659,1.0166,1.8174,35.681,4.873,,,,,,,70.025,0.3149,SoilModels / Mendeley style calibration set (synthetic)
SAND-0057,Sandy soil (cohesionless),43.253,0.2702,0.8789,2.5088,36.512,0.47,,,,,,,46.222,0.3181,SoilModels / Mendeley style calibration set (synthetic)
SAND-0058,Sandy soil (cohesionless),64.885,0.266,1.0962,3.0583,37.715,4.545,,,,,,,68.498,0.3121,SoilModels / Mendeley style calibration set (synthetic)
SAND-0059,Sandy soil (cohesionless),38.539,0.1436,0.552,0.9786,33.854,0.0,,,,,,,42.837,0.2482,SoilModels / Mendeley style calibration set (synthetic)
SAND-0060,Sandy soil (cohesionless),68.503,0.2627,0.6738,1.4964,37.451,4.942,,,,,,,69.48,0.2074,SoilModels / Mendeley style calibration set (synthetic)
SAND-0061,Sandy soil (cohesionless),94.006,0.2151,0.7881,2.0487,42.125,9.586,,,,,,,88.933,0.3085,SoilModels / Mendeley style calibration set (synthetic)
SAND-0062,Sandy soil (cohesionless),43.28,0.1836,0.4731,1.1274,35.103,0.372,,,,,,,48.837,0.2838,SoilModels / Mendeley style calibration set (synthetic)
SAND-0063,Sandy soil (cohesionless),94.635,0.2345,0.7862,2.3422,40.106,9.135,,,,,,,92.245,0.2839,SoilModels / Mendeley style calibration set (synthetic)
SAND-0064,Sandy soil (cohesionless),71.443,0.2322,0.7239,1.4342,38.775,5.882,,,,,,,69.076,0.3167,SoilModels / Mendeley style calibration set (synthetic)
SAND-0065,Sandy soil (cohesionless),80.163,0.1001,0.3516,0.8271,38.108,7.596,,,,,,,82.944,0.2328,SoilModels / Mendeley style calibration set (synthetic)
SAND-0066,Sandy soil (cohesionless),47.859,0.2623,1.0083,2.6495,34.627,2.181,,,,,,,59.437,0.2889,SoilModels / Mendeley style calibration set (synthetic)
SAND-0067,Sandy soil (cohesionless),84.801,0.204,0.66,1.8987,37.426,5.41,,,,,,,89.724,0.35,SoilModels / Mendeley style calibration set (synthetic)
SAND-0068,Sandy soil (cohesionless),77.264,0.1304,0.5392,0.9675,39.536,4.967,,,,,,,76.385,0.315,SoilModels / Mendeley style calibration set (synthetic)
SAND-0069,Sandy soil (cohesionless),35.311,0.1001,0.2672,0.6922,32.629,0.304,,,,,,,39.34,0.3171,SoilModels / Mendeley style calibration set (synthetic)
SAND-0070,Sandy soil (cohesionless),69.329,0.2982,1.1956,2.666,37.406,4.924,,,,,,,71.823,0.3257,SoilModels / Mendeley style calibration set (synthetic)
SAND-0071,Sandy soil (cohesionless),73.266,0.1362,0.4048,1.1598,36.983,4.953,,,,,,,72.964,0.2442,SoilModels / Mendeley style calibration set (synthetic)
SAND-0072,Sandy soil (cohesionless),74.982,0.161,0.3934,0.944,37.752,6.134,,,,,,,73.276,0.2618,SoilModels / Mendeley style calibration set (synthetic)
SAND-0073,Sandy soil (cohesionless),43.683,0.0983,0.3064,0.8248,33.224,1.577,,,,,,,44.928,0.3145,SoilModels / Mendeley style calibration set (synthetic)
SAND-0074,Sandy soil (cohesionless),93.119,0.1272,0.5307,1.1872,39.693,7.736,,,,,,,100.842,0.2633,SoilModels / Mendeley style calibration set (synthetic)
SAND-0075,Sandy soil (cohesionless),92.743,0.1348,0.5653,1.6378,39.825,8.599,,,,,,,89.832,0.2719,SoilModels / Mendeley style calibration set (synthetic)
SAND-0076,Sandy soil (cohesionless),82.687,0.1026,0.3123,0.806,37.538,6.265,,,,,,,87.995,0.2702,SoilModels / Mendeley style calibration set (synthetic)
SAND-0077,Sandy soil (cohesionless),89.404,0.1274,0.5548,1.0564,39.38,7.947,,,,,,,90.072,0.2675,SoilModels / Mendeley style calibration set (synthetic)
SAND-0078,Sandy soil (cohesionless),48.076,0.097,0.3581,0.9584,35.525,1.204,,,,,,,45.847,0.3207,SoilModels / Mendeley style calibration set (synthetic)
SAND-0079,Sandy soil (cohesionless),75.202,0.2256,0.8283,2.3247,38.409,4.049,,,,,,,71.296,0.3192,SoilModels / Mendeley style calibration set (synthetic)
SAND-0080,Sandy soil (cohesionless),57.597,0.1615,0.6862,1.989,35.407,3.427,,,,,,,54.84,0.291,SoilModels / Mendeley style calibration set (synthetic)
SAND-0081,Sandy soil (cohesionless),41.797,0.0825,0.195,0.4283,34.28,1.419,,,,,,,47.46,0.264,SoilModels / Mendeley style calibration set (synthetic)
SAND-0082,Sandy soil (cohesionless),91.602,0.3009,1.292,3.8147,39.994,7.352,,,,,,,90.255,0.2657,SoilModels / Mendeley style calibration set (synthetic)
SAND-0083,Sandy soil (cohesionless),84.401,0.2,0.53,1.1691,37.337,5.802,,,,,,,86.819,0.2976,SoilModels / Mendeley style calibration set (synthetic)
SAND-0084,Sandy soil (cohesionless),38.097,0.2208,0.5579,1.301,35.514,0.111,,,,,,,37.206,0.2653,SoilModels / Mendeley style calibration set (synthetic)
SAND-0085,Sandy soil (cohesionless),45.608,0.0957,0.2774,0.7955,36.022,1.979,,,,,,,46.56,0.3107,SoilModels / Mendeley style calibration set (synthetic)
SAND-0086,Sandy soil (cohesionless),36.039,0.2995,1.2151,3.3753,35.406,1.296,,,,,,,44.964,0.294,SoilModels / Mendeley style calibration set (synthetic)
SAND-0087,Sandy soil (cohesionless),48.87,0.2109,0.6304,1.5286,34.516,2.74,,,,,,,49.117,0.2619,SoilModels / Mendeley style calibration set (synthetic)
SAND-0088,Sandy soil (cohesionless),60.525,0.1213,0.3655,0.9839,37.32,4.89,,,,,,,60.744,0.3274,SoilModels / Mendeley style calibration set (synthetic)
SAND-0089,Sandy soil (cohesionless),54.685,0.1652,0.4158,0.9169,34.071,3.282,,,,,,,63.45,0.2806,SoilModels / Mendeley style calibration set (synthetic)
SAND-0090,Sandy soil (cohesionless),61.325,0.2026,0.591,1.1376,35.831,4.645,,,,,,,55.36,0.2468,SoilModels / Mendeley style calibration set (synthetic)
SAND-0091,Sandy soil (cohesionless),62.941,0.1613,0.4072,1.0773,37.224,4.185,,,,,,,69.645,0.3158,SoilModels / Mendeley style calibration set (synthetic)
SAND-0092,Sandy soil (cohesionless),82.575,0.2418,0.5943,1.6125,38.151,6.821,,,,,,,80.579,0.3053,SoilModels / Mendeley style calibration set (synthetic)
SAND-0093,Sandy soil (cohesionless),62.083,0.2269,0.5493,1.3238,36.368,3.319,,,,,,,65.742,0.2721,SoilModels / Mendeley style calibration set (synthetic)
SAND-0094,Sandy soil (cohesionless),61.157,0.1724,0.6226,1.4507,35.053,4.761,,,,,,,63.368,0.2897,SoilModels / Mendeley style calibration set (synthetic)
SAND-0095,Sandy soil (cohesionless),40.987,0.1014,0.3698,0.8046,34.416,1.04,,,,,,,46.604,0.3457,SoilModels / Mendeley style calibration set (synthetic)
SAND-0096,Sandy soil (cohesionless),47.366,0.1869,0.8162,1.7442,33.222,2.065,,,,,,,50.639,0.3173,SoilModels / Mendeley style calibration set (synthetic)
SAND-0097,Sandy soil (cohesionless),64.34,0.2643,0.7941,2.1693,36.591,3.222,,,,,,,69.658,0.329,SoilModels / Mendeley style calibration set (synthetic)
SAND-0098,Sandy soil (cohesionless),73.135,0.1756,0.5437,1.1264,37.889,4.305,,,,,,,76.093,0.3101,SoilModels / Mendeley style calibration set (synthetic)
SAND-0099,Sandy soil (cohesionless),49.023,0.1869,0.6625,1.1435,35.097,4.112,,,,,,,56.536,0.3083,SoilModels / Mendeley style calibration set (synthetic)
SAND-0100,Sandy soil (cohesionless),74.303,0.1056,0.3887,1.1571,37.174,5.059,,,,,,,78.393,0.2497,SoilModels / Mendeley style calibration set (synthetic)
SAND-0101,Sandy soil (cohesionless),57.913,0.1028,0.4177,0.8694,35.68,3.103,,,,,,,64.32,0.3025,SoilModels / Mendeley style calibration set (synthetic)
SAND-0102,Sandy soil (cohesionless),86.834,0.1384,0.3295,0.8034,40.036,7.443,,,,,,,90.611,0.2872,SoilModels / Mendeley style calibration set (synthetic)
SAND-0103,Sandy soil (cohesionless),69.459,0.2582,0.9782,2.2189,37.87,4.383,,,,,,,69.019,0.271,SoilModels / Mendeley style calibration set (synthetic)
SAND-0104,Sandy soil (cohesionless),58.903,0.1778,0.6129,1.1255,34.774,3.596,,,,,,,64.312,0.3031,SoilModels / Mendeley style calibration set (synthetic)
SAND-0105,Sandy soil (cohesionless),84.915,0.2658,1.1267,2.9291,40.244,8.02,,,,,,,85.073,0.3027,SoilModels / Mendeley style calibration set (synthetic)
SAND-0106,Sandy soil (cohesionless),47.2,0.1675,0.5817,1.6583,33.773,1.769,,,,,,,55.82,0.2691,SoilModels / Mendeley style calibration set (synthetic)
SAND-0107,Sandy soil (cohesionless),35.815,0.1653,0.5983,1.2855,33.426,0.0,,,,,,,35.603,0.3453,SoilModels / Mendeley style calibration set (synthetic)
SAND-0108,Sandy soil (cohesionless),73.377,0.2111,0.6459,1.7185,38.056,6.376,,,,,,,69.625,0.319,SoilModels / Mendeley style calibration set (synthetic)
SAND-0109,Sandy soil (cohesionless),79.407,0.196,0.7786,1.4292,38.518,5.347,,,,,,,81.467,0.3627,SoilModels / Mendeley style calibration set (synthetic)
SAND-0110,Sandy soil (cohesionless),65.276,0.2396,0.7721,1.9178,37.076,3.764,,,,,,,62.32,0.2848,SoilModels / Mendeley style calibration set (synthetic)
SAND-0111,Sandy soil (cohesionless),59.837,0.2152,0.5919,1.4339,38.676,4.101,,,,,,,65.813,0.2999,SoilModels / Mendeley style calibration set (synthetic)
SAND-0112,Sandy soil (cohesionless),80.445,0.2949,1.1586,3.4661,40.103,5.832,,,,,,,78.735,0.2746,SoilModels / Mendeley style calibration set (synthetic)
SAND-0113,Sandy soil (cohesionless),68.233,0.2161,0.6568,1.3649,34.988,6.131,,,,,,,74.171,0.2447,SoilModels / Mendeley style calibration set (synthetic)
SAND-0114,Sandy soil (cohesionless),60.602,0.2852,1.1303,2.5087,36.54,3.081,,,,,,,64.306,0.3022,SoilModels / Mendeley style calibration set (synthetic)
SAND-0115,Sandy soil (cohesionless),86.382,0.1471,0.5138,1.0903,38.617,7.722,,,,,,,91.445,0.3351,SoilModels / Mendeley style calibration set (synthetic)
SAND-0116,Sandy soil (cohesionless),45.789,0.1624,0.5951,1.675,33.054,1.4,,,,,,,57.622,0.2394,SoilModels / Mendeley style calibration set (synthetic)
SAND-0117,Sandy soil (cohesionless),60.604,0.1946,0.6182,1.6782,36.859,4.817,,,,,,,62.187,0.3402,SoilModels / Mendeley style calibration set (synthetic)
SAND-0118,Sandy soil (cohesionless),47.971,0.1494,0.638,1.6138,36.847,1.332,,,,,,,48.255,0.3127,SoilModels / Mendeley style calibration set (synthetic)
SAND-0119,Sandy soil (cohesionless),88.743,0.243,0.5423,0.9263,38.869,8.189,,,,,,,92.089,0.2722,SoilModels / Mendeley style calibration set (synthetic)
SAND-0120,Sandy soil (cohesionless),77.948,0.202,0.5366,1.6093,38.122,5.437,,,,,,,79.837,0.2884,SoilModels / Mendeley style calibration set (synthetic)
SAND-0121,Sandy soil (cohesionless),71.863,0.134,0.5531,1.3506,36.404,5.056,,,,,,,74.315,0.2444,SoilModels / Mendeley style calibration set (synthetic)
SAND-0122,Sandy soil (cohesionless),82.808,0.1487,0.4929,1.283,39.846,6.182,,,,,,,85.57,0.2928,SoilModels / Mendeley style calibration set (synthetic)
SAND-0123,Sandy soil (cohesionless),48.514,0.1645,0.714,1.5622,33.839,2.544,,,,,,,48.23,0.243,SoilModels / Mendeley style calibration set (synthetic)
SAND-0124,Sandy soil (cohesionless),54.753,0.1424,0.6134,1.3545,36.055,3.661,,,,,,,53.782,0.3251,SoilModels / Mendeley style calibration set (synthetic)
SAND-0125,Sandy soil (cohesionless),56.835,0.2564,0.7374,2.1216,34.727,2.7,,,,,,,56.994,0.2752,SoilModels / Mendeley style calibration set (synthetic)
SAND-0126,Sandy soil (cohesionless),42.374,0.2578,0.6156,1.5286,33.983,2.551,,,,,,,41.852,0.2854,SoilModels / Mendeley style calibration set (synthetic)
SAND-0127,Sandy soil (cohesionless),80.187,0.2393,0.8925,1.6801,37.932,7.224,,,,,,,82.422,0.306,SoilModels / Mendeley style calibration set (synthetic)
SAND-0128,Sandy soil (cohesionless),42.85,0.2721,0.8768,2.1467,33.189,1.68,,,,,,,54.246,0.3063,SoilModels / Mendeley style calibration set (synthetic)
SAND-0129,Sandy soil (cohesionless),37.724,0.1358,0.3154,0.9247,32.496,0.097,,,,,,,40.839,0.3097,SoilModels / Mendeley style calibration set (synthetic)
SAND-0130,Sandy soil (cohesionless),81.23,0.2979,1.0169,2.4381,41.125,7.862,,,,,,,79.312,0.2071,SoilModels / Mendeley style calibration set (synthetic)
SAND-0131,Sandy soil (cohesionless),52.785,0.1354,0.3657,0.7259,38.416,2.527,,,,,,,51.907,0.279,SoilModels / Mendeley style calibration set (synthetic)
SAND-0132,Sandy soil (cohesionless),68.897,0.1759,0.3972,0.965,36.511,5.923,,,,,,,72.971,0.2453,SoilModels / Mendeley style calibration set (synthetic)
SAND-0133,Sandy soil (cohesionless),58.669,0.2892,0.8966,2.4441,34.968,1.955,,,,,,,63.614,0.2714,SoilModels / Mendeley style calibration set (synthetic)
SAND-0134,Sandy soil (cohesionless),89.669,0.2538,0.6837,1.9484,40.044,9.459,,,,,,,82.958,0.2936,SoilModels / Mendeley style calibration set (synthetic)
SAND-0135,Sandy soil (cohesionless),38.526,0.215,0.7124,1.2529,33.948,0.536,,,,,,,43.286,0.2287,SoilModels / Mendeley style calibration set (synthetic)
SAND-0136,Sandy soil (cohesionless),90.587,0.1266,0.4531,1.2179,41.349,6.771,,,,,,,88.221,0.2977,SoilModels / Mendeley style calibration set (synthetic)
SAND-0137,Sandy soil (cohesionless),90.209,0.3084,1.2852,3.2164,40.876,7.236,,,,,,,82.664,0.242,SoilModels / Mendeley style calibration set (synthetic)
SAND-0138,Sandy soil (cohesionless),54.964,0.1102,0.2811,0.6523,34.846,3.499,,,,,,,57.095,0.2981,SoilModels / Mendeley style calibration set (synthetic)
SAND-0139,Sandy soil (cohesionless),64.784,0.1413,0.3215,0.9123,35.302,6.285,,,,,,,65.706,0.2521,SoilModels / Mendeley style calibration set (synthetic)
SAND-0140,Sandy soil (cohesionless),38.796,0.2159,0.5803,1.1893,33.941,2.466,,,,,,,40.97,0.2864,SoilModels / Mendeley style calibration set (synthetic)
SAND-0141,Sandy soil (cohesionless),54.601,0.0809,0.2638,0.7191,38.28,2.007,,,,,,,60.029,0.2836,SoilModels / Mendeley style calibration set (synthetic)
SAND-0142,Sandy soil (cohesionless),69.137,0.3169,1.1777,2.5512,39.279,6.41,,,,,,,73.508,0.2912,SoilModels / Mendeley style calibration set (synthetic)
SAND-0143,Sandy soil (cohesionless),80.058,0.1454,0.3568,0.6976,39.082,5.857,,,,,,,80.796,0.3166,SoilModels / Mendeley style calibration set (synthetic)
SAND-0144,Sandy soil (cohesionless),82.74,0.2865,0.7306,2.0103,37.207,5.744,,,,,,,84.056,0.2969,SoilModels / Mendeley style calibration set (synthetic)
SAND-0145,Sandy soil (cohesionless),75.029,0.1966,0.8421,1.7465,38.686,4.605,,,,,,,76.93,0.3,SoilModels / Mendeley style calibration set (synthetic)
SAND-0146,Sandy soil (cohesionless),81.569,0.2861,0.9586,2.4732,38.632,7.11,,,,,,,83.376,0.2935,SoilModels / Mendeley style calibration set (synthetic)
SAND-0147,Sandy soil (cohesionless),70.328,0.2469,1.0047,2.8881,41.072,4.445,,,,,,,75.943,0.3678,SoilModels / Mendeley style calibration set (synthetic)
SAND-0148,Sandy soil (cohesionless),58.795,0.2279,0.8813,2.0373,37.307,4.701,,,,,,,62.306,0.2991,SoilModels / Mendeley style calibration set (synthetic)
SAND-0149,Sandy soil (cohesionless),68.258,0.1968,0.4472,1.161,38.989,3.48,,,,,,,72.939,0.2554,SoilModels / Mendeley style calibration set (synthetic)
SAND-0150,Sandy soil (cohesionless),92.892,0.3023,0.904,1.8145,40.586,8.817,,,,,,,90.747,0.3351,SoilModels / Mendeley style calibration set (synthetic)
SAND-0151,Sandy soil (cohesionless),56.933,0.252,1.0298,2.1256,35.531,3.715,,,,,,,59.127,0.299,SoilModels / Mendeley style calibration set (synthetic)
SAND-0152,Sandy soil (cohesionless),35.833,0.254,0.9165,2.5334,34.096,0.0,,,,,,,36.791,0.2984,SoilModels / Mendeley style calibration set (synthetic)
SAND-0153,Sandy soil (cohesionless),60.006,0.3148,0.9298,2.7052,36.949,3.404,,,,,,,54.422,0.2467,SoilModels / Mendeley style calibration set (synthetic)
SAND-0154,Sandy soil (cohesionless),44.179,0.2399,0.6301,1.2814,33.564,2.266,,,,,,,47.147,0.3737,SoilModels / Mendeley style calibration set (synthetic)
SAND-0155,Sandy soil (cohesionless),58.155,0.2599,0.63,1.854,35.067,3.14,,,,,,,60.99,0.2434,SoilModels / Mendeley style calibration set (synthetic)
SAND-0156,Sandy soil (cohesionless),92.819,0.1755,0.5804,1.6321,40.518,6.558,,,,,,,87.932,0.3088,SoilModels / Mendeley style calibration set (synthetic)
SAND-0157,Sandy soil (cohesionless),54.911,0.2868,1.1055,2.0736,36.113,3.681,,,,,,,62.066,0.3357,SoilModels / Mendeley style calibration set (synthetic)
SAND-0158,Sandy soil (cohesionless),44.333,0.2923,0.7975,2.0419,36.894,0.821,,,,,,,45.449,0.3186,SoilModels / Mendeley style calibration set (synthetic)
SAND-0159,Sandy soil (cohesionless),66.009,0.2953,1.1686,2.4103,35.174,3.6,,,,,,,72.686,0.2859,SoilModels / Mendeley style calibration set (synthetic)
SAND-0160,Sandy soil (cohesionless),46.023,0.1026,0.3366,0.683,34.989,3.25,,,,,,,52.243,0.3216,SoilModels / Mendeley style calibration set (synthetic)
SAND-0161,Sandy soil (cohesionless),73.146,0.0977,0.2192,0.6377,38.172,5.906,,,,,,,67.626,0.3308,SoilModels / Mendeley style calibration set (synthetic)
SAND-0162,Sandy soil (cohesionless),63.226,0.1517,0.4367,1.2158,39.269,5.356,,,,,,,62.394,0.2187,SoilModels / Mendeley style calibration set (synthetic)
