monitor_point_id,chainage_m,depth_m,date,load_stage_kpa,p_wave_velocity_mps,s_wave_velocity_mps,extensometer_displacement_mm,pressure_cell_kpa,pore_pressure_kpa,creep_rate_mm_per_day,formation,alert_level,source_reference
EMB-01,0.0,2.0,2023-05-11,93.5,1470.346,311.177,5.165,68.384,65.057,0.1936,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-05-21,99.0,1484.363,299.537,5.71,70.945,73.035,0.2049,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-05-31,104.5,1473.758,314.69,6.536,78.929,75.258,0.2191,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-06-10,110.0,1485.809,314.091,6.273,83.475,75.907,0.1945,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-06-20,115.5,1485.774,302.487,6.431,87.663,70.851,0.1899,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-06-30,121.0,1507.142,300.96,6.969,91.204,71.177,0.1876,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-07-10,126.5,1477.193,309.077,7.287,94.555,78.439,0.1882,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-07-20,132.0,1476.901,311.835,7.791,102.801,73.9,0.2076,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-07-30,137.5,1488.518,323.926,7.365,100.686,81.051,0.181,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-08-09,143.0,1488.307,315.703,8.436,101.945,71.632,0.1866,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-08-19,148.5,1492.973,314.36,8.612,110.54,75.364,0.1825,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-08-29,154.0,1482.032,314.897,8.893,115.011,73.969,0.1873,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-09-08,159.5,1485.381,321.295,8.859,110.542,77.851,0.1778,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-09-18,165.0,1489.294,323.448,9.017,117.849,73.839,0.1779,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-09-28,170.5,1498.997,318.585,9.574,126.381,79.324,0.1768,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-10-08,176.0,1505.408,319.157,9.211,132.299,73.009,0.1607,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-10-18,181.5,1494.267,316.726,10.234,136.5,81.027,0.1679,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-10-28,187.0,1487.919,325.017,10.269,136.925,83.699,0.1769,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-11-07,192.5,1500.869,323.415,11.082,143.759,87.556,0.1818,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-11-17,198.0,1508.08,332.618,10.811,145.125,83.458,0.1695,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-11-27,203.5,1502.715,321.18,11.149,152.083,89.845,0.1665,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-12-07,209.0,1518.359,328.438,12.166,154.821,94.201,0.1767,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-12-17,214.5,1510.602,328.7,11.959,159.025,88.919,0.1686,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-12-27,220.0,1508.331,329.613,12.21,161.532,102.357,0.1683,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-01-01,22.0,1487.673,341.597,1.152,22.171,51.896,5.5462,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-01-11,27.5,1488.868,343.399,1.756,29.229,56.024,0.7707,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-01-21,33.0,1508.154,351.525,1.884,27.417,61.149,0.4443,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-01-31,38.5,1504.159,345.512,2.138,37.397,61.609,0.3453,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-02-10,44.0,1503.943,347.157,2.466,40.99,60.963,0.3046,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-02-20,49.5,1503.843,347.314,2.275,42.262,59.484,0.2235,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-03-02,55.0,1502.288,355.43,2.673,47.266,69.632,0.2263,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-03-12,60.5,1520.229,347.07,2.724,53.475,63.711,0.1967,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-03-22,66.0,1511.595,348.208,3.133,49.47,59.169,0.1972,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-04-01,71.5,1520.913,357.989,2.587,57.799,66.046,0.1475,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-04-11,77.0,1513.454,350.361,3.293,67.205,66.357,0.1571,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-04-21,82.5,1518.608,356.934,4.23,69.226,70.344,0.2011,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-05-01,88.0,1522.628,354.161,4.591,69.8,66.277,0.2019,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-05-11,93.5,1517.293,355.113,4.513,78.575,72.442,0.1754,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-05-21,99.0,1511.171,354.57,4.348,79.031,70.645,0.1511,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-05-31,104.5,1527.533,354.216,4.636,85.013,71.526,0.1529,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-06-10,110.0,1524.035,350.399,5.166,88.327,70.235,0.1646,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-06-20,115.5,1518.585,353.785,5.369,92.815,73.675,0.1638,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-06-30,121.0,1527.791,351.895,5.68,94.526,75.207,0.164,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-07-10,126.5,1514.054,359.086,6.152,97.618,70.124,0.1662,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-07-20,132.0,1518.286,353.374,6.857,102.311,67.754,0.1705,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-07-30,137.5,1538.774,367.079,6.55,106.477,69.752,0.1549,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-08-09,143.0,1530.664,364.32,6.407,108.266,68.148,0.1521,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-08-19,148.5,1536.016,360.488,6.829,116.034,71.947,0.1572,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-08-29,154.0,1536.003,364.051,7.287,115.928,72.459,0.1566,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-09-08,159.5,1538.632,367.143,7.248,121.556,78.258,0.1441,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-09-18,165.0,1542.699,356.351,7.517,126.838,75.745,0.1445,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-09-28,170.5,1539.528,367.464,7.813,130.808,81.625,0.1447,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-10-08,176.0,1544.871,365.494,8.48,133.891,80.851,0.1589,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-10-18,181.5,1537.224,365.065,7.972,136.914,84.638,0.1486,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-10-28,187.0,1530.38,361.845,8.82,142.574,87.218,0.1459,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-11-07,192.5,1546.302,374.132,8.942,151.618,81.583,0.1469,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-11-17,198.0,1552.381,364.747,9.613,150.268,97.148,0.1503,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-11-27,203.5,1547.441,376.337,9.234,151.344,91.632,0.1383,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-12-07,209.0,1568.456,371.349,9.744,160.877,94.818,0.1431,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-12-17,214.5,1560.365,380.376,9.773,161.248,92.226,0.1449,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,5.0,2023-12-27,220.0,1549.36,379.085,10.126,161.515,97.202,0.1385,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-01-01,22.0,1522.066,369.239,1.63,30.45,64.202,7.8285,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-01-11,27.5,1505.116,369.206,1.298,29.206,57.035,0.5672,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-01-21,33.0,1529.227,358.736,2.349,35.783,60.141,0.5494,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-01-31,38.5,1528.596,366.57,2.219,37.256,59.315,0.3481,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-02-10,44.0,1500.589,363.7,2.539,42.008,65.423,0.3097,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-02-20,49.5,1544.252,377.636,2.456,48.205,62.109,0.2401,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-03-02,55.0,1531.806,367.197,2.968,48.957,61.112,0.2411,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-03-12,60.5,1537.24,372.988,3.535,53.352,66.025,0.2553,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-03-22,66.0,1542.919,390.595,3.561,54.047,62.95,0.2193,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-04-01,71.5,1538.033,368.294,4.199,61.678,69.72,0.2344,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-04-11,77.0,1537.759,370.94,3.528,66.255,64.842,0.1778,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-04-21,82.5,1543.345,377.402,3.667,69.117,65.471,0.1771,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-05-01,88.0,1553.682,377.451,4.305,75.798,64.216,0.1769,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-05-11,93.5,1551.727,370.238,4.039,79.085,70.429,0.1568,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-05-21,99.0,1539.787,386.793,4.691,79.951,66.752,0.165,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-05-31,104.5,1544.154,376.755,5.438,86.949,69.828,0.182,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-06-10,110.0,1548.056,377.065,5.445,95.131,58.366,0.1704,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-06-20,115.5,1549.392,372.897,5.258,94.239,65.028,0.1579,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-06-30,121.0,1543.084,385.103,5.595,96.625,61.351,0.1629,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-07-10,126.5,1547.708,383.403,5.391,100.188,66.349,0.1493,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-07-20,132.0,1550.613,385.558,6.003,108.037,73.742,0.1615,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-07-30,137.5,1553.434,378.734,5.867,111.748,68.294,0.1491,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-08-09,143.0,1563.637,385.54,6.199,112.485,69.165,0.1396,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-08-19,148.5,1565.041,383.458,6.883,116.405,73.929,0.1479,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-08-29,154.0,1551.887,377.526,7.118,118.12,74.017,0.1491,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-09-08,159.5,1570.383,381.483,7.135,125.966,75.721,0.1406,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-09-18,165.0,1564.04,386.53,6.99,131.189,84.554,0.1336,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-09-28,170.5,1554.58,386.539,6.886,135.407,81.874,0.1375,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-10-08,176.0,1558.929,381.304,7.647,142.89,86.078,0.1313,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-10-18,181.5,1569.024,388.476,8.602,146.886,86.875,0.1598,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-10-28,187.0,1577.435,391.634,7.677,147.632,88.705,0.1297,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-11-07,192.5,1565.745,393.623,8.3,149.965,88.045,0.1421,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-11-17,198.0,1565.378,383.995,8.618,154.165,89.94,0.1392,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-11-27,203.5,1576.646,389.113,8.397,156.637,92.998,0.1321,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-12-07,209.0,1579.404,397.407,8.843,165.347,95.222,0.1261,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-12-17,214.5,1578.131,397.271,9.359,163.574,97.698,0.1465,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,8.0,2023-12-27,220.0,1582.933,397.537,9.722,169.589,99.88,0.1426,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-01-01,22.0,1577.111,385.247,0.579,29.192,59.227,2.7813,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-01-11,27.5,1588.286,398.719,0.417,34.912,58.704,0.1948,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-01-21,33.0,1577.817,396.916,0.296,38.901,63.503,0.0754,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-01-31,38.5,1584.038,398.961,0.728,41.17,59.066,0.1285,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-02-10,44.0,1588.906,389.791,1.4,49.691,61.732,0.1753,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-02-20,49.5,1605.63,397.696,1.505,49.858,62.566,0.1502,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-03-02,55.0,1608.541,392.845,1.334,52.822,64.017,0.1111,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-03-12,60.5,1597.569,393.496,1.687,60.399,63.782,0.123,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-03-22,66.0,1613.261,395.423,2.527,65.767,62.828,0.1718,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-04-01,71.5,1600.952,390.045,3.029,66.195,67.088,0.1669,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-04-11,77.0,1607.922,398.265,2.12,64.517,60.363,0.1034,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-04-21,82.5,1615.126,404.663,3.28,72.936,65.915,0.1526,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-05-01,88.0,1618.286,401.888,2.795,76.803,66.942,0.1268,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-05-11,93.5,1607.943,403.691,2.699,83.346,66.073,0.1023,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-05-21,99.0,1603.316,409.594,3.292,87.915,70.801,0.1266,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-05-31,104.5,1621.223,402.62,2.895,92.248,62.485,0.1049,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-06-10,110.0,1614.186,407.789,3.357,95.578,63.436,0.1118,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-06-20,115.5,1611.285,402.583,4.387,96.931,67.71,0.1322,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-06-30,121.0,1627.819,408.468,3.939,102.469,72.462,0.1144,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-07-10,126.5,1627.648,406.551,4.343,104.869,69.454,0.1175,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-07-20,132.0,1616.749,416.043,4.306,109.363,76.431,0.0986,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-07-30,137.5,1620.995,403.459,4.652,112.332,73.683,0.116,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-08-09,143.0,1612.387,409.44,5.065,116.17,68.211,0.1153,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-08-19,148.5,1624.915,411.74,5.662,117.274,72.962,0.1276,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-08-29,154.0,1636.791,405.545,5.464,126.168,78.853,0.1073,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-09-08,159.5,1615.258,413.427,5.942,133.809,81.262,0.1241,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-09-18,165.0,1626.018,408.772,5.714,133.609,82.225,0.116,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-09-28,170.5,1627.953,406.396,6.069,137.959,81.529,0.1152,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-10-08,176.0,1620.564,422.407,5.699,141.627,88.66,0.1096,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-10-18,181.5,1634.392,413.812,6.233,144.491,86.481,0.12,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-10-28,187.0,1617.379,422.06,6.504,149.008,91.764,0.1127,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-11-07,192.5,1630.703,417.046,6.558,157.419,91.756,0.115,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-11-17,198.0,1639.776,418.495,7.051,157.822,97.583,0.1104,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-11-27,203.5,1642.273,422.813,7.46,161.577,85.986,0.1132,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-12-07,209.0,1653.285,420.483,6.988,165.993,101.825,0.1043,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-12-17,214.5,1642.179,436.424,7.847,174.927,98.046,0.1243,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-01,0.0,11.0,2023-12-27,220.0,1662.523,430.029,7.975,174.868,102.673,0.1161,Clay (Mudstone Formation),medium,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-01-01,22.0,1426.073,305.365,1.206,18.587,52.294,5.8054,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-01-11,27.5,1433.394,302.638,1.519,25.294,56.684,0.6683,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-01-21,33.0,1429.083,306.587,0.76,25.593,57.867,0.1783,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-01-31,38.5,1435.693,305.694,2.125,29.82,58.548,0.3332,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-02-10,44.0,1435.898,306.273,2.158,37.414,62.438,0.268,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-02-20,49.5,1459.486,311.462,2.366,40.907,62.041,0.2284,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-03-02,55.0,1445.599,301.746,3.299,45.408,65.228,0.2783,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-03-12,60.5,1449.064,311.075,3.482,46.704,64.628,0.2392,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-03-22,66.0,1449.566,313.121,3.899,47.668,68.923,0.2347,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-04-01,71.5,1460.754,316.993,3.565,55.787,65.233,0.19,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-04-11,77.0,1460.997,300.612,4.728,60.341,70.877,0.2325,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-04-21,82.5,1466.86,308.301,4.521,59.66,76.505,0.2126,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-05-01,88.0,1473.221,310.349,4.679,64.391,73.932,0.1845,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-05-11,93.5,1459.499,305.539,4.819,70.29,72.37,0.1832,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-05-21,99.0,1465.342,321.748,5.907,72.533,71.95,0.2117,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-05-31,104.5,1461.751,312.229,6.434,76.185,73.768,0.2203,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-02,25.0,2.0,2023-06-10,110.0,1467.481,334.421,5.726,85.679,72.429,0.1819,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
