cell_id,easting_m,northing_m,swelling_clay_index,compressible_ground_index,running_sand_index,corroded_asset_density_per_km2,ground_movement_potential,risk_class,dominant_soil,source_reference
BGS-0068,530750,163250,39.498,45.602,27.769,7.122,49.443,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0069,530750,163500,43.744,19.324,10.138,6.808,37.677,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0070,530750,163750,55.52,36.454,30.492,7.366,53.459,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0071,530750,164000,45.683,41.116,7.577,6.075,43.942,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0072,530750,164250,50.719,40.194,8.075,8.071,49.243,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0073,531000,160000,76.457,24.856,63.746,9.877,69.307,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0074,531000,160250,68.289,34.028,29.035,10.01,61.924,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0075,531000,160500,66.818,1.368,52.314,5.991,48.148,Moderate,Clay-Sand Mix,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0076,531000,160750,37.3,42.056,40.089,8.961,53.422,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0077,531000,161000,57.85,24.664,46.374,7.533,54.131,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0078,531000,161250,54.647,42.989,36.831,8.199,58.243,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0079,531000,161500,43.467,31.595,34.031,7.757,48.709,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0080,531000,161750,64.316,23.213,40.508,9.709,58.72,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0081,531000,162000,51.056,22.496,44.774,7.048,49.587,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0082,531000,162250,38.271,41.045,20.416,7.755,46.949,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0083,531000,162500,35.292,41.493,25.977,8.16,47.921,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0084,531000,162750,67.88,26.367,44.766,6.126,55.635,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0085,531000,163000,41.446,28.321,25.347,6.715,43.042,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0086,531000,163250,20.105,48.266,12.196,5.638,36.882,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0087,531000,163500,55.827,38.005,40.036,13.223,66.746,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0088,531000,163750,53.762,45.894,4.651,11.366,57.516,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0089,531000,164000,55.308,32.891,15.8,5.676,45.893,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0090,531000,164250,59.3,43.305,29.245,9.456,60.712,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0091,531250,160000,48.425,28.08,18.294,8.531,47.328,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0092,531250,160250,58.64,11.854,43.36,7.23,48.867,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0093,531250,160500,39.337,2.309,42.912,7.429,38.546,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0094,531250,160750,59.894,20.093,40.469,7.285,51.607,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0095,531250,161000,54.021,47.372,43.653,7.882,60.425,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0096,531250,161250,39.121,43.93,22.353,7.138,47.569,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0097,531250,161500,71.053,30.778,53.428,6.328,60.609,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0098,531250,161750,37.664,22.026,56.294,6.766,46.365,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0099,531250,162000,73.021,22.96,25.781,7.214,54.212,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0100,531250,162250,49.592,20.603,17.841,6.152,40.849,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0101,531250,162500,45.173,33.456,31.454,9.2,52.021,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0102,531250,162750,34.863,43.857,21.859,7.563,46.581,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0103,531250,163000,57.288,44.298,31.827,9.608,61.127,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0104,531250,163250,53.192,28.144,20.843,6.451,45.979,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0105,531250,163500,53.587,27.017,29.99,4.685,44.58,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0106,531250,163750,38.785,54.411,2.211,9.934,51.605,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0107,531250,164000,27.835,41.843,9.89,6.138,38.028,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0108,531250,164250,47.709,45.923,23.095,7.353,52.059,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0109,531500,160000,79.889,0,33.055,7.731,51.545,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0110,531500,160250,76.372,16.618,36.73,9.315,59.519,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0111,531500,160500,65.445,20.472,52.18,10.996,63.102,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0112,531500,160750,24.816,25.867,40.392,6.076,38.048,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0113,531500,161000,42.975,15.46,53.892,6.09,44.406,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0114,531500,161250,34.248,16.084,26.266,8.631,39.797,Low,Clay-Sand Mix,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0115,531500,161500,38.694,23.804,37.551,6.527,42.808,Low,Clay-Sand Mix,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0116,531500,161750,67.525,38.047,45.804,15.372,76.342,Very High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0117,531500,162000,36.915,31.941,37.947,10.178,51.556,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0118,531500,162250,48.736,48.165,22.0,9.957,57.659,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0119,531500,162500,55.246,35.728,24.779,7.663,52.385,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0120,531500,162750,57.36,32.888,24.153,10.343,56.91,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0121,531500,163000,47.477,24.823,13.662,5.633,39.627,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0122,531500,163250,38.577,36.743,31.009,8.129,48.606,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0123,531500,163500,48.851,36.369,17.146,8.774,50.495,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0124,531500,163750,67.113,33.38,3.547,7.389,50.932,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0125,531500,164000,69.264,38.919,0,8.705,55.222,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0126,531500,164250,26.901,47.682,18.856,10.9,50.202,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0127,531750,160000,47.56,17.941,43.773,9.236,50.428,Moderate,Clay-Sand Mix,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0128,531750,160250,45.884,33.961,44.79,10.871,58.404,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0129,531750,160500,21.855,32.525,35.959,8.425,42.439,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0130,531750,160750,50.792,21.992,54.919,7.914,53.105,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0131,531750,161000,55.38,32.204,56.734,8.24,59.308,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0132,531750,161250,47.537,32.839,21.793,9.469,51.069,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0133,531750,161500,47.929,18.294,49.446,7.525,48.857,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0134,531750,161750,43.061,35.107,35.477,11.947,57.609,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0135,531750,162000,39.863,42.298,25.004,9.682,52.459,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0136,531750,162250,41.914,37.897,12.512,14.042,56.841,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0137,531750,162500,65.825,46.958,20.885,9.817,63.244,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0138,531750,162750,45.39,36.307,15.963,7.425,46.47,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0139,531750,163000,45.896,27.246,25.719,8.949,48.47,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0140,531750,163250,27.3,28.505,0,5.739,30.395,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0141,531750,163500,65.626,22.557,0,6.068,43.53,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0142,531750,163750,27.538,16.175,4.805,6.867,29.381,Very Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0143,531750,164000,41.302,35.481,17.096,5.217,40.91,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0144,531750,164250,70.184,30.805,22.763,7.138,55.001,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0145,532000,160000,49.161,45.26,34.164,7.231,54.602,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0146,532000,160250,60.794,16.71,36.769,6.135,47.915,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0147,532000,160500,71.254,28.581,37.73,6.205,56.263,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0148,532000,160750,23.721,13.762,51.749,7.762,39.051,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0149,532000,161000,71.246,46.131,42.011,10.877,71.579,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0150,532000,161250,53.42,47.063,28.408,9.873,60.323,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0151,532000,161500,55.678,29.005,15.434,10.016,52.444,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0152,532000,161750,43.368,40.035,21.804,5.657,45.071,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0153,532000,162000,43.422,19.014,41.585,8.556,47.514,Moderate,Clay-Sand Mix,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0154,532000,162250,64.88,21.887,18.592,8.435,51.37,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0155,532000,162500,66.066,33.209,7.369,10.41,56.756,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0156,532000,162750,53.248,42.89,34.474,8.391,57.504,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0157,532000,163000,65.878,23.828,11.932,6.23,46.974,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0158,532000,163250,61.972,33.282,17.933,7.535,52.374,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0159,532000,163500,51.182,30.656,22.781,6.467,46.525,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0160,532000,163750,52.647,20.841,15.57,7.092,43.283,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0161,532000,164000,44.597,46.997,6.274,8.594,49.775,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0162,532000,164250,39.765,55.426,18.074,6.425,49.497,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0163,532250,160000,53.431,32.594,38.827,5.466,49.766,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0164,532250,160250,40.939,34.023,40.163,7.61,49.659,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0165,532250,160500,44.114,13.113,44.894,8.864,47.054,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0166,532250,160750,47.679,18.135,28.701,9.195,47.149,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0167,532250,161000,51.472,21.271,31.573,9.665,51.135,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0168,532250,161250,47.591,45.511,26.045,5.232,48.706,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0169,532250,161500,44.661,22.621,29.308,10.513,50.034,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0170,532250,161750,31.805,29.786,42.29,11.2,51.677,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0171,532250,162000,34.67,43.866,17.216,10.154,50.153,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0172,532250,162250,24.197,25.956,22.425,8.791,38.778,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0173,532250,162500,34.484,35.515,4.934,8.08,40.808,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0174,532250,162750,58.408,22.328,7.787,11.011,51.32,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0175,532250,163000,50.338,55.267,9.423,7.878,54.173,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0176,532250,163250,46.225,25.068,14.399,7.382,42.543,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0177,532250,163500,48.23,59.545,10.84,11.729,62.07,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0178,532250,163750,28.622,8.044,3.261,7.923,28.59,Very Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0179,532250,164000,67.99,27.726,28.833,10.309,60.163,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0180,532250,164250,37.117,56.932,2.824,10.907,53.716,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0181,532500,160000,40.326,23.533,36.07,7.45,44.671,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0182,532500,160250,44.575,31.558,55.054,10.096,57.952,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0183,532500,160500,37.631,36.449,46.888,6.388,48.507,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0184,532500,160750,39.789,46.048,45.174,10.923,60.376,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0185,532500,161000,48.438,60.537,30.314,11.606,66.549,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0186,532500,161250,31.235,32.743,22.968,8.294,42.984,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0187,532500,161500,33.043,43.255,26.242,6.106,44.027,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0188,532500,161750,33.997,52.582,13.949,6.529,45.618,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0189,532500,162000,48.084,44.501,17.591,8.16,51.96,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0190,532500,162250,36.671,49.135,16.503,6.793,46.499,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0191,532500,162500,39.852,30.292,26.267,6.928,43.693,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0192,532500,162750,35.795,65.159,0,9.374,52.629,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0193,532500,163000,56.659,58.352,12.833,9.082,60.541,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0194,532500,163250,42.068,36.149,2.235,5.142,38.024,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0195,532500,163500,12.183,54.636,26.484,6.96,41.56,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0196,532500,163750,32.752,33.941,24.359,6.722,41.444,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0197,532500,164000,31.114,56.499,18.291,8.729,50.769,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0198,532500,164250,68.311,29.799,12.825,8.254,53.769,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0199,532750,160000,62.292,28.846,35.092,6.823,53.48,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0200,532750,160250,53.508,39.596,34.6,5.755,51.767,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0201,532750,160500,47.72,21.661,33.058,8.172,47.481,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0202,532750,160750,47.143,55.239,36.217,6.848,56.989,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0203,532750,161000,48.223,28.424,21.998,8.334,47.83,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0204,532750,161250,34.613,47.11,21.088,8.89,49.812,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0205,532750,161500,49.92,47.848,19.578,8.689,55.185,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0206,532750,161750,51.279,48.637,13.842,5.183,48.398,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0207,532750,162000,19.267,75.36,16.33,9.817,54.208,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0208,532750,162250,45.578,31.793,18.669,7.073,44.969,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
