case_id,soil_type,excavation_depth_m,excavation_width_m,prop_spacing_m,wall_thickness_m,stiffness_reduction_factor,max_wall_displacement_mm,toe_heave_mm,factor_of_safety,predicted_failure_mode,source_reference
LC-0086,London Clay,12,25,2.5,0.8,1.0,31.103,8.486,2.1077,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0087,London Clay,12,25,2.5,0.8,1.2,33.161,15.873,2.0916,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0088,London Clay,12,25,2.5,1.0,0.8,36.982,11.805,2.1255,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0089,London Clay,12,25,2.5,1.0,1.0,31.173,11.702,2.2102,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0090,London Clay,12,25,2.5,1.0,1.2,29.288,9.935,2.162,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0091,London Clay,12,25,3.5,0.6,0.8,50.687,21.314,1.9567,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0092,London Clay,12,25,3.5,0.6,1.0,50.681,19.402,1.9288,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0093,London Clay,12,25,3.5,0.6,1.2,44.455,20.562,2.0032,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0094,London Clay,12,25,3.5,0.8,0.8,48.74,17.222,2.0421,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0095,London Clay,12,25,3.5,0.8,1.0,41.226,11.857,2.0072,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0096,London Clay,12,25,3.5,0.8,1.2,39.912,14.914,2.1157,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0097,London Clay,12,25,3.5,1.0,0.8,48.882,18.501,2.0579,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0098,London Clay,12,25,3.5,1.0,1.0,41.111,14.185,2.1178,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0099,London Clay,12,25,3.5,1.0,1.2,30.23,9.225,2.1636,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0100,London Clay,12,25,4.5,0.6,0.8,60.877,25.695,1.7567,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0101,London Clay,12,25,4.5,0.6,1.0,54.651,21.609,1.7959,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0102,London Clay,12,25,4.5,0.6,1.2,48.523,19.166,1.8174,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0103,London Clay,12,25,4.5,0.8,0.8,56.736,22.263,1.899,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0104,London Clay,12,25,4.5,0.8,1.0,50.739,20.797,1.9595,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0105,London Clay,12,25,4.5,0.8,1.2,47.264,20.46,2.0155,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0106,London Clay,12,25,4.5,1.0,0.8,49.492,20.546,2.0662,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0107,London Clay,12,25,4.5,1.0,1.0,44.722,16.557,1.9149,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0108,London Clay,12,25,4.5,1.0,1.2,42.039,14.135,2.0202,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0109,London Clay,16,10,2.5,0.6,0.8,41.583,17.988,2.1371,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0110,London Clay,16,10,2.5,0.6,1.0,35.592,14.996,2.1117,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0111,London Clay,16,10,2.5,0.6,1.2,36.056,16.1,2.2086,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0112,London Clay,16,10,2.5,0.8,0.8,39.124,15.563,2.2246,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0113,London Clay,16,10,2.5,0.8,1.0,30.514,13.694,2.2681,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0114,London Clay,16,10,2.5,0.8,1.2,31.399,10.751,2.2415,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0115,London Clay,16,10,2.5,1.0,0.8,32.369,10.619,2.3311,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0116,London Clay,16,10,2.5,1.0,1.0,30.632,10.174,2.3231,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0117,London Clay,16,10,2.5,1.0,1.2,24.468,9.505,2.3382,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0118,London Clay,16,10,3.5,0.6,0.8,47.18,20.06,1.9911,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0119,London Clay,16,10,3.5,0.6,1.0,44.524,21.296,2.0266,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0120,London Clay,16,10,3.5,0.6,1.2,37.717,19.43,2.0829,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0121,London Clay,16,10,3.5,0.8,0.8,46.479,22.008,2.213,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0122,London Clay,16,10,3.5,0.8,1.0,37.954,18.05,2.2041,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0123,London Clay,16,10,3.5,0.8,1.2,37.214,16.497,2.2289,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0124,London Clay,16,10,3.5,1.0,0.8,41.348,14.982,2.2173,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0125,London Clay,16,10,3.5,1.0,1.0,32.046,14.761,2.2654,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0126,London Clay,16,10,3.5,1.0,1.2,29.779,11.677,2.2168,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0127,London Clay,16,10,4.5,0.6,0.8,58.316,22.554,1.9853,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0128,London Clay,16,10,4.5,0.6,1.0,52.381,23.103,2.0208,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0129,London Clay,16,10,4.5,0.6,1.2,52.038,24.544,2.064,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0130,London Clay,16,10,4.5,0.8,0.8,49.174,22.453,2.122,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0131,London Clay,16,10,4.5,0.8,1.0,45.437,17.108,2.0706,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0132,London Clay,16,10,4.5,0.8,1.2,38.391,19.35,2.0957,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0133,London Clay,16,10,4.5,1.0,0.8,43.798,18.517,2.104,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0134,London Clay,16,10,4.5,1.0,1.0,41.759,15.636,2.1694,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0135,London Clay,16,10,4.5,1.0,1.2,37.552,16.58,2.1708,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0136,London Clay,16,15,2.5,0.6,0.8,46.001,20.92,2.0322,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0137,London Clay,16,15,2.5,0.6,1.0,42.856,16.861,2.0653,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0138,London Clay,16,15,2.5,0.6,1.2,38.77,17.768,2.1071,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0139,London Clay,16,15,2.5,0.8,0.8,38.246,15.712,2.0839,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0140,London Clay,16,15,2.5,0.8,1.0,40.634,15.193,2.082,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0141,London Clay,16,15,2.5,0.8,1.2,33.822,11.13,2.1115,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0142,London Clay,16,15,2.5,1.0,0.8,35.313,14.353,2.1641,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0143,London Clay,16,15,2.5,1.0,1.0,31.072,11.404,2.2803,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0144,London Clay,16,15,2.5,1.0,1.2,23.14,9.401,2.2698,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0145,London Clay,16,15,3.5,0.6,0.8,50.483,23.4,1.9787,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0146,London Clay,16,15,3.5,0.6,1.0,52.548,24.149,1.9477,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0147,London Clay,16,15,3.5,0.6,1.2,45.765,19.366,2.0185,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0148,London Clay,16,15,3.5,0.8,0.8,43.013,19.339,2.091,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0149,London Clay,16,15,3.5,0.8,1.0,45.43,19.725,2.034,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0150,London Clay,16,15,3.5,0.8,1.2,36.122,15.371,2.0952,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0151,London Clay,16,15,3.5,1.0,0.8,41.163,16.584,2.1514,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0152,London Clay,16,15,3.5,1.0,1.0,37.907,13.998,2.144,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0153,London Clay,16,15,3.5,1.0,1.2,31.031,10.599,2.1483,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0154,London Clay,16,15,4.5,0.6,0.8,60.056,30.042,1.8585,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0155,London Clay,16,15,4.5,0.6,1.0,52.643,23.411,1.9078,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0156,London Clay,16,15,4.5,0.6,1.2,50.128,20.703,1.92,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0157,London Clay,16,15,4.5,0.8,0.8,53.599,24.875,1.9465,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0158,London Clay,16,15,4.5,0.8,1.0,48.223,20.154,1.9817,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0159,London Clay,16,15,4.5,0.8,1.2,45.907,20.171,2.0235,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0160,London Clay,16,15,4.5,1.0,0.8,50.588,19.234,2.0311,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0161,London Clay,16,15,4.5,1.0,1.0,45.91,17.061,2.0455,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0162,London Clay,16,15,4.5,1.0,1.2,35.39,12.862,2.1837,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0163,London Clay,16,20,2.5,0.6,0.8,45.322,19.551,1.8834,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0164,London Clay,16,20,2.5,0.6,1.0,47.94,24.238,1.9949,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0165,London Clay,16,20,2.5,0.6,1.2,43.671,21.071,1.9402,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0166,London Clay,16,20,2.5,0.8,0.8,44.055,16.396,2.0039,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0167,London Clay,16,20,2.5,0.8,1.0,43.856,16.846,2.0556,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0168,London Clay,16,20,2.5,0.8,1.2,32.352,14.808,2.0951,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0169,London Clay,16,20,2.5,1.0,0.8,40.849,13.726,2.1149,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0170,London Clay,16,20,2.5,1.0,1.0,35.542,15.381,2.1601,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0171,London Clay,16,20,2.5,1.0,1.2,31.098,12.729,2.1408,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0172,London Clay,16,20,3.5,0.6,0.8,61.432,25.286,1.8419,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0173,London Clay,16,20,3.5,0.6,1.0,52.885,21.608,1.9202,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0174,London Clay,16,20,3.5,0.6,1.2,49.969,20.888,1.8742,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0175,London Clay,16,20,3.5,0.8,0.8,49.787,21.713,1.9975,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0176,London Clay,16,20,3.5,0.8,1.0,49.776,17.166,1.9611,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0177,London Clay,16,20,3.5,0.8,1.2,46.472,18.957,1.9151,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0178,London Clay,16,20,3.5,1.0,0.8,42.998,15.675,2.0733,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0179,London Clay,16,20,3.5,1.0,1.0,44.958,14.928,2.0955,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0180,London Clay,16,20,3.5,1.0,1.2,39.888,14.725,2.1022,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0181,London Clay,16,20,4.5,0.6,0.8,58.559,23.666,1.7889,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0182,London Clay,16,20,4.5,0.6,1.0,59.451,26.189,1.8507,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0183,London Clay,16,20,4.5,0.6,1.2,56.991,27.706,1.8503,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0184,London Clay,16,20,4.5,0.8,0.8,53.529,19.405,1.881,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0185,London Clay,16,20,4.5,0.8,1.0,54.411,23.429,1.9508,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0186,London Clay,16,20,4.5,0.8,1.2,48.329,18.73,1.9418,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0187,London Clay,16,20,4.5,1.0,0.8,52.111,25.358,2.0057,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0188,London Clay,16,20,4.5,1.0,1.0,49.861,15.283,1.9967,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0189,London Clay,16,20,4.5,1.0,1.2,44.076,14.747,2.0282,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0190,London Clay,16,25,2.5,0.6,0.8,52.706,25.91,1.8055,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0191,London Clay,16,25,2.5,0.6,1.0,49.734,17.816,1.8839,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0192,London Clay,16,25,2.5,0.6,1.2,41.946,19.388,1.8782,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0193,London Clay,16,25,2.5,0.8,0.8,50.178,19.574,1.93,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0194,London Clay,16,25,2.5,0.8,1.0,36.476,14.891,1.9671,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0195,London Clay,16,25,2.5,0.8,1.2,35.828,14.846,2.0716,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0196,London Clay,16,25,2.5,1.0,0.8,43.568,16.375,1.9856,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0197,London Clay,16,25,2.5,1.0,1.0,33.732,10.841,1.9995,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
