sample_id,peak_temp_c,ramp_rate_c_per_min,hold_time_min,cool_rate_c_per_min,pressure_mpa,atmosphere,green_rel_density,green_porosity_pct,powder_particle_size_d50_um,green_pore_size_d50_um,grain_size_d10_um,grain_size_d50_um,grain_size_d90_um,pore_size_d10_um,pore_size_d50_um,pore_size_d90_um,gb_high_angle_fraction,gb_mean_misorientation_deg,relative_density_final,final_porosity_pct
SPM-42-0014,1565.878,3.8646,67,17.8063,0.0,air,0.5161,48.3945,1.6072,1.589,4.1953,6.0451,8.7105,0.4817,0.6876,0.9816,0.6701,33.9752,0.8855,11.4468
SPM-42-0015,1101.7728,15.8801,67,13.468,0.0,air,0.5663,43.3725,2.3336,1.9239,2.6706,4.3342,7.0343,0.6737,1.0201,1.5446,0.5063,35.6209,0.8313,16.8671
SPM-42-0016,1586.0981,2.7181,174,8.4406,0.0,vacuum,0.5154,48.4581,1.1884,1.3785,3.2878,5.2381,8.3452,0.3187,0.4438,0.618,0.7207,35.2026,0.9439,5.6086
SPM-42-0017,1213.7977,2.426,84,5.4763,0.0,vacuum,0.5104,48.9587,2.2321,1.7536,4.56,7.198,11.3622,0.5856,0.7945,1.0779,0.5361,29.9425,0.88,11.9953
SPM-42-0018,1119.1286,12.7383,80,8.2224,0.0,hydrogen,0.6476,35.2365,1.3229,2.0895,2.145,3.0849,4.4367,0.8014,1.371,2.3454,0.5512,32.4904,0.8325,16.7537
SPM-42-0019,1550.0234,11.1282,83,14.0041,0.0,air,0.5443,45.5652,0.8176,1.8981,2.0389,3.192,4.9971,0.5344,0.8169,1.2487,0.6521,33.6371,0.8852,11.4787
SPM-42-0020,1332.4941,9.9589,121,5.8466,48.1924,air,0.6104,38.9606,1.8492,1.7802,4.6876,6.3006,8.4688,0.5334,0.7838,1.1518,0.6308,37.3509,0.9283,7.1713
SPM-42-0021,1484.2447,10.1975,147,17.9505,0.0,air,0.6045,39.5547,1.4895,2.3771,3.5669,5.6467,8.9393,0.7929,1.1449,1.6532,0.7317,37.103,0.8995,10.0491
SPM-42-0022,1524.1682,10.2163,170,16.4255,0.0,hydrogen,0.5838,41.6161,0.7417,0.7205,2.0851,3.1963,4.8998,0.23,0.3571,0.5544,0.6881,35.804,0.8679,13.2054
SPM-42-0023,1238.6557,15.9981,61,10.7227,0.0,air,0.5116,48.8377,1.1364,0.9316,1.7355,2.8824,4.787,0.3559,0.515,0.7451,0.5387,34.1468,0.8,20.0
SPM-42-0024,1307.8871,5.723,149,9.5626,5.8789,argon,0.6321,36.7901,1.7195,1.8853,4.017,5.5589,7.6926,0.4762,0.7324,1.1265,0.587,32.1479,0.926,7.4022
SPM-42-0025,1342.821,8.9994,103,14.0397,42.8228,argon,0.6379,36.2069,3.8431,2.8012,9.2231,12.5405,17.0511,0.7479,1.1789,1.8584,0.5848,34.2057,0.9166,8.3417
SPM-42-0026,1539.82,7.0086,107,19.1217,0.0,hydrogen,0.5123,48.7714,2.8663,2.5594,7.3492,11.6421,18.4427,0.7843,1.042,1.3843,0.6846,36.3121,0.9065,9.3468
SPM-42-0027,1483.449,5.0202,29,12.9305,12.3695,argon,0.5467,45.3344,4.2609,3.6326,9.9621,14.2054,20.2562,0.9023,1.1786,1.5395,0.6064,37.2173,0.9267,7.3324
SPM-42-0028,1250.7913,14.3167,144,16.4995,20.6242,vacuum,0.5643,43.5743,1.1715,0.8155,2.7431,3.7058,5.0063,0.1885,0.2595,0.3573,0.5905,33.2829,0.9368,6.3221
SPM-42-0029,1235.0412,16.5476,123,11.6871,0.0,vacuum,0.6239,37.614,1.7061,1.2703,3.0364,4.6411,7.0938,0.4513,0.7602,1.2806,0.6083,36.2259,0.81,18.9964
SPM-42-0030,1277.4125,6.6503,152,7.0339,17.4321,nitrogen,0.5015,49.8477,2.2513,2.4403,5.3244,7.7566,11.3,0.8375,1.1625,1.6138,0.5785,31.5958,0.8591,14.0876
SPM-42-0031,1365.461,9.6591,84,15.4268,0.0,vacuum,0.5681,43.1938,1.1833,1.2998,2.8205,4.3387,6.6741,0.4115,0.6699,1.0905,0.6348,37.3289,0.8605,13.9512
SPM-42-0032,1480.1039,12.7422,49,19.6492,0.0,hydrogen,0.5541,44.5868,0.7918,0.6629,1.4162,2.2285,3.5068,0.2285,0.3302,0.4774,0.6726,32.652,0.8547,14.5306
SPM-42-0033,1226.2392,17.511,16,4.0536,0.0,air,0.5111,48.8888,1.7066,1.1766,2.428,3.7995,5.9457,0.4236,0.5529,0.7215,0.5542,31.6993,0.8597,14.033
SPM-42-0034,1361.2863,10.1093,150,9.969,18.7421,air,0.5932,40.6846,2.2332,1.4839,5.4553,8.0847,11.9814,0.4375,0.6065,0.841,0.6259,34.8819,0.9142,8.5788
SPM-42-0035,1451.4938,10.1726,67,14.3729,33.1276,hydrogen,0.5992,40.0823,3.0565,2.2995,7.1422,9.8393,13.555,0.5596,0.8365,1.2506,0.6223,31.8502,0.9457,5.432
SPM-42-0036,1244.3053,4.2384,179,14.3962,0.0,vacuum,0.5408,45.9163,1.6041,2.1224,3.4345,5.4196,8.552,0.7329,1.1198,1.711,0.613,37.6328,0.8643,13.5661
SPM-42-0037,1510.7106,12.3724,44,15.736,0.0,argon,0.5977,40.2274,2.4232,1.9835,5.3189,8.4917,13.5573,0.5428,0.8744,1.4085,0.6657,33.9193,0.8827,11.7334
SPM-42-0038,1446.8368,7.1879,140,19.0135,0.0,air,0.5132,48.6791,1.1517,1.6032,2.9534,4.437,6.6658,0.4891,0.7277,1.0826,0.6985,37.0911,0.8679,13.2079
SPM-42-0039,1540.4233,10.7248,161,2.5196,15.7684,air,0.5238,47.6243,1.6696,2.0062,5.0879,6.9882,9.5983,0.5379,0.681,0.8623,0.6848,39.4489,0.9388,6.1176
SPM-42-0040,1590.1223,6.3872,98,11.9228,0.0,vacuum,0.5899,41.0093,1.9632,1.9401,5.0988,7.8977,12.2328,0.5149,0.6882,0.9199,0.7011,37.4642,0.9083,9.1699
SPM-42-0041,1342.1707,7.9839,96,15.7317,0.0,vacuum,0.5483,45.1733,0.568,0.7884,1.3531,2.1557,3.4345,0.283,0.3695,0.4825,0.6111,36.1602,0.8563,14.3656
SPM-42-0042,1510.3738,19.6547,9,10.9159,0.0,nitrogen,0.6448,35.5197,1.2577,1.3882,2.3792,3.6256,5.5249,0.6417,0.8547,1.1385,0.5933,30.9429,0.8546,14.5355
SPM-42-0043,1343.9737,11.7383,60,13.1143,46.4418,hydrogen,0.6496,35.0386,2.2633,1.4652,3.7985,5.354,7.5466,0.5147,0.7862,1.2008,0.5691,31.7858,0.8711,12.8921
SPM-42-0044,1287.4205,4.6203,144,11.561,13.1026,nitrogen,0.5263,47.374,1.7732,1.6836,4.9602,6.7433,9.1675,0.4753,0.7051,1.0458,0.6024,33.4591,0.9011,9.8949
SPM-42-0045,1136.931,19.0142,76,19.7777,24.0939,air,0.5375,46.2485,2.2531,1.6579,2.4951,3.4414,4.7466,0.5354,0.7586,1.075,0.5813,33.2202,0.8897,11.0331
SPM-42-0046,1237.2402,12.1867,12,14.3444,38.5327,air,0.6249,37.5074,0.4147,0.5125,0.4553,0.627,0.8634,0.1543,0.253,0.415,0.5188,35.7935,0.868,13.1985
SPM-42-0047,1116.6823,8.5675,75,4.3654,0.0,argon,0.5623,43.7675,0.4,1.056,0.653,1.0462,1.6763,0.4727,0.6523,0.8999,0.5899,33.4582,0.8364,16.3561
SPM-42-0048,1535.1985,16.4762,19,10.43,0.0,vacuum,0.645,35.5025,5.1429,3.7978,11.0472,16.3717,24.2625,1.2711,1.8527,2.7003,0.6039,36.1653,0.8949,10.5089
SPM-42-0049,1154.1731,6.2088,143,2.4504,0.0,nitrogen,0.5915,40.8488,2.1981,1.6653,4.7331,7.4705,11.7911,0.7787,1.269,2.0679,0.6168,35.3109,0.8063,19.3695
SPM-42-0050,1368.7733,8.9956,178,8.6782,23.8607,argon,0.6113,38.866,0.8593,0.6714,2.2504,3.0843,4.2273,0.1754,0.2888,0.4757,0.623,36.9284,0.9198,8.0183
SPM-42-0051,1372.2329,19.6012,101,8.4561,0.0,hydrogen,0.6452,35.4769,0.9199,0.7299,2.0423,3.1182,4.7609,0.2608,0.3695,0.5235,0.6209,32.5252,0.89,11.0018
SPM-42-0052,1216.4993,15.9386,152,16.1956,0.0,nitrogen,0.6288,37.1239,1.0203,0.8905,1.8521,2.921,4.6067,0.2922,0.4392,0.6603,0.6507,38.1282,0.8648,13.5181
SPM-42-0053,1363.0428,15.422,92,10.5724,0.0,argon,0.5164,48.3642,1.6029,1.9664,3.4705,5.4183,8.4593,0.5603,0.7987,1.1386,0.6378,32.6194,0.8764,12.3607
SPM-42-0054,1554.8504,3.3228,155,3.4542,0.0,nitrogen,0.5189,48.1071,1.9905,1.7979,5.9013,8.6879,12.7903,0.521,0.7806,1.1696,0.7546,38.9135,0.8977,10.2299
SPM-42-0055,1532.7462,9.7413,105,17.9856,0.0,argon,0.568,43.1975,1.3742,1.1321,3.6086,6.0686,10.2057,0.3787,0.5779,0.882,0.7172,36.8426,0.8856,11.4412
SPM-42-0056,1469.398,16.6118,150,12.0147,30.2758,hydrogen,0.6005,39.9498,0.7708,1.4642,2.0524,2.8532,3.9666,0.3897,0.5362,0.7377,0.6712,31.5708,0.9446,5.5374
SPM-42-0057,1275.057,12.0128,71,4.0679,0.0,hydrogen,0.6211,37.8917,3.2641,2.4354,6.7767,10.3336,15.7574,0.824,1.3832,2.3221,0.5981,35.6604,0.8537,14.6266
SPM-42-0058,1103.0529,17.6575,102,12.1938,0.0,air,0.6111,38.8855,1.5708,1.3169,2.9149,4.2751,6.27,0.437,0.7252,1.2035,0.618,35.1454,0.8144,18.5626
SPM-42-0059,1321.5565,9.6323,106,12.9274,0.0,argon,0.6132,38.6759,0.7916,0.653,1.719,2.6648,4.1309,0.1849,0.2934,0.4655,0.6783,35.647,0.8755,12.445
SPM-42-0060,1205.617,4.4702,83,6.5994,0.0,nitrogen,0.5746,42.5392,1.3914,1.2557,2.705,4.0275,5.9966,0.5165,0.7278,1.0256,0.6048,35.6261,0.8372,16.279
SPM-42-0061,1314.6421,9.2796,74,13.5226,0.0,hydrogen,0.5031,49.6872,0.6526,1.3223,1.3938,2.2696,3.6956,0.3908,0.6004,0.9225,0.5942,33.5824,0.8661,13.3856
SPM-42-0062,1255.1373,8.1112,43,7.9952,0.0,hydrogen,0.595,40.5016,1.5547,1.5997,2.5637,4.1107,6.5913,0.5957,0.9257,1.4385,0.5888,33.8208,0.8337,16.6318
SPM-42-0063,1575.6461,13.3031,144,10.3512,25.2007,nitrogen,0.6386,36.1377,1.7724,2.2669,5.064,7.2138,10.2763,0.5428,0.8144,1.2219,0.6915,36.5027,0.9356,6.4384
SPM-42-0064,1353.6684,7.5873,14,10.1344,0.0,hydrogen,0.5431,45.6938,0.5788,0.6347,0.9571,1.5633,2.5535,0.1999,0.3034,0.4604,0.614,29.2492,0.8437,15.6285
SPM-42-0065,1325.2616,16.5974,21,17.0728,0.0,air,0.5259,47.4116,0.9823,0.9328,1.2971,2.0774,3.3272,0.2937,0.4415,0.6635,0.5269,30.5023,0.8394,16.0596
SPM-42-0066,1423.6527,3.1864,173,3.7011,0.0,nitrogen,0.5378,46.2201,1.6812,1.8351,4.1577,6.4842,10.1125,0.5992,0.7855,1.0297,0.6735,34.9756,0.8814,11.8602
SPM-42-0067,1451.4154,19.048,134,19.949,0.0,air,0.6006,39.9432,1.5123,1.0848,3.535,5.5359,8.6694,0.2755,0.4502,0.7357,0.6659,35.1986,0.9029,9.7066
SPM-42-0068,1469.322,11.4776,158,13.9147,0.0,argon,0.5565,44.3492,5.7259,3.6313,14.2367,21.6454,32.9096,1.1303,1.625,2.3361,0.6716,33.7497,0.889,11.0955
SPM-42-0069,1504.3119,10.4423,94,17.032,30.6689,air,0.5661,43.391,4.7174,3.2329,11.7166,17.2309,25.3406,0.8943,1.2455,1.7346,0.6202,34.6382,0.9257,7.4256
SPM-42-0070,1567.1468,14.8052,31,11.2864,0.0,argon,0.6145,38.5532,0.8302,1.2949,1.7606,2.8779,4.7044,0.4277,0.656,1.006,0.7459,36.5796,0.8759,12.4066
SPM-42-0071,1565.413,17.1052,37,13.6993,0.0,argon,0.543,45.6968,4.1754,2.5969,9.1485,14.3342,22.4593,0.7103,1.1499,1.8614,0.6096,33.2179,0.881,11.8996
SPM-42-0072,1363.8858,4.0014,77,7.1858,0.0,nitrogen,0.5358,46.4234,2.1235,1.6739,4.6082,7.2126,11.2889,0.6179,0.8623,1.2035,0.656,36.2594,0.8372,16.2761
SPM-42-0073,1361.7423,8.4909,139,19.1613,0.0,hydrogen,0.6482,35.175,1.6312,1.3412,3.6948,5.8265,9.1882,0.4122,0.5835,0.8259,0.6853,32.9077,0.9167,8.3264
SPM-42-0074,1485.7507,15.2334,11,7.9853,0.0,air,0.5508,44.9218,3.3195,2.3793,5.0241,8.0679,12.9557,0.8023,1.2234,1.8656,0.5419,32.1476,0.8455,15.4479
SPM-42-0075,1299.112,16.6773,9,10.5212,13.5997,vacuum,0.5535,44.6454,1.2515,0.8462,1.8896,2.6489,3.7133,0.2988,0.4281,0.6133,0.458,31.2314,0.8732,12.6839
SPM-42-0076,1359.6379,16.4207,20,15.0875,0.0,air,0.6493,35.0735,0.9788,0.7839,1.5253,2.439,3.8999,0.3714,0.5382,0.7798,0.5866,36.0792,0.8183,18.1743
SPM-42-0077,1317.4703,13.5104,14,16.2466,0.0,vacuum,0.5956,40.4373,0.7843,0.6047,1.161,1.8238,2.865,0.2425,0.3506,0.5068,0.5319,34.3764,0.8264,17.361
SPM-42-0078,1402.5474,14.2231,95,19.0788,0.0,hydrogen,0.5115,48.8467,0.8741,0.8181,2.0097,2.8921,4.162,0.2212,0.3352,0.5078,0.7053,35.7105,0.8906,10.9355
SPM-42-0079,1405.9386,14.4917,51,19.9753,0.0,nitrogen,0.6279,37.2076,0.9597,0.9479,1.8289,2.7854,4.2423,0.3226,0.5064,0.7948,0.5578,32.0516,0.8545,14.553
SPM-42-0080,1525.681,14.8126,163,18.6918,0.0,nitrogen,0.5542,44.5776,2.1523,1.6869,5.3614,8.8686,14.6699,0.6115,0.9569,1.4973,0.715,35.8292,0.8478,15.2185
SPM-42-0081,1305.3976,9.3698,32,12.3482,33.9052,hydrogen,0.5675,43.2504,1.944,1.6575,2.6894,3.8836,5.6082,0.571,0.8532,1.2748,0.5403,33.7904,0.8584,14.1617
SPM-42-0082,1261.3304,14.768,132,8.2284,43.067,argon,0.5376,46.2409,1.9921,1.405,4.2271,5.9742,8.4432,0.4445,0.5984,0.8055,0.5558,30.0791,0.8871,11.2883
SPM-42-0083,1381.809,16.8543,11,2.5107,39.696,hydrogen,0.5397,46.0302,0.7927,0.9386,1.2684,1.7331,2.3681,0.2967,0.4527,0.6905,0.5372,30.8329,0.8516,14.8353
SPM-42-0084,1326.7721,14.395,106,4.8454,0.0,hydrogen,0.5306,46.9397,1.7365,2.1147,3.998,6.0521,9.1617,0.7394,1.0247,1.42,0.6866,35.5672,0.8743,12.5738
SPM-42-0085,1148.4058,7.2238,157,8.9147,0.0,air,0.6444,35.5597,1.059,1.6249,1.9052,3.0635,4.9259,0.5137,0.8622,1.4469,0.6428,35.3452,0.8685,13.1501
SPM-42-0086,1398.7594,17.1713,73,14.1054,0.0,argon,0.6271,37.2924,0.8616,1.789,1.7631,2.8073,4.4701,0.657,1.0861,1.7953,0.6512,35.17,0.8488,15.1246
SPM-42-0087,1594.5454,14.2472,24,4.1386,0.0,air,0.6192,38.0765,2.0255,1.6242,4.818,7.7458,12.4527,0.5046,0.7787,1.2017,0.6156,32.8215,0.8603,13.9745
SPM-42-0088,1263.9829,13.0352,157,4.925,18.4655,vacuum,0.5505,44.9544,2.909,2.3176,6.8395,10.2266,15.291,0.7125,1.0642,1.5894,0.559,33.0032,0.8709,12.9095
SPM-42-0089,1337.2951,19.4073,148,16.0923,0.0,vacuum,0.6082,39.179,1.6495,1.5909,3.4488,5.6581,9.2827,0.6052,0.9382,1.4545,0.6729,35.7068,0.8719,12.8092
SPM-42-0090,1256.8462,4.7258,105,14.429,0.0,argon,0.5917,40.8278,1.2571,1.7661,2.448,3.6942,5.5748,0.6597,1.1,1.8343,0.6036,31.6115,0.8006,19.9428
SPM-42-0091,1437.9343,17.6178,177,14.2534,0.0,argon,0.5726,42.7373,2.7291,2.5227,5.6992,8.9809,14.1524,0.915,1.2811,1.7936,0.6858,38.2536,0.8835,11.6549
SPM-42-0092,1371.5954,18.1237,88,9.1016,41.2077,air,0.5436,45.6432,0.7442,0.7338,1.732,2.2013,2.7978,0.215,0.3033,0.4278,0.5805,31.6219,0.8888,11.116
SPM-42-0093,1221.229,14.057,163,11.5587,0.0,hydrogen,0.515,48.497,1.1073,1.1792,2.2958,3.5841,5.5954,0.4101,0.5323,0.6907,0.5883,34.2067,0.8393,16.0685
SPM-42-0094,1477.9555,7.1704,15,7.1375,9.0257,argon,0.5861,41.388,1.6909,2.0911,3.1239,4.8687,7.588,0.4662,0.7223,1.119,0.5998,38.4564,0.9323,6.7739
SPM-42-0095,1242.2808,19.8038,126,11.7794,11.039,nitrogen,0.5756,42.4368,0.4889,0.4811,0.9356,1.3425,1.9263,0.122,0.1824,0.2727,0.6107,33.0496,0.9192,8.0761
SPM-42-0096,1405.4772,13.4971,109,9.2988,0.0,air,0.513,48.6989,1.8246,1.3061,4.5574,7.1532,11.2273,0.3379,0.4611,0.6294,0.7201,39.3068,0.8763,12.3704
SPM-42-0097,1446.3843,3.1182,78,4.128,0.0,hydrogen,0.6029,39.7089,3.4128,2.3738,7.9101,12.4594,19.6251,0.8156,1.2089,1.7917,0.6443,30.6679,0.8821,11.7938
SPM-42-0098,1478.6753,16.4359,63,16.8609,31.8117,air,0.6181,38.1894,1.5785,1.0009,2.7695,3.9257,5.5646,0.2671,0.4138,0.6413,0.6699,32.5775,0.935,6.4996
SPM-42-0099,1458.459,10.7989,114,18.18,25.4045,vacuum,0.577,42.3013,1.4365,1.1784,3.0679,4.5082,6.6247,0.323,0.4189,0.5432,0.6907,36.3306,0.94,6.0039
SPM-42-0100,1131.88,19.8942,17,18.8225,26.2432,hydrogen,0.5431,45.6936,1.0578,1.3841,0.9985,1.2943,1.6777,0.5505,0.8074,1.1842,0.4746,35.465,0.816,18.4017
SPM-42-0101,1166.4949,17.4852,137,4.1354,0.0,air,0.5191,48.0898,1.3247,1.1402,2.3812,3.7495,5.904,0.3755,0.6168,1.0132,0.6134,33.7594,0.8336,16.6447
SPM-42-0102,1430.0988,13.0686,4,18.8523,0.0,air,0.5101,48.9906,1.7605,3.0706,3.0514,4.4894,6.605,0.9329,1.3247,1.881,0.5753,34.9653,0.8718,12.8158
SPM-42-0103,1558.1985,12.37,172,12.3945,15.6607,vacuum,0.6314,36.8561,1.3404,1.2768,3.7582,5.6544,8.5075,0.323,0.4693,0.6817,0.6755,37.8911,0.9379,6.2061
SPM-42-0104,1290.5773,11.4403,104,14.5336,0.0,vacuum,0.5565,44.3531,2.3665,2.1487,4.3941,6.2693,8.9448,0.6369,0.8917,1.2484,0.6411,34.882,0.8811,11.8938
SPM-42-0105,1423.3529,18.6001,23,17.2484,0.0,air,0.6244,37.5589,0.7604,0.9123,1.3285,1.9826,2.9588,0.3089,0.4515,0.6598,0.6221,38.6563,0.8706,12.9366
SPM-42-0106,1251.594,18.3619,48,5.8125,10.2792,hydrogen,0.6499,35.0064,1.4611,1.345,2.3111,3.2302,4.5147,0.5754,0.8849,1.3608,0.5563,30.7889,0.829,17.1038
SPM-42-0107,1149.3041,19.6637,81,10.4508,21.6817,hydrogen,0.5621,43.791,1.6181,1.1959,2.2151,3.0742,4.2664,0.3934,0.6057,0.9325,0.4998,34.5898,0.8619,13.8062
SPM-42-0108,1349.6507,13.7829,65,14.3272,26.9879,air,0.6085,39.1466,2.2813,1.9846,3.8889,5.9775,9.1878,0.4934,0.7943,1.2788,0.5661,33.7389,0.8829,11.7058
SPM-42-0109,1508.998,2.8733,35,2.1149,15.4145,argon,0.6061,39.3925,1.0968,1.3324,2.8001,4.0042,5.726,0.402,0.5928,0.8742,0.5785,33.2762,0.8949,10.5147
SPM-42-0110,1588.7397,2.3086,172,16.6368,0.0,argon,0.641,35.9043,1.5462,1.4126,3.6716,5.9919,9.7784,0.3775,0.5628,0.8389,0.7907,36.6548,0.9246,7.5417
SPM-42-0111,1140.3085,19.8501,8,13.6981,0.0,vacuum,0.5569,44.311,1.5811,1.3486,1.2653,1.9219,2.9192,0.4849,0.7509,1.163,0.5386,33.1353,0.8434,15.6637
SPM-42-0112,1534.0584,17.976,11,10.559,35.7993,nitrogen,0.5421,45.7944,1.6891,1.2436,3.0925,4.1512,5.5723,0.3396,0.4723,0.6568,0.5279,32.2578,0.9161,8.3934
SPM-42-0113,1472.7283,8.2255,59,3.7583,20.3267,hydrogen,0.6154,38.4649,3.0552,2.2262,6.6797,9.6984,14.0815,0.675,0.9795,1.4215,0.5736,31.0455,0.8984,10.1592
SPM-42-0114,1456.5543,3.4767,162,4.776,0.0,vacuum,0.5584,44.1557,1.298,1.8214,3.5372,5.2982,7.9358,0.5739,0.7965,1.1054,0.705,38.2495,0.9003,9.9678
SPM-42-0115,1398.4623,16.1199,3,17.5469,0.0,air,0.5582,44.183,1.6278,1.3154,2.3222,3.6388,5.7019,0.3936,0.5933,0.8944,0.5672,33.4235,0.8595,14.0525
SPM-42-0116,1225.8499,6.4386,152,13.2506,25.6038,hydrogen,0.5203,47.9677,0.6944,1.1918,1.522,2.1956,3.1675,0.3492,0.473,0.6406,0.5801,31.1443,0.8766,12.3351
SPM-42-0117,1339.5049,5.1975,81,9.1683,0.0,vacuum,0.6042,39.5756,1.4703,1.1258,3.1319,4.9628,7.8639,0.37,0.5445,0.8014,0.5855,32.8532,0.8488,15.1217
SPM-42-0118,1375.0496,19.1541,53,10.3092,0.0,argon,0.5437,45.63,4.098,3.1883,7.3045,11.0668,16.767,0.9781,1.4457,2.137,0.5998,36.2776,0.8433,15.6655
SPM-42-0119,1300.4025,11.119,177,18.5671,0.0,air,0.5055,49.4485,3.0985,2.0215,6.1349,9.3032,14.1077,0.6393,0.8369,1.0957,0.6832,35.2921,0.8711,12.8919
SPM-42-0120,1498.1155,3.907,56,3.7749,0.0,vacuum,0.5778,42.218,1.7938,1.4357,4.3706,6.8116,10.6158,0.4668,0.7319,1.1477,0.6682,36.328,0.8579,14.2065
SPM-42-0121,1570.3381,4.5502,116,7.614,28.4502,air,0.5522,44.7755,1.4296,1.0249,4.6887,6.0445,7.7923,0.2774,0.3565,0.4582,0.6634,34.6926,0.9404,5.9647
SPM-42-0122,1313.1847,10.317,161,16.3596,0.0,nitrogen,0.5961,40.3928,1.4043,1.317,3.2242,5.1389,8.1907,0.5106,0.7775,1.1838,0.6434,38.1231,0.8529,14.7078
SPM-42-0123,1193.4799,7.8677,67,10.2359,27.0268,argon,0.6449,35.5113,1.1247,1.0206,1.846,2.6093,3.6884,0.3208,0.4376,0.5969,0.5819,32.3309,0.9009,9.9063
SPM-42-0124,1436.055,7.6373,29,6.2943,0.0,air,0.604,39.5985,1.5266,1.1135,3.2218,4.5613,6.4575,0.3145,0.4488,0.6404,0.5918,34.9417,0.8399,16.0137
SPM-42-0125,1325.5005,2.965,2,8.4627,0.0,argon,0.5293,47.0731,1.1685,1.2471,2.0738,3.1193,4.6917,0.4115,0.6407,0.9977,0.5651,31.9478,0.8502,14.9824
SPM-42-0126,1116.3475,6.0472,117,7.1961,0.0,argon,0.6159,38.4118,1.4865,1.3426,2.8778,4.5192,7.0968,0.401,0.581,0.8417,0.6192,31.4741,0.8718,12.8183
SPM-42-0127,1426.8359,6.4556,8,17.7466,0.0,nitrogen,0.5523,44.7713,2.5555,1.6087,3.9793,6.5437,10.7606,0.5138,0.7245,1.0216,0.6064,35.173,0.8714,12.8622
SPM-42-0128,1203.4714,3.0684,71,8.3147,0.0,argon,0.5253,47.4743,2.8417,4.2108,4.736,7.7361,12.6367,1.4974,2.0941,2.9286,0.5998,33.4972,0.8721,12.7869
SPM-42-0129,1450.7133,4.3884,82,4.6324,39.2663,argon,0.6014,39.8565,1.4651,1.128,3.7417,4.8973,6.4097,0.2859,0.4255,0.6333,0.618,38.9809,0.9473,5.2694
SPM-42-0130,1284.5356,19.1046,0,7.8912,43.1225,hydrogen,0.514,48.6029,5.1932,3.8372,6.157,8.405,11.4736,1.334,1.8299,2.5102,0.4939,33.9922,0.8701,12.992
