grain_id,equivalent_diameter_um
446,9.209
447,11.734
448,8.693
449,10.753
450,17.56
451,5.962
452,6.916
453,13.291
454,8.091
455,7.253
456,9.842
457,12.302
458,7.273
459,11.124
460,7.009
461,8.316
462,8.494
463,13.648
464,10.367
465,8.255
466,6.445
467,18.405
468,11.242
469,17.316
470,5.997
471,8.717
472,8.462
473,9.768
474,11.912
475,8.622
476,7.632
477,6.91
478,9.557
479,12.959
480,20.744
481,8.142
482,13.801
483,14.626
484,8.945
485,16.784
486,8.542
487,12.663
488,8.915
489,9.261
490,9.003
491,17.208
492,12.521
493,9.088
494,10.638
495,10.254
496,8.809
497,9.972
498,15.984
499,8.396
500,9.021
501,32.552
502,10.12
503,9.203
504,8.4
505,16.432
506,14.89
507,20.279
508,5.698
509,8.758
510,12.404
511,11.587
512,6.11
513,6.239
514,13.081
515,8.173
516,9.074
517,9.174
518,9.288
519,12.709
520,10.347
521,8.323
522,8.283
523,12.559
524,6.521
525,8.033
526,10.712
527,14.936
528,11.051
529,14.192
530,12.24
531,5.992
532,13.024
533,14.162
534,5.246
535,8.137
536,16.149
537,11.282
538,16.037
539,18.646
540,8.73
541,15.576
542,6.946
543,7.19
544,11.025
545,9.226
546,12.755
547,11.253
548,6.87
549,12.642
550,8.379
551,12.756
552,14.084
553,6.697
554,19.103
555,22.42
556,8.946
557,9.14
558,9.827
559,10.462
560,12.836
561,9.021
562,10.994
563,7.841
564,13.237
565,7.629
566,15.088
567,11.731
568,7.573
569,10.196
570,14.736
571,9.528
572,8.56
573,11.932
574,10.097
575,10.262
576,11.352
577,10.125
578,9.647
579,19.206
580,20.523
581,16.892
582,10.581
583,7.939
584,12.367
585,13.386
586,12.331
587,6.343
588,10.529
589,16.586
590,5.769
591,14.568
592,6.103
593,9.697
594,12.022
595,7.47
596,7.539
597,13.605
598,10.469
599,9.796
600,9.451
601,7.938
602,7.578
603,9.413
604,12.026
605,10.879
606,10.311
607,5.362
608,6.661
609,9.811
610,9.961
611,6.378
612,8.41
613,13.029
614,17.305
615,14.662
616,15.741
617,11.832
618,16.082
619,9.208
620,18.075
621,22.911
622,5.919
623,9.422
624,9.469
625,19.515
626,8.196
627,19.357
628,13.268
629,11.847
630,9.92
631,8.636
632,10.045
633,8.893
634,12.307
635,5.773
636,9.039
637,12.658
638,8.144
639,12.254
640,7.109
641,9.619
642,14.965
643,12.135
644,11.66
645,12.289
646,10.598
647,10.566
648,11.735
649,9.849
650,6.84
651,12.705
652,9.148
653,5.234
654,7.016
655,11.506
656,7.83
657,9.703
658,6.674
659,7.003
660,9.045
661,5.572
662,8.185
663,13.025
664,6.732
665,7.221
666,10.366
667,9.376
668,12.252
669,13.005
670,13.564
671,14.088
672,14.741
673,9.983
674,8.72
675,6.608
676,10.121
677,13.013
678,10.873
679,5.69
680,6.557
681,10.992
682,9.275
683,8.59
684,9.278
685,7.149
686,7.424
687,12.487
688,9.753
689,6.796
690,7.067
691,8.619
692,8.132
693,8.879
694,10.829
695,9.663
696,9.626
697,12.206
698,8.5
699,9.705
700,6.926
701,9.251
702,15.264
703,5.281
704,13.002
705,7.02
706,6.012
707,6.819
708,7.22
709,10.512
710,12.93
711,10.454
712,9.715
713,5.872
714,6.614
715,7.961
716,9.663
717,8.496
718,8.38
719,11.926
720,10.471
721,9.561
722,7.793
723,24.736
724,14.612
725,6.123
726,9.878
727,10.226
728,13.853
729,13.026
730,9.266
731,9.861
732,9.796
733,21.114
734,8.559
735,6.365
736,13.167
737,9.045
738,8.205
739,11.443
740,11.857
741,11.181
742,8.205
743,10.61
744,5.821
745,8.794
746,11.321
747,12.653
748,22.078
749,9.736
750,8.237
751,6.62
752,12.596
753,9.329
754,11.513
755,5.018
756,11.499
757,12.139
758,8.394
759,13.76
760,11.845
761,17.36
762,4.601
763,15.278
764,12.519
765,16.877
766,11.432
767,8.953
768,8.203
769,8.324
770,13.576
771,9.161
772,13.24
773,8.737
774,12.387
775,8.695
776,13.207
777,9.246
778,18.732
779,9.648
780,6.088
781,14.341
782,8.802
783,10.017
784,8.937
785,12.235
786,8.669
787,9.127
788,8.729
789,4.654
790,7.041
791,8.728
792,10.515
793,5.667
794,7.387
795,14.274
796,8.584
797,7.875
798,12.101
799,10.009
800,7.691
801,12.175
802,7.071
803,5.895
804,10.28
805,16.382
806,10.444
807,12.036
808,10.539
809,10.941
810,7.243
811,11.065
812,10.895
813,8.582
814,12.665
815,13.214
816,5.858
817,10.967
818,13.809
819,10.02
820,13.542
821,6.972
822,5.675
823,5.296
824,9.812
825,7.679
826,11.594
827,8.512
828,11.152
829,14.109
830,11.082
831,6.74
832,10.452
833,10.4
834,10.868
835,7.498
836,16.698
837,12.675
838,8.821
839,8.427
840,11.403
841,6.052
842,8.712
843,15.779
844,12.621
845,13.917
846,8.934
847,9.453
848,13.124
849,9.239
850,5.475
851,11.706
852,11.265
853,7.765
854,10.688
855,9.855
856,6.991
857,7.433
858,6.715
859,17.886
860,8.212
861,14.537
862,9.211
863,6.479
864,5.42
865,4.362
866,8.62
867,13.571
868,8.713
869,8.875
870,10.63
871,10.214
872,9.688
873,7.057
874,6.7
875,11.247
876,7.549
877,11.202
878,6.309
879,8.941
880,17.265
881,11.167
882,12.528
883,6.146
884,9.852
885,18.754
886,7.151
887,9.461
888,12.565
889,12.833
890,8.534
891,8.78
892,13.873
893,11.452
894,10.203
895,10.614
896,11.381
897,13.146
898,14.63
899,8.109
900,8.812
901,10.328
902,18.553
903,10.656
904,7.692
905,10.951
906,9.738
907,7.307
908,9.663
909,10.72
910,9.125
911,12.422
912,14.702
913,10.747
914,12.51
915,9.63
916,10.196
917,12.982
918,9.23
919,6.964
920,16.185
921,11.593
922,12.078
923,11.303
924,14.902
925,8.009
926,10.482
927,10.009
928,5.52
929,7.679
930,5.474
931,16.211
932,9.687
933,8.375
934,10.833
935,11.209
936,14.224
937,6.53
938,9.689
939,10.983
940,11.872
941,10.142
942,6.154
943,7.527
944,11.485
945,10.107
946,9.423
947,13.492
948,7.522
949,20.302
950,10.607
951,11.668
952,17.5
953,13.418
954,9.956
955,4.883
956,10.4
957,11.688
958,11.279
959,6.675
960,11.959
961,13.989
962,9.376
963,10.722
964,15.826
965,12.162
966,12.337
967,11.949
968,9.112
969,16.396
970,10.679
971,10.379
972,12.734
973,9.911
974,12.011
975,13.755
976,17.858
977,14.295
978,10.499
979,10.677
980,6.844
981,4.788
982,5.771
983,16.345
984,10.581
985,8.184
986,18.453
987,8.406
988,14.236
989,8.775
990,10.525
991,11.029
992,11.01
993,11.07
994,10.059
995,10.137
996,6.355
997,7.292
998,13.894
999,15.677
1000,14.157
