x_um,y_um,porosity_fraction
7.0,9.0,0.0869
7.0,11.0,0.0859
7.0,13.0,0.0862
7.0,15.0,0.0846
7.0,17.0,0.1052
7.0,19.0,0.0952
7.0,21.0,0.0885
7.0,23.0,0.0599
7.0,25.0,0.0867
7.0,27.0,0.0956
7.0,29.0,0.1029
7.0,31.0,0.0897
7.0,33.0,0.0938
7.0,35.0,0.0882
7.0,37.0,0.1087
7.0,39.0,0.0915
7.0,41.0,0.0972
7.0,43.0,0.0939
7.0,45.0,0.0876
7.0,47.0,0.0912
7.0,49.0,0.0831
7.0,51.0,0.0894
7.0,53.0,0.0949
7.0,55.0,0.09
7.0,57.0,0.0938
7.0,59.0,0.1005
7.0,61.0,0.0961
7.0,63.0,0.0882
7.0,65.0,0.0874
7.0,67.0,0.0862
7.0,69.0,0.0936
7.0,71.0,0.0828
7.0,73.0,0.0697
7.0,75.0,0.0773
7.0,77.0,0.0812
7.0,79.0,0.0724
7.0,81.0,0.077
7.0,83.0,0.0674
7.0,85.0,0.0922
7.0,87.0,0.0789
7.0,89.0,0.0771
7.0,91.0,0.072
7.0,93.0,0.0533
7.0,95.0,0.0761
7.0,97.0,0.0668
7.0,99.0,0.0786
7.0,101.0,0.077
7.0,103.0,0.0671
7.0,105.0,0.0589
7.0,107.0,0.0841
7.0,109.0,0.0682
7.0,111.0,0.0642
7.0,113.0,0.0663
7.0,115.0,0.0635
7.0,117.0,0.078
7.0,119.0,0.0528
7.0,121.0,0.0632
7.0,123.0,0.0781
7.0,125.0,0.0791
7.0,127.0,0.0766
7.0,129.0,0.0716
7.0,131.0,0.071
7.0,133.0,0.0635
7.0,135.0,0.0618
7.0,137.0,0.0731
7.0,139.0,0.0692
7.0,141.0,0.0574
7.0,143.0,0.078
7.0,145.0,0.0773
7.0,147.0,0.0819
7.0,149.0,0.0605
7.0,151.0,0.0508
7.0,153.0,0.0675
7.0,155.0,0.0626
7.0,157.0,0.0722
7.0,159.0,0.0916
9.0,1.0,0.0924
9.0,3.0,0.0813
9.0,5.0,0.0767
9.0,7.0,0.0939
9.0,9.0,0.098
9.0,11.0,0.0824
9.0,13.0,0.0947
9.0,15.0,0.0768
9.0,17.0,0.084
9.0,19.0,0.1031
9.0,21.0,0.0905
9.0,23.0,0.0974
9.0,25.0,0.0993
9.0,27.0,0.1084
9.0,29.0,0.1022
9.0,31.0,0.0932
9.0,33.0,0.1141
9.0,35.0,0.0929
9.0,37.0,0.0987
9.0,39.0,0.0933
9.0,41.0,0.1024
9.0,43.0,0.0884
9.0,45.0,0.1022
9.0,47.0,0.1122
9.0,49.0,0.0821
9.0,51.0,0.0946
9.0,53.0,0.0879
9.0,55.0,0.0973
9.0,57.0,0.0921
9.0,59.0,0.0784
9.0,61.0,0.0917
9.0,63.0,0.0904
9.0,65.0,0.0876
9.0,67.0,0.0995
9.0,69.0,0.1068
9.0,71.0,0.0823
9.0,73.0,0.0976
9.0,75.0,0.0719
9.0,77.0,0.0772
9.0,79.0,0.073
9.0,81.0,0.0827
9.0,83.0,0.0862
9.0,85.0,0.0832
9.0,87.0,0.0906
9.0,89.0,0.0749
9.0,91.0,0.072
9.0,93.0,0.0692
9.0,95.0,0.083
9.0,97.0,0.0835
9.0,99.0,0.0816
9.0,101.0,0.0627
9.0,103.0,0.051
9.0,105.0,0.0671
9.0,107.0,0.0806
9.0,109.0,0.0639
9.0,111.0,0.0598
9.0,113.0,0.0627
9.0,115.0,0.0592
9.0,117.0,0.0641
9.0,119.0,0.0704
9.0,121.0,0.0465
9.0,123.0,0.0744
9.0,125.0,0.0476
9.0,127.0,0.0713
9.0,129.0,0.0666
9.0,131.0,0.0495
9.0,133.0,0.0674
9.0,135.0,0.0638
9.0,137.0,0.0615
9.0,139.0,0.079
9.0,141.0,0.0548
9.0,143.0,0.0651
9.0,145.0,0.0597
9.0,147.0,0.0934
9.0,149.0,0.0806
9.0,151.0,0.0764
9.0,153.0,0.0674
9.0,155.0,0.101
9.0,157.0,0.0816
9.0,159.0,0.0743
11.0,1.0,0.07
11.0,3.0,0.0899
11.0,5.0,0.0788
11.0,7.0,0.0828
11.0,9.0,0.0691
11.0,11.0,0.1062
11.0,13.0,0.0994
11.0,15.0,0.0864
11.0,17.0,0.0894
11.0,19.0,0.1112
11.0,21.0,0.1023
11.0,23.0,0.0879
11.0,25.0,0.1151
11.0,27.0,0.0958
11.0,29.0,0.0925
11.0,31.0,0.1202
11.0,33.0,0.1075
11.0,35.0,0.1135
11.0,37.0,0.0977
11.0,39.0,0.1026
11.0,41.0,0.1203
11.0,43.0,0.1124
11.0,45.0,0.1024
11.0,47.0,0.1038
11.0,49.0,0.0939
11.0,51.0,0.094
11.0,53.0,0.1213
11.0,55.0,0.1086
11.0,57.0,0.0812
11.0,59.0,0.0984
11.0,61.0,0.1159
11.0,63.0,0.0861
11.0,65.0,0.0799
11.0,67.0,0.0885
11.0,69.0,0.0889
11.0,71.0,0.0789
11.0,73.0,0.1017
11.0,75.0,0.1
11.0,77.0,0.0809
11.0,79.0,0.0851
11.0,81.0,0.0838
11.0,83.0,0.0701
11.0,85.0,0.0745
11.0,87.0,0.0744
11.0,89.0,0.0759
11.0,91.0,0.0867
11.0,93.0,0.0673
11.0,95.0,0.064
11.0,97.0,0.0736
11.0,99.0,0.0474
11.0,101.0,0.0543
11.0,103.0,0.066
11.0,105.0,0.07
11.0,107.0,0.0613
11.0,109.0,0.0617
11.0,111.0,0.0522
11.0,113.0,0.0477
11.0,115.0,0.0698
11.0,117.0,0.0586
11.0,119.0,0.0648
11.0,121.0,0.0397
11.0,123.0,0.0689
11.0,125.0,0.0531
11.0,127.0,0.0528
11.0,129.0,0.039
11.0,131.0,0.0598
11.0,133.0,0.0596
11.0,135.0,0.0752
11.0,137.0,0.0629
11.0,139.0,0.0542
11.0,141.0,0.0566
11.0,143.0,0.048
11.0,145.0,0.0676
11.0,147.0,0.0662
11.0,149.0,0.0773
11.0,151.0,0.0594
11.0,153.0,0.0654
11.0,155.0,0.0753
11.0,157.0,0.0675
11.0,159.0,0.0689
13.0,1.0,0.0784
13.0,3.0,0.096
13.0,5.0,0.0882
13.0,7.0,0.0923
13.0,9.0,0.0956
13.0,11.0,0.0918
13.0,13.0,0.0949
13.0,15.0,0.0732
13.0,17.0,0.1192
13.0,19.0,0.1048
13.0,21.0,0.1094
13.0,23.0,0.0924
13.0,25.0,0.1069
13.0,27.0,0.1044
13.0,29.0,0.1071
13.0,31.0,0.1032
13.0,33.0,0.1033
13.0,35.0,0.1
13.0,37.0,0.1132
13.0,39.0,0.1096
13.0,41.0,0.0999
13.0,43.0,0.1076
13.0,45.0,0.1055
13.0,47.0,0.0876
13.0,49.0,0.1061
13.0,51.0,0.1084
13.0,53.0,0.1142
13.0,55.0,0.0978
13.0,57.0,0.0918
13.0,59.0,0.0895
13.0,61.0,0.093
13.0,63.0,0.0997
13.0,65.0,0.0994
13.0,67.0,0.0904
13.0,69.0,0.0804
13.0,71.0,0.0856
13.0,73.0,0.0881
13.0,75.0,0.0946
13.0,77.0,0.0808
13.0,79.0,0.0693
13.0,81.0,0.0721
13.0,83.0,0.0628
13.0,85.0,0.0667
13.0,87.0,0.0696
13.0,89.0,0.0608
13.0,91.0,0.0789
13.0,93.0,0.0656
13.0,95.0,0.0676
13.0,97.0,0.0599
13.0,99.0,0.0626
13.0,101.0,0.0649
13.0,103.0,0.063
13.0,105.0,0.048
13.0,107.0,0.0704
13.0,109.0,0.0706
13.0,111.0,0.0468
13.0,113.0,0.0563
13.0,115.0,0.0649
13.0,117.0,0.0483
13.0,119.0,0.0566
13.0,121.0,0.0561
13.0,123.0,0.0503
13.0,125.0,0.0265
13.0,127.0,0.0642
13.0,129.0,0.0661
13.0,131.0,0.0462
13.0,133.0,0.0697
13.0,135.0,0.0533
13.0,137.0,0.0474
13.0,139.0,0.0423
13.0,141.0,0.0582
13.0,143.0,0.0604
13.0,145.0,0.095
13.0,147.0,0.0813
13.0,149.0,0.0652
13.0,151.0,0.0701
13.0,153.0,0.0831
13.0,155.0,0.0749
13.0,157.0,0.0727
13.0,159.0,0.0815
15.0,1.0,0.0767
15.0,3.0,0.0772
15.0,5.0,0.0847
15.0,7.0,0.0832
15.0,9.0,0.1047
15.0,11.0,0.0744
15.0,13.0,0.0902
15.0,15.0,0.0817
15.0,17.0,0.085
15.0,19.0,0.1048
15.0,21.0,0.0908
15.0,23.0,0.1004
15.0,25.0,0.0979
15.0,27.0,0.1004
15.0,29.0,0.0965
15.0,31.0,0.1336
15.0,33.0,0.1019
15.0,35.0,0.1254
15.0,37.0,0.1026
15.0,39.0,0.113
15.0,41.0,0.1233
15.0,43.0,0.1136
15.0,45.0,0.1203
15.0,47.0,0.1067
15.0,49.0,0.1026
15.0,51.0,0.0882
15.0,53.0,0.1065
15.0,55.0,0.0955
15.0,57.0,0.1353
15.0,59.0,0.0986
15.0,61.0,0.1014
15.0,63.0,0.1032
15.0,65.0,0.0822
15.0,67.0,0.0967
15.0,69.0,0.0916
15.0,71.0,0.0856
15.0,73.0,0.0716
15.0,75.0,0.0785
15.0,77.0,0.0778
15.0,79.0,0.0868
15.0,81.0,0.0642
15.0,83.0,0.0647
15.0,85.0,0.0802
15.0,87.0,0.0773
15.0,89.0,0.0773
15.0,91.0,0.0568
15.0,93.0,0.07
15.0,95.0,0.0484
15.0,97.0,0.0661
15.0,99.0,0.0574
15.0,101.0,0.0639
15.0,103.0,0.0599
15.0,105.0,0.0344
15.0,107.0,0.051
15.0,109.0,0.0572
15.0,111.0,0.0594
15.0,113.0,0.0454
15.0,115.0,0.0603
15.0,117.0,0.0481
15.0,119.0,0.045
15.0,121.0,0.0556
15.0,123.0,0.0493
15.0,125.0,0.0598
15.0,127.0,0.0555
15.0,129.0,0.0667
15.0,131.0,0.0409
15.0,133.0,0.038
15.0,135.0,0.0449
15.0,137.0,0.0619
15.0,139.0,0.0534
15.0,141.0,0.075
15.0,143.0,0.0684
15.0,145.0,0.0591
15.0,147.0,0.0549
15.0,149.0,0.0541
15.0,151.0,0.0558
15.0,153.0,0.0696
15.0,155.0,0.0908
15.0,157.0,0.0892
15.0,159.0,0.0723
17.0,1.0,0.0753
17.0,3.0,0.0613
17.0,5.0,0.0862
17.0,7.0,0.0806
17.0,9.0,0.0933
17.0,11.0,0.1
17.0,13.0,0.0915
17.0,15.0,0.1087
17.0,17.0,0.1092
17.0,19.0,0.1007
17.0,21.0,0.1071
17.0,23.0,0.1142
17.0,25.0,0.1141
17.0,27.0,0.1234
17.0,29.0,0.0879
17.0,31.0,0.1073
17.0,33.0,0.1141
17.0,35.0,0.0954
17.0,37.0,0.1079
17.0,39.0,0.1261
17.0,41.0,0.1157
17.0,43.0,0.106
17.0,45.0,0.1158
17.0,47.0,0.1138
17.0,49.0,0.1101
17.0,51.0,0.0995
17.0,53.0,0.1
17.0,55.0,0.0933
17.0,57.0,0.1015
17.0,59.0,0.0971
17.0,61.0,0.0915
17.0,63.0,0.1137
17.0,65.0,0.0928
17.0,67.0,0.1045
17.0,69.0,0.1095
17.0,71.0,0.0851
17.0,73.0,0.0955
17.0,75.0,0.0861
17.0,77.0,0.0947
17.0,79.0,0.084
17.0,81.0,0.0905
17.0,83.0,0.0774
17.0,85.0,0.0654
17.0,87.0,0.0591
17.0,89.0,0.067
17.0,91.0,0.0629
17.0,93.0,0.0588
17.0,95.0,0.0575
17.0,97.0,0.0578
17.0,99.0,0.0403
17.0,101.0,0.045
17.0,103.0,0.0476
17.0,105.0,0.0387
17.0,107.0,0.0511
17.0,109.0,0.0467
17.0,111.0,0.0606
17.0,113.0,0.0654
17.0,115.0,0.0625
17.0,117.0,0.0461
17.0,119.0,0.045
17.0,121.0,0.0381
17.0,123.0,0.0359
17.0,125.0,0.0387
17.0,127.0,0.0461
17.0,129.0,0.047
17.0,131.0,0.035
17.0,133.0,0.0422
17.0,135.0,0.0481
17.0,137.0,0.0505
17.0,139.0,0.0547
17.0,141.0,0.0524
17.0,143.0,0.0514
17.0,145.0,0.0488
17.0,147.0,0.06
17.0,149.0,0.0683
17.0,151.0,0.0607
17.0,153.0,0.0815
17.0,155.0,0.0762
17.0,157.0,0.0893
17.0,159.0,0.071
19.0,1.0,0.0784
19.0,3.0,0.1
19.0,5.0,0.0789
19.0,7.0,0.0823
19.0,9.0,0.0955
19.0,11.0,0.0887
19.0,13.0,0.0878
19.0,15.0,0.1011
19.0,17.0,0.103
19.0,19.0,0.1134
19.0,21.0,0.1024
19.0,23.0,0.1095
19.0,25.0,0.1121
19.0,27.0,0.1129
19.0,29.0,0.1174
19.0,31.0,0.1069
19.0,33.0,0.1017
19.0,35.0,0.1192
19.0,37.0,0.115
19.0,39.0,0.1118
19.0,41.0,0.1153
19.0,43.0,0.1019
19.0,45.0,0.1137
19.0,47.0,0.1148
19.0,49.0,0.1359
19.0,51.0,0.1249
19.0,53.0,0.1391
19.0,55.0,0.1168
19.0,57.0,0.0994
19.0,59.0,0.1101
19.0,61.0,0.1136
19.0,63.0,0.115
19.0,65.0,0.1183
19.0,67.0,0.1053
19.0,69.0,0.0887
19.0,71.0,0.0997
19.0,73.0,0.0851
19.0,75.0,0.0853
19.0,77.0,0.0847
19.0,79.0,0.0862
19.0,81.0,0.0899
19.0,83.0,0.0852
19.0,85.0,0.0735
19.0,87.0,0.087
19.0,89.0,0.0758
19.0,91.0,0.0907
19.0,93.0,0.0469
19.0,95.0,0.0536
19.0,97.0,0.052
19.0,99.0,0.0586
19.0,101.0,0.0598
19.0,103.0,0.0662
19.0,105.0,0.0624
19.0,107.0,0.051
19.0,109.0,0.0513
19.0,111.0,0.0453
19.0,113.0,0.0397
19.0,115.0,0.0311
19.0,117.0,0.0412
19.0,119.0,0.046
19.0,121.0,0.0434
19.0,123.0,0.0503
19.0,125.0,0.0434
19.0,127.0,0.0472
19.0,129.0,0.0376
19.0,131.0,0.0529
19.0,133.0,0.0439
19.0,135.0,0.0437
19.0,137.0,0.0552
19.0,139.0,0.0343
19.0,141.0,0.0418
19.0,143.0,0.0617
19.0,145.0,0.0606
19.0,147.0,0.059
19.0,149.0,0.0526
19.0,151.0,0.0671
19.0,153.0,0.0676
19.0,155.0,0.0635
19.0,157.0,0.0791
19.0,159.0,0.0783
21.0,1.0,0.0867
21.0,3.0,0.0956
21.0,5.0,0.1052
21.0,7.0,0.086
21.0,9.0,0.0977
21.0,11.0,0.0847
21.0,13.0,0.1157
21.0,15.0,0.1103
21.0,17.0,0.1013
21.0,19.0,0.1268
21.0,21.0,0.1137
21.0,23.0,0.1146
21.0,25.0,0.1006
21.0,27.0,0.1099
21.0,29.0,0.1033
21.0,31.0,0.1064
21.0,33.0,0.1256
21.0,35.0,0.101
21.0,37.0,0.1307
21.0,39.0,0.1257
21.0,41.0,0.1174
21.0,43.0,0.1261
21.0,45.0,0.0984
21.0,47.0,0.1396
21.0,49.0,0.119
21.0,51.0,0.137
21.0,53.0,0.097
21.0,55.0,0.1213
21.0,57.0,0.1009
21.0,59.0,0.1186
21.0,61.0,0.0938
21.0,63.0,0.1131
21.0,65.0,0.1109
21.0,67.0,0.1097
21.0,69.0,0.1004
21.0,71.0,0.0756
21.0,73.0,0.0867
21.0,75.0,0.0792
21.0,77.0,0.0733
21.0,79.0,0.0669
21.0,81.0,0.0671
21.0,83.0,0.0562
21.0,85.0,0.0713
21.0,87.0,0.065
21.0,89.0,0.072
21.0,91.0,0.0817
21.0,93.0,0.0724
21.0,95.0,0.0516
21.0,97.0,0.0481
21.0,99.0,0.03
21.0,101.0,0.0351
21.0,103.0,0.0486
21.0,105.0,0.034
21.0,107.0,0.0521
21.0,109.0,0.0246
21.0,111.0,0.0429
21.0,113.0,0.0513
21.0,115.0,0.0475
21.0,117.0,0.0292
21.0,119.0,0.043
21.0,121.0,0.0211
21.0,123.0,0.0352
21.0,125.0,0.0297
21.0,127.0,0.0277
21.0,129.0,0.0301
21.0,131.0,0.0459
21.0,133.0,0.0389
21.0,135.0,0.0444
21.0,137.0,0.0516
21.0,139.0,0.0444
21.0,141.0,0.064
21.0,143.0,0.0481
21.0,145.0,0.0519
21.0,147.0,0.0598
21.0,149.0,0.0756
21.0,151.0,0.0613
21.0,153.0,0.0572
21.0,155.0,0.0668
21.0,157.0,0.0922
21.0,159.0,0.084
23.0,1.0,0.087
23.0,3.0,0.079
23.0,5.0,0.0753
23.0,7.0,0.0839
23.0,9.0,0.1065
23.0,11.0,0.1177
23.0,13.0,0.0957
23.0,15.0,0.1028
23.0,17.0,0.1203
23.0,19.0,0.1022
23.0,21.0,0.0923
23.0,23.0,0.1059
23.0,25.0,0.1219
23.0,27.0,0.1336
23.0,29.0,0.1111
23.0,31.0,0.1191
23.0,33.0,0.1181
23.0,35.0,0.1329
23.0,37.0,0.145
23.0,39.0,0.1394
23.0,41.0,0.1175
23.0,43.0,0.1349
23.0,45.0,0.1287
23.0,47.0,0.1138
23.0,49.0,0.1348
23.0,51.0,0.1138
23.0,53.0,0.1085
23.0,55.0,0.1119
23.0,57.0,0.1246
23.0,59.0,0.1091
23.0,61.0,0.1122
23.0,63.0,0.0923
23.0,65.0,0.1143
23.0,67.0,0.1034
23.0,69.0,0.1108
23.0,71.0,0.0991
23.0,73.0,0.0988
23.0,75.0,0.0762
23.0,77.0,0.0925
23.0,79.0,0.0748
23.0,81.0,0.0734
23.0,83.0,0.0823
23.0,85.0,0.0633
23.0,87.0,0.0767
23.0,89.0,0.0492
23.0,91.0,0.0488
23.0,93.0,0.0572
23.0,95.0,0.0793
23.0,97.0,0.0466
23.0,99.0,0.0427
23.0,101.0,0.0507
23.0,103.0,0.0504
23.0,105.0,0.0518
23.0,107.0,0.0286
23.0,109.0,0.0404
23.0,111.0,0.0552
23.0,113.0,0.0291
23.0,115.0,0.0442
23.0,117.0,0.0314
23.0,119.0,0.0324
23.0,121.0,0.0333
23.0,123.0,0.0345
23.0,125.0,0.0456
23.0,127.0,0.0299
23.0,129.0,0.0422
23.0,131.0,0.0577
23.0,133.0,0.054
23.0,135.0,0.0445
23.0,137.0,0.0525
23.0,139.0,0.0374
23.0,141.0,0.0464
23.0,143.0,0.055
23.0,145.0,0.0533
23.0,147.0,0.0538
23.0,149.0,0.0677
23.0,151.0,0.0501
23.0,153.0,0.0725
23.0,155.0,0.0741
23.0,157.0,0.076
23.0,159.0,0.0853
25.0,1.0,0.0856
25.0,3.0,0.0812
25.0,5.0,0.0763
25.0,7.0,0.0927
25.0,9.0,0.097
25.0,11.0,0.0825
25.0,13.0,0.086
25.0,15.0,0.0934
25.0,17.0,0.119
25.0,19.0,0.1058
25.0,21.0,0.1
25.0,23.0,0.0967
25.0,25.0,0.1236
25.0,27.0,0.1318
25.0,29.0,0.1208
25.0,31.0,0.1172
25.0,33.0,0.1271
25.0,35.0,0.145
25.0,37.0,0.1205
25.0,39.0,0.123
25.0,41.0,0.1373
25.0,43.0,0.1173
25.0,45.0,0.1185
25.0,47.0,0.1386
25.0,49.0,0.1238
25.0,51.0,0.1259
25.0,53.0,0.121
25.0,55.0,0.1294
25.0,57.0,0.1069
25.0,59.0,0.1288
25.0,61.0,0.1231
25.0,63.0,0.1258
25.0,65.0,0.117
25.0,67.0,0.1037
25.0,69.0,0.0969
25.0,71.0,0.1003
25.0,73.0,0.0775
25.0,75.0,0.0974
25.0,77.0,0.0901
25.0,79.0,0.0969
25.0,81.0,0.0858
25.0,83.0,0.0634
25.0,85.0,0.0865
25.0,87.0,0.0804
25.0,89.0,0.0869
25.0,91.0,0.061
25.0,93.0,0.058
25.0,95.0,0.0789
25.0,97.0,0.0617
25.0,99.0,0.0534
25.0,101.0,0.0355
25.0,103.0,0.0349
25.0,105.0,0.031
25.0,107.0,0.0303
25.0,109.0,0.0528
25.0,111.0,0.0387
25.0,113.0,0.0368
25.0,115.0,0.0461
25.0,117.0,0.0351
25.0,119.0,0.0412
25.0,121.0,0.0265
25.0,123.0,0.0326
25.0,125.0,0.0424
25.0,127.0,0.0475
25.0,129.0,0.0105
25.0,131.0,0.021
25.0,133.0,0.0399
25.0,135.0,0.0292
25.0,137.0,0.0458
25.0,139.0,0.0442
25.0,141.0,0.0369
25.0,143.0,0.0306
25.0,145.0,0.0209
25.0,147.0,0.0467
25.0,149.0,0.0475
25.0,151.0,0.0627
25.0,153.0,0.0608
25.0,155.0,0.0515
25.0,157.0,0.0666
25.0,159.0,0.0625
27.0,1.0,0.0866
27.0,3.0,0.0862
27.0,5.0,0.1026
27.0,7.0,0.079
27.0,9.0,0.094
27.0,11.0,0.0926
27.0,13.0,0.1066
27.0,15.0,0.1078
27.0,17.0,0.1061
27.0,19.0,0.0998
27.0,21.0,0.1154
27.0,23.0,0.1245
27.0,25.0,0.1177
27.0,27.0,0.1264
27.0,29.0,0.1265
27.0,31.0,0.1234
27.0,33.0,0.1363
27.0,35.0,0.1189
27.0,37.0,0.135
27.0,39.0,0.1311
27.0,41.0,0.1158
27.0,43.0,0.1241
27.0,45.0,0.1353
27.0,47.0,0.1345
27.0,49.0,0.1369
27.0,51.0,0.1197
27.0,53.0,0.1297
27.0,55.0,0.1033
27.0,57.0,0.1091
27.0,59.0,0.1154
27.0,61.0,0.1117
27.0,63.0,0.1132
27.0,65.0,0.1134
27.0,67.0,0.1317
27.0,69.0,0.0994
27.0,71.0,0.1054
27.0,73.0,0.1018
27.0,75.0,0.0933
27.0,77.0,0.0897
27.0,79.0,0.0929
27.0,81.0,0.0811
27.0,83.0,0.0911
27.0,85.0,0.0657
