wavenumber_cm_1,absorbance
2792,0.1175
2788,0.1038
2784,0.0887
2780,0.0691
2776,0.0861
2772,0.0873
2768,0.0727
2764,0.0662
2760,0.081
2756,0.046
2752,0.0707
2748,0.0701
2744,0.0627
2740,0.0821
2736,0.0777
2732,0.0652
2728,0.0667
2724,0.0635
2720,0.0621
2716,0.0539
2712,0.0806
2708,0.0768
2704,0.0743
2700,0.0551
2696,0.0866
2692,0.0854
2688,0.0672
2684,0.056
2680,0.0561
2676,0.0687
2672,0.0551
2668,0.0636
2664,0.0746
2660,0.0483
2656,0.0831
2652,0.0785
2648,0.0501
2644,0.048
2640,0.059
2636,0.0512
2632,0.0586
2628,0.035
2624,0.0582
2620,0.0782
2616,0.0487
2612,0.0567
2608,0.0442
2604,0.0651
2600,0.0562
2596,0.0774
2592,0.0597
2588,0.0536
2584,0.0624
2580,0.0515
2576,0.0428
2572,0.0588
2568,0.0537
2564,0.0567
2560,0.0584
2556,0.0491
2552,0.0581
2548,0.0708
2544,0.042
2540,0.07
2536,0.0498
2532,0.0442
2528,0.0757
2524,0.0526
2520,0.0644
2516,0.0584
2512,0.0331
2508,0.0507
2504,0.0438
2500,0.0353
2496,0.0306
2492,0.0489
2488,0.0534
2484,0.051
2480,0.0436
2476,0.0383
2472,0.036
2468,0.04
2464,0.0348
2460,0.0427
2456,0.0441
2452,0.035
2448,0.0413
2444,0.0356
2440,0.0428
2436,0.0475
2432,0.0439
2428,0.0465
2424,0.0248
2420,0.0372
2416,0.0434
2412,0.0467
2408,0.024
2404,0.0412
2400,0.0513
2396,0.0371
2392,0.0377
2388,0.0428
2384,0.0404
2380,0.0444
2376,0.038
2372,0.0385
2368,0.0289
2364,0.0347
2360,0.0487
2356,0.0338
2352,0.0339
2348,0.0304
2344,0.0429
2340,0.0262
2336,0.0436
2332,0.0249
2328,0.0234
2324,0.0358
2320,0.0348
2316,0.0363
2312,0.0437
2308,0.0288
2304,0.0371
2300,0.0234
2296,0.0449
2292,0.0384
2288,0.0373
2284,0.0337
2280,0.0238
2276,0.0282
2272,0.0363
2268,0.031
2264,0.0323
2260,0.0173
2256,0.0326
2252,0.0238
2248,0.0198
2244,0.029
2240,0.0119
2236,0.0373
2232,0.0388
2228,0.0297
2224,0.0202
2220,0.0207
2216,0.0286
2212,0.0058
2208,0.0318
2204,0.0367
2200,0.0269
2196,0.0251
2192,0.0318
2188,0.0335
2184,0.041
2180,0.0303
2176,0.0232
2172,0.0256
2168,0.0321
2164,0.0459
2160,0.0272
2156,0.0199
2152,0.0219
2148,0.0097
2144,0.0341
2140,0.0173
2136,0.0187
2132,0.0114
2128,0.0201
2124,0.0371
2120,0.0184
2116,0.0142
2112,0.0337
2108,0.0286
2104,0.0365
2100,0.0398
2096,0.0325
2092,0.0198
2088,0.0318
2084,0.0382
2080,0.0276
2076,0.0193
2072,0.0449
2068,0.03
2064,0.0303
2060,0.0348
2056,0.0452
2052,0.0378
2048,0.0321
2044,0.0425
2040,0.0575
2036,0.0502
2032,0.0433
2028,0.0257
2024,0.0747
2020,0.0255
2016,0.0341
2012,0.0311
2008,0.0547
2004,0.043
2000,0.0248
1996,0.0421
1992,0.0453
1988,0.037
1984,0.0283
1980,0.0336
1976,0.0368
1972,0.0418
1968,0.0367
1964,0.0497
1960,0.0332
1956,0.0257
1952,0.036
1948,0.0573
1944,0.0384
1940,0.068
1936,0.0499
1932,0.0337
1928,0.0374
1924,0.0486
1920,0.0347
1916,0.0707
1912,0.0374
1908,0.0545
1904,0.0627
1900,0.0474
1896,0.0389
1892,0.0466
1888,0.0533
1884,0.0589
1880,0.0511
1876,0.0369
1872,0.0517
1868,0.045
1864,0.0303
1860,0.0455
1856,0.0386
1852,0.0592
1848,0.0731
1844,0.0727
1840,0.0488
1836,0.0502
1832,0.0622
1828,0.0665
1824,0.0522
1820,0.0557
1816,0.0802
1812,0.0584
1808,0.0565
1804,0.0653
1800,0.074
1796,0.0637
1792,0.0796
1788,0.0816
1784,0.1054
1780,0.1465
1776,0.1598
1772,0.1817
1768,0.2092
1764,0.2566
1760,0.3156
1756,0.3475
1752,0.4163
1748,0.4347
1744,0.4875
1740,0.5422
1736,0.5293
1732,0.5741
1728,0.544
1724,0.5493
1720,0.5245
1716,0.5006
1712,0.4195
1708,0.3858
1704,0.3513
1700,0.3099
1696,0.256
1692,0.2224
1688,0.178
1684,0.157
1680,0.1299
1676,0.1242
1672,0.1167
1668,0.1199
1664,0.0993
1660,0.1085
1656,0.1238
1652,0.1382
1648,0.1653
1644,0.1819
1640,0.2401
1636,0.273
1632,0.3242
1628,0.3739
1624,0.4594
1620,0.5037
1616,0.5699
1612,0.607
1608,0.6227
1604,0.6513
1600,0.6774
1596,0.6546
1592,0.629
1588,0.6028
1584,0.5571
1580,0.4956
1576,0.4452
1572,0.3857
1568,0.3086
1564,0.2878
1560,0.2287
1556,0.2106
1552,0.1536
1548,0.1235
1544,0.1313
1540,0.089
1536,0.0884
1532,0.0946
1528,0.0827
1524,0.0701
1520,0.0927
1516,0.097
1512,0.1248
1508,0.1366
1504,0.187
1500,0.1743
1496,0.2341
1492,0.2773
1488,0.3634
1484,0.4334
1480,0.5137
1476,0.5844
1472,0.6717
1468,0.7426
1464,0.8553
1460,0.9057
1456,0.9434
1452,0.9808
1448,0.9834
1444,0.9696
1440,0.9097
1436,0.8711
1432,0.8241
1428,0.7671
1424,0.718
1420,0.652
1416,0.6298
1412,0.6323
1408,0.6146
1404,0.6284
1400,0.6432
1396,0.6822
1392,0.7263
1388,0.7403
1384,0.7748
1380,0.7657
1376,0.7778
1372,0.763
1368,0.7133
1364,0.6851
1360,0.61
1356,0.5441
1352,0.4842
1348,0.4356
1344,0.3546
1340,0.3016
1336,0.2329
1332,0.1967
1328,0.1478
1324,0.1249
1320,0.1166
1316,0.0911
1312,0.0938
1308,0.0686
1304,0.0626
1300,0.0732
1296,0.0511
1292,0.0405
1288,0.0674
1284,0.0576
1280,0.0311
1276,0.0526
1272,0.0476
1268,0.0686
1264,0.0435
1260,0.0445
1256,0.0408
1252,0.039
1248,0.0421
1244,0.0344
1240,0.038
1236,0.0319
1232,0.0326
1228,0.0315
1224,0.0415
1220,0.0395
1216,0.0337
1212,0.0504
1208,0.0447
1204,0.0405
1200,0.0398
1196,0.06
1192,0.046
1188,0.048
1184,0.017
1180,0.036
1176,0.0204
1172,0.0375
1168,0.0452
1164,0.0343
1160,0.0459
1156,0.0301
1152,0.0458
1148,0.0241
1144,0.0367
1140,0.0432
1136,0.044
1132,0.0371
1128,0.0574
1124,0.0335
1120,0.0329
1116,0.0095
1112,0.0545
1108,0.0328
1104,0.0244
1100,0.0491
1096,0.048
1092,0.0364
1088,0.0207
1084,0.039
1080,0.0284
1076,0.0226
1072,0.0446
1068,0.0127
1064,0.0396
1060,0.0387
1056,0.055
1052,0.0385
1048,0.0162
1044,0.0309
1040,0.0441
1036,0.0534
1032,0.0693
1028,0.054
1024,0.0901
1020,0.1301
1016,0.1716
1012,0.2206
1008,0.255
1004,0.3381
1000,0.4232
996,0.5063
992,0.596
988,0.6937
984,0.7717
980,0.8511
976,0.9478
972,0.9883
968,1.0227
964,1.0235
960,1.0063
956,0.9696
952,0.8934
948,0.8243
944,0.7352
940,0.6358
936,0.533
932,0.4567
928,0.3838
924,0.2857
920,0.2422
916,0.1887
912,0.1146
908,0.1055
904,0.0883
900,0.0927
896,0.0852
892,0.0941
888,0.1092
884,0.115
880,0.1453
876,0.177
872,0.2312
868,0.2818
864,0.3397
860,0.3885
856,0.4626
852,0.5174
848,0.5718
844,0.6019
840,0.6225
836,0.639
832,0.6348
828,0.6036
824,0.5909
820,0.552
816,0.5031
812,0.4275
808,0.3725
804,0.317
800,0.2602
796,0.2193
792,0.1715
788,0.1372
784,0.1302
780,0.0942
776,0.0792
772,0.0786
768,0.0676
764,0.0699
760,0.0719
756,0.0706
752,0.098
748,0.1079
744,0.1482
740,0.167
736,0.2264
732,0.2681
728,0.3103
724,0.3552
720,0.4084
716,0.4293
712,0.4765
708,0.5158
704,0.5397
700,0.5422
696,0.527
692,0.5201
688,0.4852
684,0.4412
680,0.4113
676,0.3586
672,0.3247
668,0.2731
664,0.2311
660,0.1891
656,0.145
652,0.1174
648,0.0908
644,0.1179
640,0.0661
636,0.066
632,0.0584
628,0.0551
624,0.0495
620,0.0351
616,0.043
612,0.0387
608,0.0513
604,0.0459
600,0.0461
