material,dislocation_type,temperature_K,applied_shear_MPa,velocity_m_s
Al,screw,825,6972.73,0.044426
Al,screw,825,7681.82,0.005748
Al,screw,825,8390.91,0.000000
Al,screw,825,9100.00,0.026955
Al,edge,1000,1300.00,0.061154
Al,edge,1000,2009.09,0.150647
Al,edge,1000,2718.18,0.170321
Al,edge,1000,3427.27,0.235725
Al,edge,1000,4136.36,0.287576
Al,edge,1000,4845.45,0.295308
Al,edge,1000,5554.55,0.359204
Al,edge,1000,6263.64,0.436413
Al,edge,1000,6972.73,0.433708
Al,edge,1000,7681.82,0.520803
Al,edge,1000,8390.91,0.546178
Al,edge,1000,9100.00,0.588958
Al,screw,1000,1300.00,0.000000
Al,screw,1000,2009.09,0.048199
Al,screw,1000,2718.18,0.011079
Al,screw,1000,3427.27,0.039084
Al,screw,1000,4136.36,0.047441
Al,screw,1000,4845.45,0.050214
Al,screw,1000,5554.55,0.045992
Al,screw,1000,6263.64,0.062283
Al,screw,1000,6972.73,0.072027
Al,screw,1000,7681.82,0.086246
Al,screw,1000,8390.91,0.080914
Al,screw,1000,9100.00,0.102508
Cu,edge,300,2400.00,0.000000
Cu,edge,300,3709.09,0.003767
Cu,edge,300,5018.18,0.017175
Cu,edge,300,6327.27,0.010258
Cu,edge,300,7636.36,0.000000
Cu,edge,300,8945.45,0.019509
Cu,edge,300,10254.55,0.004875
Cu,edge,300,11563.64,0.000000
Cu,edge,300,12872.73,0.030283
Cu,edge,300,14181.82,0.000000
Cu,edge,300,15490.91,0.001706
Cu,edge,300,16800.00,0.030566
Cu,screw,300,2400.00,0.000000
Cu,screw,300,3709.09,0.003675
Cu,screw,300,5018.18,0.000000
Cu,screw,300,6327.27,0.000000
Cu,screw,300,7636.36,0.000000
Cu,screw,300,8945.45,0.013020
Cu,screw,300,10254.55,0.012021
Cu,screw,300,11563.64,0.000000
Cu,screw,300,12872.73,0.009171
Cu,screw,300,14181.82,0.000000
Cu,screw,300,15490.91,0.014975
Cu,screw,300,16800.00,0.000000
Cu,edge,475,2400.00,0.000000
Cu,edge,475,3709.09,0.010274
Cu,edge,475,5018.18,0.029172
Cu,edge,475,6327.27,0.000000
Cu,edge,475,7636.36,0.020098
Cu,edge,475,8945.45,0.000000
Cu,edge,475,10254.55,0.030044
Cu,edge,475,11563.64,0.000000
Cu,edge,475,12872.73,0.009484
Cu,edge,475,14181.82,0.000000
Cu,edge,475,15490.91,0.002007
Cu,edge,475,16800.00,0.000000
Cu,screw,475,2400.00,0.000000
Cu,screw,475,3709.09,0.000000
Cu,screw,475,5018.18,0.018944
Cu,screw,475,6327.27,0.012568
Cu,screw,475,7636.36,0.000000
Cu,screw,475,8945.45,0.000000
Cu,screw,475,10254.55,0.013930
Cu,screw,475,11563.64,0.000000
Cu,screw,475,12872.73,0.010981
Cu,screw,475,14181.82,0.006602
Cu,screw,475,15490.91,0.043428
Cu,screw,475,16800.00,0.026937
Cu,edge,650,2400.00,0.000000
Cu,edge,650,3709.09,0.005460
Cu,edge,650,5018.18,0.000000
Cu,edge,650,6327.27,0.018422
Cu,edge,650,7636.36,0.000000
Cu,edge,650,8945.45,0.000000
Cu,edge,650,10254.55,0.006153
Cu,edge,650,11563.64,0.000000
Cu,edge,650,12872.73,0.013651
Cu,edge,650,14181.82,0.060140
Cu,edge,650,15490.91,0.022347
Cu,edge,650,16800.00,0.004610
Cu,screw,650,2400.00,0.000000
Cu,screw,650,3709.09,0.006192
Cu,screw,650,5018.18,0.056655
Cu,screw,650,6327.27,0.000000
Cu,screw,650,7636.36,0.000000
Cu,screw,650,8945.45,0.000000
Cu,screw,650,10254.55,0.000000
Cu,screw,650,11563.64,0.000000
Cu,screw,650,12872.73,0.021015
Cu,screw,650,14181.82,0.000000
Cu,screw,650,15490.91,0.000000
Cu,screw,650,16800.00,0.008283
Cu,edge,825,2400.00,0.010813
Cu,edge,825,3709.09,0.011407
Cu,edge,825,5018.18,0.005883
Cu,edge,825,6327.27,0.046928
Cu,edge,825,7636.36,0.057773
Cu,edge,825,8945.45,0.095981
Cu,edge,825,10254.55,0.050616
Cu,edge,825,11563.64,0.077063
Cu,edge,825,12872.73,0.088781
Cu,edge,825,14181.82,0.102737
Cu,edge,825,15490.91,0.103045
Cu,edge,825,16800.00,0.110477
Cu,screw,825,2400.00,0.045663
Cu,screw,825,3709.09,0.000000
Cu,screw,825,5018.18,0.000000
Cu,screw,825,6327.27,0.003693
Cu,screw,825,7636.36,0.000000
Cu,screw,825,8945.45,0.021333
Cu,screw,825,10254.55,0.020672
Cu,screw,825,11563.64,0.000000
Cu,screw,825,12872.73,0.013910
Cu,screw,825,14181.82,0.000000
Cu,screw,825,15490.91,0.004024
Cu,screw,825,16800.00,0.000000
Cu,edge,1000,2400.00,0.113005
Cu,edge,1000,3709.09,0.139092
Cu,edge,1000,5018.18,0.159466
Cu,edge,1000,6327.27,0.201229
Cu,edge,1000,7636.36,0.242522
Cu,edge,1000,8945.45,0.331946
Cu,edge,1000,10254.55,0.348691
Cu,edge,1000,11563.64,0.375793
Cu,edge,1000,12872.73,0.467668
Cu,edge,1000,14181.82,0.509714
Cu,edge,1000,15490.91,0.536059
Cu,edge,1000,16800.00,0.593106
Cu,screw,1000,2400.00,0.007254
Cu,screw,1000,3709.09,0.008334
Cu,screw,1000,5018.18,0.013054
Cu,screw,1000,6327.27,0.034134
Cu,screw,1000,7636.36,0.042904
Cu,screw,1000,8945.45,0.025203
Cu,screw,1000,10254.55,0.056010
Cu,screw,1000,11563.64,0.077084
Cu,screw,1000,12872.73,0.102025
Cu,screw,1000,14181.82,0.073713
Cu,screw,1000,15490.91,0.143386
Cu,screw,1000,16800.00,0.131361
Ni,edge,300,3800.00,0.035721
Ni,edge,300,5872.73,0.000000
Ni,edge,300,7945.45,0.018108
Ni,edge,300,10018.18,0.000000
Ni,edge,300,12090.91,0.003724
Ni,edge,300,14163.64,0.000000
Ni,edge,300,16236.36,0.000000
Ni,edge,300,18309.09,0.026564
Ni,edge,300,20381.82,0.000000
Ni,edge,300,22454.55,0.000000
Ni,edge,300,24527.27,0.000000
Ni,edge,300,26600.00,0.012472
Ni,screw,300,3800.00,0.000000
Ni,screw,300,5872.73,0.039936
Ni,screw,300,7945.45,0.000000
Ni,screw,300,10018.18,0.007294
Ni,screw,300,12090.91,0.000000
Ni,screw,300,14163.64,0.000000
Ni,screw,300,16236.36,0.000000
Ni,screw,300,18309.09,0.000000
Ni,screw,300,20381.82,0.000000
Ni,screw,300,22454.55,0.000000
Ni,screw,300,24527.27,0.002885
Ni,screw,300,26600.00,0.000000
Ni,edge,475,3800.00,0.000000
Ni,edge,475,5872.73,0.010495
Ni,edge,475,7945.45,0.000000
Ni,edge,475,10018.18,0.000000
Ni,edge,475,12090.91,0.011218
Ni,edge,475,14163.64,0.000000
Ni,edge,475,16236.36,0.020104
Ni,edge,475,18309.09,0.000000
Ni,edge,475,20381.82,0.000000
Ni,edge,475,22454.55,0.000000
Ni,edge,475,24527.27,0.000268
Ni,edge,475,26600.00,0.000000
Ni,screw,475,3800.00,0.033328
Ni,screw,475,5872.73,0.022597
Ni,screw,475,7945.45,0.000000
Ni,screw,475,10018.18,0.000000
Ni,screw,475,12090.91,0.027894
Ni,screw,475,14163.64,0.030132
Ni,screw,475,16236.36,0.014875
Ni,screw,475,18309.09,0.000000
Ni,screw,475,20381.82,0.007790
Ni,screw,475,22454.55,0.009868
Ni,screw,475,24527.27,0.000000
Ni,screw,475,26600.00,0.014768
Ni,edge,650,3800.00,0.000000
Ni,edge,650,5872.73,0.037805
Ni,edge,650,7945.45,0.000000
Ni,edge,650,10018.18,0.009041
Ni,edge,650,12090.91,0.000433
Ni,edge,650,14163.64,0.000000
Ni,edge,650,16236.36,0.004071
Ni,edge,650,18309.09,0.006071
Ni,edge,650,20381.82,0.017322
Ni,edge,650,22454.55,0.019201
Ni,edge,650,24527.27,0.024533
Ni,edge,650,26600.00,0.000000
Ni,screw,650,3800.00,0.000000
Ni,screw,650,5872.73,0.016961
Ni,screw,650,7945.45,0.005139
Ni,screw,650,10018.18,0.000000
Ni,screw,650,12090.91,0.000000
Ni,screw,650,14163.64,0.011235
Ni,screw,650,16236.36,0.006124
Ni,screw,650,18309.09,0.000000
Ni,screw,650,20381.82,0.034835
Ni,screw,650,22454.55,0.000000
Ni,screw,650,24527.27,0.006029
Ni,screw,650,26600.00,0.027311
Ni,edge,825,3800.00,0.030017
Ni,edge,825,5872.73,0.039165
Ni,edge,825,7945.45,0.044820
Ni,edge,825,10018.18,0.038108
Ni,edge,825,12090.91,0.023193
Ni,edge,825,14163.64,0.044991
Ni,edge,825,16236.36,0.045832
Ni,edge,825,18309.09,0.060754
Ni,edge,825,20381.82,0.096892
Ni,edge,825,22454.55,0.121768
Ni,edge,825,24527.27,0.116242
Ni,edge,825,26600.00,0.111310
Ni,screw,825,3800.00,0.000000
Ni,screw,825,5872.73,0.000000
Ni,screw,825,7945.45,0.005425
Ni,screw,825,10018.18,0.000000
Ni,screw,825,12090.91,0.004909
Ni,screw,825,14163.64,0.000000
Ni,screw,825,16236.36,0.002357
Ni,screw,825,18309.09,0.046245
Ni,screw,825,20381.82,0.000000
Ni,screw,825,22454.55,0.028687
Ni,screw,825,24527.27,0.020881
Ni,screw,825,26600.00,0.023725
Ni,edge,1000,3800.00,0.119114
Ni,edge,1000,5872.73,0.114670
Ni,edge,1000,7945.45,0.162389
Ni,edge,1000,10018.18,0.215419
Ni,edge,1000,12090.91,0.257660
Ni,edge,1000,14163.64,0.300168
Ni,edge,1000,16236.36,0.362843
Ni,edge,1000,18309.09,0.399123
Ni,edge,1000,20381.82,0.463544
Ni,edge,1000,22454.55,0.527531
Ni,edge,1000,24527.27,0.524980
Ni,edge,1000,26600.00,0.603385
Ni,screw,1000,3800.00,0.000000
Ni,screw,1000,5872.73,0.030689
Ni,screw,1000,7945.45,0.053723
Ni,screw,1000,10018.18,0.035327
Ni,screw,1000,12090.91,0.029719
Ni,screw,1000,14163.64,0.045288
Ni,screw,1000,16236.36,0.077886
Ni,screw,1000,18309.09,0.060747
Ni,screw,1000,20381.82,0.094406
Ni,screw,1000,22454.55,0.132363
Ni,screw,1000,24527.27,0.108797
Ni,screw,1000,26600.00,0.102337
Fe,edge,300,4100.00,0.039603
Fe,edge,300,6336.36,0.001506
Fe,edge,300,8572.73,0.021521
Fe,edge,300,10809.09,0.016106
Fe,edge,300,13045.45,0.014993
Fe,edge,300,15281.82,0.015373
Fe,edge,300,17518.18,0.000000
Fe,edge,300,19754.55,0.029466
Fe,edge,300,21990.91,0.005395
Fe,edge,300,24227.27,0.000000
Fe,edge,300,26463.64,0.018827
Fe,edge,300,28700.00,0.011873
Fe,screw,300,4100.00,0.023813
Fe,screw,300,6336.36,0.000000
Fe,screw,300,8572.73,0.015433
Fe,screw,300,10809.09,0.000000
Fe,screw,300,13045.45,0.000000
Fe,screw,300,15281.82,0.002330
Fe,screw,300,17518.18,0.000000
Fe,screw,300,19754.55,0.000000
Fe,screw,300,21990.91,0.007498
Fe,screw,300,24227.27,0.000000
Fe,screw,300,26463.64,0.000000
Fe,screw,300,28700.00,0.000000
Fe,edge,475,4100.00,0.008527
Fe,edge,475,6336.36,0.024823
Fe,edge,475,8572.73,0.000000
Fe,edge,475,10809.09,0.000000
Fe,edge,475,13045.45,0.009289
Fe,edge,475,15281.82,0.010848
Fe,edge,475,17518.18,0.004002
Fe,edge,475,19754.55,0.002359
Fe,edge,475,21990.91,0.000000
Fe,edge,475,24227.27,0.000000
Fe,edge,475,26463.64,0.010250
Fe,edge,475,28700.00,0.034841
Fe,screw,475,4100.00,0.004416
Fe,screw,475,6336.36,0.000000
Fe,screw,475,8572.73,0.003750
Fe,screw,475,10809.09,0.000000
Fe,screw,475,13045.45,0.012734
Fe,screw,475,15281.82,0.000000
Fe,screw,475,17518.18,0.011307
Fe,screw,475,19754.55,0.000000
Fe,screw,475,21990.91,0.000000
Fe,screw,475,24227.27,0.000000
Fe,screw,475,26463.64,0.000000
Fe,screw,475,28700.00,0.022924
Fe,edge,650,4100.00,0.000000
Fe,edge,650,6336.36,0.000000
Fe,edge,650,8572.73,0.018357
Fe,edge,650,10809.09,0.000000
Fe,edge,650,13045.45,0.000000
Fe,edge,650,15281.82,0.025907
Fe,edge,650,17518.18,0.026895
Fe,edge,650,19754.55,0.000000
Fe,edge,650,21990.91,0.000000
Fe,edge,650,24227.27,0.024128
Fe,edge,650,26463.64,0.041996
Fe,edge,650,28700.00,0.026783
Fe,screw,650,4100.00,0.006170
Fe,screw,650,6336.36,0.000000
Fe,screw,650,8572.73,0.002568
Fe,screw,650,10809.09,0.016128
Fe,screw,650,13045.45,0.000000
Fe,screw,650,15281.82,0.019997
Fe,screw,650,17518.18,0.000000
Fe,screw,650,19754.55,0.000000
Fe,screw,650,21990.91,0.006184
Fe,screw,650,24227.27,0.000000
Fe,screw,650,26463.64,0.000000
Fe,screw,650,28700.00,0.000000
Fe,edge,825,4100.00,0.024961
Fe,edge,825,6336.36,0.030686
Fe,edge,825,8572.73,0.033658
Fe,edge,825,10809.09,0.025005
Fe,edge,825,13045.45,0.054679
Fe,edge,825,15281.82,0.064714
Fe,edge,825,17518.18,0.045927
Fe,edge,825,19754.55,0.065333
Fe,edge,825,21990.91,0.097488
Fe,edge,825,24227.27,0.093744
Fe,edge,825,26463.64,0.111515
Fe,edge,825,28700.00,0.136470
Fe,screw,825,4100.00,0.018405
Fe,screw,825,6336.36,0.000000
Fe,screw,825,8572.73,0.011825
Fe,screw,825,10809.09,0.034897
Fe,screw,825,13045.45,0.000000
Fe,screw,825,15281.82,0.018979
Fe,screw,825,17518.18,0.003109
Fe,screw,825,19754.55,0.000000
Fe,screw,825,21990.91,0.014437
Fe,screw,825,24227.27,0.000000
Fe,screw,825,26463.64,0.000000
Fe,screw,825,28700.00,0.015312
Fe,edge,1000,4100.00,0.102298
Fe,edge,1000,6336.36,0.127438
Fe,edge,1000,8572.73,0.165940
Fe,edge,1000,10809.09,0.205254
Fe,edge,1000,13045.45,0.287082
Fe,edge,1000,15281.82,0.328438
Fe,edge,1000,17518.18,0.378514
Fe,edge,1000,19754.55,0.395479
Fe,edge,1000,21990.91,0.457937
Fe,edge,1000,24227.27,0.527754
Fe,edge,1000,26463.64,0.575099
Fe,edge,1000,28700.00,0.596885
Fe,screw,1000,4100.00,0.000000
Fe,screw,1000,6336.36,0.023230
Fe,screw,1000,8572.73,0.014040
Fe,screw,1000,10809.09,0.018124
Fe,screw,1000,13045.45,0.047323
Fe,screw,1000,15281.82,0.053731
Fe,screw,1000,17518.18,0.040743
Fe,screw,1000,19754.55,0.090301
Fe,screw,1000,21990.91,0.081652
Fe,screw,1000,24227.27,0.148674
Fe,screw,1000,26463.64,0.126720
Fe,screw,1000,28700.00,0.084863
Ti,edge,300,2200.00,0.000000
Ti,edge,300,3400.00,0.011738
Ti,edge,300,4600.00,0.014207
Ti,edge,300,5800.00,0.000000
Ti,edge,300,7000.00,0.001309
Ti,edge,300,8200.00,0.026153
Ti,edge,300,9400.00,0.014361
Ti,edge,300,10600.00,0.000000
Ti,edge,300,11800.00,0.000000
Ti,edge,300,13000.00,0.000000
Ti,edge,300,14200.00,0.012412
Ti,edge,300,15400.00,0.006365
Ti,screw,300,2200.00,0.000000
Ti,screw,300,3400.00,0.000000
Ti,screw,300,4600.00,0.000000
Ti,screw,300,5800.00,0.000000
Ti,screw,300,7000.00,0.028909
Ti,screw,300,8200.00,0.000000
Ti,screw,300,9400.00,0.013488
Ti,screw,300,10600.00,0.034417
Ti,screw,300,11800.00,0.000000
Ti,screw,300,13000.00,0.008394
Ti,screw,300,14200.00,0.000000
Ti,screw,300,15400.00,0.000000
Ti,edge,475,2200.00,0.000000
Ti,edge,475,3400.00,0.000000
Ti,edge,475,4600.00,0.000000
Ti,edge,475,5800.00,0.001427
Ti,edge,475,7000.00,0.010366
Ti,edge,475,8200.00,0.000000
Ti,edge,475,9400.00,0.000000
Ti,edge,475,10600.00,0.000000
Ti,edge,475,11800.00,0.024017
Ti,edge,475,13000.00,0.018017
Ti,edge,475,14200.00,0.000000
Ti,edge,475,15400.00,0.000000
Ti,screw,475,2200.00,0.012567
Ti,screw,475,3400.00,0.000000
Ti,screw,475,4600.00,0.009899
Ti,screw,475,5800.00,0.017975
Ti,screw,475,7000.00,0.000000
Ti,screw,475,8200.00,0.000000
Ti,screw,475,9400.00,0.013172
Ti,screw,475,10600.00,0.000000
Ti,screw,475,11800.00,0.035094
Ti,screw,475,13000.00,0.000000
Ti,screw,475,14200.00,0.000000
Ti,screw,475,15400.00,0.018267
Ti,edge,650,2200.00,0.002062
Ti,edge,650,3400.00,0.002229
Ti,edge,650,4600.00,0.011881
Ti,edge,650,5800.00,0.000000
Ti,edge,650,7000.00,0.021615
Ti,edge,650,8200.00,0.000000
Ti,edge,650,9400.00,0.019999
Ti,edge,650,10600.00,0.007767
Ti,edge,650,11800.00,0.000000
Ti,edge,650,13000.00,0.053656
Ti,edge,650,14200.00,0.000124
Ti,edge,650,15400.00,0.013727
Ti,screw,650,2200.00,0.000000
Ti,screw,650,3400.00,0.021308
Ti,screw,650,4600.00,0.000000
Ti,screw,650,5800.00,0.000000
Ti,screw,650,7000.00,0.037494
Ti,screw,650,8200.00,0.010466
Ti,screw,650,9400.00,0.017980
Ti,screw,650,10600.00,0.000000
Ti,screw,650,11800.00,0.000000
Ti,screw,650,13000.00,0.000000
Ti,screw,650,14200.00,0.000000
Ti,screw,650,15400.00,0.000000
Ti,edge,825,2200.00,0.000000
Ti,edge,825,3400.00,0.000000
Ti,edge,825,4600.00,0.076758
Ti,edge,825,5800.00,0.057019
Ti,edge,825,7000.00,0.030975
Ti,edge,825,8200.00,0.099003
Ti,edge,825,9400.00,0.061781
Ti,edge,825,10600.00,0.087663
Ti,edge,825,11800.00,0.087857
Ti,edge,825,13000.00,0.104232
Ti,edge,825,14200.00,0.110593
Ti,edge,825,15400.00,0.113365
Ti,screw,825,2200.00,0.009478
Ti,screw,825,3400.00,0.000000
Ti,screw,825,4600.00,0.000000
Ti,screw,825,5800.00,0.021301
Ti,screw,825,7000.00,0.000000
Ti,screw,825,8200.00,0.000000
Ti,screw,825,9400.00,0.006068
Ti,screw,825,10600.00,0.024158
Ti,screw,825,11800.00,0.027238
Ti,screw,825,13000.00,0.027189
Ti,screw,825,14200.00,0.004211
Ti,screw,825,15400.00,0.000000
Ti,edge,1000,2200.00,0.121027
Ti,edge,1000,3400.00,0.120433
Ti,edge,1000,4600.00,0.171226
Ti,edge,1000,5800.00,0.206073
Ti,edge,1000,7000.00,0.289974
Ti,edge,1000,8200.00,0.349313
Ti,edge,1000,9400.00,0.363810
Ti,edge,1000,10600.00,0.415254
Ti,edge,1000,11800.00,0.432659
Ti,edge,1000,13000.00,0.503900
Ti,edge,1000,14200.00,0.556566
Ti,edge,1000,15400.00,0.595202
Ti,screw,1000,2200.00,0.000000
Ti,screw,1000,3400.00,0.032054
Ti,screw,1000,4600.00,0.047356
Ti,screw,1000,5800.00,0.041886
Ti,screw,1000,7000.00,0.043287
Ti,screw,1000,8200.00,0.058409
Ti,screw,1000,9400.00,0.038578
Ti,screw,1000,10600.00,0.058527
Ti,screw,1000,11800.00,0.053656
Ti,screw,1000,13000.00,0.096645
Ti,screw,1000,14200.00,0.057295
Ti,screw,1000,15400.00,0.085591
