FirmID,Year,Size,Subsector,Ownership,FDI_Presence,Knowledge_Absorption,Task_Performance,Innovation_Score,Skilled_Labor_Ratio,IoT_Use,RD_Spend_Ratio,Liquidity_Ratio,Tax_Incentives,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ROI,ROA,Export_Intensity,Market_Share,Operational_Efficiency,Employees,Assets_MUSD,Age,FDI_Total_Nigeria_USD_Bn,FDI_Lagos_USD_Bn,FDI_Sector_Food_Bev_Tob_USD_Bn,FDI_Type_Greenfield_pct,FDI_Type_MA_pct,Top_Origin_Countries,Ease_Doing_Business_Index,Regulatory_Quality_Index,Corruption_Perception_Index,EEG_Disbursement_USD_M,Tax_Incentive_Spend_USD_M,Power_Supply_Stability_Index,Logistics_Performance_Index,Port_Dwell_Time_Days,Food_Sector_GDP_Contribution_USD_Bn,Food_Sector_Employment_Thousands,Food_Sector_Output_Growth_pct,Food_Sector_Exports_USD_Bn,Lagos_GDP_USD_Bn,Lagos_Manufacturing_Employment_Thousands
FIRM_021,2023,SME,Beverages,Domestic,1,4.9,3.35,4.18,0.307,1,0.25,1.32,4.45,2.6,2.62,2.1,3.65,0.1799,0.1471,0.487,0.0578,3.61,196,4.8,19,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_022,2022,SME,Meat processing,Domestic,0,2.98,2.6,3.64,0.498,0,0.195,0.87,4.7,5.68,2.78,4.61,4.17,0.1325,0.1206,0.031,0.15,3.81,214,6.78,38,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_023,2023,SME,Meat processing,Domestic,1,3.38,3.03,4.38,0.546,1,0.25,1.25,3.3,2.94,2.95,2.25,3.47,0.2048,0.0344,0.355,0.087,4.92,226,7.4,49,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_024,2023,Large,Fish processing,Domestic,1,4.58,4.67,2.85,0.697,0,0.19,1.58,2.86,3.65,4.52,1.19,4.15,0.1661,0.1185,0.273,0.1104,4.89,1709,24.41,31,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_026,2023,Large,Grain milling,Domestic,1,3.61,2.74,4.99,0.531,1,0.101,1.72,3.57,4.37,2.98,4.56,3.58,0.1618,0.0474,0.302,0.0869,3.14,1679,5.06,45,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_028,2024,SME,Confectionery,Foreign,0,4.02,4.15,2.59,0.313,0,0.119,0.43,3.86,2.89,5.49,4.67,4.03,0.0868,0.07,0.136,0.0754,4.44,52,4.02,39,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_030,2024,SME,Confectionery,Joint Venture,1,3.47,3.19,3.64,0.427,0,0.25,1.5,3.03,1.48,3.87,3.86,3.06,0.1682,0.0767,0.417,0.15,3.79,130,6.73,32,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_031,2023,SME,Fish processing,Domestic,0,3.07,2.82,2.7,0.299,0,0.054,1.36,3.99,3.09,1.8,4.37,3.05,0.1677,0.1237,0.034,0.15,3.9,196,3.46,45,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_032,2024,SME,Grain milling,Foreign,0,3.96,3.19,3.44,0.237,1,0.072,1.19,2.14,4.84,3.06,7.0,2.92,0.0766,0.0974,0.093,0.15,2.9,88,6.06,27,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_034,2022,SME,Meat processing,Domestic,1,3.82,3.31,3.22,0.308,0,0.25,2.02,2.97,3.3,2.68,3.89,3.14,0.1672,0.0618,0.114,0.15,4.13,199,2.67,15,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_035,2024,Large,Beverages,Domestic,1,4.6,4.45,3.76,0.354,0,0.137,1.67,4.94,2.68,1.0,4.81,2.93,0.1767,0.153,0.254,0.0457,4.3,2514,16.81,19,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_036,2022,SME,Dairy processing,Foreign,1,3.95,5.0,2.59,0.649,1,0.153,2.02,4.86,4.81,5.16,3.42,4.9,0.1244,0.0626,0.151,0.15,3.0,216,3.16,40,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_037,2022,Large,Bakery products,Domestic,1,5.0,3.34,4.75,0.684,0,0.191,1.41,3.77,3.3,4.17,4.55,3.73,0.1396,0.1266,0.541,0.15,4.53,1589,4.37,44,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_038,2023,Large,Bakery products,Joint Venture,1,5.0,3.5,4.3,0.569,0,0.109,1.87,3.08,3.09,3.99,3.91,3.5,0.1787,0.0814,0.244,0.0835,5.0,1106,13.08,14,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_039,2023,SME,Grain milling,Domestic,0,2.14,3.19,2.74,0.396,0,0.075,1.95,2.87,3.78,3.38,4.01,3.42,0.0743,0.0781,0.094,0.15,3.31,67,5.84,32,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_040,2024,SME,Grain milling,Domestic,0,3.62,3.68,2.58,0.338,0,0.206,1.82,3.59,4.52,1.68,6.68,2.91,0.1478,0.1149,0.083,0.15,4.47,132,5.83,40,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_042,2023,SME,Confectionery,Domestic,0,2.55,3.19,3.58,0.405,1,0.062,0.86,4.71,6.46,2.67,5.91,4.14,0.0896,0.1136,0.125,0.15,3.32,65,3.57,49,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_044,2022,Large,Confectionery,Foreign,1,4.15,4.77,3.06,0.495,1,0.095,1.4,5.22,4.69,4.33,4.36,4.58,0.2154,0.1726,0.74,0.1183,4.64,540,6.18,48,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_045,2023,SME,Confectionery,Domestic,0,3.25,4.1,3.11,0.198,1,0.093,1.16,3.45,4.99,2.04,1.73,3.84,0.2493,0.0931,0.168,0.0562,1.94,124,7.57,29,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_046,2023,Large,Meat processing,Joint Venture,0,2.36,2.47,4.05,0.669,0,0.21,1.5,2.73,2.99,1.0,4.07,2.46,0.0931,0.1021,0.061,0.1013,5.0,271,4.96,24,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_047,2023,Large,Bakery products,Domestic,0,4.05,3.66,2.27,0.488,0,0.12,1.57,4.29,2.37,2.95,7.0,2.92,0.1558,0.0771,0.248,0.15,4.59,521,12.15,18,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_049,2024,Large,Fruit & vegetable processing,Domestic,1,4.16,4.86,4.03,0.493,0,0.187,1.16,3.29,3.77,3.24,3.92,3.52,0.1298,0.1267,0.456,0.0383,3.85,268,17.53,45,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_050,2024,SME,Fish processing,Joint Venture,0,2.97,2.95,3.28,0.638,0,0.139,1.33,3.43,3.73,3.35,5.82,3.29,0.1852,0.1094,0.054,0.0259,2.1,196,1.7,30,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_051,2024,Large,Confectionery,Domestic,1,3.65,3.59,3.61,0.413,1,0.087,0.69,5.66,2.41,4.2,5.93,3.87,0.1012,0.1104,0.26,0.15,4.22,1762,6.12,33,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_052,2024,SME,Dairy processing,Joint Venture,1,4.11,3.43,3.25,0.313,0,0.25,2.08,5.11,3.49,4.1,4.46,4.17,0.187,0.0416,0.311,0.116,3.04,135,12.6,34,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_053,2022,SME,Meat processing,Foreign,1,4.33,3.45,4.79,0.664,1,0.25,1.3,4.37,4.18,3.68,3.19,4.18,0.1255,0.127,0.694,0.15,4.37,226,7.46,12,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_054,2024,Large,Fruit & vegetable processing,Domestic,0,3.1,2.13,2.46,0.794,1,0.106,1.32,2.6,4.03,4.52,1.58,4.11,0.1195,0.1031,0.327,0.15,3.77,211,16.58,44,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_057,2023,Large,Bakery products,Domestic,0,1.0,2.37,1.37,0.726,0,0.247,1.18,4.23,4.21,1.53,5.32,3.18,0.0739,0.0623,0.108,0.087,2.7,403,7.13,29,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_058,2024,SME,Fruit & vegetable processing,Domestic,1,4.01,3.85,4.28,0.738,1,0.125,1.96,5.37,4.05,3.96,3.22,4.53,0.2082,0.064,0.344,0.0369,4.83,21,4.48,7,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_059,2023,SME,Bakery products,Domestic,0,2.05,4.36,1.92,0.45,0,0.25,0.2,3.59,2.99,3.89,4.71,3.48,0.0858,0.1565,0.237,0.15,3.99,52,3.46,21,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_061,2024,Large,Beverages,Domestic,1,3.83,3.37,4.32,0.743,1,0.25,1.49,5.69,3.08,2.04,2.7,3.88,0.1949,0.1331,0.146,0.0744,4.71,1222,35.47,25,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_063,2024,SME,Confectionery,Domestic,0,2.08,2.85,4.2,0.023,1,0.111,1.26,5.42,2.16,1.55,4.18,3.2,0.1196,0.0822,0.13,0.058,3.43,122,6.44,6,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_064,2024,SME,Fruit & vegetable processing,Domestic,1,2.87,4.99,4.27,0.751,0,0.244,1.32,6.03,5.84,2.58,4.24,4.61,0.1613,0.0745,0.543,0.15,2.98,85,21.05,48,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_066,2024,Large,Fruit & vegetable processing,Domestic,1,4.99,3.02,4.66,0.396,1,0.231,2.19,4.54,3.72,2.67,4.52,3.61,0.176,0.0792,0.303,0.1215,4.78,605,8.48,25,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_070,2024,Large,Fish processing,Domestic,0,2.94,2.14,4.82,0.153,1,0.25,0.95,4.65,3.33,4.03,3.16,4.16,0.1012,0.1407,0.153,0.1286,3.29,1156,13.32,24,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_071,2024,SME,Dairy processing,Domestic,1,3.68,3.22,4.57,0.522,1,0.129,1.81,5.76,2.59,2.72,5.64,3.54,0.1788,0.1184,0.158,0.15,3.05,198,7.31,18,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_075,2023,SME,Meat processing,Domestic,1,4.39,3.34,4.0,0.42,0,0.156,1.64,4.69,7.0,2.46,3.48,4.57,0.2425,0.0913,0.119,0.15,5.0,92,9.69,47,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_076,2022,Large,Fish processing,Domestic,1,3.7,2.58,5.0,0.456,1,0.25,2.0,3.65,2.41,2.73,2.19,3.39,0.1311,0.1307,0.472,0.1266,5.0,1778,29.12,15,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_077,2023,SME,Confectionery,Foreign,0,4.88,3.21,4.58,0.167,0,0.095,1.03,3.51,3.09,4.43,4.37,3.7,0.1969,0.0603,0.003,0.15,3.56,49,11.78,16,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_078,2022,SME,Bakery products,Domestic,0,2.98,3.96,4.59,0.458,1,0.232,1.01,4.26,4.1,3.21,4.54,3.79,0.2133,0.1559,0.067,0.0245,4.99,105,3.84,39,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_081,2023,SME,Fruit & vegetable processing,Joint Venture,0,3.49,2.4,2.56,0.129,1,0.25,1.74,2.58,4.32,3.0,4.69,3.25,0.0894,0.1437,0.078,0.15,3.57,25,6.65,39,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_083,2023,SME,Fish processing,Domestic,0,3.98,3.36,1.78,0.26,0,0.106,1.47,3.84,4.75,3.08,6.13,3.54,0.0544,0.0748,0.112,0.0691,3.27,79,7.96,30,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_086,2023,Large,Bakery products,Foreign,1,5.0,4.08,3.2,0.318,0,0.25,0.88,5.41,5.87,4.82,3.92,5.15,0.1779,0.0912,0.187,0.15,3.66,1292,12.8,9,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_088,2024,Large,Bakery products,Foreign,1,3.41,3.74,4.33,0.239,0,0.123,1.28,1.79,4.31,2.58,4.06,2.98,0.14,0.0102,0.276,0.15,5.0,332,5.07,44,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_089,2024,SME,Fish processing,Domestic,0,2.87,3.43,3.14,0.63,1,0.213,1.45,5.69,2.33,4.65,3.18,4.41,0.226,0.0345,0.179,0.079,2.93,41,6.6,20,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_091,2022,SME,Fish processing,Domestic,0,4.22,3.44,2.81,0.109,0,0.153,1.64,5.23,3.29,3.43,5.48,3.8,0.133,0.0402,0.123,0.15,4.07,88,7.64,31,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_092,2023,SME,Fish processing,Joint Venture,0,3.85,2.73,3.5,0.634,0,0.18,1.03,3.49,3.97,3.02,4.72,3.44,0.0939,0.0963,0.078,0.15,3.14,82,8.5,26,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_093,2023,SME,Fruit & vegetable processing,Joint Venture,0,4.06,4.35,1.68,0.377,0,0.092,0.2,4.6,6.08,5.95,4.0,5.29,0.0693,0.0843,0.052,0.15,3.22,172,5.71,7,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_094,2023,Large,Fruit & vegetable processing,Domestic,0,2.11,4.17,3.13,0.769,0,0.05,1.51,4.0,1.92,2.04,2.21,3.16,0.187,0.0429,0.115,0.0594,4.15,1579,21.98,32,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_095,2024,SME,Beverages,Domestic,1,5.0,4.63,4.71,0.804,1,0.25,1.01,5.55,5.14,3.01,5.93,4.16,0.1403,0.1073,0.159,0.1122,3.83,210,19.92,37,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_096,2023,SME,Confectionery,Foreign,0,2.59,4.01,3.49,0.529,0,0.039,0.49,5.08,3.82,1.84,3.03,3.78,0.1362,0.1163,0.358,0.1349,3.17,27,3.45,40,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_097,2023,Large,Confectionery,Joint Venture,1,4.15,2.7,4.32,0.675,0,0.204,0.37,2.66,4.71,4.45,3.49,3.99,0.2151,0.1319,0.208,0.15,4.84,1467,5.1,39,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_099,2024,Large,Confectionery,Domestic,1,3.88,4.45,5.0,0.44,0,0.25,1.83,4.85,3.58,5.26,4.63,4.43,0.1458,0.0418,0.198,0.15,5.0,1281,21.55,34,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_101,2024,Large,Confectionery,Domestic,1,3.3,4.26,3.64,0.677,0,0.25,1.55,3.97,2.69,5.24,2.76,4.22,0.1623,0.1119,0.293,0.033,4.45,584,5.82,26,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_102,2022,SME,Bakery products,Foreign,1,2.87,2.72,3.11,0.472,1,0.25,1.41,4.29,4.6,4.75,2.41,4.7,0.1616,0.0556,0.255,0.15,3.51,156,6.13,19,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_103,2024,SME,Dairy processing,Domestic,0,1.8,3.15,4.07,0.343,0,0.25,1.86,3.2,4.39,2.98,1.95,3.86,0.1704,0.1287,0.136,0.1073,3.05,85,6.46,29,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_104,2023,SME,Meat processing,Domestic,1,4.1,3.99,4.75,0.772,1,0.167,1.75,6.12,4.87,3.0,5.07,4.39,0.1986,0.1473,0.451,0.0845,4.1,88,6.47,30,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_106,2022,Large,Dairy processing,Domestic,1,2.78,4.97,4.2,0.292,1,0.25,2.15,5.34,3.68,1.56,3.55,3.66,0.1558,0.0839,0.214,0.0913,4.19,1431,14.69,30,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_107,2022,SME,Grain milling,Joint Venture,0,2.29,3.81,2.86,0.465,0,0.132,0.74,3.19,2.88,5.44,7.0,3.46,0.1346,0.0646,0.088,0.114,2.75,23,8.39,38,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_108,2023,SME,Fish processing,Domestic,1,3.83,3.19,3.7,0.703,0,0.095,1.49,2.73,1.83,3.92,3.01,3.2,0.1462,0.0943,0.365,0.0093,4.54,190,2.79,12,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_109,2023,SME,Bakery products,Foreign,1,1.89,4.99,2.55,0.311,0,0.14,0.85,3.78,4.68,2.86,3.09,3.9,0.0863,0.0298,0.462,0.0943,3.97,58,7.02,39,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_110,2022,SME,Beverages,Foreign,1,4.62,3.83,4.7,0.585,1,0.176,1.41,4.68,4.21,4.86,3.52,4.59,0.1817,0.1288,0.248,0.082,2.88,209,12.25,30,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_111,2024,Large,Meat processing,Joint Venture,1,2.07,3.62,4.67,0.736,0,0.073,1.4,4.46,2.54,2.33,4.49,3.2,0.2633,0.1036,0.372,0.15,3.27,1206,32.02,17,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
