FirmID,Year,Size,Employees,Assets_USD_millions,Age_Years,Subsector,Ownership_Type,FDI_Presence,FDI_Equity_Share_percent,Knowledge_Absorption_1_5,Task_Performance_1_5,Innovation_1_5,Firm_Resources_1_5,Skilled_Labor_Ratio,IoT_Use,RD_Spend_percent_of_Revenue,Liquidity_Ratio,Tax_Incentives_1_7,Regulatory_Stability_1_7,Infrastructure_Support_1_7,Corruption_Experience_1_7,Govt_Policy_Score_1_7,ROI_Self_percent,ROA_Self_percent,Export_Intensity_percent,Market_Share_percent,Operational_Efficiency_Index_0_100,Revenue_USD_millions,Assets_Verified_USD_millions,Export_Value_USD_millions,ROI_Verified_percent,ROA_Verified_percent,Country,Region,FDI_Inflow_Total_USD_billion,FDI_Inflow_Manufacturing_USD_billion,FDI_Inflow_FoodProcessing_USD_billion,FDI_Inflow_Lagos_USD_billion,FDI_Type_Share_Greenfield_percent,FDI_Type_Share_MA_percent,Ease_of_Doing_Business_Score,EEG_Disbursement_USD_billion,Regulatory_Quality_Index,Corruption_Perception_Index_0_100,Power_Supply_Reliability_Hours_per_Day,Logistics_Quality_Index_1_5,Food_Sector_GDP_Contribution_percent,Sector_Employment_thousands,Sector_Output_Growth_percent,Sector_Export_Value_USD_billion,Top_Origin_Countries,FDI_x_Policy,Innovation_x_Policy
FIRM_001,2024,Large,1498,30.11,15,Ready Meals,Domestic,0,0.0,2.8,5.0,3.4,3.6,0.56,1,2.02,2.35,4.0,5.9,2.7,2.3,4.6,5.71,5.42,9.07,4.94,81.6,89.74,27.27,8.14,5.26,5.49,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,15.639999999999999
FIRM_012,2024,Large,800,28.79,5,Grains & Cereals,Joint Venture,1,70.0,3.8,5.0,3.7,3.4,0.85,0,2.04,1.73,4.0,4.1,3.8,4.3,3.9,13.63,6.45,19.65,2.97,67.9,23.6,31.03,4.64,10.87,6.93,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.9,14.43
FIRM_013,2024,Large,1529,37.87,35,Seafood Processing,Joint Venture,1,12.0,3.6,5.0,2.8,2.2,0.53,1,2.05,1.73,4.6,5.7,3.1,3.1,4.6,1.47,6.77,19.77,8.43,61.9,35.1,41.05,6.94,1.7,4.71,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,4.6,12.879999999999999
FIRM_014,2024,SME,85,2.35,37,Confectionery,Domestic,0,0.0,2.9,5.0,3.2,2.1,0.58,1,2.05,1.84,3.9,3.9,5.1,4.4,4.1,7.62,4.55,6.73,0.74,68.4,8.23,0.61,0.55,4.36,3.88,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,13.12
FIRM_015,2024,Large,1671,23.68,6,Meat Processing,Domestic,0,0.0,3.0,3.7,3.0,3.8,0.5,1,3.01,1.77,3.6,1.5,1.5,3.0,2.9,2.88,6.04,5.6,3.18,66.6,63.66,27.18,3.56,2.31,6.17,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,8.7
FIRM_016,2024,SME,67,3.52,49,Ready Meals,Domestic,0,0.0,3.2,4.0,2.7,3.2,0.46,0,3.96,1.18,5.8,3.7,3.6,4.8,4.1,8.32,2.09,7.0,0.76,60.0,6.2,0.4,0.43,9.05,-0.72,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,11.07
FIRM_017,2024,SME,35,2.33,17,Seafood Processing,Domestic,0,0.0,2.2,4.5,4.0,2.5,0.4,1,2.66,0.93,5.2,6.5,5.7,4.3,5.3,3.06,1.88,22.54,0.01,79.9,8.56,1.59,1.93,3.51,0.8,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,21.2
FIRM_018,2024,SME,102,3.56,16,Ready Meals,Domestic,0,0.0,2.5,3.9,3.6,3.3,0.66,1,3.0,2.04,3.4,4.7,3.4,6.0,3.4,9.22,6.26,0.0,0.01,69.7,5.29,2.73,0.0,7.36,7.05,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.24
FIRM_019,2024,SME,106,1.13,15,Oils & Fats,Domestic,0,0.0,2.1,4.6,3.2,3.4,0.57,0,3.49,1.69,4.8,3.0,1.6,4.3,3.3,13.0,2.86,2.52,2.02,59.6,5.78,3.43,0.15,11.3,3.56,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,10.56
FIRM_020,2024,SME,135,2.64,24,Meat Processing,Joint Venture,1,78.0,4.1,4.8,3.2,3.1,0.56,0,0.91,2.17,3.5,4.4,3.1,3.4,3.9,5.42,6.24,14.53,2.78,43.8,6.14,5.24,0.89,4.29,6.38,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.9,12.48
FIRM_021,2024,Large,1158,27.53,9,Oils & Fats,Domestic,0,0.0,3.0,4.0,3.3,3.1,0.47,1,0.92,1.58,3.0,3.1,5.1,4.0,3.8,8.55,4.79,3.22,6.33,53.6,39.22,29.44,1.26,8.47,5.38,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.54
FIRM_022,2024,Large,766,19.96,22,Meat Processing,Domestic,0,0.0,3.4,5.0,3.8,3.7,0.76,0,4.74,0.9,5.2,2.4,3.9,2.7,4.2,5.38,7.23,9.91,8.13,70.7,62.08,17.26,6.15,2.64,7.22,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,15.959999999999999
FIRM_023,2024,Large,763,18.72,11,Beverages,Domestic,0,0.0,2.5,4.7,2.6,3.0,0.95,0,2.21,2.08,2.5,3.5,2.6,4.8,3.0,5.03,1.02,3.97,4.9,46.8,22.07,20.45,0.88,4.71,1.32,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,7.800000000000001
FIRM_024,2024,Large,483,28.11,3,Grains & Cereals,Joint Venture,1,42.0,4.6,4.3,3.8,3.0,0.66,0,3.18,1.41,5.1,3.9,2.7,5.0,3.7,12.58,8.24,12.91,11.1,56.3,31.68,29.13,4.09,12.65,7.76,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.7,14.06
FIRM_025,2024,Large,1931,20.98,19,Ready Meals,Domestic,0,0.0,2.7,4.2,3.5,3.0,0.69,0,2.5,1.77,3.9,1.9,2.9,7.0,2.4,6.65,4.76,6.87,7.05,57.1,2.05,17.64,0.14,6.01,4.66,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,8.4
FIRM_026,2024,Large,466,27.44,34,Fruits & Vegetables,Joint Venture,1,43.0,3.7,3.7,3.0,3.0,0.56,1,3.52,1.28,4.0,2.7,3.9,3.6,3.8,7.12,3.78,16.74,6.34,72.4,5.89,23.31,0.99,7.45,3.01,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.8,11.399999999999999
FIRM_027,2024,SME,104,4.08,39,Meat Processing,Joint Venture,1,86.0,4.0,4.6,3.8,2.9,0.52,1,2.33,2.42,4.6,3.8,5.0,4.0,4.4,14.41,7.53,16.42,3.12,63.2,1.85,6.16,0.3,14.38,8.47,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,4.4,16.72
FIRM_028,2024,SME,14,4.95,18,Grains & Cereals,Domestic,0,0.0,2.5,4.8,3.1,3.3,0.63,1,2.4,1.16,4.8,3.4,4.7,3.6,4.3,1.93,1.22,6.68,2.79,63.6,8.59,4.59,0.57,0.98,2.39,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,13.33
FIRM_029,2024,Large,1199,20.19,17,Beverages,Domestic,0,0.0,2.6,4.6,3.2,2.8,0.49,0,3.74,1.43,3.4,4.2,4.0,4.6,3.8,8.2,1.1,7.47,0.75,60.6,47.46,17.62,3.55,5.58,2.14,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.16
FIRM_030,2024,SME,115,1.93,40,Confectionery,Domestic,0,0.0,3.1,4.5,2.6,2.5,0.67,0,0.8,1.65,4.9,2.6,2.0,4.8,3.2,3.48,1.4,4.96,0.99,61.4,5.49,1.51,0.27,3.34,0.83,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,8.32
FIRM_031,2024,SME,38,4.6,35,Meat Processing,Domestic,0,0.0,4.2,4.7,3.1,3.0,0.36,0,2.17,1.05,4.3,4.5,2.0,4.2,3.6,5.58,5.97,0.0,0.01,59.8,7.5,5.33,0.0,4.14,4.91,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,11.16
FIRM_032,2024,SME,130,2.77,42,Fruits & Vegetables,Joint Venture,1,80.0,3.7,4.1,4.7,2.2,0.44,0,2.53,1.77,2.9,2.6,4.1,5.6,3.0,14.4,5.51,20.26,3.04,64.0,7.22,2.6,1.46,13.41,6.46,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.0,14.100000000000001
FIRM_033,2024,SME,169,4.68,46,Meat Processing,Domestic,0,0.0,3.7,4.7,2.8,2.7,0.54,0,1.39,2.41,4.0,5.4,2.0,3.6,4.0,6.55,2.73,5.04,1.06,55.8,8.38,1.58,0.42,6.82,3.02,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,11.2
FIRM_034,2024,Large,1514,25.29,42,Meat Processing,Foreign,1,92.0,4.3,5.0,4.1,3.0,0.58,1,2.69,1.35,5.6,2.1,3.3,5.5,3.4,17.36,7.6,22.96,5.76,68.2,50.71,29.06,11.64,18.76,7.7,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.4,13.939999999999998
FIRM_035,2024,Large,516,25.31,47,Ready Meals,Domestic,0,0.0,3.2,4.7,4.4,3.4,0.6,1,3.34,1.8,5.9,2.7,3.8,4.9,3.9,13.19,4.1,15.66,6.82,70.5,46.24,27.32,7.24,12.84,3.33,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,17.16
FIRM_036,2024,Large,1195,23.82,21,Meat Processing,Domestic,0,0.0,2.6,4.5,2.8,2.0,0.74,0,2.72,0.4,4.9,4.2,2.2,4.3,3.8,0.82,1.74,12.75,6.49,57.2,35.16,23.15,4.48,1.18,1.92,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,10.639999999999999
FIRM_037,2024,SME,152,3.31,20,Bakery,Domestic,0,0.0,3.4,4.6,3.9,3.2,0.43,0,1.45,1.58,3.0,5.5,2.4,3.9,3.8,9.0,6.95,5.69,1.12,67.7,8.28,2.72,0.47,6.97,5.77,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,14.819999999999999
FIRM_038,2024,SME,89,4.88,17,Meat Processing,Domestic,0,0.0,2.0,4.1,3.5,2.6,0.37,1,4.43,1.44,4.7,4.1,3.4,7.0,3.3,4.23,1.65,6.49,0.01,62.7,5.38,5.6,0.35,4.22,2.02,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,11.549999999999999
FIRM_039,2024,Large,849,28.96,12,Fruits & Vegetables,Domestic,0,0.0,3.8,5.0,4.2,3.8,0.6,1,2.41,1.19,5.1,4.4,4.1,3.3,4.6,15.7,6.7,7.19,9.87,77.1,28.6,26.7,2.06,15.33,7.74,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,19.32
FIRM_040,2024,SME,193,1.87,38,Bakery,Domestic,0,0.0,2.9,4.4,3.8,2.7,0.35,1,3.33,2.14,4.9,3.8,4.7,4.7,4.2,7.99,4.28,7.67,0.92,67.6,9.0,2.52,0.69,9.17,5.55,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,15.959999999999999
FIRM_041,2024,SME,41,2.46,36,Meat Processing,Domestic,0,0.0,1.5,4.8,3.2,2.7,0.45,0,2.14,1.44,5.0,2.8,4.2,3.4,4.2,2.72,-2.34,15.36,1.93,66.4,6.92,0.4,1.06,1.77,-1.9,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,13.440000000000001
FIRM_042,2024,SME,123,3.54,41,Dairy,Foreign,1,67.0,3.4,4.7,3.6,3.7,0.47,0,2.17,1.51,4.6,3.3,3.6,6.4,3.3,10.0,6.98,22.14,1.64,55.0,11.11,3.4,2.46,9.41,5.54,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.3,11.879999999999999
FIRM_043,2024,SME,44,1.12,9,Fruits & Vegetables,Domestic,0,0.0,3.4,4.2,2.7,2.9,0.67,0,1.56,1.41,4.1,2.6,2.7,5.4,3.0,6.02,7.98,0.0,0.89,51.2,9.9,0.4,0.0,6.99,7.96,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,8.100000000000001
FIRM_044,2024,SME,187,3.76,25,Oils & Fats,Joint Venture,1,14.0,3.4,4.5,3.9,3.6,0.44,1,2.33,0.64,3.6,2.5,2.3,3.5,3.2,14.07,6.16,13.26,0.83,73.4,6.37,1.52,0.84,13.66,7.89,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.2,12.48
FIRM_045,2024,Large,1374,21.74,12,Ready Meals,Domestic,0,0.0,3.2,4.2,3.9,3.1,0.47,1,3.64,1.03,2.3,4.2,2.9,4.9,3.1,8.56,4.63,8.97,8.66,66.6,63.19,25.03,5.67,6.93,3.65,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.09
FIRM_046,2024,SME,162,4.38,45,Meat Processing,Domestic,0,0.0,2.5,3.8,2.9,3.1,0.54,0,1.34,2.08,4.5,2.7,4.0,4.6,3.6,3.78,3.51,9.78,0.3,47.4,0.8,4.5,0.08,6.54,3.26,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,10.44
FIRM_047,2024,Large,208,43.37,14,Seafood Processing,Domestic,0,0.0,2.4,4.9,3.1,3.0,0.63,0,3.81,0.55,4.4,4.1,3.9,3.7,4.2,3.36,4.84,0.0,4.18,65.4,37.43,43.78,0.0,1.77,5.91,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,13.020000000000001
FIRM_048,2024,SME,98,2.06,8,Beverages,Domestic,0,0.0,2.9,4.6,3.1,3.5,0.49,1,1.53,1.22,4.8,2.5,1.2,5.2,2.8,5.49,5.23,0.0,1.0,44.0,2.42,0.4,0.0,5.11,5.59,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,8.68
FIRM_049,2024,Large,1724,44.05,29,Oils & Fats,Domestic,0,0.0,2.9,4.8,3.9,2.8,0.51,1,3.74,1.4,2.9,4.1,2.6,4.8,3.2,3.78,0.74,12.0,4.72,60.8,81.0,42.86,9.72,3.9,2.77,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.48
FIRM_050,2024,SME,159,2.01,44,Fruits & Vegetables,Domestic,0,0.0,2.7,4.2,3.7,2.2,0.45,0,2.1,2.47,4.8,3.3,4.8,4.6,4.1,3.43,3.52,0.9,0.01,67.2,7.15,2.93,0.06,3.45,2.66,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,15.17
FIRM_051,2024,SME,170,3.3,46,Oils & Fats,Joint Venture,1,39.0,4.3,5.0,3.5,2.6,0.57,0,3.9,1.98,6.3,5.2,3.6,4.2,4.7,16.18,11.39,14.92,1.62,65.1,8.8,3.69,1.31,15.65,10.3,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,4.7,16.45
FIRM_052,2024,SME,13,2.78,5,Oils & Fats,Domestic,0,0.0,2.3,4.3,2.9,2.9,0.3,1,1.98,1.32,4.3,4.1,1.9,4.8,3.4,3.41,2.76,7.26,1.64,63.9,10.93,0.4,0.79,2.89,3.66,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,9.86
