hour,mode,current_density_A_cm2,price_USD_MWh
102,SOFC,0.4,61.99
103,standby,0.0,52.55
104,SOFC,0.4,62.79
105,SOFC,0.4,61.15
106,standby,0.0,36.2
107,standby,0.0,35.7
108,SOEC,-0.4,31.06
109,standby,0.0,48.72
110,SOEC,-0.4,21.49
111,SOEC,-0.4,8.56
112,SOEC,-0.4,9.93
113,SOEC,-0.4,23.71
114,SOEC,-0.4,11.24
115,SOEC,-0.4,10.13
116,SOEC,-0.4,5.1
117,SOEC,-0.4,28.74
118,SOEC,-0.4,32.66
119,SOEC,-0.4,32.13
120,SOEC,-0.4,27.9
121,standby,0.0,35.78
122,standby,0.0,40.39
123,standby,0.0,47.16
124,standby,0.0,46.12
125,standby,0.0,46.12
126,standby,0.0,54.78
127,SOFC,0.4,65.84
128,standby,0.0,43.19
129,standby,0.0,50.82
130,standby,0.0,54.3
131,standby,0.0,41.61
132,standby,0.0,36.42
133,SOEC,-0.4,23.85
134,SOEC,-0.4,32.11
135,SOEC,-0.4,30.21
136,SOEC,-0.4,29.44
137,SOEC,-0.4,21.76
138,SOEC,-0.4,13.42
139,SOEC,-0.4,16.97
140,SOEC,-0.4,12.24
141,SOEC,-0.4,24.41
142,SOEC,-0.4,30.1
143,standby,0.0,36.39
144,standby,0.0,48.93
145,standby,0.0,44.25
146,standby,0.0,43.19
147,standby,0.0,52.17
148,standby,0.0,59.67
149,SOFC,0.4,65.66
150,standby,0.0,57.56
151,standby,0.0,57.15
152,SOFC,0.4,63.88
153,standby,0.0,49.85
154,standby,0.0,56.13
155,standby,0.0,55.28
156,standby,0.0,43.62
157,standby,0.0,44.13
158,SOEC,-0.4,26.1
159,SOEC,-0.4,28.92
160,SOEC,-0.4,21.12
161,SOEC,-0.4,31.02
162,SOEC,-0.4,6.8
163,SOEC,-0.4,34.3
164,SOEC,-0.4,25.14
165,SOEC,-0.4,27.91
166,standby,0.0,48.84
167,standby,0.0,43.02
168,standby,0.0,46.29
169,standby,0.0,58.1
170,SOFC,0.4,62.48
171,SOFC,0.4,64.73
172,SOFC,0.4,78.02
173,standby,0.0,54.06
174,SOFC,0.4,64.85
175,SOFC,0.4,64.93
176,SOFC,0.4,84.51
177,SOFC,0.4,80.03
178,SOFC,0.4,66.59
179,SOFC,0.4,60.75
180,standby,0.0,53.76
181,SOFC,0.4,60.11
182,standby,0.0,37.93
183,standby,0.0,50.96
184,standby,0.0,54.29
185,standby,0.0,41.27
186,standby,0.0,41.72
187,standby,0.0,41.72
188,standby,0.0,39.56
189,SOEC,-0.4,33.4
190,standby,0.0,52.19
191,standby,0.0,51.11
192,standby,0.0,54.67
193,SOFC,0.4,65.59
194,SOFC,0.4,78.14
195,SOFC,0.4,80.23
196,SOFC,0.4,83.21
197,SOFC,0.4,87.87
198,SOFC,0.4,86.68
199,SOFC,0.4,90.15
200,SOFC,0.4,89.94
201,SOFC,0.4,85.42
202,SOFC,0.4,68.7
203,SOFC,0.4,76.24
204,SOFC,0.4,61.05
205,standby,0.0,51.86
206,standby,0.0,49.75
207,standby,0.0,43.56
208,standby,0.0,54.49
209,standby,0.0,47.7
210,standby,0.0,53.59
211,standby,0.0,54.3
212,standby,0.0,46.61
213,standby,0.0,56.23
214,standby,0.0,43.56
215,standby,0.0,52.64
216,standby,0.0,52.95
217,SOFC,0.4,62.38
218,SOFC,0.4,68.08
219,SOFC,0.4,74.08
220,SOFC,0.4,77.6
221,SOFC,0.4,77.38
222,SOFC,0.4,74.79
223,SOFC,0.4,90.33
224,SOFC,0.4,79.01
225,SOFC,0.4,81.18
226,SOFC,0.4,66.49
227,standby,0.0,58.86
228,SOFC,0.4,69.93
229,SOFC,0.4,65.53
230,standby,0.0,52.99
231,standby,0.0,45.68
232,standby,0.0,55.68
233,standby,0.0,49.21
234,standby,0.0,37.46
235,SOEC,-0.4,31.78
236,standby,0.0,52.63
237,SOEC,-0.4,24.22
238,standby,0.0,46.71
239,standby,0.0,48.18
240,standby,0.0,51.02
241,standby,0.0,54.71
242,SOFC,0.4,64.57
243,SOFC,0.4,77.63
244,SOFC,0.4,65.06
245,SOFC,0.4,85.49
246,SOFC,0.4,70.78
247,SOFC,0.4,61.53
248,SOFC,0.4,63.1
249,SOFC,0.4,61.42
250,standby,0.0,57.02
251,standby,0.0,46.93
252,standby,0.0,54.92
253,standby,0.0,49.05
254,standby,0.0,37.48
255,SOEC,-0.4,25.05
256,SOEC,-0.4,25.24
257,SOEC,-0.4,28.01
258,SOEC,-0.4,16.08
259,SOEC,-0.4,16.37
260,SOEC,-0.4,25.76
261,SOEC,-0.4,18.48
262,standby,0.0,39.83
263,standby,0.0,39.86
264,standby,0.0,54.05
265,standby,0.0,38.09
266,standby,0.0,46.89
267,SOFC,0.4,62.25
268,SOFC,0.4,64.94
269,standby,0.0,47.59
270,SOFC,0.4,72.77
271,standby,0.0,53.15
272,SOFC,0.4,68.21
273,standby,0.0,51.51
274,standby,0.0,55.96
275,SOEC,-0.4,26.88
276,SOFC,0.4,70.1
277,SOEC,-0.4,32.63
278,standby,0.0,38.09
279,SOEC,-0.4,23.8
280,SOEC,-0.4,22.7
281,SOEC,-0.4,25.47
282,SOEC,-0.4,30.51
283,SOEC,-0.4,16.93
284,SOEC,-0.4,31.55
285,SOEC,-0.4,21.91
286,SOEC,-0.4,30.54
287,SOEC,-0.4,32.19
288,standby,0.0,37.03
289,standby,0.0,38.73
290,standby,0.0,42.67
291,standby,0.0,47.92
292,SOFC,0.4,60.13
293,SOFC,0.4,63.97
294,standby,0.0,39.16
295,standby,0.0,51.06
296,standby,0.0,38.48
297,standby,0.0,50.75
298,SOEC,-0.4,34.8
299,SOEC,-0.4,30.54
300,SOEC,-0.4,32.8
301,SOEC,-0.4,18.15
302,SOEC,-0.4,30.17
303,SOEC,-0.4,23.29
304,SOEC,-0.4,12.87
305,SOEC,-0.4,20.66
306,SOEC,-0.4,13.08
307,SOEC,-0.4,18.06
308,standby,0.0,40.57
309,SOEC,-0.4,21.13
310,SOEC,-0.4,28.38
311,standby,0.0,38.71
312,SOFC,0.4,61.3
313,standby,0.0,38.84
314,standby,0.0,45.85
315,standby,0.0,57.98
316,standby,0.0,53.45
317,SOFC,0.4,61.52
318,SOFC,0.4,76.27
319,standby,0.0,58.4
320,standby,0.0,55.25
321,SOFC,0.4,70.58
322,standby,0.0,48.74
323,standby,0.0,50.63
324,SOEC,-0.4,28.25
325,standby,0.0,44.06
326,standby,0.0,36.56
327,SOEC,-0.4,19.04
328,SOEC,-0.4,27.93
329,SOEC,-0.4,34.43
330,SOEC,-0.4,22.26
331,SOEC,-0.4,23.73
332,standby,0.0,39.76
333,SOEC,-0.4,33.63
334,standby,0.0,44.37
335,standby,0.0,54.22
336,standby,0.0,43.2
337,standby,0.0,49.32
338,SOFC,0.4,63.99
339,standby,0.0,59.38
340,SOFC,0.4,69.5
341,SOFC,0.4,74.91
342,SOFC,0.4,79.36
343,SOFC,0.4,70.65
344,SOFC,0.4,85.94
345,SOFC,0.4,89.98
346,standby,0.0,58.92
347,SOFC,0.4,82.62
348,standby,0.0,51.93
349,standby,0.0,39.97
350,standby,0.0,48.21
351,standby,0.0,47.72
352,standby,0.0,36.7
353,standby,0.0,37.65
354,standby,0.0,45.21
355,SOEC,-0.4,26.72
356,standby,0.0,41.95
357,standby,0.0,36.73
358,standby,0.0,47.06
359,SOFC,0.4,69.05
360,SOFC,0.4,64.16
361,SOFC,0.4,86.18
362,SOFC,0.4,68.15
363,SOFC,0.4,86.71
364,SOFC,0.4,87.63
365,SOFC,0.4,68.97
366,SOFC,0.4,78.7
367,SOFC,0.4,94.45
368,SOFC,0.4,84.84
369,SOFC,0.4,71.99
370,SOFC,0.4,61.06
371,standby,0.0,54.47
372,SOFC,0.4,71.65
373,standby,0.0,50.3
374,SOFC,0.4,68.05
375,standby,0.0,58.81
376,SOEC,-0.4,26.57
377,standby,0.0,49.39
378,standby,0.0,39.33
379,standby,0.0,44.58
380,standby,0.0,48.33
381,standby,0.0,48.86
382,standby,0.0,57.53
383,standby,0.0,49.7
384,SOFC,0.4,71.47
385,standby,0.0,56.82
386,SOFC,0.4,71.75
387,SOFC,0.4,75.76
388,SOFC,0.4,93.37
389,SOFC,0.4,74.15
390,SOFC,0.4,86.18
391,SOFC,0.4,88.4
392,SOFC,0.4,86.41
393,SOFC,0.4,74.59
394,SOFC,0.4,76.98
395,SOFC,0.4,78.62
396,standby,0.0,55.46
397,standby,0.0,53.31
398,standby,0.0,51.49
399,standby,0.0,39.77
400,standby,0.0,55.65
401,standby,0.0,38.46
402,standby,0.0,37.61
403,SOEC,-0.4,31.52
404,standby,0.0,44.81
405,standby,0.0,49.75
406,standby,0.0,37.81
407,standby,0.0,56.98
408,SOFC,0.4,63.19
409,SOFC,0.4,63.58
410,standby,0.0,58.21
411,SOFC,0.4,66.56
412,standby,0.0,58.91
413,SOFC,0.4,62.04
414,SOFC,0.4,79.91
415,SOFC,0.4,83.56
416,SOFC,0.4,66.72
417,SOFC,0.4,70.4
418,standby,0.0,56.35
419,standby,0.0,54.98
420,standby,0.0,53.3
421,standby,0.0,48.35
422,standby,0.0,35.36
423,standby,0.0,40.71
424,SOEC,-0.4,20.84
425,standby,0.0,39.72
426,SOEC,-0.4,19.65
427,SOEC,-0.4,31.28
428,SOEC,-0.4,16.06
429,SOEC,-0.4,21.31
430,SOEC,-0.4,21.0
431,SOEC,-0.4,28.25
432,standby,0.0,52.93
433,standby,0.0,45.45
434,standby,0.0,57.36
435,SOFC,0.4,60.7
436,SOFC,0.4,63.96
437,SOFC,0.4,69.92
438,standby,0.0,58.8
439,standby,0.0,56.2
440,standby,0.0,45.34
441,standby,0.0,54.25
442,standby,0.0,48.56
443,standby,0.0,35.55
444,SOEC,-0.4,32.81
445,SOEC,-0.4,26.27
446,SOEC,-0.4,17.36
447,standby,0.0,35.37
448,SOEC,-0.4,24.5
449,SOEC,-0.4,29.76
450,SOEC,-0.4,23.65
451,SOEC,-0.4,25.89
452,SOEC,-0.4,4.72
453,SOEC,-0.4,16.32
454,SOEC,-0.4,34.93
455,standby,0.0,37.12
456,standby,0.0,42.41
457,SOEC,-0.4,32.86
458,standby,0.0,49.93
459,standby,0.0,39.16
460,standby,0.0,51.25
461,standby,0.0,58.43
462,standby,0.0,46.89
463,standby,0.0,55.14
464,standby,0.0,50.09
465,standby,0.0,47.13
466,standby,0.0,41.99
467,SOEC,-0.4,32.15
468,SOEC,-0.4,28.45
469,SOEC,-0.4,32.56
470,SOEC,-0.4,15.34
471,SOEC,-0.4,17.36
472,SOEC,-0.4,20.98
473,SOEC,-0.4,17.11
474,SOEC,-0.4,10.43
475,SOEC,-0.4,21.19
476,SOEC,-0.4,23.95
477,SOEC,-0.4,29.26
478,SOEC,-0.4,26.31
479,standby,0.0,42.37
480,SOEC,-0.4,34.86
481,SOEC,-0.4,33.2
482,standby,0.0,39.87
483,standby,0.0,54.41
484,standby,0.0,48.09
485,SOFC,0.4,66.96
486,SOFC,0.4,67.93
487,SOFC,0.4,72.3
488,SOFC,0.4,62.93
489,standby,0.0,43.1
490,standby,0.0,51.76
491,standby,0.0,47.11
492,standby,0.0,47.02
493,standby,0.0,38.02
494,standby,0.0,42.72
495,SOEC,-0.4,28.71
496,SOEC,-0.4,29.61
497,SOEC,-0.4,28.27
498,SOEC,-0.4,27.31
499,SOEC,-0.4,28.03
500,SOEC,-0.4,27.65
501,SOEC,-0.4,34.59
502,SOEC,-0.4,34.13
503,standby,0.0,38.93
504,standby,0.0,43.58
505,standby,0.0,55.01
506,standby,0.0,56.0
507,standby,0.0,52.8
508,SOFC,0.4,81.07
509,SOFC,0.4,68.58
510,SOFC,0.4,68.36
511,SOFC,0.4,67.84
512,SOFC,0.4,66.28
513,SOFC,0.4,63.86
514,SOFC,0.4,60.95
515,SOFC,0.4,67.62
516,standby,0.0,54.06
517,SOFC,0.4,60.3
518,standby,0.0,55.66
519,SOEC,-0.4,27.47
520,standby,0.0,45.14
521,SOEC,-0.4,31.77
522,standby,0.0,48.51
523,standby,0.0,36.52
524,standby,0.0,39.11
525,standby,0.0,46.13
526,standby,0.0,55.78
527,standby,0.0,45.61
528,SOFC,0.4,63.42
529,SOFC,0.4,77.05
530,SOFC,0.4,74.03
531,SOFC,0.4,77.44
532,SOFC,0.4,72.87
533,SOFC,0.4,83.75
534,SOFC,0.4,88.44
535,SOFC,0.4,84.31
536,SOFC,0.4,82.79
537,SOFC,0.4,83.73
538,SOFC,0.4,75.78
539,SOFC,0.4,64.37
540,SOFC,0.4,67.23
541,standby,0.0,52.85
542,standby,0.0,56.6
543,standby,0.0,44.97
544,SOFC,0.4,67.6
545,standby,0.0,56.9
546,standby,0.0,52.27
547,standby,0.0,48.55
548,standby,0.0,47.73
549,standby,0.0,37.92
550,standby,0.0,58.14
551,standby,0.0,51.8
552,SOFC,0.4,60.63
553,SOFC,0.4,60.62
554,standby,0.0,56.88
555,SOFC,0.4,71.37
556,SOFC,0.4,81.92
557,SOFC,0.4,61.99
558,SOFC,0.4,83.73
559,SOFC,0.4,97.63
560,SOFC,0.4,76.49
561,SOFC,0.4,83.42
562,SOFC,0.4,66.05
563,SOFC,0.4,89.23
564,SOFC,0.4,64.4
565,standby,0.0,55.49
566,standby,0.0,43.57
567,standby,0.0,44.67
568,standby,0.0,41.32
569,standby,0.0,37.91
570,SOEC,-0.4,27.66
571,SOEC,-0.4,32.96
572,standby,0.0,47.88
573,standby,0.0,37.42
574,SOFC,0.4,61.43
575,SOFC,0.4,65.41
576,standby,0.0,47.71
577,standby,0.0,52.31
578,standby,0.0,48.02
579,SOFC,0.4,89.4
580,SOFC,0.4,70.8
581,SOFC,0.4,71.01
582,SOFC,0.4,72.83
583,SOFC,0.4,76.24
584,standby,0.0,55.47
585,SOFC,0.4,70.44
586,SOFC,0.4,71.2
587,standby,0.0,57.78
588,standby,0.0,51.85
589,standby,0.0,35.86
590,standby,0.0,49.76
591,standby,0.0,37.62
592,SOEC,-0.4,23.53
593,SOEC,-0.4,31.4
594,standby,0.0,35.93
595,SOEC,-0.4,15.45
596,standby,0.0,38.47
597,SOEC,-0.4,30.92
598,standby,0.0,37.06
599,SOEC,-0.4,31.6
600,SOEC,-0.4,26.73
601,standby,0.0,51.1
602,standby,0.0,43.54
603,standby,0.0,43.01
604,standby,0.0,50.35
605,SOFC,0.4,67.48
606,SOFC,0.4,69.77
607,SOFC,0.4,71.0
608,SOFC,0.4,67.08
609,standby,0.0,47.1
610,standby,0.0,40.33
611,standby,0.0,49.2
612,standby,0.0,42.17
613,standby,0.0,39.59
614,SOEC,-0.4,33.53
615,SOEC,-0.4,23.56
616,SOEC,-0.4,28.34
617,SOEC,-0.4,18.53
618,SOEC,-0.4,26.67
619,SOEC,-0.4,10.79
620,SOEC,-0.4,5.94
621,SOEC,-0.4,20.27
622,SOEC,-0.4,24.51
623,SOEC,-0.4,26.99
624,SOEC,-0.4,25.73
625,standby,0.0,38.7
626,standby,0.0,37.37
627,standby,0.0,42.0
628,standby,0.0,45.88
629,standby,0.0,39.09
630,standby,0.0,53.09
631,standby,0.0,58.23
632,standby,0.0,43.67
633,standby,0.0,59.18
634,standby,0.0,38.5
635,standby,0.0,40.1
636,SOEC,-0.4,29.48
637,SOEC,-0.4,19.42
638,SOEC,-0.4,21.53
639,SOEC,-0.4,15.97
640,SOEC,-0.4,17.77
641,SOEC,-0.4,19.33
642,SOEC,-0.4,32.25
643,SOEC,-0.4,20.03
644,SOEC,-0.4,20.79
645,SOEC,-0.4,21.34
646,SOEC,-0.4,16.18
647,standby,0.0,35.37
648,SOEC,-0.4,32.79
649,standby,0.0,43.94
650,standby,0.0,45.91
651,SOEC,-0.4,31.46
652,standby,0.0,54.72
653,standby,0.0,56.44
654,SOFC,0.4,65.88
655,SOFC,0.4,67.35
656,SOFC,0.4,62.91
657,standby,0.0,52.52
658,standby,0.0,56.2
659,standby,0.0,44.68
660,standby,0.0,44.42
661,standby,0.0,48.37
662,standby,0.0,36.71
663,standby,0.0,47.55
664,standby,0.0,36.14
665,SOEC,-0.4,19.81
666,SOEC,-0.4,23.99
667,SOEC,-0.4,24.8
668,SOEC,-0.4,28.33
669,standby,0.0,36.63
670,SOEC,-0.4,30.22
671,standby,0.0,41.2
672,standby,0.0,45.99
673,standby,0.0,54.04
674,SOFC,0.4,73.95
675,SOFC,0.4,61.49
676,SOFC,0.4,60.55
677,SOFC,0.4,81.43
678,SOFC,0.4,76.15
679,SOFC,0.4,86.0
680,SOFC,0.4,65.4
681,SOFC,0.4,69.19
682,SOFC,0.4,67.02
683,SOFC,0.4,66.23
684,SOFC,0.4,65.8
685,standby,0.0,46.64
686,standby,0.0,45.23
687,SOEC,-0.4,33.52
688,standby,0.0,37.78
689,SOFC,0.4,68.6
690,standby,0.0,35.27
691,standby,0.0,37.1
692,standby,0.0,52.77
693,standby,0.0,53.11
694,standby,0.0,45.49
695,standby,0.0,58.93
696,SOFC,0.4,74.98
697,SOFC,0.4,83.16
698,SOFC,0.4,79.44
699,SOFC,0.4,69.9
700,SOFC,0.4,80.07
701,SOFC,0.4,80.45
702,SOFC,0.4,96.67
703,SOFC,0.4,75.49
704,SOFC,0.4,72.75
705,SOFC,0.4,68.85
706,SOFC,0.4,62.8
707,SOFC,0.4,69.46
708,standby,0.0,59.57
709,standby,0.0,46.23
710,standby,0.0,48.12
711,standby,0.0,52.15
712,standby,0.0,51.23
713,standby,0.0,38.08
714,SOEC,-0.4,34.37
715,standby,0.0,55.05
716,standby,0.0,42.49
717,SOFC,0.4,65.77
718,standby,0.0,56.1
719,standby,0.0,43.47
720,standby,0.0,58.17
721,SOFC,0.4,68.86
722,SOFC,0.4,79.54
723,SOFC,0.4,68.33
724,SOFC,0.4,79.62
725,SOFC,0.4,75.81
726,SOFC,0.4,88.74
727,SOFC,0.4,71.77
728,SOFC,0.4,80.01
729,SOFC,0.4,73.06
730,SOFC,0.4,73.53
731,SOFC,0.4,64.01
732,standby,0.0,51.94
733,standby,0.0,53.27
734,standby,0.0,39.73
735,standby,0.0,37.19
736,standby,0.0,41.17
737,SOEC,-0.4,24.67
738,standby,0.0,45.75
739,standby,0.0,41.06
740,standby,0.0,55.81
741,standby,0.0,59.98
742,standby,0.0,37.71
743,standby,0.0,56.76
744,standby,0.0,57.19
745,SOFC,0.4,69.12
746,SOFC,0.4,62.02
747,SOFC,0.4,65.88
748,SOFC,0.4,70.19
749,SOFC,0.4,74.22
750,SOFC,0.4,71.88
751,SOFC,0.4,75.78
752,SOFC,0.4,64.28
753,standby,0.0,52.8
754,standby,0.0,56.68
755,standby,0.0,50.94
756,SOFC,0.4,67.27
757,standby,0.0,43.46
758,standby,0.0,44.68
759,SOEC,-0.4,32.35
760,SOEC,-0.4,20.53
761,SOEC,-0.4,19.25
762,SOEC,-0.4,28.77
763,SOEC,-0.4,33.07
764,SOEC,-0.4,33.15
765,SOEC,-0.4,32.69
766,standby,0.0,38.77
767,standby,0.0,42.28
768,standby,0.0,46.11
769,standby,0.0,52.02
770,standby,0.0,54.45
771,standby,0.0,51.86
772,standby,0.0,58.84
773,SOFC,0.4,77.33
774,SOFC,0.4,64.05
775,SOFC,0.4,68.68
776,standby,0.0,53.18
777,standby,0.0,52.14
778,standby,0.0,40.96
779,standby,0.0,38.54
780,standby,0.0,43.4
781,SOEC,-0.4,23.57
782,standby,0.0,41.94
783,SOEC,-0.4,24.41
784,SOEC,-0.4,33.42
785,SOEC,-0.4,27.27
786,SOEC,-0.4,18.03
787,SOEC,-0.4,9.67
788,SOEC,-0.4,15.23
789,SOEC,-0.4,21.49
790,SOEC,-0.4,24.6
791,SOEC,-0.4,31.98
792,standby,0.0,50.73
793,standby,0.0,36.3
794,standby,0.0,37.29
795,standby,0.0,52.98
796,standby,0.0,54.88
797,standby,0.0,46.36
798,SOFC,0.4,63.63
799,standby,0.0,40.31
800,SOFC,0.4,60.51
801,standby,0.0,58.55
802,SOFC,0.4,61.71
803,standby,0.0,37.74
804,standby,0.0,36.2
805,SOEC,-0.4,31.57
806,SOEC,-0.4,20.8
807,SOEC,-0.4,23.22
808,SOEC,-0.4,21.72
809,SOEC,-0.4,19.79
810,SOEC,-0.4,23.5
811,SOEC,-0.4,23.05
812,SOEC,-0.4,19.05
813,SOEC,-0.4,10.97
814,standby,0.0,40.35
815,SOEC,-0.4,23.39
816,standby,0.0,40.88
817,SOEC,-0.4,32.22
818,standby,0.0,45.11
819,standby,0.0,54.73
820,standby,0.0,59.2
821,standby,0.0,50.85
822,SOFC,0.4,73.21
823,standby,0.0,56.68
824,SOFC,0.4,67.68
825,standby,0.0,52.65
826,standby,0.0,49.99
827,SOFC,0.4,65.14
828,standby,0.0,44.7
829,SOEC,-0.4,23.99
830,standby,0.0,35.26
831,SOEC,-0.4,30.33
832,SOEC,-0.4,24.69
833,SOEC,-0.4,16.74
834,SOEC,-0.4,21.19
835,standby,0.0,41.48
836,SOEC,-0.4,25.61
837,standby,0.0,36.33
838,SOEC,-0.4,34.23
839,SOEC,-0.4,34.76
840,standby,0.0,45.61
841,SOFC,0.4,62.24
842,SOFC,0.4,69.59
843,SOFC,0.4,62.29
844,SOFC,0.4,65.89
845,SOFC,0.4,90.22
846,SOFC,0.4,77.34
847,SOFC,0.4,81.62
848,SOFC,0.4,77.0
849,SOFC,0.4,81.2
850,SOFC,0.4,65.11
851,SOFC,0.4,63.32
852,standby,0.0,53.98
853,standby,0.0,42.16
854,standby,0.0,44.32
855,SOEC,-0.4,27.32
856,SOEC,-0.4,34.39
857,standby,0.0,42.97
858,standby,0.0,49.97
859,SOEC,-0.4,31.22
860,standby,0.0,49.12
861,standby,0.0,44.48
862,standby,0.0,49.94
863,SOFC,0.4,64.25
864,SOFC,0.4,66.07
865,standby,0.0,57.09
866,SOFC,0.4,70.55
867,SOFC,0.4,73.73
868,SOFC,0.4,86.78
869,SOFC,0.4,90.77
870,SOFC,0.4,88.69
871,SOFC,0.4,82.26
872,SOFC,0.4,73.71
873,SOFC,0.4,73.28
874,SOFC,0.4,74.17
875,SOFC,0.4,72.09
876,SOFC,0.4,62.52
877,SOFC,0.4,69.96
878,SOFC,0.4,61.62
879,SOFC,0.4,65.0
880,standby,0.0,38.29
881,standby,0.0,52.38
882,standby,0.0,54.51
883,standby,0.0,38.72
884,standby,0.0,50.28
885,standby,0.0,51.15
886,standby,0.0,53.67
887,standby,0.0,51.29
888,SOFC,0.4,61.72
889,SOFC,0.4,64.37
890,SOFC,0.4,81.85
891,SOFC,0.4,90.24
892,SOFC,0.4,74.0
893,SOFC,0.4,89.46
894,SOFC,0.4,84.61
895,SOFC,0.4,85.44
896,SOFC,0.4,77.33
897,SOFC,0.4,71.07
898,SOFC,0.4,84.25
899,SOFC,0.4,63.47
900,SOFC,0.4,68.52
901,SOFC,0.4,62.23
902,standby,0.0,49.97
903,standby,0.0,51.5
904,standby,0.0,39.84
905,standby,0.0,44.21
906,SOEC,-0.4,25.62
907,standby,0.0,35.32
908,standby,0.0,41.77
909,SOEC,-0.4,31.59
910,standby,0.0,38.45
911,standby,0.0,39.52
912,SOFC,0.4,61.21
913,standby,0.0,50.85
914,standby,0.0,56.89
915,SOFC,0.4,65.09
916,SOFC,0.4,78.28
917,standby,0.0,50.54
918,SOFC,0.4,69.67
919,SOFC,0.4,80.78
920,SOFC,0.4,62.4
921,SOFC,0.4,68.22
922,SOFC,0.4,65.33
923,standby,0.0,43.27
924,standby,0.0,47.38
925,standby,0.0,39.18
926,standby,0.0,40.18
927,standby,0.0,38.41
928,SOEC,-0.4,32.78
929,SOEC,-0.4,32.59
930,SOEC,-0.4,19.81
931,SOEC,-0.4,24.48
932,SOEC,-0.4,33.82
933,SOEC,-0.4,34.77
934,SOEC,-0.4,21.11
935,standby,0.0,41.05
936,SOEC,-0.4,32.56
937,standby,0.0,38.37
938,SOFC,0.4,60.71
939,SOFC,0.4,62.46
940,standby,0.0,53.18
941,SOFC,0.4,61.27
942,SOFC,0.4,64.23
943,standby,0.0,52.53
944,standby,0.0,38.92
945,standby,0.0,55.78
946,SOFC,0.4,60.74
947,standby,0.0,38.54
948,standby,0.0,37.78
949,standby,0.0,41.09
950,standby,0.0,38.79
951,SOEC,-0.4,26.23
952,SOEC,-0.4,15.7
953,SOEC,-0.4,18.42
954,SOEC,-0.4,13.65
955,SOEC,-0.4,13.92
956,SOEC,-0.4,23.3
957,SOEC,-0.4,24.85
958,SOEC,-0.4,29.0
959,SOEC,-0.4,28.06
960,standby,0.0,46.98
961,SOEC,-0.4,34.0
962,SOEC,-0.4,31.01
963,standby,0.0,44.09
964,standby,0.0,55.36
965,standby,0.0,52.69
966,standby,0.0,46.6
967,SOFC,0.4,64.73
968,standby,0.0,36.34
969,standby,0.0,47.88
970,standby,0.0,44.46
971,standby,0.0,59.05
972,standby,0.0,42.66
