hour,thermal_power_MWth,He_outlet_temp_C,steam_outlet_temp_C
80,605.36,800.77,756.22
81,595.97,801.23,750.64
82,600.86,800.87,747.38
83,605.42,802.8,753.22
84,606.85,803.06,752.79
85,594.16,803.22,749.94
86,597.67,798.04,746.07
87,606.12,802.04,747.9
88,595.27,801.5,758.82
89,603.97,802.23,749.73
90,600.93,799.95,748.42
91,599.95,800.53,749.49
92,589.26,798.87,750.98
93,606.33,803.06,747.21
94,597.32,800.52,750.28
95,598.04,803.75,754.16
96,603.45,798.08,749.39
97,601.07,800.7,751.16
98,601.06,800.53,747.38
99,600.32,796.98,746.65
100,598.29,801.82,753.42
101,597.97,802.64,752.81
102,604.06,798.9,748.65
103,596.38,800.43,754.72
104,597.86,798.78,751.23
105,601.38,803.03,751.04
106,604.25,796.97,746.06
107,597.37,796.38,747.58
108,597.07,801.95,748.63
109,599.71,801.4,751.41
110,596.7,801.65,752.9
111,600.56,800.95,747.75
112,589.97,802.38,754.88
113,608.71,800.5,752.99
114,600.87,799.69,743.6
115,592.27,804.32,755.76
116,598.33,801.25,755.78
117,601.52,799.68,749.68
118,600.61,800.19,746.29
119,594.59,798.26,750.08
120,607.42,803.31,751.71
121,605.53,798.41,750.06
122,594.71,800.47,752.48
123,602.89,801.24,747.7
124,596.66,796.74,747.43
125,594.45,799.83,746.86
126,596.68,800.54,746.7
127,604.94,799.05,751.31
128,596.2,799.68,749.98
129,602.59,801.69,744.05
130,594.1,802.82,754.77
131,604.68,801.08,747.55
132,599.8,797.26,747.29
133,603.36,799.32,748.07
134,595.1,799.17,752.05
135,612.0,798.02,749.56
136,610.94,797.57,748.34
137,588.57,800.92,752.62
138,607.72,799.25,748.91
139,602.14,801.88,754.45
140,603.79,802.75,753.61
141,603.51,796.14,748.98
142,606.0,804.29,758.61
143,598.46,801.67,754.94
144,593.94,801.65,751.85
145,598.16,801.68,756.45
146,597.53,800.21,748.1
147,601.6,797.89,747.7
148,601.46,800.25,751.84
149,598.98,794.82,743.99
150,598.1,803.98,756.65
151,604.94,799.1,749.18
152,596.27,801.02,746.06
153,605.4,797.8,743.96
154,601.36,802.96,755.7
155,598.83,800.61,747.72
156,596.64,802.84,752.99
157,608.63,802.81,751.43
158,592.96,797.18,748.63
159,603.86,800.09,749.96
160,601.03,799.73,747.09
161,600.4,798.65,744.19
162,595.28,802.2,754.71
163,597.88,800.51,749.88
164,613.37,801.05,746.75
165,607.23,800.2,750.87
166,606.81,800.87,751.85
167,605.34,799.67,748.58
168,603.12,802.85,752.56
169,609.06,801.26,754.39
170,602.94,797.59,747.76
171,613.68,801.1,746.62
172,608.27,800.28,750.44
173,603.7,801.6,754.52
174,605.19,800.5,746.51
175,601.66,801.06,753.21
176,610.68,801.75,751.49
177,599.06,803.1,748.61
178,605.3,800.73,753.42
179,602.64,801.09,748.69
180,598.06,804.1,754.06
181,604.15,801.83,752.74
182,588.33,793.03,743.3
183,606.52,798.46,746.16
184,609.83,800.55,754.1
185,599.45,802.06,749.41
186,600.29,803.32,752.18
187,601.15,797.31,749.81
188,607.23,799.16,748.74
189,609.77,801.26,750.12
190,608.68,799.97,748.93
191,608.03,800.72,745.04
192,604.04,800.18,752.99
193,592.07,801.46,747.72
194,601.15,804.01,753.85
195,606.8,800.15,743.14
196,606.73,799.94,750.11
197,601.2,801.33,747.32
198,592.85,800.9,745.62
199,606.63,805.6,752.5
200,597.82,800.1,744.93
201,597.85,801.94,751.3
202,607.39,799.51,749.42
203,603.05,800.0,749.42
204,606.76,798.77,746.5
205,595.36,801.28,753.57
206,601.83,798.15,747.15
207,594.0,800.81,753.98
208,607.41,803.04,746.22
209,606.37,802.03,752.44
210,597.47,800.49,750.84
211,601.1,804.67,752.0
212,605.36,799.25,752.27
213,597.35,803.95,753.51
214,593.7,799.41,749.44
215,602.11,801.79,752.59
216,606.19,799.22,754.4
217,597.37,801.42,749.85
218,609.06,803.32,753.46
219,604.37,799.82,753.02
220,608.85,803.76,752.99
221,597.13,800.53,753.37
222,597.36,799.41,749.04
223,599.07,803.78,754.49
224,609.72,799.39,748.56
225,602.77,797.0,745.71
226,601.46,797.37,747.04
227,609.28,802.01,749.22
228,596.35,798.98,746.28
229,603.77,800.24,749.46
230,601.98,800.13,749.9
231,610.53,803.34,754.91
232,607.23,802.08,750.6
233,600.05,802.08,756.19
234,611.05,801.82,747.9
235,603.44,800.14,747.24
236,605.44,799.02,749.83
237,604.53,798.5,752.04
238,611.09,801.63,749.14
239,590.48,800.0,754.2
240,605.26,802.56,754.53
241,613.92,800.44,751.62
242,596.28,801.97,753.08
243,597.73,804.16,755.19
244,603.8,805.05,753.31
245,608.93,800.58,748.82
246,604.33,802.19,750.42
247,601.57,797.51,745.83
248,602.61,798.75,750.44
249,600.85,801.1,754.49
250,600.36,802.42,749.08
251,595.89,799.73,746.76
252,613.32,799.18,752.94
253,603.6,799.31,748.81
254,597.66,802.49,754.16
255,608.35,801.14,749.61
256,591.08,801.57,756.97
257,596.3,801.5,751.52
258,604.27,802.0,754.11
259,602.54,800.9,753.36
260,605.62,801.63,746.48
261,598.23,801.6,746.27
262,600.64,797.22,745.24
263,601.82,802.12,751.98
264,598.72,801.33,751.08
265,597.24,801.08,753.85
266,610.64,798.95,745.81
267,597.6,800.29,746.92
268,601.57,800.69,747.65
269,598.03,796.41,749.51
270,599.81,800.88,752.92
271,595.64,800.64,746.52
272,596.45,801.81,753.77
273,601.09,800.39,748.49
274,601.25,800.44,746.02
275,604.26,800.89,750.52
276,613.42,797.44,746.88
277,604.05,799.61,751.69
278,600.42,801.21,750.65
279,591.14,798.19,751.36
280,596.45,800.67,754.19
281,611.79,799.49,747.58
282,606.6,799.25,748.47
283,604.58,802.08,754.79
284,605.76,798.36,748.25
285,597.17,799.9,752.71
286,604.77,797.61,750.52
287,601.86,799.98,744.88
288,608.62,796.96,748.39
289,602.3,801.18,752.23
290,599.02,803.08,754.22
291,604.62,800.44,751.32
292,600.86,801.26,752.09
293,606.03,799.32,754.59
294,603.23,799.72,750.8
295,608.03,801.95,750.47
296,598.43,799.23,747.93
297,610.95,799.12,748.26
298,605.14,796.83,750.53
299,603.32,798.83,745.58
300,608.18,799.79,754.25
301,606.69,797.74,748.26
302,606.46,800.71,744.21
303,605.48,801.51,755.38
304,606.81,799.36,751.72
305,602.02,800.95,749.82
306,606.21,799.94,750.5
307,600.59,803.88,756.61
308,599.34,797.62,751.1
309,600.76,802.62,752.16
310,594.67,801.64,755.68
311,597.14,798.85,748.29
312,601.69,800.85,754.42
313,595.28,801.41,746.64
314,601.38,803.23,757.81
315,607.52,801.5,746.24
316,601.73,797.61,745.23
317,601.41,801.17,754.23
318,602.54,802.48,752.78
319,590.26,805.02,757.15
320,603.93,799.4,745.83
321,606.9,804.44,751.91
322,608.11,801.33,750.45
323,600.97,797.51,742.84
324,610.77,804.25,757.64
325,604.66,799.48,749.27
326,608.36,802.72,749.31
327,601.82,799.04,748.86
328,610.71,803.36,753.33
329,600.99,801.63,753.09
330,605.29,799.86,749.49
331,603.63,799.37,747.06
332,597.28,799.74,749.09
333,611.26,799.62,755.91
334,601.85,797.88,748.9
335,597.49,798.71,745.8
336,599.38,805.16,758.17
337,607.56,800.29,757.29
338,611.69,801.63,753.22
339,599.12,799.94,749.76
340,605.85,803.41,748.96
341,601.14,802.8,752.52
342,591.89,800.07,746.37
343,607.19,799.46,750.35
344,598.44,798.83,742.56
345,607.13,799.52,751.25
346,606.44,802.26,746.95
347,601.48,800.35,750.61
348,605.56,799.49,754.16
349,607.97,799.78,746.98
350,595.19,803.68,751.7
351,605.3,800.18,751.28
352,606.16,802.23,750.6
353,602.68,801.82,755.4
354,611.68,801.43,750.59
355,604.86,800.12,753.03
356,614.92,803.79,755.23
357,611.15,802.16,752.31
358,613.01,800.87,751.3
359,607.63,799.76,750.83
360,609.69,799.62,748.47
361,602.63,803.63,757.15
362,614.45,802.8,748.94
363,598.46,804.94,759.77
364,613.03,801.77,747.92
365,603.2,802.36,755.45
366,597.17,796.72,752.55
367,607.07,802.42,757.61
368,603.59,803.15,747.0
369,607.22,804.16,754.3
370,613.83,796.36,746.44
371,598.24,797.92,752.78
372,611.82,802.43,748.33
373,607.85,801.69,751.59
374,608.37,798.32,745.5
375,595.15,802.17,752.82
376,606.68,800.73,749.09
377,609.7,799.56,750.07
378,614.27,799.3,748.2
379,596.37,799.68,745.33
380,602.6,799.69,752.64
381,618.05,798.01,741.98
382,593.8,804.81,755.26
383,610.07,804.38,753.43
384,605.71,803.53,755.51
385,601.0,801.04,757.54
386,602.36,799.6,744.08
387,617.1,797.79,745.91
388,608.77,802.72,752.05
389,603.66,800.6,748.33
390,600.5,804.82,756.92
391,608.96,801.47,751.38
392,602.89,801.39,749.18
393,599.97,799.47,746.4
394,603.36,804.97,748.79
395,606.66,797.02,748.88
396,603.56,801.35,749.44
397,613.45,799.82,755.44
398,608.56,803.14,756.87
399,602.99,801.38,750.51
400,608.49,799.71,749.3
401,602.96,801.85,749.22
402,603.61,803.89,753.37
403,604.5,802.06,750.66
404,602.09,802.67,752.41
405,610.13,803.47,755.89
406,609.84,800.66,756.49
407,599.63,804.75,752.7
408,613.01,801.35,746.52
409,607.02,801.27,750.3
410,593.9,805.35,755.52
411,605.57,800.96,752.51
412,607.6,802.8,756.05
413,600.98,797.96,743.58
414,616.47,798.65,749.48
415,599.99,803.46,759.1
416,607.26,800.18,751.2
417,601.01,802.89,749.5
418,601.26,804.26,749.58
419,605.04,799.25,748.65
420,600.4,806.37,761.01
421,602.74,799.58,749.21
422,601.15,802.25,749.92
423,596.51,803.75,750.18
424,602.9,802.2,758.26
425,614.95,802.86,746.56
426,601.65,800.22,748.98
427,604.22,800.81,747.35
428,605.02,802.27,751.75
429,613.29,802.87,752.52
430,606.77,798.93,751.48
431,600.06,802.58,748.09
432,596.04,800.48,750.4
433,599.91,800.13,745.0
434,605.21,804.1,748.86
435,598.7,801.15,750.15
436,611.25,801.49,752.81
437,602.91,802.54,754.69
438,611.37,802.75,754.27
439,602.69,801.49,751.34
440,600.46,801.55,752.47
441,599.79,799.99,748.68
442,607.18,801.95,749.15
443,611.06,802.18,749.52
444,606.94,803.58,752.85
445,598.68,803.9,751.52
446,605.13,800.28,755.26
447,603.84,803.67,751.72
448,593.91,799.47,743.62
449,604.94,802.12,754.2
450,609.19,803.95,756.13
451,612.92,804.21,754.46
452,608.87,802.67,752.72
453,596.82,803.91,753.15
454,600.45,802.42,751.52
455,609.52,800.64,750.05
456,599.11,804.07,754.13
457,607.85,796.89,746.13
458,602.41,802.72,747.08
459,604.53,800.76,747.47
460,599.27,801.66,752.15
461,606.62,806.3,752.92
462,602.75,802.92,750.18
463,613.75,800.44,752.48
464,602.62,798.04,742.86
465,616.68,800.02,746.72
466,607.46,803.52,755.2
467,603.95,800.7,748.25
468,601.49,801.4,750.98
469,604.02,801.06,742.95
470,602.77,799.78,752.54
471,604.99,805.28,758.01
472,603.77,802.09,751.91
473,612.85,802.52,749.02
474,608.66,805.34,759.84
475,609.99,801.32,758.02
476,610.94,800.77,755.68
477,602.9,801.8,754.27
478,598.85,798.97,749.31
479,607.04,802.12,750.91
480,605.15,801.58,755.47
481,604.37,801.27,750.78
482,616.93,803.86,744.84
483,608.1,802.1,752.04
484,599.97,802.34,751.7
485,606.54,802.42,750.37
486,607.47,802.56,754.99
487,601.62,801.21,749.13
488,609.1,798.62,749.19
489,599.49,800.04,742.63
490,601.14,801.13,747.96
491,603.67,803.06,752.08
492,603.12,802.54,746.37
493,605.78,804.42,751.49
494,601.47,801.85,753.99
495,607.22,806.99,755.64
496,606.9,804.18,758.37
497,589.15,800.34,751.22
498,611.93,801.48,747.61
499,607.75,800.79,754.75
500,604.38,803.11,755.03
501,601.13,802.91,753.66
502,608.76,803.15,756.09
503,602.13,797.77,744.85
504,603.14,800.24,750.91
505,603.81,799.82,747.46
506,603.4,801.96,754.15
507,604.04,799.73,746.08
508,597.04,800.55,750.91
509,607.46,799.28,752.52
510,601.25,802.11,751.18
511,604.62,805.42,759.29
512,602.92,803.31,751.43
513,605.29,803.86,750.26
514,604.51,805.86,756.62
515,603.31,803.44,753.04
516,606.12,802.8,756.29
517,609.83,798.31,745.74
518,606.97,803.79,756.64
519,610.76,800.84,751.01
520,611.61,802.64,755.52
521,603.22,803.37,750.95
522,613.6,801.44,750.36
523,603.5,802.04,752.2
524,599.04,798.65,752.16
525,606.61,799.55,751.02
526,608.34,801.87,747.5
527,615.37,797.85,745.31
528,609.83,805.16,754.78
529,611.97,801.54,749.34
530,611.86,802.53,757.59
531,602.69,798.81,746.69
532,608.25,800.41,746.85
533,602.5,801.19,749.57
534,606.15,797.83,749.61
535,605.96,802.52,751.54
536,607.33,804.23,758.96
537,613.82,801.82,747.6
538,612.38,802.05,751.28
539,605.71,801.46,759.24
540,603.89,800.2,751.9
541,611.77,801.93,749.73
542,606.89,802.09,747.1
543,612.34,802.97,750.18
544,594.05,800.21,750.2
545,605.9,801.85,755.21
546,612.18,800.8,747.47
547,599.69,801.22,747.8
548,598.37,802.52,752.08
549,598.6,797.45,752.7
550,606.41,803.91,757.32
551,602.38,802.5,747.07
552,607.79,804.53,754.09
553,610.66,797.22,748.52
554,602.57,803.62,753.41
555,608.47,799.91,746.46
556,606.27,803.61,756.42
557,595.78,803.53,755.54
558,601.03,805.55,759.75
559,608.47,802.73,753.25
560,608.89,797.82,746.47
561,598.87,800.92,752.24
562,605.22,802.77,750.37
563,595.14,802.09,754.69
564,605.78,799.76,754.86
565,608.92,803.33,750.16
566,598.06,807.06,754.64
567,600.88,802.16,756.94
568,599.21,804.15,756.62
569,606.85,802.61,752.65
570,609.81,800.26,745.79
571,614.26,799.25,748.47
572,598.4,802.43,751.55
573,605.79,802.42,750.76
574,611.0,801.23,751.71
575,607.48,802.07,746.48
576,599.13,799.87,750.23
577,605.11,801.85,752.7
578,611.09,802.05,750.66
579,606.14,800.64,754.28
580,609.46,799.74,747.34
581,610.79,799.42,750.89
582,599.05,806.2,760.21
583,601.98,799.73,751.62
584,602.56,802.32,748.27
585,605.57,803.63,759.0
586,605.73,804.29,753.97
587,610.6,806.12,758.83
588,602.28,799.36,749.99
589,613.55,801.9,755.49
590,613.25,800.09,752.85
591,610.65,802.52,751.62
592,614.71,800.37,749.38
593,605.28,802.17,753.81
594,598.76,800.04,748.91
595,599.77,799.66,752.53
596,607.18,800.14,754.55
597,604.29,799.67,750.93
598,602.59,802.73,751.64
599,610.3,801.37,754.01
600,605.59,802.34,756.08
601,599.67,798.96,747.99
602,600.34,802.44,749.91
603,611.28,801.27,748.09
604,599.1,804.68,751.94
605,599.68,806.07,756.66
606,612.1,802.96,755.82
607,610.11,803.58,749.5
608,613.67,801.49,753.82
609,610.49,802.73,755.39
610,609.37,801.4,756.58
611,607.62,802.32,751.14
612,607.71,801.44,756.27
613,611.8,802.69,753.3
614,602.05,803.05,752.06
615,605.06,802.35,750.0
616,601.03,802.57,752.15
617,607.52,805.64,752.52
618,609.85,802.0,751.12
619,608.86,803.69,751.73
620,601.43,801.76,746.35
621,612.08,803.69,755.08
622,603.34,804.08,755.18
623,605.16,804.21,753.11
624,611.36,803.82,755.29
625,606.82,804.56,755.9
626,605.38,800.32,746.35
627,619.1,800.11,751.14
628,608.15,804.76,755.66
629,606.73,800.38,749.52
630,605.3,802.58,747.25
631,604.66,804.62,764.1
632,606.89,801.78,750.4
633,602.71,801.19,749.6
634,602.52,799.94,750.71
635,604.59,802.88,751.68
636,610.11,802.53,750.14
637,611.71,805.42,758.82
638,597.78,803.1,748.61
639,608.1,805.24,752.56
640,605.79,804.51,752.49
641,619.42,803.93,755.0
642,605.43,800.53,754.65
643,601.0,805.18,751.74
644,610.54,800.81,750.78
645,610.39,801.68,746.45
646,605.59,801.01,748.35
647,608.96,802.86,752.33
648,612.39,800.83,751.53
649,613.21,799.03,742.14
650,609.52,808.09,754.09
651,603.53,799.71,751.32
652,600.34,805.0,757.1
653,603.5,804.43,752.44
654,611.66,803.53,751.84
655,609.57,801.94,749.79
656,597.69,799.65,753.49
657,597.0,802.81,754.88
658,593.94,804.84,759.51
659,609.15,803.7,757.53
660,605.06,802.58,752.27
661,605.03,805.67,754.94
662,606.6,803.97,754.38
663,604.72,802.05,751.85
664,604.12,803.9,755.8
665,614.03,802.27,753.63
666,610.97,799.54,752.87
667,611.61,807.07,754.72
668,614.66,803.61,754.81
669,612.49,797.18,745.8
670,601.93,804.31,757.25
671,609.88,805.1,749.06
672,597.81,804.14,756.12
673,603.09,805.13,752.06
674,611.86,803.6,753.42
675,603.88,801.11,751.58
676,609.22,803.34,751.05
677,615.19,805.41,753.96
678,606.69,805.05,755.84
679,605.69,800.27,749.55
680,605.62,805.37,756.32
681,605.12,801.7,754.63
682,604.74,802.17,751.57
683,606.47,802.57,755.45
684,608.84,806.56,753.56
685,605.76,799.59,755.89
686,605.74,801.72,747.85
687,607.47,803.86,751.61
688,601.43,802.74,756.07
689,606.12,802.71,754.74
690,610.48,804.73,756.01
691,601.29,799.85,749.73
692,609.65,801.56,749.19
693,610.69,808.26,754.1
694,616.21,800.76,752.43
695,608.85,803.11,755.23
696,603.48,801.91,753.38
697,606.93,798.98,748.38
698,604.6,800.69,755.82
699,606.27,800.73,752.28
700,600.69,804.63,755.1
701,606.88,800.94,751.98
702,613.61,805.18,761.18
703,613.86,801.26,748.91
704,610.63,803.69,751.45
705,603.34,803.37,753.85
706,609.91,802.75,752.61
707,606.39,804.41,756.71
708,605.83,803.07,753.36
709,613.29,804.2,756.46
710,605.77,799.57,753.12
711,605.59,800.21,749.82
712,609.74,801.43,756.56
713,600.61,800.37,750.25
714,606.51,803.24,755.24
715,613.79,802.71,752.54
716,614.86,805.86,752.66
717,603.02,804.2,753.28
718,602.55,801.46,756.5
719,604.54,802.99,748.63
720,591.15,804.42,758.1
721,616.03,804.1,748.8
722,611.03,802.99,753.71
723,601.96,800.85,754.52
724,600.66,802.71,748.1
725,607.57,800.64,748.34
726,609.33,804.24,758.21
727,617.83,804.29,752.63
728,605.09,801.53,750.91
729,608.68,803.1,752.21
730,605.19,803.15,749.33
731,606.69,802.91,753.68
732,616.99,801.12,755.16
733,621.29,801.26,751.87
734,611.09,804.14,757.93
735,601.0,803.53,752.72
736,612.28,804.07,754.91
737,607.81,802.98,755.9
738,609.01,799.83,750.41
739,606.93,802.94,749.82
740,604.82,802.59,750.39
741,610.28,801.4,751.65
742,604.86,799.01,751.54
743,606.33,799.84,749.36
744,607.89,800.99,753.97
745,609.21,802.58,758.18
746,600.36,804.25,757.69
747,609.58,805.62,754.32
748,605.44,801.69,750.79
749,610.41,803.81,757.89
750,618.79,803.26,754.09
751,603.49,804.93,755.05
752,607.42,805.63,755.1
753,605.92,805.34,752.8
754,605.08,804.24,751.37
755,601.96,802.51,751.17
756,608.47,802.94,751.59
757,603.19,802.83,754.65
758,616.09,802.03,751.04
759,609.4,800.4,750.46
760,601.53,798.61,747.34
761,609.66,799.45,748.46
762,608.34,802.13,753.01
763,602.21,802.63,744.45
764,607.66,803.51,757.53
765,608.94,802.82,752.36
766,618.62,804.16,751.22
767,602.39,802.38,748.95
768,609.7,804.67,754.88
769,602.05,803.86,745.14
770,606.18,801.4,755.2
771,602.9,805.15,752.71
772,615.18,802.1,755.99
773,614.36,802.47,754.23
774,613.53,802.66,752.37
775,604.81,803.91,756.21
776,603.77,806.15,754.24
777,608.05,801.02,750.13
778,617.3,804.75,760.2
779,613.02,806.07,757.95
780,620.29,805.39,757.93
781,606.42,801.32,751.23
782,607.96,805.1,752.4
783,611.61,803.23,752.75
784,607.72,800.28,746.73
785,607.73,800.55,746.06
786,602.93,800.01,750.15
787,603.71,802.92,750.64
788,619.59,803.22,754.55
789,605.35,802.91,751.06
790,613.62,800.88,745.5
791,599.76,800.55,752.63
792,608.36,803.4,755.3
793,602.88,804.11,755.64
794,607.03,802.8,751.58
795,612.75,800.97,754.46
796,606.67,801.72,751.35
797,617.73,804.02,754.31
798,609.79,801.19,752.7
799,609.14,803.86,750.11
800,606.36,802.13,752.11
801,603.79,802.33,752.06
802,604.55,804.95,756.51
803,610.62,802.87,754.0
804,604.4,801.23,754.82
805,606.84,799.95,754.67
806,606.54,798.9,747.96
807,616.64,802.98,747.22
808,609.03,802.62,746.3
809,609.61,806.0,759.32
810,603.95,803.57,750.47
811,604.01,803.83,752.86
812,603.08,801.7,754.78
813,607.71,801.39,752.05
814,599.96,804.27,760.9
815,612.04,802.15,754.86
816,610.57,801.02,749.34
817,602.2,805.49,753.59
818,607.12,802.24,755.03
819,614.1,801.06,750.09
820,608.13,806.8,758.9
821,602.09,801.53,756.92
822,614.35,801.94,748.26
823,613.4,805.48,752.39
824,614.46,806.81,752.42
825,603.45,803.04,748.89
826,623.97,806.16,753.89
827,610.15,802.57,751.66
828,608.03,801.04,749.54
829,609.92,800.72,751.28
830,612.68,805.65,754.82
831,616.22,803.97,756.77
832,604.19,803.46,762.69
833,606.78,801.37,750.9
834,604.55,802.08,750.61
835,600.23,803.71,751.25
836,609.74,800.85,745.93
837,613.18,800.39,748.55
838,604.54,801.95,752.31
839,605.2,803.02,752.7
840,605.23,802.34,757.53
841,613.44,806.07,757.45
842,605.89,806.14,759.73
843,597.45,803.45,752.19
844,608.94,800.93,746.24
845,606.36,803.69,756.09
846,603.22,802.01,754.65
847,608.62,797.28,744.21
848,609.47,806.43,750.58
849,607.04,800.55,745.45
850,607.73,806.9,759.86
851,600.06,802.84,753.18
852,603.71,805.48,755.1
853,610.05,805.96,758.12
854,612.19,804.73,753.96
855,604.72,803.53,748.41
856,617.84,803.24,751.42
857,607.53,803.34,761.89
858,605.03,800.28,753.99
859,609.45,801.55,752.63
860,610.38,799.06,746.91
861,608.88,802.1,753.47
862,608.47,800.0,753.23
863,611.43,804.14,755.39
864,615.4,798.54,748.55
865,603.82,802.37,751.31
866,604.59,803.37,756.78
867,609.15,803.45,753.53
868,612.98,799.77,749.17
869,599.54,805.67,755.16
870,609.45,802.91,751.17
871,617.05,801.99,752.59
872,610.03,800.71,745.44
873,611.62,802.66,750.9
874,609.32,799.8,747.55
875,610.25,803.13,755.32
876,612.25,799.41,750.58
877,604.87,801.83,759.12
878,602.16,802.2,751.47
879,611.74,801.41,753.66
880,609.07,801.76,745.81
881,618.23,801.78,751.71
882,601.85,802.95,751.08
883,613.49,804.96,751.21
884,603.97,805.76,756.39
885,609.94,804.97,760.17
886,612.21,805.73,756.81
887,608.91,805.12,750.8
888,609.43,802.85,746.8
889,608.27,802.35,752.91
890,609.14,806.57,754.75
891,602.82,803.05,749.1
892,604.33,800.76,752.68
893,608.79,804.06,757.96
894,609.25,806.33,751.55
895,608.47,804.73,757.69
896,603.6,802.62,750.52
897,613.86,805.35,755.03
898,610.55,800.91,754.04
899,610.38,803.86,751.34
900,609.19,802.45,752.13
901,603.84,801.67,748.73
902,600.83,801.46,752.43
903,609.36,803.42,754.76
904,605.77,803.02,748.64
905,606.14,805.06,752.57
906,612.49,801.03,755.25
907,608.14,808.67,760.45
908,612.34,803.55,754.12
909,605.82,803.79,756.74
910,607.44,804.66,752.24
911,608.43,799.99,748.89
912,600.09,807.17,754.45
913,605.21,801.73,747.14
914,615.91,805.0,752.77
915,605.8,804.08,753.89
916,609.94,802.39,754.09
917,605.45,804.6,758.23
918,605.53,802.77,753.03
919,610.26,803.87,755.69
920,603.23,804.45,757.16
921,613.12,803.14,756.01
922,612.8,803.69,751.84
923,612.15,801.94,749.88
924,598.62,801.29,751.35
925,609.35,804.91,761.11
926,618.62,801.5,754.26
927,599.92,806.13,754.88
928,617.27,801.28,751.33
929,596.71,803.15,753.99
930,612.1,804.38,750.71
931,601.02,805.41,753.13
932,610.22,803.47,754.84
933,614.87,807.28,759.45
934,602.85,799.87,749.44
935,619.93,798.77,747.4
936,603.67,800.07,751.19
937,611.08,800.01,747.03
938,604.08,800.58,747.85
939,615.53,801.99,760.72
940,617.96,802.06,749.72
941,607.4,802.26,754.88
942,617.14,800.69,749.55
943,610.71,803.13,754.97
944,607.91,804.69,757.5
945,603.94,802.15,747.46
946,605.56,802.56,752.3
947,613.97,805.08,751.5
948,605.56,804.77,751.99
949,612.82,802.18,756.29
950,607.81,805.55,753.15
951,617.32,802.51,750.35
952,606.11,804.38,756.29
953,601.24,800.78,759.47
954,603.11,801.58,750.27
955,611.86,800.7,748.37
956,609.23,803.05,752.53
957,609.58,802.14,754.27
958,612.85,801.59,754.7
959,603.52,803.66,749.82
960,606.19,805.04,760.33
961,607.36,802.84,754.57
962,610.29,803.61,751.2
963,605.2,803.01,752.31
964,607.22,801.24,752.65
965,606.88,802.26,752.27
966,601.77,805.96,755.51
967,606.99,802.42,758.64
968,611.63,807.15,758.74
969,603.81,802.2,750.84
970,602.26,801.76,750.71
971,607.81,807.38,762.55
972,606.11,805.96,757.04
973,600.1,802.05,748.84
974,599.98,802.89,752.19
975,614.35,798.89,748.82
976,605.73,804.57,751.48
977,613.9,802.08,757.01
978,612.64,803.0,749.25
979,617.85,800.83,755.78
980,610.91,805.59,752.06
981,606.42,801.78,752.68
982,612.88,803.99,757.72
983,598.84,802.97,752.54
984,614.31,806.22,753.76
985,618.78,804.88,755.34
986,603.73,803.44,754.63
987,608.44,802.82,756.88
988,610.2,801.05,747.47
989,607.82,799.88,747.12
990,609.13,800.57,756.72
991,605.72,803.85,754.52
992,606.62,804.86,756.11
993,624.33,805.54,757.75
