hour,grid_demand_MW,day_ahead_price_USD_MWh
197,5297.3,87.87
198,5254.7,86.68
199,5551.1,90.15
200,5575.8,89.94
201,5195.8,85.42
202,5523.8,68.7
203,5134.1,76.24
204,5174.1,61.05
205,4808.0,51.86
206,5125.3,49.75
207,4695.6,43.56
208,4657.9,54.49
209,4885.3,47.7
210,4609.4,53.59
211,4836.0,54.3
212,4684.2,46.61
213,5083.3,56.23
214,5123.6,43.56
215,4948.0,52.64
216,5254.3,52.95
217,5116.0,62.38
218,5425.6,68.08
219,5385.9,74.08
220,5604.4,77.6
221,5348.8,77.38
222,5442.6,74.79
223,5509.8,90.33
224,5651.2,79.01
225,5382.7,81.18
226,5162.7,66.49
227,4976.6,58.86
228,5117.8,69.93
229,5081.7,65.53
230,4694.5,52.99
231,4955.2,45.68
232,5022.5,55.68
233,4666.1,49.21
234,4764.2,37.46
235,4532.7,31.78
236,4828.4,52.63
237,4854.6,24.22
238,5145.2,46.71
239,5068.6,48.18
240,5241.1,51.02
241,5369.5,54.71
242,5654.9,64.57
243,5403.9,77.63
244,5286.5,65.06
245,5323.3,85.49
246,5530.3,70.78
247,5545.2,61.53
248,5478.1,63.1
249,5283.6,61.42
250,5542.2,57.02
251,5243.5,46.93
252,5043.2,54.92
253,5300.9,49.05
254,5308.1,37.48
255,5212.2,25.05
256,4730.5,25.24
257,5165.7,28.01
258,4806.6,16.08
259,4790.8,16.37
260,4974.8,25.76
261,4926.6,18.48
262,4946.1,39.83
263,5040.8,39.86
264,5207.0,54.05
265,5202.8,38.09
266,5451.1,46.89
267,5375.5,62.25
268,5321.2,64.94
269,5298.3,47.59
270,5555.2,72.77
271,5500.0,53.15
272,5515.7,68.21
273,5418.1,51.51
274,5410.1,55.96
275,5167.6,26.88
276,5167.8,70.1
277,5362.8,32.63
278,5088.4,38.09
279,5149.6,23.8
280,4741.8,22.7
281,4833.2,25.47
282,4781.7,30.51
283,4730.4,16.93
284,4933.8,31.55
285,4919.5,21.91
286,5023.4,30.54
287,5138.6,32.19
288,5143.9,37.03
289,5350.6,38.73
290,5493.8,42.67
291,5143.8,47.92
292,5398.7,60.13
293,5620.7,63.97
294,5404.0,39.16
295,5733.4,51.06
296,5711.8,38.48
297,5271.3,50.75
298,5299.4,34.8
299,5344.6,30.54
300,5451.5,32.8
301,5207.1,18.15
302,5109.1,30.17
303,5039.4,23.29
304,5025.7,12.87
305,4931.7,20.66
306,4921.4,13.08
307,4902.1,18.06
308,4952.7,40.57
309,4976.7,21.13
310,5281.2,28.38
311,5249.7,38.71
312,5223.6,61.3
313,5592.1,38.84
314,5098.3,45.85
315,5381.8,57.98
316,5490.8,53.45
317,5504.5,61.52
318,5611.7,76.27
319,5611.7,58.4
320,5541.0,55.25
321,5272.7,70.58
322,5522.9,48.74
323,5224.1,50.63
324,5229.7,28.25
325,5220.3,44.06
326,4734.1,36.56
327,4979.0,19.04
328,4667.1,27.93
329,4918.2,34.43
330,4632.4,22.26
331,5117.0,23.73
332,4893.1,39.76
333,4918.6,33.63
334,5408.9,44.37
335,5128.0,54.22
336,5360.3,43.2
337,5142.3,49.32
338,5231.4,63.99
339,5426.8,59.38
340,5399.0,69.5
341,5436.2,74.91
342,5513.4,79.36
343,5413.0,70.65
344,5256.4,85.94
345,5509.2,89.98
346,5375.2,58.92
347,5231.9,82.62
348,5493.6,51.93
349,5269.0,39.97
350,5022.9,48.21
351,4988.5,47.72
352,4638.0,36.7
353,4809.4,37.65
354,4987.0,45.21
355,5181.6,26.72
356,4877.2,41.95
357,4979.5,36.73
358,5098.7,47.06
359,5204.9,69.05
360,5080.3,64.16
361,5140.9,86.18
362,5783.0,68.15
363,5225.1,86.71
364,5709.6,87.63
365,5603.6,68.97
366,5542.8,78.7
367,5586.0,94.45
368,5774.7,84.84
369,5483.5,71.99
370,5485.6,61.06
371,5590.5,54.47
372,5408.0,71.65
373,4929.2,50.3
374,4860.0,68.05
375,5086.0,58.81
376,4883.0,26.57
377,5002.5,49.39
378,5018.0,39.33
379,5238.3,44.58
380,4954.8,48.33
381,5026.5,48.86
382,4946.6,57.53
383,5176.0,49.7
384,5099.9,71.47
385,5424.2,56.82
386,5358.2,71.75
387,5435.3,75.76
388,5649.3,93.37
389,5560.5,74.15
390,5694.2,86.18
391,5461.7,88.4
392,5650.8,86.41
393,5324.2,74.59
394,5556.5,76.98
395,5251.4,78.62
396,5107.8,55.46
397,5224.5,53.31
398,5371.9,51.49
399,5069.8,39.77
400,5025.8,55.65
401,4788.0,38.46
402,5372.0,37.61
403,4808.3,31.52
404,5065.4,44.81
405,5118.0,49.75
406,5114.2,37.81
407,5289.6,56.98
408,5407.1,63.19
409,5083.4,63.58
410,5688.6,58.21
411,5383.2,66.56
412,5484.5,58.91
413,5461.2,62.04
414,5419.7,79.91
415,5772.4,83.56
416,5506.6,66.72
417,5633.4,70.4
418,5578.2,56.35
419,5597.6,54.98
420,5102.4,53.3
421,5130.3,48.35
422,5215.6,35.36
423,5237.9,40.71
424,4896.2,20.84
425,4844.0,39.72
426,5097.8,19.65
427,5019.2,31.28
428,4936.2,16.06
429,4871.2,21.31
430,4996.5,21.0
431,5314.4,28.25
432,5469.2,52.93
433,5539.1,45.45
434,5310.1,57.36
435,5683.6,60.7
436,5759.4,63.96
437,5654.2,69.92
438,5628.4,58.8
439,5689.4,56.2
440,5335.9,45.34
441,5256.2,54.25
442,5449.0,48.56
443,5368.5,35.55
444,4869.0,32.81
445,5267.2,26.27
446,5308.8,17.36
447,5304.6,35.37
448,5104.7,24.5
449,4947.5,29.76
450,5197.8,23.65
451,5205.9,25.89
452,5085.8,4.72
453,5212.5,16.32
454,5278.5,34.93
455,5559.0,37.12
456,4824.0,42.41
457,5527.3,32.86
458,5443.3,49.93
459,5544.6,39.16
460,5703.1,51.25
461,5616.6,58.43
462,5664.9,46.89
463,5586.5,55.14
464,5666.1,50.09
465,5601.4,47.13
466,5335.4,41.99
467,5478.7,32.15
468,5441.6,28.45
469,5292.4,32.56
470,5361.5,15.34
471,5103.0,17.36
472,4926.1,20.98
473,5062.6,17.11
474,5027.5,10.43
475,4829.7,21.19
476,5180.3,23.95
477,5422.9,29.26
478,5179.1,26.31
479,5166.2,42.37
480,5022.7,34.86
481,5474.2,33.2
482,5631.3,39.87
483,5501.9,54.41
484,5579.1,48.09
485,5370.2,66.96
486,5681.1,67.93
487,5459.9,72.3
488,5688.5,62.93
489,5575.5,43.1
490,5462.5,51.76
491,5597.6,47.11
492,5175.5,47.02
493,5540.1,38.02
494,5267.0,42.72
495,5132.7,28.71
496,5005.5,29.61
497,5199.4,28.27
498,4979.8,27.31
499,5242.6,28.03
500,5297.2,27.65
501,5014.0,34.59
502,5276.6,34.13
503,5053.8,38.93
504,5516.4,43.58
505,5491.9,55.01
506,5481.1,56.0
507,5279.3,52.8
508,5707.9,81.07
509,5646.2,68.58
510,5494.3,68.36
511,5689.7,67.84
512,5834.2,66.28
513,5803.3,63.86
514,5473.9,60.95
515,5261.8,67.62
516,5514.1,54.06
517,5077.1,60.3
518,5069.9,55.66
519,5261.9,27.47
520,5287.7,45.14
521,5176.7,31.77
522,5033.6,48.51
523,5177.4,36.52
524,5282.3,39.11
525,5234.0,46.13
526,4905.8,55.78
527,5202.6,45.61
528,5515.0,63.42
529,5349.8,77.05
530,5663.7,74.03
531,5650.3,77.44
532,5686.5,72.87
533,5848.5,83.75
534,5640.4,88.44
535,5777.7,84.31
536,5612.9,82.79
537,5648.5,83.73
538,5670.3,75.78
539,5329.6,64.37
540,5414.2,67.23
541,5144.3,52.85
542,5174.3,56.6
543,5100.7,44.97
544,5020.1,67.6
545,5231.8,56.9
546,5084.8,52.27
547,5481.7,48.55
548,5133.9,47.73
549,5088.9,37.92
550,5358.5,58.14
551,5384.5,51.8
552,5538.3,60.63
553,5400.5,60.62
554,5486.4,56.88
555,5641.5,71.37
556,5629.6,81.92
557,5856.0,61.99
558,5521.1,83.73
559,5817.0,97.63
560,5956.3,76.49
561,5739.0,83.42
562,5688.3,66.05
563,5482.7,89.23
564,5227.8,64.4
565,5001.3,55.49
566,5318.3,43.57
567,5170.4,44.67
568,4952.3,41.32
569,5365.1,37.91
570,5030.9,27.66
571,5128.9,32.96
572,5167.5,47.88
573,5301.7,37.42
574,5327.1,61.43
575,5180.7,65.41
576,5183.0,47.71
577,5469.5,52.31
578,5500.0,48.02
579,5730.9,89.4
580,5557.5,70.8
581,5736.9,71.01
582,5850.5,72.83
583,5486.6,76.24
584,5728.1,55.47
585,5644.0,70.44
586,5478.8,71.2
587,5243.1,57.78
588,5061.8,51.85
589,5281.3,35.86
590,5291.6,49.76
591,5262.8,37.62
592,5070.0,23.53
593,5301.7,31.4
594,5274.7,35.93
595,5059.5,15.45
596,5122.5,38.47
597,5181.8,30.92
598,5285.7,37.06
599,5406.2,31.6
600,5662.7,26.73
601,5340.2,51.1
602,5510.3,43.54
603,5662.8,43.01
604,5548.0,50.35
605,5635.8,67.48
606,6003.8,69.77
607,5879.0,71.0
608,5747.9,67.08
609,5615.1,47.1
610,5441.4,40.33
611,5621.5,49.2
612,5556.8,42.17
613,5238.0,39.59
614,5362.3,33.53
615,4986.9,23.56
616,5303.7,28.34
617,4974.6,18.53
618,5271.8,26.67
619,5274.7,10.79
620,5439.5,5.94
621,5341.2,20.27
622,5567.9,24.51
623,5227.1,26.99
624,5263.5,25.73
625,5537.7,38.7
626,5369.9,37.37
627,6038.3,42.0
628,5897.9,45.88
629,5616.2,39.09
630,5579.9,53.09
631,5726.1,58.23
632,5693.3,43.67
633,5416.9,59.18
634,5607.1,38.5
635,5553.6,40.1
636,5741.8,29.48
637,5422.8,19.42
638,5453.0,21.53
639,5323.9,15.97
640,5263.8,17.77
641,5054.0,19.33
642,4989.0,32.25
643,5207.8,20.03
644,5126.8,20.79
645,5092.9,21.34
646,5327.7,16.18
647,5211.1,35.37
648,5674.6,32.79
649,5446.7,43.94
650,5199.4,45.91
651,5816.6,31.46
652,5958.3,54.72
653,5716.4,56.44
654,5747.6,65.88
655,5680.2,67.35
656,5998.6,62.91
657,5645.9,52.52
658,5425.4,56.2
659,5435.4,44.68
660,5583.1,44.42
661,5551.7,48.37
662,5434.4,36.71
663,5188.8,47.55
664,5251.8,36.14
665,4972.4,19.81
666,5115.3,23.99
667,5047.2,24.8
668,5558.3,28.33
669,5166.0,36.63
670,5426.5,30.22
671,5584.2,41.2
672,5603.1,45.99
673,5451.4,54.04
674,5940.7,73.95
675,5598.9,61.49
676,5689.6,60.55
677,6029.0,81.43
678,5850.1,76.15
679,5771.2,86.0
680,5742.6,65.4
681,5410.6,69.19
682,5341.5,67.02
683,5633.3,66.23
684,5430.6,65.8
685,5267.7,46.64
686,5395.8,45.23
687,5083.4,33.52
688,5217.6,37.78
689,5084.5,68.6
690,5298.1,35.27
691,5141.2,37.1
692,5367.5,52.77
693,5201.8,53.11
694,5182.4,45.49
695,5406.1,58.93
696,5632.7,74.98
697,5400.8,83.16
698,5468.8,79.44
699,5564.7,69.9
700,5992.3,80.07
701,5666.7,80.45
702,5960.9,96.67
703,5742.6,75.49
704,5661.9,72.75
705,5803.4,68.85
706,5626.2,62.8
707,5727.7,69.46
708,5378.0,59.57
709,5444.5,46.23
710,5168.9,48.12
711,5043.5,52.15
712,5144.6,51.23
713,5163.8,38.08
714,5131.0,34.37
715,5002.4,55.05
716,5184.0,42.49
717,5229.6,65.77
718,5569.8,56.1
719,5490.5,43.47
720,5220.9,58.17
721,5471.5,68.86
722,5730.8,79.54
723,5631.7,68.33
724,5638.0,79.62
725,5613.4,75.81
726,5805.2,88.74
727,6056.3,71.77
728,5620.2,80.01
729,5886.1,73.06
730,5714.3,73.53
731,5492.1,64.01
732,5575.2,51.94
733,5193.1,53.27
734,5452.3,39.73
735,5263.6,37.19
736,5232.4,41.17
737,5220.1,24.67
738,5344.2,45.75
739,5091.2,41.06
740,4908.3,55.81
741,4932.0,59.98
742,5300.9,37.71
743,5766.5,56.76
744,5449.9,57.19
745,5803.7,69.12
746,5552.1,62.02
747,5836.1,65.88
748,5677.9,70.19
749,5595.3,74.22
750,5815.2,71.88
751,5835.1,75.78
752,5807.0,64.28
753,5889.0,52.8
754,5746.7,56.68
755,5787.6,50.94
756,5709.3,67.27
757,5433.8,43.46
758,5095.8,44.68
759,5238.8,32.35
760,5332.7,20.53
761,5248.1,19.25
762,5479.5,28.77
763,5429.6,33.07
764,5356.8,33.15
765,5349.6,32.69
766,5327.2,38.77
767,5558.0,42.28
768,5517.1,46.11
769,5434.2,52.02
770,5848.5,54.45
771,5446.9,51.86
772,5680.6,58.84
773,5755.1,77.33
774,5685.2,64.05
775,5678.9,68.68
776,5814.0,53.18
777,5668.8,52.14
778,5753.3,40.96
779,5620.9,38.54
780,5540.8,43.4
781,5545.1,23.57
782,5236.9,41.94
783,5019.8,24.41
784,5381.9,33.42
785,5215.1,27.27
786,5306.6,18.03
787,4842.1,9.67
788,5186.6,15.23
789,5296.3,21.49
790,5408.0,24.6
791,5613.7,31.98
792,5442.5,50.73
793,5300.6,36.3
794,5547.5,37.29
795,5700.1,52.98
796,5860.8,54.88
797,5882.7,46.36
798,5665.8,63.63
799,5981.2,40.31
800,5571.0,60.51
801,6129.2,58.55
802,5660.6,61.71
803,5444.1,37.74
804,5476.8,36.2
805,5318.1,31.57
806,5256.6,20.8
807,5443.8,23.22
808,5444.0,21.72
809,5203.0,19.79
810,5218.2,23.5
811,5073.8,23.05
812,5448.0,19.05
813,5257.1,10.97
814,5545.5,40.35
815,5502.2,23.39
816,5473.7,40.88
817,5463.2,32.22
818,5959.4,45.11
819,5841.0,54.73
820,5807.3,59.2
821,6003.5,50.85
822,5883.6,73.21
823,5787.1,56.68
824,5593.2,67.68
825,5572.8,52.65
826,5831.3,49.99
827,5546.9,65.14
828,5415.1,44.7
829,5587.1,23.99
830,5355.4,35.26
831,5276.5,30.33
832,5089.8,24.69
833,5092.4,16.74
834,5260.5,21.19
835,5256.3,41.48
836,5244.5,25.61
837,5583.6,36.33
838,5408.0,34.23
839,5538.0,34.76
840,5372.3,45.61
841,5614.5,62.24
842,5677.6,69.59
843,5693.0,62.29
844,6140.1,65.89
845,5824.6,90.22
846,5905.7,77.34
847,5941.9,81.62
848,5803.3,77.0
849,5776.1,81.2
850,5838.6,65.11
851,5442.8,63.32
852,5803.5,53.98
853,5548.9,42.16
854,5646.4,44.32
855,5458.3,27.32
856,5046.9,34.39
857,5152.2,42.97
858,5213.4,49.97
859,5062.4,31.22
860,5287.3,49.12
861,5183.8,44.48
862,5378.6,49.94
863,5367.2,64.25
864,5546.9,66.07
865,5832.0,57.09
866,5614.2,70.55
867,5821.6,73.73
868,5702.8,86.78
869,5949.4,90.77
870,5781.4,88.69
871,5931.7,82.26
872,5552.6,73.71
873,5592.5,73.28
874,5807.5,74.17
875,5848.6,72.09
876,5728.9,62.52
877,5541.4,69.96
878,5337.2,61.62
879,5184.5,65.0
880,5301.2,38.29
881,5134.2,52.38
882,5215.1,54.51
883,5363.9,38.72
884,5237.4,50.28
885,5308.7,51.15
886,5405.6,53.67
887,5576.5,51.29
888,5539.1,61.72
889,5848.5,64.37
890,5857.0,81.85
891,5986.7,90.24
892,5908.4,74.0
893,6115.8,89.46
894,5921.9,84.61
895,5960.2,85.44
896,5611.5,77.33
897,5864.4,71.07
898,5837.6,84.25
899,5735.2,63.47
900,5724.9,68.52
901,5569.0,62.23
902,5433.0,49.97
903,5583.3,51.5
904,5176.2,39.84
905,5426.2,44.21
906,5296.1,25.62
907,5374.5,35.32
908,5262.7,41.77
909,5480.1,31.59
910,5306.2,38.45
911,5467.2,39.52
912,5643.5,61.21
913,5561.5,50.85
914,5915.6,56.89
915,5973.6,65.09
916,5778.3,78.28
917,6002.8,50.54
918,5828.5,69.67
919,6127.2,80.78
920,5535.9,62.4
921,5943.0,68.22
922,5890.1,65.33
923,5591.1,43.27
924,5674.9,47.38
925,5443.5,39.18
926,5367.2,40.18
927,5552.0,38.41
928,5579.6,32.78
929,5195.5,32.59
930,5472.1,19.81
931,5467.4,24.48
932,5129.6,33.82
933,5309.8,34.77
934,5325.5,21.11
935,5556.5,41.05
936,5510.9,32.56
937,5700.2,38.37
938,5909.6,60.71
939,5908.2,62.46
940,5785.8,53.18
941,6051.2,61.27
942,6063.8,64.23
943,6061.6,52.53
944,6015.6,38.92
945,5661.2,55.78
946,5900.1,60.74
947,5656.2,38.54
948,5575.7,37.78
949,5549.7,41.09
950,5487.3,38.79
951,5144.0,26.23
952,5443.2,15.7
953,5358.5,18.42
954,5360.9,13.65
955,5125.2,13.92
956,5248.2,23.3
957,5361.4,24.85
958,5537.7,29.0
959,5681.2,28.06
960,5531.5,46.98
961,5831.9,34.0
962,5689.4,31.01
963,5776.9,44.09
964,5873.9,55.36
965,5850.2,52.69
966,5986.5,46.6
967,5823.4,64.73
968,5971.6,36.34
969,5863.3,47.88
970,5598.9,44.46
971,5850.5,59.05
972,5699.5,42.66
973,5597.7,34.46
974,5408.8,43.33
975,5203.6,27.23
976,5436.4,25.9
977,5753.6,13.0
978,4957.2,27.1
979,5494.3,9.61
980,5220.8,14.73
981,5524.3,36.27
982,5341.5,27.29
983,5664.6,34.23
984,5826.7,52.93
985,5734.3,38.5
986,5872.2,49.5
987,5898.1,42.03
988,5797.7,63.62
989,5922.1,66.11
990,6030.5,63.45
991,6136.6,54.23
992,5826.3,62.63
993,5936.5,50.24
994,5752.0,41.37
995,5825.2,56.14
996,5762.3,44.87
997,5560.0,35.87
998,5569.4,39.47
999,5221.9,20.91
1000,5482.4,35.83
1001,5424.5,31.74
1002,5514.2,14.68
1003,5093.8,37.66
1004,5384.1,49.55
1005,5266.1,45.72
1006,5335.3,49.36
1007,5283.0,43.56
1008,5699.7,35.07
1009,5650.5,54.83
1010,5829.2,59.9
1011,5894.7,64.07
1012,5987.1,65.75
1013,6047.8,74.75
1014,6160.4,68.38
1015,5946.0,66.65
1016,5873.0,70.05
1017,5705.1,68.26
1018,5891.2,61.4
1019,5624.6,71.87
1020,5696.1,60.34
1021,5889.9,57.72
1022,5288.9,55.11
1023,5287.8,40.41
1024,5424.8,55.24
1025,5212.3,45.65
1026,5551.9,43.56
1027,5232.4,31.05
1028,5401.0,35.51
1029,5525.4,50.76
1030,5320.8,42.67
1031,5602.6,52.37
1032,5877.4,63.05
1033,5827.4,64.53
1034,5767.3,78.55
1035,5991.0,84.52
1036,5589.6,71.98
1037,5880.3,79.26
1038,5750.3,81.21
1039,6001.3,81.29
1040,5948.4,84.05
1041,5754.2,57.99
1042,5982.4,74.1
1043,5457.9,50.1
1044,5923.0,68.92
1045,5752.1,55.81
1046,5545.1,56.11
1047,5388.0,48.68
1048,5381.1,55.08
1049,5437.5,39.91
1050,5283.0,42.82
1051,5369.7,50.42
1052,5470.1,64.31
1053,5557.2,44.76
1054,5735.0,63.73
1055,5825.8,49.71
1056,5671.7,58.52
1057,5526.4,82.69
1058,5832.5,75.84
1059,6096.1,78.49
1060,5930.2,78.2
1061,6216.5,78.57
1062,5803.2,79.55
1063,6041.2,92.12
1064,6011.5,72.31
1065,6160.4,67.62
1066,5849.1,65.44
1067,5834.3,64.46
1068,5794.6,45.8
1069,5453.2,47.67
1070,5454.8,53.48
1071,5531.0,49.3
1072,5460.8,53.12
1073,5361.7,42.48
1074,5455.1,44.36
1075,5430.2,49.61
1076,5580.0,38.08
1077,5404.3,52.16
1078,5593.0,51.83
1079,5563.1,50.26
1080,5620.9,62.97
1081,5968.5,49.64
1082,5992.8,64.73
1083,5928.4,68.14
1084,5878.8,79.23
1085,6187.9,73.62
1086,6274.4,76.74
1087,5776.4,79.55
1088,5870.5,69.26
1089,5833.5,52.16
1090,5820.1,61.91
1091,5722.5,46.89
1092,5682.8,51.08
1093,5726.2,45.66
1094,5509.7,49.23
1095,5429.9,34.41
1096,5429.6,28.79
1097,5453.4,23.0
1098,5422.9,28.21
1099,5465.1,35.89
1100,5442.8,19.41
1101,5410.3,35.24
1102,5607.2,31.15
1103,5399.7,37.11
1104,5795.2,37.23
1105,5923.3,39.92
1106,5699.0,54.13
1107,6063.7,57.31
1108,6192.0,57.59
1109,5873.3,63.67
1110,6054.0,50.07
1111,5946.8,61.37
1112,5948.8,61.46
1113,5848.6,47.75
1114,5680.2,50.11
1115,6007.8,50.32
1116,5708.4,31.84
1117,5657.0,37.51
1118,5673.5,26.6
1119,5585.4,27.37
1120,5386.1,19.77
1121,5360.7,8.08
1122,5382.0,13.31
1123,5591.0,16.43
1124,5400.2,6.46
1125,5423.8,39.36
1126,5486.3,23.35
1127,5651.3,30.53
1128,5773.0,32.9
1129,6204.4,33.28
1130,5702.7,47.2
1131,5771.1,50.35
1132,6219.6,33.77
1133,5686.0,52.29
1134,6173.1,56.7
1135,5908.1,47.53
1136,5966.6,40.39
1137,5918.3,57.39
1138,6100.1,43.8
1139,5754.7,26.07
1140,5851.2,38.69
1141,5583.9,21.14
1142,5463.2,38.18
1143,5423.4,17.68
1144,5402.5,2.74
1145,5245.1,26.93
1146,5389.1,16.32
1147,5642.0,12.24
1148,5585.5,20.78
1149,5515.7,27.14
1150,5643.7,42.81
1151,5603.7,27.92
1152,5747.6,31.13
1153,5869.1,66.2
1154,5684.8,39.12
1155,6020.8,52.25
1156,6066.5,52.09
1157,5928.9,52.19
1158,5961.1,57.06
1159,6174.7,53.37
1160,6170.5,61.87
1161,5893.7,55.94
1162,5984.7,49.75
1163,6043.3,51.49
1164,5772.0,28.33
1165,5475.5,38.66
1166,5522.0,31.57
1167,5310.9,30.09
1168,5671.5,31.97
1169,5760.7,28.57
1170,5503.6,35.58
1171,5322.9,25.66
1172,5620.0,29.83
1173,5401.1,36.67
1174,5881.6,25.89
1175,5547.1,55.02
1176,5772.6,54.2
1177,5960.5,51.47
1178,5923.2,58.71
1179,5693.9,73.21
1180,6079.5,64.3
1181,5917.6,79.81
1182,6085.9,82.18
1183,5855.3,69.03
1184,6044.5,64.47
1185,6058.6,77.6
1186,6059.7,70.74
1187,5956.9,61.59
1188,5978.8,58.17
1189,5771.4,49.32
1190,5563.2,48.55
1191,5563.0,51.38
1192,5607.0,49.4
1193,5227.3,47.01
1194,5157.7,37.98
1195,5513.2,31.2
1196,5817.8,60.88
1197,5712.3,37.25
1198,5563.2,52.97
1199,5830.7,56.38
1200,5716.9,76.43
1201,5717.2,78.33
1202,5716.5,54.68
1203,5954.3,63.0
1204,5903.3,91.3
1205,6181.3,89.15
1206,5830.0,77.67
1207,6152.5,85.41
1208,5895.8,79.01
1209,6003.5,76.2
1210,5814.9,78.27
1211,5987.1,73.76
1212,5726.1,62.46
1213,5802.2,56.07
1214,5654.6,50.83
1215,5696.8,46.43
1216,5431.7,38.28
1217,5692.6,53.76
1218,5390.1,66.84
1219,5493.1,44.8
1220,5495.5,46.93
1221,5669.1,74.12
1222,5840.0,42.38
1223,5684.1,54.44
1224,5915.2,67.42
1225,5685.3,68.31
1226,5963.7,68.81
1227,6227.6,94.72
1228,6044.5,88.91
1229,6119.8,86.84
1230,6239.8,91.57
1231,5984.3,85.35
1232,6348.2,87.34
1233,5950.1,83.21
1234,5980.0,57.52
1235,5610.1,67.11
1236,5941.6,61.6
1237,5742.6,48.44
1238,5606.9,45.94
1239,5417.9,44.61
1240,5814.0,42.07
1241,5568.2,53.19
1242,5736.6,47.11
1243,5533.5,37.49
1244,5567.7,50.38
