firm_code,ka1,ka2,ka3,ka4,inn1,inn2,inn3,gp1,gp2,gp3,TP,FR,FDI,PERFORM
FIRM083,5,3,2,1,4.87,5,0.333,3,3,1,4.5,0.443,0.269,0.627
FIRM084,4,2,1,1,12.0,4,0.667,2,2,2,4.0,0.482,0.269,0.722
FIRM085,5,3,2,1,11.0,2,1.0,6,3,7,2.5,0.398,0.395,0.665
FIRM086,3,5,3,5,12.0,2,1.0,6,7,6,2.5,0.25,0.429,0.805
FIRM090,2,4,5,5,12.0,3,0.0,4,2,4,2.5,0.522,0.444,0.805
FIRM091,3,4,1,5,12.0,9,0.667,2,2,2,3.5,0.214,0.269,0.788
FIRM093,5,3,5,2,12.0,3,0.667,4,4,4,3.75,0.502,0.269,0.825
FIRM094,1,2,2,5,7.46,1,0.667,1,2,5,4.5,0.529,0.363,0.67
FIRM097,1,4,1,3,12.0,3,0.667,1,5,1,3.5,0.658,0.401,0.732
FIRM098,2,2,3,3,12.0,0,0.333,6,6,7,3.25,0.382,0.269,0.646
FIRM099,1,1,4,1,12.0,2,1.0,6,7,5,3.0,0.653,0.269,0.66
FIRM101,4,5,2,4,12.0,4,1.0,6,3,2,2.5,0.776,0.269,0.788
FIRM108,4,1,5,1,10.62,3,0.667,1,1,2,2.25,0.256,0.269,0.636
FIRM115,2,2,4,2,4.87,1,0.333,3,2,4,3.5,0.288,0.269,0.558
FIRM116,1,4,4,5,12.0,1,0.333,5,7,6,3.75,0.676,0.269,0.793
FIRM117,5,5,3,1,12.0,2,0.667,2,3,2,3.5,0.776,0.459,0.82
FIRM118,1,1,3,4,12.0,7,0.333,6,6,7,3.5,0.505,0.269,0.698
FIRM119,1,2,1,3,12.0,2,0.333,7,7,7,3.5,0.564,0.269,0.693
FIRM121,5,5,5,3,9.58,1,0.333,6,7,7,3.25,0.537,0.269,0.827
FIRM125,1,3,1,1,12.0,4,0.667,6,6,4,1.75,0.698,0.269,0.592
FIRM127,2,1,2,1,12.0,3,0.667,4,4,3,2.75,0.339,0.269,0.628
FIRM128,2,1,1,2,12.0,2,0.667,7,6,7,2.75,0.391,0.401,0.642
FIRM137,4,1,1,3,12.0,3,0.333,3,5,5,4.5,0.726,0.269,0.735
FIRM138,3,3,5,4,12.0,6,0.667,5,1,2,3.75,0.521,0.375,0.85
FIRM140,4,2,3,5,12.0,3,1.0,3,4,5,3.25,0.681,0.269,0.79
FIRM142,1,4,3,1,12.0,3,0.667,2,5,6,2.0,0.516,0.269,0.615
FIRM143,4,3,1,1,12.0,2,0.333,1,2,2,2.75,0.515,0.269,0.681
FIRM144,1,5,3,4,12.0,4,0.667,3,3,5,3.0,0.398,0.372,0.738
FIRM147,5,4,5,5,12.0,3,0.667,7,7,6,2.0,0.695,0.269,0.832
FIRM148,4,5,5,5,10.54,4,0.333,1,1,1,3.75,0.582,0.269,0.89
FIRM149,2,3,5,1,9.01,4,0.333,7,7,7,4.75,0.696,0.38,0.738
FIRM151,5,5,4,3,9.27,2,0.667,7,6,7,2.75,0.829,0.444,0.778
FIRM153,5,3,2,3,12.0,6,0.667,3,4,1,4.0,0.594,0.491,0.828
FIRM155,3,3,2,4,4.69,3,0.667,6,5,4,3.75,0.418,0.269,0.594
FIRM156,1,1,4,1,12.0,7,0.333,2,6,2,2.0,0.38,0.269,0.551
FIRM160,2,3,2,2,12.0,1,0.667,5,7,6,3.25,0.348,0.269,0.704
FIRM164,3,3,2,1,12.0,0,0.333,5,6,6,1.0,0.381,0.372,0.547
FIRM165,3,2,4,2,6.32,0,0.333,1,1,1,2.0,0.587,0.269,0.5
FIRM166,4,1,4,2,12.0,2,1.0,7,4,5,2.75,0.343,0.269,0.719
FIRM171,1,4,3,3,12.0,0,0.333,3,2,2,2.0,0.448,0.269,0.667
FIRM173,3,3,2,3,12.0,4,0.667,5,5,6,4.25,0.662,0.389,0.795
FIRM176,3,2,4,2,12.0,7,1.0,1,5,5,2.25,0.679,0.407,0.683
FIRM177,2,4,3,5,12.0,2,1.0,7,7,6,2.75,0.458,0.441,0.782
FIRM178,1,5,3,2,12.0,3,1.0,4,6,7,2.75,0.547,0.269,0.705
FIRM179,3,5,1,4,12.0,8,0.667,4,2,3,3.0,0.729,0.269,0.775
FIRM180,1,3,5,5,12.0,3,0.667,3,4,1,2.25,0.319,0.269,0.719
FIRM181,2,4,1,4,12.0,2,0.333,2,1,3,3.0,0.49,0.419,0.715
FIRM182,1,3,4,2,12.0,11,1.0,6,5,3,2.0,0.465,0.269,0.675
FIRM183,4,1,2,5,12.0,2,0.667,3,5,5,4.5,0.635,0.407,0.835
FIRM184,1,2,4,5,12.0,1,0.667,4,5,6,3.75,0.715,0.372,0.798
FIRM185,4,3,3,4,12.0,4,0.667,4,7,4,3.5,0.353,0.269,0.802
FIRM186,5,1,1,2,12.0,0,0.667,6,6,4,2.0,0.47,0.269,0.658
FIRM187,5,2,2,2,12.0,1,0.667,6,6,3,3.25,0.38,0.269,0.737
FIRM195,5,1,2,3,11.28,0,0.667,3,1,1,2.0,0.48,0.269,0.661
FIRM196,2,4,2,3,12.0,2,1.0,6,7,3,2.5,0.387,0.269,0.67
FIRM197,4,5,4,4,12.0,5,0.333,3,4,3,3.75,0.734,0.398,0.885
FIRM201,5,5,5,5,12.0,2,0.667,4,6,5,4.5,0.641,0.398,0.975
FIRM204,2,2,1,2,12.0,4,0.667,3,6,6,3.75,0.314,0.269,0.658
FIRM207,3,1,1,2,12.0,1,0.333,3,3,5,4.0,0.408,0.269,0.681
FIRM209,1,1,1,1,12.0,5,0.667,1,1,2,2.75,0.397,0.269,0.585
FIRM211,5,1,4,1,12.0,2,0.667,2,3,4,2.0,0.363,0.269,0.677
FIRM212,1,1,5,1,6.8,3,0.667,6,7,7,3.0,0.363,0.269,0.555
FIRM214,4,2,5,4,12.0,3,0.667,4,5,4,3.75,0.642,0.269,0.848
FIRM219,5,4,5,5,8.25,1,0.667,5,2,2,2.0,0.655,0.375,0.742
FIRM220,5,2,4,1,7.77,0,0.333,3,1,2,2.5,0.779,0.269,0.647
FIRM222,1,3,5,2,9.2,1,0.333,3,6,6,2.0,0.474,0.269,0.615
FIRM224,3,3,3,3,12.0,5,0.667,2,7,4,3.5,0.783,0.269,0.783
FIRM225,5,4,4,3,12.0,2,0.333,5,7,6,1.75,0.53,0.269,0.768
FIRM226,4,4,2,4,12.0,0,0.333,6,7,7,4.0,0.457,0.269,0.807
FIRM227,2,2,2,4,12.0,2,0.333,4,6,4,2.75,0.294,0.269,0.707
FIRM229,3,5,3,5,12.0,2,0.667,2,2,4,2.0,0.342,0.269,0.774
FIRM231,5,4,3,3,12.0,2,0.333,1,1,1,3.5,0.644,0.269,0.824
FIRM234,2,3,4,4,12.0,6,1.0,1,1,1,4.75,0.708,0.438,0.865
FIRM235,3,5,5,2,12.0,5,0.333,1,2,2,3.5,0.606,0.269,0.816
FIRM237,5,5,3,3,12.0,6,0.333,7,5,6,2.5,0.432,0.269,0.802
FIRM238,3,1,4,3,12.0,4,1.0,5,5,3,4.5,0.381,0.447,0.818
FIRM239,1,2,2,4,12.0,3,1.0,2,4,2,3.25,0.522,0.269,0.663
FIRM243,1,3,1,5,8.2,4,0.667,1,1,1,2.75,0.609,0.269,0.595
FIRM245,4,4,1,3,3.67,0,0.0,1,2,1,3.0,0.469,0.269,0.561
FIRM246,1,5,2,5,12.0,2,0.667,5,7,4,4.25,0.716,0.269,0.84
FIRM247,1,2,4,1,10.45,0,0.333,6,5,6,2.5,0.365,0.269,0.598
FIRM248,3,5,2,5,4.68,3,0.333,3,5,4,2.25,0.621,0.269,0.59
FIRM249,4,1,2,3,12.0,9,0.667,2,4,3,3.25,0.522,0.269,0.707
FIRM250,4,3,3,1,12.0,3,0.667,7,3,7,2.75,0.671,0.363,0.662
FIRM254,2,1,2,4,12.0,2,0.667,2,3,5,2.5,0.294,0.269,0.668
FIRM255,5,4,5,3,7.53,2,1.0,5,4,3,1.5,0.434,0.407,0.633
FIRM256,2,1,3,4,12.0,2,0.667,4,5,3,1.75,0.538,0.269,0.614
FIRM257,1,2,4,2,12.0,3,0.667,7,7,7,4.5,0.693,0.269,0.771
FIRM260,3,2,1,2,12.0,3,0.333,1,1,1,3.0,0.433,0.269,0.684
FIRM267,5,3,4,5,12.0,3,0.333,5,4,6,3.75,0.509,0.41,0.885
FIRM268,3,1,4,2,12.0,2,0.0,3,2,7,2.25,0.54,0.357,0.673
FIRM270,3,3,4,5,10.17,4,0.667,7,6,5,3.25,0.724,0.378,0.787
FIRM273,5,5,1,3,12.0,1,0.667,4,5,2,2.25,0.323,0.269,0.71
FIRM275,1,3,3,4,3.83,0,0.0,5,3,1,1.5,0.374,0.269,0.433
FIRM278,1,2,4,1,12.0,6,0.667,6,4,7,4.5,0.634,0.459,0.765
FIRM279,2,5,4,4,12.0,3,0.333,7,7,7,3.25,0.645,0.269,0.825
FIRM282,3,4,3,5,11.1,3,0.333,4,4,3,2.25,0.432,0.269,0.677
FIRM284,3,2,1,2,8.77,5,0.0,1,2,1,3.25,0.701,0.269,0.622
FIRM285,5,4,3,5,12.0,1,1.0,3,3,6,3.25,0.666,0.438,0.86
FIRM287,5,5,5,5,12.0,1,0.667,1,2,5,2.0,0.792,0.357,0.838
FIRM289,1,1,2,2,11.8,4,1.0,2,1,1,2.25,0.28,0.269,0.583
FIRM298,4,2,5,1,5.0,2,0.667,4,1,4,2.75,0.669,0.386,0.577
FIRM301,3,4,3,2,5.55,5,0.333,6,6,5,2.5,0.743,0.36,0.588
FIRM305,1,2,4,3,12.0,2,0.667,3,1,2,2.0,0.747,0.429,0.675
FIRM306,5,4,3,5,12.0,2,0.667,7,7,6,2.0,0.527,0.269,0.767
FIRM308,3,1,1,5,12.0,6,1.0,5,3,6,3.75,0.631,0.386,0.761
FIRM309,3,4,1,2,12.0,1,1.0,1,1,6,1.5,0.31,0.401,0.607
FIRM310,3,1,3,3,12.0,1,0.333,1,3,5,4.5,0.588,0.389,0.727
FIRM311,5,3,4,4,12.0,1,1.0,7,7,6,2.5,0.682,0.269,0.805
FIRM312,3,5,2,5,12.0,8,0.333,5,5,6,3.5,0.586,0.366,0.838
FIRM313,2,5,1,4,12.0,3,0.667,4,3,3,4.0,0.459,0.413,0.81
FIRM314,4,2,3,1,12.0,2,0.333,2,4,4,1.75,0.713,0.426,0.656
FIRM317,3,1,2,2,9.79,3,0.667,7,3,4,3.5,0.495,0.269,0.654
FIRM323,2,5,4,1,12.0,2,0.333,2,1,2,2.25,0.605,0.447,0.722
FIRM324,4,5,4,1,12.0,7,1.0,1,1,1,4.0,0.694,0.269,0.839
FIRM326,3,5,1,5,12.0,0,0.667,7,7,7,3.0,0.369,0.269,0.731
FIRM328,4,2,2,4,12.0,0,0.0,5,5,3,2.5,0.645,0.366,0.696
FIRM329,5,2,2,5,11.55,1,0.333,6,5,4,3.25,0.648,0.269,0.774
FIRM331,2,1,4,2,12.0,8,0.667,5,6,5,2.5,0.771,0.269,0.682
FIRM332,4,5,1,1,12.0,4,1.0,2,5,2,2.25,0.67,0.269,0.705
FIRM333,4,3,5,1,12.0,4,1.0,2,3,5,3.25,0.728,0.269,0.79
FIRM335,3,3,5,5,12.0,7,0.667,1,1,2,3.5,0.63,0.392,0.855
FIRM337,4,2,3,4,12.0,1,0.333,7,7,7,3.0,0.436,0.269,0.778
FIRM340,2,4,1,1,12.0,6,1.0,3,1,1,1.75,0.343,0.438,0.616
FIRM343,1,5,3,1,12.0,4,1.0,1,2,1,2.75,0.382,0.494,0.699
FIRM345,5,5,5,4,12.0,1,0.667,6,2,3,3.75,0.427,0.429,0.887
FIRM346,2,5,2,4,12.0,1,0.667,7,7,7,2.75,0.637,0.398,0.765
FIRM348,1,4,3,5,12.0,9,1.0,3,3,5,4.5,0.592,0.481,0.852
FIRM357,5,1,3,4,10.39,4,0.333,1,1,2,2.5,0.595,0.269,0.706
FIRM365,4,3,1,5,12.0,1,0.333,6,6,7,2.75,0.355,0.269,0.765
FIRM366,2,3,5,2,12.0,3,1.0,7,6,7,3.5,0.636,0.407,0.775
FIRM367,4,2,3,4,12.0,2,0.0,4,3,6,3.25,0.686,0.269,0.743
FIRM369,4,2,2,2,12.0,1,0.333,7,7,4,3.25,0.417,0.269,0.715
FIRM370,2,1,5,4,8.86,1,0.333,7,6,7,3.0,0.611,0.392,0.682
FIRM374,5,4,1,2,12.0,2,1.0,7,7,6,2.5,0.685,0.429,0.735
FIRM376,1,4,5,4,5.78,0,0.0,1,4,1,1.25,0.421,0.269,0.538
FIRM377,4,4,1,4,11.31,1,0.333,7,5,7,3.0,0.682,0.269,0.714
FIRM381,4,3,1,1,12.0,5,1.0,5,6,4,3.25,0.56,0.383,0.72
FIRM383,4,3,2,3,12.0,0,0.333,4,5,5,1.75,0.421,0.269,0.604
FIRM384,4,3,5,4,12.0,2,0.333,1,2,1,3.5,0.658,0.447,0.84
FIRM386,2,3,4,4,6.33,0,0.333,5,4,5,3.0,0.403,0.269,0.659
FIRM387,4,4,2,1,11.75,6,0.667,1,3,3,2.5,0.584,0.269,0.712
FIRM394,5,4,4,4,12.0,2,0.667,3,3,3,3.25,0.69,0.269,0.86
FIRM395,5,5,1,3,12.0,2,0.667,5,7,7,4.0,0.631,0.404,0.843
FIRM396,5,5,3,4,12.0,5,0.667,1,1,1,3.25,0.55,0.444,0.86
FIRM398,1,5,3,5,12.0,1,0.333,4,4,5,1.0,0.574,0.363,0.65
FIRM399,3,5,4,5,12.0,2,0.333,5,4,6,4.5,0.631,0.453,0.922
FIRM402,1,3,5,2,12.0,3,0.333,6,3,3,2.5,0.606,0.419,0.715
FIRM409,2,1,1,3,12.0,1,0.667,7,5,5,3.0,0.43,0.444,0.648
FIRM410,5,5,5,4,9.94,2,1.0,5,6,6,3.5,0.636,0.366,0.865
FIRM411,4,4,3,4,12.0,9,1.0,5,2,2,1.75,0.519,0.269,0.74
FIRM412,5,3,5,1,12.0,9,0.333,3,2,4,1.5,0.708,0.459,0.72
FIRM414,2,1,3,2,12.0,4,0.333,2,2,2,3.25,0.593,0.407,0.677
FIRM415,4,4,4,1,12.0,4,0.667,3,2,3,2.25,0.439,0.472,0.714
FIRM419,2,3,1,3,12.0,5,0.667,6,5,7,3.25,0.491,0.269,0.677
FIRM420,3,1,5,3,7.72,2,0.667,4,5,2,3.25,0.681,0.383,0.683
FIRM421,2,2,3,3,2.46,3,1.0,2,3,5,2.5,0.273,0.269,0.43
FIRM423,5,5,2,5,8.51,1,0.667,5,5,2,2.5,0.422,0.38,0.719
FIRM424,2,3,1,2,9.06,0,0.667,7,4,6,3.0,0.645,0.269,0.629
FIRM426,3,5,4,2,12.0,1,0.667,7,2,5,3.5,0.43,0.398,0.82
FIRM428,1,1,4,2,12.0,2,1.0,2,4,3,2.5,0.541,0.38,0.656
FIRM432,2,2,4,2,5.13,0,0.333,2,2,2,1.25,0.408,0.269,0.454
FIRM433,3,2,1,1,12.0,6,0.667,2,6,5,1.5,0.758,0.366,0.598
FIRM434,4,2,1,1,8.88,9,1.0,5,4,1,3.25,0.709,0.269,0.619
FIRM435,1,5,5,3,12.0,3,0.667,3,4,4,3.75,0.639,0.438,0.832
FIRM436,4,2,2,4,12.0,4,0.667,7,3,7,1.75,0.695,0.372,0.698
FIRM438,5,4,5,2,12.0,6,0.333,2,6,6,4.5,0.39,0.389,0.905
FIRM442,1,2,2,5,11.61,2,1.0,4,4,4,3.75,0.459,0.429,0.754
FIRM443,3,2,5,5,12.0,8,0.667,1,2,3,4.0,0.636,0.441,0.857
FIRM444,2,5,2,3,12.0,4,0.667,5,3,2,3.5,0.67,0.38,0.785
FIRM446,2,4,5,3,11.03,2,0.667,6,7,4,2.5,0.795,0.269,0.736
FIRM449,3,4,3,1,11.31,3,0.667,4,1,1,4.25,0.498,0.395,0.759
