firm_id,subsector,ownership_type,foreign_ownership_percent,years_since_fdi,age_years,employees,assets_million_ngn,policy_tax_incentives,policy_regulatory_stability,policy_infrastructure_support,policy_corruption_experience,policy_effectiveness_index,policy_incentive_received,skilled_labor_ratio,iot_use,rd_spend_pct_revenue,liquidity_ratio,ka_i1,ka_i2,ka_i3,ka_i4,knowledge_absorption_index,tp_i1,tp_i2,tp_i3,task_performance_index,inn_i1,inn_i2,inn_i3,innovation_index,res_hr,res_tech,res_fin,firm_resources_index,roi_pct,roa_pct,export_intensity_pct,market_share_pct,operational_efficiency_index,fdi_presence
LAG-FP-0021,bakery,domestic,0.0,0,19,54,17.3,4,4,4,6,3.5,0,0.14,0,0.78,0.5,2,1,4,3,2.5,3,3,3,3.0,3,4,2,3.0,5,3,3,3.67,4.13,2.04,4.3,0.46,45.6,0
LAG-FP-0022,dairy,domestic,0.0,0,11,88,27.48,3,4,2,1,4.0,1,0.19,0,2.76,2.31,3,3,3,4,3.25,4,5,5,4.67,4,3,4,3.67,3,3,2,2.67,10.67,8.02,3.28,0.34,61.29,0
LAG-FP-0023,beverages,domestic,0.0,0,21,125,35.06,1,1,3,1,3.0,0,0.32,0,0.73,1.74,3,2,4,4,3.25,2,5,3,3.33,3,3,4,3.33,2,3,2,2.33,6.4,3.78,5.38,0.13,39.76,0
LAG-FP-0024,dairy,foreign,75.23,1,12,104,3.09,5,5,5,3,5.0,1,0.38,1,1.11,1.56,3,5,3,4,3.75,2,3,3,2.67,3,3,5,3.67,5,4,4,4.33,9.32,5.14,11.09,0.19,50.08,1
LAG-FP-0025,beverages,domestic,0.0,0,19,131,41.85,3,6,1,4,3.5,0,0.36,0,0.83,1.28,2,3,5,2,3.0,4,4,5,4.33,3,2,3,2.67,3,5,5,4.33,8.49,5.94,2.02,0.0,55.85,0
LAG-FP-0026,meat,domestic,0.0,0,9,99,32.65,5,3,3,4,3.75,0,0.29,0,1.4,1.44,4,3,3,3,3.25,4,3,1,2.67,3,5,4,4.0,5,3,4,4.0,10.58,4.49,1.48,0.0,52.35,0
LAG-FP-0027,bakery,domestic,0.0,0,11,83,17.67,6,3,3,2,4.5,1,0.42,0,0.0,1.66,2,3,3,3,2.75,4,1,4,3.0,1,3,2,2.0,4,4,4,4.0,4.64,1.11,2.91,0.0,57.89,0
LAG-FP-0028,fruits_veg,foreign,69.22,7,6,95,25.6,4,5,4,1,5.0,1,0.45,0,2.41,1.52,2,3,4,4,3.25,4,2,4,3.33,3,4,5,4.0,5,4,5,4.67,12.8,8.15,8.83,1.16,59.13,1
LAG-FP-0029,grains_cereals,foreign,74.91,8,6,173,59.59,3,3,5,3,4.0,1,0.48,1,1.15,1.82,5,3,4,3,3.75,4,5,5,4.67,3,4,5,4.0,3,3,5,3.67,13.83,8.42,13.16,0.49,69.03,1
LAG-FP-0030,oils_fats,domestic,0.0,0,5,181,61.99,5,2,4,5,3.5,1,0.59,1,2.16,1.69,3,3,3,5,3.5,3,4,4,3.67,5,4,5,4.67,5,5,3,4.33,12.24,8.0,3.72,0.13,64.96,0
LAG-FP-0031,grains_cereals,domestic,0.0,0,15,112,42.8,4,5,5,5,4.25,1,0.3,1,0.32,0.75,2,3,4,2,2.75,5,3,3,3.67,5,3,3,3.67,2,3,5,3.33,7.04,4.19,0.22,0.0,61.74,0
LAG-FP-0032,beverages,domestic,0.0,0,13,53,9.93,5,4,6,3,5.0,0,0.33,0,3.14,2.33,5,3,5,5,4.5,4,4,4,4.0,4,3,4,3.67,3,3,5,3.67,15.2,10.12,7.96,0.77,62.95,0
LAG-FP-0033,meat,domestic,0.0,8,22,95,31.5,5,4,5,3,4.75,1,0.45,0,2.45,1.53,3,5,4,4,4.0,4,5,5,4.67,4,5,3,4.0,4,3,4,3.67,14.32,9.68,10.47,0.6,66.79,1
LAG-FP-0034,grains_cereals,domestic,0.0,0,30,65,18.11,4,3,5,1,4.75,1,0.33,1,1.93,1.88,3,3,5,2,3.25,4,5,4,4.33,4,3,3,3.33,4,5,4,4.33,11.48,5.85,4.51,0.0,66.33,0
LAG-FP-0035,beverages,domestic,0.0,0,34,142,25.91,5,3,6,6,4.0,1,0.33,1,0.0,1.51,4,2,4,3,3.25,5,5,3,4.33,4,2,1,2.33,3,4,4,3.67,10.36,5.45,0.73,1.08,68.14,0
LAG-FP-0036,grains_cereals,domestic,0.0,0,14,122,36.04,2,5,3,6,3.0,0,0.59,0,1.78,1.62,3,3,2,4,3.0,4,3,3,3.33,3,4,3,3.33,3,4,2,3.0,5.07,3.65,1.03,0.19,41.39,0
LAG-FP-0037,bakery,domestic,0.0,0,13,57,16.78,4,4,4,2,4.5,0,0.39,0,1.75,1.69,2,4,5,5,4.0,3,3,3,3.0,3,3,4,3.33,4,5,3,4.0,10.14,7.93,2.98,0.13,53.63,0
LAG-FP-0038,grains_cereals,domestic,0.0,0,3,149,27.13,7,3,3,2,4.75,1,0.36,1,0.0,2.02,4,3,2,4,3.25,4,2,2,2.67,4,3,3,3.33,5,5,3,4.33,10.85,5.09,4.52,0.0,52.22,0
LAG-FP-0039,fruits_veg,domestic,0.0,0,25,58,10.72,5,3,2,6,3.0,0,0.45,1,1.04,1.86,1,4,3,3,2.75,2,3,3,2.67,2,4,4,3.33,5,5,5,5.0,5.92,1.74,3.04,0.0,52.71,0
LAG-FP-0040,confectionery,joint_venture,53.08,6,1,77,18.22,5,4,3,3,4.25,1,0.54,0,1.03,2.01,4,5,5,4,4.5,3,2,3,2.67,4,5,2,3.67,3,4,4,3.67,13.5,6.77,13.93,0.0,49.63,1
LAG-FP-0041,meat,domestic,0.0,8,13,41,13.07,4,1,6,1,4.5,1,0.59,0,1.25,0.63,3,4,5,3,3.75,5,4,4,4.33,4,4,3,3.67,4,3,3,3.33,12.0,6.82,10.0,0.87,69.51,1
LAG-FP-0042,fruits_veg,domestic,0.0,0,21,59,13.03,5,6,2,4,4.25,1,0.25,0,2.31,1.51,3,4,3,2,3.0,3,3,3,3.0,4,1,2,2.33,4,3,4,3.67,6.61,2.16,4.65,0.0,48.79,0
LAG-FP-0043,beverages,domestic,0.0,0,3,81,15.91,3,3,5,2,4.25,1,0.35,1,0.8,0.97,3,5,4,3,3.75,2,3,4,3.0,2,3,3,2.67,4,4,2,3.33,8.23,3.27,7.46,0.22,45.18,0
LAG-FP-0044,grains_cereals,domestic,0.0,0,1,110,21.74,3,7,2,5,3.75,1,0.17,0,0.65,0.76,3,3,4,3,3.25,4,3,1,2.67,2,2,2,2.0,4,3,2,3.0,3.68,1.0,1.54,0.0,49.63,0
LAG-FP-0045,grains_cereals,domestic,0.0,0,29,71,28.11,3,6,2,3,4.0,0,0.52,0,4.86,0.78,4,1,4,5,3.5,1,4,3,2.67,4,3,3,3.33,5,3,2,3.33,9.89,4.44,1.16,0.0,51.06,0
LAG-FP-0046,meat,domestic,0.0,0,4,61,21.07,6,4,6,5,4.75,1,0.57,0,2.38,1.44,3,2,4,5,3.5,2,4,2,2.67,4,4,4,4.0,4,4,4,4.0,11.91,6.19,2.39,0.19,51.77,0
LAG-FP-0047,grains_cereals,foreign,70.89,1,6,5,8.24,5,4,4,3,4.5,1,0.31,1,2.23,1.47,3,4,4,5,4.0,3,2,3,2.67,4,5,4,4.33,5,5,2,4.0,11.86,8.73,11.24,1.1,50.36,1
LAG-FP-0048,dairy,joint_venture,28.28,6,33,40,13.33,6,6,6,2,6.0,1,0.44,1,1.48,1.77,1,1,3,5,2.5,2,2,3,2.33,4,3,3,3.33,5,5,5,5.0,8.08,3.84,10.85,1.11,56.43,1
LAG-FP-0049,bakery,domestic,0.0,0,1,59,11.51,5,3,3,1,4.5,1,0.34,1,1.48,1.39,5,2,3,3,3.25,4,3,3,3.33,5,2,5,4.0,3,5,4,4.0,12.13,8.42,5.29,0.0,61.61,0
LAG-FP-0050,confectionery,foreign,81.19,3,19,82,28.14,3,2,2,5,2.5,0,0.42,1,1.74,1.28,2,5,3,2,3.0,5,5,5,5.0,3,4,4,3.67,3,5,4,4.0,12.17,5.79,8.94,0.2,56.01,1
LAG-FP-0051,bakery,foreign,90.23,1,30,84,15.24,6,4,4,1,5.25,1,0.39,1,3.98,1.31,5,2,4,5,4.0,3,2,4,3.0,3,4,3,3.33,1,4,3,2.67,8.91,5.62,11.05,0.0,53.6,1
LAG-FP-0052,bakery,domestic,0.0,0,19,75,17.41,3,4,1,7,2.25,0,0.6,0,0.0,1.08,3,5,2,3,3.25,1,3,2,2.0,4,3,3,3.33,4,4,5,4.33,6.99,3.08,0.27,0.98,49.68,0
LAG-FP-0053,fruits_veg,domestic,0.0,2,15,104,28.58,3,2,5,4,3.5,1,0.47,1,1.25,1.64,3,4,4,2,3.25,2,4,2,2.67,3,3,4,3.33,4,4,5,4.33,6.65,4.98,11.11,0.0,53.27,1
LAG-FP-0054,beverages,domestic,0.0,0,23,64,2.0,6,3,2,3,4.0,1,0.18,1,1.02,0.86,4,2,3,4,3.25,4,2,3,3.0,3,4,3,3.33,3,4,5,4.0,10.14,4.84,2.42,0.0,57.76,0
LAG-FP-0055,grains_cereals,domestic,0.0,0,18,89,13.44,6,2,6,4,4.5,1,0.48,0,1.1,1.9,2,3,3,4,3.0,2,3,4,3.0,5,4,3,4.0,4,3,2,3.0,8.61,5.8,3.38,0.45,47.36,0
LAG-FP-0056,bakery,foreign,64.12,7,1,53,11.52,4,3,4,4,3.75,0,0.62,1,0.56,2.14,3,4,4,4,3.75,5,3,3,3.67,2,4,3,3.0,4,4,3,3.67,9.66,3.87,12.9,0.07,56.29,1
LAG-FP-0057,fruits_veg,joint_venture,57.59,5,13,100,24.12,3,4,4,3,4.0,0,0.73,1,2.29,2.61,2,3,4,5,3.5,3,4,4,3.67,4,2,4,3.33,5,5,5,5.0,12.35,7.39,11.93,0.19,62.04,1
LAG-FP-0058,meat,domestic,0.0,0,7,131,32.18,5,2,7,4,4.5,0,0.14,1,0.02,2.32,1,3,3,3,2.5,4,4,5,4.33,2,3,5,3.33,3,5,3,3.67,7.04,3.77,2.39,0.58,66.4,0
LAG-FP-0059,confectionery,foreign,75.33,4,14,67,15.98,2,3,3,2,3.5,1,0.72,1,2.14,0.66,4,3,4,4,3.75,1,3,4,2.67,2,4,4,3.33,4,2,4,3.33,9.18,7.15,8.56,0.0,47.59,1
LAG-FP-0060,bakery,joint_venture,52.89,11,2,122,26.36,4,2,5,2,4.25,1,0.5,1,1.86,1.19,4,3,3,4,3.5,2,4,4,3.33,4,4,3,3.67,5,2,2,3.0,9.99,4.37,8.15,1.15,52.45,1
LAG-FP-0061,grains_cereals,domestic,0.0,0,14,96,15.88,4,7,4,7,4.0,0,0.27,0,1.56,0.92,2,5,3,3,3.25,3,4,2,3.0,1,4,2,2.33,2,5,3,3.33,6.81,5.17,5.72,0.04,45.3,0
LAG-FP-0062,bakery,joint_venture,39.91,3,6,118,11.64,3,5,5,4,4.25,1,0.47,0,0.57,1.69,3,3,4,3,3.25,4,2,2,2.67,3,4,3,3.33,4,5,3,4.0,7.4,5.01,9.98,0.01,52.76,1
LAG-FP-0063,grains_cereals,joint_venture,73.83,7,19,155,13.13,2,4,2,4,3.0,0,0.65,0,0.19,2.44,4,5,5,5,4.75,3,2,2,2.33,3,3,4,3.33,5,5,4,4.67,12.12,6.36,9.59,0.8,54.21,1
LAG-FP-0064,meat,domestic,0.0,0,10,104,25.47,5,3,5,3,4.5,1,0.43,1,0.73,2.76,4,5,2,5,4.0,3,4,3,3.33,4,3,3,3.33,4,4,4,4.0,12.96,9.58,5.3,0.9,62.92,0
LAG-FP-0065,grains_cereals,joint_venture,36.22,7,25,97,20.2,3,6,7,6,4.5,0,0.56,0,1.5,2.11,5,5,2,3,3.75,4,4,3,3.67,2,4,4,3.33,4,5,4,4.33,12.21,8.64,8.24,1.12,69.41,1
LAG-FP-0066,confectionery,domestic,0.0,0,7,90,29.52,5,4,2,3,4.0,1,0.53,1,3.58,1.13,4,3,5,2,3.5,1,4,4,3.0,3,5,1,3.0,3,4,2,3.0,8.05,4.35,5.55,0.12,46.16,0
LAG-FP-0067,fruits_veg,joint_venture,42.9,3,19,116,41.54,4,3,3,3,3.75,0,0.55,1,3.32,1.62,3,4,4,3,3.5,4,4,4,4.0,4,3,3,3.33,3,4,5,4.0,12.28,9.35,9.84,0.62,64.48,1
LAG-FP-0068,dairy,domestic,0.0,0,26,171,58.69,3,7,6,2,5.5,0,0.37,1,2.2,1.91,5,4,4,4,4.25,4,3,3,3.33,4,5,4,4.33,5,4,4,4.33,16.74,10.61,7.31,0.0,70.47,0
LAG-FP-0069,fruits_veg,domestic,0.0,0,17,94,20.68,5,4,2,3,4.0,0,0.39,0,1.75,0.5,2,5,3,3,3.25,3,4,5,4.0,4,4,4,4.0,4,3,3,3.33,9.78,7.55,1.57,0.68,63.15,0
LAG-FP-0070,fruits_veg,joint_venture,46.29,2,20,80,2.8,5,5,4,1,5.25,1,0.37,0,2.97,1.62,3,5,2,4,3.5,3,5,3,3.67,4,3,2,3.0,3,4,2,3.0,10.3,6.17,8.18,0.22,63.43,1
LAG-FP-0071,grains_cereals,domestic,0.0,0,21,126,27.93,5,4,5,5,4.25,1,0.51,0,3.09,1.25,5,5,2,4,4.0,1,2,3,2.0,3,4,3,3.33,5,4,2,3.67,7.13,4.27,6.43,0.0,41.81,0
LAG-FP-0072,beverages,domestic,0.0,0,29,108,26.92,7,5,4,5,4.75,1,0.32,1,0.0,1.3,3,4,3,5,3.75,2,2,2,2.0,4,3,5,4.0,3,2,3,2.67,9.32,5.16,6.99,0.02,48.44,0
LAG-FP-0073,bakery,domestic,0.0,0,1,70,14.88,4,7,7,4,5.5,0,0.19,0,1.66,1.95,3,4,3,4,3.5,3,4,3,3.33,4,3,3,3.33,2,4,5,3.67,9.27,5.37,1.95,0.0,59.86,0
LAG-FP-0074,bakery,domestic,0.0,0,4,129,39.49,4,5,4,2,4.75,1,0.35,0,0.83,1.64,3,3,3,4,3.25,4,5,5,4.67,3,3,2,2.67,5,5,5,5.0,10.53,7.41,3.23,0.78,77.95,0
LAG-FP-0075,bakery,domestic,0.0,0,29,79,2.0,6,3,7,5,4.75,0,0.27,0,2.24,0.78,2,5,3,3,3.25,2,2,5,3.0,4,4,2,3.33,3,4,2,3.0,6.24,3.08,3.02,0.47,48.55,0
LAG-FP-0076,meat,foreign,64.86,5,1,124,28.14,6,4,5,4,4.75,1,0.44,0,2.65,1.24,3,1,3,4,2.75,4,2,3,3.0,4,2,3,3.0,4,5,3,4.0,6.38,3.44,7.52,0.0,53.3,1
LAG-FP-0077,oils_fats,domestic,0.0,0,7,119,30.48,2,6,5,6,3.75,0,0.55,0,0.97,1.28,4,4,4,4,4.0,3,2,3,2.67,4,4,2,3.33,3,5,4,4.0,10.98,6.32,1.93,0.25,50.59,0
LAG-FP-0078,dairy,domestic,0.0,0,11,103,47.32,6,4,7,4,5.25,1,0.05,1,3.02,1.21,5,4,4,4,4.25,4,4,3,3.67,2,2,4,2.67,2,4,1,2.33,10.04,4.29,8.51,0.16,50.79,0
LAG-FP-0079,bakery,domestic,0.0,0,14,72,14.05,5,4,5,3,4.75,1,0.37,0,1.5,1.88,4,3,4,4,3.75,3,3,5,3.67,1,5,2,2.67,3,5,5,4.33,12.05,9.05,1.98,0.16,56.95,0
LAG-FP-0080,oils_fats,joint_venture,56.77,9,13,31,16.59,5,4,4,2,4.75,1,0.76,0,1.66,1.43,4,5,5,3,4.25,4,5,3,4.0,3,3,4,3.33,4,5,3,4.0,13.87,10.21,14.01,0.0,70.99,1
LAG-FP-0081,dairy,domestic,0.0,0,26,75,15.35,6,5,4,4,4.75,1,0.48,0,0.78,0.96,5,3,4,3,3.75,5,3,4,4.0,3,3,5,3.67,2,4,4,3.33,10.62,8.01,6.29,0.5,68.0,0
LAG-FP-0082,bakery,domestic,0.0,1,28,15,13.49,4,3,4,4,3.75,1,0.61,1,2.13,1.39,4,4,1,3,3.0,5,2,3,3.33,5,3,3,3.67,4,4,4,4.0,10.3,7.07,9.04,0.26,61.55,1
LAG-FP-0083,grains_cereals,domestic,0.0,2,16,143,12.53,5,4,5,4,4.5,0,0.63,1,2.84,1.6,5,4,3,5,4.25,2,4,4,3.33,3,4,3,3.33,5,4,4,4.33,14.0,6.46,13.13,0.39,52.3,1
LAG-FP-0084,grains_cereals,domestic,0.0,0,16,117,13.15,5,4,4,2,4.75,1,0.73,0,2.39,1.74,3,3,5,4,3.75,4,3,5,4.0,4,4,3,3.67,5,3,3,3.67,12.39,5.93,2.45,0.95,68.73,0
LAG-FP-0085,bakery,foreign,72.37,2,4,99,15.09,6,6,3,2,5.25,1,0.69,0,1.33,1.41,5,3,2,3,3.25,4,5,3,4.0,3,5,5,4.33,4,5,5,4.67,13.18,9.56,8.15,0.0,61.19,1
LAG-FP-0086,dairy,domestic,0.0,2,24,111,22.7,4,4,6,3,4.75,0,0.23,0,1.8,1.88,5,3,4,3,3.75,2,4,2,2.67,3,4,4,3.67,2,3,3,2.67,9.49,5.71,11.2,1.06,51.83,1
LAG-FP-0087,grains_cereals,domestic,0.0,0,13,105,28.07,4,4,3,3,4.0,1,0.56,0,0.81,2.11,2,3,3,5,3.25,5,5,5,5.0,4,2,2,2.67,4,3,4,3.67,11.01,7.95,2.26,1.09,60.55,0
LAG-FP-0088,grains_cereals,joint_venture,40.59,8,11,97,22.74,6,7,1,5,4.25,1,0.63,0,2.91,1.6,3,2,4,3,3.0,4,4,4,4.0,4,4,2,3.33,3,4,4,3.67,9.58,3.8,7.3,0.74,61.57,1
LAG-FP-0089,fruits_veg,domestic,0.0,0,16,99,23.67,4,5,3,2,4.5,0,0.19,1,1.06,1.42,2,4,2,2,2.5,4,4,2,3.33,4,3,4,3.67,5,4,5,4.67,10.28,6.73,0.44,0.0,62.26,0
LAG-FP-0090,meat,domestic,0.0,0,27,39,5.69,6,3,3,5,3.75,0,0.36,0,0.75,1.93,3,3,5,5,4.0,4,5,4,4.33,3,2,3,2.67,4,2,4,3.33,8.59,6.9,7.29,0.0,64.99,0
LAG-FP-0091,meat,domestic,0.0,0,25,144,24.15,5,4,6,2,5.25,0,0.2,1,1.71,1.38,4,2,4,5,3.75,4,3,4,3.67,5,2,4,3.67,2,3,3,2.67,12.33,8.78,2.91,0.13,54.01,0
LAG-FP-0092,bakery,domestic,0.0,0,2,53,10.0,6,5,4,3,5.0,1,0.4,1,2.19,0.71,3,4,3,4,3.5,2,3,5,3.33,4,4,5,4.33,3,2,3,2.67,11.2,8.3,5.17,0.12,53.7,0
LAG-FP-0093,meat,joint_venture,85.41,2,18,103,23.39,6,4,5,7,4.0,1,0.49,0,0.81,0.88,4,4,4,4,4.0,3,3,4,3.33,2,5,3,3.33,3,4,4,3.67,11.93,7.89,12.41,0.12,59.61,1
LAG-FP-0094,meat,domestic,0.0,0,23,138,26.09,7,7,1,3,5.0,1,0.47,1,0.03,1.78,2,2,3,4,2.75,5,3,3,3.67,4,4,4,4.0,4,2,4,3.33,9.22,5.09,1.69,0.49,66.1,0
LAG-FP-0095,bakery,joint_venture,58.4,2,20,49,4.03,7,4,6,6,4.75,1,0.85,1,1.34,2.45,4,5,4,4,4.25,4,5,4,4.33,3,3,3,3.0,5,5,5,5.0,13.88,8.84,12.49,0.0,64.29,1
LAG-FP-0096,dairy,joint_venture,38.1,8,18,163,29.0,4,6,5,1,5.5,1,0.53,0,1.98,1.05,5,3,5,3,4.0,3,5,3,3.67,4,5,4,4.33,5,5,4,4.67,14.01,9.93,15.3,0.0,68.39,1
LAG-FP-0097,grains_cereals,domestic,0.0,0,20,112,45.69,7,5,1,5,4.0,1,0.3,0,0.04,0.5,2,4,4,5,3.75,2,4,2,2.67,2,3,2,2.33,4,5,5,4.67,7.38,4.63,2.98,0.0,59.63,0
LAG-FP-0098,oils_fats,domestic,0.0,0,6,187,72.66,4,6,2,3,4.25,1,0.33,0,1.75,1.74,3,4,4,2,3.25,3,2,3,2.67,5,4,4,4.33,3,3,2,2.67,8.76,6.78,4.76,0.8,51.54,0
LAG-FP-0099,oils_fats,foreign,77.13,9,18,8,14.26,4,3,4,2,4.25,0,0.69,0,1.38,1.1,4,4,4,3,3.75,5,5,3,4.33,3,5,3,3.67,5,5,2,4.0,13.91,6.48,12.84,0.6,66.88,1
LAG-FP-0100,oils_fats,domestic,0.0,0,10,170,62.38,4,5,3,4,4.0,0,0.4,0,1.8,1.35,4,3,5,5,4.25,3,4,4,3.67,3,5,4,4.0,4,4,5,4.33,14.25,10.41,2.99,1.11,52.75,0
LAG-FP-0101,dairy,domestic,0.0,0,8,159,39.05,4,2,2,4,3.0,1,0.23,0,1.74,1.25,3,2,3,3,2.75,3,2,3,2.67,4,2,4,3.33,3,4,3,3.33,4.66,1.72,1.98,0.0,39.34,0
LAG-FP-0102,dairy,domestic,0.0,0,1,89,7.81,3,4,7,3,4.75,0,0.51,0,0.87,1.09,5,3,4,4,4.0,2,5,3,3.33,3,4,3,3.33,3,5,4,4.0,11.65,6.62,6.63,0.0,58.05,0
LAG-FP-0103,bakery,domestic,0.0,0,12,60,33.94,4,5,4,5,4.0,1,0.44,0,0.62,1.21,2,4,2,3,2.75,2,3,5,3.33,5,2,1,2.67,5,4,4,4.33,7.55,3.13,2.87,0.94,64.89,0
LAG-FP-0104,bakery,domestic,0.0,0,26,49,11.84,4,6,6,4,5.0,0,0.52,0,0.88,0.5,3,5,4,3,3.75,3,3,3,3.0,4,3,2,3.0,3,5,4,4.0,9.71,6.25,4.85,0.0,55.86,0
LAG-FP-0105,grains_cereals,domestic,0.0,0,12,52,17.87,3,4,2,4,3.25,0,0.44,0,1.1,1.76,4,3,4,3,3.5,3,5,5,4.33,3,1,5,3.0,5,3,5,4.33,11.72,6.96,6.13,0.0,51.91,0
LAG-FP-0106,beverages,foreign,64.6,6,14,141,34.17,7,4,4,7,4.0,1,0.7,0,2.39,2.48,5,3,5,4,4.25,3,3,4,3.33,4,4,2,3.33,5,3,4,4.0,10.6,5.17,12.39,0.0,57.56,1
