firm_code,stratum,zone,is_main_sample,is_backup,responded
FIRM091,SME,Ikeja,1,0,1
FIRM092,SME,Amuwo-Odofin,0,0,0
FIRM093,SME,Amuwo-Odofin,1,0,1
FIRM094,SME,Oshodi/Isolo,1,0,1
FIRM095,SME,Amuwo-Odofin,0,1,0
FIRM096,SME,Oshodi/Isolo,1,0,0
FIRM097,SME,Oshodi/Isolo,1,0,1
FIRM098,SME,Apapa,1,0,1
FIRM099,SME,Ikeja,1,0,1
FIRM100,SME,Ikeja,0,0,0
FIRM101,SME,Ikeja,1,0,1
FIRM102,SME,Amuwo-Odofin,1,0,0
FIRM103,SME,Apapa,0,0,0
FIRM104,SME,Oshodi/Isolo,0,0,0
FIRM105,SME,Ikorodu,1,0,0
FIRM106,SME,Ikeja,0,0,0
FIRM107,SME,Apapa,0,0,0
FIRM108,SME,Amuwo-Odofin,1,0,1
FIRM109,SME,Ikeja,1,0,0
FIRM110,SME,Ikeja,1,0,0
FIRM111,SME,Apapa,0,1,0
FIRM112,SME,Ikeja,1,0,0
FIRM113,SME,Ibeju-Lekki,1,0,0
FIRM114,SME,Ikorodu,1,0,0
FIRM115,SME,Amuwo-Odofin,1,0,1
FIRM116,SME,Ikorodu,1,0,1
FIRM117,SME,Ikorodu,1,0,1
FIRM118,SME,Ikeja,1,0,1
FIRM119,SME,Ikorodu,1,0,1
FIRM120,SME,Oshodi/Isolo,1,0,0
FIRM121,SME,Ikorodu,1,0,1
FIRM122,SME,Ikorodu,0,0,0
FIRM123,SME,Apapa,0,1,0
FIRM124,SME,Ikeja,0,1,0
FIRM125,SME,Ikeja,1,0,1
FIRM126,SME,Apapa,1,0,0
FIRM127,SME,Ikorodu,1,0,1
FIRM128,SME,Ikorodu,1,0,1
FIRM129,SME,Ikeja,0,1,0
FIRM130,SME,Oshodi/Isolo,1,0,0
FIRM131,SME,Apapa,0,0,0
FIRM132,SME,Ikeja,0,0,0
FIRM133,SME,Ikeja,1,0,0
FIRM134,SME,Apapa,0,0,0
FIRM135,SME,Ibeju-Lekki,0,0,0
FIRM136,SME,Apapa,0,1,0
FIRM137,SME,Oshodi/Isolo,1,0,1
FIRM138,SME,Amuwo-Odofin,1,0,1
FIRM139,SME,Apapa,0,1,0
FIRM140,SME,Ibeju-Lekki,1,0,1
FIRM141,SME,Ibeju-Lekki,1,0,0
FIRM142,SME,Ikeja,1,0,1
FIRM143,SME,Oshodi/Isolo,1,0,1
FIRM144,SME,Apapa,1,0,1
FIRM145,SME,Apapa,1,0,0
FIRM146,SME,Ikeja,0,0,0
FIRM147,SME,Oshodi/Isolo,1,0,1
FIRM148,SME,Oshodi/Isolo,1,0,1
FIRM149,SME,Ikeja,1,0,1
FIRM150,SME,Apapa,0,0,0
FIRM151,SME,Ikorodu,1,0,1
FIRM152,SME,Ikeja,0,0,0
FIRM153,SME,Ikeja,1,0,1
FIRM154,SME,Oshodi/Isolo,0,1,0
FIRM155,SME,Ibeju-Lekki,1,0,1
FIRM156,SME,Ikeja,1,0,1
FIRM157,SME,Amuwo-Odofin,0,1,0
FIRM158,SME,Amuwo-Odofin,1,0,0
FIRM159,SME,Ikeja,1,0,0
FIRM160,SME,Amuwo-Odofin,1,0,1
FIRM161,SME,Apapa,0,0,0
FIRM162,SME,Amuwo-Odofin,0,0,0
FIRM163,SME,Amuwo-Odofin,0,1,0
FIRM164,SME,Oshodi/Isolo,1,0,1
FIRM165,SME,Ikeja,1,0,1
FIRM166,SME,Ikorodu,1,0,1
FIRM167,SME,Apapa,0,0,0
FIRM168,SME,Ikeja,1,0,0
FIRM169,SME,Ikeja,1,0,0
FIRM170,SME,Oshodi/Isolo,0,0,0
FIRM171,SME,Amuwo-Odofin,1,0,1
FIRM172,SME,Ikeja,1,0,0
FIRM173,SME,Oshodi/Isolo,1,0,1
FIRM174,SME,Ikeja,1,0,0
FIRM175,SME,Amuwo-Odofin,0,0,0
FIRM176,SME,Ikeja,1,0,1
FIRM177,SME,Amuwo-Odofin,1,0,1
FIRM178,SME,Apapa,1,0,1
FIRM179,SME,Ibeju-Lekki,1,0,1
FIRM180,SME,Ikeja,1,0,1
FIRM181,SME,Apapa,1,0,1
FIRM182,SME,Ikeja,1,0,1
FIRM183,SME,Ibeju-Lekki,1,0,1
FIRM184,SME,Ikorodu,1,0,1
FIRM185,SME,Ikeja,1,0,1
FIRM186,SME,Amuwo-Odofin,1,0,1
FIRM187,SME,Ikorodu,1,0,1
FIRM188,SME,Oshodi/Isolo,0,0,0
FIRM189,SME,Oshodi/Isolo,0,0,0
FIRM190,SME,Ikeja,0,0,0
FIRM191,SME,Ikeja,0,0,0
FIRM192,SME,Ikorodu,0,0,0
FIRM193,SME,Ikorodu,1,0,0
FIRM194,SME,Amuwo-Odofin,1,0,0
FIRM195,SME,Apapa,1,0,1
FIRM196,SME,Apapa,1,0,1
FIRM197,SME,Amuwo-Odofin,1,0,1
FIRM198,SME,Ikorodu,1,0,0
FIRM199,SME,Ikorodu,1,0,0
FIRM200,SME,Amuwo-Odofin,0,1,0
FIRM201,SME,Amuwo-Odofin,1,0,1
FIRM202,SME,Ikeja,0,0,0
FIRM203,SME,Ikeja,1,0,0
FIRM204,SME,Ikorodu,1,0,1
FIRM205,SME,Oshodi/Isolo,0,1,0
FIRM206,SME,Ikeja,0,0,0
FIRM207,SME,Ikeja,1,0,1
FIRM208,SME,Amuwo-Odofin,0,1,0
FIRM209,SME,Ikeja,1,0,1
FIRM210,SME,Ikeja,0,1,0
FIRM211,SME,Oshodi/Isolo,1,0,1
FIRM212,SME,Amuwo-Odofin,1,0,1
FIRM213,SME,Amuwo-Odofin,0,1,0
FIRM214,SME,Ikeja,1,0,1
FIRM215,SME,Amuwo-Odofin,0,0,0
FIRM216,SME,Ikeja,1,0,0
FIRM217,SME,Apapa,0,1,0
FIRM218,SME,Amuwo-Odofin,0,0,0
FIRM219,SME,Amuwo-Odofin,1,0,1
FIRM220,SME,Ikorodu,1,0,1
FIRM221,SME,Amuwo-Odofin,0,0,0
FIRM222,SME,Oshodi/Isolo,1,0,1
FIRM223,SME,Ikeja,1,0,0
FIRM224,SME,Apapa,1,0,1
FIRM225,SME,Apapa,1,0,1
FIRM226,SME,Ikeja,1,0,1
FIRM227,SME,Ibeju-Lekki,1,0,1
FIRM228,SME,Apapa,0,1,0
FIRM229,SME,Ikorodu,1,0,1
FIRM230,SME,Amuwo-Odofin,1,0,0
FIRM231,SME,Ikorodu,1,0,1
FIRM232,SME,Oshodi/Isolo,1,0,0
FIRM233,SME,Oshodi/Isolo,1,0,0
FIRM234,SME,Oshodi/Isolo,1,0,1
FIRM235,SME,Ikeja,1,0,1
FIRM236,SME,Amuwo-Odofin,0,0,0
FIRM237,SME,Apapa,1,0,1
FIRM238,SME,Ikeja,1,0,1
FIRM239,SME,Amuwo-Odofin,1,0,1
FIRM240,SME,Ikeja,1,0,0
FIRM241,SME,Ibeju-Lekki,0,1,0
FIRM242,SME,Ibeju-Lekki,0,0,0
FIRM243,SME,Ibeju-Lekki,1,0,1
FIRM244,SME,Apapa,0,0,0
FIRM245,SME,Ikeja,1,0,1
FIRM246,SME,Ibeju-Lekki,1,0,1
FIRM247,SME,Apapa,1,0,1
FIRM248,SME,Ibeju-Lekki,1,0,1
FIRM249,SME,Ibeju-Lekki,1,0,1
FIRM250,SME,Ikorodu,1,0,1
FIRM251,SME,Apapa,1,0,0
FIRM252,SME,Apapa,0,0,0
FIRM253,SME,Ikorodu,0,0,0
FIRM254,SME,Apapa,1,0,1
FIRM255,SME,Ikeja,1,0,1
FIRM256,SME,Oshodi/Isolo,1,0,1
FIRM257,SME,Ibeju-Lekki,1,0,1
FIRM258,SME,Amuwo-Odofin,0,0,0
FIRM259,SME,Oshodi/Isolo,0,1,0
FIRM260,SME,Ikeja,1,0,1
FIRM261,SME,Oshodi/Isolo,1,0,0
FIRM262,SME,Ibeju-Lekki,0,1,0
FIRM263,SME,Ikeja,1,0,0
FIRM264,SME,Oshodi/Isolo,0,1,0
FIRM265,SME,Ikorodu,0,1,0
FIRM266,SME,Amuwo-Odofin,1,0,0
FIRM267,SME,Amuwo-Odofin,1,0,1
FIRM268,SME,Amuwo-Odofin,1,0,1
FIRM269,SME,Apapa,1,0,0
FIRM270,SME,Apapa,1,0,1
FIRM271,SME,Ikorodu,0,0,0
FIRM272,SME,Ikorodu,1,0,0
FIRM273,SME,Ikorodu,1,0,1
FIRM274,SME,Ibeju-Lekki,0,0,0
FIRM275,SME,Oshodi/Isolo,1,0,1
FIRM276,SME,Oshodi/Isolo,0,1,0
FIRM277,SME,Ikorodu,0,0,0
FIRM278,SME,Amuwo-Odofin,1,0,1
FIRM279,SME,Amuwo-Odofin,1,0,1
FIRM280,SME,Ikorodu,0,1,0
FIRM281,SME,Ikorodu,1,0,0
FIRM282,SME,Apapa,1,0,1
FIRM283,SME,Apapa,1,0,0
FIRM284,SME,Ikeja,1,0,1
FIRM285,SME,Oshodi/Isolo,1,0,1
FIRM286,SME,Ikeja,0,1,0
FIRM287,SME,Oshodi/Isolo,1,0,1
FIRM288,SME,Oshodi/Isolo,0,0,0
FIRM289,SME,Apapa,1,0,1
FIRM290,SME,Oshodi/Isolo,1,0,0
FIRM291,SME,Ikeja,0,1,0
FIRM292,SME,Ikeja,0,1,0
FIRM293,SME,Ikorodu,1,0,0
FIRM294,SME,Apapa,1,0,0
FIRM295,SME,Ikeja,0,0,0
FIRM296,SME,Oshodi/Isolo,1,0,0
FIRM297,SME,Amuwo-Odofin,1,0,0
FIRM298,SME,Ikeja,1,0,1
FIRM299,SME,Oshodi/Isolo,0,0,0
FIRM300,SME,Ikeja,0,0,0
FIRM301,Large,Ikeja,1,0,1
FIRM302,Large,Oshodi/Isolo,0,0,0
FIRM303,Large,Oshodi/Isolo,0,1,0
FIRM304,Large,Amuwo-Odofin,0,1,0
FIRM305,Large,Amuwo-Odofin,1,0,1
FIRM306,Large,Ibeju-Lekki,1,0,1
FIRM307,Large,Oshodi/Isolo,0,1,0
FIRM308,Large,Apapa,1,0,1
FIRM309,Large,Ikorodu,1,0,1
FIRM310,Large,Apapa,1,0,1
FIRM311,Large,Oshodi/Isolo,1,0,1
FIRM312,Large,Ikeja,1,0,1
FIRM313,Large,Ikeja,1,0,1
FIRM314,Large,Ibeju-Lekki,1,0,1
FIRM315,Large,Ikorodu,0,0,0
FIRM316,Large,Amuwo-Odofin,1,0,0
FIRM317,Large,Apapa,1,0,1
FIRM318,Large,Ikeja,0,1,0
FIRM319,Large,Ikeja,1,0,0
FIRM320,Large,Ikeja,1,0,0
FIRM321,Large,Oshodi/Isolo,0,0,0
FIRM322,Large,Amuwo-Odofin,0,0,0
FIRM323,Large,Amuwo-Odofin,1,0,1
FIRM324,Large,Apapa,1,0,1
FIRM325,Large,Ibeju-Lekki,1,0,0
FIRM326,Large,Amuwo-Odofin,1,0,1
FIRM327,Large,Oshodi/Isolo,1,0,0
FIRM328,Large,Oshodi/Isolo,1,0,1
FIRM329,Large,Apapa,1,0,1
FIRM330,Large,Ikeja,1,0,0
FIRM331,Large,Apapa,1,0,1
FIRM332,Large,Amuwo-Odofin,1,0,1
FIRM333,Large,Ikeja,1,0,1
FIRM334,Large,Ikeja,1,0,0
FIRM335,Large,Ikeja,1,0,1
FIRM336,Large,Ikeja,1,0,0
FIRM337,Large,Ikorodu,1,0,1
FIRM338,Large,Amuwo-Odofin,0,0,0
FIRM339,Large,Oshodi/Isolo,0,1,0
FIRM340,Large,Ikeja,1,0,1
FIRM341,Large,Oshodi/Isolo,1,0,0
FIRM342,Large,Oshodi/Isolo,0,0,0
FIRM343,Large,Ikeja,1,0,1
FIRM344,Large,Oshodi/Isolo,1,0,0
FIRM345,Large,Apapa,1,0,1
FIRM346,Large,Oshodi/Isolo,1,0,1
FIRM347,Large,Amuwo-Odofin,0,1,0
FIRM348,Large,Ikeja,1,0,1
FIRM349,Large,Apapa,0,0,0
FIRM350,Large,Oshodi/Isolo,1,0,0
FIRM351,Large,Oshodi/Isolo,0,1,0
FIRM352,Large,Ikorodu,1,0,0
FIRM353,Large,Amuwo-Odofin,0,0,0
FIRM354,Large,Ikeja,1,0,0
FIRM355,Large,Ikeja,0,1,0
FIRM356,Large,Amuwo-Odofin,1,0,0
FIRM357,Large,Ikeja,1,0,1
FIRM358,Large,Oshodi/Isolo,0,0,0
FIRM359,Large,Ibeju-Lekki,0,0,0
FIRM360,Large,Oshodi/Isolo,0,1,0
FIRM361,Large,Apapa,1,0,0
FIRM362,Large,Amuwo-Odofin,0,1,0
FIRM363,Large,Oshodi/Isolo,1,0,0
FIRM364,Large,Oshodi/Isolo,0,1,0
FIRM365,Large,Ibeju-Lekki,1,0,1
FIRM366,Large,Apapa,1,0,1
FIRM367,Large,Ibeju-Lekki,1,0,1
FIRM368,Large,Ikorodu,1,0,0
FIRM369,Large,Ikeja,1,0,1
FIRM370,Large,Ikeja,1,0,1
FIRM371,Large,Ikeja,1,0,0
FIRM372,Large,Ikeja,0,0,0
FIRM373,Large,Ikeja,0,1,0
FIRM374,Large,Amuwo-Odofin,1,0,1
FIRM375,Large,Ikeja,0,0,0
FIRM376,Large,Apapa,1,0,1
FIRM377,Large,Ikorodu,1,0,1
FIRM378,Large,Ikeja,1,0,0
FIRM379,Large,Ikorodu,1,0,0
FIRM380,Large,Apapa,0,1,0
FIRM381,Large,Ikeja,1,0,1
FIRM382,Large,Amuwo-Odofin,1,0,0
FIRM383,Large,Oshodi/Isolo,1,0,1
FIRM384,Large,Ikorodu,1,0,1
FIRM385,Large,Amuwo-Odofin,1,0,0
FIRM386,Large,Ikorodu,1,0,1
FIRM387,Large,Apapa,1,0,1
FIRM388,Large,Ikeja,0,0,0
FIRM389,Large,Amuwo-Odofin,0,0,0
FIRM390,Large,Ikorodu,1,0,0
FIRM391,Large,Ibeju-Lekki,0,0,0
FIRM392,Large,Apapa,0,0,0
FIRM393,Large,Apapa,0,0,0
FIRM394,Large,Amuwo-Odofin,1,0,1
FIRM395,Large,Apapa,1,0,1
FIRM396,Large,Ibeju-Lekki,1,0,1
FIRM397,Large,Ikorodu,1,0,0
FIRM398,Large,Apapa,1,0,1
FIRM399,Large,Amuwo-Odofin,1,0,1
FIRM400,Large,Amuwo-Odofin,0,0,0
FIRM401,Large,Ikeja,0,1,0
FIRM402,Large,Ikorodu,1,0,1
FIRM403,Large,Oshodi/Isolo,0,0,0
FIRM404,Large,Ikorodu,0,0,0
FIRM405,Large,Apapa,1,0,0
FIRM406,Large,Ikorodu,1,0,0
FIRM407,Large,Apapa,0,0,0
FIRM408,Large,Ikeja,0,0,0
FIRM409,Large,Ikorodu,1,0,1
FIRM410,Large,Ikeja,1,0,1
FIRM411,Large,Apapa,1,0,1
FIRM412,Large,Ibeju-Lekki,1,0,1
FIRM413,Large,Ibeju-Lekki,0,1,0
FIRM414,Large,Oshodi/Isolo,1,0,1
FIRM415,Large,Amuwo-Odofin,1,0,1
FIRM416,Large,Oshodi/Isolo,0,1,0
FIRM417,Large,Apapa,0,0,0
FIRM418,Large,Apapa,1,0,0
FIRM419,Large,Amuwo-Odofin,1,0,1
FIRM420,Large,Amuwo-Odofin,1,0,1
FIRM421,Large,Ikorodu,1,0,1
FIRM422,Large,Amuwo-Odofin,0,0,0
FIRM423,Large,Ikeja,1,0,1
FIRM424,Large,Oshodi/Isolo,1,0,1
FIRM425,Large,Ikeja,0,0,0
FIRM426,Large,Oshodi/Isolo,1,0,1
FIRM427,Large,Oshodi/Isolo,0,1,0
FIRM428,Large,Ikorodu,1,0,1
FIRM429,Large,Apapa,1,0,0
FIRM430,Large,Ikeja,0,0,0
FIRM431,Large,Ikeja,0,0,0
FIRM432,Large,Amuwo-Odofin,1,0,1
FIRM433,Large,Oshodi/Isolo,1,0,1
FIRM434,Large,Ikeja,1,0,1
FIRM435,Large,Ikeja,1,0,1
FIRM436,Large,Amuwo-Odofin,1,0,1
FIRM437,Large,Ikeja,0,1,0
FIRM438,Large,Ikorodu,1,0,1
FIRM439,Large,Amuwo-Odofin,1,0,0
FIRM440,Large,Ikeja,0,1,0
FIRM441,Large,Ikeja,0,0,0
FIRM442,Large,Ibeju-Lekki,1,0,1
FIRM443,Large,Apapa,1,0,1
FIRM444,Large,Apapa,1,0,1
FIRM445,Large,Ikorodu,0,0,0
FIRM446,Large,Ibeju-Lekki,1,0,1
FIRM447,Large,Ibeju-Lekki,1,0,0
FIRM448,Large,Amuwo-Odofin,0,1,0
FIRM449,Large,Apapa,1,0,1
FIRM450,Large,Ikeja,0,0,0
