condition_id,fixture_type,boundary_constraint,stack_pressure_value,stack_pressure_units,load_type,applied_force_value,applied_force_units,applied_moment_value,applied_moment_units,normal_force_direction,shear_plane,temperature_celsius,notes,source_metadata,created_utc
MBC-00011,triaxial_cell,clamped,1.718,MPa,tensile,4947.72,N,,,-x,,57.9,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00012,four_point_bending,simply_supported,8.444,MPa,shear,1152.95,N,,,,xy,97.6,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00013,shear_fixture_single_lap,pinned_fixed,0.755,MPa,shear,2840.23,N,,,,zx,111.3,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00014,shear_fixture_single_lap,fixed_free,4.017,MPa,bending,,,229.97,N*m,,,111.5,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00015,three_point_bending,fixed_free,7.475,MPa,tensile,3737.6,N,,,-y,,73.9,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00016,shear_fixture_double_lap,pinned_pinned,9.974,MPa,tensile,2472.64,N,,,+z,,33.8,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00017,biaxial_fixture,fixed_free,7.942,MPa,tensile,327.0,N,,,-y,,62.2,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00018,custom_fixture,clamped,9.714,MPa,shear,67.29,N,,,,zx,106.1,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00019,biaxial_fixture,simply_supported,7.534,MPa,torsional,,,170.75,N*m,,,96.9,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00020,three_point_bending,pinned_fixed,4.592,MPa,tensile,4380.51,N,,,+y,,115.4,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00021,triaxial_cell,clamped,8.718,MPa,compressive,3198.36,N,,,+x,,49.8,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00022,four_point_bending,fixed_free,7.649,MPa,shear,3895.35,N,,,,zx,73.9,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00023,uniaxial_compression_fixture,clamped,4.937,MPa,shear,1821.27,N,,,,yz,31.2,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00024,four_point_bending,fixed_fixed,8.792,MPa,tensile,437.41,N,,,-y,,114.7,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00025,biaxial_fixture,clamped,1.371,MPa,tensile,2753.52,N,,,+y,,67.5,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00026,shear_fixture_double_lap,fixed_free,7.577,MPa,torsional,,,356.76,N*m,,,89.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00027,shear_fixture_double_lap,simply_supported,4.437,MPa,shear,613.81,N,,,,xy,71.8,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00028,biaxial_fixture,pinned_pinned,5.924,MPa,compressive,1108.88,N,,,+z,,43.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00029,uniaxial_compression_fixture,fixed_free,9.064,MPa,compressive,363.58,N,,,-z,,106.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00030,three_point_bending,simply_supported,2.221,MPa,bending,,,467.82,N*m,,,33.2,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00031,custom_fixture,fixed_free,8.094,MPa,bending,,,49.37,N*m,,,39.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00032,shear_fixture_double_lap,pinned_pinned,4.17,MPa,bending,,,28.03,N*m,,,106.4,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00033,biaxial_fixture,fixed_fixed,7.309,MPa,bending,,,55.53,N*m,,,100.1,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00034,four_point_bending,fixed_free,4.541,MPa,torsional,,,139.99,N*m,,,62.2,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00035,four_point_bending,fixed_fixed,8.099,MPa,bending,,,49.86,N*m,,,105.6,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00036,uniaxial_compression_fixture,fixed_fixed,1.746,MPa,tensile,1076.6,N,,,-y,,68.6,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00037,uniaxial_compression_fixture,fixed_free,0.121,MPa,bending,,,463.33,N*m,,,59.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00038,custom_fixture,pinned_pinned,6.996,MPa,bending,,,391.9,N*m,,,93.1,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
