design_id,geometry_type,channel_width_mm,channel_height_mm,curvature_1_per_mm,length_mm,pred_pressure_drop_Pa,pred_stress_MPa,meas_pressure_drop_Pa,meas_stress_MPa
D050,serpentine,0.785,0.393,0.0597,107.82,50000.0,71.886,50000.0,70.966
D051,bow_shaped,2.095,0.696,0.041,64.58,41132.45,57.551,41336.89,61.805
D052,bow_shaped,0.705,0.598,0.0125,111.39,50000.0,68.916,50000.0,76.352
D053,bow_shaped,0.544,1.124,0.0453,66.34,50000.0,65.459,47030.77,60.556
D054,rectangular,1.307,0.37,0.0,114.75,50000.0,72.468,50000.0,71.34
D055,rectangular,1.637,1.028,0.0,115.46,45771.22,75.043,41577.64,70.974
D056,bow_shaped,1.022,0.418,0.0253,23.91,24281.91,54.781,25235.93,56.06
D057,rectangular,0.831,0.826,0.0,85.04,50000.0,70.268,50000.0,66.461
D058,bow_shaped,1.19,0.815,0.0107,106.55,50000.0,73.061,47752.91,73.158
D059,serpentine,1.532,0.244,0.0438,99.9,50000.0,72.448,46659.68,70.046
D060,bow_shaped,0.941,0.441,0.0387,39.6,43260.82,54.399,40055.57,62.552
D061,bow_shaped,1.101,0.713,0.0787,104.78,50000.0,74.275,50000.0,69.156
D062,rectangular,0.897,0.893,0.0,71.06,39663.93,63.848,35816.97,67.392
D063,rectangular,0.718,1.095,0.0,32.82,18924.87,56.367,20388.38,61.122
D064,serpentine,2.333,0.511,0.0993,20.84,22337.96,57.047,22538.32,53.029
D065,rectangular,1.445,0.291,0.0,66.26,50000.0,62.582,47421.55,65.348
D066,serpentine,1.574,1.065,0.1072,73.39,50000.0,71.914,50000.0,76.84
D067,bow_shaped,1.992,0.602,0.0358,83.63,50000.0,66.262,48047.72,69.454
D068,serpentine,0.771,0.645,0.0461,51.47,50000.0,63.184,46707.44,67.113
D069,serpentine,1.103,1.026,0.0855,86.26,50000.0,74.232,47433.79,74.178
D070,bow_shaped,0.929,0.395,0.0781,104.31,50000.0,71.842,50000.0,84.038
D071,bow_shaped,2.112,0.692,0.0346,89.85,50000.0,65.255,50000.0,69.236
D072,rectangular,1.706,0.329,0.0,115.82,50000.0,66.52,49460.4,68.127
D073,rectangular,1.332,1.184,0.0,31.35,12507.16,52.208,11756.33,55.792
D074,serpentine,0.572,1.044,0.0846,35.91,40822.1,56.89,37646.21,65.308
D075,rectangular,1.69,0.433,0.0,90.36,50000.0,70.465,49532.45,77.138
D076,rectangular,1.052,0.237,0.0,114.4,50000.0,73.243,44967.01,68.769
D077,rectangular,1.688,0.374,0.0,21.57,17595.74,55.877,17799.58,59.072
D078,bow_shaped,1.078,1.149,0.0626,26.45,17828.16,49.87,19221.34,60.378
D079,bow_shaped,1.84,0.708,0.0219,53.73,30833.01,61.434,29152.95,55.292
D080,bow_shaped,1.981,1.054,0.076,74.19,43311.91,64.37,43413.68,66.674
