specimen_id,position_mm,fem_stress_MPa,fem_strain,exp_stress_MPa,exp_strain,temperature_C,loading_rate_MPa_per_s
S01,33.92,168.763,0.000889,167.176,0.000573,25,3.837
S01,34.948,140.056,0.000738,135.438,0.000865,25,3.837
S01,35.976,118.121,0.000622,120.808,0.000312,25,3.837
S01,37.004,103.302,0.000544,101.048,0.000304,25,3.837
S01,38.032,95.834,0.000505,93.168,0.000224,25,3.837
S01,39.06,95.834,0.000505,94.499,0.000674,25,3.837
S01,40.088,103.302,0.000544,110.37,0.000393,25,3.837
S01,41.115,118.121,0.000622,113.146,0.000459,25,3.837
S01,42.143,140.056,0.000738,137.33,0.001142,25,3.837
S01,43.171,168.763,0.000889,169.611,0.000993,25,3.837
S01,44.199,203.787,0.001074,213.471,0.001177,25,3.837
S01,45.227,244.577,0.001289,245.061,0.0012,25,3.837
S01,46.255,290.489,0.001531,277.092,0.001069,25,3.837
S01,47.283,340.8,0.011626,341.125,0.011297,25,3.837
S01,48.311,394.716,0.038584,411.159,0.037954,25,3.837
S01,49.338,451.386,0.066919,453.935,0.066714,25,3.837
S01,50.366,470.931,0.076691,455.422,0.077941,25,3.837
S01,51.394,470.931,0.076691,457.442,0.078602,25,3.837
S02,0.0,458.831,0.076483,456.276,0.078337,100,0.532
S02,1.011,458.831,0.076483,451.045,0.079079,100,0.532
S02,2.022,458.831,0.076483,455.091,0.079628,100,0.532
S02,3.032,458.831,0.076483,452.01,0.080048,100,0.532
S02,4.043,458.831,0.076483,459.8,0.080348,100,0.532
S02,5.054,458.831,0.076483,463.092,0.080404,100,0.532
S02,6.065,458.831,0.076483,475.449,0.080044,100,0.532
S02,7.075,458.831,0.076483,480.857,0.079556,100,0.532
S02,8.086,458.831,0.076483,464.459,0.078821,100,0.532
S02,9.097,458.831,0.076483,461.522,0.077998,100,0.532
S02,10.108,458.831,0.076483,469.872,0.076916,100,0.532
S02,11.119,458.831,0.076483,465.593,0.075942,100,0.532
S02,12.129,458.831,0.076483,446.102,0.075076,100,0.532
S02,13.14,458.831,0.076483,456.406,0.074096,100,0.532
S02,14.151,458.831,0.076483,451.683,0.073589,100,0.532
S02,15.162,458.831,0.076483,456.122,0.073038,100,0.532
S02,16.173,458.831,0.076483,467.327,0.072572,100,0.532
S02,17.183,458.831,0.076483,461.738,0.07236,100,0.532
S02,18.194,458.831,0.076483,444.721,0.072646,100,0.532
S02,19.205,458.831,0.076483,465.963,0.073316,100,0.532
S02,20.216,458.831,0.076483,453.831,0.073922,100,0.532
S02,21.226,458.831,0.076483,439.313,0.074697,100,0.532
S02,22.237,458.831,0.076483,478.74,0.075605,100,0.532
S02,23.248,458.831,0.076483,471.921,0.076504,100,0.532
S02,24.259,458.831,0.076483,442.755,0.077695,100,0.532
S02,25.27,458.831,0.076483,445.024,0.078289,100,0.532
S02,26.28,458.831,0.076483,447.265,0.078877,100,0.532
S02,27.291,458.831,0.076483,452.792,0.080003,100,0.532
S02,28.302,433.228,0.063681,436.56,0.066812,100,0.532
S02,29.313,374.051,0.034093,367.241,0.035916,100,0.532
S02,30.324,318.832,0.006483,328.906,0.006818,100,0.532
S02,31.334,268.44,0.001289,273.93,0.001493,100,0.532
S02,32.345,223.67,0.001074,220.673,0.001252,100,0.532
S02,33.356,185.228,0.000889,184.65,0.001079,100,0.532
S02,34.367,153.721,0.000738,155.67,0.000706,100,0.532
S02,35.377,129.646,0.000622,132.069,0.000397,100,0.532
S02,36.388,113.381,0.000544,105.736,0.000385,100,0.532
S02,37.399,105.184,0.000505,108.833,0.000387,100,0.532
S02,38.41,105.184,0.000505,103.749,0.000374,100,0.532
S02,39.421,113.381,0.000544,115.166,0.000701,100,0.532
S02,40.431,129.646,0.000622,129.564,0.000405,100,0.532
S02,41.442,153.721,0.000738,155.792,0.000666,100,0.532
S02,42.453,185.228,0.000889,183.91,0.000792,100,0.532
S02,43.464,223.67,0.001074,227.636,0.001432,100,0.532
S02,44.475,268.44,0.001289,261.578,0.001346,100,0.532
S02,45.485,318.832,0.006483,334.205,0.006572,100,0.532
S02,46.496,374.051,0.034093,372.317,0.033311,100,0.532
S02,47.507,433.228,0.063681,412.63,0.062812,100,0.532
S02,48.518,458.831,0.076483,457.752,0.076822,100,0.532
S02,49.528,458.831,0.076483,472.21,0.07747,100,0.532
S02,50.539,458.831,0.076483,456.205,0.078154,100,0.532
S03,0.0,474.375,0.076712,473.705,0.078432,100,4.666
S03,1.075,474.375,0.076712,491.673,0.079741,100,4.666
S03,2.15,474.375,0.076712,469.058,0.080102,100,4.666
S03,3.225,474.375,0.076712,480.168,0.080475,100,4.666
S03,4.3,474.375,0.076712,471.568,0.080577,100,4.666
S03,5.375,474.375,0.076712,476.715,0.080907,100,4.666
S03,6.45,474.375,0.076712,474.728,0.079821,100,4.666
S03,7.525,474.375,0.076712,462.95,0.079504,100,4.666
S03,8.6,474.375,0.076712,484.954,0.07912,100,4.666
S03,9.674,474.375,0.076712,469.869,0.078116,100,4.666
S03,10.749,474.375,0.076712,484.011,0.077244,100,4.666
S03,11.824,474.375,0.076712,487.258,0.076504,100,4.666
S03,12.899,474.375,0.076712,482.399,0.075374,100,4.666
S03,13.974,474.375,0.076712,490.463,0.074257,100,4.666
S03,15.049,474.375,0.076712,480.755,0.074048,100,4.666
S03,16.124,474.375,0.076712,484.705,0.073305,100,4.666
S03,17.199,474.375,0.076712,491.933,0.072661,100,4.666
S03,18.274,474.375,0.076712,471.908,0.072751,100,4.666
S03,19.349,474.375,0.076712,498.152,0.072919,100,4.666
S03,20.424,474.375,0.076712,483.227,0.07338,100,4.666
S03,21.499,474.375,0.076712,455.374,0.074066,100,4.666
S03,22.574,474.375,0.076712,461.676,0.074615,100,4.666
S03,23.649,474.375,0.076712,476.719,0.07558,100,4.666
S03,24.724,474.375,0.076712,477.358,0.076932,100,4.666
S03,25.799,474.375,0.076712,470.181,0.077509,100,4.666
S03,26.874,474.375,0.076712,472.204,0.078285,100,4.666
S03,27.949,474.375,0.076712,461.398,0.079438,100,4.666
S03,29.023,450.611,0.06483,463.191,0.067074,100,4.666
S03,30.098,394.038,0.036543,394.422,0.038142,100,4.666
S03,31.173,340.214,0.009632,347.235,0.010052,100,4.666
S03,32.248,289.99,0.001531,295.799,0.001777,100,4.666
S03,33.323,244.156,0.001289,252.149,0.001396,100,4.666
S03,34.398,203.437,0.001074,197.565,0.000895,100,4.666
S03,35.473,168.473,0.000889,174.01,0.000744,100,4.666
S03,36.548,139.816,0.000738,134.752,0.000886,100,4.666
S03,37.623,117.918,0.000622,118.565,0.000236,100,4.666
S03,38.698,103.125,0.000544,104.078,0.000312,100,4.666
S03,39.773,95.669,0.000505,96.495,0.000205,100,4.666
S03,40.848,95.669,0.000505,89.316,0.000332,100,4.666
S03,41.923,103.125,0.000544,104.86,0.00069,100,4.666
S03,42.998,117.918,0.000622,117.803,0.000531,100,4.666
S03,44.073,139.816,0.000738,138.298,0.000831,100,4.666
S03,45.148,168.473,0.000889,161.349,0.001038,100,4.666
S03,46.223,203.437,0.001074,207.198,0.001357,100,4.666
S03,47.297,244.156,0.001289,240.999,0.000851,100,4.666
S03,48.372,289.99,0.001531,286.608,0.001251,100,4.666
S03,49.447,340.214,0.009632,324.794,0.009515,100,4.666
S03,50.522,394.038,0.036543,375.563,0.036447,100,4.666
S03,51.597,450.611,0.06483,446.392,0.064981,100,4.666
S03,52.672,474.375,0.076712,471.767,0.077858,100,4.666
S03,53.747,474.375,0.076712,480.526,0.078566,100,4.666
S04,0.0,507.057,0.076695,524.205,0.078541,25,4.355
S04,0.978,507.057,0.076695,519.793,0.078919,25,4.355
S04,1.956,507.057,0.076695,509.999,0.079676,25,4.355
S04,2.934,507.057,0.076695,506.419,0.080478,25,4.355
S04,3.912,507.057,0.076695,521.535,0.080555,25,4.355
S04,4.889,507.057,0.076695,501.042,0.080532,25,4.355
S04,5.867,507.057,0.076695,502.505,0.08037,25,4.355
S04,6.845,507.057,0.076695,482.389,0.079816,25,4.355
S04,7.823,507.057,0.076695,502.474,0.078873,25,4.355
S04,8.801,507.057,0.076695,507.696,0.078177,25,4.355
S04,9.779,507.057,0.076695,495.411,0.077486,25,4.355
S04,10.757,507.057,0.076695,499.762,0.075847,25,4.355
S04,11.735,507.057,0.076695,510.003,0.075313,25,4.355
S04,12.713,507.057,0.076695,521.037,0.074449,25,4.355
S04,13.691,507.057,0.076695,517.664,0.073462,25,4.355
S04,14.668,507.057,0.076695,498.892,0.073188,25,4.355
S04,15.646,507.057,0.076695,515.245,0.073015,25,4.355
S04,16.624,507.057,0.076695,506.581,0.072813,25,4.355
S04,17.602,507.057,0.076695,510.971,0.072924,25,4.355
S04,18.58,507.057,0.076695,516.706,0.073353,25,4.355
S04,19.558,507.057,0.076695,497.359,0.074042,25,4.355
S04,20.536,507.057,0.076695,515.207,0.075117,25,4.355
S04,21.514,507.057,0.076695,481.359,0.075923,25,4.355
S04,22.492,507.057,0.076695,489.752,0.076423,25,4.355
S04,23.469,507.057,0.076695,512.894,0.077253,25,4.355
S04,24.447,507.057,0.076695,536.758,0.07893,25,4.355
S04,25.425,507.057,0.076695,496.969,0.079486,25,4.355
S04,26.403,500.921,0.073627,502.281,0.076724,25,4.355
S04,27.381,438.032,0.042183,451.959,0.044102,25,4.355
S04,28.359,378.199,0.012266,373.546,0.012596,25,4.355
S04,29.337,322.367,0.001531,321.731,0.001734,25,4.355
S04,30.315,271.417,0.001289,270.797,0.001708,25,4.355
S04,31.293,226.15,0.001074,224.474,0.001137,25,4.355
S04,32.271,187.282,0.000889,190.155,0.001304,25,4.355
S04,33.248,155.426,0.000738,158.531,0.000966,25,4.355
S04,34.226,131.084,0.000622,126.621,0.000687,25,4.355
S04,35.204,114.639,0.000544,116.851,0.000611,25,4.355
S04,36.182,106.351,0.000505,106.229,0.000843,25,4.355
S04,37.16,106.351,0.000505,107.338,0.000278,25,4.355
S04,38.138,114.639,0.000544,117.353,0.000554,25,4.355
S04,39.116,131.084,0.000622,132.547,0.000367,25,4.355
S04,40.094,155.426,0.000738,153.708,0.000433,25,4.355
S04,41.072,187.282,0.000889,184.595,0.00076,25,4.355
S04,42.05,226.15,0.001074,225.874,0.000863,25,4.355
S04,43.027,271.417,0.001289,263.618,0.001275,25,4.355
S04,44.005,322.367,0.001531,326.144,0.001299,25,4.355
S04,44.983,378.199,0.012266,368.837,0.01212,25,4.355
S04,45.961,438.032,0.042183,440.535,0.041747,25,4.355
S04,46.939,500.921,0.073627,492.888,0.07349,25,4.355
S04,47.917,507.057,0.076695,505.352,0.077671,25,4.355
S04,48.895,507.057,0.076695,486.731,0.078509,25,4.355
S05,0.0,556.203,0.077115,543.713,0.079007,100,2.124
S05,0.939,556.203,0.077115,553.813,0.08021,100,2.124
S05,1.878,556.203,0.077115,540.017,0.080272,100,2.124
S05,2.816,556.203,0.077115,548.168,0.081001,100,2.124
S05,3.755,556.203,0.077115,576.562,0.080929,100,2.124
S05,4.694,556.203,0.077115,559.01,0.080952,100,2.124
S05,5.633,556.203,0.077115,529.583,0.080466,100,2.124
S05,6.572,556.203,0.077115,552.535,0.079639,100,2.124
S05,7.511,556.203,0.077115,553.567,0.079645,100,2.124
S05,8.449,556.203,0.077115,552.694,0.078386,100,2.124
S05,9.388,556.203,0.077115,531.666,0.077907,100,2.124
S05,10.327,556.203,0.077115,548.495,0.07653,100,2.124
S05,11.266,556.203,0.077115,569.067,0.075892,100,2.124
S05,12.205,556.203,0.077115,549.595,0.074577,100,2.124
S05,13.144,556.203,0.077115,565.128,0.074223,100,2.124
S05,14.082,556.203,0.077115,568.839,0.073801,100,2.124
S05,15.021,556.203,0.077115,546.317,0.073339,100,2.124
S05,15.96,556.203,0.077115,537.392,0.073654,100,2.124
S05,16.899,556.203,0.077115,566.829,0.0736,100,2.124
S05,17.838,556.203,0.077115,529.15,0.073661,100,2.124
S05,18.776,556.203,0.077115,550.451,0.074562,100,2.124
S05,19.715,556.203,0.077115,540.903,0.075358,100,2.124
S05,20.654,556.203,0.077115,570.982,0.075887,100,2.124
S05,21.593,556.203,0.077115,565.685,0.077002,100,2.124
S05,22.532,556.203,0.077115,544.839,0.078255,100,2.124
S05,23.471,556.203,0.077115,547.911,0.07891,100,2.124
S05,24.409,516.084,0.057055,532.209,0.058794,100,2.124
S05,25.348,456.845,0.027436,468.124,0.028615,100,2.124
S05,26.287,399.489,0.00208,394.802,0.001974,100,2.124
S05,27.226,344.921,0.001796,347.685,0.001516,100,2.124
S05,28.165,294.002,0.001531,294.637,0.001482,100,2.124
S05,29.104,247.534,0.001289,251.178,0.001404,100,2.124
S05,30.042,206.251,0.001074,205.093,0.001259,100,2.124
S05,30.981,170.803,0.000889,165.531,0.000954,100,2.124
S05,31.92,141.75,0.000738,142.328,0.000824,100,2.124
S05,32.859,119.549,0.000622,115.312,0.000635,100,2.124
S05,33.798,104.551,0.000544,102.005,0.000486,100,2.124
S05,34.736,96.993,0.000505,98.564,0.000595,100,2.124
S05,35.675,96.993,0.000505,96.557,0.00021,100,2.124
S05,36.614,104.551,0.000544,103.342,0.00036,100,2.124
S05,37.553,119.549,0.000622,116.223,0.000562,100,2.124
S05,38.492,141.75,0.000738,138.906,0.000725,100,2.124
S05,39.431,170.803,0.000889,176.621,0.000966,100,2.124
S05,40.369,206.251,0.001074,206.866,0.001027,100,2.124
S05,41.308,247.534,0.001289,247.098,0.000935,100,2.124
S05,42.247,294.002,0.001531,295.144,0.001496,100,2.124
S05,43.186,344.921,0.001796,356.012,0.00167,100,2.124
S05,44.125,399.489,0.00208,407.09,0.001961,100,2.124
S05,45.064,456.845,0.027436,450.814,0.027734,100,2.124
S05,46.002,516.084,0.057055,503.147,0.057782,100,2.124
S05,46.941,556.203,0.077115,563.966,0.079066,100,2.124
S06,0.0,568.501,0.077191,545.936,0.079279,100,4.388
S06,1.049,568.501,0.077191,565.606,0.079678,100,4.388
S06,2.099,568.501,0.077191,532.28,0.08006,100,4.388
S06,3.148,568.501,0.077191,571.631,0.081058,100,4.388
S06,4.197,568.501,0.077191,553.491,0.080962,100,4.388
S06,5.246,568.501,0.077191,572.033,0.0811,100,4.388
S06,6.296,568.501,0.077191,570.436,0.080623,100,4.388
S06,7.345,568.501,0.077191,593.588,0.08026,100,4.388
S06,8.394,568.501,0.077191,578.311,0.079284,100,4.388
S06,9.443,568.501,0.077191,582.091,0.078113,100,4.388
S06,10.493,568.501,0.077191,584.647,0.077739,100,4.388
S06,11.542,568.501,0.077191,582.281,0.07642,100,4.388
S06,12.591,568.501,0.077191,563.691,0.075743,100,4.388
S06,13.64,568.501,0.077191,542.711,0.075087,100,4.388
S06,14.69,568.501,0.077191,533.546,0.074324,100,4.388
S06,15.739,568.501,0.077191,574.697,0.073432,100,4.388
S06,16.788,568.501,0.077191,577.911,0.073084,100,4.388
S06,17.837,568.501,0.077191,569.984,0.073629,100,4.388
S06,18.887,568.501,0.077191,555.918,0.073478,100,4.388
S06,19.936,568.501,0.077191,568.071,0.073596,100,4.388
S06,20.985,568.501,0.077191,554.557,0.074328,100,4.388
S06,22.034,568.501,0.077191,551.181,0.07502,100,4.388
S06,23.084,568.501,0.077191,544.542,0.075815,100,4.388
S06,24.133,568.501,0.077191,566.941,0.077021,100,4.388
S06,25.182,568.501,0.077191,579.288,0.078335,100,4.388
S06,26.231,568.501,0.077191,555.972,0.078923,100,4.388
S06,27.281,513.287,0.049584,515.132,0.051074,100,4.388
S06,28.33,454.369,0.020125,457.622,0.020915,100,4.388
S06,29.379,397.324,0.00208,385.476,0.002332,100,4.388
S06,30.428,343.052,0.001796,351.677,0.00148,100,4.388
S06,31.478,292.409,0.001531,293.15,0.001787,100,4.388
S06,32.527,246.193,0.001289,239.084,0.001198,100,4.388
S06,33.576,205.134,0.001074,201.427,0.001502,100,4.388
S06,34.626,169.878,0.000889,164.276,0.001068,100,4.388
S06,35.675,140.982,0.000738,141.832,0.000637,100,4.388
S06,36.724,118.902,0.000622,118.189,0.001157,100,4.388
S06,37.773,103.985,0.000544,104.733,0.000796,100,4.388
S06,38.823,96.467,0.000505,97.062,0.000432,100,4.388
S06,39.872,96.467,0.000505,90.9,0.000499,100,4.388
S06,40.921,103.985,0.000544,103.923,0.000263,100,4.388
S06,41.97,118.902,0.000622,118.005,0.000383,100,4.388
S06,43.02,140.982,0.000738,143.092,0.000413,100,4.388
S06,44.069,169.878,0.000889,166.282,0.000533,100,4.388
S06,45.118,205.134,0.001074,204.512,0.001224,100,4.388
S06,46.167,246.193,0.001289,242.93,0.001148,100,4.388
S06,47.217,292.409,0.001531,285.898,0.001354,100,4.388
S06,48.266,343.052,0.001796,325.944,0.001621,100,4.388
S06,49.315,397.324,0.00208,404.344,0.001859,100,4.388
S06,50.364,454.369,0.020125,467.438,0.019917,100,4.388
S06,51.414,513.287,0.049584,501.234,0.050012,100,4.388
S06,52.463,568.501,0.077191,590.507,0.079015,100,4.388
S07,0.0,504.866,0.076672,506.402,0.078478,300,4.853
S07,1.072,504.866,0.076672,495.598,0.079373,300,4.853
S07,2.144,504.866,0.076672,502.019,0.079715,300,4.853
S07,3.216,504.866,0.076672,496.205,0.080407,300,4.853
S07,4.288,504.866,0.076672,527.128,0.080327,300,4.853
S07,5.36,504.866,0.076672,515.329,0.080511,300,4.853
S07,6.432,504.866,0.076672,509.303,0.080054,300,4.853
S07,7.504,504.866,0.076672,514.53,0.080005,300,4.853
S07,8.576,504.866,0.076672,512.036,0.078938,300,4.853
S07,9.648,504.866,0.076672,517.338,0.078259,300,4.853
S07,10.72,504.866,0.076672,501.365,0.07668,300,4.853
S07,11.792,504.866,0.076672,502.004,0.076086,300,4.853
S07,12.864,504.866,0.076672,511.596,0.075406,300,4.853
S07,13.936,504.866,0.076672,503.429,0.074412,300,4.853
S07,15.008,504.866,0.076672,492.422,0.073896,300,4.853
S07,16.08,504.866,0.076672,518.678,0.073386,300,4.853
S07,17.152,504.866,0.076672,511.206,0.072882,300,4.853
S07,18.224,504.866,0.076672,517.312,0.072941,300,4.853
S07,19.297,504.866,0.076672,494.869,0.073106,300,4.853
S07,20.369,504.866,0.076672,511.835,0.073406,300,4.853
S07,21.441,504.866,0.076672,507.034,0.074144,300,4.853
S07,22.513,504.866,0.076672,511.611,0.074959,300,4.853
S07,23.585,504.866,0.076672,504.001,0.076104,300,4.853
S07,24.657,504.866,0.076672,502.826,0.077006,300,4.853
S07,25.729,504.866,0.076672,497.213,0.077529,300,4.853
S07,26.801,504.866,0.076672,509.719,0.078634,300,4.853
S07,27.873,504.866,0.076672,515.375,0.079295,300,4.853
S07,28.945,504.631,0.076555,495.444,0.079958,300,4.853
S07,30.017,441.276,0.044877,455.708,0.047116,300,4.853
S07,31.089,381.0,0.014739,387.12,0.015247,300,4.853
S07,32.161,324.755,0.001531,321.719,0.001598,300,4.853
S07,33.233,273.427,0.001289,279.607,0.001327,300,4.853
S07,34.305,227.825,0.001074,230.961,0.000935,300,4.853
S07,35.377,188.669,0.000889,189.734,0.0009,300,4.853
S07,36.449,156.577,0.000738,152.601,0.000928,300,4.853
S07,37.521,132.054,0.000622,129.603,0.000584,300,4.853
S07,38.593,115.488,0.000544,113.267,0.000495,300,4.853
S07,39.665,107.138,0.000505,104.204,0.000309,300,4.853
S07,40.737,107.138,0.000505,109.475,0.000482,300,4.853
S07,41.809,115.488,0.000544,116.053,0.000467,300,4.853
S07,42.881,132.054,0.000622,136.492,0.000363,300,4.853
S07,43.953,156.577,0.000738,155.725,0.000565,300,4.853
S07,45.025,188.669,0.000889,188.605,0.001025,300,4.853
S07,46.097,227.825,0.001074,225.064,0.001068,300,4.853
S07,47.169,273.427,0.001289,265.035,0.001067,300,4.853
S07,48.241,324.755,0.001531,333.363,0.001443,300,4.853
S07,49.313,381.0,0.014739,389.32,0.014432,300,4.853
S07,50.385,441.276,0.044877,447.823,0.044077,300,4.853
S07,51.457,504.631,0.076555,484.834,0.076477,300,4.853
S07,52.529,504.866,0.076672,503.395,0.077851,300,4.853
S07,53.601,504.866,0.076672,529.959,0.078275,300,4.853
S08,0.0,473.21,0.076614,450.721,0.078493,200,0.966
S08,1.02,473.21,0.076614,462.536,0.079194,200,0.966
S08,2.04,473.21,0.076614,476.436,0.080052,200,0.966
S08,3.06,473.21,0.076614,479.62,0.079976,200,0.966
S08,4.08,473.21,0.076614,465.536,0.08034,200,0.966
S08,5.1,473.21,0.076614,465.974,0.080333,200,0.966
S08,6.12,473.21,0.076614,470.643,0.079634,200,0.966
S08,7.141,473.21,0.076614,479.876,0.079673,200,0.966
S08,8.161,473.21,0.076614,500.698,0.079013,200,0.966
S08,9.181,473.21,0.076614,479.451,0.078167,200,0.966
S08,10.201,473.21,0.076614,462.556,0.077137,200,0.966
S08,11.221,473.21,0.076614,465.785,0.076569,200,0.966
S08,12.241,473.21,0.076614,484.524,0.075135,200,0.966
S08,13.261,473.21,0.076614,475.31,0.074396,200,0.966
S08,14.281,473.21,0.076614,459.283,0.073794,200,0.966
S08,15.301,473.21,0.076614,471.248,0.073386,200,0.966
S08,16.321,473.21,0.076614,486.784,0.073046,200,0.966
S08,17.341,473.21,0.076614,457.263,0.072761,200,0.966
S08,18.361,473.21,0.076614,467.979,0.072961,200,0.966
S08,19.382,473.21,0.076614,495.928,0.073259,200,0.966
S08,20.402,473.21,0.076614,471.961,0.074082,200,0.966
S08,21.422,473.21,0.076614,469.622,0.074804,200,0.966
S08,22.442,473.21,0.076614,479.49,0.075905,200,0.966
S08,23.462,473.21,0.076614,474.286,0.076763,200,0.966
S08,24.482,473.21,0.076614,451.554,0.077643,200,0.966
S08,25.502,473.21,0.076614,466.627,0.078646,200,0.966
S08,26.522,473.21,0.076614,465.531,0.079101,200,0.966
S08,27.542,473.21,0.076614,491.6,0.079817,200,0.966
S08,28.562,416.554,0.048286,400.756,0.050656,200,0.966
S08,29.582,359.656,0.019837,355.13,0.020863,200,0.966
S08,30.602,306.561,0.001531,311.365,0.001653,200,0.966
S08,31.623,258.109,0.001289,262.335,0.001205,200,0.966
S08,32.643,215.062,0.001074,220.86,0.001246,200,0.966
S08,33.663,178.1,0.000889,178.636,0.00124,200,0.966
S08,34.683,147.805,0.000738,148.792,0.000677,200,0.966
S08,35.703,124.656,0.000622,123.745,0.000719,200,0.966
S08,36.723,109.018,0.000544,108.349,0.000817,200,0.966
S08,37.743,101.136,0.000505,103.63,0.000411,200,0.966
S08,38.763,101.136,0.000505,99.784,0.000388,200,0.966
S08,39.783,109.018,0.000544,114.509,0.00033,200,0.966
S08,40.803,124.656,0.000622,120.336,0.001071,200,0.966
S08,41.823,147.805,0.000738,145.88,0.000785,200,0.966
S08,42.843,178.1,0.000889,177.885,0.000588,200,0.966
S08,43.864,215.062,0.001074,213.372,0.001123,200,0.966
S08,44.884,258.109,0.001289,257.466,0.001355,200,0.966
S08,45.904,306.561,0.001531,310.932,0.001466,200,0.966
S08,46.924,359.656,0.019837,362.368,0.019531,200,0.966
S08,47.944,416.554,0.048286,426.61,0.047622,200,0.966
S08,48.964,473.21,0.076614,470.688,0.076547,200,0.966
S08,49.984,473.21,0.076614,448.0,0.077552,200,0.966
S08,51.004,473.21,0.076614,493.648,0.078097,200,0.966
S09,0.0,598.648,0.077154,577.521,0.078962,100,0.676
S09,0.917,598.648,0.077154,618.819,0.079689,100,0.676
S09,1.834,598.648,0.077154,601.653,0.080346,100,0.676
S09,2.751,598.648,0.077154,595.299,0.080974,100,0.676
S09,3.667,598.648,0.077154,604.373,0.081103,100,0.676
S09,4.584,598.648,0.077154,601.953,0.080885,100,0.676
S09,5.501,598.648,0.077154,629.024,0.080793,100,0.676
S09,6.418,598.648,0.077154,598.008,0.080404,100,0.676
S09,7.335,598.648,0.077154,596.697,0.079657,100,0.676
S09,8.252,598.648,0.077154,576.456,0.078479,100,0.676
S09,9.169,598.648,0.077154,627.663,0.077872,100,0.676
S09,10.086,598.648,0.077154,610.466,0.076673,100,0.676
S09,11.002,598.648,0.077154,574.504,0.075534,100,0.676
S09,11.919,598.648,0.077154,582.327,0.075353,100,0.676
S09,12.836,598.648,0.077154,617.399,0.074058,100,0.676
S09,13.753,598.648,0.077154,614.636,0.073806,100,0.676
S09,14.67,598.648,0.077154,592.321,0.073354,100,0.676
S09,15.587,598.648,0.077154,594.779,0.073254,100,0.676
S09,16.504,598.648,0.077154,574.322,0.0733,100,0.676
S09,17.42,598.648,0.077154,610.873,0.07417,100,0.676
S09,18.337,598.648,0.077154,597.925,0.074322,100,0.676
S09,19.254,598.648,0.077154,602.952,0.075527,100,0.676
S09,20.171,598.648,0.077154,593.475,0.075971,100,0.676
S09,21.088,598.648,0.077154,616.26,0.077291,100,0.676
S09,22.005,598.648,0.077154,593.211,0.07768,100,0.676
S09,22.922,598.648,0.077154,589.738,0.078769,100,0.676
S09,23.839,559.646,0.057653,562.11,0.059276,100,0.676
S09,24.755,495.406,0.025533,481.341,0.026667,100,0.676
S09,25.672,433.209,0.00208,407.638,0.00193,100,0.676
S09,26.589,374.036,0.001796,376.629,0.001909,100,0.676
S09,27.506,318.818,0.001531,309.794,0.001372,100,0.676
S09,28.423,268.428,0.001289,270.355,0.001406,100,0.676
S09,29.34,223.66,0.001074,209.775,0.001084,100,0.676
S09,30.257,185.221,0.000889,195.268,0.000719,100,0.676
S09,31.173,153.715,0.000738,155.644,0.000664,100,0.676
S09,32.09,129.64,0.000622,124.586,0.000767,100,0.676
S09,33.007,113.377,0.000544,110.966,0.000714,100,0.676
S09,33.924,105.18,0.000505,102.528,0.000319,100,0.676
S09,34.841,105.18,0.000505,109.569,0.000597,100,0.676
