sample_id,ramp_up_rate_c_per_min,peak_temperature_c,hold_time_min,cool_rate_c_per_min,applied_pressure_mpa,atmosphere,initial_relative_density,initial_median_pore_diameter_um,initial_pore_size_lognormal_sigma,grain_size_mean_um,grain_size_std_um,porosity_percent,pore_median_diameter_um,pore_size_lognormal_sigma,hag_boundary_fraction_percent,avg_misorientation_deg,relative_density,sintering_index_model
18,4.344,973.61,122.93,23.029,0.0,argon,0.6438,0.6111,0.3435,1.5717,0.4651,0.1,0.354,0.2382,46.76,29.85,0.999,1.23292
19,6.62,1377.7,82.61,5.366,46.908,hydrogen,0.5119,0.3941,0.3039,1.6793,0.4903,0.1,0.2156,0.1901,71.49,36.49,0.999,2.66544
20,3.478,1401.6,136.58,14.949,46.645,air,0.5121,0.498,0.3865,2.2412,0.6574,0.1,0.2568,0.2993,63.95,34.38,0.999,3.0736
21,8.584,1361.98,103.25,4.633,0.0,air,0.5393,0.4674,0.3366,1.6657,0.3855,0.1,0.2366,0.2272,55.81,29.73,0.999,2.02959
22,17.408,1303.9,50.43,3.135,0.0,nitrogen,0.5145,0.6811,0.5404,2.112,0.5321,0.1,0.3159,0.4742,58.98,30.71,0.999,1.48068
23,15.1,1251.54,51.35,15.158,0.0,argon,0.5359,0.322,0.5399,1.3937,0.3789,0.1,0.1632,0.4671,62.43,28.16,0.999,1.36846
24,2.397,1053.07,114.92,5.041,0.0,argon,0.6074,0.4132,0.2723,1.3807,0.3325,0.1,0.2313,0.1958,51.68,25.13,0.999,1.37951
25,7.366,1412.47,146.86,9.798,0.0,air,0.5589,0.5185,0.4609,1.6454,0.4033,0.1,0.2634,0.3599,63.92,36.39,0.999,2.51271
26,18.387,984.54,108.51,15.733,0.0,air,0.6386,0.682,0.4699,1.6318,0.403,0.1,0.388,0.4005,38.95,22.75,0.999,1.08201
27,5.699,1420.7,140.75,10.536,36.3,nitrogen,0.6311,0.7612,0.4333,2.1785,0.6484,0.1,0.3766,0.352,69.74,32.54,0.999,3.11933
28,2.887,1096.69,128.42,19.274,0.0,air,0.5967,0.6131,0.3121,2.0511,0.4741,0.1,0.3127,0.2082,49.61,27.81,0.999,1.54683
29,7.732,1418.51,90.23,3.988,25.107,argon,0.5423,0.8248,0.407,2.5955,0.555,0.1,0.4377,0.3089,70.24,37.56,0.999,2.48073
30,12.195,1424.77,54.58,14.633,27.667,air,0.5953,0.8264,0.4803,1.9587,0.4686,0.1,0.3948,0.3819,67.81,35.7,0.999,2.09026
31,15.718,1028.68,100.65,21.123,35.925,vacuum,0.5735,1.1966,0.3057,2.3681,0.6526,0.1,0.6643,0.2069,50.52,26.97,0.999,1.48131
32,2.524,1184.16,150.27,10.59,38.791,argon,0.6246,1.7583,0.3934,3.8055,1.039,0.1,0.9852,0.2703,58.64,28.85,0.999,2.50261
33,4.8,1048.78,140.16,22.177,0.0,hydrogen,0.5798,0.4632,0.4725,1.5611,0.4091,0.1,0.2616,0.4029,55.15,30.61,0.999,1.65863
34,12.299,1019.01,140.68,11.108,0.0,argon,0.5008,0.8347,0.4251,1.9393,0.5835,0.1,0.4745,0.3107,43.25,24.42,0.999,1.4994
35,3.747,1286.97,121.34,14.881,0.0,nitrogen,0.6019,0.3628,0.4207,1.6308,0.3747,0.1,0.2004,0.3421,58.92,24.82,0.999,2.04309
36,14.175,1077.82,153.1,13.414,0.0,hydrogen,0.5454,0.6861,0.2517,1.8464,0.3906,0.1,0.365,0.158,61.24,32.73,0.999,1.8434
37,6.65,1332.34,132.51,23.723,24.8,air,0.6045,0.4225,0.3765,1.7097,0.465,0.1,0.1901,0.2397,58.95,32.71,0.999,2.51523
38,14.079,1057.49,154.42,22.842,0.0,air,0.6126,0.9599,0.2686,1.6918,0.3584,0.1,0.4759,0.1922,45.4,27.08,0.999,1.64547
39,13.215,1308.43,133.63,2.451,34.706,air,0.5695,0.9708,0.5128,2.8107,0.6823,0.1,0.5089,0.4262,65.62,33.63,0.999,2.56913
40,4.308,1168.08,139.4,22.032,20.24,vacuum,0.529,0.3354,0.4941,1.5725,0.3413,0.1,0.1797,0.3955,59.25,34.47,0.999,2.18861
41,16.68,1112.51,148.99,4.188,22.055,argon,0.5836,0.8289,0.2526,2.9005,0.7297,0.1,0.3929,0.15,53.27,23.37,0.999,2.04732
42,2.85,992.03,67.86,12.343,12.667,vacuum,0.5364,1.003,0.3344,2.0695,0.6397,0.1,0.6548,0.2389,50.11,28.48,0.999,0.90745
43,6.875,1060.67,70.69,3.865,0.0,air,0.5788,0.8126,0.4805,2.2999,0.6361,0.1,0.4988,0.3693,51.74,26.36,0.999,0.98701
44,18.961,986.89,131.05,15.463,0.0,argon,0.541,0.4485,0.5123,1.7482,0.4664,0.1,0.2329,0.4614,45.65,30.52,0.999,1.31906
45,6.517,1359.6,122.68,8.491,0.0,nitrogen,0.5158,1.194,0.446,2.3608,0.5833,0.1,0.5641,0.3554,57.38,28.93,0.999,2.24793
46,13.216,1281.45,148.86,11.68,34.508,air,0.6465,0.6944,0.464,2.1639,0.6022,0.1,0.3262,0.37,64.73,31.5,0.999,2.63065
47,11.592,1176.83,89.78,10.709,17.695,argon,0.5004,0.4819,0.2938,1.6308,0.4177,0.1,0.2596,0.1964,55.32,30.65,0.999,1.65667
48,16.567,1097.21,119.5,3.279,42.726,air,0.6443,0.5881,0.3127,1.9231,0.5411,0.1,0.3502,0.2497,49.95,29.66,0.999,1.83621
49,17.912,1305.58,101.91,8.939,0.0,argon,0.5954,0.845,0.3931,2.7246,0.7813,0.1,0.3868,0.3124,60.54,32.87,0.999,1.92696
50,16.065,1348.87,104.46,10.801,0.0,nitrogen,0.5466,0.9442,0.5487,2.2363,0.6834,0.1,0.4784,0.433,62.97,29.41,0.999,2.04868
51,19.23,1305.21,128.72,24.562,11.291,hydrogen,0.6225,0.4564,0.5158,2.0081,0.4952,0.1,0.2151,0.4152,65.24,28.13,0.999,2.4033
52,7.899,1436.82,133.74,7.926,32.671,air,0.5308,1.091,0.508,2.8801,0.809,0.1,0.5337,0.4359,61.97,30.48,0.999,2.95375
53,8.189,1107.62,104.43,5.833,0.0,hydrogen,0.6049,0.6916,0.3672,1.8255,0.5232,0.1,0.3099,0.2486,55.54,29.37,0.999,1.50934
54,12.738,1153.87,94.67,19.825,0.0,argon,0.6372,0.6805,0.2611,1.8585,0.4626,0.1,0.3648,0.189,62.77,33.2,0.999,1.47448
55,11.167,992.8,88.46,17.436,0.0,nitrogen,0.5034,0.3736,0.3469,1.7046,0.496,0.1,0.2153,0.2768,42.5,26.1,0.999,0.98291
56,18.375,1166.11,72.58,7.428,0.0,air,0.5097,1.0941,0.3451,2.2264,0.5703,0.1,0.5674,0.2867,52.71,28.89,0.999,1.25901
57,9.604,1392.2,134.5,20.729,0.0,air,0.5734,0.6121,0.513,2.481,0.567,0.1,0.3053,0.3947,58.16,32.01,0.999,2.36037
58,6.763,1262.27,156.47,10.23,0.0,air,0.5134,0.4996,0.3292,2.2333,0.6758,0.1,0.2427,0.2513,57.1,31.24,0.999,2.20187
59,16.174,1413.82,109.63,21.723,20.482,hydrogen,0.6304,0.2657,0.4885,1.6515,0.4666,0.1,0.1218,0.3936,73.83,32.62,0.999,2.69312
60,9.942,1197.99,68.91,24.263,0.0,air,0.6152,0.7499,0.2685,1.8093,0.4588,0.1,0.3705,0.2149,57.33,32.37,0.999,1.32782
61,4.072,1418.42,140.17,19.828,44.362,hydrogen,0.5896,0.8347,0.3642,2.1373,0.5526,0.1,0.3761,0.2504,73.72,36.13,0.999,3.42318
62,8.099,1114.42,131.31,3.312,0.0,vacuum,0.6467,0.3574,0.331,1.8958,0.3862,0.1,0.1817,0.2567,62.32,30.45,0.999,1.73268
63,19.391,1231.87,132.22,24.632,22.523,nitrogen,0.553,0.6748,0.4196,2.0422,0.5163,0.1,0.3093,0.3079,59.77,31.23,0.999,2.22355
64,17.441,1373.51,89.74,19.08,13.747,air,0.5688,0.5342,0.4114,1.7689,0.3804,0.1,0.306,0.3247,67.49,34.59,0.999,2.08751
65,3.21,1314.89,116.1,23.298,36.484,vacuum,0.5694,0.6828,0.3838,1.5477,0.3129,0.1,0.3187,0.2689,67.74,34.85,0.999,2.62897
66,5.334,1203.04,90.06,21.178,0.0,nitrogen,0.5478,1.4679,0.4694,2.6693,0.5827,0.1,0.7184,0.3633,60.96,28.72,0.999,1.55861
67,2.707,1107.6,163.26,2.116,0.0,air,0.6259,0.9026,0.3075,2.4552,0.4982,0.1,0.373,0.2145,53.79,27.3,0.999,1.85668
68,12.886,1017.87,66.18,18.671,0.0,air,0.5583,0.4269,0.3809,1.3496,0.2733,0.1,0.2765,0.3239,49.28,26.94,0.999,0.83621
69,9.006,1289.87,95.16,5.462,0.0,argon,0.6423,0.3724,0.4241,1.9989,0.5961,0.1,0.1826,0.3406,59.27,32.19,0.999,1.85098
70,14.587,1168.61,152.3,5.234,0.0,argon,0.5756,0.2874,0.4169,1.7276,0.4325,0.1,0.1418,0.3044,54.4,24.86,0.999,1.99152
71,8.132,1233.78,93.64,9.017,0.0,hydrogen,0.5899,0.7975,0.2527,2.3225,0.4662,0.1,0.4459,0.1504,68.29,37.46,0.999,1.77064
72,7.31,1427.58,76.09,20.129,21.231,vacuum,0.5007,0.5074,0.4945,1.8015,0.4424,0.1,0.2635,0.3502,73.25,37.72,0.999,2.39299
73,11.094,1224.98,142.57,20.218,0.0,vacuum,0.5549,1.5251,0.2556,2.9801,0.9141,0.1,0.7393,0.1631,58.55,28.13,0.999,2.13338
74,3.727,1321.97,86.69,2.289,0.0,air,0.6391,0.6999,0.2519,2.0999,0.5874,0.1,0.4571,0.15,63.98,33.58,0.999,1.79224
75,6.416,1153.8,165.35,9.323,0.0,hydrogen,0.577,0.5863,0.3371,1.8346,0.473,0.1,0.2775,0.2151,60.38,30.83,0.999,2.178
76,2.019,1232.75,106.5,21.887,0.0,air,0.6392,0.7568,0.4057,2.2303,0.6149,0.1,0.3512,0.2776,60.91,33.91,0.999,1.72159
77,4.511,1009.95,158.23,14.67,30.268,air,0.5526,0.5311,0.2542,1.4877,0.4337,0.1,0.2692,0.1695,47.9,23.93,0.999,1.84736
78,7.241,1299.0,110.35,9.082,0.0,air,0.5753,0.7456,0.2645,2.2776,0.5958,0.1,0.3658,0.1605,60.17,31.06,0.999,1.92408
79,13.779,1412.91,70.46,14.826,0.0,air,0.5501,0.5208,0.2936,1.6685,0.4593,0.1,0.2866,0.2144,64.21,33.44,0.999,1.88553
80,8.065,1131.43,155.66,16.151,0.0,air,0.5198,0.4814,0.3955,1.7836,0.4726,0.1,0.2563,0.3128,56.36,32.05,0.999,1.85688
81,14.529,1391.62,156.75,4.244,0.0,nitrogen,0.5188,0.521,0.2695,2.627,0.5382,0.1,0.2455,0.1853,66.64,31.49,0.999,2.59946
82,5.532,1433.42,124.86,19.852,0.0,nitrogen,0.5373,1.5207,0.489,3.5519,0.8895,0.1,0.7777,0.4244,69.3,34.67,0.999,2.46295
83,2.268,970.39,119.94,6.914,0.0,argon,0.5031,0.4532,0.2568,1.585,0.3442,0.1,0.2532,0.1755,55.12,27.62,0.999,1.19908
84,8.481,1131.05,72.5,14.067,0.0,argon,0.5024,0.5246,0.299,1.435,0.3434,0.1,0.3228,0.1894,55.35,28.72,0.999,1.2325
85,16.766,1197.54,144.51,7.086,15.061,argon,0.6164,0.8398,0.5022,2.3019,0.5992,0.1,0.4506,0.3786,58.7,31.65,0.999,2.17767
86,4.151,1368.5,163.51,11.074,0.0,argon,0.569,0.3928,0.4781,1.8719,0.5825,0.1,0.1853,0.3979,67.53,36.28,0.999,2.63804
87,5.753,1315.3,80.49,12.1,44.379,air,0.5335,0.5079,0.531,1.9789,0.4264,0.1,0.3032,0.4467,56.51,29.68,0.999,2.18416
88,12.384,1072.16,125.75,20.16,0.0,air,0.5222,0.9026,0.5483,1.8816,0.5733,0.1,0.4784,0.4567,53.08,29.54,0.999,1.45657
89,11.981,1038.68,74.37,7.375,39.491,vacuum,0.5275,0.4247,0.3196,1.567,0.3867,0.1,0.257,0.2364,48.11,25.68,0.999,1.26922
90,2.87,1311.15,99.04,18.807,0.0,air,0.5938,0.7274,0.4723,1.9631,0.4091,0.1,0.3282,0.3922,58.99,30.26,0.999,1.86408
91,19.745,1301.78,130.34,6.009,37.033,air,0.5895,0.9673,0.5149,2.3585,0.568,0.1,0.5024,0.4253,56.66,24.63,0.999,2.52049
92,2.707,1173.84,70.53,3.594,0.0,air,0.6097,0.5914,0.4164,2.2136,0.4541,0.1,0.3136,0.3294,46.72,20.69,0.999,1.27845
93,15.683,1039.35,107.5,19.998,0.0,vacuum,0.6267,0.9343,0.2935,2.0382,0.4513,0.1,0.5538,0.2356,49.64,25.7,0.999,1.30689
94,17.002,1325.94,128.0,6.48,0.0,nitrogen,0.6063,0.9813,0.4428,2.8353,0.7144,0.1,0.5436,0.3906,60.58,30.9,0.999,2.17937
95,7.124,1128.7,89.08,17.332,0.0,hydrogen,0.5694,0.5228,0.2915,1.7646,0.4671,0.1,0.27,0.1995,53.97,29.75,0.999,1.43333
96,18.605,1117.4,123.01,17.768,5.126,air,0.5281,0.8294,0.3189,1.8856,0.4394,0.1,0.4284,0.2138,56.49,29.13,0.999,1.58384
97,2.419,1419.0,131.77,20.017,15.744,vacuum,0.5638,0.6402,0.3356,1.7662,0.3586,0.1,0.3141,0.2674,71.5,32.81,0.999,2.82521
98,8.123,1215.8,115.47,20.193,25.835,air,0.6288,0.7806,0.3358,2.1959,0.4609,0.1,0.3901,0.2407,52.11,25.21,0.999,2.02156
99,19.779,1359.83,109.1,18.182,0.0,vacuum,0.5606,0.66,0.5342,2.4175,0.5927,0.1,0.3333,0.455,66.71,32.99,0.999,2.18822
100,12.176,1177.54,137.53,3.547,0.0,hydrogen,0.5517,0.2557,0.2749,1.7151,0.45,0.1,0.1429,0.1887,65.81,31.76,0.999,1.99284
101,11.123,1205.43,75.96,22.425,17.071,argon,0.5094,0.3675,0.4817,1.6127,0.4753,0.1,0.2123,0.3985,56.36,32.21,0.999,1.60898
102,8.398,1208.34,82.14,14.039,47.51,air,0.6427,0.3008,0.4457,1.3855,0.3398,0.1,0.1601,0.3402,58.52,27.14,0.999,1.87816
103,2.553,1187.51,91.74,8.148,32.798,vacuum,0.5957,0.5433,0.4452,1.4304,0.3318,0.1,0.2679,0.3504,59.83,26.93,0.999,1.90581
104,13.814,1227.47,157.52,5.278,24.803,air,0.6014,0.5646,0.3045,2.273,0.5927,0.1,0.307,0.1999,55.79,28.62,0.999,2.42195
105,5.632,1359.42,160.63,10.563,0.0,argon,0.5706,0.4298,0.3681,1.7858,0.5092,0.1,0.1918,0.2839,67.79,39.88,0.999,2.58934
106,15.296,1279.27,79.55,3.354,41.204,hydrogen,0.5991,0.5004,0.5018,1.9887,0.5945,0.1,0.2846,0.4063,66.75,32.17,0.999,2.19594
107,8.576,1025.66,122.53,16.171,0.0,hydrogen,0.5835,0.6456,0.4522,1.9685,0.4237,0.1,0.3728,0.3473,57.92,28.96,0.999,1.43755
108,16.746,1319.69,88.39,7.299,0.0,nitrogen,0.5505,0.6748,0.5207,1.6593,0.3501,0.1,0.3417,0.3981,65.12,32.11,0.999,1.83698
109,4.854,1197.68,153.38,4.82,0.0,hydrogen,0.5019,0.318,0.3235,1.6664,0.3727,0.1,0.1517,0.2145,58.64,33.6,0.999,2.1963
110,4.977,1439.24,104.66,6.727,0.0,air,0.5923,0.8944,0.5224,2.4287,0.6938,0.1,0.5078,0.4075,69.52,29.89,0.999,2.24084
111,6.264,1358.15,156.62,14.482,0.0,nitrogen,0.5861,1.3424,0.3992,3.118,0.7713,0.1,0.636,0.3115,68.91,38.66,0.999,2.5269
112,8.177,1235.1,94.74,3.469,0.0,hydrogen,0.5906,0.4187,0.4536,1.7359,0.3995,0.1,0.2048,0.3752,62.6,31.3,0.999,1.78409
113,11.321,1209.35,114.77,19.891,0.0,nitrogen,0.5886,0.8009,0.5,1.8536,0.5397,0.1,0.4284,0.3932,53.9,27.21,0.999,1.77782
114,14.12,1194.18,78.0,21.428,43.83,air,0.5254,0.5375,0.3651,1.4205,0.3237,0.1,0.3105,0.3005,59.97,29.09,0.999,1.74651
115,7.27,1449.62,161.55,22.401,31.951,argon,0.6034,0.672,0.5218,1.9946,0.4382,0.1,0.3761,0.4014,69.78,37.02,0.999,3.38447
116,11.912,1328.61,108.17,12.404,0.0,hydrogen,0.6464,0.365,0.4985,1.7965,0.4935,0.1,0.1771,0.4045,64.05,35.04,0.999,2.16082
117,8.677,1337.03,116.56,20.906,0.0,nitrogen,0.5561,0.361,0.4794,1.7841,0.499,0.1,0.1844,0.3842,60.66,29.12,0.999,2.13675
118,12.827,1288.24,72.95,18.087,0.0,vacuum,0.5459,1.0805,0.4583,2.4456,0.6468,0.1,0.5134,0.3692,63.09,34.18,0.999,1.70171
119,17.591,1070.58,118.03,18.663,0.0,hydrogen,0.5105,0.4653,0.3646,1.724,0.4342,0.1,0.2393,0.2825,59.59,35.48,0.999,1.50741
120,3.655,1039.38,155.45,23.34,15.168,hydrogen,0.5753,0.7398,0.3336,2.1535,0.5308,0.1,0.4215,0.2622,52.71,27.05,0.999,1.92794
121,7.29,1300.76,76.81,7.537,11.352,argon,0.6404,0.523,0.4391,2.0337,0.58,0.1,0.2541,0.3634,54.94,27.75,0.999,1.84342
122,12.567,1361.15,166.54,2.068,0.0,air,0.5443,0.9776,0.4922,3.0665,0.6403,0.1,0.4594,0.4305,68.8,36.23,0.999,2.52926
123,2.271,984.91,106.09,4.193,0.0,argon,0.5506,0.2892,0.3652,1.3791,0.3326,0.1,0.1567,0.2995,46.38,23.49,0.999,1.12162
124,14.062,1299.52,75.12,13.568,0.0,air,0.5708,0.7798,0.35,1.9878,0.6126,0.1,0.4054,0.2626,64.73,33.23,0.999,1.63065
125,2.324,1053.28,76.17,16.597,0.0,argon,0.5427,1.1201,0.4412,1.7005,0.3603,0.1,0.6976,0.344,48.5,28.57,0.999,1.05393
126,8.804,1294.04,54.6,14.602,0.0,argon,0.567,0.5973,0.2991,1.8018,0.4864,0.1,0.2972,0.2272,59.02,32.57,0.999,1.52083
127,12.694,1278.07,107.25,4.924,0.0,nitrogen,0.5895,1.0035,0.509,2.6467,0.7924,0.1,0.4746,0.4038,56.21,30.92,0.999,1.89425
128,17.407,1084.26,69.39,11.259,0.0,vacuum,0.6306,0.5859,0.3915,1.6028,0.3365,0.1,0.3204,0.317,61.26,32.37,0.999,1.10004
129,11.443,1072.17,145.98,11.715,34.936,air,0.6293,0.534,0.434,1.665,0.423,0.1,0.2653,0.3466,54.18,29.22,0.999,1.9618
130,7.051,1187.08,93.57,9.208,28.47,argon,0.6326,1.2154,0.3765,2.6645,0.7916,0.1,0.6311,0.3061,52.39,31.43,0.999,1.82736
131,12.741,1293.25,135.75,24.541,13.951,nitrogen,0.5752,0.4504,0.3305,1.9998,0.5318,0.1,0.2186,0.1937,65.57,31.36,0.999,2.35268
132,2.888,1418.68,112.55,17.419,34.538,air,0.5305,0.6265,0.3514,1.9187,0.545,0.1,0.3634,0.2931,65.98,30.12,0.999,2.71799
133,16.03,1194.53,142.93,20.426,40.213,hydrogen,0.609,0.9093,0.4069,2.0349,0.4078,0.1,0.4291,0.2974,57.57,28.36,0.999,2.57706
134,5.928,1131.58,85.73,6.406,0.0,air,0.6248,0.6152,0.4576,1.8699,0.4799,0.1,0.3638,0.3729,55.27,28.94,0.999,1.292
135,19.443,1252.51,108.86,18.407,0.0,argon,0.6079,0.8255,0.5052,2.1559,0.4379,0.1,0.4158,0.4389,56.22,29.29,0.999,1.83924
136,8.5,1394.63,133.2,11.01,0.0,air,0.5805,0.2855,0.2556,2.107,0.59,0.1,0.1556,0.15,69.92,28.08,0.999,2.35614
137,2.799,1203.63,150.11,16.046,0.0,hydrogen,0.5867,0.792,0.3268,2.2152,0.6393,0.1,0.4257,0.1992,64.31,30.38,0.999,2.18423
138,13.997,1257.91,125.08,6.753,16.836,nitrogen,0.6338,0.3897,0.31,1.6995,0.3655,0.1,0.1871,0.2212,64.39,30.78,0.999,2.18528
139,7.969,1406.84,104.48,6.837,24.222,vacuum,0.5793,0.5273,0.3894,2.0861,0.6358,0.1,0.2324,0.2879,61.93,32.65,0.999,2.64701
140,15.024,1424.82,163.56,11.291,26.198,vacuum,0.6357,0.7196,0.4888,2.9591,0.7083,0.1,0.3322,0.3861,67.04,32.87,0.999,3.29957
141,16.284,1205.03,134.53,15.134,0.0,air,0.5847,0.4962,0.4225,1.99,0.5759,0.1,0.2329,0.3268,62.6,30.53,0.999,1.85877
142,8.445,1234.86,164.97,13.62,0.0,nitrogen,0.5388,1.1732,0.4978,3.072,0.6882,0.1,0.5959,0.3899,56.86,29.88,0.999,2.26771
143,10.482,1040.09,154.38,4.086,43.259,air,0.6173,0.9068,0.5192,1.9648,0.5927,0.1,0.3992,0.3989,44.66,22.16,0.999,2.02676
144,6.065,1276.27,122.47,14.382,0.0,hydrogen,0.6182,0.3585,0.5364,1.7362,0.5242,0.1,0.1831,0.4602,64.76,31.42,0.999,2.14541
145,11.731,998.57,160.77,24.979,0.0,nitrogen,0.63,0.32,0.3872,1.4655,0.4088,0.1,0.1537,0.3165,44.26,26.75,0.999,1.59844
146,9.576,1234.46,142.32,6.076,0.0,argon,0.5401,0.5198,0.529,1.8036,0.3959,0.1,0.2584,0.4044,62.9,33.21,0.999,2.09867
147,6.269,1235.2,150.87,24.683,0.0,nitrogen,0.5573,0.9882,0.4552,2.0522,0.5147,0.1,0.505,0.3462,62.94,31.58,0.999,2.15112
148,2.024,1282.31,100.39,17.149,44.429,hydrogen,0.5028,0.6415,0.3111,1.9856,0.4947,0.1,0.3573,0.1565,63.44,33.59,0.999,2.49191
149,11.854,1174.66,74.66,10.392,0.0,air,0.5422,1.6698,0.3083,2.8392,0.8246,0.1,0.9569,0.2376,57.08,31.12,0.999,1.3103
150,15.917,1358.39,135.62,2.434,42.748,air,0.5259,0.7759,0.3578,2.308,0.6482,0.1,0.3709,0.272,61.47,25.82,0.999,2.84181
151,14.065,980.07,126.44,24.344,0.0,hydrogen,0.5065,0.4541,0.4756,1.5174,0.4291,0.1,0.2342,0.3827,51.4,27.54,0.999,1.33503
152,15.079,1432.32,53.09,15.808,0.0,nitrogen,0.5301,0.6422,0.3399,2.3492,0.4857,0.1,0.3195,0.2464,62.3,32.04,0.999,1.84775
153,16.976,1061.06,155.28,24.846,20.395,argon,0.5014,0.8589,0.5186,2.0663,0.5364,0.1,0.4222,0.45,57.45,27.99,0.999,1.9333
154,9.098,1219.93,146.97,19.979,0.0,nitrogen,0.6206,0.6306,0.2778,1.7097,0.4185,0.1,0.3074,0.1781,54.13,29.94,0.999,2.0779
155,19.406,1145.78,162.38,8.729,0.0,nitrogen,0.52,0.7638,0.3251,1.8996,0.4243,0.1,0.393,0.2078,58.54,31.52,0.999,1.98024
156,12.182,970.39,165.62,2.474,0.0,vacuum,0.6436,0.557,0.4497,2.1521,0.4455,0.1,0.2912,0.3809,55.18,28.98,0.999,1.62525
157,6.725,1304.96,158.54,9.738,0.0,hydrogen,0.5195,1.5009,0.345,3.629,1.0318,0.1,0.7677,0.2532,68.45,35.92,0.999,2.54512
158,12.208,1399.94,154.14,15.126,0.0,air,0.6223,0.371,0.2684,2.4567,0.619,0.1,0.1842,0.1516,69.97,33.38,0.999,2.53073
159,13.635,1270.25,92.1,7.97,0.0,argon,0.6493,0.4768,0.5012,1.6345,0.4736,0.1,0.2593,0.397,59.05,26.37,0.999,1.76272
160,11.206,1397.73,111.03,19.977,0.0,air,0.6056,0.6497,0.4444,2.472,0.6328,0.1,0.3033,0.3251,60.06,27.54,0.999,2.181
161,19.229,1439.36,158.12,15.597,34.079,air,0.6317,0.504,0.4545,2.3393,0.7038,0.1,0.2699,0.3558,64.06,29.51,0.999,3.17532
162,18.957,1011.05,124.21,22.982,0.0,air,0.5866,0.8954,0.4749,2.2716,0.5322,0.1,0.4278,0.3789,42.11,22.37,0.999,1.27393
163,17.799,1367.73,137.68,3.59,0.0,air,0.6012,1.6748,0.4493,4.3117,1.0694,0.1,0.8242,0.3589,64.74,35.67,0.999,2.2956
164,12.504,961.06,126.4,8.334,14.246,vacuum,0.5037,0.966,0.5303,2.1328,0.6633,0.1,0.4992,0.4321,52.18,28.66,0.999,1.36776
165,18.203,1390.69,107.76,5.233,0.0,vacuum,0.5248,0.5244,0.302,1.9927,0.4662,0.1,0.2723,0.2122,67.91,30.83,0.999,2.26653
