firm_code,date,stratum,zone,years_of_operation,num_employees,num_employees_cat,annual_revenue_cat,ownership_type,fdi_partnership,fdi_equity,fdi_joint_venture,fdi_technology_transfer,fdi_management_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,rd_intensity_percent,new_products_3yrs,proc_iot,proc_automation,proc_quality_mgmt,proc_other,proc_other_text,skilled_workforce_percent,training_hours_per_employee,modern_equipment,machinery_age_years,access_to_credit,reinvestment_rate_percent,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,avg_roi_percent,avg_roa_percent,export_intensity_percent,capacity_utilization_percent,market_share_lagos_percent
FIRM093,31/05/2025,SME,Amuwo-Odofin,1,127,51-250,<50M,Local,0,0,0,0,0,0,5,3,5,2,5,4,4,2,12.0,3,0,1,1,0,,37.6,2,1,5.3,Moderate,19.3,4,4,4,5,40.0,25.0,37.62,73.0,0.34
FIRM094,07/05/2025,SME,Oshodi/Isolo,8,136,51-250,50M-500M,Foreign-owned,1,0,0,1,0,1,1,2,2,5,5,3,5,5,7.46,1,0,1,1,0,,84.3,26,0,16.5,Moderate,19.3,1,2,5,3,40.0,25.0,34.33,67.8,0.79
FIRM097,30/07/2025,SME,Oshodi/Isolo,11,53,51-250,50M-500M,Local,1,0,0,1,1,6,1,4,1,3,5,4,4,1,12.0,3,0,1,1,0,,44.5,34,1,4.6,Moderate,14.1,1,5,1,5,40.0,25.0,45.0,76.0,0.05
FIRM098,07/10/2025,SME,Apapa,3,66,51-250,<50M,Local,0,0,0,0,0,0,2,2,3,3,4,5,2,2,12.0,0,0,1,0,0,,33.9,23,0,10.0,Easy,3.5,6,6,7,4,34.13,25.0,17.63,67.9,0.05
FIRM099,23/06/2025,SME,Ikeja,6,140,51-250,50M-500M,Local,0,0,0,0,0,0,1,1,4,1,5,1,2,4,12.0,2,1,1,1,0,,51.4,19,1,4.2,Easy,24.7,6,7,5,7,40.0,25.0,41.31,74.8,1.03
FIRM101,27/04/2025,SME,Ikeja,9,78,51-250,<50M,Local,0,0,0,0,0,0,4,5,2,4,3,2,2,3,12.0,4,1,1,1,0,,92.2,22,1,5.6,Moderate,23.8,6,3,2,4,40.0,25.0,45.0,84.8,1.69
FIRM108,16/06/2025,SME,Amuwo-Odofin,3,101,51-250,50M-500M,Local,0,0,0,0,0,0,4,1,5,1,2,3,3,1,10.62,3,1,0,1,0,,22.0,20,0,15.8,Difficult,23.8,1,1,2,1,40.0,25.0,32.91,71.3,0.88
FIRM115,16/07/2025,SME,Amuwo-Odofin,8,56,51-250,50M-500M,Local,0,0,0,0,0,0,2,2,4,2,4,2,4,4,4.87,1,1,0,0,0,,36.1,8,0,13.0,Moderate,16.7,3,2,4,7,40.0,25.0,32.09,76.3,0.83
FIRM116,15/05/2025,SME,Ikorodu,8,73,51-250,<50M,Foreign-owned,0,0,0,0,0,0,1,4,4,5,5,1,4,5,12.0,1,0,1,0,0,,82.0,15,1,6.9,Difficult,32.1,5,7,6,6,40.0,25.0,33.27,76.3,2.14
FIRM117,12/08/2025,SME,Ikorodu,13,92,51-250,50M-500M,Local,1,1,1,1,0,11,5,5,3,1,4,5,1,4,12.0,2,1,1,0,0,,88.4,30,1,2.7,Difficult,19.2,2,3,2,2,40.0,25.0,45.0,76.8,1.23
FIRM118,12/10/2025,SME,Ikeja,14,68,51-250,>5B,Local,0,0,0,0,0,0,1,1,3,4,4,2,5,3,12.0,7,0,0,1,0,,53.1,28,0,3.7,Easy,27.6,6,6,7,6,40.0,25.0,34.63,73.5,0.05
FIRM119,06/07/2025,SME,Ikorodu,6,44,1-50,500M-5B,Local,0,0,0,0,0,0,1,2,1,3,5,3,4,2,12.0,2,1,0,0,0,,32.7,26,1,11.4,Moderate,17.6,7,7,7,7,40.0,25.0,43.58,74.3,1.52
FIRM121,18/06/2025,SME,Ikorodu,7,127,51-250,<50M,Local,0,0,0,0,0,0,5,5,5,3,1,5,2,5,9.58,1,0,0,1,0,,92.7,12,0,1.7,Moderate,11.9,6,7,7,5,40.0,25.0,45.0,85.5,0.97
FIRM125,27/06/2025,SME,Ikeja,19,139,51-250,<50M,Local,0,0,0,0,0,0,1,3,1,1,1,1,1,4,12.0,4,0,1,1,0,,83.7,22,1,11.0,Difficult,23.9,6,6,4,5,40.0,25.0,45.0,81.4,0.96
FIRM127,06/05/2025,SME,Ikorodu,12,41,1-50,50M-500M,Joint venture,0,0,0,0,0,0,2,1,2,1,4,3,3,1,12.0,3,0,1,1,0,,67.2,2,0,16.7,Difficult,22.1,4,4,3,5,40.0,25.0,40.62,70.3,0.05
FIRM128,21/09/2025,SME,Ikorodu,11,78,51-250,<50M,Foreign-owned,1,0,0,1,0,14,2,1,1,2,3,2,3,3,12.0,2,1,0,1,0,,40.4,26,0,13.0,Moderate,27.6,7,6,7,6,40.0,25.0,45.0,82.6,0.64
FIRM137,29/06/2025,SME,Oshodi/Isolo,5,29,1-50,<50M,Local,0,0,0,0,0,0,4,1,1,3,5,5,5,3,12.0,3,0,0,1,0,,54.1,41,1,9.2,Easy,18.8,3,5,5,5,40.0,25.0,30.66,64.2,0.05
FIRM138,24/06/2025,SME,Amuwo-Odofin,3,99,51-250,<50M,Joint venture,1,0,0,1,0,5,3,3,5,4,4,3,5,3,12.0,6,1,1,0,0,,52.1,6,1,9.8,Difficult,23.6,5,1,2,2,40.0,25.0,45.0,88.0,1.63
FIRM140,12/08/2025,SME,Ibeju-Lekki,14,40,1-50,<50M,Local,0,0,0,0,0,0,4,2,3,5,4,5,3,1,12.0,3,1,1,1,0,,61.0,17,1,5.7,Easy,41.9,3,4,5,2,40.0,25.0,39.76,82.4,0.78
FIRM142,04/07/2025,SME,Ikeja,18,111,51-250,<50M,Local,0,0,0,0,0,0,1,4,3,1,1,3,2,2,12.0,3,1,0,1,0,,81.1,28,0,12.1,Difficult,29.8,2,5,6,4,40.0,25.0,32.26,70.1,0.05
FIRM143,10/08/2025,SME,Oshodi/Isolo,9,95,51-250,<50M,Local,0,0,0,0,0,0,4,3,1,1,3,1,2,5,12.0,2,0,0,1,0,,70.8,39,0,11.8,Difficult,25.2,1,2,2,1,40.0,25.0,40.76,82.7,0.84
FIRM144,27/04/2025,SME,Apapa,4,56,51-250,<50M,Local,1,0,0,1,0,4,1,5,3,4,4,1,2,5,12.0,4,0,1,1,0,,35.6,19,0,4.1,Easy,25.1,3,3,5,3,40.0,25.0,33.29,69.3,1.31
FIRM147,09/09/2025,SME,Oshodi/Isolo,3,21,1-50,500M-5B,Local,0,0,0,0,0,0,5,4,5,5,4,2,1,1,12.0,3,1,0,1,0,,79.8,16,1,8.7,Moderate,28.1,7,7,6,7,40.0,25.0,45.0,81.7,1.89
FIRM148,02/10/2025,SME,Oshodi/Isolo,8,37,1-50,50M-500M,Joint venture,0,0,0,0,0,0,4,5,5,5,5,2,3,5,10.54,4,0,0,1,0,,60.6,2,1,6.0,Moderate,23.2,1,1,1,1,40.0,25.0,45.0,76.3,0.05
FIRM149,10/08/2025,SME,Ikeja,4,58,51-250,<50M,Local,1,0,0,1,0,7,2,3,5,1,4,5,5,5,9.01,4,1,0,0,0,,67.4,25,1,7.9,Moderate,24.3,7,7,7,6,40.0,25.0,36.02,66.5,0.23
FIRM151,04/10/2025,SME,Ikorodu,15,51,51-250,50M-500M,Foreign-owned,1,1,0,1,1,8,5,5,4,3,3,2,4,2,9.27,2,0,1,1,0,,81.4,49,1,10.9,Easy,21.0,7,6,7,7,40.0,25.0,45.0,78.7,0.42
FIRM153,13/05/2025,SME,Ikeja,1,25,1-50,<50M,Local,1,1,1,1,1,13,5,3,2,3,2,4,5,5,12.0,6,0,1,1,0,,35.0,27,1,7.1,Moderate,23.2,3,4,1,5,40.0,25.0,45.0,75.4,1.11
FIRM155,10/07/2025,SME,Ibeju-Lekki,5,57,51-250,<50M,Local,0,0,0,0,0,0,3,3,2,4,3,5,3,4,4.69,3,1,1,0,0,,54.4,24,0,3.6,Difficult,0.0,6,5,4,6,40.0,25.0,29.64,74.7,0.05
FIRM156,02/08/2025,SME,Ikeja,6,131,51-250,<50M,Local,0,0,0,0,0,0,1,1,4,1,1,1,5,1,12.0,7,0,1,0,1,Solar retrofit,45.4,28,0,14.0,Difficult,20.1,2,6,2,5,39.21,25.0,23.55,65.8,1.16
FIRM160,29/07/2025,SME,Amuwo-Odofin,4,82,51-250,50M-500M,Local,0,0,0,0,0,0,2,3,2,2,4,4,1,4,12.0,1,1,1,0,0,,26.8,24,0,15.6,Easy,13.1,5,7,6,7,40.0,25.0,40.33,75.4,1.57
FIRM164,27/06/2025,SME,Oshodi/Isolo,4,99,51-250,500M-5B,Local,1,1,0,0,0,6,3,3,2,1,1,1,1,1,12.0,0,0,1,0,0,,61.2,14,0,13.1,Difficult,39.9,5,6,6,4,40.0,25.0,26.78,71.6,1.04
FIRM165,15/06/2025,SME,Ikeja,6,56,51-250,50M-500M,Local,0,0,0,0,0,0,3,2,4,2,4,2,1,1,6.32,0,0,0,1,0,,95.0,34,0,10.4,Difficult,18.2,1,1,1,1,40.0,25.0,22.83,69.1,0.1
FIRM166,08/05/2025,SME,Ikorodu,14,164,51-250,<50M,Local,0,0,0,0,0,0,4,1,4,2,4,3,1,3,12.0,2,1,1,1,0,,21.9,27,0,15.0,Easy,6.1,7,4,5,3,40.0,25.0,41.74,74.3,0.37
FIRM171,25/06/2025,SME,Amuwo-Odofin,1,66,51-250,<50M,Local,0,0,0,0,0,0,1,4,3,3,2,2,2,2,12.0,0,0,1,0,0,,54.4,24,0,15.4,Easy,17.5,3,2,2,4,40.0,25.0,37.3,70.5,0.41
FIRM173,15/05/2025,SME,Oshodi/Isolo,5,108,51-250,50M-500M,Joint venture,1,0,0,1,1,2,3,3,2,3,4,4,4,5,12.0,4,1,1,0,0,,66.5,12,1,5.8,Easy,13.5,5,5,6,3,40.0,25.0,41.96,77.7,1.4
FIRM176,26/08/2025,SME,Ikeja,1,16,1-50,500M-5B,Local,1,0,1,1,0,6,3,2,4,2,1,4,2,2,12.0,7,1,1,1,0,,57.2,40,1,9.4,Difficult,28.7,1,5,5,3,40.0,25.0,38.47,71.5,0.05
FIRM177,23/05/2025,SME,Amuwo-Odofin,1,44,1-50,50M-500M,Joint venture,1,1,0,1,1,7,2,4,3,5,3,3,2,3,12.0,2,1,1,1,0,,53.0,32,0,13.4,Moderate,26.9,7,7,6,6,40.0,25.0,45.0,80.1,1.85
FIRM178,26/04/2025,SME,Apapa,9,11,1-50,50M-500M,Local,0,0,0,0,0,0,1,5,3,2,1,3,3,4,12.0,3,1,1,1,0,,31.6,17,1,3.8,Moderate,27.6,4,6,7,3,40.0,25.0,37.47,71.7,0.13
FIRM179,24/07/2025,SME,Ibeju-Lekki,11,20,1-50,<50M,Local,0,0,0,0,0,0,3,5,1,4,3,2,3,4,12.0,8,0,1,1,0,,59.2,36,1,9.0,Easy,10.1,4,2,3,2,40.0,25.0,44.27,77.7,0.61
FIRM180,01/08/2025,SME,Ikeja,4,102,51-250,50M-500M,Local,0,0,0,0,0,0,1,3,5,5,2,4,1,2,12.0,3,0,1,1,0,,41.4,18,0,22.5,Moderate,18.3,3,4,1,5,40.0,25.0,33.46,70.1,1.08
FIRM181,19/09/2025,SME,Apapa,13,104,51-250,<50M,Foreign-owned,1,0,1,1,0,10,2,4,1,4,1,5,1,5,12.0,2,0,0,1,0,,15.6,15,1,7.6,Easy,10.3,2,1,3,3,40.0,25.0,36.64,69.1,0.05
FIRM182,28/07/2025,SME,Ikeja,1,81,51-250,50M-500M,Local,0,0,0,0,0,0,1,3,4,2,3,2,1,2,12.0,11,1,1,1,1,Solar retrofit,76.5,15,0,12.2,Moderate,25.0,6,5,3,5,40.0,25.0,45.0,72.9,0.81
FIRM183,17/06/2025,SME,Ibeju-Lekki,9,30,1-50,50M-500M,Local,1,0,0,1,1,8,4,1,2,5,5,4,5,4,12.0,2,1,1,0,0,,72.3,3,1,4.1,Moderate,29.2,3,5,5,2,40.0,25.0,45.0,81.0,1.21
FIRM184,07/09/2025,SME,Ikorodu,2,58,51-250,50M-500M,Joint venture,1,0,0,1,0,4,1,2,4,5,4,3,4,4,12.0,1,1,0,1,0,,55.9,30,1,6.3,Easy,29.0,4,5,6,6,40.0,25.0,45.0,77.1,0.83
FIRM185,22/07/2025,SME,Ikeja,5,60,51-250,<50M,Joint venture,0,0,0,0,0,0,4,3,3,4,5,3,4,2,12.0,4,0,1,1,0,,59.1,2,0,3.3,Difficult,18.0,4,7,4,6,40.0,25.0,39.71,70.7,0.71
FIRM186,30/04/2025,SME,Amuwo-Odofin,9,27,1-50,<50M,Local,0,0,0,0,0,0,5,1,1,2,4,1,1,2,12.0,0,0,1,1,0,,74.3,9,0,9.3,Easy,22.1,6,6,4,5,40.0,25.0,45.0,79.1,1.44
FIRM187,26/07/2025,SME,Ikorodu,4,172,51-250,50M-500M,Local,0,0,0,0,0,0,5,2,2,2,2,4,4,3,12.0,1,1,0,1,1,Waste-to-energy,59.0,2,0,6.5,Moderate,34.0,6,6,3,4,40.0,25.0,39.64,73.1,0.66
FIRM195,26/09/2025,SME,Apapa,1,30,1-50,<50M,Joint venture,0,0,0,0,0,0,5,1,2,3,1,1,4,2,11.28,0,0,1,1,0,,71.3,23,0,12.7,Moderate,15.1,3,1,1,1,40.0,25.0,39.94,76.6,1.21
FIRM196,26/06/2025,SME,Apapa,4,49,1-50,50M-500M,Local,0,0,0,0,0,0,2,4,2,3,3,1,1,5,12.0,2,1,1,1,0,,49.6,22,0,17.0,Moderate,19.4,6,7,3,4,38.01,25.0,30.83,75.8,0.73
FIRM197,08/06/2025,SME,Amuwo-Odofin,12,211,51-250,50M-500M,Local,1,0,1,1,0,3,4,5,4,4,4,5,3,3,12.0,5,0,0,1,0,,78.6,20,1,8.4,Easy,13.1,3,4,3,6,40.0,25.0,45.0,78.5,1.17
FIRM201,11/05/2025,SME,Amuwo-Odofin,10,160,51-250,50M-500M,Foreign-owned,1,0,1,1,0,3,5,5,5,5,5,3,5,5,12.0,2,0,1,1,0,,60.8,11,1,5.1,Easy,15.3,4,6,5,5,40.0,25.0,45.0,80.0,2.25
FIRM204,13/05/2025,SME,Ikorodu,11,38,1-50,<50M,Local,0,0,0,0,0,0,2,2,1,2,5,3,4,3,12.0,4,1,1,0,0,,58.5,10,0,22.2,Difficult,19.0,3,6,6,5,40.0,25.0,29.54,73.3,0.82
FIRM207,02/07/2025,SME,Ikeja,6,112,51-250,<50M,Local,0,0,0,0,0,0,3,1,1,2,3,5,3,5,12.0,1,0,0,1,0,,32.1,30,0,13.5,Easy,29.0,3,3,5,2,40.0,25.0,32.63,77.3,0.62
FIRM209,01/08/2025,SME,Ikeja,11,125,51-250,50M-500M,Local,0,0,0,0,0,0,1,1,1,1,3,1,3,4,12.0,5,1,0,1,1,Solar retrofit,60.2,17,0,8.1,Difficult,15.4,1,1,2,2,40.0,25.0,38.15,68.3,0.05
FIRM211,30/04/2025,SME,Oshodi/Isolo,11,151,51-250,<50M,Local,0,0,0,0,0,0,5,1,4,1,3,1,1,3,12.0,2,1,1,0,0,,40.0,28,0,12.8,Difficult,15.6,2,3,4,2,40.0,25.0,40.35,68.0,1.51
