experiment_id,binder_ratio_pct,peak_temp_C,dwell_time_min,cooling_rate_C_per_min,atmosphere,density_pct,porosity_pct,fracture_toughness_MPa_m05,grain_size_um,objective_score,is_pso_selected
SIN046,4.88,1138.1,139.0,1.481,hydrogen,84.55,15.78,3.89,6.15,0.6606,0
SIN047,2.42,1272.6,174.0,1.099,air,87.17,12.42,3.824,6.19,0.708,0
SIN048,1.61,1329.6,37.7,1.611,air,89.47,10.42,4.296,5.32,0.7554,0
SIN049,1.05,1185.8,38.5,1.931,hydrogen,83.97,15.13,3.649,3.45,0.6568,0
SIN050,1.09,1142.9,98.3,1.467,hydrogen,88.69,10.88,3.912,4.86,0.7351,0
SIN051,5.27,1303.1,171.0,1.081,air,89.91,10.18,4.021,7.93,0.7526,0
SIN052,2.76,1295.0,140.6,1.55,air,88.91,10.86,4.06,6.53,0.7408,0
SIN053,2.69,1166.7,34.7,1.094,hydrogen,86.26,13.65,3.825,2.99,0.6904,0
SIN054,3.03,1208.6,35.8,1.128,air,88.04,11.24,3.816,3.49,0.7249,0
SIN055,5.06,1240.1,141.2,1.745,air,86.66,13.73,4.064,5.22,0.6988,0
SIN056,2.32,1263.0,175.3,1.865,hydrogen,87.89,11.77,3.908,6.82,0.7213,0
SIN057,2.17,1136.9,132.9,1.623,air,86.79,13.75,3.734,4.72,0.69,0
SIN058,4.66,1121.4,64.4,1.947,hydrogen,86.02,13.62,3.733,3.55,0.6866,0
SIN059,2.42,1162.0,35.5,1.717,air,87.38,12.48,3.714,3.1,0.7055,0
SIN060,1.94,1295.1,77.4,1.772,air,88.76,10.58,3.877,5.9,0.7375,0
SIN061,5.54,1254.0,51.8,1.826,air,85.46,14.52,3.966,4.55,0.6809,0
SIN062,3.1,1343.2,93.9,1.433,hydrogen,91.21,8.47,4.03,7.2,0.7777,0
SIN063,5.08,1202.4,174.2,1.057,argon,85.72,14.41,3.942,6.15,0.6828,0
SIN064,3.18,1159.4,132.5,1.717,hydrogen,87.83,11.69,3.944,4.22,0.7228,0
SIN065,5.13,1299.2,56.0,1.527,argon,89.01,10.38,4.626,4.84,0.7625,0
SIN066,4.11,1314.2,166.8,1.511,argon,87.43,12.31,4.339,6.46,0.7254,0
SIN067,3.54,1120.0,39.2,1.707,hydrogen,84.59,15.71,3.83,2.59,0.6599,0
SIN068,1.91,1187.4,33.5,1.946,air,87.36,11.94,3.56,4.29,0.7064,0
SIN069,2.88,1306.0,74.1,1.723,air,87.81,12.71,3.999,5.77,0.7141,0
SIN070,4.94,1315.7,101.0,1.599,air,88.62,11.43,4.213,5.86,0.7378,0
SIN071,3.98,1178.4,40.1,1.022,argon,86.14,14.27,3.522,3.07,0.6748,0
SIN072,4.75,1327.6,126.3,1.203,argon,88.97,10.89,3.923,5.25,0.7371,0
SIN073,2.66,1271.9,53.3,2.0,air,88.25,11.98,4.066,4.44,0.7259,0
SIN074,1.1,1216.5,145.6,1.718,argon,88.73,11.15,4.056,6.09,0.7368,0
SIN075,2.37,1143.6,143.5,1.269,hydrogen,86.01,14.41,3.967,6.58,0.6853,0
SIN076,4.46,1265.7,36.4,1.203,hydrogen,90.64,10.44,3.759,4.05,0.7469,0
SIN077,4.16,1251.7,158.2,1.027,argon,90.74,9.33,4.077,7.31,0.7676,0
SIN078,1.33,1295.7,176.2,1.259,air,92.18,7.54,4.001,8.02,0.792,1
SIN079,1.7,1295.2,122.0,1.485,hydrogen,89.61,10.65,4.23,5.76,0.752,0
SIN080,5.11,1233.4,119.4,1.935,argon,85.2,14.85,3.818,5.91,0.6718,0
SIN081,2.39,1107.3,104.1,1.459,argon,85.5,14.38,3.905,3.89,0.6807,0
SIN082,3.91,1252.0,105.5,1.295,air,88.8,10.81,4.196,6.06,0.7445,0
SIN083,1.04,1117.3,60.5,1.794,argon,86.91,13.12,3.647,3.53,0.6945,0
SIN084,2.02,1293.7,46.3,1.98,hydrogen,87.18,12.93,4.072,5.03,0.7101,0
SIN085,2.62,1109.6,122.5,1.005,argon,85.74,14.37,3.627,4.86,0.6744,0
SIN086,2.3,1218.4,50.4,1.352,hydrogen,86.54,12.75,4.049,4.18,0.7074,0
SIN087,4.07,1215.1,78.5,1.545,hydrogen,88.23,11.57,4.182,4.07,0.7332,0
SIN088,2.36,1298.6,44.7,1.902,hydrogen,87.52,12.48,4.155,4.55,0.719,0
SIN089,1.51,1117.3,89.4,1.929,air,84.98,15.1,3.752,4.12,0.6661,0
SIN090,4.71,1175.1,99.6,1.86,hydrogen,86.61,13.3,3.804,6.69,0.6953,0
SIN091,4.06,1179.4,38.2,1.057,argon,86.15,14.49,3.578,3.87,0.6743,0
SIN092,5.54,1127.4,85.9,1.73,argon,86.32,13.37,3.675,3.41,0.6892,0
SIN093,5.28,1141.8,41.3,1.172,argon,86.36,12.91,3.589,3.39,0.6916,0
SIN094,3.77,1311.4,48.1,1.111,argon,87.92,12.41,3.839,6.02,0.7131,0
SIN095,5.02,1267.5,105.6,1.584,air,87.51,12.87,4.121,6.79,0.714,0
SIN096,5.33,1147.7,127.8,1.197,hydrogen,85.46,14.58,3.688,6.02,0.6723,0
SIN097,4.12,1287.8,168.1,1.895,argon,91.42,8.45,3.952,6.68,0.777,0
SIN098,1.2,1334.6,101.3,1.305,argon,88.89,11.23,4.434,5.66,0.7477,0
SIN099,4.1,1252.1,46.8,1.082,air,87.49,12.64,4.024,4.35,0.7135,0
SIN100,1.93,1230.1,131.8,1.355,air,87.01,13.53,3.913,5.6,0.6985,0
SIN101,1.28,1246.1,76.4,1.124,air,88.04,11.82,3.973,5.25,0.7235,0
SIN102,5.72,1141.6,119.6,1.9,argon,85.99,14.32,3.691,5.13,0.6782,0
SIN103,1.42,1300.2,43.3,1.301,air,88.1,12.4,4.229,4.6,0.7254,0
SIN104,3.79,1220.2,76.0,1.293,argon,89.13,10.22,3.995,4.98,0.7468,0
SIN105,2.76,1183.2,119.4,1.043,hydrogen,85.3,14.77,3.808,4.89,0.6729,0
SIN106,2.64,1231.2,117.2,1.564,argon,86.4,13.85,4.395,3.68,0.7055,0
SIN107,2.09,1314.2,143.0,1.538,argon,88.16,11.57,4.002,6.18,0.7276,0
SIN108,2.01,1323.1,150.4,1.462,hydrogen,89.17,11.51,3.986,7.81,0.7338,0
SIN109,1.31,1339.4,132.9,1.042,argon,90.47,9.64,4.079,6.67,0.763,0
SIN110,2.46,1217.7,159.2,1.102,hydrogen,87.94,11.57,3.748,6.91,0.7191,0
SIN111,2.39,1257.7,72.9,1.467,air,88.59,12.69,4.177,4.43,0.7241,0
SIN112,1.88,1110.3,82.7,1.563,air,86.75,13.11,3.736,3.56,0.6961,0
SIN113,1.46,1101.1,49.6,1.278,argon,84.25,16.16,4.004,3.05,0.6583,0
SIN114,5.25,1300.7,68.9,1.357,argon,91.25,8.99,4.203,5.3,0.7777,0
SIN115,5.15,1319.0,162.7,1.838,argon,90.3,9.77,3.864,7.24,0.7544,0
SIN116,5.88,1151.1,39.2,1.821,air,85.61,14.57,3.962,3.4,0.6812,0
SIN117,1.14,1180.0,142.3,1.924,hydrogen,87.58,11.9,3.83,5.92,0.7159,0
SIN118,4.85,1333.5,94.7,1.634,hydrogen,90.09,10.17,4.18,7.44,0.7583,0
SIN119,4.31,1208.4,118.9,1.448,hydrogen,87.01,12.87,4.181,5.28,0.7128,0
SIN120,2.98,1159.2,79.2,1.0,air,87.03,13.63,3.64,4.73,0.6898,0
