firm_code,stratum,zone,years_operation,employees,annual_revenue_cat,ownership_type,fdi_partnership,fdi_equity,fdi_joint_venture,fdi_technology_transfer,fdi_management_contract,years_with_fdi,registered_LCCI,sector
FIRM134,SME,Apapa,10,13,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM135,SME,Ibeju-Lekki,4,82,50M-500M,Local,True,True,False,True,False,3,True,Food Processing (NACE 10)
FIRM136,SME,Apapa,1,42,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM137,SME,Oshodi/Isolo,5,29,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM138,SME,Amuwo-Odofin,3,99,<50M,Joint venture,True,False,False,True,False,5,True,Food Processing (NACE 10)
FIRM139,SME,Apapa,19,71,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM140,SME,Ibeju-Lekki,14,40,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM141,SME,Ibeju-Lekki,9,24,50M-500M,Joint venture,True,False,True,True,False,6,True,Food Processing (NACE 10)
FIRM142,SME,Ikeja,18,111,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM143,SME,Oshodi/Isolo,9,95,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM144,SME,Apapa,4,56,<50M,Local,True,False,False,True,False,4,True,Food Processing (NACE 10)
FIRM145,SME,Apapa,18,219,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM146,SME,Ikeja,12,28,500M-5B,Joint venture,True,False,False,True,False,2,True,Food Processing (NACE 10)
FIRM147,SME,Oshodi/Isolo,3,21,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM148,SME,Oshodi/Isolo,8,37,50M-500M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM149,SME,Ikeja,4,58,<50M,Local,True,False,False,True,False,7,True,Food Processing (NACE 10)
FIRM150,SME,Apapa,1,71,50M-500M,Joint venture,True,True,False,True,False,7,True,Food Processing (NACE 10)
FIRM151,SME,Ikorodu,15,51,50M-500M,Foreign-owned,True,True,False,True,True,8,True,Food Processing (NACE 10)
FIRM152,SME,Ikeja,20,77,500M-5B,Foreign-owned,True,True,True,False,False,7,True,Food Processing (NACE 10)
FIRM153,SME,Ikeja,1,25,<50M,Local,True,True,True,True,True,13,True,Food Processing (NACE 10)
FIRM154,SME,Oshodi/Isolo,12,165,50M-500M,Joint venture,True,True,False,True,False,9,True,Food Processing (NACE 10)
FIRM155,SME,Ibeju-Lekki,5,57,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM156,SME,Ikeja,6,131,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM157,SME,Amuwo-Odofin,5,76,50M-500M,Foreign-owned,True,True,True,True,False,8,True,Food Processing (NACE 10)
FIRM158,SME,Amuwo-Odofin,4,83,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM159,SME,Ikeja,9,89,50M-500M,Joint venture,True,True,True,True,True,11,True,Food Processing (NACE 10)
FIRM160,SME,Amuwo-Odofin,4,82,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM161,SME,Apapa,11,94,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM162,SME,Amuwo-Odofin,9,152,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM163,SME,Amuwo-Odofin,8,69,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM164,SME,Oshodi/Isolo,4,99,500M-5B,Local,True,True,False,False,False,6,True,Food Processing (NACE 10)
FIRM165,SME,Ikeja,6,56,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM166,SME,Ikorodu,14,164,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM167,SME,Apapa,12,37,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM168,SME,Ikeja,3,212,50M-500M,Local,True,True,True,True,False,5,True,Food Processing (NACE 10)
FIRM169,SME,Ikeja,10,58,<50M,Local,True,False,True,True,False,7,True,Food Processing (NACE 10)
FIRM170,SME,Oshodi/Isolo,14,22,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM171,SME,Amuwo-Odofin,1,66,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM172,SME,Ikeja,12,37,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM173,SME,Oshodi/Isolo,5,108,50M-500M,Joint venture,True,False,False,True,True,2,True,Food Processing (NACE 10)
FIRM174,SME,Ikeja,12,38,50M-500M,Joint venture,True,False,True,True,True,6,True,Food Processing (NACE 10)
FIRM175,SME,Amuwo-Odofin,4,44,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM176,SME,Ikeja,1,16,500M-5B,Local,True,False,True,True,False,6,True,Food Processing (NACE 10)
FIRM177,SME,Amuwo-Odofin,1,44,50M-500M,Joint venture,True,True,False,True,True,7,True,Food Processing (NACE 10)
FIRM178,SME,Apapa,9,11,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM179,SME,Ibeju-Lekki,11,20,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM180,SME,Ikeja,4,102,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM181,SME,Apapa,13,104,<50M,Foreign-owned,True,False,True,True,False,10,True,Food Processing (NACE 10)
FIRM182,SME,Ikeja,1,81,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM183,SME,Ibeju-Lekki,9,30,50M-500M,Local,True,False,False,True,True,8,True,Food Processing (NACE 10)
FIRM184,SME,Ikorodu,2,58,50M-500M,Joint venture,True,False,False,True,False,4,True,Food Processing (NACE 10)
FIRM185,SME,Ikeja,5,60,<50M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM186,SME,Amuwo-Odofin,9,27,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM187,SME,Ikorodu,4,172,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM188,SME,Oshodi/Isolo,7,111,<50M,Foreign-owned,True,False,False,True,False,9,True,Food Processing (NACE 10)
FIRM189,SME,Oshodi/Isolo,15,51,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM190,SME,Ikeja,6,61,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM191,SME,Ikeja,14,69,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM192,SME,Ikorodu,2,14,50M-500M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM193,SME,Ikorodu,12,50,50M-500M,Local,True,True,True,False,False,13,True,Food Processing (NACE 10)
FIRM194,SME,Amuwo-Odofin,18,37,<50M,Foreign-owned,True,True,True,True,False,10,True,Food Processing (NACE 10)
FIRM195,SME,Apapa,1,30,<50M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM196,SME,Apapa,4,49,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM197,SME,Amuwo-Odofin,12,211,50M-500M,Local,True,False,True,True,False,3,True,Food Processing (NACE 10)
FIRM198,SME,Ikorodu,8,94,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM199,SME,Ikorodu,11,40,<50M,Local,True,True,False,False,True,8,True,Food Processing (NACE 10)
FIRM200,SME,Amuwo-Odofin,5,90,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM201,SME,Amuwo-Odofin,10,160,50M-500M,Foreign-owned,True,False,True,True,False,3,True,Food Processing (NACE 10)
FIRM202,SME,Ikeja,8,115,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM203,SME,Ikeja,16,63,<50M,Joint venture,True,True,False,True,False,5,True,Food Processing (NACE 10)
FIRM204,SME,Ikorodu,11,38,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM205,SME,Oshodi/Isolo,11,98,<50M,Local,True,True,True,True,True,7,True,Food Processing (NACE 10)
FIRM206,SME,Ikeja,7,79,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM207,SME,Ikeja,6,112,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM208,SME,Amuwo-Odofin,6,94,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM209,SME,Ikeja,11,125,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM210,SME,Ikeja,6,41,50M-500M,Local,True,True,False,False,False,7,True,Food Processing (NACE 10)
FIRM211,SME,Oshodi/Isolo,11,151,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM212,SME,Amuwo-Odofin,21,69,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM213,SME,Amuwo-Odofin,14,250,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM214,SME,Ikeja,7,37,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM215,SME,Amuwo-Odofin,16,202,50M-500M,Joint venture,True,False,True,True,False,10,True,Food Processing (NACE 10)
FIRM216,SME,Ikeja,7,69,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM217,SME,Apapa,1,38,<50M,Local,True,True,True,False,False,13,True,Food Processing (NACE 10)
FIRM218,SME,Amuwo-Odofin,3,43,500M-5B,Local,True,True,True,False,False,8,True,Food Processing (NACE 10)
FIRM219,SME,Amuwo-Odofin,1,48,50M-500M,Local,True,False,False,True,False,5,True,Food Processing (NACE 10)
FIRM220,SME,Ikorodu,7,81,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM221,SME,Amuwo-Odofin,9,87,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM222,SME,Oshodi/Isolo,19,40,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM223,SME,Ikeja,11,59,50M-500M,Local,True,True,False,False,False,2,True,Food Processing (NACE 10)
FIRM224,SME,Apapa,8,250,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM225,SME,Apapa,14,201,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM226,SME,Ikeja,1,81,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM227,SME,Ibeju-Lekki,10,62,<50M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM228,SME,Apapa,14,65,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM229,SME,Ikorodu,1,92,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM230,SME,Amuwo-Odofin,16,29,<50M,Local,True,True,True,False,False,11,True,Food Processing (NACE 10)
FIRM231,SME,Ikorodu,11,50,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM232,SME,Oshodi/Isolo,7,19,50M-500M,Local,True,False,False,True,False,6,True,Food Processing (NACE 10)
FIRM233,SME,Oshodi/Isolo,13,79,50M-500M,Local,True,False,False,False,True,6,True,Food Processing (NACE 10)
FIRM234,SME,Oshodi/Isolo,23,94,50M-500M,Local,True,True,False,True,True,6,True,Food Processing (NACE 10)
FIRM235,SME,Ikeja,10,43,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM236,SME,Amuwo-Odofin,10,181,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM237,SME,Apapa,6,25,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM238,SME,Ikeja,4,22,<50M,Local,True,True,True,True,False,7,True,Food Processing (NACE 10)
FIRM239,SME,Amuwo-Odofin,14,70,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM240,SME,Ikeja,4,125,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
