Sample_ID,Mix_ID,Temperature,Rubber_Content,Replicate,Field_Of_View,Analysis_Type,Measurement_Scale,Magnification,Porosity_Percent,Pore_Mean_Diameter_um,Pore_Diameter_StdDev_um,Pore_Count_Per_mm2,Crack_Density_mm_per_mm2,Crack_Mean_Width_um,Interface_Quality_Score,Aggregate_Bond_Quality_Score,Rubber_Particle_Count,Rubber_Morphology,CH_Crystallinity_Percent,CSH_Integrity_Score,Microcrack_Density_per_mm2,Surface_Roughness_Ra_um
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,3,SEM,Micro,5000,6.95,26.49,10.65,347,0.773,0.25,75.0,88.2,0,Partially Melted,72.8,90.1,0.98,1.85
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,4,SEM,Micro,500,6.9,27.06,11.92,344,0.873,0.12,81.4,85.0,0,Partially Melted,73.3,90.3,1.04,1.92
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,5,SEM,Micro,2000,7.05,28.04,9.87,352,0.0,0.17,83.0,84.3,0,Partially Melted,72.0,92.2,2.09,1.86
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,1,SEM,Micro,2000,9.68,34.13,13.86,483,1.418,0.63,74.8,79.0,0,Decomposed,65.5,86.6,1.33,2.41
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,2,SEM,Micro,2000,8.49,36.66,13.94,424,0.687,0.41,69.5,83.2,0,Decomposed,68.9,84.4,2.77,2.63
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,3,SEM,Micro,5000,9.77,34.78,14.31,488,1.457,0.44,72.9,80.0,0,Decomposed,67.8,80.2,2.15,2.26
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,4,SEM,Micro,5000,9.72,33.6,13.3,485,1.07,0.45,71.0,80.9,0,Decomposed,64.4,78.4,2.22,2.02
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,5,SEM,Micro,500,9.18,36.14,15.43,459,1.473,0.72,73.9,79.7,0,Decomposed,67.3,81.7,2.67,2.5
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,1,SEM,Micro,2000,9.69,33.64,14.61,484,1.137,0.4,72.7,80.7,0,Decomposed,73.2,83.5,2.6,2.39
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,2,SEM,Micro,5000,9.31,32.86,13.0,465,1.286,0.58,73.9,77.8,0,Decomposed,62.9,86.3,2.5,2.39
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,3,SEM,Micro,2000,9.64,34.82,14.86,481,1.079,0.56,75.2,74.8,0,Decomposed,65.5,84.3,3.11,2.39
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,4,SEM,Micro,2000,8.83,31.54,14.06,441,1.516,0.48,72.9,75.7,0,Decomposed,66.0,86.5,3.45,2.56
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,5,SEM,Micro,2000,8.9,37.84,15.6,445,1.426,0.27,74.9,80.8,0,Decomposed,63.4,84.0,1.47,2.59
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,1,SEM,Micro,500,8.53,33.97,12.53,426,1.231,0.64,70.5,81.0,0,Decomposed,65.9,80.1,2.53,2.38
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,2,SEM,Micro,500,7.93,36.03,13.19,396,0.902,0.49,70.7,80.2,0,Decomposed,73.4,81.4,1.97,2.71
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,3,SEM,Micro,500,8.69,33.53,13.99,434,1.086,0.32,77.2,79.4,0,Decomposed,65.6,75.9,2.7,2.3
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,4,SEM,Micro,500,9.24,36.3,13.35,461,0.752,0.54,71.5,80.5,0,Decomposed,63.6,77.8,2.6,2.92
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,5,SEM,Micro,500,9.44,34.98,15.47,472,1.273,0.37,75.5,81.1,0,Decomposed,64.4,81.9,2.86,2.43
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,1,SEM,Micro,2000,10.29,43.69,15.4,514,1.869,0.91,63.7,77.4,0,Fully Volatilized,42.7,74.3,4.2,3.33
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,2,SEM,Micro,1000,11.14,41.05,15.89,556,2.033,1.03,70.3,78.2,0,Fully Volatilized,47.5,71.5,4.07,2.99
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,3,SEM,Micro,500,11.92,43.03,17.0,596,1.917,1.11,66.3,76.8,0,Fully Volatilized,34.4,71.5,2.68,3.58
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,4,SEM,Micro,1000,10.71,44.17,16.54,535,2.034,1.22,61.3,73.4,0,Fully Volatilized,45.7,73.1,3.47,3.74
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,5,SEM,Micro,1000,10.75,40.02,16.19,537,1.981,1.08,67.6,76.0,0,Fully Volatilized,45.2,72.0,3.41,2.53
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,1,SEM,Micro,2000,11.18,41.96,17.73,559,1.8,1.2,64.9,70.5,0,Fully Volatilized,48.1,71.2,2.82,3.57
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,2,SEM,Micro,1000,11.34,37.82,12.84,567,2.305,1.18,64.5,73.2,0,Fully Volatilized,45.4,73.7,4.28,3.31
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,3,SEM,Micro,500,11.12,41.58,15.78,556,2.124,0.87,66.4,74.0,0,Fully Volatilized,45.3,74.8,3.79,2.94
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,4,SEM,Micro,5000,10.61,38.11,15.3,530,2.627,0.85,72.2,77.8,0,Fully Volatilized,40.5,73.8,3.68,2.72
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,5,SEM,Micro,500,11.14,40.38,15.64,557,1.926,1.13,64.5,70.4,0,Fully Volatilized,43.8,81.7,4.18,2.95
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,1,SEM,Micro,2000,10.56,42.91,16.56,528,2.266,0.91,65.3,75.8,0,Fully Volatilized,40.9,70.0,3.2,2.7
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,2,SEM,Micro,1000,11.76,42.18,16.45,588,1.571,0.75,67.9,75.1,0,Fully Volatilized,36.4,69.9,3.83,3.5
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,3,SEM,Micro,5000,11.24,39.44,16.82,561,1.666,0.86,64.8,75.2,0,Fully Volatilized,35.4,73.6,3.96,2.99
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,4,SEM,Micro,500,10.92,42.5,17.16,545,1.672,1.02,64.7,76.3,0,Fully Volatilized,42.3,74.2,3.03,3.73
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,5,SEM,Micro,5000,11.15,44.83,18.97,557,1.575,1.36,70.1,73.9,0,Fully Volatilized,25.0,72.7,3.87,2.79
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,1,SEM,Micro,500,12.61,47.78,20.86,630,2.781,1.69,61.4,67.7,0,Fully Volatilized,0.0,66.5,5.86,4.18
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,2,SEM,Micro,1000,13.62,50.84,20.06,681,2.183,1.41,59.5,72.7,0,Fully Volatilized,3.8,66.0,5.44,3.5
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,3,SEM,Micro,5000,12.59,52.63,19.3,629,2.727,1.29,62.5,65.7,0,Fully Volatilized,0.0,63.4,5.08,3.61
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,4,SEM,Micro,1000,12.99,50.67,20.2,649,2.097,1.76,60.2,68.4,0,Fully Volatilized,8.1,66.9,4.4,4.01
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,5,SEM,Micro,2000,13.17,48.92,18.79,658,2.559,1.35,60.8,66.6,0,Fully Volatilized,5.1,66.4,4.55,3.64
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,1,SEM,Micro,1000,12.55,51.69,20.58,627,3.189,1.68,60.5,72.8,0,Fully Volatilized,0.0,59.4,4.51,3.86
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,2,SEM,Micro,1000,13.1,47.13,19.43,654,2.043,1.38,62.7,68.2,0,Fully Volatilized,2.9,59.7,5.26,3.95
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,3,SEM,Micro,5000,12.98,47.76,19.4,648,1.984,1.54,59.4,70.7,0,Fully Volatilized,0.0,58.6,4.82,3.99
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,4,SEM,Micro,2000,13.89,48.75,21.31,694,2.712,1.42,61.3,71.9,0,Fully Volatilized,3.1,60.3,5.49,3.76
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,5,SEM,Micro,2000,13.11,53.89,22.25,655,2.886,1.62,61.9,70.1,0,Fully Volatilized,0.1,65.8,5.37,4.33
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,1,SEM,Micro,5000,13.07,50.89,20.14,653,2.839,1.49,59.1,71.8,0,Fully Volatilized,0.0,66.5,5.51,3.98
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,2,SEM,Micro,5000,11.74,52.6,22.48,586,1.929,1.53,62.8,72.5,0,Fully Volatilized,4.2,57.1,5.36,4.03
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,3,SEM,Micro,1000,13.53,48.97,21.0,676,3.19,1.45,59.1,72.9,0,Fully Volatilized,7.9,63.4,5.0,3.95
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,4,SEM,Micro,2000,13.39,49.1,20.31,669,2.984,1.57,59.5,68.1,0,Fully Volatilized,0.0,66.7,4.23,4.92
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,5,SEM,Micro,1000,12.67,52.33,22.55,633,2.029,1.51,59.0,68.8,0,Fully Volatilized,2.8,63.1,5.26,4.48
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,1,SEM,Micro,2000,8.45,38.88,16.18,563,0.83,0.0,79.3,84.3,147,Intact,75.0,98.9,-0.09,1.52
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,2,SEM,Micro,5000,8.51,38.84,17.08,567,0.633,0.0,77.9,86.9,147,Intact,75.4,99.9,0.25,1.46
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,3,SEM,Micro,5000,7.92,40.17,16.11,528,0.0,0.0,80.9,87.8,147,Intact,80.1,100.0,-0.63,1.49
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,4,SEM,Micro,1000,8.53,42.49,17.93,568,0.22,0.0,79.9,89.1,147,Intact,76.0,100.0,0.35,1.34
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,5,SEM,Micro,5000,8.5,41.56,16.58,566,0.261,0.0,78.0,89.0,147,Intact,79.2,99.9,0.28,1.43
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,1,SEM,Micro,5000,7.73,43.37,17.99,515,0.743,0.0,78.5,88.1,147,Intact,75.3,100.0,0.01,1.59
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,2,SEM,Micro,1000,8.68,40.47,15.63,578,0.241,0.0,80.1,86.5,147,Intact,73.8,100.0,-0.05,1.45
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,3,SEM,Micro,500,8.59,40.82,16.2,572,0.0,0.0,80.6,89.9,147,Intact,69.4,97.7,0.23,1.59
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,4,SEM,Micro,1000,8.13,43.63,17.92,542,0.267,0.0,78.1,87.0,147,Intact,69.0,97.2,0.07,1.48
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,5,SEM,Micro,5000,7.78,44.76,17.82,518,0.429,0.0,79.8,88.6,147,Intact,76.2,100.0,0.44,1.39
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,1,SEM,Micro,1000,9.23,44.88,18.32,615,0.0,0.0,78.0,86.8,147,Intact,70.6,100.0,-0.13,1.57
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,2,SEM,Micro,500,8.27,41.82,16.56,551,0.0,0.0,84.1,86.7,147,Intact,77.6,95.6,0.66,1.55
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,3,SEM,Micro,1000,8.24,41.97,15.32,549,0.067,0.0,81.5,86.4,147,Intact,77.6,99.2,-0.31,1.39
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,4,SEM,Micro,1000,9.31,43.16,16.69,620,0.266,0.0,81.9,89.6,147,Intact,74.7,97.0,0.82,1.51
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,5,SEM,Micro,5000,8.24,46.7,19.33,549,0.687,0.0,81.8,88.6,147,Intact,72.8,98.8,0.0,1.46
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,1,SEM,Micro,2000,10.73,53.94,22.2,715,1.089,0.44,72.7,81.5,131,Partially Melted,73.5,87.9,1.78,2.0
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,2,SEM,Micro,1000,10.54,55.96,21.97,702,1.089,0.0,75.7,84.8,131,Partially Melted,71.3,96.0,1.61,2.3
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,3,SEM,Micro,2000,12.09,54.08,22.71,806,0.738,0.0,74.7,84.6,131,Partially Melted,66.5,95.7,2.19,2.24
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,4,SEM,Micro,1000,10.89,58.31,21.79,726,0.334,0.22,67.7,84.1,131,Partially Melted,70.9,89.0,1.42,2.3
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,5,SEM,Micro,5000,10.13,55.47,21.03,675,0.846,0.06,72.7,84.9,131,Partially Melted,67.5,94.6,1.15,1.79
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,1,SEM,Micro,5000,10.97,55.87,22.05,731,0.174,0.0,76.8,82.2,131,Partially Melted,70.8,87.8,2.25,2.26
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,2,SEM,Micro,1000,11.08,54.3,21.4,738,1.373,0.06,73.8,85.4,131,Partially Melted,72.0,90.5,1.4,1.83
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,3,SEM,Micro,5000,11.56,55.38,21.26,770,0.486,0.24,76.9,82.9,131,Partially Melted,71.5,92.5,0.45,2.7
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,4,SEM,Micro,2000,10.81,55.81,21.38,720,0.943,0.04,71.6,85.5,131,Partially Melted,70.8,92.9,1.04,2.07
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,5,SEM,Micro,500,11.35,55.37,22.31,756,0.629,0.04,74.2,83.6,131,Partially Melted,72.8,94.2,1.65,1.93
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,1,SEM,Micro,1000,11.22,55.66,22.58,747,0.877,0.24,73.8,82.8,131,Partially Melted,74.1,94.8,0.89,2.25
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,2,SEM,Micro,500,11.05,52.06,19.93,736,0.348,0.17,75.6,86.5,131,Partially Melted,65.2,94.5,0.72,2.02
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,3,SEM,Micro,1000,10.6,53.8,21.69,706,0.54,0.16,76.0,78.8,131,Partially Melted,69.2,91.4,2.06,1.74
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,4,SEM,Micro,5000,11.34,50.17,19.53,755,1.237,0.05,73.3,87.0,131,Partially Melted,70.4,95.0,1.88,2.14
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,5,SEM,Micro,5000,11.3,54.87,21.2,753,0.666,0.0,72.7,81.4,131,Partially Melted,67.9,91.8,2.2,2.14
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,1,SEM,Micro,500,14.26,70.63,28.19,950,1.527,0.79,64.8,79.4,75,Decomposed,70.3,80.5,3.7,2.81
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,2,SEM,Micro,1000,14.21,70.13,28.52,947,1.542,0.77,66.6,77.8,75,Decomposed,68.7,84.0,2.35,3.04
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,3,SEM,Micro,2000,14.37,70.63,29.76,958,1.243,0.43,67.2,79.2,75,Decomposed,70.6,84.2,2.58,3.44
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,4,SEM,Micro,1000,13.91,70.62,28.88,927,1.624,0.56,65.6,78.4,75,Decomposed,67.1,85.4,4.11,3.04
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,5,SEM,Micro,1000,13.82,71.33,26.98,921,1.315,0.87,69.3,77.5,75,Decomposed,68.7,86.1,2.19,2.99
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,1,SEM,Micro,1000,13.95,68.58,26.84,929,1.441,0.48,65.9,77.1,75,Decomposed,69.6,85.6,3.05,2.52
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,2,SEM,Micro,500,14.87,67.29,26.73,991,1.457,0.51,61.9,77.1,75,Decomposed,65.0,83.0,3.27,2.57
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,3,SEM,Micro,500,14.58,67.17,26.76,972,1.229,0.48,68.3,80.5,75,Decomposed,69.3,79.2,2.84,3.08
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,4,SEM,Micro,5000,14.88,71.55,27.46,992,1.429,0.53,66.7,79.0,75,Decomposed,68.0,89.9,2.46,2.58
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,5,SEM,Micro,2000,14.15,69.52,27.9,943,1.712,0.46,62.6,82.6,75,Decomposed,64.1,85.0,3.02,3.31
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,1,SEM,Micro,2000,15.45,70.05,25.55,1029,1.766,0.24,68.8,80.5,75,Decomposed,72.8,83.3,2.67,3.11
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,2,SEM,Micro,1000,14.41,68.49,27.93,960,1.23,0.59,65.8,80.5,75,Decomposed,68.9,82.4,3.41,2.91
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,3,SEM,Micro,2000,14.44,71.02,29.41,962,1.482,0.43,62.7,78.4,75,Decomposed,68.2,79.6,1.56,2.92
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,4,SEM,Micro,500,14.64,68.41,27.91,976,1.115,0.44,66.7,77.0,75,Decomposed,67.3,80.8,2.79,2.63
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,5,SEM,Micro,5000,14.93,71.1,27.52,995,1.956,0.79,64.4,76.8,75,Decomposed,65.7,81.0,1.72,3.1
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,1,SEM,Micro,2000,17.07,84.55,32.65,1137,1.709,1.26,60.3,72.2,37,Fully Volatilized,29.9,72.1,4.7,3.03
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,2,SEM,Micro,500,18.27,85.83,35.41,1217,2.213,1.11,60.4,70.7,37,Fully Volatilized,34.1,73.7,3.9,3.57
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,3,SEM,Micro,5000,18.33,83.27,31.01,1222,2.117,1.05,54.2,73.9,37,Fully Volatilized,43.9,77.2,3.94,3.51
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,4,SEM,Micro,500,17.56,84.82,34.08,1170,2.426,1.25,53.9,73.1,37,Fully Volatilized,35.3,72.9,4.52,3.31
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,5,SEM,Micro,2000,17.98,83.64,35.47,1198,2.291,1.12,59.1,70.6,37,Fully Volatilized,38.0,77.4,4.17,3.36
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,1,SEM,Micro,500,18.35,87.49,32.79,1223,2.011,1.16,60.6,73.4,37,Fully Volatilized,39.4,75.9,3.87,3.4
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,2,SEM,Micro,5000,17.89,83.15,33.9,1192,2.617,1.09,58.8,76.2,37,Fully Volatilized,51.9,76.0,4.8,3.67
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,3,SEM,Micro,2000,17.3,84.52,33.03,1153,1.6,1.32,57.7,71.8,37,Fully Volatilized,43.9,75.3,4.65,3.88
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,4,SEM,Micro,2000,18.18,83.83,33.37,1212,2.335,1.14,62.0,74.3,37,Fully Volatilized,46.5,75.7,5.09,3.99
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,5,SEM,Micro,2000,17.35,85.59,32.52,1156,2.088,1.22,57.5,73.9,37,Fully Volatilized,42.8,75.4,4.75,3.84
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,1,SEM,Micro,1000,18.9,87.15,32.96,1260,2.274,1.45,60.0,74.0,37,Fully Volatilized,47.4,71.9,4.74,4.06
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,2,SEM,Micro,1000,17.87,86.08,34.77,1191,1.993,1.08,59.4,75.0,37,Fully Volatilized,48.4,71.2,3.9,3.74
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,3,SEM,Micro,2000,18.35,83.78,33.38,1223,2.254,1.06,60.0,73.1,37,Fully Volatilized,45.0,71.1,4.28,3.67
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,4,SEM,Micro,500,16.07,84.42,32.83,1071,2.613,1.27,57.8,72.6,37,Fully Volatilized,40.9,72.5,4.59,3.28
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,5,SEM,Micro,5000,18.86,84.41,33.89,1257,2.044,1.46,62.5,76.6,37,Fully Volatilized,47.6,71.9,4.91,3.97
C-10-28-R-800-Furnace-Rep1,C-10,800,10,1,1,SEM,Micro,500,20.29,100.91,39.55,1352,3.166,1.69,47.1,69.1,0,Fully Volatilized,1.8,63.3,5.96,4.28
C-10-28-R-800-Furnace-Rep1,C-10,800,10,1,2,SEM,Micro,500,21.76,101.26,39.48,1450,3.556,1.95,52.8,67.9,0,Fully Volatilized,0.0,63.9,6.54,4.49
C-10-28-R-800-Furnace-Rep1,C-10,800,10,1,3,SEM,Micro,500,21.02,101.02,39.55,1401,3.506,2.02,52.5,68.7,0,Fully Volatilized,0.0,66.6,5.82,4.51
