Sample_ID,Mix_ID,Temperature,Rubber_Content,Replicate,Analysis_Type,Measurement_Scale,Scan_Range_2Theta,Step_Size_deg,Counting_Time_sec,C3S_Alite_Percent,C2S_Belite_Percent,CH_Portlandite_Percent,CaCO3_Calcite_Percent,CaO_Quicklime_Percent,Ettringite_Percent,Quartz_Percent,Amorphous_Content_Percent,Crystallinity_Index,Peak_Intensity_CH_d001,Peak_Width_FWHM_deg,Lattice_Parameter_Variation_Percent
C-10-28-R-800-Furnace-Rep2,C-10,800,10,2,XRD,Bulk,5-70°,0.02,2.0,2.36,4.35,2.33,2.17,8.2,0.47,27.42,52.7,47.3,143,0.241,1.049
C-10-28-R-800-Furnace-Rep3,C-10,800,10,3,XRD,Bulk,5-70°,0.02,2.0,2.34,5.02,1.52,2.41,9.95,0.79,28.17,49.8,50.2,93,0.244,0.833
C-20-28-R-25-Furnace-Rep1,C-20,25,20,1,XRD,Bulk,5-70°,0.02,2.0,4.08,5.72,18.15,4.43,0.38,2.67,27.8,36.77,63.23,990,0.167,0.067
C-20-28-R-25-Furnace-Rep2,C-20,25,20,2,XRD,Bulk,5-70°,0.02,2.0,3.53,4.68,13.79,3.7,0.09,3.31,27.53,43.38,56.62,869,0.151,0.014
C-20-28-R-25-Furnace-Rep3,C-20,25,20,3,XRD,Bulk,5-70°,0.02,2.0,4.17,7.41,13.49,2.54,0.45,3.22,29.68,39.05,60.95,702,0.13,0.111
C-20-28-R-200-Furnace-Rep1,C-20,200,20,1,XRD,Bulk,5-70°,0.02,2.0,3.03,4.31,17.56,4.3,0.6,0.52,29.53,40.16,59.84,863,0.168,0.252
C-20-28-R-200-Furnace-Rep2,C-20,200,20,2,XRD,Bulk,5-70°,0.02,2.0,3.68,6.11,15.3,3.66,0.08,0.67,33.35,37.15,62.85,787,0.178,0.325
C-20-28-R-200-Furnace-Rep3,C-20,200,20,3,XRD,Bulk,5-70°,0.02,2.0,3.26,5.44,13.59,3.87,1.15,0.7,29.96,42.03,57.97,713,0.167,0.282
C-20-28-R-400-Furnace-Rep1,C-20,400,20,1,XRD,Bulk,5-70°,0.02,2.0,3.12,5.32,14.96,5.07,0.75,0.46,30.25,40.08,59.92,813,0.192,0.223
C-20-28-R-400-Furnace-Rep2,C-20,400,20,2,XRD,Bulk,5-70°,0.02,2.0,3.6,4.38,16.29,1.21,0.63,0.62,30.15,43.12,56.88,780,0.205,0.345
C-20-28-R-400-Furnace-Rep3,C-20,400,20,3,XRD,Bulk,5-70°,0.02,2.0,3.18,4.66,16.39,5.09,0.73,0.49,28.61,40.84,59.16,923,0.197,0.384
C-20-28-R-600-Furnace-Rep1,C-20,600,20,1,XRD,Bulk,5-70°,0.02,2.0,3.14,4.78,1.3,10.46,2.05,0.33,31.32,46.63,53.37,67,0.225,0.403
C-20-28-R-600-Furnace-Rep2,C-20,600,20,2,XRD,Bulk,5-70°,0.02,2.0,3.39,6.23,1.32,12.92,3.04,0.68,27.81,44.61,55.39,65,0.224,0.56
C-20-28-R-600-Furnace-Rep3,C-20,600,20,3,XRD,Bulk,5-70°,0.02,2.0,2.28,4.91,2.0,11.44,4.1,0.45,31.82,43.0,57.0,111,0.237,0.648
C-20-28-R-800-Furnace-Rep1,C-20,800,20,1,XRD,Bulk,5-70°,0.02,2.0,2.42,4.42,2.41,1.54,8.98,0.5,31.16,48.59,51.41,128,0.247,0.739
C-20-28-R-800-Furnace-Rep2,C-20,800,20,2,XRD,Bulk,5-70°,0.02,2.0,2.24,5.51,0.99,3.4,11.31,0.87,27.56,48.12,51.88,50,0.245,0.849
C-20-28-R-800-Furnace-Rep3,C-20,800,20,3,XRD,Bulk,5-70°,0.02,2.0,3.24,4.29,1.67,2.44,9.02,0.79,28.22,50.31,49.69,85,0.242,0.799
C-30-28-R-25-Furnace-Rep1,C-30,25,30,1,XRD,Bulk,5-70°,0.02,2.0,3.9,6.4,16.19,4.3,1.13,3.46,33.98,30.64,69.36,800,0.142,-0.123
C-30-28-R-25-Furnace-Rep2,C-30,25,30,2,XRD,Bulk,5-70°,0.02,2.0,3.35,7.45,18.53,4.01,0.25,3.14,30.32,32.96,67.04,873,0.144,0.019
C-30-28-R-25-Furnace-Rep3,C-30,25,30,3,XRD,Bulk,5-70°,0.02,2.0,4.39,4.67,17.29,4.16,0.91,3.67,32.76,32.15,67.85,769,0.149,0.125
C-30-28-R-200-Furnace-Rep1,C-30,200,30,1,XRD,Bulk,5-70°,0.02,2.0,4.37,6.67,17.43,4.07,0.5,0.61,33.64,32.72,67.28,983,0.172,0.333
C-30-28-R-200-Furnace-Rep2,C-30,200,30,2,XRD,Bulk,5-70°,0.02,2.0,3.1,7.5,17.36,3.35,0.79,1.02,31.11,35.76,64.24,789,0.174,0.255
C-30-28-R-200-Furnace-Rep3,C-30,200,30,3,XRD,Bulk,5-70°,0.02,2.0,4.19,6.14,20.57,4.06,0.56,0.23,29.29,34.96,65.04,1102,0.18,0.082
C-30-28-R-400-Furnace-Rep1,C-30,400,30,1,XRD,Bulk,5-70°,0.02,2.0,3.15,5.9,17.42,4.66,0.78,0.61,28.51,38.97,61.03,903,0.197,0.323
C-30-28-R-400-Furnace-Rep2,C-30,400,30,2,XRD,Bulk,5-70°,0.02,2.0,3.52,6.85,16.1,0.79,0.54,0.89,31.25,40.06,59.94,815,0.187,0.452
C-30-28-R-400-Furnace-Rep3,C-30,400,30,3,XRD,Bulk,5-70°,0.02,2.0,2.76,7.37,17.03,3.04,0.47,0.6,28.27,40.46,59.54,913,0.193,0.589
C-30-28-R-600-Furnace-Rep1,C-30,600,30,1,XRD,Bulk,5-70°,0.02,2.0,2.8,5.62,1.43,11.66,4.15,0.15,32.29,41.9,58.1,78,0.214,0.635
C-30-28-R-600-Furnace-Rep2,C-30,600,30,2,XRD,Bulk,5-70°,0.02,2.0,2.96,5.6,2.0,12.43,5.79,0.77,26.23,44.21,55.79,115,0.257,0.488
C-30-28-R-600-Furnace-Rep3,C-30,600,30,3,XRD,Bulk,5-70°,0.02,2.0,3.33,4.14,2.44,12.18,7.0,0.47,27.0,43.42,56.58,106,0.233,0.393
C-30-28-R-800-Furnace-Rep1,C-30,800,30,1,XRD,Bulk,5-70°,0.02,2.0,2.77,3.72,1.76,3.7,11.62,0.43,30.07,45.94,54.06,91,0.236,0.859
C-30-28-R-800-Furnace-Rep2,C-30,800,30,2,XRD,Bulk,5-70°,0.02,2.0,1.57,4.96,1.71,3.15,11.59,0.3,28.6,48.13,51.87,83,0.244,0.752
C-30-28-R-800-Furnace-Rep3,C-30,800,30,3,XRD,Bulk,5-70°,0.02,2.0,3.08,4.88,1.92,4.06,9.31,0.17,32.32,44.26,55.74,95,0.242,0.774
