Sample_ID,Mix_ID,Temperature,Rubber_Content,Replicate,Analysis_Type,Measurement_Scale,Voxel_Size_um,Scan_Volume_mm3,Total_Porosity_3D_Percent,Connected_Porosity_Percent,Isolated_Porosity_Percent,Connectivity_Ratio,Pore_Count_Total,Pore_Volume_Mean_um3,Pore_Volume_StdDev_um3,Pore_Sphericity_Mean,Pore_Elongation_Index,Crack_Volume_Fraction_Percent,Crack_Network_Length_mm,Tortuosity_Factor,Specific_Surface_Area_mm2_per_mm3,Anisotropy_Index,Rubber_Particle_Volume_Percent,Rubber_Particle_Count,Rubber_Distribution_Uniformity,Interface_Area_Density_mm2_per_mm3,Damage_Parameter_Percent,Fractal_Dimension,Euler_Number
C-20-28-R-400-Furnace-Rep2,C-20,400,20,2,MicroCT,Meso,10,512,24.95,20.06,4.89,0.804,20791,194.8,116.9,0.566,0.767,0.548,10.83,2.28,1.134,1.347,10.53,2800,0.627,2.635,12.94,2.679,-4158
C-20-28-R-400-Furnace-Rep3,C-20,400,20,3,MicroCT,Meso,10,512,25.35,19.9,5.44,0.785,21122,197.0,118.2,0.535,0.867,0.662,12.56,2.296,1.078,1.313,10.81,2800,0.668,2.85,15.76,2.709,-4224
C-20-28-R-600-Furnace-Rep1,C-20,600,20,1,MicroCT,Meso,10,512,30.93,26.6,4.34,0.86,25778,242.5,145.5,0.541,0.85,0.853,16.84,2.57,1.342,1.2,0.0,0,,2.875,22.77,2.726,-5155
C-20-28-R-600-Furnace-Rep2,C-20,600,20,2,MicroCT,Meso,10,512,29.79,25.37,4.42,0.852,24822,232.3,139.4,0.539,0.855,0.879,15.77,2.696,1.306,1.36,0.0,0,,2.56,25.15,2.75,-4964
C-20-28-R-600-Furnace-Rep3,C-20,600,20,3,MicroCT,Meso,10,512,30.5,26.69,3.82,0.875,25417,245.5,147.3,0.516,0.936,0.864,15.01,2.491,1.302,1.363,0.0,0,,3.054,23.24,2.705,-5083
C-20-28-R-800-Furnace-Rep1,C-20,800,20,1,MicroCT,Meso,10,512,35.68,33.23,2.45,0.931,29732,277.5,166.5,0.538,0.857,1.067,19.34,2.972,1.52,1.467,0.0,0,,2.968,32.44,2.812,-5946
C-20-28-R-800-Furnace-Rep2,C-20,800,20,2,MicroCT,Meso,10,512,35.29,31.9,3.39,0.904,29408,290.1,174.1,0.524,0.909,1.135,20.31,2.803,1.616,1.434,0.0,0,,2.369,33.23,2.86,-5881
C-20-28-R-800-Furnace-Rep3,C-20,800,20,3,MicroCT,Meso,10,512,35.34,26.78,8.56,0.758,29452,286.4,171.8,0.509,0.966,0.964,18.24,2.802,1.721,1.418,0.0,0,,2.98,30.37,2.791,-5890
C-30-28-R-25-Furnace-Rep1,C-30,25,30,1,MicroCT,Meso,10,512,18.72,12.87,5.84,0.688,18715,132.2,79.3,0.555,0.802,0.026,-0.68,1.711,0.757,1.112,20.4,5887,0.781,3.101,0.98,2.474,-3743
C-30-28-R-25-Furnace-Rep2,C-30,25,30,2,MicroCT,Meso,10,512,18.72,11.75,6.96,0.628,18717,129.1,77.5,0.566,0.765,0.183,2.04,1.796,0.771,1.114,24.46,5887,0.704,3.061,0.6,2.466,-3743
C-30-28-R-25-Furnace-Rep3,C-30,25,30,3,MicroCT,Meso,10,512,19.25,13.36,5.89,0.694,19251,132.0,79.2,0.541,0.847,0.0,1.59,1.836,0.73,1.221,23.6,5887,0.784,3.185,-1.01,2.45,-3850
C-30-28-R-200-Furnace-Rep1,C-30,200,30,1,MicroCT,Meso,10,512,25.35,20.12,5.24,0.793,25352,177.9,106.8,0.528,0.895,0.278,6.92,2.024,1.03,1.242,18.59,5100,0.704,3.137,8.47,2.602,-5070
C-30-28-R-200-Furnace-Rep2,C-30,200,30,2,MicroCT,Meso,10,512,23.69,17.44,6.25,0.736,23693,184.7,110.8,0.539,0.854,0.063,5.88,2.355,0.989,1.282,21.57,5100,0.817,3.174,10.65,2.568,-4738
C-30-28-R-200-Furnace-Rep3,C-30,200,30,3,MicroCT,Meso,10,512,24.71,17.82,6.89,0.721,24714,184.1,110.4,0.484,1.064,0.317,4.51,1.932,0.972,1.273,20.02,5100,0.674,3.615,11.47,2.587,-4942
C-30-28-R-400-Furnace-Rep1,C-30,400,30,1,MicroCT,Meso,10,512,31.64,24.49,7.14,0.774,31635,243.3,146.0,0.513,0.949,0.582,10.73,2.497,1.275,1.419,14.32,4200,0.674,3.126,16.55,2.73,-6327
C-30-28-R-400-Furnace-Rep2,C-30,400,30,2,MicroCT,Meso,10,512,32.14,27.53,4.6,0.857,32136,245.9,147.5,0.463,1.158,0.593,11.11,2.388,1.172,1.35,13.07,4200,0.594,3.134,18.71,2.599,-6427
C-30-28-R-400-Furnace-Rep3,C-30,400,30,3,MicroCT,Meso,10,512,31.38,25.31,6.08,0.806,31383,253.2,151.9,0.528,0.894,0.6,10.23,2.285,1.238,1.309,14.82,4200,0.716,3.165,17.82,2.661,-6276
C-30-28-R-600-Furnace-Rep1,C-30,600,30,1,MicroCT,Meso,10,512,39.64,34.43,5.2,0.869,39637,319.3,191.6,0.514,0.946,1.141,16.8,2.731,1.517,1.496,0.0,0,,3.089,25.25,2.737,-7927
C-30-28-R-600-Furnace-Rep2,C-30,600,30,2,MicroCT,Meso,10,512,38.23,33.65,4.57,0.88,38225,318.0,190.8,0.409,1.443,1.128,18.23,2.812,1.465,1.452,0.0,0,,3.001,28.71,2.655,-7645
C-30-28-R-600-Furnace-Rep3,C-30,600,30,3,MicroCT,Meso,10,512,39.35,34.52,4.83,0.877,39352,312.9,187.7,0.453,1.207,1.15,17.49,2.804,1.451,1.358,0.0,0,,2.923,27.12,2.788,-7870
C-30-28-R-800-Furnace-Rep1,C-30,800,30,1,MicroCT,Meso,10,512,46.47,44.15,2.32,0.95,46473,376.6,226.0,0.408,1.449,1.28,22.88,3.106,1.747,1.525,0.0,0,,2.936,32.94,2.815,-9294
C-30-28-R-800-Furnace-Rep2,C-30,800,30,2,MicroCT,Meso,10,512,45.61,42.79,2.82,0.938,45606,370.3,222.2,0.484,1.068,1.271,21.53,3.145,1.826,1.496,0.0,0,,2.798,30.83,2.731,-9121
C-30-28-R-800-Furnace-Rep3,C-30,800,30,3,MicroCT,Meso,10,512,46.83,44.49,2.34,0.95,46827,376.9,226.2,0.383,1.608,1.18,22.78,3.089,1.764,1.493,0.0,0,,3.113,38.27,2.803,-9365
