pore_diameter_um,d_porosity_d_log10D,cumulative_porosity_pct
49.945051,0.0,16.0
52.310993,0.0,16.0
54.789012,0.0,16.0
57.384416,0.0,16.0
60.102768,0.0,16.0
62.94989,0.0,16.0
65.931883,0.0,16.0
69.055135,0.0,16.0
72.326339,0.0,16.0
75.752503,0.0,16.0
79.340967,0.0,16.0
83.099419,0.0,16.0
87.035914,0.0,16.0
91.158883,0.0,16.0
95.477161,0.0,16.0
100.0,0.0,16.0
