Mix_ID,Temperature_C,Data_Type,Property_Type,Moisture_Diffusivity_Mean_m2_s,Moisture_Diffusivity_Std_m2_s,Sorption_Capacity_Mean_kg_kg,Sorption_Capacity_Std_kg_kg,Moisture_Permeability_kg_m_s_Pa,Rubber_Content_Percent,Particle_Size
C,400,Calibration,Transport,4.27e-09,9.39e-10,0.02011,0.00362,8.58e-08,0.0,small
C,410,Calibration,Transport,4.74e-09,1.04e-09,0.01976,0.00356,9.37e-08,0.0,small
C,420,Calibration,Transport,5.22e-09,1.15e-09,0.01942,0.00349,1.01e-07,0.0,small
C,430,Validation,Transport,5.74e-09,1.26e-09,0.01908,0.00343,1.09e-07,0.0,small
C,440,Validation,Transport,6.28e-09,1.38e-09,0.01875,0.00338,1.18e-07,0.0,small
C,450,Calibration,Transport,6.86e-09,1.51e-09,0.01843,0.00332,1.26e-07,0.0,small
C,460,Calibration,Transport,7.48e-09,1.65e-09,0.01812,0.00326,1.36e-07,0.0,small
C,470,Calibration,Transport,8.13e-09,1.79e-09,0.01781,0.00321,1.45e-07,0.0,small
C,480,Calibration,Transport,8.83e-09,1.94e-09,0.01752,0.00315,1.55e-07,0.0,small
C,490,Calibration,Transport,9.57e-09,2.11e-09,0.01722,0.0031,1.65e-07,0.0,small
C,500,Validation,Transport,1.04e-08,2.28e-09,0.01694,0.00305,1.75e-07,0.0,small
C,510,Calibration,Transport,1.12e-08,2.46e-09,0.01666,0.003,1.86e-07,0.0,small
C,520,Validation,Transport,1.20e-08,2.65e-09,0.01638,0.00295,1.97e-07,0.0,small
C,530,Calibration,Transport,1.30e-08,2.85e-09,0.01611,0.0029,2.09e-07,0.0,small
C,540,Calibration,Transport,1.39e-08,3.07e-09,0.01585,0.00285,2.21e-07,0.0,small
C,550,Calibration,Transport,1.50e-08,3.29e-09,0.01559,0.00281,2.33e-07,0.0,small
C,560,Validation,Transport,1.60e-08,3.53e-09,0.01534,0.00276,2.46e-07,0.0,small
C,570,Validation,Transport,1.72e-08,3.77e-09,0.01509,0.00272,2.59e-07,0.0,small
C,580,Validation,Transport,1.83e-08,4.03e-09,0.01485,0.00267,2.72e-07,0.0,small
C,590,Calibration,Transport,1.96e-08,4.30e-09,0.01462,0.00263,2.86e-07,0.0,small
C,600,Calibration,Transport,2.09e-08,4.59e-09,0.01438,0.00259,3.00e-07,0.0,small
C,610,Validation,Transport,2.22e-08,4.89e-09,0.01416,0.00255,3.14e-07,0.0,small
C,620,Calibration,Transport,2.36e-08,5.20e-09,0.01393,0.00251,3.29e-07,0.0,small
C,630,Calibration,Transport,2.51e-08,5.52e-09,0.01371,0.00247,3.44e-07,0.0,small
C,640,Calibration,Transport,2.66e-08,5.86e-09,0.0135,0.00243,3.60e-07,0.0,small
C,650,Validation,Transport,2.82e-08,6.21e-09,0.01329,0.00239,3.75e-07,0.0,small
C,660,Validation,Transport,2.99e-08,6.58e-09,0.01308,0.00235,3.91e-07,0.0,small
C,670,Calibration,Transport,3.17e-08,6.96e-09,0.01288,0.00232,4.08e-07,0.0,small
C,680,Validation,Transport,3.35e-08,7.36e-09,0.01268,0.00228,4.24e-07,0.0,small
C,690,Validation,Transport,3.53e-08,7.78e-09,0.01249,0.00225,4.41e-07,0.0,small
C,700,Calibration,Transport,3.73e-08,8.20e-09,0.0123,0.00221,4.59e-07,0.0,small
C,710,Calibration,Transport,3.93e-08,8.65e-09,0.01211,0.00218,4.76e-07,0.0,small
C,720,Validation,Transport,4.14e-08,9.11e-09,0.01192,0.00215,4.94e-07,0.0,small
C,730,Calibration,Transport,4.36e-08,9.59e-09,0.01174,0.00211,5.12e-07,0.0,small
C,740,Calibration,Transport,4.58e-08,1.01e-08,0.01157,0.00208,5.30e-07,0.0,small
C,750,Calibration,Transport,4.82e-08,1.06e-08,0.01139,0.00205,5.49e-07,0.0,small
C,760,Validation,Transport,5.06e-08,1.11e-08,0.01122,0.00202,5.68e-07,0.0,small
C,770,Validation,Transport,5.31e-08,1.17e-08,0.01105,0.00199,5.87e-07,0.0,small
C,780,Validation,Transport,5.57e-08,1.22e-08,0.01089,0.00196,6.06e-07,0.0,small
C,790,Calibration,Transport,5.83e-08,1.28e-08,0.01073,0.00193,6.26e-07,0.0,small
C,800,Validation,Transport,6.11e-08,1.34e-08,0.01057,0.0019,6.45e-07,0.0,small
R5S,20,Validation,Transport,2.95e-12,6.49e-13,0.04365,0.00786,1.29e-10,10.0,small
R5S,30,Calibration,Transport,4.40e-12,9.68e-13,0.04246,0.00764,1.87e-10,10.0,small
R5S,40,Validation,Transport,6.42e-12,1.41e-12,0.04132,0.00744,2.65e-10,10.0,small
R5S,50,Calibration,Transport,9.16e-12,2.01e-12,0.04024,0.00724,3.68e-10,10.0,small
R5S,60,Calibration,Transport,1.28e-11,2.82e-12,0.0392,0.00706,5.02e-10,10.0,small
R5S,70,Calibration,Transport,1.76e-11,3.87e-12,0.03821,0.00688,6.73e-10,10.0,small
R5S,80,Calibration,Transport,2.38e-11,5.24e-12,0.03725,0.00671,8.87e-10,10.0,small
R5S,90,Calibration,Transport,3.17e-11,6.98e-12,0.03634,0.00654,1.15e-09,10.0,small
R5S,100,Calibration,Transport,4.16e-11,9.16e-12,0.03546,0.00638,1.48e-09,10.0,small
R5S,110,Calibration,Transport,5.55e-11,1.22e-11,0.03461,0.00623,1.92e-09,10.0,small
R5S,120,Validation,Transport,7.19e-11,1.58e-11,0.0338,0.00608,2.43e-09,10.0,small
R5S,130,Calibration,Transport,9.16e-11,2.02e-11,0.03302,0.00594,3.03e-09,10.0,small
R5S,140,Calibration,Transport,1.15e-10,2.54e-11,0.03226,0.00581,3.72e-09,10.0,small
R5S,150,Calibration,Transport,1.44e-10,3.17e-11,0.03153,0.00568,4.54e-09,10.0,small
R5S,160,Validation,Transport,1.78e-10,3.91e-11,0.03083,0.00555,5.48e-09,10.0,small
R5S,170,Calibration,Transport,2.18e-10,4.79e-11,0.03015,0.00543,6.56e-09,10.0,small
R5S,180,Calibration,Transport,2.64e-10,5.82e-11,0.02949,0.00531,7.80e-09,10.0,small
R5S,190,Validation,Transport,3.19e-10,7.01e-11,0.02885,0.00519,9.19e-09,10.0,small
R5S,200,Calibration,Transport,3.81e-10,8.39e-11,0.02824,0.00508,1.08e-08,10.0,small
R5S,210,Calibration,Transport,4.54e-10,9.98e-11,0.02764,0.00498,1.25e-08,10.0,small
R5S,220,Calibration,Transport,5.36e-10,1.18e-10,0.02706,0.00487,1.45e-08,10.0,small
R5S,230,Validation,Transport,6.29e-10,1.38e-10,0.0265,0.00477,1.67e-08,10.0,small
R5S,240,Calibration,Transport,7.35e-10,1.62e-10,0.02596,0.00467,1.91e-08,10.0,small
R5S,250,Validation,Transport,8.55e-10,1.88e-10,0.02543,0.00458,2.17e-08,10.0,small
R5S,260,Calibration,Transport,9.88e-10,2.17e-10,0.02492,0.00448,2.46e-08,10.0,small
R5S,270,Validation,Transport,1.14e-09,2.50e-10,0.02442,0.0044,2.78e-08,10.0,small
R5S,280,Validation,Transport,1.30e-09,2.87e-10,0.02393,0.00431,3.12e-08,10.0,small
R5S,290,Validation,Transport,1.49e-09,3.27e-10,0.02346,0.00422,3.49e-08,10.0,small
R5S,300,Calibration,Transport,1.69e-09,3.72e-10,0.023,0.00414,3.89e-08,10.0,small
R5S,310,Validation,Transport,1.92e-09,4.21e-10,0.02256,0.00406,4.32e-08,10.0,small
R5S,320,Calibration,Transport,2.16e-09,4.75e-10,0.02213,0.00398,4.78e-08,10.0,small
R5S,330,Calibration,Transport,2.43e-09,5.35e-10,0.0217,0.00391,5.27e-08,10.0,small
R5S,340,Calibration,Transport,2.72e-09,5.99e-10,0.02129,0.00383,5.80e-08,10.0,small
R5S,350,Validation,Transport,3.04e-09,6.69e-10,0.02089,0.00376,6.36e-08,10.0,small
R5S,360,Validation,Transport,3.39e-09,7.46e-10,0.0205,0.00369,6.95e-08,10.0,small
R5S,370,Validation,Transport,3.77e-09,8.28e-10,0.02012,0.00362,7.58e-08,10.0,small
R5S,380,Calibration,Transport,4.17e-09,9.18e-10,0.01975,0.00355,8.24e-08,10.0,small
R5S,390,Calibration,Transport,4.61e-09,1.01e-09,0.01939,0.00349,8.94e-08,10.0,small
R5S,400,Validation,Transport,5.08e-09,1.12e-09,0.01903,0.00343,9.67e-08,10.0,small
R5S,410,Calibration,Transport,5.65e-09,1.24e-09,0.01869,0.00336,1.06e-07,10.0,small
R5S,420,Calibration,Transport,6.22e-09,1.37e-09,0.01835,0.0033,1.14e-07,10.0,small
R5S,430,Calibration,Transport,6.83e-09,1.50e-09,0.01802,0.00324,1.23e-07,10.0,small
R5S,440,Calibration,Transport,7.48e-09,1.65e-09,0.0177,0.00319,1.32e-07,10.0,small
R5S,450,Calibration,Transport,8.18e-09,1.80e-09,0.01739,0.00313,1.42e-07,10.0,small
R5S,460,Calibration,Transport,8.92e-09,1.96e-09,0.01708,0.00307,1.52e-07,10.0,small
R5S,470,Calibration,Transport,9.70e-09,2.13e-09,0.01678,0.00302,1.63e-07,10.0,small
R5S,480,Calibration,Transport,1.05e-08,2.32e-09,0.01649,0.00297,1.74e-07,10.0,small
R5S,490,Validation,Transport,1.14e-08,2.51e-09,0.0162,0.00292,1.85e-07,10.0,small
R5S,500,Calibration,Transport,1.24e-08,2.72e-09,0.01592,0.00287,1.97e-07,10.0,small
R5S,510,Calibration,Transport,1.33e-08,2.94e-09,0.01565,0.00282,2.09e-07,10.0,small
R5S,520,Calibration,Transport,1.44e-08,3.17e-09,0.01538,0.00277,2.21e-07,10.0,small
R5S,530,Calibration,Transport,1.55e-08,3.41e-09,0.01512,0.00272,2.34e-07,10.0,small
R5S,540,Validation,Transport,1.67e-08,3.66e-09,0.01486,0.00268,2.48e-07,10.0,small
R5S,550,Validation,Transport,1.79e-08,3.93e-09,0.01461,0.00263,2.61e-07,10.0,small
R5S,560,Calibration,Transport,1.92e-08,4.22e-09,0.01437,0.00259,2.75e-07,10.0,small
R5S,570,Calibration,Transport,2.05e-08,4.51e-09,0.01413,0.00254,2.90e-07,10.0,small
R5S,580,Validation,Transport,2.19e-08,4.83e-09,0.01389,0.0025,3.05e-07,10.0,small
R5S,590,Validation,Transport,2.34e-08,5.15e-09,0.01366,0.00246,3.20e-07,10.0,small
R5S,600,Calibration,Transport,2.50e-08,5.50e-09,0.01343,0.00242,3.36e-07,10.0,small
R5S,610,Calibration,Transport,2.66e-08,5.85e-09,0.01321,0.00238,3.52e-07,10.0,small
R5S,620,Calibration,Transport,2.83e-08,6.23e-09,0.01299,0.00234,3.68e-07,10.0,small
R5S,630,Validation,Transport,3.01e-08,6.62e-09,0.01278,0.0023,3.85e-07,10.0,small
R5S,640,Calibration,Transport,3.19e-08,7.03e-09,0.01257,0.00226,4.02e-07,10.0,small
R5S,650,Validation,Transport,3.39e-08,7.45e-09,0.01237,0.00223,4.19e-07,10.0,small
R5S,660,Calibration,Transport,3.59e-08,7.90e-09,0.01217,0.00219,4.37e-07,10.0,small
R5S,670,Calibration,Transport,3.80e-08,8.36e-09,0.01197,0.00216,4.55e-07,10.0,small
R5S,680,Calibration,Transport,4.02e-08,8.84e-09,0.01178,0.00212,4.73e-07,10.0,small
R5S,690,Calibration,Transport,4.25e-08,9.34e-09,0.01159,0.00209,4.92e-07,10.0,small
R5S,700,Calibration,Transport,4.48e-08,9.86e-09,0.01141,0.00205,5.11e-07,10.0,small
R5S,710,Calibration,Transport,4.73e-08,1.04e-08,0.01123,0.00202,5.30e-07,10.0,small
R5S,720,Calibration,Transport,4.98e-08,1.10e-08,0.01105,0.00199,5.50e-07,10.0,small
R5S,730,Validation,Transport,5.24e-08,1.15e-08,0.01087,0.00196,5.70e-07,10.0,small
R5S,740,Calibration,Transport,5.52e-08,1.21e-08,0.0107,0.00193,5.90e-07,10.0,small
R5S,750,Calibration,Transport,5.80e-08,1.28e-08,0.01053,0.0019,6.11e-07,10.0,small
R5S,760,Validation,Transport,6.09e-08,1.34e-08,0.01037,0.00187,6.31e-07,10.0,small
R5S,770,Validation,Transport,6.39e-08,1.41e-08,0.01021,0.00184,6.52e-07,10.0,small
R5S,780,Validation,Transport,6.71e-08,1.48e-08,0.01005,0.00181,6.74e-07,10.0,small
R5S,790,Validation,Transport,7.03e-08,1.55e-08,0.00989,0.00178,6.95e-07,10.0,small
R5S,800,Calibration,Transport,7.36e-08,1.62e-08,0.00974,0.00175,7.17e-07,10.0,small
R10S,20,Calibration,Transport,2.95e-12,6.49e-13,0.04365,0.00786,1.29e-10,10.0,small
R10S,30,Validation,Transport,4.40e-12,9.69e-13,0.04243,0.00764,1.87e-10,10.0,small
R10S,40,Calibration,Transport,6.42e-12,1.41e-12,0.04127,0.00743,2.65e-10,10.0,small
R10S,50,Calibration,Transport,9.16e-12,2.01e-12,0.04016,0.00723,3.68e-10,10.0,small
R10S,60,Validation,Transport,1.28e-11,2.82e-12,0.0391,0.00704,5.01e-10,10.0,small
R10S,70,Calibration,Transport,1.76e-11,3.88e-12,0.03808,0.00685,6.71e-10,10.0,small
R10S,80,Calibration,Transport,2.38e-11,5.24e-12,0.03711,0.00668,8.84e-10,10.0,small
R10S,90,Calibration,Transport,3.17e-11,6.98e-12,0.03617,0.00651,1.15e-09,10.0,small
R10S,100,Calibration,Transport,4.17e-11,9.17e-12,0.03528,0.00635,1.47e-09,10.0,small
R10S,110,Calibration,Transport,5.56e-11,1.22e-11,0.03441,0.00619,1.91e-09,10.0,small
R10S,120,Calibration,Transport,7.20e-11,1.58e-11,0.03358,0.00604,2.42e-09,10.0,small
R10S,130,Validation,Transport,9.18e-11,2.02e-11,0.03278,0.0059,3.01e-09,10.0,small
R10S,140,Calibration,Transport,1.16e-10,2.54e-11,0.03201,0.00576,3.70e-09,10.0,small
R10S,150,Calibration,Transport,1.44e-10,3.17e-11,0.03127,0.00563,4.51e-09,10.0,small
R10S,160,Validation,Transport,1.78e-10,3.92e-11,0.03055,0.0055,5.44e-09,10.0,small
R10S,170,Validation,Transport,2.18e-10,4.80e-11,0.02985,0.00537,6.51e-09,10.0,small
R10S,180,Validation,Transport,2.65e-10,5.83e-11,0.02918,0.00525,7.74e-09,10.0,small
R10S,190,Validation,Transport,3.20e-10,7.03e-11,0.02853,0.00514,9.12e-09,10.0,small
R10S,200,Calibration,Transport,3.83e-10,8.42e-11,0.02791,0.00502,1.07e-08,10.0,small
R10S,210,Calibration,Transport,4.55e-10,1.00e-10,0.0273,0.00491,1.24e-08,10.0,small
R10S,220,Calibration,Transport,5.38e-10,1.18e-10,0.02671,0.00481,1.44e-08,10.0,small
R10S,230,Calibration,Transport,6.32e-10,1.39e-10,0.02614,0.00471,1.65e-08,10.0,small
R10S,240,Calibration,Transport,7.38e-10,1.62e-10,0.02559,0.00461,1.89e-08,10.0,small
R10S,250,Calibration,Transport,8.58e-10,1.89e-10,0.02505,0.00451,2.15e-08,10.0,small
R10S,260,Validation,Transport,9.93e-10,2.18e-10,0.02453,0.00441,2.44e-08,10.0,small
R10S,270,Calibration,Transport,1.14e-09,2.51e-10,0.02402,0.00432,2.75e-08,10.0,small
R10S,280,Calibration,Transport,1.31e-09,2.88e-10,0.02353,0.00423,3.08e-08,10.0,small
R10S,290,Calibration,Transport,1.50e-09,3.29e-10,0.02305,0.00415,3.45e-08,10.0,small
R10S,300,Calibration,Transport,1.70e-09,3.74e-10,0.02258,0.00407,3.84e-08,10.0,small
R10S,310,Calibration,Transport,1.93e-09,4.24e-10,0.02213,0.00398,4.26e-08,10.0,small
R10S,320,Validation,Transport,2.17e-09,4.78e-10,0.02169,0.0039,4.72e-08,10.0,small
R10S,330,Calibration,Transport,2.45e-09,5.38e-10,0.02126,0.00383,5.20e-08,10.0,small
R10S,340,Calibration,Transport,2.74e-09,6.03e-10,0.02085,0.00375,5.72e-08,10.0,small
R10S,350,Calibration,Transport,3.06e-09,6.74e-10,0.02044,0.00368,6.26e-08,10.0,small
R10S,360,Validation,Transport,3.42e-09,7.51e-10,0.02004,0.00361,6.85e-08,10.0,small
R10S,370,Calibration,Transport,3.79e-09,8.35e-10,0.01966,0.00354,7.46e-08,10.0,small
R10S,380,Calibration,Transport,4.21e-09,9.25e-10,0.01928,0.00347,8.11e-08,10.0,small
R10S,390,Calibration,Transport,4.65e-09,1.02e-09,0.01892,0.0034,8.79e-08,10.0,small
R10S,400,Calibration,Transport,5.12e-09,1.13e-09,0.01856,0.00334,9.51e-08,10.0,small
R10S,410,Validation,Transport,5.70e-09,1.25e-09,0.01821,0.00328,1.04e-07,10.0,small
R10S,420,Validation,Transport,6.28e-09,1.38e-09,0.01787,0.00322,1.12e-07,10.0,small
R10S,430,Calibration,Transport,6.90e-09,1.52e-09,0.01754,0.00316,1.21e-07,10.0,small
R10S,440,Validation,Transport,7.56e-09,1.66e-09,0.01721,0.0031,1.30e-07,10.0,small
R10S,450,Validation,Transport,8.26e-09,1.82e-09,0.01689,0.00304,1.40e-07,10.0,small
R10S,460,Validation,Transport,9.01e-09,1.98e-09,0.01659,0.00299,1.49e-07,10.0,small
R10S,470,Validation,Transport,9.80e-09,2.16e-09,0.01628,0.00293,1.60e-07,10.0,small
R10S,480,Calibration,Transport,1.06e-08,2.34e-09,0.01599,0.00288,1.70e-07,10.0,small
R10S,490,Calibration,Transport,1.15e-08,2.54e-09,0.0157,0.00283,1.81e-07,10.0,small
R10S,500,Calibration,Transport,1.25e-08,2.75e-09,0.01542,0.00278,1.93e-07,10.0,small
R10S,510,Validation,Transport,1.35e-08,2.97e-09,0.01514,0.00273,2.04e-07,10.0,small
R10S,520,Calibration,Transport,1.46e-08,3.20e-09,0.01487,0.00268,2.17e-07,10.0,small
R10S,530,Validation,Transport,1.57e-08,3.45e-09,0.01461,0.00263,2.29e-07,10.0,small
R10S,540,Validation,Transport,1.69e-08,3.71e-09,0.01435,0.00258,2.42e-07,10.0,small
R10S,550,Calibration,Transport,1.81e-08,3.98e-09,0.0141,0.00254,2.55e-07,10.0,small
R10S,560,Validation,Transport,1.94e-08,4.27e-09,0.01385,0.00249,2.69e-07,10.0,small
R10S,570,Calibration,Transport,2.08e-08,4.57e-09,0.01361,0.00245,2.83e-07,10.0,small
R10S,580,Calibration,Transport,2.22e-08,4.89e-09,0.01337,0.00241,2.97e-07,10.0,small
R10S,590,Validation,Transport,2.38e-08,5.23e-09,0.01314,0.00237,3.12e-07,10.0,small
R10S,600,Calibration,Transport,2.53e-08,5.57e-09,0.01291,0.00232,3.27e-07,10.0,small
R10S,610,Validation,Transport,2.70e-08,5.94e-09,0.01269,0.00228,3.43e-07,10.0,small
R10S,620,Validation,Transport,2.87e-08,6.32e-09,0.01248,0.00225,3.59e-07,10.0,small
R10S,630,Calibration,Transport,3.06e-08,6.72e-09,0.01226,0.00221,3.75e-07,10.0,small
R10S,640,Calibration,Transport,3.24e-08,7.14e-09,0.01205,0.00217,3.91e-07,10.0,small
R10S,650,Calibration,Transport,3.44e-08,7.57e-09,0.01185,0.00213,4.08e-07,10.0,small
R10S,660,Calibration,Transport,3.65e-08,8.03e-09,0.01165,0.0021,4.25e-07,10.0,small
R10S,670,Validation,Transport,3.86e-08,8.50e-09,0.01145,0.00206,4.42e-07,10.0,small
R10S,680,Calibration,Transport,4.09e-08,8.99e-09,0.01126,0.00203,4.60e-07,10.0,small
R10S,690,Calibration,Transport,4.32e-08,9.50e-09,0.01107,0.00199,4.78e-07,10.0,small
R10S,700,Calibration,Transport,4.56e-08,1.00e-08,0.01089,0.00196,4.96e-07,10.0,small
R10S,710,Calibration,Transport,4.81e-08,1.06e-08,0.01071,0.00193,5.15e-07,10.0,small
R10S,720,Validation,Transport,5.07e-08,1.12e-08,0.01053,0.0019,5.34e-07,10.0,small
R10S,730,Calibration,Transport,5.34e-08,1.17e-08,0.01035,0.00186,5.53e-07,10.0,small
R10S,740,Validation,Transport,5.62e-08,1.24e-08,0.01018,0.00183,5.72e-07,10.0,small
R10S,750,Calibration,Transport,5.91e-08,1.30e-08,0.01002,0.0018,5.92e-07,10.0,small
R10S,760,Validation,Transport,6.21e-08,1.37e-08,0.00985,0.00177,6.12e-07,10.0,small
R10S,770,Calibration,Transport,6.52e-08,1.43e-08,0.00969,0.00174,6.32e-07,10.0,small
R10S,780,Calibration,Transport,6.84e-08,1.51e-08,0.00953,0.00172,6.52e-07,10.0,small
R10S,790,Validation,Transport,7.17e-08,1.58e-08,0.00938,0.00169,6.73e-07,10.0,small
R10S,800,Calibration,Transport,7.52e-08,1.65e-08,0.00923,0.00166,6.93e-07,10.0,small
R15S,20,Validation,Transport,3.17e-12,6.98e-13,0.04298,0.00774,1.36e-10,15.0,small
R15S,30,Calibration,Transport,4.74e-12,1.04e-12,0.04175,0.00751,1.98e-10,15.0,small
R15S,40,Calibration,Transport,6.91e-12,1.52e-12,0.04058,0.0073,2.80e-10,15.0,small
R15S,50,Calibration,Transport,9.86e-12,2.17e-12,0.03946,0.0071,3.89e-10,15.0,small
R15S,60,Validation,Transport,1.38e-11,3.04e-12,0.03839,0.00691,5.30e-10,15.0,small
R15S,70,Calibration,Transport,1.90e-11,4.17e-12,0.03737,0.00673,7.09e-10,15.0,small
R15S,80,Calibration,Transport,2.57e-11,5.64e-12,0.03639,0.00655,9.34e-10,15.0,small
R15S,90,Calibration,Transport,3.42e-11,7.52e-12,0.03545,0.00638,1.21e-09,15.0,small
R15S,100,Calibration,Transport,4.49e-11,9.88e-12,0.03455,0.00622,1.55e-09,15.0,small
R15S,110,Calibration,Transport,5.99e-11,1.32e-11,0.03368,0.00606,2.02e-09,15.0,small
R15S,120,Validation,Transport,7.76e-11,1.71e-11,0.03285,0.00591,2.55e-09,15.0,small
R15S,130,Validation,Transport,9.89e-11,2.18e-11,0.03204,0.00577,3.17e-09,15.0,small
R15S,140,Validation,Transport,1.25e-10,2.74e-11,0.03127,0.00563,3.90e-09,15.0,small
R15S,150,Validation,Transport,1.56e-10,3.42e-11,0.03052,0.00549,4.75e-09,15.0,small
R15S,160,Calibration,Transport,1.92e-10,4.23e-11,0.0298,0.00536,5.73e-09,15.0,small
R15S,170,Validation,Transport,2.35e-10,5.18e-11,0.0291,0.00524,6.85e-09,15.0,small
R15S,180,Calibration,Transport,2.86e-10,6.29e-11,0.02843,0.00512,8.13e-09,15.0,small
R15S,190,Calibration,Transport,3.45e-10,7.59e-11,0.02778,0.005,9.58e-09,15.0,small
R15S,200,Calibration,Transport,4.13e-10,9.09e-11,0.02715,0.00489,1.12e-08,15.0,small
R15S,210,Calibration,Transport,4.91e-10,1.08e-10,0.02654,0.00478,1.30e-08,15.0,small
R15S,220,Validation,Transport,5.81e-10,1.28e-10,0.02595,0.00467,1.51e-08,15.0,small
R15S,230,Calibration,Transport,6.83e-10,1.50e-10,0.02538,0.00457,1.73e-08,15.0,small
R15S,240,Calibration,Transport,7.98e-10,1.76e-10,0.02482,0.00447,1.98e-08,15.0,small
R15S,250,Calibration,Transport,9.28e-10,2.04e-10,0.02429,0.00437,2.25e-08,15.0,small
R15S,260,Validation,Transport,1.07e-09,2.36e-10,0.02376,0.00428,2.55e-08,15.0,small
R15S,270,Calibration,Transport,1.24e-09,2.72e-10,0.02326,0.00419,2.88e-08,15.0,small
R15S,280,Calibration,Transport,1.42e-09,3.12e-10,0.02276,0.0041,3.23e-08,15.0,small
R15S,290,Calibration,Transport,1.62e-09,3.56e-10,0.02229,0.00401,3.61e-08,15.0,small
R15S,300,Validation,Transport,1.84e-09,4.05e-10,0.02182,0.00393,4.02e-08,15.0,small
R15S,310,Calibration,Transport,2.09e-09,4.59e-10,0.02137,0.00385,4.46e-08,15.0,small
R15S,320,Calibration,Transport,2.35e-09,5.18e-10,0.02093,0.00377,4.93e-08,15.0,small
