Mix_ID,Temperature_C,Data_Type,Property_Type,Total_Porosity_Mean,Total_Porosity_Std,Effective_Porosity_Mean,Effective_Porosity_Std,Connectivity_Factor,Rubber_Content_Percent,Particle_Size
R5S,20,Calibration,Transport,0.1254,0.0188,0.0852,0.0153,0.679,10.0,small
R5S,30,Validation,Transport,0.1254,0.0188,0.0858,0.0154,0.684,10.0,small
R5S,40,Calibration,Transport,0.1254,0.0188,0.0863,0.0155,0.688,10.0,small
R5S,50,Calibration,Transport,0.1255,0.0188,0.0869,0.0156,0.692,10.0,small
R5S,60,Calibration,Transport,0.1255,0.0188,0.0874,0.0157,0.697,10.0,small
R5S,70,Validation,Transport,0.1255,0.0188,0.088,0.0158,0.701,10.0,small
R5S,80,Calibration,Transport,0.1256,0.0188,0.0886,0.0159,0.706,10.0,small
R5S,90,Validation,Transport,0.1256,0.0188,0.0892,0.0161,0.71,10.0,small
R5S,100,Calibration,Transport,0.1257,0.0188,0.0898,0.0162,0.714,10.0,small
R5S,110,Calibration,Transport,0.1328,0.0199,0.0955,0.0172,0.719,10.0,small
R5S,120,Calibration,Transport,0.1357,0.0204,0.0981,0.0177,0.723,10.0,small
R5S,130,Calibration,Transport,0.1374,0.0206,0.0999,0.018,0.727,10.0,small
R5S,140,Calibration,Transport,0.1387,0.0208,0.1015,0.0183,0.732,10.0,small
R5S,150,Calibration,Transport,0.1397,0.021,0.1028,0.0185,0.736,10.0,small
R5S,160,Calibration,Transport,0.1406,0.0211,0.1041,0.0187,0.74,10.0,small
R5S,170,Validation,Transport,0.1415,0.0212,0.1054,0.019,0.745,10.0,small
R5S,180,Calibration,Transport,0.1422,0.0213,0.1065,0.0192,0.749,10.0,small
R5S,190,Calibration,Transport,0.1429,0.0214,0.1077,0.0194,0.753,10.0,small
R5S,200,Validation,Transport,0.1435,0.0215,0.1088,0.0196,0.758,10.0,small
R5S,210,Calibration,Transport,0.1441,0.0216,0.1098,0.0198,0.762,10.0,small
R5S,220,Calibration,Transport,0.1447,0.0217,0.1109,0.02,0.767,10.0,small
R5S,230,Validation,Transport,0.1452,0.0218,0.112,0.0202,0.771,10.0,small
R5S,240,Validation,Transport,0.1457,0.0219,0.113,0.0203,0.775,10.0,small
R5S,250,Calibration,Transport,0.1462,0.0219,0.114,0.0205,0.78,10.0,small
R5S,260,Validation,Transport,0.1467,0.022,0.115,0.0207,0.784,10.0,small
R5S,270,Calibration,Transport,0.1472,0.0221,0.116,0.0209,0.788,10.0,small
R5S,280,Calibration,Transport,0.1476,0.0221,0.117,0.0211,0.793,10.0,small
R5S,290,Calibration,Transport,0.1481,0.0222,0.118,0.0212,0.797,10.0,small
R5S,300,Validation,Transport,0.1485,0.0223,0.119,0.0214,0.801,10.0,small
R5S,310,Calibration,Transport,0.1489,0.0223,0.12,0.0216,0.806,10.0,small
R5S,320,Calibration,Transport,0.1493,0.0224,0.121,0.0218,0.81,10.0,small
R5S,330,Calibration,Transport,0.1497,0.0225,0.1219,0.0219,0.814,10.0,small
R5S,340,Calibration,Transport,0.1501,0.0225,0.1229,0.0221,0.819,10.0,small
R5S,350,Calibration,Transport,0.1505,0.0226,0.1239,0.0223,0.823,10.0,small
R5S,360,Calibration,Transport,0.1509,0.0226,0.1248,0.0225,0.828,10.0,small
R5S,370,Calibration,Transport,0.1512,0.0227,0.1258,0.0226,0.832,10.0,small
R5S,380,Calibration,Transport,0.1516,0.0227,0.1268,0.0228,0.836,10.0,small
R5S,390,Calibration,Transport,0.152,0.0228,0.1277,0.023,0.841,10.0,small
R5S,400,Calibration,Transport,0.1523,0.0228,0.1287,0.0232,0.845,10.0,small
R5S,410,Calibration,Transport,0.156,0.0234,0.1325,0.0238,0.849,10.0,small
R5S,420,Calibration,Transport,0.1577,0.0237,0.1346,0.0242,0.854,10.0,small
R5S,430,Validation,Transport,0.1591,0.0239,0.1365,0.0246,0.858,10.0,small
R5S,440,Calibration,Transport,0.1603,0.024,0.1382,0.0249,0.862,10.0,small
R5S,450,Calibration,Transport,0.1614,0.0242,0.1399,0.0252,0.867,10.0,small
R5S,460,Calibration,Transport,0.1624,0.0244,0.1415,0.0255,0.871,10.0,small
R5S,470,Calibration,Transport,0.1634,0.0245,0.1431,0.0258,0.875,10.0,small
R5S,480,Calibration,Transport,0.1643,0.0247,0.1446,0.026,0.88,10.0,small
R5S,490,Calibration,Transport,0.1652,0.0248,0.1461,0.0263,0.884,10.0,small
R5S,500,Calibration,Transport,0.1661,0.0249,0.1476,0.0266,0.888,10.0,small
R5S,510,Calibration,Transport,0.1669,0.025,0.149,0.0268,0.893,10.0,small
R5S,520,Calibration,Transport,0.1677,0.0252,0.1505,0.0271,0.897,10.0,small
R5S,530,Calibration,Transport,0.1685,0.0253,0.1517,0.0273,0.9,10.0,small
R5S,540,Calibration,Transport,0.1693,0.0254,0.1523,0.0274,0.9,10.0,small
R5S,550,Calibration,Transport,0.17,0.0255,0.153,0.0275,0.9,10.0,small
R5S,560,Calibration,Transport,0.1707,0.0256,0.1537,0.0277,0.9,10.0,small
R5S,570,Calibration,Transport,0.1715,0.0257,0.1543,0.0278,0.9,10.0,small
R5S,580,Calibration,Transport,0.1722,0.0258,0.1549,0.0279,0.9,10.0,small
R5S,590,Calibration,Transport,0.1728,0.0259,0.1556,0.028,0.9,10.0,small
R5S,600,Validation,Transport,0.1735,0.026,0.1562,0.0281,0.9,10.0,small
R5S,610,Calibration,Transport,0.1742,0.0261,0.1568,0.0282,0.9,10.0,small
R5S,620,Calibration,Transport,0.1748,0.0262,0.1574,0.0283,0.9,10.0,small
R5S,630,Validation,Transport,0.1755,0.0263,0.1579,0.0284,0.9,10.0,small
R5S,640,Validation,Transport,0.1761,0.0264,0.1585,0.0285,0.9,10.0,small
R5S,650,Calibration,Transport,0.1768,0.0265,0.1591,0.0286,0.9,10.0,small
R5S,660,Calibration,Transport,0.1774,0.0266,0.1596,0.0287,0.9,10.0,small
R5S,670,Validation,Transport,0.178,0.0267,0.1602,0.0288,0.9,10.0,small
R5S,680,Validation,Transport,0.1786,0.0268,0.1607,0.0289,0.9,10.0,small
R5S,690,Calibration,Transport,0.1792,0.0269,0.1613,0.029,0.9,10.0,small
R5S,700,Calibration,Transport,0.1798,0.027,0.1618,0.0291,0.9,10.0,small
R5S,710,Calibration,Transport,0.1804,0.0271,0.1624,0.0292,0.9,10.0,small
R5S,720,Calibration,Transport,0.181,0.0271,0.1629,0.0293,0.9,10.0,small
R5S,730,Calibration,Transport,0.1816,0.0272,0.1634,0.0294,0.9,10.0,small
R5S,740,Calibration,Transport,0.1821,0.0273,0.1639,0.0295,0.9,10.0,small
R5S,750,Calibration,Transport,0.1827,0.0274,0.1644,0.0296,0.9,10.0,small
R5S,760,Validation,Transport,0.1833,0.0275,0.1649,0.0297,0.9,10.0,small
R5S,770,Calibration,Transport,0.1838,0.0276,0.1654,0.0298,0.9,10.0,small
R5S,780,Calibration,Transport,0.1844,0.0277,0.1659,0.0299,0.9,10.0,small
R5S,790,Validation,Transport,0.1849,0.0277,0.1664,0.03,0.9,10.0,small
R5S,800,Validation,Transport,0.1855,0.0278,0.1669,0.03,0.9,10.0,small
R10S,20,Calibration,Transport,0.1254,0.0188,0.0852,0.0153,0.679,10.0,small
R10S,30,Calibration,Transport,0.1254,0.0188,0.0858,0.0154,0.684,10.0,small
R10S,40,Calibration,Transport,0.1255,0.0188,0.0863,0.0155,0.688,10.0,small
R10S,50,Calibration,Transport,0.1255,0.0188,0.0869,0.0156,0.692,10.0,small
R10S,60,Calibration,Transport,0.1256,0.0188,0.0875,0.0158,0.697,10.0,small
R10S,70,Calibration,Transport,0.1257,0.0188,0.0881,0.0159,0.701,10.0,small
R10S,80,Calibration,Transport,0.1257,0.0189,0.0887,0.016,0.706,10.0,small
R10S,90,Calibration,Transport,0.1258,0.0189,0.0893,0.0161,0.71,10.0,small
R10S,100,Calibration,Transport,0.1259,0.0189,0.0899,0.0162,0.714,10.0,small
R10S,110,Calibration,Transport,0.1331,0.02,0.0957,0.0172,0.719,10.0,small
R10S,120,Calibration,Transport,0.136,0.0204,0.0984,0.0177,0.723,10.0,small
R10S,130,Calibration,Transport,0.1378,0.0207,0.1002,0.018,0.727,10.0,small
R10S,140,Calibration,Transport,0.1391,0.0209,0.1018,0.0183,0.732,10.0,small
R10S,150,Validation,Transport,0.1403,0.021,0.1032,0.0186,0.736,10.0,small
R10S,160,Calibration,Transport,0.1412,0.0212,0.1046,0.0188,0.74,10.0,small
R10S,170,Calibration,Transport,0.1421,0.0213,0.1058,0.0191,0.745,10.0,small
R10S,180,Validation,Transport,0.1429,0.0214,0.1071,0.0193,0.749,10.0,small
R10S,190,Calibration,Transport,0.1437,0.0216,0.1083,0.0195,0.753,10.0,small
R10S,200,Calibration,Transport,0.1444,0.0217,0.1094,0.0197,0.758,10.0,small
R10S,210,Calibration,Transport,0.1451,0.0218,0.1106,0.0199,0.762,10.0,small
R10S,220,Calibration,Transport,0.1457,0.0219,0.1117,0.0201,0.767,10.0,small
R10S,230,Validation,Transport,0.1463,0.0219,0.1128,0.0203,0.771,10.0,small
R10S,240,Calibration,Transport,0.1469,0.022,0.1139,0.0205,0.775,10.0,small
R10S,250,Calibration,Transport,0.1475,0.0221,0.115,0.0207,0.78,10.0,small
R10S,260,Calibration,Transport,0.1481,0.0222,0.1161,0.0209,0.784,10.0,small
R10S,270,Calibration,Transport,0.1486,0.0223,0.1172,0.0211,0.788,10.0,small
R10S,280,Calibration,Transport,0.1491,0.0224,0.1182,0.0213,0.793,10.0,small
R10S,290,Calibration,Transport,0.1497,0.0225,0.1193,0.0215,0.797,10.0,small
R10S,300,Calibration,Transport,0.1502,0.0225,0.1204,0.0217,0.801,10.0,small
R10S,310,Validation,Transport,0.1507,0.0226,0.1214,0.0219,0.806,10.0,small
R10S,320,Calibration,Transport,0.1512,0.0227,0.1225,0.022,0.81,10.0,small
R10S,330,Calibration,Transport,0.1517,0.0228,0.1235,0.0222,0.814,10.0,small
R10S,340,Calibration,Transport,0.1522,0.0228,0.1246,0.0224,0.819,10.0,small
R10S,350,Calibration,Transport,0.1526,0.0229,0.1256,0.0226,0.823,10.0,small
R10S,360,Calibration,Transport,0.1531,0.023,0.1267,0.0228,0.828,10.0,small
R10S,370,Calibration,Transport,0.1536,0.023,0.1278,0.023,0.832,10.0,small
R10S,380,Calibration,Transport,0.1541,0.0231,0.1288,0.0232,0.836,10.0,small
R10S,390,Calibration,Transport,0.1545,0.0232,0.1299,0.0234,0.841,10.0,small
R10S,400,Calibration,Transport,0.155,0.0232,0.1309,0.0236,0.845,10.0,small
R10S,410,Validation,Transport,0.1587,0.0238,0.1348,0.0243,0.849,10.0,small
R10S,420,Calibration,Transport,0.1606,0.0241,0.1371,0.0247,0.854,10.0,small
R10S,430,Calibration,Transport,0.1621,0.0243,0.139,0.025,0.858,10.0,small
R10S,440,Calibration,Transport,0.1634,0.0245,0.1409,0.0254,0.862,10.0,small
R10S,450,Validation,Transport,0.1646,0.0247,0.1427,0.0257,0.867,10.0,small
R10S,460,Calibration,Transport,0.1658,0.0249,0.1444,0.026,0.871,10.0,small
R10S,470,Calibration,Transport,0.1669,0.025,0.1461,0.0263,0.875,10.0,small
R10S,480,Validation,Transport,0.1679,0.0252,0.1477,0.0266,0.88,10.0,small
R10S,490,Validation,Transport,0.1689,0.0253,0.1493,0.0269,0.884,10.0,small
R10S,500,Validation,Transport,0.1699,0.0255,0.1509,0.0272,0.888,10.0,small
R10S,510,Calibration,Transport,0.1708,0.0256,0.1525,0.0275,0.893,10.0,small
R10S,520,Calibration,Transport,0.1717,0.0258,0.1541,0.0277,0.897,10.0,small
R10S,530,Calibration,Transport,0.1727,0.0259,0.1554,0.028,0.9,10.0,small
R10S,540,Validation,Transport,0.1735,0.026,0.1562,0.0281,0.9,10.0,small
R10S,550,Calibration,Transport,0.1744,0.0262,0.157,0.0283,0.9,10.0,small
R10S,560,Calibration,Transport,0.1753,0.0263,0.1577,0.0284,0.9,10.0,small
R10S,570,Calibration,Transport,0.1761,0.0264,0.1585,0.0285,0.9,10.0,small
R10S,580,Validation,Transport,0.1769,0.0265,0.1592,0.0287,0.9,10.0,small
R10S,590,Calibration,Transport,0.1777,0.0267,0.16,0.0288,0.9,10.0,small
R10S,600,Calibration,Transport,0.1785,0.0268,0.1607,0.0289,0.9,10.0,small
R10S,610,Calibration,Transport,0.1793,0.0269,0.1614,0.0291,0.9,10.0,small
R10S,620,Calibration,Transport,0.1801,0.027,0.1621,0.0292,0.9,10.0,small
R10S,630,Calibration,Transport,0.1809,0.0271,0.1628,0.0293,0.9,10.0,small
R10S,640,Calibration,Transport,0.1817,0.0273,0.1635,0.0294,0.9,10.0,small
R10S,650,Calibration,Transport,0.1824,0.0274,0.1642,0.0296,0.9,10.0,small
R10S,660,Calibration,Transport,0.1832,0.0275,0.1649,0.0297,0.9,10.0,small
R10S,670,Calibration,Transport,0.184,0.0276,0.1656,0.0298,0.9,10.0,small
R10S,680,Calibration,Transport,0.1847,0.0277,0.1662,0.0299,0.9,10.0,small
R10S,690,Calibration,Transport,0.1854,0.0278,0.1669,0.03,0.9,10.0,small
R10S,700,Calibration,Transport,0.1862,0.0279,0.1676,0.0302,0.9,10.0,small
R10S,710,Calibration,Transport,0.1869,0.028,0.1682,0.0303,0.9,10.0,small
R10S,720,Calibration,Transport,0.1876,0.0281,0.1689,0.0304,0.9,10.0,small
R10S,730,Calibration,Transport,0.1884,0.0283,0.1695,0.0305,0.9,10.0,small
R10S,740,Calibration,Transport,0.1891,0.0284,0.1702,0.0306,0.9,10.0,small
R10S,750,Validation,Transport,0.1898,0.0285,0.1708,0.0307,0.9,10.0,small
R10S,760,Calibration,Transport,0.1905,0.0286,0.1715,0.0309,0.9,10.0,small
R10S,770,Validation,Transport,0.1912,0.0287,0.1721,0.031,0.9,10.0,small
R10S,780,Calibration,Transport,0.1919,0.0288,0.1727,0.0311,0.9,10.0,small
R10S,790,Calibration,Transport,0.1926,0.0289,0.1734,0.0312,0.9,10.0,small
R10S,800,Validation,Transport,0.1933,0.029,0.174,0.0313,0.9,10.0,small
R15S,20,Calibration,Transport,0.1281,0.0192,0.0878,0.0158,0.685,15.0,small
R15S,30,Calibration,Transport,0.1281,0.0192,0.0884,0.0159,0.69,15.0,small
R15S,40,Calibration,Transport,0.1282,0.0192,0.089,0.016,0.694,15.0,small
R15S,50,Calibration,Transport,0.1283,0.0192,0.0896,0.0161,0.699,15.0,small
R15S,60,Validation,Transport,0.1284,0.0193,0.0902,0.0162,0.703,15.0,small
R15S,70,Validation,Transport,0.1285,0.0193,0.0909,0.0164,0.707,15.0,small
R15S,80,Validation,Transport,0.1286,0.0193,0.0915,0.0165,0.712,15.0,small
R15S,90,Calibration,Transport,0.1287,0.0193,0.0922,0.0166,0.716,15.0,small
R15S,100,Validation,Transport,0.1289,0.0193,0.0929,0.0167,0.721,15.0,small
R15S,110,Validation,Transport,0.1363,0.0204,0.0988,0.0178,0.725,15.0,small
R15S,120,Calibration,Transport,0.1393,0.0209,0.1016,0.0183,0.729,15.0,small
R15S,130,Calibration,Transport,0.1412,0.0212,0.1036,0.0186,0.734,15.0,small
R15S,140,Validation,Transport,0.1426,0.0214,0.1053,0.0189,0.738,15.0,small
R15S,150,Calibration,Transport,0.1438,0.0216,0.1068,0.0192,0.743,15.0,small
R15S,160,Validation,Transport,0.1449,0.0217,0.1082,0.0195,0.747,15.0,small
R15S,170,Calibration,Transport,0.1459,0.0219,0.1096,0.0197,0.751,15.0,small
R15S,180,Validation,Transport,0.1468,0.022,0.1109,0.02,0.756,15.0,small
R15S,190,Calibration,Transport,0.1476,0.0221,0.1122,0.0202,0.76,15.0,small
R15S,200,Calibration,Transport,0.1484,0.0223,0.1134,0.0204,0.764,15.0,small
R15S,210,Calibration,Transport,0.1492,0.0224,0.1147,0.0206,0.769,15.0,small
R15S,220,Validation,Transport,0.1499,0.0225,0.1159,0.0209,0.773,15.0,small
R15S,230,Calibration,Transport,0.1506,0.0226,0.1171,0.0211,0.778,15.0,small
R15S,240,Calibration,Transport,0.1513,0.0227,0.1183,0.0213,0.782,15.0,small
R15S,250,Calibration,Transport,0.152,0.0228,0.1195,0.0215,0.786,15.0,small
R15S,260,Validation,Transport,0.1526,0.0229,0.1207,0.0217,0.791,15.0,small
R15S,270,Calibration,Transport,0.1533,0.023,0.1219,0.0219,0.795,15.0,small
R15S,280,Validation,Transport,0.1539,0.0231,0.1231,0.0222,0.8,15.0,small
R15S,290,Calibration,Transport,0.1545,0.0232,0.1242,0.0224,0.804,15.0,small
R15S,300,Calibration,Transport,0.1551,0.0233,0.1254,0.0226,0.808,15.0,small
R15S,310,Calibration,Transport,0.1557,0.0234,0.1266,0.0228,0.813,15.0,small
R15S,320,Calibration,Transport,0.1564,0.0235,0.1278,0.023,0.817,15.0,small
R15S,330,Validation,Transport,0.157,0.0235,0.129,0.0232,0.822,15.0,small
R15S,340,Calibration,Transport,0.1575,0.0236,0.1301,0.0234,0.826,15.0,small
R15S,350,Calibration,Transport,0.1581,0.0237,0.1313,0.0236,0.83,15.0,small
R15S,360,Validation,Transport,0.1587,0.0238,0.1325,0.0238,0.835,15.0,small
R15S,370,Calibration,Transport,0.1593,0.0239,0.1337,0.0241,0.839,15.0,small
R15S,380,Calibration,Transport,0.1599,0.024,0.1349,0.0243,0.844,15.0,small
R15S,390,Validation,Transport,0.1605,0.0241,0.1361,0.0245,0.848,15.0,small
R15S,400,Calibration,Transport,0.161,0.0242,0.1373,0.0247,0.852,15.0,small
R15S,410,Calibration,Transport,0.165,0.0247,0.1413,0.0254,0.857,15.0,small
R15S,420,Validation,Transport,0.167,0.025,0.1438,0.0259,0.861,15.0,small
R15S,430,Calibration,Transport,0.1686,0.0253,0.1459,0.0263,0.866,15.0,small
R15S,440,Calibration,Transport,0.1701,0.0255,0.1479,0.0266,0.87,15.0,small
R15S,450,Calibration,Transport,0.1714,0.0257,0.1499,0.027,0.874,15.0,small
R15S,460,Validation,Transport,0.1727,0.0259,0.1518,0.0273,0.879,15.0,small
R15S,470,Calibration,Transport,0.174,0.0261,0.1536,0.0277,0.883,15.0,small
R15S,480,Calibration,Transport,0.1751,0.0263,0.1554,0.028,0.888,15.0,small
R15S,490,Validation,Transport,0.1763,0.0264,0.1572,0.0283,0.892,15.0,small
R15S,500,Validation,Transport,0.1774,0.0266,0.159,0.0286,0.896,15.0,small
R15S,510,Calibration,Transport,0.1785,0.0268,0.1606,0.0289,0.9,15.0,small
R15S,520,Calibration,Transport,0.1796,0.0269,0.1616,0.0291,0.9,15.0,small
R15S,530,Calibration,Transport,0.1806,0.0271,0.1625,0.0293,0.9,15.0,small
R15S,540,Validation,Transport,0.1816,0.0272,0.1635,0.0294,0.9,15.0,small
R15S,550,Calibration,Transport,0.1826,0.0274,0.1644,0.0296,0.9,15.0,small
R15S,560,Calibration,Transport,0.1836,0.0275,0.1653,0.0297,0.9,15.0,small
R15S,570,Validation,Transport,0.1846,0.0277,0.1662,0.0299,0.9,15.0,small
R15S,580,Validation,Transport,0.1856,0.0278,0.167,0.0301,0.9,15.0,small
R15S,590,Calibration,Transport,0.1866,0.028,0.1679,0.0302,0.9,15.0,small
R15S,600,Validation,Transport,0.1875,0.0281,0.1688,0.0304,0.9,15.0,small
R15S,610,Calibration,Transport,0.1885,0.0283,0.1696,0.0305,0.9,15.0,small
R15S,620,Validation,Transport,0.1894,0.0284,0.1705,0.0307,0.9,15.0,small
R15S,630,Calibration,Transport,0.1903,0.0286,0.1713,0.0308,0.9,15.0,small
R15S,640,Calibration,Transport,0.1913,0.0287,0.1721,0.031,0.9,15.0,small
R15S,650,Validation,Transport,0.1922,0.0288,0.173,0.0311,0.9,15.0,small
R15S,660,Calibration,Transport,0.1931,0.029,0.1738,0.0313,0.9,15.0,small
R15S,670,Calibration,Transport,0.194,0.0291,0.1746,0.0314,0.9,15.0,small
R15S,680,Validation,Transport,0.1949,0.0292,0.1754,0.0316,0.9,15.0,small
R15S,690,Validation,Transport,0.1958,0.0294,0.1762,0.0317,0.9,15.0,small
R15S,700,Calibration,Transport,0.1967,0.0295,0.177,0.0319,0.9,15.0,small
R15S,710,Calibration,Transport,0.1976,0.0296,0.1778,0.032,0.9,15.0,small
R15S,720,Calibration,Transport,0.1985,0.0298,0.1786,0.0322,0.9,15.0,small
R15S,730,Calibration,Transport,0.1994,0.0299,0.1794,0.0323,0.9,15.0,small
R15S,740,Calibration,Transport,0.2003,0.03,0.1802,0.0324,0.9,15.0,small
R15S,750,Calibration,Transport,0.2011,0.0302,0.181,0.0326,0.9,15.0,small
R15S,760,Validation,Transport,0.202,0.0303,0.1818,0.0327,0.9,15.0,small
R15S,770,Calibration,Transport,0.2029,0.0304,0.1826,0.0329,0.9,15.0,small
R15S,780,Calibration,Transport,0.2038,0.0306,0.1834,0.033,0.9,15.0,small
R15S,790,Calibration,Transport,0.2046,0.0307,0.1842,0.0331,0.9,15.0,small
