Mix_ID,Temperature_C,Data_Type,Property_Type,Intrinsic_Permeability_Mean_m2,Intrinsic_Permeability_Std_m2,Relative_Permeability,Rubber_Content_Percent,Particle_Size
C,370,Validation,Transport,3.81e-18,9.53e-19,3.81,0.0,small
C,380,Calibration,Transport,3.89e-18,9.73e-19,3.89,0.0,small
C,390,Calibration,Transport,3.97e-18,9.93e-19,3.97,0.0,small
C,400,Calibration,Transport,4.06e-18,1.01e-18,4.06,0.0,small
C,410,Calibration,Transport,4.14e-18,1.03e-18,4.14,0.0,small
C,420,Calibration,Transport,4.22e-18,1.05e-18,4.22,0.0,small
C,430,Calibration,Transport,4.30e-18,1.08e-18,4.3,0.0,small
C,440,Calibration,Transport,4.39e-18,1.10e-18,4.39,0.0,small
C,450,Validation,Transport,4.47e-18,1.12e-18,4.47,0.0,small
C,460,Calibration,Transport,4.55e-18,1.14e-18,4.55,0.0,small
C,470,Calibration,Transport,4.64e-18,1.16e-18,4.64,0.0,small
C,480,Calibration,Transport,4.72e-18,1.18e-18,4.72,0.0,small
C,490,Calibration,Transport,4.80e-18,1.20e-18,4.8,0.0,small
C,500,Calibration,Transport,4.89e-18,1.22e-18,4.89,0.0,small
C,510,Calibration,Transport,4.97e-18,1.24e-18,4.97,0.0,small
C,520,Validation,Transport,5.06e-18,1.26e-18,5.06,0.0,small
C,530,Validation,Transport,5.14e-18,1.29e-18,5.14,0.0,small
C,540,Validation,Transport,5.23e-18,1.31e-18,5.23,0.0,small
C,550,Validation,Transport,5.32e-18,1.33e-18,5.32,0.0,small
C,560,Calibration,Transport,5.40e-18,1.35e-18,5.4,0.0,small
C,570,Validation,Transport,5.49e-18,1.37e-18,5.49,0.0,small
C,580,Calibration,Transport,5.58e-18,1.39e-18,5.58,0.0,small
C,590,Calibration,Transport,5.66e-18,1.42e-18,5.66,0.0,small
C,600,Calibration,Transport,5.75e-18,1.44e-18,5.75,0.0,small
C,610,Calibration,Transport,5.84e-18,1.46e-18,5.84,0.0,small
C,620,Calibration,Transport,5.93e-18,1.48e-18,5.93,0.0,small
C,630,Calibration,Transport,6.01e-18,1.50e-18,6.01,0.0,small
C,640,Validation,Transport,6.10e-18,1.53e-18,6.1,0.0,small
C,650,Calibration,Transport,6.19e-18,1.55e-18,6.19,0.0,small
C,660,Calibration,Transport,6.28e-18,1.57e-18,6.28,0.0,small
C,670,Calibration,Transport,6.37e-18,1.59e-18,6.37,0.0,small
C,680,Calibration,Transport,6.46e-18,1.62e-18,6.46,0.0,small
C,690,Validation,Transport,6.55e-18,1.64e-18,6.55,0.0,small
C,700,Calibration,Transport,6.64e-18,1.66e-18,6.64,0.0,small
C,710,Validation,Transport,6.73e-18,1.68e-18,6.73,0.0,small
C,720,Validation,Transport,6.82e-18,1.71e-18,6.82,0.0,small
C,730,Calibration,Transport,6.91e-18,1.73e-18,6.91,0.0,small
C,740,Calibration,Transport,7.01e-18,1.75e-18,7.01,0.0,small
C,750,Validation,Transport,7.10e-18,1.77e-18,7.1,0.0,small
C,760,Validation,Transport,7.19e-18,1.80e-18,7.19,0.0,small
C,770,Validation,Transport,7.28e-18,1.82e-18,7.28,0.0,small
C,780,Validation,Transport,7.37e-18,1.84e-18,7.37,0.0,small
C,790,Calibration,Transport,7.47e-18,1.87e-18,7.47,0.0,small
C,800,Calibration,Transport,7.56e-18,1.89e-18,7.56,0.0,small
R5S,20,Calibration,Transport,1.54e-18,3.84e-19,1.54,10.0,small
R5S,30,Validation,Transport,1.59e-18,3.96e-19,1.59,10.0,small
R5S,40,Calibration,Transport,1.63e-18,4.09e-19,1.63,10.0,small
R5S,50,Calibration,Transport,1.68e-18,4.21e-19,1.68,10.0,small
R5S,60,Calibration,Transport,1.73e-18,4.33e-19,1.73,10.0,small
R5S,70,Calibration,Transport,1.78e-18,4.46e-19,1.78,10.0,small
R5S,80,Calibration,Transport,1.83e-18,4.58e-19,1.83,10.0,small
R5S,90,Validation,Transport,1.88e-18,4.71e-19,1.88,10.0,small
R5S,100,Calibration,Transport,1.93e-18,4.83e-19,1.93,10.0,small
R5S,110,Validation,Transport,2.17e-18,5.43e-19,2.17,10.0,small
R5S,120,Calibration,Transport,2.31e-18,5.77e-19,2.31,10.0,small
R5S,130,Calibration,Transport,2.43e-18,6.07e-19,2.43,10.0,small
R5S,140,Validation,Transport,2.54e-18,6.35e-19,2.54,10.0,small
R5S,150,Validation,Transport,2.65e-18,6.62e-19,2.65,10.0,small
R5S,160,Calibration,Transport,2.76e-18,6.89e-19,2.76,10.0,small
R5S,170,Validation,Transport,2.86e-18,7.15e-19,2.86,10.0,small
R5S,180,Calibration,Transport,2.96e-18,7.41e-19,2.96,10.0,small
R5S,190,Calibration,Transport,3.07e-18,7.67e-19,3.07,10.0,small
R5S,200,Calibration,Transport,3.17e-18,7.93e-19,3.17,10.0,small
R5S,210,Calibration,Transport,3.27e-18,8.19e-19,3.27,10.0,small
R5S,220,Calibration,Transport,3.38e-18,8.44e-19,3.38,10.0,small
R5S,230,Calibration,Transport,3.48e-18,8.70e-19,3.48,10.0,small
R5S,240,Calibration,Transport,3.58e-18,8.96e-19,3.58,10.0,small
R5S,250,Calibration,Transport,3.69e-18,9.22e-19,3.69,10.0,small
R5S,260,Calibration,Transport,3.79e-18,9.48e-19,3.79,10.0,small
R5S,270,Validation,Transport,3.90e-18,9.74e-19,3.9,10.0,small
R5S,280,Calibration,Transport,4.00e-18,1.00e-18,4.0,10.0,small
R5S,290,Calibration,Transport,4.11e-18,1.03e-18,4.11,10.0,small
R5S,300,Validation,Transport,4.21e-18,1.05e-18,4.21,10.0,small
R5S,310,Calibration,Transport,4.32e-18,1.08e-18,4.32,10.0,small
R5S,320,Calibration,Transport,4.43e-18,1.11e-18,4.43,10.0,small
R5S,330,Calibration,Transport,4.54e-18,1.13e-18,4.54,10.0,small
R5S,340,Calibration,Transport,4.65e-18,1.16e-18,4.65,10.0,small
R5S,350,Validation,Transport,4.76e-18,1.19e-18,4.76,10.0,small
R5S,360,Validation,Transport,4.87e-18,1.22e-18,4.87,10.0,small
R5S,370,Calibration,Transport,4.98e-18,1.24e-18,4.98,10.0,small
R5S,380,Validation,Transport,5.09e-18,1.27e-18,5.09,10.0,small
R5S,390,Validation,Transport,5.20e-18,1.30e-18,5.2,10.0,small
R5S,400,Calibration,Transport,5.31e-18,1.33e-18,5.31,10.0,small
R5S,410,Validation,Transport,5.43e-18,1.36e-18,5.43,10.0,small
R5S,420,Calibration,Transport,5.54e-18,1.39e-18,5.54,10.0,small
R5S,430,Validation,Transport,5.66e-18,1.41e-18,5.66,10.0,small
R5S,440,Validation,Transport,5.78e-18,1.44e-18,5.78,10.0,small
R5S,450,Calibration,Transport,5.89e-18,1.47e-18,5.89,10.0,small
R5S,460,Calibration,Transport,6.01e-18,1.50e-18,6.01,10.0,small
R5S,470,Calibration,Transport,6.13e-18,1.53e-18,6.13,10.0,small
R5S,480,Calibration,Transport,6.25e-18,1.56e-18,6.25,10.0,small
R5S,490,Validation,Transport,6.37e-18,1.59e-18,6.37,10.0,small
R5S,500,Validation,Transport,6.49e-18,1.62e-18,6.49,10.0,small
R5S,510,Calibration,Transport,6.62e-18,1.65e-18,6.62,10.0,small
R5S,520,Calibration,Transport,6.74e-18,1.69e-18,6.74,10.0,small
R5S,530,Calibration,Transport,6.87e-18,1.72e-18,6.87,10.0,small
R5S,540,Calibration,Transport,6.99e-18,1.75e-18,6.99,10.0,small
R5S,550,Calibration,Transport,7.12e-18,1.78e-18,7.12,10.0,small
R5S,560,Calibration,Transport,7.25e-18,1.81e-18,7.25,10.0,small
R5S,570,Validation,Transport,7.37e-18,1.84e-18,7.37,10.0,small
R5S,580,Calibration,Transport,7.50e-18,1.88e-18,7.5,10.0,small
R5S,590,Calibration,Transport,7.64e-18,1.91e-18,7.64,10.0,small
R5S,600,Validation,Transport,7.77e-18,1.94e-18,7.77,10.0,small
R5S,610,Calibration,Transport,7.90e-18,1.98e-18,7.9,10.0,small
R5S,620,Validation,Transport,8.03e-18,2.01e-18,8.03,10.0,small
R5S,630,Validation,Transport,8.17e-18,2.04e-18,8.17,10.0,small
R5S,640,Calibration,Transport,8.31e-18,2.08e-18,8.31,10.0,small
R5S,650,Calibration,Transport,8.44e-18,2.11e-18,8.44,10.0,small
R5S,660,Calibration,Transport,8.58e-18,2.15e-18,8.58,10.0,small
R5S,670,Calibration,Transport,8.72e-18,2.18e-18,8.72,10.0,small
R5S,680,Calibration,Transport,8.86e-18,2.22e-18,8.86,10.0,small
R5S,690,Calibration,Transport,9.00e-18,2.25e-18,9.0,10.0,small
R5S,700,Calibration,Transport,9.15e-18,2.29e-18,9.15,10.0,small
R5S,710,Calibration,Transport,9.29e-18,2.32e-18,9.29,10.0,small
R5S,720,Calibration,Transport,9.44e-18,2.36e-18,9.44,10.0,small
R5S,730,Validation,Transport,9.58e-18,2.40e-18,9.58,10.0,small
R5S,740,Calibration,Transport,9.73e-18,2.43e-18,9.73,10.0,small
R5S,750,Calibration,Transport,9.88e-18,2.47e-18,9.88,10.0,small
R5S,760,Calibration,Transport,1.00e-17,2.51e-18,10.03,10.0,small
R5S,770,Validation,Transport,1.02e-17,2.55e-18,10.18,10.0,small
R5S,780,Calibration,Transport,1.03e-17,2.58e-18,10.33,10.0,small
R5S,790,Calibration,Transport,1.05e-17,2.62e-18,10.49,10.0,small
R5S,800,Validation,Transport,1.06e-17,2.66e-18,10.64,10.0,small
R10S,20,Calibration,Transport,1.54e-18,3.84e-19,1.54,10.0,small
R10S,30,Validation,Transport,1.59e-18,3.96e-19,1.59,10.0,small
R10S,40,Calibration,Transport,1.63e-18,4.09e-19,1.63,10.0,small
R10S,50,Calibration,Transport,1.68e-18,4.21e-19,1.68,10.0,small
R10S,60,Calibration,Transport,1.73e-18,4.33e-19,1.73,10.0,small
R10S,70,Calibration,Transport,1.78e-18,4.46e-19,1.78,10.0,small
R10S,80,Calibration,Transport,1.83e-18,4.58e-19,1.83,10.0,small
R10S,90,Validation,Transport,1.88e-18,4.71e-19,1.88,10.0,small
R10S,100,Calibration,Transport,1.93e-18,4.83e-19,1.93,10.0,small
R10S,110,Calibration,Transport,2.17e-18,5.44e-19,2.17,10.0,small
R10S,120,Calibration,Transport,2.31e-18,5.78e-19,2.31,10.0,small
R10S,130,Calibration,Transport,2.43e-18,6.08e-19,2.43,10.0,small
R10S,140,Calibration,Transport,2.55e-18,6.36e-19,2.55,10.0,small
R10S,150,Calibration,Transport,2.66e-18,6.64e-19,2.66,10.0,small
R10S,160,Calibration,Transport,2.76e-18,6.91e-19,2.76,10.0,small
R10S,170,Calibration,Transport,2.87e-18,7.18e-19,2.87,10.0,small
R10S,180,Calibration,Transport,2.98e-18,7.44e-19,2.98,10.0,small
R10S,190,Calibration,Transport,3.08e-18,7.71e-19,3.08,10.0,small
R10S,200,Calibration,Transport,3.19e-18,7.97e-19,3.19,10.0,small
R10S,210,Calibration,Transport,3.29e-18,8.23e-19,3.29,10.0,small
R10S,220,Validation,Transport,3.40e-18,8.50e-19,3.4,10.0,small
R10S,230,Calibration,Transport,3.51e-18,8.76e-19,3.51,10.0,small
R10S,240,Calibration,Transport,3.61e-18,9.03e-19,3.61,10.0,small
R10S,250,Calibration,Transport,3.72e-18,9.30e-19,3.72,10.0,small
R10S,260,Validation,Transport,3.83e-18,9.57e-19,3.83,10.0,small
R10S,270,Validation,Transport,3.94e-18,9.84e-19,3.94,10.0,small
R10S,280,Calibration,Transport,4.05e-18,1.01e-18,4.05,10.0,small
R10S,290,Calibration,Transport,4.16e-18,1.04e-18,4.16,10.0,small
R10S,300,Validation,Transport,4.27e-18,1.07e-18,4.27,10.0,small
R10S,310,Calibration,Transport,4.38e-18,1.10e-18,4.38,10.0,small
R10S,320,Calibration,Transport,4.49e-18,1.12e-18,4.49,10.0,small
R10S,330,Calibration,Transport,4.61e-18,1.15e-18,4.61,10.0,small
R10S,340,Calibration,Transport,4.72e-18,1.18e-18,4.72,10.0,small
R10S,350,Validation,Transport,4.84e-18,1.21e-18,4.84,10.0,small
R10S,360,Validation,Transport,4.96e-18,1.24e-18,4.96,10.0,small
R10S,370,Calibration,Transport,5.07e-18,1.27e-18,5.07,10.0,small
R10S,380,Calibration,Transport,5.19e-18,1.30e-18,5.19,10.0,small
R10S,390,Calibration,Transport,5.32e-18,1.33e-18,5.32,10.0,small
R10S,400,Validation,Transport,5.44e-18,1.36e-18,5.44,10.0,small
R10S,410,Validation,Transport,5.56e-18,1.39e-18,5.56,10.0,small
R10S,420,Validation,Transport,5.69e-18,1.42e-18,5.69,10.0,small
R10S,430,Validation,Transport,5.81e-18,1.45e-18,5.81,10.0,small
R10S,440,Calibration,Transport,5.94e-18,1.48e-18,5.94,10.0,small
R10S,450,Calibration,Transport,6.07e-18,1.52e-18,6.07,10.0,small
R10S,460,Calibration,Transport,6.20e-18,1.55e-18,6.2,10.0,small
R10S,470,Validation,Transport,6.33e-18,1.58e-18,6.33,10.0,small
R10S,480,Calibration,Transport,6.46e-18,1.62e-18,6.46,10.0,small
R10S,490,Calibration,Transport,6.60e-18,1.65e-18,6.6,10.0,small
R10S,500,Calibration,Transport,6.73e-18,1.68e-18,6.73,10.0,small
R10S,510,Calibration,Transport,6.87e-18,1.72e-18,6.87,10.0,small
R10S,520,Calibration,Transport,7.01e-18,1.75e-18,7.01,10.0,small
R10S,530,Calibration,Transport,7.15e-18,1.79e-18,7.15,10.0,small
R10S,540,Calibration,Transport,7.29e-18,1.82e-18,7.29,10.0,small
R10S,550,Calibration,Transport,7.43e-18,1.86e-18,7.43,10.0,small
R10S,560,Calibration,Transport,7.58e-18,1.89e-18,7.58,10.0,small
R10S,570,Calibration,Transport,7.72e-18,1.93e-18,7.72,10.0,small
R10S,580,Validation,Transport,7.87e-18,1.97e-18,7.87,10.0,small
R10S,590,Calibration,Transport,8.02e-18,2.01e-18,8.02,10.0,small
R10S,600,Calibration,Transport,8.17e-18,2.04e-18,8.17,10.0,small
R10S,610,Validation,Transport,8.33e-18,2.08e-18,8.33,10.0,small
R10S,620,Calibration,Transport,8.48e-18,2.12e-18,8.48,10.0,small
R10S,630,Validation,Transport,8.64e-18,2.16e-18,8.64,10.0,small
R10S,640,Calibration,Transport,8.80e-18,2.20e-18,8.8,10.0,small
R10S,650,Calibration,Transport,8.96e-18,2.24e-18,8.96,10.0,small
R10S,660,Calibration,Transport,9.12e-18,2.28e-18,9.12,10.0,small
R10S,670,Calibration,Transport,9.29e-18,2.32e-18,9.29,10.0,small
R10S,680,Calibration,Transport,9.45e-18,2.36e-18,9.45,10.0,small
R10S,690,Calibration,Transport,9.62e-18,2.41e-18,9.62,10.0,small
R10S,700,Validation,Transport,9.79e-18,2.45e-18,9.79,10.0,small
R10S,710,Calibration,Transport,9.97e-18,2.49e-18,9.97,10.0,small
R10S,720,Validation,Transport,1.01e-17,2.53e-18,10.14,10.0,small
R10S,730,Calibration,Transport,1.03e-17,2.58e-18,10.32,10.0,small
R10S,740,Validation,Transport,1.05e-17,2.62e-18,10.5,10.0,small
R10S,750,Calibration,Transport,1.07e-17,2.67e-18,10.68,10.0,small
R10S,760,Calibration,Transport,1.09e-17,2.71e-18,10.86,10.0,small
R10S,770,Calibration,Transport,1.10e-17,2.76e-18,11.04,10.0,small
R10S,780,Calibration,Transport,1.12e-17,2.81e-18,11.23,10.0,small
R10S,790,Validation,Transport,1.14e-17,2.86e-18,11.42,10.0,small
R10S,800,Calibration,Transport,1.16e-17,2.90e-18,11.61,10.0,small
R15S,20,Calibration,Transport,1.70e-18,4.26e-19,1.7,15.0,small
R15S,30,Calibration,Transport,1.76e-18,4.40e-19,1.76,15.0,small
R15S,40,Calibration,Transport,1.81e-18,4.53e-19,1.81,15.0,small
R15S,50,Validation,Transport,1.87e-18,4.67e-19,1.87,15.0,small
R15S,60,Validation,Transport,1.92e-18,4.81e-19,1.92,15.0,small
R15S,70,Validation,Transport,1.98e-18,4.95e-19,1.98,15.0,small
R15S,80,Calibration,Transport,2.04e-18,5.09e-19,2.04,15.0,small
R15S,90,Calibration,Transport,2.09e-18,5.23e-19,2.09,15.0,small
R15S,100,Validation,Transport,2.15e-18,5.37e-19,2.15,15.0,small
R15S,110,Calibration,Transport,2.42e-18,6.04e-19,2.42,15.0,small
R15S,120,Validation,Transport,2.57e-18,6.42e-19,2.57,15.0,small
R15S,130,Validation,Transport,2.70e-18,6.76e-19,2.7,15.0,small
R15S,140,Validation,Transport,2.83e-18,7.08e-19,2.83,15.0,small
R15S,150,Calibration,Transport,2.95e-18,7.39e-19,2.95,15.0,small
R15S,160,Calibration,Transport,3.08e-18,7.69e-19,3.08,15.0,small
R15S,170,Validation,Transport,3.20e-18,7.99e-19,3.2,15.0,small
R15S,180,Calibration,Transport,3.32e-18,8.29e-19,3.32,15.0,small
R15S,190,Calibration,Transport,3.44e-18,8.59e-19,3.44,15.0,small
R15S,200,Calibration,Transport,3.56e-18,8.89e-19,3.56,15.0,small
R15S,210,Validation,Transport,3.68e-18,9.19e-19,3.68,15.0,small
R15S,220,Calibration,Transport,3.80e-18,9.49e-19,3.8,15.0,small
R15S,230,Calibration,Transport,3.92e-18,9.79e-19,3.92,15.0,small
R15S,240,Calibration,Transport,4.04e-18,1.01e-18,4.04,15.0,small
R15S,250,Calibration,Transport,4.16e-18,1.04e-18,4.16,15.0,small
R15S,260,Validation,Transport,4.29e-18,1.07e-18,4.29,15.0,small
R15S,270,Calibration,Transport,4.41e-18,1.10e-18,4.41,15.0,small
R15S,280,Calibration,Transport,4.54e-18,1.13e-18,4.54,15.0,small
R15S,290,Validation,Transport,4.67e-18,1.17e-18,4.67,15.0,small
R15S,300,Validation,Transport,4.79e-18,1.20e-18,4.79,15.0,small
R15S,310,Calibration,Transport,4.92e-18,1.23e-18,4.92,15.0,small
R15S,320,Validation,Transport,5.06e-18,1.26e-18,5.06,15.0,small
R15S,330,Calibration,Transport,5.19e-18,1.30e-18,5.19,15.0,small
R15S,340,Calibration,Transport,5.32e-18,1.33e-18,5.32,15.0,small
R15S,350,Validation,Transport,5.46e-18,1.37e-18,5.46,15.0,small
R15S,360,Validation,Transport,5.60e-18,1.40e-18,5.6,15.0,small
R15S,370,Validation,Transport,5.74e-18,1.43e-18,5.74,15.0,small
R15S,380,Validation,Transport,5.88e-18,1.47e-18,5.88,15.0,small
R15S,390,Calibration,Transport,6.02e-18,1.51e-18,6.02,15.0,small
R15S,400,Calibration,Transport,6.17e-18,1.54e-18,6.17,15.0,small
R15S,410,Validation,Transport,6.32e-18,1.58e-18,6.32,15.0,small
R15S,420,Calibration,Transport,6.46e-18,1.62e-18,6.46,15.0,small
R15S,430,Validation,Transport,6.62e-18,1.65e-18,6.62,15.0,small
R15S,440,Validation,Transport,6.77e-18,1.69e-18,6.77,15.0,small
R15S,450,Validation,Transport,6.92e-18,1.73e-18,6.92,15.0,small
R15S,460,Calibration,Transport,7.08e-18,1.77e-18,7.08,15.0,small
R15S,470,Calibration,Transport,7.24e-18,1.81e-18,7.24,15.0,small
R15S,480,Calibration,Transport,7.40e-18,1.85e-18,7.4,15.0,small
R15S,490,Calibration,Transport,7.56e-18,1.89e-18,7.56,15.0,small
R15S,500,Calibration,Transport,7.73e-18,1.93e-18,7.73,15.0,small
R15S,510,Calibration,Transport,7.90e-18,1.97e-18,7.9,15.0,small
R15S,520,Calibration,Transport,8.07e-18,2.02e-18,8.07,15.0,small
R15S,530,Calibration,Transport,8.24e-18,2.06e-18,8.24,15.0,small
R15S,540,Calibration,Transport,8.42e-18,2.10e-18,8.42,15.0,small
R15S,550,Calibration,Transport,8.59e-18,2.15e-18,8.59,15.0,small
R15S,560,Calibration,Transport,8.77e-18,2.19e-18,8.77,15.0,small
R15S,570,Validation,Transport,8.96e-18,2.24e-18,8.96,15.0,small
R15S,580,Calibration,Transport,9.14e-18,2.29e-18,9.14,15.0,small
R15S,590,Calibration,Transport,9.33e-18,2.33e-18,9.33,15.0,small
R15S,600,Calibration,Transport,9.52e-18,2.38e-18,9.52,15.0,small
R15S,610,Validation,Transport,9.71e-18,2.43e-18,9.71,15.0,small
R15S,620,Calibration,Transport,9.91e-18,2.48e-18,9.91,15.0,small
R15S,630,Calibration,Transport,1.01e-17,2.53e-18,10.11,15.0,small
R15S,640,Calibration,Transport,1.03e-17,2.58e-18,10.31,15.0,small
R15S,650,Calibration,Transport,1.05e-17,2.63e-18,10.51,15.0,small
R15S,660,Calibration,Transport,1.07e-17,2.68e-18,10.72,15.0,small
R15S,670,Calibration,Transport,1.09e-17,2.73e-18,10.93,15.0,small
R15S,680,Calibration,Transport,1.11e-17,2.79e-18,11.14,15.0,small
R15S,690,Validation,Transport,1.14e-17,2.84e-18,11.36,15.0,small
R15S,700,Validation,Transport,1.16e-17,2.90e-18,11.58,15.0,small
R15S,710,Calibration,Transport,1.18e-17,2.95e-18,11.8,15.0,small
R15S,720,Calibration,Transport,1.20e-17,3.01e-18,12.03,15.0,small
R15S,730,Validation,Transport,1.23e-17,3.06e-18,12.26,15.0,small
R15S,740,Calibration,Transport,1.25e-17,3.12e-18,12.49,15.0,small
R15S,750,Calibration,Transport,1.27e-17,3.18e-18,12.73,15.0,small
R15S,760,Calibration,Transport,1.30e-17,3.24e-18,12.97,15.0,small
R15S,770,Calibration,Transport,1.32e-17,3.30e-18,13.21,15.0,small
R15S,780,Validation,Transport,1.35e-17,3.36e-18,13.45,15.0,small
R15S,790,Validation,Transport,1.37e-17,3.43e-18,13.7,15.0,small
R15S,800,Calibration,Transport,1.40e-17,3.49e-18,13.96,15.0,small
R20S,20,Calibration,Transport,1.87e-18,4.68e-19,1.87,20.0,small
R20S,30,Calibration,Transport,1.93e-18,4.83e-19,1.93,20.0,small
R20S,40,Calibration,Transport,1.99e-18,4.98e-19,1.99,20.0,small
R20S,50,Calibration,Transport,2.05e-18,5.13e-19,2.05,20.0,small
R20S,60,Calibration,Transport,2.11e-18,5.29e-19,2.11,20.0,small
R20S,70,Validation,Transport,2.18e-18,5.44e-19,2.18,20.0,small
R20S,80,Calibration,Transport,2.24e-18,5.59e-19,2.24,20.0,small
R20S,90,Calibration,Transport,2.30e-18,5.75e-19,2.3,20.0,small
R20S,100,Validation,Transport,2.36e-18,5.90e-19,2.36,20.0,small
R20S,110,Validation,Transport,2.66e-18,6.64e-19,2.66,20.0,small
R20S,120,Calibration,Transport,2.82e-18,7.06e-19,2.82,20.0,small
R20S,130,Calibration,Transport,2.97e-18,7.44e-19,2.97,20.0,small
R20S,140,Calibration,Transport,3.12e-18,7.79e-19,3.12,20.0,small
R20S,150,Calibration,Transport,3.25e-18,8.14e-19,3.25,20.0,small
R20S,160,Calibration,Transport,3.39e-18,8.48e-19,3.39,20.0,small
R20S,170,Validation,Transport,3.52e-18,8.81e-19,3.52,20.0,small
R20S,180,Calibration,Transport,3.66e-18,9.15e-19,3.66,20.0,small
R20S,190,Calibration,Transport,3.79e-18,9.48e-19,3.79,20.0,small
R20S,200,Calibration,Transport,3.93e-18,9.82e-19,3.93,20.0,small
R20S,210,Calibration,Transport,4.06e-18,1.02e-18,4.06,20.0,small
R20S,220,Validation,Transport,4.20e-18,1.05e-18,4.2,20.0,small
R20S,230,Validation,Transport,4.33e-18,1.08e-18,4.33,20.0,small
R20S,240,Calibration,Transport,4.47e-18,1.12e-18,4.47,20.0,small
R20S,250,Calibration,Transport,4.61e-18,1.15e-18,4.61,20.0,small
R20S,260,Calibration,Transport,4.75e-18,1.19e-18,4.75,20.0,small
R20S,270,Calibration,Transport,4.89e-18,1.22e-18,4.89,20.0,small
R20S,280,Calibration,Transport,5.04e-18,1.26e-18,5.04,20.0,small
R20S,290,Calibration,Transport,5.18e-18,1.30e-18,5.18,20.0,small
R20S,300,Calibration,Transport,5.33e-18,1.33e-18,5.33,20.0,small
R20S,310,Calibration,Transport,5.48e-18,1.37e-18,5.48,20.0,small
R20S,320,Calibration,Transport,5.63e-18,1.41e-18,5.63,20.0,small
R20S,330,Calibration,Transport,5.79e-18,1.45e-18,5.79,20.0,small
R20S,340,Calibration,Transport,5.94e-18,1.49e-18,5.94,20.0,small
R20S,350,Calibration,Transport,6.10e-18,1.53e-18,6.1,20.0,small
R20S,360,Calibration,Transport,6.26e-18,1.57e-18,6.26,20.0,small
R20S,370,Validation,Transport,6.42e-18,1.61e-18,6.42,20.0,small
R20S,380,Calibration,Transport,6.59e-18,1.65e-18,6.59,20.0,small
R20S,390,Calibration,Transport,6.76e-18,1.69e-18,6.76,20.0,small
R20S,400,Calibration,Transport,6.93e-18,1.73e-18,6.93,20.0,small
R20S,410,Calibration,Transport,7.10e-18,1.77e-18,7.1,20.0,small
R20S,420,Calibration,Transport,7.28e-18,1.82e-18,7.28,20.0,small
R20S,430,Calibration,Transport,7.45e-18,1.86e-18,7.45,20.0,small
R20S,440,Validation,Transport,7.63e-18,1.91e-18,7.63,20.0,small
R20S,450,Calibration,Transport,7.82e-18,1.95e-18,7.82,20.0,small
R20S,460,Calibration,Transport,8.00e-18,2.00e-18,8.0,20.0,small
