Mix_ID,Temperature_C,Data_Type,Property_Type,O2_Diffusivity_Mean_m2_s,O2_Diffusivity_Std_m2_s,CO2_Diffusivity_Mean_m2_s,CO2_Diffusivity_Std_m2_s,O2_Permeability_m2_s_Pa,CO2_Permeability_m2_s_Pa,Rubber_Content_Percent,Particle_Size
C,590,Calibration,Transport,9.38e-04,1.88e-04,1.41e-03,2.82e-04,1.31e-06,4.65e-05,0.0,small
C,600,Validation,Transport,9.84e-04,1.97e-04,1.49e-03,2.97e-04,1.38e-06,4.90e-05,0.0,small
C,610,Calibration,Transport,1.03e-03,2.06e-04,1.57e-03,3.13e-04,1.44e-06,5.17e-05,0.0,small
C,620,Calibration,Transport,1.08e-03,2.16e-04,1.65e-03,3.29e-04,1.51e-06,5.44e-05,0.0,small
C,630,Calibration,Transport,1.13e-03,2.26e-04,1.73e-03,3.46e-04,1.58e-06,5.72e-05,0.0,small
C,640,Calibration,Transport,1.18e-03,2.37e-04,1.82e-03,3.64e-04,1.66e-06,6.00e-05,0.0,small
C,650,Calibration,Transport,1.24e-03,2.47e-04,1.91e-03,3.82e-04,1.73e-06,6.30e-05,0.0,small
C,660,Calibration,Transport,1.29e-03,2.58e-04,2.00e-03,4.01e-04,1.81e-06,6.61e-05,0.0,small
C,670,Calibration,Transport,1.35e-03,2.70e-04,2.10e-03,4.20e-04,1.89e-06,6.93e-05,0.0,small
C,680,Calibration,Transport,1.41e-03,2.81e-04,2.20e-03,4.40e-04,1.97e-06,7.26e-05,0.0,small
C,690,Calibration,Transport,1.47e-03,2.93e-04,2.30e-03,4.60e-04,2.05e-06,7.59e-05,0.0,small
C,700,Calibration,Transport,1.53e-03,3.05e-04,2.41e-03,4.81e-04,2.14e-06,7.94e-05,0.0,small
C,710,Calibration,Transport,1.59e-03,3.18e-04,2.51e-03,5.03e-04,2.23e-06,8.30e-05,0.0,small
C,720,Calibration,Transport,1.65e-03,3.31e-04,2.63e-03,5.25e-04,2.32e-06,8.66e-05,0.0,small
C,730,Calibration,Transport,1.72e-03,3.44e-04,2.74e-03,5.48e-04,2.41e-06,9.04e-05,0.0,small
C,740,Calibration,Transport,1.79e-03,3.58e-04,2.86e-03,5.72e-04,2.50e-06,9.43e-05,0.0,small
C,750,Calibration,Transport,1.86e-03,3.71e-04,2.98e-03,5.96e-04,2.60e-06,9.83e-05,0.0,small
C,760,Calibration,Transport,1.93e-03,3.86e-04,3.10e-03,6.21e-04,2.70e-06,1.02e-04,0.0,small
C,770,Calibration,Transport,2.00e-03,4.00e-04,3.23e-03,6.46e-04,2.80e-06,1.07e-04,0.0,small
C,780,Calibration,Transport,2.07e-03,4.15e-04,3.36e-03,6.72e-04,2.90e-06,1.11e-04,0.0,small
C,790,Validation,Transport,2.15e-03,4.30e-04,3.50e-03,6.99e-04,3.01e-06,1.15e-04,0.0,small
C,800,Calibration,Transport,2.23e-03,4.46e-04,3.63e-03,7.27e-04,3.12e-06,1.20e-04,0.0,small
R5S,20,Calibration,Transport,2.07e-06,4.14e-07,1.39e-06,2.78e-07,2.90e-09,4.59e-08,10.0,small
R5S,30,Calibration,Transport,2.70e-06,5.40e-07,1.89e-06,3.78e-07,3.78e-09,6.24e-08,10.0,small
R5S,40,Calibration,Transport,3.46e-06,6.93e-07,2.52e-06,5.04e-07,4.85e-09,8.32e-08,10.0,small
R5S,50,Calibration,Transport,4.39e-06,8.78e-07,3.31e-06,6.62e-07,6.15e-09,1.09e-07,10.0,small
R5S,60,Calibration,Transport,5.49e-06,1.10e-06,4.28e-06,8.56e-07,7.69e-09,1.41e-07,10.0,small
R5S,70,Calibration,Transport,6.80e-06,1.36e-06,5.47e-06,1.09e-06,9.51e-09,1.80e-07,10.0,small
R5S,80,Calibration,Transport,8.32e-06,1.66e-06,6.90e-06,1.38e-06,1.16e-08,2.28e-07,10.0,small
R5S,90,Calibration,Transport,1.01e-05,2.02e-06,8.60e-06,1.72e-06,1.41e-08,2.84e-07,10.0,small
R5S,100,Validation,Transport,1.21e-05,2.43e-06,1.06e-05,2.12e-06,1.70e-08,3.50e-07,10.0,small
R5S,110,Validation,Transport,1.49e-05,2.97e-06,1.33e-05,2.67e-06,2.08e-08,4.40e-07,10.0,small
R5S,120,Validation,Transport,1.78e-05,3.55e-06,1.63e-05,3.27e-06,2.49e-08,5.39e-07,10.0,small
R5S,130,Validation,Transport,2.10e-05,4.20e-06,1.97e-05,3.95e-06,2.94e-08,6.52e-07,10.0,small
R5S,140,Calibration,Transport,2.46e-05,4.92e-06,2.37e-05,4.73e-06,3.44e-08,7.81e-07,10.0,small
R5S,150,Calibration,Transport,2.86e-05,5.73e-06,2.81e-05,5.62e-06,4.01e-08,9.28e-07,10.0,small
R5S,160,Calibration,Transport,3.31e-05,6.63e-06,3.32e-05,6.63e-06,4.64e-08,1.09e-06,10.0,small
R5S,170,Calibration,Transport,3.81e-05,7.62e-06,3.89e-05,7.77e-06,5.33e-08,1.28e-06,10.0,small
R5S,180,Validation,Transport,4.36e-05,8.72e-06,4.53e-05,9.05e-06,6.10e-08,1.49e-06,10.0,small
R5S,190,Calibration,Transport,4.96e-05,9.92e-06,5.24e-05,1.05e-05,6.94e-08,1.73e-06,10.0,small
R5S,200,Validation,Transport,5.62e-05,1.12e-05,6.04e-05,1.21e-05,7.87e-08,1.99e-06,10.0,small
R5S,210,Calibration,Transport,6.34e-05,1.27e-05,6.92e-05,1.38e-05,8.87e-08,2.28e-06,10.0,small
R5S,220,Validation,Transport,7.12e-05,1.42e-05,7.89e-05,1.58e-05,9.97e-08,2.60e-06,10.0,small
R5S,230,Calibration,Transport,7.97e-05,1.59e-05,8.96e-05,1.79e-05,1.12e-07,2.96e-06,10.0,small
R5S,240,Calibration,Transport,8.89e-05,1.78e-05,1.01e-04,2.03e-05,1.24e-07,3.34e-06,10.0,small
R5S,250,Calibration,Transport,9.87e-05,1.97e-05,1.14e-04,2.28e-05,1.38e-07,3.76e-06,10.0,small
R5S,260,Calibration,Transport,1.09e-04,2.19e-05,1.28e-04,2.56e-05,1.53e-07,4.22e-06,10.0,small
R5S,270,Calibration,Transport,1.21e-04,2.42e-05,1.43e-04,2.86e-05,1.69e-07,4.72e-06,10.0,small
R5S,280,Calibration,Transport,1.33e-04,2.66e-05,1.59e-04,3.19e-05,1.86e-07,5.26e-06,10.0,small
R5S,290,Validation,Transport,1.46e-04,2.92e-05,1.77e-04,3.54e-05,2.04e-07,5.85e-06,10.0,small
R5S,300,Calibration,Transport,1.60e-04,3.20e-05,1.96e-04,3.92e-05,2.24e-07,6.47e-06,10.0,small
R5S,310,Calibration,Transport,1.75e-04,3.49e-05,2.17e-04,4.33e-05,2.45e-07,7.15e-06,10.0,small
R5S,320,Calibration,Transport,1.90e-04,3.81e-05,2.39e-04,4.77e-05,2.66e-07,7.87e-06,10.0,small
R5S,330,Validation,Transport,2.07e-04,4.14e-05,2.62e-04,5.24e-05,2.90e-07,8.65e-06,10.0,small
R5S,340,Calibration,Transport,2.25e-04,4.49e-05,2.87e-04,5.74e-05,3.14e-07,9.47e-06,10.0,small
R5S,350,Calibration,Transport,2.43e-04,4.86e-05,3.14e-04,6.28e-05,3.40e-07,1.04e-05,10.0,small
R5S,360,Calibration,Transport,2.63e-04,5.25e-05,3.42e-04,6.84e-05,3.68e-07,1.13e-05,10.0,small
R5S,370,Calibration,Transport,2.83e-04,5.67e-05,3.72e-04,7.45e-05,3.97e-07,1.23e-05,10.0,small
R5S,380,Calibration,Transport,3.05e-04,6.10e-05,4.04e-04,8.08e-05,4.27e-07,1.33e-05,10.0,small
R5S,390,Calibration,Transport,3.28e-04,6.56e-05,4.38e-04,8.76e-05,4.59e-07,1.45e-05,10.0,small
R5S,400,Calibration,Transport,3.52e-04,7.03e-05,4.74e-04,9.48e-05,4.92e-07,1.56e-05,10.0,small
R5S,410,Validation,Transport,3.81e-04,7.62e-05,5.17e-04,1.03e-04,5.33e-07,1.71e-05,10.0,small
R5S,420,Calibration,Transport,4.09e-04,8.18e-05,5.60e-04,1.12e-04,5.73e-07,1.85e-05,10.0,small
R5S,430,Calibration,Transport,4.38e-04,8.77e-05,6.04e-04,1.21e-04,6.14e-07,1.99e-05,10.0,small
R5S,440,Calibration,Transport,4.69e-04,9.37e-05,6.51e-04,1.30e-04,6.56e-07,2.15e-05,10.0,small
R5S,450,Validation,Transport,5.00e-04,1.00e-04,6.99e-04,1.40e-04,7.00e-07,2.31e-05,10.0,small
R5S,460,Calibration,Transport,5.33e-04,1.07e-04,7.51e-04,1.50e-04,7.47e-07,2.48e-05,10.0,small
R5S,470,Validation,Transport,5.68e-04,1.14e-04,8.04e-04,1.61e-04,7.95e-07,2.65e-05,10.0,small
R5S,480,Calibration,Transport,6.03e-04,1.21e-04,8.60e-04,1.72e-04,8.44e-07,2.84e-05,10.0,small
R5S,490,Calibration,Transport,6.40e-04,1.28e-04,9.19e-04,1.84e-04,8.96e-07,3.03e-05,10.0,small
R5S,500,Calibration,Transport,6.79e-04,1.36e-04,9.80e-04,1.96e-04,9.50e-07,3.23e-05,10.0,small
R5S,510,Validation,Transport,7.19e-04,1.44e-04,1.04e-03,2.09e-04,1.01e-06,3.45e-05,10.0,small
R5S,520,Calibration,Transport,7.60e-04,1.52e-04,1.11e-03,2.22e-04,1.06e-06,3.67e-05,10.0,small
R5S,530,Validation,Transport,8.03e-04,1.61e-04,1.18e-03,2.36e-04,1.12e-06,3.89e-05,10.0,small
R5S,540,Validation,Transport,8.48e-04,1.70e-04,1.25e-03,2.50e-04,1.19e-06,4.13e-05,10.0,small
R5S,550,Calibration,Transport,8.94e-04,1.79e-04,1.33e-03,2.66e-04,1.25e-06,4.38e-05,10.0,small
R5S,560,Calibration,Transport,9.41e-04,1.88e-04,1.41e-03,2.81e-04,1.32e-06,4.64e-05,10.0,small
R5S,570,Calibration,Transport,9.91e-04,1.98e-04,1.49e-03,2.97e-04,1.39e-06,4.91e-05,10.0,small
R5S,580,Calibration,Transport,1.04e-03,2.08e-04,1.57e-03,3.14e-04,1.46e-06,5.19e-05,10.0,small
R5S,590,Validation,Transport,1.09e-03,2.19e-04,1.66e-03,3.32e-04,1.53e-06,5.47e-05,10.0,small
R5S,600,Validation,Transport,1.15e-03,2.30e-04,1.75e-03,3.50e-04,1.61e-06,5.77e-05,10.0,small
R5S,610,Calibration,Transport,1.20e-03,2.41e-04,1.84e-03,3.69e-04,1.69e-06,6.08e-05,10.0,small
R5S,620,Calibration,Transport,1.26e-03,2.52e-04,1.94e-03,3.88e-04,1.77e-06,6.40e-05,10.0,small
R5S,630,Validation,Transport,1.32e-03,2.64e-04,2.04e-03,4.08e-04,1.85e-06,6.73e-05,10.0,small
R5S,640,Calibration,Transport,1.38e-03,2.77e-04,2.14e-03,4.29e-04,1.94e-06,7.08e-05,10.0,small
R5S,650,Validation,Transport,1.45e-03,2.89e-04,2.25e-03,4.50e-04,2.02e-06,7.43e-05,10.0,small
R5S,660,Calibration,Transport,1.51e-03,3.02e-04,2.36e-03,4.73e-04,2.11e-06,7.80e-05,10.0,small
R5S,670,Calibration,Transport,1.58e-03,3.15e-04,2.48e-03,4.95e-04,2.21e-06,8.17e-05,10.0,small
R5S,680,Calibration,Transport,1.65e-03,3.29e-04,2.59e-03,5.19e-04,2.30e-06,8.56e-05,10.0,small
R5S,690,Calibration,Transport,1.72e-03,3.43e-04,2.72e-03,5.43e-04,2.40e-06,8.96e-05,10.0,small
R5S,700,Calibration,Transport,1.79e-03,3.58e-04,2.84e-03,5.68e-04,2.50e-06,9.38e-05,10.0,small
R5S,710,Calibration,Transport,1.86e-03,3.72e-04,2.97e-03,5.94e-04,2.61e-06,9.80e-05,10.0,small
R5S,720,Calibration,Transport,1.94e-03,3.88e-04,3.10e-03,6.21e-04,2.71e-06,1.02e-04,10.0,small
R5S,730,Validation,Transport,2.02e-03,4.03e-04,3.24e-03,6.48e-04,2.82e-06,1.07e-04,10.0,small
R5S,740,Validation,Transport,2.10e-03,4.19e-04,3.38e-03,6.76e-04,2.93e-06,1.12e-04,10.0,small
R5S,750,Calibration,Transport,2.18e-03,4.36e-04,3.52e-03,7.05e-04,3.05e-06,1.16e-04,10.0,small
R5S,760,Calibration,Transport,2.26e-03,4.52e-04,3.67e-03,7.35e-04,3.17e-06,1.21e-04,10.0,small
R5S,770,Calibration,Transport,2.35e-03,4.70e-04,3.83e-03,7.65e-04,3.29e-06,1.26e-04,10.0,small
R5S,780,Calibration,Transport,2.44e-03,4.87e-04,3.98e-03,7.96e-04,3.41e-06,1.31e-04,10.0,small
R5S,790,Calibration,Transport,2.53e-03,5.05e-04,4.14e-03,8.29e-04,3.54e-06,1.37e-04,10.0,small
R5S,800,Calibration,Transport,2.62e-03,5.24e-04,4.31e-03,8.61e-04,3.67e-06,1.42e-04,10.0,small
R10S,20,Calibration,Transport,2.07e-06,4.14e-07,1.39e-06,2.78e-07,2.90e-09,4.59e-08,10.0,small
R10S,30,Calibration,Transport,2.70e-06,5.40e-07,1.89e-06,3.78e-07,3.78e-09,6.24e-08,10.0,small
R10S,40,Calibration,Transport,3.47e-06,6.93e-07,2.52e-06,5.04e-07,4.85e-09,8.32e-08,10.0,small
R10S,50,Calibration,Transport,4.39e-06,8.78e-07,3.31e-06,6.62e-07,6.15e-09,1.09e-07,10.0,small
R10S,60,Validation,Transport,5.49e-06,1.10e-06,4.28e-06,8.57e-07,7.69e-09,1.41e-07,10.0,small
R10S,70,Calibration,Transport,6.80e-06,1.36e-06,5.47e-06,1.09e-06,9.52e-09,1.81e-07,10.0,small
R10S,80,Calibration,Transport,8.32e-06,1.66e-06,6.90e-06,1.38e-06,1.17e-08,2.28e-07,10.0,small
R10S,90,Calibration,Transport,1.01e-05,2.02e-06,8.61e-06,1.72e-06,1.41e-08,2.84e-07,10.0,small
R10S,100,Calibration,Transport,1.21e-05,2.43e-06,1.06e-05,2.13e-06,1.70e-08,3.51e-07,10.0,small
R10S,110,Validation,Transport,1.49e-05,2.98e-06,1.34e-05,2.67e-06,2.08e-08,4.41e-07,10.0,small
R10S,120,Calibration,Transport,1.78e-05,3.56e-06,1.64e-05,3.27e-06,2.49e-08,5.40e-07,10.0,small
R10S,130,Validation,Transport,2.10e-05,4.20e-06,1.98e-05,3.96e-06,2.94e-08,6.53e-07,10.0,small
R10S,140,Calibration,Transport,2.46e-05,4.93e-06,2.37e-05,4.74e-06,3.45e-08,7.82e-07,10.0,small
R10S,150,Calibration,Transport,2.87e-05,5.74e-06,2.82e-05,5.63e-06,4.02e-08,9.29e-07,10.0,small
R10S,160,Validation,Transport,3.32e-05,6.64e-06,3.32e-05,6.65e-06,4.65e-08,1.10e-06,10.0,small
R10S,170,Calibration,Transport,3.82e-05,7.64e-06,3.89e-05,7.79e-06,5.35e-08,1.29e-06,10.0,small
R10S,180,Calibration,Transport,4.37e-05,8.74e-06,4.54e-05,9.07e-06,6.12e-08,1.50e-06,10.0,small
R10S,190,Calibration,Transport,4.97e-05,9.95e-06,5.25e-05,1.05e-05,6.96e-08,1.73e-06,10.0,small
R10S,200,Calibration,Transport,5.64e-05,1.13e-05,6.05e-05,1.21e-05,7.89e-08,2.00e-06,10.0,small
R10S,210,Validation,Transport,6.36e-05,1.27e-05,6.94e-05,1.39e-05,8.90e-08,2.29e-06,10.0,small
R10S,220,Calibration,Transport,7.15e-05,1.43e-05,7.92e-05,1.58e-05,1.00e-07,2.61e-06,10.0,small
R10S,230,Calibration,Transport,8.00e-05,1.60e-05,8.99e-05,1.80e-05,1.12e-07,2.97e-06,10.0,small
R10S,240,Calibration,Transport,8.92e-05,1.78e-05,1.02e-04,2.03e-05,1.25e-07,3.36e-06,10.0,small
R10S,250,Calibration,Transport,9.92e-05,1.98e-05,1.15e-04,2.29e-05,1.39e-07,3.78e-06,10.0,small
R10S,260,Calibration,Transport,1.10e-04,2.20e-05,1.29e-04,2.57e-05,1.54e-07,4.24e-06,10.0,small
R10S,270,Calibration,Transport,1.21e-04,2.43e-05,1.44e-04,2.88e-05,1.70e-07,4.75e-06,10.0,small
R10S,280,Calibration,Transport,1.34e-04,2.67e-05,1.60e-04,3.21e-05,1.87e-07,5.29e-06,10.0,small
R10S,290,Validation,Transport,1.47e-04,2.94e-05,1.78e-04,3.56e-05,2.06e-07,5.88e-06,10.0,small
R10S,300,Calibration,Transport,1.61e-04,3.22e-05,1.97e-04,3.95e-05,2.25e-07,6.51e-06,10.0,small
R10S,310,Calibration,Transport,1.76e-04,3.51e-05,2.18e-04,4.36e-05,2.46e-07,7.19e-06,10.0,small
R10S,320,Validation,Transport,1.92e-04,3.83e-05,2.40e-04,4.80e-05,2.68e-07,7.92e-06,10.0,small
R10S,330,Calibration,Transport,2.08e-04,4.17e-05,2.64e-04,5.27e-05,2.92e-07,8.70e-06,10.0,small
R10S,340,Calibration,Transport,2.26e-04,4.52e-05,2.89e-04,5.78e-05,3.17e-07,9.54e-06,10.0,small
R10S,350,Calibration,Transport,2.45e-04,4.90e-05,3.16e-04,6.32e-05,3.43e-07,1.04e-05,10.0,small
R10S,360,Calibration,Transport,2.65e-04,5.29e-05,3.45e-04,6.89e-05,3.71e-07,1.14e-05,10.0,small
R10S,370,Calibration,Transport,2.86e-04,5.71e-05,3.75e-04,7.50e-05,4.00e-07,1.24e-05,10.0,small
R10S,380,Validation,Transport,3.07e-04,6.15e-05,4.08e-04,8.15e-05,4.30e-07,1.34e-05,10.0,small
R10S,390,Calibration,Transport,3.31e-04,6.61e-05,4.42e-04,8.83e-05,4.63e-07,1.46e-05,10.0,small
R10S,400,Calibration,Transport,3.55e-04,7.10e-05,4.78e-04,9.56e-05,4.97e-07,1.58e-05,10.0,small
R10S,410,Validation,Transport,3.84e-04,7.68e-05,5.22e-04,1.04e-04,5.38e-07,1.72e-05,10.0,small
R10S,420,Calibration,Transport,4.13e-04,8.25e-05,5.65e-04,1.13e-04,5.78e-07,1.86e-05,10.0,small
R10S,430,Calibration,Transport,4.42e-04,8.85e-05,6.10e-04,1.22e-04,6.19e-07,2.01e-05,10.0,small
R10S,440,Calibration,Transport,4.73e-04,9.46e-05,6.57e-04,1.31e-04,6.62e-07,2.17e-05,10.0,small
R10S,450,Validation,Transport,5.05e-04,1.01e-04,7.06e-04,1.41e-04,7.07e-07,2.33e-05,10.0,small
R10S,460,Calibration,Transport,5.39e-04,1.08e-04,7.58e-04,1.52e-04,7.54e-07,2.50e-05,10.0,small
R10S,470,Calibration,Transport,5.73e-04,1.15e-04,8.13e-04,1.63e-04,8.03e-07,2.68e-05,10.0,small
R10S,480,Calibration,Transport,6.10e-04,1.22e-04,8.69e-04,1.74e-04,8.54e-07,2.87e-05,10.0,small
R10S,490,Calibration,Transport,6.47e-04,1.29e-04,9.29e-04,1.86e-04,9.06e-07,3.07e-05,10.0,small
R10S,500,Calibration,Transport,6.86e-04,1.37e-04,9.91e-04,1.98e-04,9.61e-07,3.27e-05,10.0,small
R10S,510,Calibration,Transport,7.27e-04,1.45e-04,1.06e-03,2.11e-04,1.02e-06,3.49e-05,10.0,small
R10S,520,Validation,Transport,7.69e-04,1.54e-04,1.12e-03,2.25e-04,1.08e-06,3.71e-05,10.0,small
R10S,530,Calibration,Transport,8.13e-04,1.63e-04,1.19e-03,2.39e-04,1.14e-06,3.94e-05,10.0,small
R10S,540,Calibration,Transport,8.58e-04,1.72e-04,1.27e-03,2.54e-04,1.20e-06,4.18e-05,10.0,small
R10S,550,Validation,Transport,9.05e-04,1.81e-04,1.34e-03,2.69e-04,1.27e-06,4.44e-05,10.0,small
R10S,560,Validation,Transport,9.54e-04,1.91e-04,1.42e-03,2.85e-04,1.34e-06,4.70e-05,10.0,small
R10S,570,Calibration,Transport,1.00e-03,2.01e-04,1.51e-03,3.01e-04,1.41e-06,4.97e-05,10.0,small
R10S,580,Calibration,Transport,1.06e-03,2.11e-04,1.59e-03,3.19e-04,1.48e-06,5.26e-05,10.0,small
R10S,590,Calibration,Transport,1.11e-03,2.22e-04,1.68e-03,3.36e-04,1.55e-06,5.55e-05,10.0,small
R10S,600,Validation,Transport,1.16e-03,2.33e-04,1.77e-03,3.55e-04,1.63e-06,5.86e-05,10.0,small
R10S,610,Validation,Transport,1.22e-03,2.44e-04,1.87e-03,3.74e-04,1.71e-06,6.17e-05,10.0,small
R10S,620,Calibration,Transport,1.28e-03,2.56e-04,1.97e-03,3.94e-04,1.79e-06,6.50e-05,10.0,small
R10S,630,Validation,Transport,1.34e-03,2.68e-04,2.07e-03,4.14e-04,1.88e-06,6.84e-05,10.0,small
