x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_xy_MPa,uncertainty_MPa
1.658,8.766,0.0,XRD,-18.92,-17.02,0.0,3.63
1.658,9.174,0.0,XRD,-20.41,-24.41,0.0,6.13
1.658,9.581,0.0,XRD,-17.51,-1.66,0.0,5.73
1.658,9.989,0.0,XRD,-6.7,-10.29,0.0,3.44
2.132,0.204,0.0,XRD,-5.57,-12.59,-0.0,4.82
2.132,0.612,0.0,XRD,-21.47,-23.94,-0.0,4.98
2.132,1.019,0.0,XRD,-28.69,-21.73,-0.0,4.65
2.132,1.427,0.0,XRD,-38.65,-36.82,-0.0,4.08
2.132,1.835,0.0,XRD,-44.26,-39.36,-0.0,4.68
2.132,2.242,0.0,XRD,-55.75,-57.26,0.0,4.65
2.132,2.65,0.0,XRD,-63.05,-33.32,0.12,6.16
2.132,3.058,0.0,XRD,-80.94,-47.49,-0.05,7.91
2.132,3.466,0.0,XRD,-67.35,-69.15,-1.83,5.4
2.132,3.873,0.0,XRD,-86.09,-60.74,1.26,6.81
2.132,4.281,0.0,XRD,-95.56,-75.3,-1.87,6.86
2.132,4.689,0.0,XRD,-86.18,-72.26,-0.23,6.53
2.132,5.096,0.0,XRD,-85.96,-81.92,-1.0,6.79
2.132,5.504,0.0,XRD,-79.41,-69.1,-0.35,4.28
2.132,5.912,0.0,XRD,-79.7,-67.22,-1.64,5.35
2.132,6.32,0.0,XRD,-73.7,-66.71,2.84,5.07
2.132,6.727,0.0,XRD,-82.97,-65.09,4.45,6.32
2.132,7.135,0.0,XRD,-69.41,-46.74,-1.28,3.82
2.132,7.543,0.0,XRD,-58.91,-54.18,0.05,3.02
2.132,7.951,0.0,XRD,-42.04,-42.33,-0.0,5.79
2.132,8.358,0.0,XRD,-42.41,-55.32,0.0,5.91
2.132,8.766,0.0,XRD,-33.53,-29.9,-0.0,5.93
2.132,9.174,0.0,XRD,-23.75,-16.79,0.0,4.53
2.132,9.581,0.0,XRD,-28.6,-26.5,0.0,2.49
2.132,9.989,0.0,XRD,-29.69,-25.15,0.0,5.21
2.605,0.204,0.0,XRD,-24.58,-22.08,0.0,4.18
2.605,0.612,0.0,XRD,-32.63,-25.42,-0.0,4.88
2.605,1.019,0.0,XRD,-29.42,-21.89,-0.0,4.41
2.605,1.427,0.0,XRD,-31.65,-35.56,-0.0,5.42
2.605,1.835,0.0,XRD,-49.57,-50.95,-0.0,4.72
2.605,2.242,0.0,XRD,-72.07,-60.96,-0.27,5.67
2.605,2.65,0.0,XRD,-84.0,-57.67,-0.26,4.27
2.605,3.058,0.0,XRD,-93.83,-68.97,1.33,4.34
2.605,3.466,0.0,XRD,-85.77,-73.78,-5.49,6.01
2.605,3.873,0.0,XRD,-93.92,-81.53,2.16,4.72
2.605,4.281,0.0,XRD,-97.32,-79.78,4.75,5.46
2.605,4.689,0.0,XRD,-115.98,-69.17,-3.42,3.17
2.605,5.096,0.0,XRD,-125.69,-82.4,2.22,2.96
2.605,5.504,0.0,XRD,-105.82,-81.95,-3.47,7.55
2.605,5.912,0.0,XRD,-111.63,-85.65,0.82,3.95
2.605,6.32,0.0,XRD,-108.73,-92.96,0.08,4.44
2.605,6.727,0.0,XRD,-96.86,-74.51,0.37,4.8
2.605,7.135,0.0,XRD,-79.28,-55.48,1.66,5.51
2.605,7.543,0.0,XRD,-66.62,-67.54,0.05,6.39
2.605,7.951,0.0,XRD,-60.62,-52.81,0.15,4.17
2.605,8.358,0.0,XRD,-43.27,-54.83,0.0,4.56
2.605,8.766,0.0,XRD,-38.55,-54.67,0.0,4.38
2.605,9.174,0.0,XRD,-28.06,-32.86,-0.0,5.56
2.605,9.581,0.0,XRD,-25.43,-37.84,0.0,5.13
2.605,9.989,0.0,XRD,-21.32,-11.51,-0.0,4.47
3.079,0.204,0.0,XRD,-21.64,-37.57,0.0,6.46
3.079,0.612,0.0,XRD,-19.68,-33.5,-0.0,5.51
3.079,1.019,0.0,XRD,-22.54,-32.17,-0.0,4.94
3.079,1.427,0.0,XRD,-65.29,-53.88,0.0,4.15
3.079,1.835,0.0,XRD,-53.95,-63.77,0.21,4.77
3.079,2.242,0.0,XRD,-67.65,-63.88,1.81,5.51
3.079,2.65,0.0,XRD,-72.81,-77.58,0.78,4.67
3.079,3.058,0.0,XRD,-102.94,-92.51,-0.03,6.9
3.079,3.466,0.0,XRD,-97.31,-101.11,1.32,3.4
3.079,3.873,0.0,XRD,-114.21,-95.62,-5.12,6.03
3.079,4.281,0.0,XRD,-124.83,-92.97,-5.17,3.96
3.079,4.689,0.0,XRD,-145.01,-98.56,10.48,5.51
3.079,5.096,0.0,XRD,-129.25,-101.87,-5.67,3.91
3.079,5.504,0.0,XRD,-118.94,-97.34,-1.57,6.76
3.079,5.912,0.0,XRD,-129.42,-102.08,-3.42,5.33
3.079,6.32,0.0,XRD,-109.79,-97.51,0.17,6.29
3.079,6.727,0.0,XRD,-105.92,-89.21,0.95,4.7
3.079,7.135,0.0,XRD,-96.89,-84.0,-2.97,5.75
3.079,7.543,0.0,XRD,-77.13,-62.89,4.47,5.83
3.079,7.951,0.0,XRD,-54.02,-67.95,1.27,5.99
3.079,8.358,0.0,XRD,-66.6,-60.34,0.8,6.56
3.079,8.766,0.0,XRD,-52.08,-45.86,0.0,4.04
3.079,9.174,0.0,XRD,-41.84,-34.35,0.0,5.59
3.079,9.581,0.0,XRD,-37.13,-27.64,-0.0,5.38
3.079,9.989,0.0,XRD,-22.76,-13.08,0.0,4.32
3.553,0.204,0.0,XRD,-20.89,-37.28,-0.0,3.14
3.553,0.612,0.0,XRD,-32.52,-34.24,-0.0,6.44
3.553,1.019,0.0,XRD,-26.93,-38.43,0.0,4.88
3.553,1.427,0.0,XRD,-45.28,-55.67,-0.22,3.47
3.553,1.835,0.0,XRD,-64.77,-67.02,-0.02,5.53
3.553,2.242,0.0,XRD,-82.97,-95.22,-1.35,4.43
3.553,2.65,0.0,XRD,-79.27,-94.26,-3.7,6.17
3.553,3.058,0.0,XRD,-105.06,-105.96,4.06,3.46
3.553,3.466,0.0,XRD,-103.57,-106.04,6.18,4.54
3.553,3.873,0.0,XRD,-117.1,-120.06,0.47,4.94
3.553,4.281,0.0,XRD,-139.3,-124.9,3.23,4.75
3.553,4.689,0.0,XRD,-156.37,-110.78,0.21,6.8
3.553,5.096,0.0,XRD,-167.79,-119.44,-4.06,4.77
3.553,5.504,0.0,XRD,-152.25,-122.74,-6.63,6.46
3.553,5.912,0.0,XRD,-144.23,-115.15,3.35,5.43
3.553,6.32,0.0,XRD,-124.51,-113.9,2.61,3.98
3.553,6.727,0.0,XRD,-134.29,-110.66,-1.72,5.51
3.553,7.135,0.0,XRD,-100.28,-97.99,-4.38,5.28
3.553,7.543,0.0,XRD,-74.64,-85.76,0.39,6.43
3.553,7.951,0.0,XRD,-78.93,-76.12,-1.51,5.76
3.553,8.358,0.0,XRD,-55.39,-72.31,1.13,3.64
3.553,8.766,0.0,XRD,-55.99,-54.68,-0.17,4.03
3.553,9.174,0.0,XRD,-28.18,-50.03,-0.0,4.91
3.553,9.581,0.0,XRD,-39.44,-23.95,-0.0,6.51
3.553,9.989,0.0,XRD,-15.06,-44.1,-0.0,5.78
4.027,0.204,0.0,XRD,-21.14,-23.81,0.0,4.59
4.027,0.612,0.0,XRD,-40.59,-36.2,-0.0,6.26
4.027,1.019,0.0,XRD,-35.76,-44.55,-0.0,5.28
4.027,1.427,0.0,XRD,-58.23,-61.94,-0.57,5.09
4.027,1.835,0.0,XRD,-49.84,-78.28,0.0,5.42
4.027,2.242,0.0,XRD,-83.67,-98.14,1.92,5.79
4.027,2.65,0.0,XRD,-99.28,-103.97,-0.64,5.25
4.027,3.058,0.0,XRD,-123.82,-112.59,-0.96,4.57
4.027,3.466,0.0,XRD,-134.83,-115.64,6.87,5.79
4.027,3.873,0.0,XRD,-137.58,-117.32,-3.67,5.64
4.027,4.281,0.0,XRD,-147.89,-136.73,-2.56,5.13
4.027,4.689,0.0,XRD,-173.59,-138.49,7.06,2.35
4.027,5.096,0.0,XRD,-172.7,-129.35,-5.09,3.57
4.027,5.504,0.0,XRD,-155.71,-127.95,-4.2,3.52
4.027,5.912,0.0,XRD,-155.54,-123.46,4.41,5.89
4.027,6.32,0.0,XRD,-142.46,-127.15,0.12,5.64
4.027,6.727,0.0,XRD,-121.39,-107.39,-12.85,7.59
4.027,7.135,0.0,XRD,-110.3,-129.35,-0.09,8.46
4.027,7.543,0.0,XRD,-96.65,-124.4,1.08,4.01
4.027,7.951,0.0,XRD,-82.56,-81.37,-1.77,4.08
4.027,8.358,0.0,XRD,-53.46,-76.87,-1.01,5.27
4.027,8.766,0.0,XRD,-65.96,-68.95,-0.49,5.61
4.027,9.174,0.0,XRD,-42.91,-45.1,0.0,4.47
4.027,9.581,0.0,XRD,-28.0,-30.35,0.0,7.78
4.027,9.989,0.0,XRD,-24.87,-31.51,-0.0,3.43
4.5,0.204,0.0,XRD,-13.99,-41.26,0.0,5.61
4.5,0.612,0.0,XRD,-40.86,-28.78,0.0,4.31
4.5,1.019,0.0,XRD,-57.75,-48.98,0.0,5.79
4.5,1.427,0.0,XRD,-77.65,-62.71,0.08,5.3
4.5,1.835,0.0,XRD,-73.73,-88.03,0.94,5.96
4.5,2.242,0.0,XRD,-77.21,-114.65,-2.59,4.08
4.5,2.65,0.0,XRD,-104.81,-95.0,0.16,3.14
4.5,3.058,0.0,XRD,-114.81,-130.98,3.26,3.39
4.5,3.466,0.0,XRD,-141.87,-137.49,-6.6,2.46
4.5,3.873,0.0,XRD,-142.44,-138.01,-4.94,5.0
4.5,4.281,0.0,XRD,-168.0,-157.02,-3.08,5.62
4.5,4.689,0.0,XRD,-182.81,-137.81,3.96,3.36
4.5,5.096,0.0,XRD,-192.57,-128.59,0.02,4.67
4.5,5.504,0.0,XRD,-185.41,-156.75,-0.3,2.9
4.5,5.912,0.0,XRD,-151.34,-154.34,-11.28,5.62
4.5,6.32,0.0,XRD,-151.68,-157.22,-2.25,4.96
4.5,6.727,0.0,XRD,-129.93,-132.36,10.75,2.97
4.5,7.135,0.0,XRD,-104.57,-139.64,-13.13,5.59
4.5,7.543,0.0,XRD,-94.81,-120.77,-3.41,5.33
4.5,7.951,0.0,XRD,-83.86,-106.77,-2.6,4.76
4.5,8.358,0.0,XRD,-66.49,-80.52,-2.41,5.95
4.5,8.766,0.0,XRD,-77.18,-67.73,-0.97,3.61
4.5,9.174,0.0,XRD,-33.62,-49.57,0.0,4.45
4.5,9.581,0.0,XRD,-24.93,-40.93,-0.0,6.66
4.5,9.989,0.0,XRD,-23.99,-37.07,-0.0,4.58
4.974,0.204,0.0,XRD,-15.34,-33.23,0.0,5.02
4.974,0.612,0.0,XRD,-32.3,-59.81,-0.0,5.83
4.974,1.019,0.0,XRD,-49.95,-66.28,-0.13,3.48
4.974,1.427,0.0,XRD,-47.55,-67.16,-0.27,4.19
4.974,1.835,0.0,XRD,-54.42,-93.85,1.11,5.37
4.974,2.242,0.0,XRD,-93.93,-119.0,-0.31,6.33
4.974,2.65,0.0,XRD,-94.9,-132.3,-3.39,2.86
4.974,3.058,0.0,XRD,-109.66,-152.27,7.28,4.77
4.974,3.466,0.0,XRD,-142.86,-153.45,2.63,6.86
4.974,3.873,0.0,XRD,-127.82,-161.93,1.18,4.43
4.974,4.281,0.0,XRD,-139.84,-169.46,5.55,4.29
4.974,4.689,0.0,XRD,-187.09,-145.8,-5.83,4.29
4.974,5.096,0.0,XRD,-189.07,-151.2,0.85,6.24
4.974,5.504,0.0,XRD,-179.78,-160.37,-28.19,2.75
4.974,5.912,0.0,XRD,-174.32,-161.67,10.68,5.85
4.974,6.32,0.0,XRD,-140.05,-166.27,-13.64,3.38
4.974,6.727,0.0,XRD,-128.33,-153.86,8.36,5.88
4.974,7.135,0.0,XRD,-111.75,-140.5,1.52,3.92
4.974,7.543,0.0,XRD,-111.12,-144.91,2.57,3.9
4.974,7.951,0.0,XRD,-86.62,-106.31,-0.3,3.33
4.974,8.358,0.0,XRD,-84.75,-103.84,-1.14,4.82
4.974,8.766,0.0,XRD,-59.94,-70.06,0.39,5.19
4.974,9.174,0.0,XRD,-55.9,-48.15,0.03,5.71
4.974,9.581,0.0,XRD,-29.39,-51.06,-0.0,5.21
4.974,9.989,0.0,XRD,-29.29,-50.42,-0.0,2.62
5.448,0.204,0.0,XRD,-14.86,-29.87,0.0,5.76
5.448,0.612,0.0,XRD,-22.15,-54.69,-0.0,4.87
5.448,1.019,0.0,XRD,-55.85,-63.34,-0.66,4.71
5.448,1.427,0.0,XRD,-64.57,-75.18,0.11,4.24
5.448,1.835,0.0,XRD,-71.07,-108.14,-2.53,4.94
5.448,2.242,0.0,XRD,-88.06,-121.5,-4.82,4.17
5.448,2.65,0.0,XRD,-96.29,-133.72,-8.79,4.93
5.448,3.058,0.0,XRD,-119.8,-168.79,-4.33,4.91
5.448,3.466,0.0,XRD,-118.05,-158.02,-4.1,8.84
5.448,3.873,0.0,XRD,-146.95,-186.24,4.91,4.05
5.448,4.281,0.0,XRD,-154.33,-179.46,0.63,6.18
5.448,4.689,0.0,XRD,-167.52,-155.25,10.25,6.32
5.448,5.096,0.0,XRD,-201.72,-163.93,-6.37,4.95
5.448,5.504,0.0,XRD,-173.6,-197.26,12.89,4.87
5.448,5.912,0.0,XRD,-147.4,-175.97,11.7,4.63
5.448,6.32,0.0,XRD,-143.57,-189.13,14.77,7.39
5.448,6.727,0.0,XRD,-134.91,-160.34,4.13,6.34
5.448,7.135,0.0,XRD,-123.27,-145.44,-3.58,5.09
5.448,7.543,0.0,XRD,-93.63,-144.88,-0.24,3.91
5.448,7.951,0.0,XRD,-103.53,-126.07,0.1,6.44
5.448,8.358,0.0,XRD,-68.94,-100.13,0.19,6.21
5.448,8.766,0.0,XRD,-65.44,-73.28,-2.39,6.07
5.448,9.174,0.0,XRD,-63.97,-58.8,-0.36,6.26
5.448,9.581,0.0,XRD,-32.52,-65.02,-0.0,4.91
5.448,9.989,0.0,XRD,-32.25,-45.4,-0.0,6.39
5.921,0.204,0.0,XRD,-37.31,-49.6,-0.0,6.51
5.921,0.612,0.0,XRD,-45.1,-50.37,-0.0,5.06
5.921,1.019,0.0,XRD,-42.47,-63.69,-0.06,4.72
5.921,1.427,0.0,XRD,-71.17,-78.92,0.05,5.92
5.921,1.835,0.0,XRD,-68.37,-94.44,-2.88,5.23
5.921,2.242,0.0,XRD,-83.63,-110.36,0.48,5.04
5.921,2.65,0.0,XRD,-100.27,-128.16,11.99,3.52
5.921,3.058,0.0,XRD,-111.76,-147.98,6.44,4.48
5.921,3.466,0.0,XRD,-127.85,-185.05,-6.74,4.44
5.921,3.873,0.0,XRD,-128.34,-177.49,-9.63,4.59
5.921,4.281,0.0,XRD,-135.14,-199.2,6.83,6.86
5.921,4.689,0.0,XRD,-159.11,-195.02,2.24,5.6
5.921,5.096,0.0,XRD,-197.0,-164.15,-8.6,1.81
5.921,5.504,0.0,XRD,-155.83,-210.54,13.01,4.52
5.921,5.912,0.0,XRD,-146.09,-202.79,10.79,4.79
5.921,6.32,0.0,XRD,-148.53,-187.67,-1.11,5.46
5.921,6.727,0.0,XRD,-123.73,-173.26,8.95,5.02
5.921,7.135,0.0,XRD,-108.89,-154.43,-7.42,2.46
5.921,7.543,0.0,XRD,-104.99,-136.24,-2.4,6.18
5.921,7.951,0.0,XRD,-101.16,-120.43,0.38,3.12
5.921,8.358,0.0,XRD,-85.76,-115.66,0.2,7.73
5.921,8.766,0.0,XRD,-56.96,-78.27,-3.82,4.39
5.921,9.174,0.0,XRD,-43.12,-73.1,0.59,7.0
5.921,9.581,0.0,XRD,-51.53,-50.48,-0.0,5.54
5.921,9.989,0.0,XRD,-32.65,-33.77,0.0,4.89
6.395,0.204,0.0,XRD,-29.22,-47.98,-0.0,3.12
6.395,0.612,0.0,XRD,-25.36,-46.14,-0.0,6.03
6.395,1.019,0.0,XRD,-45.96,-54.87,0.05,6.74
6.395,1.427,0.0,XRD,-46.58,-77.36,0.03,5.61
6.395,1.835,0.0,XRD,-84.19,-81.93,3.14,4.51
6.395,2.242,0.0,XRD,-77.2,-109.96,3.07,3.36
6.395,2.65,0.0,XRD,-120.24,-144.38,-2.27,4.26
6.395,3.058,0.0,XRD,-112.55,-140.91,-1.85,4.76
6.395,3.466,0.0,XRD,-134.05,-164.85,2.74,5.87
6.395,3.873,0.0,XRD,-142.7,-178.49,5.33,5.13
6.395,4.281,0.0,XRD,-166.7,-196.85,16.69,4.57
6.395,4.689,0.0,XRD,-172.99,-164.48,-9.2,4.22
6.395,5.096,0.0,XRD,-210.07,-137.73,2.89,6.66
6.395,5.504,0.0,XRD,-180.91,-174.75,0.71,4.93
6.395,5.912,0.0,XRD,-150.27,-193.05,-6.84,6.49
6.395,6.32,0.0,XRD,-133.77,-169.78,15.26,4.54
6.395,6.727,0.0,XRD,-131.71,-171.47,-7.16,6.47
6.395,7.135,0.0,XRD,-120.29,-163.86,-2.1,5.19
6.395,7.543,0.0,XRD,-119.33,-136.33,3.31,4.55
6.395,7.951,0.0,XRD,-85.76,-128.91,5.98,3.24
6.395,8.358,0.0,XRD,-75.91,-85.72,-2.65,4.36
6.395,8.766,0.0,XRD,-71.44,-83.58,0.27,5.36
6.395,9.174,0.0,XRD,-40.68,-54.6,0.2,5.85
6.395,9.581,0.0,XRD,-35.23,-54.47,0.0,5.29
6.395,9.989,0.0,XRD,-32.64,-39.67,-0.0,5.02
6.869,0.204,0.0,XRD,-36.09,-51.54,0.0,3.67
6.869,0.612,0.0,XRD,-33.72,-36.04,0.0,3.23
6.869,1.019,0.0,XRD,-47.76,-50.97,0.42,5.47
6.869,1.427,0.0,XRD,-61.78,-72.38,-0.58,3.05
6.869,1.835,0.0,XRD,-57.43,-96.12,-1.16,4.84
6.869,2.242,0.0,XRD,-78.86,-105.42,0.3,6.51
6.869,2.65,0.0,XRD,-82.26,-134.29,-5.26,5.94
6.869,3.058,0.0,XRD,-122.85,-133.81,-4.07,7.31
6.869,3.466,0.0,XRD,-128.73,-142.84,0.32,3.41
6.869,3.873,0.0,XRD,-140.09,-150.93,-4.43,4.8
6.869,4.281,0.0,XRD,-155.82,-157.02,-3.91,4.04
6.869,4.689,0.0,XRD,-183.64,-165.92,6.65,6.08
6.869,5.096,0.0,XRD,-184.53,-151.48,2.93,5.7
6.869,5.504,0.0,XRD,-191.71,-152.24,-2.46,6.18
6.869,5.912,0.0,XRD,-165.83,-160.29,-3.59,8.06
6.869,6.32,0.0,XRD,-144.16,-167.05,-6.32,3.73
6.869,6.727,0.0,XRD,-130.53,-156.15,-5.71,7.96
6.869,7.135,0.0,XRD,-106.17,-149.18,1.54,4.72
6.869,7.543,0.0,XRD,-95.99,-126.55,2.75,3.01
6.869,7.951,0.0,XRD,-96.02,-97.12,2.74,4.37
6.869,8.358,0.0,XRD,-78.82,-99.41,-5.22,6.46
6.869,8.766,0.0,XRD,-73.15,-93.41,-1.91,6.43
6.869,9.174,0.0,XRD,-40.66,-65.95,-0.69,3.47
6.869,9.581,0.0,XRD,-38.86,-55.78,0.0,5.88
6.869,9.989,0.0,XRD,-18.09,-48.98,0.0,5.07
7.343,0.204,0.0,XRD,-31.46,-20.69,0.0,4.88
7.343,0.612,0.0,XRD,-48.63,-39.77,-0.0,7.51
7.343,1.019,0.0,XRD,-46.25,-58.31,0.0,3.97
7.343,1.427,0.0,XRD,-62.07,-81.52,1.2,4.31
7.343,1.835,0.0,XRD,-73.06,-85.5,-2.37,7.08
7.343,2.242,0.0,XRD,-80.62,-93.82,0.47,2.94
7.343,2.65,0.0,XRD,-101.36,-106.67,-1.35,4.11
7.343,3.058,0.0,XRD,-120.86,-115.31,8.42,6.84
7.343,3.466,0.0,XRD,-128.45,-140.94,3.46,5.69
7.343,3.873,0.0,XRD,-158.82,-139.04,-5.42,5.33
7.343,4.281,0.0,XRD,-177.05,-153.19,-9.27,1.82
7.343,4.689,0.0,XRD,-178.31,-141.63,-14.35,3.31
7.343,5.096,0.0,XRD,-186.61,-125.77,-0.41,4.58
7.343,5.504,0.0,XRD,-171.15,-136.75,6.41,6.41
7.343,5.912,0.0,XRD,-176.11,-169.08,-2.8,6.72
7.343,6.32,0.0,XRD,-147.76,-147.13,6.45,3.68
7.343,6.727,0.0,XRD,-130.62,-135.48,-1.81,4.83
7.343,7.135,0.0,XRD,-117.64,-130.23,-9.81,5.84
7.343,7.543,0.0,XRD,-94.96,-118.68,-4.88,5.66
7.343,7.951,0.0,XRD,-82.75,-98.72,7.65,5.69
7.343,8.358,0.0,XRD,-69.2,-93.61,0.01,6.87
7.343,8.766,0.0,XRD,-58.3,-69.93,1.05,6.99
7.343,9.174,0.0,XRD,-45.52,-42.46,-0.0,5.05
7.343,9.581,0.0,XRD,-40.21,-39.06,0.0,3.86
7.343,9.989,0.0,XRD,-23.39,-30.82,-0.0,4.51
7.816,0.204,0.0,XRD,-37.81,-39.27,-0.0,5.8
7.816,0.612,0.0,XRD,-25.93,-49.42,-0.0,3.66
