x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa
1.776,3.568,0.162,SynchrotronXRD,-104.42,-95.57,-42.89,-0.43,1.19,-6.55
1.776,3.568,0.227,SynchrotronXRD,-90.92,-49.3,-27.57,-1.28,4.28,-8.91
1.776,3.568,0.292,SynchrotronXRD,-68.72,-54.99,-22.96,1.25,1.57,2.54
1.776,3.568,0.357,SynchrotronXRD,-39.38,-50.27,-4.36,0.72,0.94,-1.16
1.776,4.587,0.032,SynchrotronXRD,-137.37,-93.09,-61.96,-5.81,-3.08,-2.99
1.776,4.587,0.097,SynchrotronXRD,-133.1,-88.1,-28.09,0.86,13.31,-2.07
1.776,4.587,0.162,SynchrotronXRD,-99.96,-73.94,-40.8,2.67,0.74,5.72
1.776,4.587,0.227,SynchrotronXRD,-82.82,-73.74,-22.44,-2.58,-2.06,2.15
1.776,4.587,0.292,SynchrotronXRD,-65.65,-31.55,-26.15,2.96,1.57,1.15
1.776,4.587,0.357,SynchrotronXRD,-38.68,-46.2,-15.35,0.35,-1.7,-1.59
1.776,5.606,0.032,SynchrotronXRD,-119.53,-104.14,-55.63,-11.26,-4.3,0.76
1.776,5.606,0.097,SynchrotronXRD,-117.2,-117.39,-38.29,4.65,1.28,-7.21
1.776,5.606,0.162,SynchrotronXRD,-104.75,-98.51,-43.68,1.74,-4.35,-2.22
1.776,5.606,0.227,SynchrotronXRD,-105.07,-57.33,-35.21,-8.76,4.58,-1.18
1.776,5.606,0.292,SynchrotronXRD,-67.91,-58.88,-21.03,0.28,3.49,0.43
1.776,5.606,0.357,SynchrotronXRD,-38.14,-47.07,-10.99,-0.29,-1.33,3.44
1.776,6.625,0.032,SynchrotronXRD,-127.16,-113.57,-53.28,-9.37,5.32,8.59
1.776,6.625,0.097,SynchrotronXRD,-107.96,-106.97,-33.21,3.93,-14.2,6.95
1.776,6.625,0.162,SynchrotronXRD,-117.43,-100.7,-48.23,-0.28,0.71,0.8
1.776,6.625,0.227,SynchrotronXRD,-86.97,-80.11,-26.0,3.29,2.42,-2.02
1.776,6.625,0.292,SynchrotronXRD,-64.26,-60.61,-24.22,3.49,-5.55,-3.49
1.776,6.625,0.357,SynchrotronXRD,-41.07,-31.28,-19.78,0.62,7.77,-1.43
1.776,7.645,0.032,SynchrotronXRD,-132.5,-103.35,-42.97,-1.26,-5.02,5.56
1.776,7.645,0.097,SynchrotronXRD,-116.4,-75.6,-52.22,1.92,1.78,5.06
1.776,7.645,0.162,SynchrotronXRD,-93.92,-74.89,-33.73,-5.18,-0.75,2.27
1.776,7.645,0.227,SynchrotronXRD,-81.62,-40.2,-32.66,-1.97,-0.09,-7.34
1.776,7.645,0.292,SynchrotronXRD,-44.2,-48.93,-25.58,-0.95,-3.28,-2.23
1.776,7.645,0.357,SynchrotronXRD,-40.99,-47.28,-19.05,0.08,1.32,1.43
1.776,8.664,0.032,SynchrotronXRD,-146.49,-113.09,-43.74,3.88,7.72,6.54
1.776,8.664,0.097,SynchrotronXRD,-109.04,-113.44,-40.5,-3.3,10.77,2.7
1.776,8.664,0.162,SynchrotronXRD,-75.07,-86.2,-43.12,5.33,-9.53,-3.21
1.776,8.664,0.227,SynchrotronXRD,-78.53,-52.75,-37.92,-1.76,-2.78,2.12
1.776,8.664,0.292,SynchrotronXRD,-66.65,-63.31,-28.36,-3.29,-0.91,0.95
1.776,8.664,0.357,SynchrotronXRD,-50.98,-28.4,-10.55,0.04,-6.59,-3.48
1.776,9.683,0.032,SynchrotronXRD,-126.98,-112.98,-55.89,2.02,13.09,1.86
1.776,9.683,0.097,SynchrotronXRD,-101.23,-77.93,-45.92,2.27,-0.16,2.62
1.776,9.683,0.162,SynchrotronXRD,-92.76,-92.11,-40.73,12.17,-8.18,-1.33
1.776,9.683,0.227,SynchrotronXRD,-82.92,-46.93,-39.38,-4.47,2.99,1.25
1.776,9.683,0.292,SynchrotronXRD,-65.67,-67.78,-26.65,0.69,0.13,-4.72
1.776,9.683,0.357,SynchrotronXRD,-56.43,-40.39,-18.41,0.2,4.32,-4.2
2.961,0.51,0.032,SynchrotronXRD,-131.61,-95.16,-44.27,3.18,11.09,-0.81
2.961,0.51,0.097,SynchrotronXRD,-102.01,-90.08,-43.72,-2.06,-0.16,11.04
2.961,0.51,0.162,SynchrotronXRD,-88.48,-86.73,-39.42,0.31,-1.13,2.0
2.961,0.51,0.227,SynchrotronXRD,-75.68,-75.78,-31.13,0.01,-0.8,0.62
2.961,0.51,0.292,SynchrotronXRD,-66.15,-33.17,-29.9,0.99,-0.44,-4.65
2.961,0.51,0.357,SynchrotronXRD,-43.95,-31.52,-10.24,0.27,-0.73,-2.19
2.961,1.529,0.032,SynchrotronXRD,-125.82,-106.73,-55.79,6.12,-2.6,3.97
2.961,1.529,0.097,SynchrotronXRD,-111.62,-83.97,-39.78,-8.83,-0.84,15.16
2.961,1.529,0.162,SynchrotronXRD,-105.18,-75.52,-50.43,-2.63,-1.82,7.32
2.961,1.529,0.227,SynchrotronXRD,-87.7,-60.92,-25.3,1.92,0.87,2.88
2.961,1.529,0.292,SynchrotronXRD,-65.82,-62.84,-23.73,-0.87,-2.27,-2.86
2.961,1.529,0.357,SynchrotronXRD,-44.12,-29.92,-22.98,-0.08,-5.08,3.63
2.961,2.548,0.032,SynchrotronXRD,-118.31,-113.84,-40.84,2.8,1.52,-0.74
2.961,2.548,0.097,SynchrotronXRD,-107.72,-85.75,-50.97,-5.1,-0.2,1.12
2.961,2.548,0.162,SynchrotronXRD,-79.24,-78.87,-33.53,5.86,-3.24,-1.97
2.961,2.548,0.227,SynchrotronXRD,-71.53,-56.77,-39.06,-1.95,-4.6,7.5
2.961,2.548,0.292,SynchrotronXRD,-62.98,-41.28,-39.51,-1.38,-0.82,-2.08
2.961,2.548,0.357,SynchrotronXRD,-41.97,-24.13,-18.33,0.09,-0.07,1.34
2.961,3.568,0.032,SynchrotronXRD,-135.52,-119.0,-53.78,-4.96,-2.28,-4.07
2.961,3.568,0.097,SynchrotronXRD,-111.01,-93.13,-39.31,-1.98,3.5,-2.63
2.961,3.568,0.162,SynchrotronXRD,-85.22,-101.07,-35.94,-3.66,5.92,7.67
2.961,3.568,0.227,SynchrotronXRD,-60.46,-73.12,-13.71,-0.58,6.31,-2.43
2.961,3.568,0.292,SynchrotronXRD,-50.14,-55.1,-26.37,3.28,3.2,13.47
2.961,3.568,0.357,SynchrotronXRD,-36.53,-41.98,-19.9,-0.23,0.23,0.75
2.961,4.587,0.032,SynchrotronXRD,-143.0,-107.31,-54.79,-3.61,1.2,-3.95
2.961,4.587,0.097,SynchrotronXRD,-113.21,-100.14,-40.47,1.34,1.77,3.03
2.961,4.587,0.162,SynchrotronXRD,-103.97,-81.72,-35.72,0.95,-10.02,2.67
2.961,4.587,0.227,SynchrotronXRD,-76.14,-69.4,-23.04,2.1,-2.81,-6.54
2.961,4.587,0.292,SynchrotronXRD,-46.25,-49.84,-23.21,0.15,-0.26,2.52
2.961,4.587,0.357,SynchrotronXRD,-31.89,-22.04,-18.23,-0.6,4.2,1.76
2.961,5.606,0.032,SynchrotronXRD,-144.61,-101.65,-50.92,2.68,-3.75,9.91
2.961,5.606,0.097,SynchrotronXRD,-108.61,-100.95,-53.7,2.18,5.52,-1.11
2.961,5.606,0.162,SynchrotronXRD,-93.15,-79.64,-29.55,-1.62,7.15,1.72
2.961,5.606,0.227,SynchrotronXRD,-58.44,-56.21,-37.2,-5.85,1.66,-7.63
2.961,5.606,0.292,SynchrotronXRD,-54.2,-32.19,-34.02,1.72,-0.19,-3.07
2.961,5.606,0.357,SynchrotronXRD,-28.24,-35.96,-17.53,-0.31,2.35,0.63
2.961,6.625,0.032,SynchrotronXRD,-146.25,-115.08,-52.67,0.2,-0.98,-6.67
2.961,6.625,0.097,SynchrotronXRD,-92.6,-93.46,-32.4,12.78,4.38,-6.24
2.961,6.625,0.162,SynchrotronXRD,-84.36,-69.58,-38.6,-0.58,-3.89,-5.44
2.961,6.625,0.227,SynchrotronXRD,-75.34,-59.26,-34.19,-0.51,-8.66,-5.73
2.961,6.625,0.292,SynchrotronXRD,-52.07,-40.77,-28.13,0.13,-1.41,1.36
2.961,6.625,0.357,SynchrotronXRD,-27.91,-43.75,-13.46,-0.77,-3.74,-4.71
2.961,7.645,0.032,SynchrotronXRD,-118.42,-119.74,-49.64,2.33,0.77,-2.33
2.961,7.645,0.097,SynchrotronXRD,-110.2,-92.71,-40.42,3.63,9.24,4.04
2.961,7.645,0.162,SynchrotronXRD,-104.17,-100.44,-33.77,-3.23,3.69,-1.13
2.961,7.645,0.227,SynchrotronXRD,-99.15,-53.23,-35.25,-7.19,-8.79,3.18
2.961,7.645,0.292,SynchrotronXRD,-62.02,-36.39,-17.85,-0.73,-2.49,2.03
2.961,7.645,0.357,SynchrotronXRD,-40.55,-34.37,-20.57,0.67,1.79,-0.47
2.961,8.664,0.032,SynchrotronXRD,-122.08,-105.38,-55.78,-3.18,-5.48,2.97
2.961,8.664,0.097,SynchrotronXRD,-129.86,-88.69,-47.96,-8.86,-11.69,-4.36
2.961,8.664,0.162,SynchrotronXRD,-91.71,-70.02,-42.98,-1.57,4.21,-3.58
2.961,8.664,0.227,SynchrotronXRD,-61.98,-61.38,-37.22,1.05,-1.79,1.71
2.961,8.664,0.292,SynchrotronXRD,-69.64,-66.02,-18.28,0.31,-2.67,-4.38
2.961,8.664,0.357,SynchrotronXRD,-53.25,-36.53,-13.91,-0.21,-3.03,-5.58
2.961,9.683,0.032,SynchrotronXRD,-132.18,-104.33,-52.33,-0.89,-7.89,8.57
2.961,9.683,0.097,SynchrotronXRD,-114.95,-103.16,-39.65,-4.33,0.01,0.58
2.961,9.683,0.162,SynchrotronXRD,-99.37,-88.85,-40.27,-1.77,10.27,-5.78
2.961,9.683,0.227,SynchrotronXRD,-75.64,-67.5,-27.97,-2.25,-1.51,4.54
2.961,9.683,0.292,SynchrotronXRD,-77.94,-53.28,-21.12,-0.68,-5.42,-0.31
2.961,9.683,0.357,SynchrotronXRD,-50.98,-57.11,-6.94,-0.2,0.6,-1.69
4.145,0.51,0.032,SynchrotronXRD,-125.72,-109.35,-55.69,-5.71,9.66,6.34
4.145,0.51,0.097,SynchrotronXRD,-123.05,-112.17,-48.42,1.6,-5.69,0.55
4.145,0.51,0.162,SynchrotronXRD,-98.17,-82.37,-44.4,-0.3,-9.33,4.84
4.145,0.51,0.227,SynchrotronXRD,-77.95,-57.31,-22.72,3.44,1.09,3.16
4.145,0.51,0.292,SynchrotronXRD,-80.73,-49.21,-27.77,1.18,-0.89,-5.67
4.145,0.51,0.357,SynchrotronXRD,-34.11,-31.8,-20.29,0.39,-0.92,-2.22
4.145,1.529,0.032,SynchrotronXRD,-133.29,-118.56,-57.76,9.14,-3.72,2.64
4.145,1.529,0.097,SynchrotronXRD,-110.29,-85.57,-44.14,-6.22,-5.65,3.43
4.145,1.529,0.162,SynchrotronXRD,-109.46,-82.61,-36.77,0.35,8.06,-3.62
4.145,1.529,0.227,SynchrotronXRD,-74.04,-66.29,-37.36,-0.01,7.68,2.79
4.145,1.529,0.292,SynchrotronXRD,-64.58,-57.96,-32.64,3.18,3.31,2.77
4.145,1.529,0.357,SynchrotronXRD,-39.62,-22.38,-14.7,0.24,-6.94,3.78
4.145,2.548,0.032,SynchrotronXRD,-108.12,-121.35,-51.29,-6.42,2.56,-3.27
4.145,2.548,0.097,SynchrotronXRD,-123.59,-109.55,-30.66,8.7,0.06,2.76
4.145,2.548,0.162,SynchrotronXRD,-105.95,-85.84,-30.03,-6.33,3.56,3.72
4.145,2.548,0.227,SynchrotronXRD,-88.15,-53.87,-44.24,-0.39,-3.52,-5.74
4.145,2.548,0.292,SynchrotronXRD,-52.64,-47.18,-21.03,0.84,1.41,2.42
4.145,2.548,0.357,SynchrotronXRD,-41.65,-43.21,-12.83,-0.81,1.36,2.32
4.145,3.568,0.032,SynchrotronXRD,-109.86,-116.23,-45.48,-10.94,5.41,8.01
4.145,3.568,0.097,SynchrotronXRD,-114.24,-97.83,-53.71,4.05,1.7,-3.36
4.145,3.568,0.162,SynchrotronXRD,-86.91,-79.71,-26.84,2.92,4.04,2.06
4.145,3.568,0.227,SynchrotronXRD,-78.78,-60.6,-26.62,-1.77,-3.2,-4.49
4.145,3.568,0.292,SynchrotronXRD,-72.61,-41.03,-34.65,-2.24,-2.65,-2.97
4.145,3.568,0.357,SynchrotronXRD,-38.01,-41.06,-15.88,-0.27,-0.85,-0.31
4.145,4.587,0.032,SynchrotronXRD,-138.0,-108.96,-59.83,-0.95,7.25,-7.78
4.145,4.587,0.097,SynchrotronXRD,-111.3,-87.51,-35.17,-4.06,4.19,-1.21
4.145,4.587,0.162,SynchrotronXRD,-86.42,-73.45,-45.57,0.57,10.01,-5.09
4.145,4.587,0.227,SynchrotronXRD,-77.17,-52.92,-21.34,0.93,2.32,3.04
4.145,4.587,0.292,SynchrotronXRD,-75.56,-45.3,-35.57,-1.36,-1.38,-3.21
4.145,4.587,0.357,SynchrotronXRD,-45.72,-27.63,-15.96,0.84,-2.72,2.17
4.145,5.606,0.032,SynchrotronXRD,-142.29,-97.0,-54.62,-6.59,-9.41,-7.29
4.145,5.606,0.097,SynchrotronXRD,-110.86,-88.6,-49.23,-1.14,9.02,1.71
4.145,5.606,0.162,SynchrotronXRD,-109.82,-89.03,-39.18,-4.19,-0.69,6.89
4.145,5.606,0.227,SynchrotronXRD,-102.33,-69.26,-29.18,0.92,-0.24,-2.1
4.145,5.606,0.292,SynchrotronXRD,-62.84,-63.68,-26.64,0.74,3.57,-0.4
4.145,5.606,0.357,SynchrotronXRD,-33.08,-37.29,-16.83,-0.68,0.44,-0.54
4.145,6.625,0.032,SynchrotronXRD,-130.24,-106.37,-51.39,-6.87,-6.85,1.68
4.145,6.625,0.097,SynchrotronXRD,-116.25,-90.32,-61.16,-3.46,-7.56,6.45
4.145,6.625,0.162,SynchrotronXRD,-92.11,-80.5,-47.78,-5.55,-5.69,3.22
4.145,6.625,0.227,SynchrotronXRD,-67.2,-85.7,-43.79,-4.89,2.19,-6.17
4.145,6.625,0.292,SynchrotronXRD,-51.57,-48.06,-37.26,1.43,1.0,4.75
4.145,6.625,0.357,SynchrotronXRD,-54.16,-32.12,-21.53,-0.1,-0.89,-1.8
4.145,7.645,0.032,SynchrotronXRD,-133.46,-107.88,-47.59,-13.5,0.08,7.97
4.145,7.645,0.097,SynchrotronXRD,-104.61,-85.86,-40.43,9.81,0.98,-0.57
4.145,7.645,0.162,SynchrotronXRD,-98.93,-74.91,-39.91,-1.49,-1.32,-5.25
4.145,7.645,0.227,SynchrotronXRD,-71.64,-46.87,-35.2,2.51,4.73,3.11
4.145,7.645,0.292,SynchrotronXRD,-47.64,-54.39,-20.45,0.89,2.84,1.72
4.145,7.645,0.357,SynchrotronXRD,-27.1,-27.44,-21.9,0.26,-6.24,-0.24
4.145,8.664,0.032,SynchrotronXRD,-133.17,-117.35,-62.53,-14.69,1.0,6.92
4.145,8.664,0.097,SynchrotronXRD,-107.42,-114.05,-57.65,8.04,-3.89,-2.93
4.145,8.664,0.162,SynchrotronXRD,-95.91,-76.41,-41.27,-3.55,-1.42,-2.42
4.145,8.664,0.227,SynchrotronXRD,-69.14,-84.55,-29.86,4.36,-5.48,-5.51
4.145,8.664,0.292,SynchrotronXRD,-75.32,-60.17,-28.47,1.86,9.42,1.51
4.145,8.664,0.357,SynchrotronXRD,-48.46,-32.9,-23.6,-0.19,-0.62,1.58
4.145,9.683,0.032,SynchrotronXRD,-145.33,-112.96,-51.39,-0.96,-2.64,2.49
4.145,9.683,0.097,SynchrotronXRD,-104.5,-90.38,-48.25,11.17,-5.58,0.35
4.145,9.683,0.162,SynchrotronXRD,-109.2,-78.15,-27.83,6.47,-1.07,-7.98
4.145,9.683,0.227,SynchrotronXRD,-87.5,-69.6,-21.44,-4.93,-5.82,-9.03
4.145,9.683,0.292,SynchrotronXRD,-60.32,-58.68,-24.57,-0.55,0.01,0.11
4.145,9.683,0.357,SynchrotronXRD,-41.04,-39.02,-24.34,0.86,-5.15,0.4
5.329,0.51,0.032,SynchrotronXRD,-117.77,-123.51,-49.1,7.05,11.19,10.0
5.329,0.51,0.097,SynchrotronXRD,-130.22,-78.05,-52.12,11.19,-10.02,-7.52
5.329,0.51,0.162,SynchrotronXRD,-94.15,-97.27,-44.33,-1.32,10.55,10.59
5.329,0.51,0.227,SynchrotronXRD,-97.68,-68.78,-39.93,2.93,-0.15,1.87
5.329,0.51,0.292,SynchrotronXRD,-68.98,-52.85,-38.74,-1.92,-7.38,-0.46
5.329,0.51,0.357,SynchrotronXRD,-44.71,-37.36,-16.07,-0.43,-0.5,-0.32
5.329,1.529,0.032,SynchrotronXRD,-129.27,-112.32,-59.28,4.92,-5.43,5.89
5.329,1.529,0.097,SynchrotronXRD,-122.85,-112.33,-44.38,5.22,-6.91,-0.36
5.329,1.529,0.162,SynchrotronXRD,-118.37,-82.06,-46.81,3.47,-2.46,-7.27
5.329,1.529,0.227,SynchrotronXRD,-78.14,-84.48,-33.28,-4.87,-1.01,4.18
5.329,1.529,0.292,SynchrotronXRD,-67.94,-67.44,-28.22,-1.19,-1.16,5.91
5.329,1.529,0.357,SynchrotronXRD,-33.97,-39.74,-10.11,0.47,0.09,1.18
5.329,2.548,0.032,SynchrotronXRD,-132.43,-113.85,-54.62,-10.41,-7.76,5.01
5.329,2.548,0.097,SynchrotronXRD,-111.05,-113.55,-55.52,-9.34,-2.55,-4.98
5.329,2.548,0.162,SynchrotronXRD,-104.01,-91.08,-35.47,-0.14,7.06,2.43
5.329,2.548,0.227,SynchrotronXRD,-88.11,-69.32,-37.32,4.7,-4.14,2.93
5.329,2.548,0.292,SynchrotronXRD,-66.88,-50.32,-28.22,0.4,4.15,3.01
5.329,2.548,0.357,SynchrotronXRD,-40.42,-22.19,-20.19,-0.34,-3.83,-1.13
5.329,3.568,0.032,SynchrotronXRD,-123.94,-94.93,-61.7,-7.2,-1.83,13.24
5.329,3.568,0.097,SynchrotronXRD,-125.46,-97.58,-58.85,-3.13,0.18,0.88
5.329,3.568,0.162,SynchrotronXRD,-112.65,-90.1,-33.9,-8.48,-2.34,5.46
5.329,3.568,0.227,SynchrotronXRD,-83.5,-57.28,-37.09,-2.49,-3.77,2.41
5.329,3.568,0.292,SynchrotronXRD,-81.45,-66.23,-35.43,0.05,-7.83,6.89
5.329,3.568,0.357,SynchrotronXRD,-64.79,-56.77,-10.2,0.09,0.95,-6.0
5.329,4.587,0.032,SynchrotronXRD,-143.92,-114.93,-45.06,6.81,-5.92,-8.84
5.329,4.587,0.097,SynchrotronXRD,-105.57,-110.6,-61.63,-1.03,-9.02,3.29
5.329,4.587,0.162,SynchrotronXRD,-112.28,-102.95,-45.06,10.57,1.37,-5.39
5.329,4.587,0.227,SynchrotronXRD,-84.54,-60.54,-30.35,5.14,5.81,0.26
5.329,4.587,0.292,SynchrotronXRD,-63.55,-51.17,-15.1,-1.81,3.7,2.44
5.329,4.587,0.357,SynchrotronXRD,-36.05,-46.9,-20.4,-0.07,2.35,-2.66
5.329,5.606,0.032,SynchrotronXRD,-145.24,-140.57,-55.32,7.29,-3.69,-7.27
5.329,5.606,0.097,SynchrotronXRD,-112.45,-98.35,-47.05,5.92,2.58,-2.47
5.329,5.606,0.162,SynchrotronXRD,-112.97,-100.26,-42.93,8.78,-2.47,-6.62
