time_min,temperature_C
210,888.66
211,892.77
212,896.88
213,901.0
214,905.11
215,909.22
216,913.33
217,917.45
218,921.56
219,925.67
220,929.79
221,933.9
222,938.01
223,942.12
224,946.24
225,950.35
226,954.46
227,958.57
228,962.69
229,966.8
230,970.91
231,975.02
232,979.14
233,983.25
234,987.36
235,991.48
236,995.59
237,999.7
238,1003.81
239,1007.93
240,1012.04
241,1016.15
242,1020.26
243,1024.38
244,1028.49
245,1032.6
246,1036.71
247,1040.83
248,1044.94
249,1049.05
250,1053.17
251,1057.28
252,1061.39
253,1065.5
254,1069.62
255,1073.73
256,1077.84
257,1081.95
258,1086.07
259,1090.18
260,1094.29
261,1098.4
262,1102.52
263,1106.63
264,1110.74
265,1114.86
266,1118.97
267,1123.08
268,1127.19
269,1131.31
270,1135.42
271,1139.53
272,1143.64
273,1147.76
274,1151.87
275,1155.98
276,1160.09
277,1164.21
278,1168.32
279,1172.43
280,1176.55
281,1180.66
282,1184.77
283,1188.88
284,1193.0
285,1197.11
286,1201.22
287,1205.33
288,1209.45
289,1213.56
290,1217.67
291,1221.78
292,1225.9
293,1230.01
294,1234.12
295,1238.24
296,1242.35
297,1246.46
298,1250.57
299,1254.69
300,1258.8
301,1262.91
302,1267.02
303,1271.14
304,1275.25
305,1279.36
306,1283.47
307,1285.01
308,1285.01
309,1285.01
310,1285.01
311,1285.01
312,1285.01
313,1285.01
314,1285.01
315,1285.01
316,1285.01
317,1285.01
318,1285.01
319,1285.01
320,1285.01
321,1285.01
322,1285.01
323,1285.01
324,1285.01
325,1285.01
326,1285.01
327,1285.01
328,1285.01
329,1285.01
330,1285.01
331,1285.01
332,1285.01
333,1285.01
334,1285.01
335,1285.01
336,1285.01
337,1285.01
338,1285.01
339,1285.01
340,1285.01
341,1285.01
342,1285.01
343,1285.01
344,1285.01
345,1285.01
346,1285.01
347,1285.01
348,1285.01
349,1285.01
350,1285.01
351,1285.01
352,1285.01
353,1285.01
354,1285.01
355,1285.01
356,1285.01
357,1285.01
358,1285.01
359,1285.01
360,1285.01
361,1285.01
362,1285.01
363,1285.01
364,1285.01
365,1285.01
366,1285.01
367,1285.01
368,1285.01
369,1285.01
370,1285.01
371,1285.01
372,1285.01
373,1285.01
374,1285.01
375,1285.01
376,1285.01
377,1285.01
378,1285.01
379,1285.01
380,1285.01
381,1285.01
382,1285.01
383,1285.01
384,1285.01
385,1285.01
386,1285.01
387,1285.01
388,1285.01
389,1285.01
390,1285.01
391,1285.01
392,1285.01
393,1285.01
394,1285.01
395,1285.01
396,1285.01
397,1285.01
398,1285.01
399,1285.01
400,1285.01
401,1285.01
402,1285.01
403,1285.01
404,1285.01
405,1285.01
406,1279.78
407,1274.54
408,1269.31
409,1264.08
410,1258.85
411,1253.62
412,1248.38
413,1243.15
414,1237.92
415,1232.69
416,1227.45
417,1222.22
418,1216.99
419,1211.76
420,1206.53
421,1201.29
422,1196.06
423,1190.83
424,1185.6
425,1180.36
426,1175.13
427,1169.9
428,1164.67
429,1159.44
430,1154.2
431,1148.97
432,1143.74
433,1138.51
434,1133.28
435,1128.04
436,1122.81
437,1117.58
438,1112.35
439,1107.11
440,1101.88
441,1096.65
442,1091.42
443,1086.19
444,1080.95
445,1075.72
446,1070.49
447,1065.26
448,1060.02
449,1054.79
450,1049.56
451,1044.33
452,1039.1
453,1033.86
454,1028.63
455,1023.4
456,1018.17
457,1012.94
458,1007.7
459,1002.47
460,997.24
461,992.01
462,986.77
463,981.54
464,976.31
465,971.08
466,965.85
467,960.61
468,955.38
469,950.15
470,944.92
471,939.68
472,934.45
473,929.22
474,923.99
475,918.76
476,913.52
477,908.29
478,903.06
479,897.83
480,892.59
481,887.36
482,882.13
483,876.9
484,871.67
485,866.43
486,861.2
487,855.97
488,850.74
489,845.51
490,840.27
491,835.04
492,829.81
493,824.58
494,819.34
495,814.11
496,808.88
497,803.65
498,798.42
499,793.18
500,787.95
501,782.72
502,777.49
503,772.25
504,767.02
505,761.79
506,756.56
507,751.33
508,746.09
509,740.86
510,735.63
511,730.4
512,725.16
513,719.93
514,714.7
515,709.47
516,704.24
517,699.0
518,693.77
519,688.54
520,683.31
521,678.08
522,672.84
523,667.61
524,662.38
525,657.15
526,651.91
527,646.68
528,641.45
529,636.22
530,630.99
531,625.75
532,620.52
533,615.29
534,610.06
535,604.82
536,599.59
537,594.36
538,589.13
539,583.9
540,578.66
541,573.43
542,568.2
543,562.97
544,557.73
545,552.5
546,547.27
547,542.04
548,536.81
549,531.57
550,526.34
551,521.11
552,515.88
553,510.65
554,505.41
555,500.18
556,494.95
557,489.72
558,484.48
559,479.25
560,474.02
561,468.79
562,463.56
563,458.32
564,453.09
565,447.86
566,442.63
567,437.39
568,432.16
569,426.93
570,421.7
571,416.47
572,411.23
573,406.0
574,400.77
575,395.54
576,390.3
577,385.07
578,379.84
579,374.61
580,369.38
581,364.14
582,358.91
583,353.68
584,348.45
585,343.22
586,337.98
587,332.75
588,327.52
589,322.29
590,317.05
591,311.82
592,306.59
593,301.36
594,296.13
595,290.89
596,285.66
597,280.43
598,275.2
599,269.96
600,264.73
601,259.5
602,254.27
603,249.04
604,243.8
605,238.57
606,233.34
607,228.11
608,222.87
609,217.64
610,212.41
611,207.18
612,201.95
613,196.71
614,191.48
615,186.25
616,181.02
617,175.79
618,170.55
619,165.32
620,160.09
621,154.86
622,149.62
623,144.39
624,139.16
625,133.93
626,128.7
627,123.46
628,118.23
629,113.0
630,107.77
631,102.53
632,97.3
633,92.07
634,86.84
635,81.61
636,76.37
637,71.14
638,65.91
639,60.68
640,55.44
641,50.21
642,44.98
643,39.75
644,34.52
645,29.28
