firm_id,size,subsector,ownership,founded_year,employees,assets_musd
FIRM_174,Large,Dairy processing,Domestic,2020,397,10.67
FIRM_175,SME,Beverages,Joint Venture,2006,256,4.69
FIRM_176,SME,Meat processing,Domestic,1982,87,10.12
FIRM_177,SME,Fruit & vegetable processing,Domestic,2007,99,4.44
FIRM_178,SME,Bakery products,Domestic,2020,130,4.77
FIRM_179,SME,Fruit & vegetable processing,Domestic,1988,66,2.01
FIRM_180,Large,Beverages,Domestic,1985,1228,35.12
FIRM_181,Large,Meat processing,Domestic,1986,2106,5.65
FIRM_182,SME,Dairy processing,Joint Venture,2009,115,15.69
FIRM_183,Large,Grain milling,Joint Venture,2020,1950,9.96
FIRM_184,SME,Bakery products,Foreign,1976,35,12.28
FIRM_185,SME,Bakery products,Domestic,2020,18,10.61
FIRM_186,Large,Confectionery,Domestic,2010,216,24.31
FIRM_187,SME,Grain milling,Domestic,2012,141,3.91
FIRM_188,SME,Meat processing,Joint Venture,1980,224,6.61
FIRM_189,SME,Fruit & vegetable processing,Domestic,1981,141,4.98
FIRM_190,SME,Dairy processing,Domestic,1976,80,8.88
FIRM_191,Large,Meat processing,Domestic,2000,273,4.88
FIRM_192,SME,Grain milling,Foreign,2014,73,3.39
FIRM_193,SME,Beverages,Joint Venture,1996,114,1.91
FIRM_194,SME,Meat processing,Domestic,2017,120,5.08
FIRM_195,SME,Fruit & vegetable processing,Domestic,1983,155,1.53
FIRM_196,SME,Grain milling,Domestic,2017,123,4.43
FIRM_197,SME,Beverages,Domestic,2011,165,2.85
FIRM_198,SME,Meat processing,Domestic,1991,111,9.56
FIRM_199,SME,Grain milling,Domestic,1990,102,8.94
FIRM_200,SME,Bakery products,Domestic,1982,35,7.93
FIRM_201,Large,Fish processing,Domestic,2000,756,15.76
FIRM_202,SME,Fruit & vegetable processing,Domestic,1981,29,6.2
FIRM_203,SME,Beverages,Domestic,1982,101,5.35
FIRM_204,Large,Beverages,Domestic,2016,1058,18.34
FIRM_205,SME,Beverages,Domestic,2018,83,6.25
FIRM_206,SME,Beverages,Domestic,2013,44,4.11
FIRM_207,Large,Fish processing,Foreign,1999,1782,20.5
FIRM_208,SME,Bakery products,Domestic,2009,151,6.49
FIRM_209,Large,Meat processing,Joint Venture,1987,1796,8.93
FIRM_210,SME,Grain milling,Domestic,2018,140,12.75
FIRM_211,Large,Grain milling,Domestic,1994,588,3.99
FIRM_212,Large,Dairy processing,Domestic,1999,694,10.18
FIRM_213,SME,Bakery products,Domestic,1989,54,3.09
FIRM_214,Large,Fruit & vegetable processing,Foreign,2017,1442,10.33
FIRM_215,SME,Confectionery,Joint Venture,1998,27,5.16
FIRM_216,SME,Fruit & vegetable processing,Domestic,2019,116,5.66
FIRM_217,SME,Dairy processing,Domestic,2015,24,7.25
FIRM_218,SME,Beverages,Joint Venture,2009,50,7.43
FIRM_219,Large,Fruit & vegetable processing,Domestic,2009,800,13.49
FIRM_220,Large,Meat processing,Domestic,1999,633,12.16
FIRM_221,Large,Fruit & vegetable processing,Domestic,2015,1035,8.43
FIRM_222,Large,Grain milling,Joint Venture,2016,720,9.65
FIRM_223,SME,Grain milling,Domestic,2008,143,2.39
FIRM_224,Large,Dairy processing,Domestic,2011,1692,7.86
FIRM_225,SME,Fish processing,Domestic,1991,146,0.68
FIRM_226,SME,Dairy processing,Domestic,2014,128,3.25
FIRM_227,SME,Fruit & vegetable processing,Domestic,1980,149,4.36
FIRM_228,SME,Confectionery,Foreign,2017,57,7.6
FIRM_229,SME,Dairy processing,Domestic,2001,203,6.15
FIRM_230,Large,Grain milling,Domestic,1997,625,11.08
FIRM_231,SME,Meat processing,Domestic,2013,213,3.37
FIRM_232,SME,Fruit & vegetable processing,Domestic,2015,32,9.18
FIRM_233,SME,Dairy processing,Domestic,1998,140,4.55
FIRM_234,Large,Dairy processing,Domestic,2008,1798,13.89
FIRM_235,SME,Bakery products,Foreign,1996,133,4.19
FIRM_236,SME,Grain milling,Foreign,1991,157,6.15
FIRM_237,SME,Bakery products,Domestic,1992,55,18.4
FIRM_238,SME,Fish processing,Domestic,1985,57,3.51
FIRM_239,SME,Beverages,Foreign,1985,100,8.22
FIRM_240,SME,Grain milling,Domestic,2003,176,5.32
FIRM_241,SME,Confectionery,Domestic,1988,92,2.54
FIRM_242,Large,Fish processing,Domestic,2003,242,20.56
FIRM_243,Large,Fruit & vegetable processing,Domestic,1980,1693,20.88
FIRM_244,SME,Fruit & vegetable processing,Domestic,1999,38,4.84
FIRM_245,SME,Beverages,Domestic,2001,118,4.26
FIRM_246,SME,Confectionery,Foreign,2020,62,4.1
FIRM_247,Large,Meat processing,Foreign,2018,1070,11.06
FIRM_248,SME,Beverages,Domestic,2018,133,2.45
FIRM_249,SME,Bakery products,Domestic,1996,108,2.29
FIRM_250,Large,Grain milling,Domestic,1992,1543,39.61
FIRM_251,SME,Beverages,Domestic,2006,39,8.77
FIRM_252,Large,Confectionery,Foreign,1998,1598,15.73
FIRM_253,SME,Grain milling,Domestic,1989,99,2.26
FIRM_254,SME,Confectionery,Domestic,2007,18,5.19
FIRM_255,SME,Grain milling,Domestic,2007,96,4.92
FIRM_256,SME,Beverages,Domestic,1989,162,3.53
FIRM_257,SME,Grain milling,Joint Venture,1977,142,5.67
FIRM_258,Large,Confectionery,Joint Venture,2002,1386,8.26
FIRM_259,Large,Beverages,Foreign,1981,855,13.05
FIRM_260,Large,Dairy processing,Domestic,2015,2115,21.54
FIRM_261,Large,Meat processing,Foreign,1986,343,10.19
FIRM_262,SME,Meat processing,Joint Venture,2010,230,20.05
FIRM_263,SME,Beverages,Domestic,2006,91,2.49
FIRM_264,SME,Meat processing,Domestic,1984,64,11.24
FIRM_265,SME,Bakery products,Domestic,2007,123,10.53
FIRM_266,Large,Fruit & vegetable processing,Foreign,2011,643,11.4
FIRM_267,Large,Bakery products,Joint Venture,1998,1428,13.94
FIRM_268,SME,Fruit & vegetable processing,Domestic,2010,76,10.26
FIRM_269,SME,Fish processing,Domestic,2016,147,3.21
FIRM_270,SME,Dairy processing,Domestic,1989,129,2.42
FIRM_271,Large,Fish processing,Joint Venture,1997,1673,14.79
FIRM_272,SME,Bakery products,Domestic,1988,82,4.6
FIRM_273,SME,Bakery products,Domestic,1999,37,8.89
FIRM_274,SME,Confectionery,Domestic,2010,57,2.59
FIRM_275,SME,Beverages,Domestic,1977,178,5.73
FIRM_276,SME,Bakery products,Domestic,1979,31,2.54
FIRM_277,SME,Fish processing,Foreign,1994,51,4.51
FIRM_278,Large,Fish processing,Domestic,1989,900,42.35
FIRM_279,SME,Fish processing,Domestic,1976,61,5.06
FIRM_280,Large,Fruit & vegetable processing,Domestic,1988,1111,6.55
FIRM_281,SME,Fruit & vegetable processing,Domestic,2017,130,5.95
FIRM_282,Large,Beverages,Domestic,2017,1821,15.98
FIRM_283,SME,Bakery products,Domestic,2019,56,3.12
FIRM_284,SME,Dairy processing,Domestic,1982,193,8.06
FIRM_285,SME,Fruit & vegetable processing,Joint Venture,2008,66,5.31
FIRM_286,SME,Dairy processing,Domestic,1982,72,6.16
FIRM_287,SME,Fish processing,Domestic,1999,71,6.1
FIRM_288,Large,Bakery products,Domestic,1979,448,19.13
FIRM_289,SME,Fish processing,Domestic,1980,90,5.27
FIRM_290,Large,Grain milling,Domestic,2005,688,14.84
FIRM_291,SME,Dairy processing,Domestic,2020,166,10.26
FIRM_292,Large,Grain milling,Domestic,2019,1554,17.15
FIRM_293,SME,Bakery products,Domestic,1999,129,12.22
FIRM_294,SME,Meat processing,Domestic,1999,216,14.18
FIRM_295,SME,Grain milling,Domestic,2012,30,14.66
FIRM_296,SME,Bakery products,Domestic,1995,36,10.03
FIRM_297,Large,Dairy processing,Domestic,2003,1514,4.58
FIRM_298,SME,Meat processing,Foreign,1980,78,6.07
FIRM_299,Large,Meat processing,Domestic,1995,727,21.11
FIRM_300,SME,Beverages,Domestic,1985,91,4.97
FIRM_301,SME,Fruit & vegetable processing,Domestic,1993,47,6.92
FIRM_302,SME,Bakery products,Domestic,2002,43,2.81
FIRM_303,SME,Dairy processing,Domestic,1992,23,3.81
FIRM_304,SME,Meat processing,Domestic,2018,111,2.11
FIRM_305,Large,Beverages,Foreign,2016,837,28.18
FIRM_306,SME,Confectionery,Domestic,1987,124,5.23
FIRM_307,SME,Fruit & vegetable processing,Joint Venture,1983,40,7.39
FIRM_308,SME,Fruit & vegetable processing,Joint Venture,1998,61,2.51
FIRM_309,SME,Fruit & vegetable processing,Domestic,1998,34,7.11
FIRM_310,Large,Meat processing,Domestic,2007,1994,20.81
FIRM_311,SME,Beverages,Domestic,2018,234,4.9
FIRM_312,SME,Beverages,Domestic,1981,232,5.06
FIRM_313,SME,Grain milling,Domestic,1999,21,8.17
FIRM_314,SME,Dairy processing,Domestic,2013,206,2.16
FIRM_315,SME,Beverages,Domestic,2020,49,2.04
FIRM_316,Large,Fruit & vegetable processing,Domestic,2014,1767,22.82
FIRM_317,Large,Meat processing,Domestic,2007,1551,8.57
FIRM_318,SME,Dairy processing,Domestic,2018,50,4.86
FIRM_319,SME,Confectionery,Joint Venture,1977,56,2.71
FIRM_320,SME,Beverages,Domestic,2012,70,2.61
FIRM_321,Large,Bakery products,Domestic,1996,1332,6.72
FIRM_322,SME,Bakery products,Domestic,1990,24,7.99
FIRM_323,SME,Fish processing,Joint Venture,1977,179,3.16
FIRM_324,Large,Bakery products,Joint Venture,2014,1176,10.29
FIRM_325,SME,Grain milling,Domestic,1994,169,6.14
FIRM_326,SME,Confectionery,Domestic,2008,144,4.55
FIRM_327,SME,Beverages,Domestic,1976,161,1.82
FIRM_328,SME,Beverages,Joint Venture,1992,96,7.42
FIRM_329,SME,Bakery products,Domestic,1996,63,4.35
FIRM_330,Large,Dairy processing,Domestic,2019,1519,16.09
FIRM_331,Large,Bakery products,Foreign,1977,984,8.99
FIRM_332,SME,Dairy processing,Domestic,2009,42,4.75
FIRM_333,SME,Dairy processing,Foreign,1999,80,9.46
FIRM_334,SME,Confectionery,Foreign,1977,169,2.1
FIRM_335,Large,Fruit & vegetable processing,Domestic,1982,1004,12.6
FIRM_336,Large,Confectionery,Domestic,2005,940,16.74
FIRM_337,Large,Fruit & vegetable processing,Domestic,1980,783,16.85
FIRM_338,SME,Meat processing,Domestic,1979,217,2.54
FIRM_339,SME,Dairy processing,Domestic,2005,82,3.82
FIRM_340,SME,Fruit & vegetable processing,Domestic,2020,120,1.93
FIRM_341,SME,Confectionery,Domestic,1978,20,2.18
FIRM_342,SME,Fish processing,Foreign,2011,148,9.46
FIRM_343,SME,Confectionery,Domestic,1981,156,11.3
FIRM_344,Large,Bakery products,Joint Venture,1976,1437,10.07
FIRM_345,SME,Bakery products,Foreign,1995,125,3.02
FIRM_346,SME,Fruit & vegetable processing,Domestic,2019,90,7.75
FIRM_347,SME,Confectionery,Domestic,2009,142,11.22
FIRM_348,SME,Dairy processing,Domestic,2008,78,4.98
FIRM_349,SME,Dairy processing,Domestic,2015,218,4.55
FIRM_350,Large,Grain milling,Joint Venture,1991,1343,22.55
FIRM_351,SME,Grain milling,Foreign,2003,116,5.19
FIRM_352,SME,Dairy processing,Domestic,1996,215,9.51
FIRM_353,SME,Fish processing,Domestic,2019,96,5.77
FIRM_354,SME,Fruit & vegetable processing,Domestic,1997,55,15.38
FIRM_355,SME,Meat processing,Domestic,1998,43,2.44
FIRM_356,SME,Beverages,Joint Venture,2002,91,3.06
FIRM_357,SME,Fruit & vegetable processing,Domestic,2006,24,9.95
FIRM_358,SME,Dairy processing,Domestic,1977,74,3.48
FIRM_359,SME,Fish processing,Foreign,2015,155,9.75
FIRM_360,SME,Fish processing,Domestic,2014,23,5.3
FIRM_361,SME,Fruit & vegetable processing,Joint Venture,1990,45,2.87
FIRM_362,SME,Grain milling,Joint Venture,1983,172,6.81
FIRM_363,SME,Bakery products,Domestic,1999,106,4.79
FIRM_364,Large,Confectionery,Joint Venture,2006,1300,10.32
FIRM_365,Large,Grain milling,Domestic,1992,348,10.49
FIRM_366,Large,Confectionery,Domestic,1997,391,31.96
FIRM_367,SME,Confectionery,Domestic,2017,97,5.17
FIRM_368,Large,Meat processing,Joint Venture,1989,1956,11.57
FIRM_369,Large,Fruit & vegetable processing,Domestic,2011,1731,18.1
FIRM_370,SME,Beverages,Domestic,2013,165,12.95
FIRM_371,SME,Confectionery,Domestic,1982,112,12.13
FIRM_372,Large,Meat processing,Joint Venture,2014,2047,14.13
FIRM_373,SME,Dairy processing,Domestic,1999,31,8.63
FIRM_374,SME,Dairy processing,Domestic,1987,171,7.77
FIRM_375,SME,Bakery products,Foreign,1986,26,8.99
FIRM_376,SME,Confectionery,Domestic,1980,67,8.83
FIRM_377,SME,Dairy processing,Domestic,1978,42,3.65
FIRM_378,SME,Bakery products,Domestic,2014,97,8.19
FIRM_379,SME,Bakery products,Domestic,2019,31,9.86
FIRM_380,SME,Meat processing,Domestic,1990,88,4.69
FIRM_381,Large,Confectionery,Domestic,2008,1703,8.37
FIRM_382,Large,Grain milling,Domestic,1993,605,20.02
FIRM_383,SME,Fish processing,Foreign,2012,149,5.77
FIRM_384,SME,Fish processing,Domestic,2007,181,13.28
FIRM_385,SME,Grain milling,Domestic,1985,76,6.13
FIRM_386,SME,Fish processing,Domestic,2001,178,7.74
FIRM_387,SME,Bakery products,Foreign,2013,124,6.78
FIRM_388,SME,Meat processing,Domestic,2019,120,5.64
FIRM_389,Large,Meat processing,Joint Venture,2016,895,22.64
FIRM_390,Large,Fruit & vegetable processing,Domestic,1995,1167,10.84
FIRM_391,Large,Fish processing,Domestic,1978,920,11.98
FIRM_392,SME,Grain milling,Domestic,2015,193,15.85
FIRM_393,SME,Fish processing,Domestic,1994,188,4.52
FIRM_394,SME,Dairy processing,Domestic,2002,169,5.41
FIRM_395,SME,Fish processing,Foreign,1984,108,2.88
FIRM_396,Large,Bakery products,Domestic,2019,1160,3.81
FIRM_397,SME,Fish processing,Domestic,2017,44,1.28
FIRM_398,SME,Beverages,Domestic,2006,217,9.3
FIRM_399,SME,Confectionery,Joint Venture,2016,155,2.14
FIRM_400,Large,Dairy processing,Joint Venture,1979,1489,8.87
FIRM_401,Large,Fruit & vegetable processing,Domestic,1993,513,12.78
FIRM_402,SME,Grain milling,Domestic,1978,146,6.74
FIRM_403,SME,Beverages,Domestic,2007,130,10.05
FIRM_404,Large,Grain milling,Domestic,1980,1717,3.09
FIRM_405,SME,Grain milling,Domestic,1979,21,2.79
FIRM_406,SME,Confectionery,Domestic,2013,94,8.09
FIRM_407,SME,Beverages,Domestic,1984,153,3.72
FIRM_408,SME,Beverages,Foreign,1996,210,3.39
FIRM_409,SME,Fruit & vegetable processing,Domestic,2002,29,4.59
FIRM_410,Large,Dairy processing,Domestic,1976,2181,4.77
FIRM_411,SME,Confectionery,Domestic,2016,22,3.38
FIRM_412,SME,Meat processing,Foreign,1985,37,1.53
FIRM_413,SME,Confectionery,Domestic,2015,164,3.11
FIRM_414,SME,Beverages,Joint Venture,2014,79,2.79
FIRM_415,SME,Bakery products,Foreign,1981,79,4.48
FIRM_416,SME,Fruit & vegetable processing,Foreign,2017,108,4.3
FIRM_417,SME,Bakery products,Joint Venture,1993,40,6.71
FIRM_418,SME,Grain milling,Domestic,1995,177,3.95
FIRM_419,SME,Fish processing,Joint Venture,2005,85,11.16
FIRM_420,Large,Dairy processing,Domestic,1979,468,57.61
FIRM_421,SME,Fruit & vegetable processing,Domestic,2012,177,6.5
FIRM_422,Large,Dairy processing,Foreign,2018,721,9.42
FIRM_423,SME,Dairy processing,Foreign,1986,53,7.6
FIRM_424,Large,Bakery products,Foreign,2009,1532,7.36
FIRM_425,Large,Meat processing,Domestic,1985,1382,39.11
FIRM_426,Large,Fish processing,Domestic,1989,1243,4.6
FIRM_427,SME,Fruit & vegetable processing,Domestic,1976,168,7.26
FIRM_428,Large,Beverages,Domestic,1977,929,6.66
FIRM_429,Large,Beverages,Domestic,1995,553,9.01
FIRM_430,Large,Fish processing,Joint Venture,2013,651,28.97
FIRM_431,Large,Fruit & vegetable processing,Joint Venture,2007,760,18.24
FIRM_432,SME,Confectionery,Domestic,1988,107,17.11
FIRM_433,SME,Bakery products,Domestic,2004,77,4.36
FIRM_434,SME,Bakery products,Joint Venture,1997,135,5.42
FIRM_435,Large,Meat processing,Joint Venture,1977,1978,20.21
FIRM_436,Large,Bakery products,Foreign,1993,913,16.4
FIRM_437,SME,Confectionery,Foreign,2010,168,1.97
FIRM_438,Large,Fruit & vegetable processing,Domestic,1988,378,16.73
FIRM_439,SME,Meat processing,Joint Venture,1982,25,9.68
FIRM_440,Large,Beverages,Domestic,1990,878,34.0
FIRM_441,Large,Confectionery,Domestic,2009,880,7.84
FIRM_442,Large,Meat processing,Domestic,1983,2001,12.45
FIRM_443,SME,Meat processing,Foreign,1998,100,2.79
FIRM_444,SME,Fish processing,Domestic,2014,44,5.12
FIRM_445,SME,Fish processing,Foreign,1978,81,3.07
FIRM_446,SME,Fruit & vegetable processing,Joint Venture,2018,162,5.57
