FirmID,Year,Size,Employees,Assets_USD_millions,Age_Years,Subsector,Ownership_Type,FDI_Presence,FDI_Equity_Share_percent,Knowledge_Absorption_1_5,Task_Performance_1_5,Innovation_1_5,Firm_Resources_1_5,Skilled_Labor_Ratio,IoT_Use,RD_Spend_percent_of_Revenue,Liquidity_Ratio,Tax_Incentives_1_7,Regulatory_Stability_1_7,Infrastructure_Support_1_7,Corruption_Experience_1_7,Govt_Policy_Score_1_7,ROI_Self_percent,ROA_Self_percent,Export_Intensity_percent,Market_Share_percent,Operational_Efficiency_Index_0_100
FIRM_031,2024,SME,38,4.6,35,Meat Processing,Domestic,0,0.0,4.2,4.7,3.1,3.0,0.36,0,2.17,1.05,4.3,4.5,2.0,4.2,3.6,5.58,5.97,0.0,0.01,59.8
FIRM_032,2024,SME,130,2.77,42,Fruits & Vegetables,Joint Venture,1,80.0,3.7,4.1,4.7,2.2,0.44,0,2.53,1.77,2.9,2.6,4.1,5.6,3.0,14.4,5.51,20.26,3.04,64.0
FIRM_033,2024,SME,169,4.68,46,Meat Processing,Domestic,0,0.0,3.7,4.7,2.8,2.7,0.54,0,1.39,2.41,4.0,5.4,2.0,3.6,4.0,6.55,2.73,5.04,1.06,55.8
FIRM_034,2024,Large,1514,25.29,42,Meat Processing,Foreign,1,92.0,4.3,5.0,4.1,3.0,0.58,1,2.69,1.35,5.6,2.1,3.3,5.5,3.4,17.36,7.6,22.96,5.76,68.2
FIRM_035,2024,Large,516,25.31,47,Ready Meals,Domestic,0,0.0,3.2,4.7,4.4,3.4,0.6,1,3.34,1.8,5.9,2.7,3.8,4.9,3.9,13.19,4.1,15.66,6.82,70.5
FIRM_036,2024,Large,1195,23.82,21,Meat Processing,Domestic,0,0.0,2.6,4.5,2.8,2.0,0.74,0,2.72,0.4,4.9,4.2,2.2,4.3,3.8,0.82,1.74,12.75,6.49,57.2
FIRM_037,2024,SME,152,3.31,20,Bakery,Domestic,0,0.0,3.4,4.6,3.9,3.2,0.43,0,1.45,1.58,3.0,5.5,2.4,3.9,3.8,9.0,6.95,5.69,1.12,67.7
FIRM_038,2024,SME,89,4.88,17,Meat Processing,Domestic,0,0.0,2.0,4.1,3.5,2.6,0.37,1,4.43,1.44,4.7,4.1,3.4,7.0,3.3,4.23,1.65,6.49,0.01,62.7
FIRM_039,2024,Large,849,28.96,12,Fruits & Vegetables,Domestic,0,0.0,3.8,5.0,4.2,3.8,0.6,1,2.41,1.19,5.1,4.4,4.1,3.3,4.6,15.7,6.7,7.19,9.87,77.1
FIRM_040,2024,SME,193,1.87,38,Bakery,Domestic,0,0.0,2.9,4.4,3.8,2.7,0.35,1,3.33,2.14,4.9,3.8,4.7,4.7,4.2,7.99,4.28,7.67,0.92,67.6
FIRM_041,2024,SME,41,2.46,36,Meat Processing,Domestic,0,0.0,1.5,4.8,3.2,2.7,0.45,0,2.14,1.44,5.0,2.8,4.2,3.4,4.2,2.72,-2.34,15.36,1.93,66.4
FIRM_042,2024,SME,123,3.54,41,Dairy,Foreign,1,67.0,3.4,4.7,3.6,3.7,0.47,0,2.17,1.51,4.6,3.3,3.6,6.4,3.3,10.0,6.98,22.14,1.64,55.0
FIRM_043,2024,SME,44,1.12,9,Fruits & Vegetables,Domestic,0,0.0,3.4,4.2,2.7,2.9,0.67,0,1.56,1.41,4.1,2.6,2.7,5.4,3.0,6.02,7.98,0.0,0.89,51.2
FIRM_044,2024,SME,187,3.76,25,Oils & Fats,Joint Venture,1,14.0,3.4,4.5,3.9,3.6,0.44,1,2.33,0.64,3.6,2.5,2.3,3.5,3.2,14.07,6.16,13.26,0.83,73.4
FIRM_045,2024,Large,1374,21.74,12,Ready Meals,Domestic,0,0.0,3.2,4.2,3.9,3.1,0.47,1,3.64,1.03,2.3,4.2,2.9,4.9,3.1,8.56,4.63,8.97,8.66,66.6
FIRM_046,2024,SME,162,4.38,45,Meat Processing,Domestic,0,0.0,2.5,3.8,2.9,3.1,0.54,0,1.34,2.08,4.5,2.7,4.0,4.6,3.6,3.78,3.51,9.78,0.3,47.4
FIRM_047,2024,Large,208,43.37,14,Seafood Processing,Domestic,0,0.0,2.4,4.9,3.1,3.0,0.63,0,3.81,0.55,4.4,4.1,3.9,3.7,4.2,3.36,4.84,0.0,4.18,65.4
FIRM_048,2024,SME,98,2.06,8,Beverages,Domestic,0,0.0,2.9,4.6,3.1,3.5,0.49,1,1.53,1.22,4.8,2.5,1.2,5.2,2.8,5.49,5.23,0.0,1.0,44.0
FIRM_049,2024,Large,1724,44.05,29,Oils & Fats,Domestic,0,0.0,2.9,4.8,3.9,2.8,0.51,1,3.74,1.4,2.9,4.1,2.6,4.8,3.2,3.78,0.74,12.0,4.72,60.8
FIRM_050,2024,SME,159,2.01,44,Fruits & Vegetables,Domestic,0,0.0,2.7,4.2,3.7,2.2,0.45,0,2.1,2.47,4.8,3.3,4.8,4.6,4.1,3.43,3.52,0.9,0.01,67.2
FIRM_051,2024,SME,170,3.3,46,Oils & Fats,Joint Venture,1,39.0,4.3,5.0,3.5,2.6,0.57,0,3.9,1.98,6.3,5.2,3.6,4.2,4.7,16.18,11.39,14.92,1.62,65.1
FIRM_052,2024,SME,13,2.78,5,Oils & Fats,Domestic,0,0.0,2.3,4.3,2.9,2.9,0.3,1,1.98,1.32,4.3,4.1,1.9,4.8,3.4,3.41,2.76,7.26,1.64,63.9
FIRM_053,2024,Large,688,26.31,17,Fruits & Vegetables,Domestic,0,0.0,3.2,4.5,3.5,3.2,0.64,1,2.37,2.25,4.1,5.0,6.1,4.6,4.6,9.65,2.68,13.03,5.26,43.7
FIRM_054,2024,SME,30,2.81,8,Beverages,Domestic,0,0.0,3.0,4.2,3.7,3.2,0.56,0,0.75,1.23,4.5,3.0,3.5,4.4,3.6,1.63,4.77,8.94,0.82,54.9
FIRM_055,2024,SME,64,3.24,16,Fruits & Vegetables,Domestic,0,0.0,2.0,4.2,3.8,3.6,0.41,1,1.71,2.1,6.2,3.9,3.9,3.5,4.6,7.78,1.44,10.17,1.13,68.7
FIRM_056,2024,SME,167,1.79,27,Seafood Processing,Domestic,0,0.0,2.1,4.8,2.5,2.1,0.29,0,2.43,0.92,3.2,2.8,3.9,6.3,2.9,0.77,1.88,8.27,0.9,63.2
FIRM_057,2024,SME,57,3.85,15,Ready Meals,Domestic,0,0.0,3.0,5.0,3.1,2.5,0.56,0,3.94,2.14,4.4,3.4,3.1,3.0,4.0,4.11,1.3,9.78,0.18,71.7
FIRM_058,2024,SME,161,3.8,4,Ready Meals,Domestic,0,0.0,4.0,4.5,2.6,2.2,0.61,0,2.44,1.4,3.4,3.5,2.7,4.8,3.2,6.57,3.43,1.76,0.97,56.9
FIRM_059,2024,SME,97,3.46,26,Dairy,Domestic,0,0.0,3.2,4.5,3.1,3.8,0.47,0,3.72,1.09,3.7,3.1,5.8,3.9,4.2,6.89,3.32,8.94,1.8,60.3
FIRM_060,2024,Large,1259,20.1,3,Fruits & Vegetables,Joint Venture,1,70.0,2.8,5.0,4.6,3.4,0.64,1,1.66,1.49,4.2,2.6,4.6,6.4,3.2,5.17,5.24,19.92,4.11,55.9
FIRM_061,2024,SME,73,3.36,12,Dairy,Domestic,0,0.0,1.4,4.6,2.6,3.1,0.56,0,3.99,1.74,5.5,2.4,4.4,3.2,4.3,3.81,2.47,15.79,0.7,60.9
FIRM_062,2024,Large,1435,25.31,1,Confectionery,Joint Venture,1,53.0,4.1,4.4,3.0,2.3,0.64,0,3.12,1.35,6.0,1.5,4.1,3.4,4.0,9.99,5.68,17.93,8.75,50.3
FIRM_063,2024,SME,155,2.9,5,Ready Meals,Domestic,0,0.0,2.9,5.0,3.1,3.1,0.52,1,4.83,1.88,4.6,2.7,2.4,3.1,3.6,5.37,2.45,13.62,1.75,53.0
FIRM_064,2024,Large,222,25.14,22,Bakery,Domestic,0,0.0,3.6,5.0,3.7,3.5,0.63,1,4.88,1.31,3.8,4.4,4.9,4.7,4.1,7.39,3.95,7.6,2.4,60.6
FIRM_065,2024,SME,187,2.1,43,Confectionery,Joint Venture,1,30.0,3.0,5.0,3.9,2.5,0.34,0,1.36,1.91,6.7,2.2,2.6,2.7,4.2,5.6,2.56,14.93,1.12,76.7
FIRM_066,2024,SME,174,1.76,39,Ready Meals,Domestic,0,0.0,3.0,4.7,3.1,3.3,0.43,0,0.87,1.82,3.8,2.4,3.8,3.7,3.6,7.31,1.81,6.37,1.07,58.8
FIRM_067,2024,SME,153,1.51,5,Seafood Processing,Foreign,1,92.0,4.0,4.8,4.7,4.2,0.46,1,4.76,1.57,3.6,5.6,1.7,1.7,4.3,20.58,10.31,19.83,0.84,70.5
FIRM_068,2024,SME,124,1.93,2,Meat Processing,Domestic,0,0.0,2.6,3.8,2.3,2.2,0.4,0,3.1,1.38,2.4,3.2,1.3,4.6,2.6,2.64,2.16,0.0,0.17,48.5
FIRM_069,2024,SME,65,2.92,17,Dairy,Domestic,0,0.0,2.7,3.8,3.6,2.3,0.55,0,1.83,1.68,5.6,4.1,3.9,3.7,4.5,1.82,1.82,17.43,0.01,44.0
FIRM_070,2024,Large,731,10.58,33,Ready Meals,Joint Venture,1,52.0,3.7,4.6,3.9,2.8,0.65,1,4.23,1.88,5.2,4.4,2.6,2.5,4.4,12.33,9.4,22.37,8.24,75.3
FIRM_071,2024,SME,32,3.06,38,Ready Meals,Domestic,0,0.0,3.3,5.0,3.5,3.7,0.6,0,2.96,2.63,6.6,4.5,1.3,5.6,3.7,8.9,4.09,7.62,2.09,45.7
FIRM_072,2024,Large,1025,25.84,42,Fruits & Vegetables,Domestic,0,0.0,2.9,5.0,2.8,3.7,0.53,1,4.2,2.07,2.8,2.3,4.1,2.7,3.6,8.76,3.26,9.71,6.11,63.4
FIRM_073,2024,SME,186,4.08,18,Ready Meals,Domestic,0,0.0,3.3,4.7,3.1,2.9,0.4,1,0.5,2.09,5.7,3.6,5.8,5.3,4.4,8.27,2.07,10.26,1.37,68.0
FIRM_074,2024,Large,996,33.31,9,Bakery,Domestic,0,0.0,2.7,4.3,3.5,3.2,0.59,1,3.45,3.14,4.3,2.2,5.0,3.5,4.0,-0.77,5.1,13.35,2.93,66.6
FIRM_075,2024,SME,31,2.81,2,Confectionery,Joint Venture,1,80.0,2.8,4.6,4.4,2.4,0.28,1,1.69,1.86,5.0,6.2,3.2,6.2,4.0,10.74,8.53,12.18,2.41,60.8
FIRM_076,2024,SME,133,2.22,8,Bakery,Domestic,0,0.0,3.9,4.9,2.0,3.3,0.51,0,0.03,1.84,2.6,2.2,3.5,5.2,2.8,4.09,1.06,1.37,0.18,45.1
FIRM_077,2024,Large,1128,19.15,4,Ready Meals,Domestic,0,0.0,2.6,4.9,2.8,2.6,0.49,0,0.0,1.95,5.7,2.8,4.5,3.1,4.5,0.35,1.3,8.01,6.79,58.5
FIRM_078,2024,SME,174,3.23,44,Confectionery,Joint Venture,1,28.0,3.1,4.7,3.3,2.6,0.2,1,1.9,1.1,5.0,2.8,4.7,3.2,4.3,8.1,6.86,18.77,1.84,62.1
FIRM_079,2024,SME,62,1.26,14,Ready Meals,Domestic,0,0.0,2.8,4.2,3.6,3.3,0.42,1,3.01,1.38,4.2,2.3,3.1,5.0,3.2,8.35,1.85,5.36,2.86,55.6
FIRM_080,2024,Large,1607,14.92,42,Fruits & Vegetables,Foreign,1,59.0,3.8,5.0,4.4,3.2,0.67,1,3.14,1.35,4.8,5.2,3.5,4.0,4.4,9.68,9.18,7.2,4.8,78.0
FIRM_081,2024,SME,110,3.31,28,Bakery,Domestic,0,0.0,2.8,3.3,3.7,2.9,0.67,0,1.81,1.92,3.4,6.2,3.8,4.1,4.3,8.57,5.5,5.64,0.53,45.0
FIRM_082,2024,SME,57,1.92,27,Bakery,Domestic,0,0.0,2.7,4.5,2.7,2.5,0.28,0,1.74,1.51,3.6,3.3,4.1,5.8,3.3,5.66,1.85,5.24,1.55,61.3
FIRM_083,2024,Large,904,6.08,23,Meat Processing,Foreign,1,65.0,3.7,5.0,4.3,3.7,0.64,1,1.83,1.67,3.7,2.5,3.4,3.4,3.6,13.23,8.68,18.07,4.45,69.1
FIRM_084,2024,Large,1995,5.41,41,Oils & Fats,Domestic,0,0.0,3.1,3.8,3.8,3.8,0.68,0,3.03,2.14,2.3,1.6,3.4,4.4,2.7,7.19,8.0,16.62,1.64,60.6
FIRM_085,2024,SME,198,4.6,3,Dairy,Domestic,0,0.0,1.8,4.7,2.4,3.6,0.64,1,1.58,2.03,5.1,3.6,5.0,5.4,4.1,0.49,4.14,9.01,0.33,66.4
FIRM_086,2024,Large,1783,22.79,5,Seafood Processing,Domestic,0,0.0,3.9,4.8,3.5,3.4,0.63,0,3.34,1.52,5.4,3.5,4.8,5.3,4.1,12.49,5.68,10.36,0.1,69.4
FIRM_087,2024,SME,169,2.7,22,Beverages,Foreign,1,61.0,3.4,4.2,4.3,2.6,0.4,0,3.36,1.27,3.5,3.1,4.0,4.1,3.6,6.63,5.26,17.59,1.47,56.6
FIRM_088,2024,SME,165,3.44,20,Grains & Cereals,Joint Venture,1,70.0,3.9,5.0,3.6,2.5,0.55,0,2.62,2.17,4.5,4.0,5.4,4.0,4.5,13.88,5.33,22.62,1.53,69.0
FIRM_089,2024,SME,192,0.5,28,Beverages,Domestic,0,0.0,2.0,4.9,2.4,3.1,0.2,1,0.0,1.99,3.9,4.2,3.1,2.2,4.2,2.11,2.41,3.35,0.01,57.0
FIRM_090,2024,Large,1707,34.48,37,Grains & Cereals,Domestic,0,0.0,2.8,4.9,3.7,3.1,0.69,0,3.41,0.8,4.5,4.1,5.3,3.0,4.7,6.93,1.85,11.15,6.45,44.4
FIRM_091,2024,Large,277,13.89,30,Grains & Cereals,Joint Venture,1,69.0,3.4,4.8,3.6,2.5,0.63,1,4.75,1.44,3.6,3.5,4.1,4.7,3.6,4.49,4.65,9.85,5.5,69.6
FIRM_092,2024,SME,22,1.71,13,Bakery,Domestic,0,0.0,3.8,4.7,3.0,2.8,0.67,0,2.64,1.68,3.3,2.7,7.0,4.1,4.2,7.19,4.39,15.49,0.84,66.2
FIRM_093,2024,SME,100,3.86,17,Fruits & Vegetables,Domestic,0,0.0,2.6,5.0,3.1,3.0,0.43,1,1.36,1.99,5.3,4.5,2.2,4.4,3.9,6.78,1.94,10.11,1.84,72.5
FIRM_094,2024,SME,122,5.4,38,Oils & Fats,Domestic,0,0.0,3.3,4.4,3.4,2.5,0.49,0,2.01,2.06,4.1,3.8,2.7,5.5,3.3,3.32,4.02,4.46,0.98,54.1
FIRM_095,2024,SME,77,1.59,11,Ready Meals,Domestic,0,0.0,2.7,5.0,2.7,3.7,0.62,0,2.21,1.74,6.2,4.7,4.0,2.9,5.0,7.16,7.02,8.38,0.22,78.9
FIRM_096,2024,SME,37,2.0,26,Meat Processing,Joint Venture,1,81.0,3.6,4.1,3.6,3.6,0.73,1,3.01,1.89,4.2,4.6,3.9,4.0,4.2,12.28,7.07,19.05,0.72,60.5
FIRM_097,2024,SME,46,3.28,27,Seafood Processing,Foreign,1,57.0,3.4,4.5,3.7,3.7,0.41,1,0.71,1.63,3.3,2.4,5.6,4.5,3.7,9.66,6.04,14.6,1.62,68.5
FIRM_098,2024,Large,1370,7.96,38,Seafood Processing,Foreign,1,55.0,4.4,5.0,4.5,3.1,0.67,0,5.41,1.26,5.4,2.4,2.8,3.5,3.8,16.55,10.24,16.18,2.89,68.2
FIRM_099,2024,SME,70,1.53,36,Ready Meals,Domestic,0,0.0,2.1,4.0,4.4,3.4,0.7,1,2.5,1.47,4.8,3.0,4.5,6.0,3.6,1.99,4.42,8.83,1.16,75.5
FIRM_100,2024,SME,68,3.3,24,Meat Processing,Domestic,0,0.0,2.1,3.4,2.3,2.1,0.3,0,2.09,1.61,4.9,2.7,4.8,5.4,3.8,1.62,1.93,6.84,0.01,51.3
FIRM_101,2024,SME,185,5.19,16,Seafood Processing,Domestic,0,0.0,2.0,4.7,3.3,2.9,0.6,0,2.83,1.58,5.4,4.6,4.3,4.6,4.4,8.1,2.12,8.06,1.65,58.2
FIRM_102,2024,SME,37,1.02,19,Fruits & Vegetables,Domestic,0,0.0,2.2,4.9,2.4,2.6,0.36,0,0.85,0.66,3.5,4.2,2.4,6.5,2.9,5.7,0.29,1.43,1.09,48.1
FIRM_103,2024,Large,1755,21.88,21,Bakery,Domestic,0,0.0,2.6,4.7,3.6,2.3,0.66,0,2.65,1.4,4.1,4.9,5.0,2.5,4.9,6.01,-0.18,5.22,2.47,77.3
FIRM_104,2024,Large,252,35.49,11,Beverages,Domestic,0,0.0,2.1,4.5,2.9,2.9,0.52,1,3.17,1.63,4.0,4.2,4.9,4.3,4.2,2.7,-0.92,8.44,5.64,70.0
FIRM_105,2024,SME,123,2.38,32,Confectionery,Domestic,0,0.0,2.4,3.6,2.8,2.5,0.37,0,2.74,1.46,2.9,4.0,4.2,4.7,3.6,1.65,-1.37,5.59,0.65,58.0
FIRM_106,2024,SME,41,3.98,11,Dairy,Domestic,0,0.0,1.8,4.9,2.8,2.8,0.36,0,2.35,1.48,3.9,5.0,3.7,3.2,4.4,1.58,1.35,6.49,0.42,89.5
FIRM_107,2024,SME,39,3.29,33,Grains & Cereals,Foreign,1,60.0,3.1,5.0,3.8,3.3,0.51,1,2.09,1.84,5.5,4.3,3.7,4.7,4.2,12.1,4.31,18.19,1.36,72.2
FIRM_108,2024,SME,64,0.87,38,Oils & Fats,Domestic,0,0.0,3.6,3.8,3.1,2.6,0.6,0,1.28,1.06,4.4,3.9,3.4,3.0,4.2,4.91,5.69,12.49,0.85,47.0
FIRM_109,2024,SME,119,3.62,49,Dairy,Domestic,0,0.0,3.1,5.0,3.3,3.0,0.46,0,2.12,0.79,2.9,5.3,4.2,5.1,3.8,8.76,3.8,12.16,0.93,61.8
FIRM_110,2024,Large,1598,26.03,6,Grains & Cereals,Foreign,1,57.0,3.8,4.8,3.9,3.1,0.61,1,2.18,1.43,2.6,3.9,3.5,5.6,3.1,16.06,5.92,18.11,9.0,57.3
FIRM_111,2024,Large,1655,23.53,38,Beverages,Foreign,1,70.0,3.2,4.8,3.4,1.8,0.58,1,3.98,1.98,5.9,3.5,2.6,4.6,3.8,6.73,2.54,13.8,2.87,64.0
FIRM_112,2024,Large,556,40.88,5,Fruits & Vegetables,Joint Venture,1,34.0,3.2,4.9,4.0,3.1,0.94,0,2.2,2.44,4.1,3.0,2.3,2.1,3.8,7.12,7.08,14.27,6.96,59.6
FIRM_113,2024,SME,112,2.24,17,Beverages,Domestic,0,0.0,2.4,5.0,3.0,3.4,0.57,0,1.66,1.99,3.6,4.5,2.7,3.1,3.9,1.92,1.51,2.58,1.29,59.0
FIRM_114,2024,SME,14,3.65,9,Ready Meals,Joint Venture,1,27.0,3.6,4.6,4.3,2.1,0.58,0,2.42,0.87,3.9,5.0,3.7,5.0,3.9,12.35,4.59,15.38,1.91,50.2
FIRM_115,2024,Large,720,22.75,9,Bakery,Domestic,0,0.0,3.4,4.9,3.0,2.9,0.54,0,4.59,1.48,2.7,3.7,3.5,4.3,3.4,6.63,5.5,6.9,5.9,74.3
FIRM_116,2024,SME,20,3.54,9,Ready Meals,Domestic,0,0.0,3.3,4.3,2.3,3.5,0.43,0,2.73,1.73,5.6,5.1,3.7,1.1,5.3,8.34,3.9,4.22,2.56,66.1
FIRM_117,2024,Large,1837,25.7,3,Oils & Fats,Domestic,0,0.0,3.4,3.7,3.3,3.0,0.73,1,2.64,1.69,3.8,1.8,4.1,5.8,3.0,6.26,3.88,7.53,5.78,56.4
FIRM_118,2024,SME,43,3.65,42,Seafood Processing,Domestic,0,0.0,2.6,4.3,3.8,2.9,0.57,0,3.18,1.87,5.6,3.7,2.8,4.5,3.9,8.62,4.44,5.77,2.11,65.6
FIRM_119,2024,Large,209,17.48,4,Seafood Processing,Domestic,0,0.0,3.0,4.6,3.6,2.6,0.64,1,4.1,1.14,4.3,3.8,5.1,3.3,4.5,6.14,3.51,2.8,3.0,71.9
FIRM_120,2024,SME,20,3.28,20,Dairy,Domestic,0,0.0,2.7,4.9,3.3,3.8,0.42,1,3.3,1.63,5.6,3.1,3.2,5.5,3.6,5.52,4.64,12.35,2.37,69.4
FIRM_121,2024,SME,91,1.29,35,Ready Meals,Foreign,1,54.0,3.4,4.9,3.1,2.7,0.43,0,1.17,1.81,4.5,6.2,3.0,3.5,4.6,8.47,4.37,13.18,3.28,70.7
FIRM_122,2024,SME,122,3.54,50,Fruits & Vegetables,Domestic,0,0.0,4.0,5.0,3.8,2.9,0.54,0,1.21,2.01,5.1,3.7,4.0,3.5,4.3,6.91,8.83,7.21,1.76,66.0
